ID,BedrijfstakkenBranchesSBI2008,GebruikOpenbareWifi_1,ZakelijkEnPriveGebruikVanApparaten_2,AantalGewerkteUren_3,Omzetaandeel50VanEenOpdrachtgever_4,GebruikICTVoorzieningOpdrachtgever_5,EenKlantOpdrachtgever_6,TweeKlantenOpdrachtgevers_7,DrieOfMeerKlantenOpdrachtgevers_8,MinderDan10VanDeTijd_9,k_10Tot50VanDeTijd_10,k_50Tot90VanDeTijd_11,TenMinste90VanDeTijd_12,DoorExterneLeverancierUitgevoerd_13,ZelfUitgevoerd_14,DoorExterneLeverancierZelfUitgevoerd_15,OnbekendOfNVT_16,InternetVast_17,MinderDan30MbitS_18,k_30Tot100MbitS_19,k_100Tot500MbitS_20,k_500MbitSTot1GbitS_21,TenMinste1GbitS_22,SnelheidVasteVerbindingVoldoende_23,BedrijvenMetWebsite_24,MobieleAppVoorKlanten_25,WebsiteAppHeeftPlatformfunctie_26,Websiteweetniet_27,ClouddienstenGebruikt_28,EMail_29,OfficeSoftware_30,OpslagDatabases_31,BestandenOpslaan_32,BoekhoudingSoftware_33,ERPSoftware_34,KlantbeheerSoftware_35,Veiligheidssoftware_36,Rekenkracht_37,Rekenplatform_38,BestandenOfDatabasesOpslag_39,VerwerkIndividuenGegevensMetAI_40,ControleerMogelijkeAIVertekening_41,AntiVirussoftware_42,BeleidVoorSterkeWachtwoorden_43,BiometrischeMethoden_44,AuthenticatieViaSoftOfHardwaretoken_45,EncryptieVanData_46,GegevensOpAndereFysiekeLocatie_47,NetworkAccessControl_48,VPNInternetgebruikBuitenHetBedrijf_49,LogbestandenVoorAnalyseIncidenten_50,MethodesVoorBeoordelenICTVeiligheid_51,Risicoanalyses_52,ICTBeveiligingsmonitoringsysteem_53,IncidentMetInterneOorzaakGehad_54,IncidentDoorAanvalVanBuitenGehad_55,UitvalICTDienstDoorVeiligheidsinc_56,VernietigingDataDoorVeiligheidsinc_57,OnthullingDoorInternIncident_58,UitvalICTDienstDoorAanvalBuitenaf_59,VernietigingDataAanvalVanBuitenaf_60,OnthullingGegevensDoorICTInbraak_61,KostenIncidentInternGehad_62,KostenIncidentAanvalBuitenafGehad_63,UitvalICTDienstDoorVeiligheidsinc_64,VernietigingDataDoorVeiligheidsinc_65,OnthullingDoorInternIncident_66,UitvalICTDienstDoorAanvalBuitenaf_67,VernietigingDataAanvalBuitenaf_68,OnthullingDoorICTInbraak_69,RansomwareAanvalGehad_70,ICTSystemenZijnGeblokkeerd_71,BedrijfsinformatieIsGestolen_72,LosgeldBetaald_73,ICTSystemen_74,Bedrijfsgegevens_75,AndereKostenRansomwareAanvalGehad_76,Politie_77,Cybersecuritybedrijf_78,VerzekeringICTVeiligheidsincidenten_79,GezochtNaarMeldingenCyberdreigingen_80,BekendMetDTC_81,DTCWebsiteAlsBronGebruikt_82,KlantenInNederland_83,KlantenInAndereEULanden_84,KlantenInLandenBuitenDeEU_85,FysiekeGoederen_86,DigitaleGoederenOfDiensten_87,NietDigitaleDiensten_88,FysiekeGoederen_89,DigitaleGoederenOfDiensten_90,NietDigitaleDiensten_91,FysiekeGoederen_92,DigitaleGoederenOfDiensten_93,NietDigitaleDiensten_94,FysiekeGoederen_95,DigitaleGoederenOfDiensten_96,NietDigitaleDiensten_97
12,351900,11.0,72.0,38.0,29.0,6.0,15.0,11.0,74.0,99.0,0.0,0.0,1.0,8.0,38.0,0.0,55.0,73.0,8.0,22.0,22.0,18.0,3.0,72.0,16.0,2.0,10.0,,5.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,,,74.0,62.0,34.0,39.0,20.0,45.0,12.0,18.0,7.0,3.0,8.0,10.0,3.0,5.0,2.0,2.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,,,,5.0,1.0,3.0,1.0,,,,,,,,,,,,,,,
13,354300,10.0,51.0,38.0,9.0,10.0,12.0,0.0,88.0,94.0,6.0,0.0,0.0,10.0,27.0,0.0,63.0,71.0,8.0,27.0,20.0,14.0,2.0,69.0,47.0,4.0,6.0,,14.0,10.0,8.0,4.0,6.0,6.0,4.0,4.0,8.0,0.0,0.0,8.0,,,69.0,67.0,29.0,43.0,24.0,49.0,18.0,16.0,12.0,6.0,16.0,22.0,4.0,4.0,4.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,10.0,0.0,8.0,0.0,,,,,,,,,,,,,,,
14,356900,23.0,70.0,32.0,19.0,24.0,10.0,4.0,86.0,81.0,8.0,10.0,1.0,14.0,43.0,4.0,39.0,81.0,4.0,22.0,28.0,20.0,8.0,78.0,49.0,5.0,11.0,,28.0,27.0,22.0,19.0,20.0,16.0,3.0,13.0,19.0,4.0,1.0,24.0,,,81.0,66.0,39.0,51.0,24.0,52.0,27.0,25.0,23.0,11.0,15.0,23.0,5.0,5.0,5.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,1.0,4.0,9.0,1.0,,,,,,,,,,,,,,,
15,371600,15.0,71.0,29.0,18.0,17.0,19.0,2.0,79.0,87.0,2.0,4.0,7.0,10.0,37.0,1.0,52.0,73.0,7.0,25.0,19.0,14.0,7.0,70.0,51.0,7.0,21.0,,23.0,17.0,8.0,11.0,13.0,10.0,0.0,6.0,13.0,2.0,0.0,15.0,,,82.0,64.0,32.0,49.0,31.0,55.0,25.0,14.0,18.0,19.0,15.0,26.0,5.0,6.0,5.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,1.0,10.0,10.0,2.0,,,,,,,,,,,,,,,
16,389200,16.0,87.0,30.0,10.0,21.0,14.0,10.0,76.0,90.0,7.0,1.0,2.0,11.0,32.0,3.0,54.0,85.0,8.0,13.0,29.0,21.0,13.0,83.0,68.0,3.0,5.0,,17.0,15.0,13.0,10.0,13.0,12.0,1.0,3.0,12.0,0.0,1.0,14.0,,,79.0,70.0,34.0,43.0,25.0,53.0,20.0,16.0,16.0,13.0,15.0,20.0,4.0,2.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,,,,,6.0,4.0,4.0,2.0,,,,,,,,,,,,,,,
17,390500,27.0,71.0,31.0,24.0,15.0,18.0,6.0,76.0,98.0,1.0,0.0,1.0,4.0,30.0,1.0,64.0,55.0,7.0,13.0,16.0,13.0,6.0,54.0,29.0,0.0,13.0,,16.0,11.0,12.0,4.0,12.0,7.0,1.0,2.0,6.0,2.0,1.0,12.0,,,58.0,58.0,42.0,40.0,24.0,54.0,18.0,12.0,15.0,10.0,13.0,21.0,6.0,2.0,4.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,,,,,,,1.0,0.0,8.0,2.0,,,,,,,,,,,,,,,
18,391705,29.0,82.0,29.0,27.0,22.0,16.0,13.0,71.0,85.0,5.0,4.0,6.0,4.0,43.0,3.0,50.0,80.0,3.0,14.0,32.0,16.0,14.0,73.0,52.0,0.0,5.0,,37.0,27.0,22.0,20.0,34.0,17.0,1.0,2.0,11.0,3.0,2.0,35.0,,,60.0,64.0,50.0,67.0,25.0,69.0,21.0,24.0,12.0,3.0,7.0,9.0,12.0,6.0,9.0,1.0,4.0,2.0,1.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,6.0,4.0,5.0,0.0,,,,,,,,,,,,,,,
19,394100,23.0,66.0,39.0,25.0,37.0,17.0,3.0,80.0,71.0,14.0,9.0,6.0,11.0,66.0,3.0,20.0,97.0,11.0,26.0,26.0,20.0,14.0,94.0,43.0,3.0,11.0,,54.0,46.0,37.0,31.0,37.0,26.0,0.0,11.0,34.0,9.0,6.0,40.0,,,80.0,83.0,57.0,80.0,63.0,74.0,43.0,57.0,43.0,29.0,26.0,34.0,14.0,6.0,9.0,6.0,6.0,3.0,3.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,14.0,17.0,14.0,6.0,,,,,,,,,,,,,,,
20,395005,18.0,68.0,33.0,59.0,68.0,26.0,23.0,51.0,41.0,14.0,25.0,20.0,2.0,70.0,2.0,27.0,90.0,1.0,15.0,27.0,26.0,20.0,86.0,50.0,0.0,8.0,,60.0,49.0,40.0,33.0,54.0,39.0,1.0,6.0,24.0,8.0,10.0,57.0,,,86.0,83.0,71.0,87.0,60.0,88.0,48.0,43.0,41.0,17.0,21.0,29.0,11.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,16.0,17.0,11.0,4.0,,,,,,,,,,,,,,,
21,900016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,900027,0.0,0.0,38.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,50.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,50.0,0.0,0.0,,50.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,50.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,50.0,50.0,100.0,50.0,,,,,,,,,,,,,,,
23,900021,14.0,68.0,37.0,11.0,32.0,7.0,6.0,87.0,73.0,11.0,11.0,6.0,32.0,34.0,6.0,27.0,86.0,2.0,17.0,30.0,24.0,12.0,84.0,57.0,4.0,11.0,,45.0,37.0,34.0,32.0,39.0,26.0,5.0,27.0,35.0,16.0,7.0,42.0,,,96.0,83.0,59.0,85.0,46.0,84.0,42.0,39.0,33.0,29.0,31.0,38.0,13.0,4.0,13.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,21.0,6.0,10.0,3.0,,,,,,,,,,,,,,,
24,402100,21.0,75.0,32.0,14.0,24.0,10.0,10.0,80.0,81.0,7.0,7.0,6.0,21.0,38.0,2.0,38.0,84.0,3.0,19.0,32.0,21.0,8.0,81.0,56.0,3.0,16.0,,41.0,32.0,25.0,24.0,31.0,18.0,2.0,15.0,27.0,1.0,3.0,37.0,,,85.0,72.0,43.0,62.0,26.0,65.0,26.0,19.0,16.0,15.0,14.0,20.0,7.0,5.0,6.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,,9.0,5.0,5.0,1.0,,,,,,,,,,,,,,,
25,900009,22.0,78.0,31.0,32.0,55.0,17.0,18.0,64.0,54.0,17.0,13.0,15.0,16.0,42.0,5.0,37.0,89.0,4.0,22.0,21.0,25.0,16.0,87.0,31.0,2.0,2.0,,51.0,40.0,35.0,23.0,44.0,29.0,2.0,9.0,33.0,3.0,1.0,45.0,,,87.0,66.0,58.0,66.0,27.0,77.0,25.0,27.0,20.0,15.0,16.0,23.0,12.0,4.0,11.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8.0,6.0,12.0,3.0,,,,,,,,,,,,,,,
26,405900,22.0,74.0,30.0,29.0,40.0,15.0,19.0,66.0,71.0,10.0,14.0,5.0,12.0,43.0,4.0,41.0,85.0,2.0,31.0,31.0,10.0,12.0,83.0,47.0,1.0,12.0,,39.0,32.0,20.0,17.0,29.0,16.0,2.0,3.0,25.0,4.0,1.0,32.0,,,93.0,65.0,42.0,46.0,24.0,75.0,23.0,28.0,17.0,12.0,19.0,19.0,11.0,6.0,11.0,3.0,0.0,4.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,4.0,8.0,9.0,4.0,,,,,,,,,,,,,,,
27,406800,33.0,84.0,30.0,35.0,52.0,15.0,17.0,69.0,69.0,16.0,10.0,6.0,11.0,46.0,1.0,43.0,83.0,5.0,23.0,31.0,15.0,9.0,83.0,52.0,0.0,2.0,,35.0,21.0,21.0,17.0,32.0,13.0,1.0,3.0,14.0,4.0,4.0,33.0,,,84.0,70.0,34.0,64.0,38.0,79.0,24.0,26.0,19.0,11.0,15.0,21.0,9.0,4.0,9.0,1.0,0.0,1.0,1.0,2.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.0,12.0,7.0,2.0,,,,,,,,,,,,,,,
28,408100,20.0,85.0,29.0,25.0,43.0,10.0,17.0,73.0,72.0,11.0,11.0,6.0,14.0,49.0,1.0,36.0,85.0,1.0,16.0,40.0,22.0,6.0,83.0,59.0,1.0,5.0,,47.0,33.0,26.0,28.0,37.0,20.0,0.0,6.0,17.0,4.0,6.0,43.0,,,78.0,79.0,54.0,60.0,35.0,79.0,20.0,16.0,27.0,12.0,11.0,19.0,10.0,1.0,9.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6.0,7.0,7.0,4.0,,,,,,,,,,,,,,,
29,800023,30.0,89.0,24.0,32.0,36.0,14.0,15.0,72.0,85.0,8.0,3.0,4.0,6.0,35.0,0.0,59.0,73.0,3.0,10.0,27.0,25.0,8.0,73.0,61.0,1.0,3.0,,46.0,31.0,22.0,24.0,43.0,16.0,1.0,6.0,16.0,4.0,0.0,45.0,,,65.0,55.0,49.0,54.0,26.0,68.0,20.0,21.0,12.0,5.0,5.0,11.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3.0,3.0,4.0,1.0,,,,,,,,,,,,,,,
30,410300,26.0,71.0,31.0,20.0,7.0,5.0,7.0,88.0,97.0,0.0,3.0,0.0,12.0,36.0,2.0,50.0,86.0,3.0,26.0,28.0,21.0,9.0,83.0,55.0,2.0,9.0,,22.0,14.0,10.0,14.0,16.0,16.0,2.0,7.0,12.0,0.0,0.0,21.0,,,74.0,62.0,36.0,50.0,29.0,64.0,17.0,19.0,22.0,16.0,12.0,17.0,9.0,5.0,9.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.0,2.0,3.0,0.0,,,,,,,,,,,,,,,
31,412700,26.0,78.0,30.0,32.0,38.0,15.0,17.0,68.0,68.0,10.0,14.0,8.0,18.0,41.0,4.0,37.0,83.0,3.0,21.0,21.0,28.0,12.0,79.0,49.0,1.0,6.0,,44.0,37.0,32.0,22.0,41.0,22.0,1.0,10.0,27.0,1.0,1.0,44.0,,,81.0,72.0,50.0,67.0,26.0,71.0,28.0,24.0,12.0,10.0,13.0,23.0,9.0,3.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,9.0,3.0,10.0,3.0,,,,,,,,,,,,,,,
32,413700,38.0,90.0,28.0,22.0,22.0,8.0,7.0,85.0,84.0,7.0,3.0,6.0,26.0,23.0,1.0,50.0,77.0,2.0,15.0,24.0,24.0,10.0,77.0,60.0,21.0,31.0,,23.0,19.0,10.0,15.0,20.0,9.0,1.0,9.0,15.0,2.0,0.0,21.0,,,88.0,73.0,37.0,60.0,31.0,69.0,27.0,24.0,23.0,23.0,22.0,30.0,5.0,3.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,12.0,3.0,13.0,3.0,,,,,,,,,,,,,,,
