ID,OwnerOrTenant,HouseholdCharacteristics,DwellingCharacteristics,Accuracy,Periods,TotalHousingCosts_1,NetRentOrMortgage_2,AdditionalHousingCosts_3,HousingCostRatio_4,NonSkewedRent_5,SkewedTowardsCheapRent_6,SkewedTowardsExpensiveRent_7
93,T001096,A025395,ZW10414,MBG0095,2015JJ00,851.0,676.0,176.0,38.3,,,
94,T001096,A025395,ZW10414,MBG0095,2018JJ00,873.0,695.0,180.0,37.6,,,
95,T001096,A025395,ZW10414,MBG0095,2021JJ00,920.0,754.0,169.0,34.6,,,
96,T001096,A025395,ZW10415,MW00000,2012JJ00,923.0,737.0,186.0,38.2,,,
97,T001096,A025395,ZW10415,MW00000,2015JJ00,888.0,717.0,171.0,40.0,,,
98,T001096,A025395,ZW10415,MW00000,2018JJ00,893.0,721.0,172.0,40.4,,,
99,T001096,A025395,ZW10415,MW00000,2021JJ00,941.0,796.0,145.0,38.3,,,
100,T001096,A025395,ZW10415,MOG0095,2012JJ00,890.0,705.0,182.0,36.8,,,
101,T001096,A025395,ZW10415,MOG0095,2015JJ00,860.0,691.0,167.0,38.2,,,
102,T001096,A025395,ZW10415,MOG0095,2018JJ00,866.0,695.0,169.0,38.7,,,
103,T001096,A025395,ZW10415,MOG0095,2021JJ00,912.0,769.0,142.0,36.6,,,
104,T001096,A025395,ZW10415,MBG0095,2012JJ00,957.0,769.0,190.0,39.7,,,
105,T001096,A025395,ZW10415,MBG0095,2015JJ00,915.0,744.0,174.0,41.7,,,
106,T001096,A025395,ZW10415,MBG0095,2018JJ00,920.0,747.0,175.0,42.0,,,
107,T001096,A025395,ZW10415,MBG0095,2021JJ00,970.0,824.0,148.0,40.1,,,
108,T001096,A025395,ZW10270,MW00000,2012JJ00,897.0,694.0,203.0,35.5,,,
109,T001096,A025395,ZW10270,MW00000,2015JJ00,877.0,681.0,197.0,34.3,,,
110,T001096,A025395,ZW10270,MW00000,2018JJ00,915.0,717.0,198.0,32.5,,,
111,T001096,A025395,ZW10270,MW00000,2021JJ00,961.0,773.0,188.0,30.5,,,
112,T001096,A025395,ZW10270,MOG0095,2012JJ00,882.0,680.0,201.0,34.8,,,
113,T001096,A025395,ZW10270,MOG0095,2015JJ00,865.0,669.0,194.0,33.7,,,
114,T001096,A025395,ZW10270,MOG0095,2018JJ00,901.0,704.0,196.0,31.9,,,
115,T001096,A025395,ZW10270,MOG0095,2021JJ00,943.0,756.0,186.0,29.8,,,
116,T001096,A025395,ZW10270,MBG0095,2012JJ00,912.0,708.0,205.0,36.2,,,
117,T001096,A025395,ZW10270,MBG0095,2015JJ00,889.0,692.0,199.0,35.0,,,
118,T001096,A025395,ZW10270,MBG0095,2018JJ00,929.0,730.0,200.0,33.0,,,
119,T001096,A025395,ZW10270,MBG0095,2021JJ00,979.0,790.0,190.0,31.3,,,
120,T001096,A025395,ZW10280,MW00000,2012JJ00,641.0,481.0,160.0,40.5,,,
121,T001096,A025395,ZW10280,MW00000,2015JJ00,677.0,519.0,158.0,42.3,,,
122,T001096,A025395,ZW10280,MW00000,2018JJ00,688.0,528.0,160.0,42.4,,,
123,T001096,A025395,ZW10280,MW00000,2021JJ00,773.0,633.0,140.0,40.2,,,
124,T001096,A025395,ZW10280,MOG0095,2012JJ00,630.0,470.0,158.0,39.5,,,
125,T001096,A025395,ZW10280,MOG0095,2015JJ00,663.0,505.0,156.0,41.3,,,
126,T001096,A025395,ZW10280,MOG0095,2018JJ00,675.0,515.0,158.0,41.3,,,
127,T001096,A025395,ZW10280,MOG0095,2021JJ00,756.0,616.0,138.0,39.1,,,
128,T001096,A025395,ZW10280,MBG0095,2012JJ00,653.0,492.0,163.0,41.6,,,
129,T001096,A025395,ZW10280,MBG0095,2015JJ00,691.0,533.0,160.0,43.3,,,
130,T001096,A025395,ZW10280,MBG0095,2018JJ00,702.0,541.0,162.0,43.5,,,
131,T001096,A025395,ZW10280,MBG0095,2021JJ00,790.0,650.0,142.0,41.4,,,
132,T001096,A025395,T001100,MW00000,2012JJ00,776.0,593.0,183.0,37.9,,,
133,T001096,A025395,T001100,MW00000,2015JJ00,777.0,599.0,177.0,38.3,,,
134,T001096,A025395,T001100,MW00000,2018JJ00,807.0,627.0,180.0,37.2,,,
135,T001096,A025395,T001100,MW00000,2021JJ00,866.0,702.0,164.0,35.5,,,
136,T001096,A025395,T001100,MOG0095,2012JJ00,766.0,584.0,181.0,37.3,,,
137,T001096,A025395,T001100,MOG0095,2015JJ00,767.0,590.0,176.0,37.7,,,
138,T001096,A025395,T001100,MOG0095,2018JJ00,797.0,618.0,179.0,36.5,,,
139,T001096,A025395,T001100,MOG0095,2021JJ00,853.0,690.0,162.0,34.7,,,
140,T001096,A025395,T001100,MBG0095,2012JJ00,786.0,603.0,184.0,38.5,,,
141,T001096,A025395,T001100,MBG0095,2015JJ00,786.0,609.0,179.0,39.0,,,
142,T001096,A025395,T001100,MBG0095,2018JJ00,817.0,637.0,181.0,37.8,,,
143,T001096,A025395,T001100,MBG0095,2021JJ00,878.0,714.0,165.0,36.2,,,
144,T001096,A025395,ZW10290,MW00000,2012JJ00,943.0,731.0,212.0,34.9,,,
145,T001096,A025395,ZW10290,MW00000,2015JJ00,913.0,710.0,203.0,33.5,,,
146,T001096,A025395,ZW10290,MW00000,2018JJ00,953.0,748.0,205.0,32.1,,,
147,T001096,A025395,ZW10290,MW00000,2021JJ00,1001.0,804.0,197.0,29.3,,,
148,T001096,A025395,ZW10290,MOG0095,2012JJ00,927.0,716.0,210.0,34.2,,,
149,T001096,A025395,ZW10290,MOG0095,2015JJ00,899.0,697.0,201.0,32.9,,,
150,T001096,A025395,ZW10290,MOG0095,2018JJ00,938.0,734.0,203.0,31.5,,,
151,T001096,A025395,ZW10290,MOG0095,2021JJ00,983.0,786.0,195.0,28.6,,,
152,T001096,A025395,ZW10290,MBG0095,2012JJ00,959.0,747.0,214.0,35.6,,,
153,T001096,A025395,ZW10290,MBG0095,2015JJ00,926.0,722.0,205.0,34.1,,,
154,T001096,A025395,ZW10290,MBG0095,2018JJ00,968.0,762.0,207.0,32.7,,,
155,T001096,A025395,ZW10290,MBG0095,2021JJ00,1020.0,822.0,200.0,30.0,,,
156,T001096,A025395,ZW10320,MW00000,2012JJ00,1135.0,883.0,252.0,36.5,,,
157,T001096,A025395,ZW10320,MW00000,2015JJ00,1070.0,823.0,247.0,35.2,,,
158,T001096,A025395,ZW10320,MW00000,2018JJ00,1223.0,973.0,250.0,33.4,,,
159,T001096,A025395,ZW10320,MW00000,2021JJ00,1280.0,1028.0,252.0,31.6,,,
160,T001096,A025395,ZW10320,MOG0095,2012JJ00,1063.0,814.0,242.0,34.1,,,
161,T001096,A025395,ZW10320,MOG0095,2015JJ00,1009.0,764.0,238.0,32.6,,,
162,T001096,A025395,ZW10320,MOG0095,2018JJ00,1147.0,898.0,242.0,31.6,,,
163,T001096,A025395,ZW10320,MOG0095,2021JJ00,1203.0,954.0,243.0,29.4,,,
164,T001096,A025395,ZW10320,MBG0095,2012JJ00,1207.0,951.0,263.0,38.9,,,
165,T001096,A025395,ZW10320,MBG0095,2015JJ00,1131.0,882.0,256.0,37.8,,,
166,T001096,A025395,ZW10320,MBG0095,2018JJ00,1300.0,1048.0,258.0,35.1,,,
167,T001096,A025395,ZW10320,MBG0095,2021JJ00,1357.0,1102.0,261.0,33.9,,,
168,T001096,A025395,ZW10300,MW00000,2012JJ00,1034.0,810.0,224.0,35.2,,,
169,T001096,A025395,ZW10300,MW00000,2015JJ00,1017.0,798.0,218.0,33.2,,,
170,T001096,A025395,ZW10300,MW00000,2018JJ00,1053.0,836.0,217.0,31.1,,,
171,T001096,A025395,ZW10300,MW00000,2021JJ00,1117.0,906.0,211.0,27.7,,,
172,T001096,A025395,ZW10300,MOG0095,2012JJ00,984.0,762.0,219.0,33.2,,,
173,T001096,A025395,ZW10300,MOG0095,2015JJ00,976.0,759.0,213.0,31.3,,,
174,T001096,A025395,ZW10300,MOG0095,2018JJ00,1017.0,802.0,212.0,29.6,,,
175,T001096,A025395,ZW10300,MOG0095,2021JJ00,1069.0,859.0,205.0,26.4,,,
176,T001096,A025395,ZW10300,MBG0095,2012JJ00,1085.0,859.0,229.0,37.2,,,
177,T001096,A025395,ZW10300,MBG0095,2015JJ00,1058.0,838.0,224.0,35.2,,,
178,T001096,A025395,ZW10300,MBG0095,2018JJ00,1089.0,871.0,222.0,32.5,,,
179,T001096,A025395,ZW10300,MBG0095,2021JJ00,1165.0,953.0,216.0,29.0,,,
180,T001096,A025395,ZW25806,MW00000,2012JJ00,917.0,705.0,213.0,35.0,,,
181,T001096,A025395,ZW25806,MW00000,2015JJ00,886.0,683.0,203.0,34.2,,,
182,T001096,A025395,ZW25806,MW00000,2018JJ00,913.0,707.0,206.0,32.7,,,
183,T001096,A025395,ZW25806,MW00000,2021JJ00,963.0,767.0,196.0,29.0,,,
184,T001096,A025395,ZW25806,MOG0095,2012JJ00,890.0,679.0,208.0,33.6,,,
185,T001096,A025395,ZW25806,MOG0095,2015JJ00,861.0,658.0,199.0,32.9,,,
186,T001096,A025395,ZW25806,MOG0095,2018JJ00,887.0,682.0,202.0,31.2,,,
187,T001096,A025395,ZW25806,MOG0095,2021JJ00,922.0,727.0,191.0,27.4,,,
188,T001096,A025395,ZW25806,MBG0095,2012JJ00,945.0,731.0,217.0,36.4,,,
189,T001096,A025395,ZW25806,MBG0095,2015JJ00,911.0,707.0,208.0,35.5,,,
190,T001096,A025395,ZW25806,MBG0095,2018JJ00,939.0,732.0,210.0,34.1,,,
191,T001096,A025395,ZW25806,MBG0095,2021JJ00,1004.0,807.0,200.0,30.7,,,
192,T001096,A025395,ZW25805,MW00000,2012JJ00,901.0,698.0,203.0,34.5,,,
193,T001096,A025395,ZW25805,MW00000,2015JJ00,873.0,680.0,193.0,33.1,,,
194,T001096,A025395,ZW25805,MW00000,2018JJ00,888.0,695.0,193.0,31.9,,,
195,T001096,A025395,ZW25805,MW00000,2021JJ00,935.0,750.0,184.0,29.5,,,
196,T001096,A025395,ZW25805,MOG0095,2012JJ00,880.0,678.0,200.0,33.6,,,
197,T001096,A025395,ZW25805,MOG0095,2015JJ00,857.0,665.0,190.0,32.3,,,
198,T001096,A025395,ZW25805,MOG0095,2018JJ00,872.0,679.0,191.0,31.1,,,
199,T001096,A025395,ZW25805,MOG0095,2021JJ00,912.0,728.0,181.0,28.5,,,
200,T001096,A025395,ZW25805,MBG0095,2012JJ00,921.0,718.0,206.0,35.4,,,
201,T001096,A025395,ZW25805,MBG0095,2015JJ00,889.0,696.0,195.0,33.9,,,
202,T001096,A025395,ZW25805,MBG0095,2018JJ00,905.0,711.0,196.0,32.7,,,
203,T001096,A025395,ZW25805,MBG0095,2021JJ00,957.0,772.0,187.0,30.5,,,
204,T001096,A025395,ZW10340,MW00000,2012JJ00,639.0,480.0,159.0,40.3,,,
205,T001096,A025395,ZW10340,MW00000,2015JJ00,673.0,515.0,158.0,42.0,,,
206,T001096,A025395,ZW10340,MW00000,2018JJ00,689.0,530.0,159.0,41.3,,,
207,T001096,A025395,ZW10340,MW00000,2021JJ00,770.0,630.0,140.0,39.8,,,
208,T001096,A025395,ZW10340,MOG0095,2012JJ00,628.0,470.0,157.0,39.4,,,
209,T001096,A025395,ZW10340,MOG0095,2015JJ00,660.0,503.0,156.0,41.1,,,
210,T001096,A025395,ZW10340,MOG0095,2018JJ00,677.0,518.0,158.0,40.3,,,
211,T001096,A025395,ZW10340,MOG0095,2021JJ00,754.0,615.0,138.0,38.7,,,
212,T001096,A025395,ZW10340,MBG0095,2012JJ00,650.0,490.0,161.0,41.3,,,
213,T001096,A025395,ZW10340,MBG0095,2015JJ00,685.0,527.0,159.0,43.0,,,
214,T001096,A025395,ZW10340,MBG0095,2018JJ00,701.0,542.0,161.0,42.3,,,
215,T001096,A025395,ZW10340,MBG0095,2021JJ00,786.0,646.0,142.0,40.8,,,
216,T001096,A025395,ZW25790,MW00000,2012JJ00,584.0,425.0,159.0,41.1,,,
217,T001096,A025395,ZW25790,MW00000,2015JJ00,609.0,457.0,152.0,43.2,,,
218,T001096,A025395,ZW25790,MW00000,2018JJ00,631.0,477.0,154.0,42.9,,,
219,T001096,A025395,ZW25790,MW00000,2021JJ00,706.0,574.0,132.0,40.8,,,
220,T001096,A025395,ZW25790,MOG0095,2012JJ00,574.0,416.0,156.0,40.0,,,
221,T001096,A025395,ZW25790,MOG0095,2015JJ00,596.0,443.0,150.0,42.1,,,
222,T001096,A025395,ZW25790,MOG0095,2018JJ00,617.0,464.0,152.0,41.7,,,
223,T001096,A025395,ZW25790,MOG0095,2021JJ00,689.0,557.0,130.0,39.5,,,
224,T001096,A025395,ZW25790,MBG0095,2012JJ00,594.0,435.0,161.0,42.2,,,
225,T001096,A025395,ZW25790,MBG0095,2015JJ00,622.0,470.0,154.0,44.4,,,
226,T001096,A025395,ZW25790,MBG0095,2018JJ00,644.0,490.0,156.0,44.1,,,
227,T001096,A025395,ZW25790,MBG0095,2021JJ00,724.0,592.0,134.0,42.1,,,
228,T001096,A025395,ZW25791,MW00000,2012JJ00,776.0,595.0,180.0,36.7,,,
229,T001096,A025395,ZW25791,MW00000,2015JJ00,763.0,587.0,176.0,36.0,,,
230,T001096,A025395,ZW25791,MW00000,2018JJ00,783.0,604.0,180.0,34.3,,,
231,T001096,A025395,ZW25791,MW00000,2021JJ00,850.0,685.0,165.0,32.6,,,
232,T001096,A025395,ZW25791,MOG0095,2012JJ00,756.0,576.0,177.0,35.5,,,
233,T001096,A025395,ZW25791,MOG0095,2015JJ00,748.0,573.0,173.0,35.1,,,
234,T001096,A025395,ZW25791,MOG0095,2018JJ00,768.0,588.0,177.0,33.3,,,
235,T001096,A025395,ZW25791,MOG0095,2021JJ00,827.0,662.0,162.0,31.4,,,
236,T001096,A025395,ZW25791,MBG0095,2012JJ00,795.0,615.0,183.0,37.9,,,
237,T001096,A025395,ZW25791,MBG0095,2015JJ00,778.0,602.0,178.0,37.0,,,
238,T001096,A025395,ZW25791,MBG0095,2018JJ00,799.0,619.0,182.0,35.4,,,
239,T001096,A025395,ZW25791,MBG0095,2021JJ00,874.0,708.0,168.0,33.8,,,
240,T001096,A025395,ZW25792,MW00000,2012JJ00,955.0,749.0,206.0,33.7,,,
241,T001096,A025395,ZW25792,MW00000,2015JJ00,950.0,749.0,201.0,33.9,,,
242,T001096,A025395,ZW25792,MW00000,2018JJ00,977.0,773.0,204.0,32.1,,,
243,T001096,A025395,ZW25792,MW00000,2021JJ00,1029.0,836.0,194.0,29.9,,,
244,T001096,A025395,ZW25792,MOG0095,2012JJ00,935.0,729.0,204.0,33.0,,,
245,T001096,A025395,ZW25792,MOG0095,2015JJ00,933.0,732.0,199.0,33.0,,,
246,T001096,A025395,ZW25792,MOG0095,2018JJ00,962.0,759.0,201.0,31.3,,,
247,T001096,A025395,ZW25792,MOG0095,2021JJ00,1008.0,815.0,191.0,29.0,,,
248,T001096,A025395,ZW25792,MBG0095,2012JJ00,975.0,768.0,209.0,34.5,,,
249,T001096,A025395,ZW25792,MBG0095,2015JJ00,967.0,765.0,204.0,34.8,,,
250,T001096,A025395,ZW25792,MBG0095,2018JJ00,991.0,787.0,206.0,32.9,,,
251,T001096,A025395,ZW25792,MBG0095,2021JJ00,1050.0,856.0,196.0,30.9,,,
252,T001096,A025395,ZW25793,MW00000,2012JJ00,1105.0,879.0,226.0,36.7,,,
253,T001096,A025395,ZW25793,MW00000,2015JJ00,1152.0,913.0,239.0,37.0,,,
254,T001096,A025395,ZW25793,MW00000,2018JJ00,1247.0,1007.0,240.0,34.9,,,
255,T001096,A025395,ZW25793,MW00000,2021JJ00,1275.0,1040.0,235.0,33.2,,,
256,T001096,A025395,ZW25793,MOG0095,2012JJ00,1068.0,844.0,221.0,35.5,,,
257,T001096,A025395,ZW25793,MOG0095,2015JJ00,1102.0,862.0,231.0,34.4,,,
258,T001096,A025395,ZW25793,MOG0095,2018JJ00,1183.0,945.0,233.0,33.1,,,
259,T001096,A025395,ZW25793,MOG0095,2021JJ00,1219.0,985.0,228.0,31.3,,,
260,T001096,A025395,ZW25793,MBG0095,2012JJ00,1142.0,914.0,230.0,38.0,,,
261,T001096,A025395,ZW25793,MBG0095,2015JJ00,1202.0,964.0,247.0,39.6,,,
262,T001096,A025395,ZW25793,MBG0095,2018JJ00,1310.0,1069.0,247.0,36.8,,,
263,T001096,A025395,ZW25793,MBG0095,2021JJ00,1331.0,1095.0,242.0,35.2,,,
264,T001096,A025396,2060100,MW00000,2012JJ00,604.0,423.0,181.0,33.3,,,
265,T001096,A025396,2060100,MW00000,2015JJ00,616.0,438.0,177.0,34.1,,,
266,T001096,A025396,2060100,MW00000,2018JJ00,615.0,436.0,179.0,31.8,,,
267,T001096,A025396,2060100,MW00000,2021JJ00,639.0,472.0,167.0,29.3,,,
268,T001096,A025396,2060100,MOG0095,2012JJ00,588.0,408.0,178.0,32.4,,,
269,T001096,A025396,2060100,MOG0095,2015JJ00,605.0,428.0,174.0,33.3,,,
270,T001096,A025396,2060100,MOG0095,2018JJ00,603.0,424.0,176.0,31.0,,,
271,T001096,A025396,2060100,MOG0095,2021JJ00,622.0,456.0,163.0,28.4,,,
272,T001096,A025396,2060100,MBG0095,2012JJ00,620.0,438.0,184.0,34.1,,,
273,T001096,A025396,2060100,MBG0095,2015JJ00,627.0,449.0,180.0,34.9,,,
274,T001096,A025396,2060100,MBG0095,2018JJ00,628.0,448.0,182.0,32.5,,,
275,T001096,A025396,2060100,MBG0095,2021JJ00,656.0,489.0,170.0,30.1,,,
276,T001096,A025396,2060110,MW00000,2012JJ00,792.0,584.0,208.0,32.1,,,
277,T001096,A025396,2060110,MW00000,2015JJ00,796.0,600.0,196.0,31.7,,,
278,T001096,A025396,2060110,MW00000,2018JJ00,848.0,651.0,197.0,30.8,,,
279,T001096,A025396,2060110,MW00000,2021JJ00,839.0,651.0,188.0,28.3,,,
280,T001096,A025396,2060110,MOG0095,2012JJ00,777.0,570.0,205.0,31.3,,,
281,T001096,A025396,2060110,MOG0095,2015JJ00,783.0,588.0,194.0,30.9,,,
282,T001096,A025396,2060110,MOG0095,2018JJ00,823.0,627.0,194.0,30.0,,,
283,T001096,A025396,2060110,MOG0095,2021JJ00,821.0,633.0,185.0,27.4,,,
284,T001096,A025396,2060110,MBG0095,2012JJ00,807.0,598.0,211.0,32.8,,,
285,T001096,A025396,2060110,MBG0095,2015JJ00,809.0,612.0,199.0,32.5,,,
286,T001096,A025396,2060110,MBG0095,2018JJ00,873.0,675.0,200.0,31.6,,,
287,T001096,A025396,2060110,MBG0095,2021JJ00,858.0,670.0,191.0,29.3,,,
288,T001096,A025396,2060120,MW00000,2012JJ00,988.0,760.0,229.0,31.6,,,
