ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetInternet_1,OnlineVergaderen_2,VeiligheidsrichtlijnenOnlineVergaderen_3,VoorkeurOnlineVergaderen_4,Bedrijfsemails_5,Bedrijfsdocumenten_6,BedrijfsapplicatiesOfSoftware_7,Bedrijfsemails_8,Bedrijfsrichtlijnen_9,Telewerkers_10,TelewerkKomtVoor_11,ICTPersAangenomenWillenAannemen_12,ICTVacaturesLastigTeVullen_13,TekortAanSollicitanten_14,SollicitantenMissenJuisteICTKennis_15,SollicitantenMissenWerkervaring_16,SollicitantenEisenTeHoogSalaris_17,ExterneLeverancier_18,EigenPersoneel_19,EigenPersoneelEnExterneLeverancier_20,NietVanToepassing_21,ICTSpecialistenInLoondienst_22,ICTCursusAanICTSpecialisten_23,ICTCursusAanOverigPersoneel_24,InternetVast_25,MinderDan30MbitS_26,k_30Tot100MbitS_27,k_100Tot500MbitS_28,k_500MbitSTot1GbitS_29,TenMinste1GbitS_30,MobielInternetVerstrekt_31,PersoneelDatWerktMetMobielInternet_32,BedrijvenMetWebsite_33,BeschrijvingenVanProductenPrijslijst_34,OnlineBestellenBoekenOfReserveren_35,ProductaanpassingDoorKlant_36,BestellingOnlineVolgen_37,KlantspecifiekeInfoVoorDeBezoeker_38,VerwijzingNaarSocialeMedia_39,AntiVirussoftware_40,BeleidVoorSterkeWachtwoorden_41,BiometrischeMethoden_42,AuthenticatieViaSoftOfHardwaretoken_43,EncryptieVanData_44,GegevensOpAndereFysiekeLocatie_45,NetworkAccessControl_46,VPNInternetgebruikBuitenHetBedrijf_47,LogbestandenVoorAnalyseIncidenten_48,MethodesVoorBeoordelenICTVeiligheid_49,Risicoanalyses_50,ICTVeiligheidVolgEnDetectiesysteem_51,VrijwilligeTraining_52,VerplichteTraining_53,MetContract_54,ICTVeiligheidsdocumentenAanwezig_55,MinderDan12MaandenGeleden_56,TussenDe12En24MaandenGeleden_57,MeerDan24MaandenGeleden_58,UitbesteedAanExternBedrijf_59,EigenPersoneel_60,EigenPersoneelEnExternBedrijf_61,NietVanToepassing_62,IncidentMetInterneOorzaakGehad_63,IncidentDoorAanvalVanBuitenGehad_64,UitvalICTDienstDoorVeiligheidsinc_65,VernietigingDataDoorVeiligheidsinc_66,OnthullingDoorInternIncident_67,UitvalICTDienstDoorAanvalBuitenaf_68,VernietigingDataAanvalVanBuitenaf_69,OnthullingGegevensDoorICTInbraak_70,KostenIncidentInternGehad_71,KostenIncidentAanvalBuitenafGehad_72,UitvalICTDienstDoorVeiligheidsinc_73,VernietigingDataDoorVeiligheidsinc_74,OnthullingDoorInternIncident_75,UitvalICTDienstDoorAanvalBuitenaf_76,VernietigingDataAanvalBuitenaf_77,OnthullingDoorICTInbraak_78,Kosten1VanDeTotaleOmzet_79,Kosten1Tot2VanDeTotaleOmzet_80,Kosten2Tot5VanDeTotaleOmzet_81,Kosten5Tot10VanDeTotaleOmzet_82,Kosten10Tot50VanDeTotaleOmzet_83,Kosten50VanDeTotaleOmzet_84,Kosten1VanDeTotaleOmzet_85,Kosten1Tot2VanDeTotaleOmzet_86,Kosten2Tot5VanDeTotaleOmzet_87,Kosten5Tot10VanDeTotaleOmzet_88,Kosten10Tot50VanDeTotaleOmzet_89,Kosten50VanDeTotaleOmzet_90,RansomwareAanvalGehad_91,LosgeldBetaald_92,BetalingLosgeldZinvol_93,AndereKostenRansomwareAanvalGehad_94,k_1VanDeTotaleOmzet_95,k_1Tot2VanDeTotaleOmzet_96,k_2Tot5VanDeTotaleOmzet_97,k_5Tot10VanDeTotaleOmzet_98,k_10Tot50VanDeTotaleOmzet_99,k_50VanDeTotaleOmzet_100,Kosten1VanDeTotaleOmzet_101,Kosten1Tot2VanDeTotaleOmzet_102,Kosten2Tot5VanDeTotaleOmzet_103,Kosten5Tot10VanDeTotaleOmzet_104,Kosten10Tot50VanDeTotaleOmzet_105,Kosten50VanDeTotaleOmzet_106,Politie_107,Cybersecurity_108,VerzekeringICTVeiligheidsincidenten_109,GezochtNaarMeldingenCyberdreigingen_110,BekendMetDTC_111,DTCWebsiteAlsBronGebruikt_112,MilieuBetrokken_113,Papierverbruik_114,Energieverbruik_115,MilieuBewustBijICTAanschaf_116,Ja_117,Nee_118,NVT_119,Ja_120,Nee_121,NVT_122,Ja_123,Nee_124,NVT_125,VerkoopViaWebsiteOfApp_126,Verkoopwaarde1VanDeTotaleOmzet_127,Verkoopwaarde1VanDeTotaleOmzet_128,Verkoopwaarde2VanDeTotaleOmzet_129,Verkoopwaarde5VanDeTotaleOmzet_130,Verkoopwaarde10VanDeTotaleOmzet_131,Verkoopwaarde25VanDeTotaleOmzet_132,Verkoopwaarde50VanDeTotaleOmzet_133,ViaWebsiteOfAppsVanEigenBedrijf_134,PercentageOmzetViaOnlinePlatforms_135,VerkoopViaECommerce_136,Verkoopwaarde1VanDeTotaleOmzet_137,Verkoopwaarde1VanDeTotaleOmzet_138,Verkoopwaarde2VanDeTotaleOmzet_139,Verkoopwaarde5VanDeTotaleOmzet_140,Verkoopwaarde10VanDeTotaleOmzet_141,Verkoopwaarde25VanDeTotaleOmzet_142,Verkoopwaarde50VanDeTotaleOmzet_143,ViaEen_144,ViaTwee_145,ViaDrieOfMeer_146,MeerDan75VanOmzetUitEenPlatform_147,VerkoopViaEDI_148,Verkoopwaarde1VanDeTotaleOmzet_149,Verkoopwaarde1VanDeTotaleOmzet_150,Verkoopwaarde2VanDeTotaleOmzet_151,Verkoopwaarde5VanDeTotaleOmzet_152,Verkoopwaarde10VanDeTotaleOmzet_153,Verkoopwaarde25VanDeTotaleOmzet_154,Verkoopwaarde50VanDeTotaleOmzet_155
10,WP19115,403300,97.0,68.0,38.0,22.0,73.0,70.0,60.0,,48.0,78.0,72.0,5.0,3.0,,,,,37.0,28.0,19.0,16,14.0,8.0,12.0,92.0,6,23.0,32.0,23.0,9.0,72.0,58.0,79.0,65.0,15.0,2.0,3.0,13.0,46.0,90,75.0,30.0,57.0,44.0,88.0,61.0,42.0,47.0,34.0,34.0,25.0,23.0,10.0,19.0,29.0,21.0,6.0,2,35.0,25.0,13.0,27.0,16.0,7.0,14.0,2.0,2.0,5.0,2,2.0,4.0,2.0,4.0,1.0,0.0,2.0,1.0,1.0,56.0,10.0,24.0,9.0,0.0,0.0,74.0,15.0,10.0,1.0,0.0,0.0,1,8.0,8.0,38.0,56.0,34.0,11.0,0.0,0.0,0.0,76.0,17.0,5.0,0.0,2.0,0.0,14.0,48.0,23.0,12.0,13.0,4.0,100,72.0,43.0,45.0,66.0,12.0,22.0,39.0,36.0,25.0,24.0,37.0,39.0,11.0,2.0,9.0,7.0,6.0,5.0,3.0,2.0,81.0,19.0,12.0,3.0,9.0,8.0,6.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
11,WP19115,410200,82.0,33.0,20.0,10.0,51.0,45.0,39.0,,33.0,63.0,47.0,4.0,3.0,,,,,35.0,20.0,10.0,35,9.0,5.0,8.0,88.0,8,29.0,32.0,14.0,5.0,63.0,50.0,77.0,60.0,25.0,5.0,4.0,16.0,45.0,87,67.0,20.0,47.0,34.0,71.0,44.0,31.0,33.0,28.0,27.0,21.0,14.0,7.0,15.0,22.0,16.0,4.0,2,30.0,17.0,7.0,46.0,11.0,5.0,10.0,1.0,1.0,3.0,2,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,91.0,6.0,3.0,0.0,0.0,0.0,94.0,2.0,3.0,0.0,0.0,0.0,0,2.0,2.0,36.0,,0.0,0.0,0.0,0.0,0.0,,0.0,27.0,0.0,0.0,0.0,32.0,42.0,15.0,7.0,9.0,3.0,100,67.0,39.0,35.0,59.0,8.0,33.0,30.0,29.0,41.0,16.0,33.0,51.0,16.0,4.0,12.0,12.0,10.0,8.0,6.0,5.0,87.0,13.0,17.0,4.0,13.0,13.0,11.0,9.0,8.0,5.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
12,WP19115,422400,94.0,52.0,35.0,13.0,66.0,59.0,59.0,,56.0,69.0,66.0,5.0,2.0,,,,,48.0,20.0,18.0,14,13.0,5.0,13.0,95.0,9,26.0,32.0,19.0,9.0,50.0,40.0,89.0,73.0,23.0,3.0,3.0,42.0,42.0,94,80.0,23.0,67.0,66.0,86.0,64.0,47.0,56.0,38.0,44.0,30.0,31.0,14.0,29.0,48.0,37.0,9.0,2,43.0,17.0,16.0,25.0,23.0,5.0,20.0,2.0,4.0,4.0,0,1.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,97.0,1.0,2.0,0.0,0.0,0.0,89.0,11.0,1.0,0.0,0.0,0.0,1,1.0,1.0,5.0,0.0,,0.0,0.0,0.0,0.0,53.0,27.0,20.0,0.0,0.0,0.0,4.0,13.0,30.0,11.0,10.0,4.0,100,77.0,46.0,42.0,74.0,6.0,19.0,34.0,40.0,26.0,18.0,38.0,44.0,9.0,4.0,5.0,5.0,4.0,3.0,3.0,2.0,74.0,26.0,13.0,5.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0
13,WP19115,332915,98.0,81.0,62.0,36.0,90.0,86.0,80.0,,73.0,89.0,87.0,36.0,29.0,,,,,8.0,61.0,21.0,9,70.0,43.0,37.0,94.0,4,19.0,34.0,20.0,18.0,75.0,63.0,86.0,71.0,29.0,9.0,10.0,22.0,60.0,88,88.0,44.0,77.0,70.0,92.0,69.0,61.0,70.0,47.0,51.0,38.0,45.0,25.0,34.0,51.0,42.0,7.0,3,7.0,55.0,19.0,20.0,19.0,8.0,17.0,3.0,1.0,6.0,1,2.0,4.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,75.0,23.0,3.0,0.0,0.0,0.0,65.0,19.0,15.0,0.0,1.0,0.0,1,3.0,3.0,34.0,0.0,100.0,0.0,0.0,0.0,0.0,67.0,29.0,3.0,0.0,0.0,0.0,8.0,35.0,35.0,33.0,24.0,10.0,100,71.0,51.0,47.0,64.0,11.0,24.0,53.0,27.0,20.0,33.0,31.0,36.0,23.0,5.0,18.0,18.0,17.0,16.0,14.0,11.0,79.0,21.0,24.0,4.0,19.0,19.0,19.0,17.0,15.0,12.0,3.0,2.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
14,WP19080,399907,85.0,30.0,17.0,10.0,51.0,43.0,38.0,,29.0,32.0,46.0,3.0,2.0,,,,,29.0,27.0,9.0,35,9.0,4.0,6.0,89.0,10,30.0,29.0,14.0,6.0,58.0,35.0,74.0,61.0,29.0,4.0,9.0,20.0,38.0,83,65.0,22.0,41.0,33.0,70.0,40.0,28.0,32.0,24.0,24.0,18.0,12.0,5.0,11.0,16.0,12.0,3.0,1,26.0,20.0,6.0,48.0,10.0,4.0,9.0,1.0,1.0,3.0,1,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,69.0,15.0,13.0,3.0,0.0,0.0,67.0,20.0,9.0,0.0,3.0,0.0,1,14.0,5.0,29.0,10.0,26.0,0.0,0.0,0.0,64.0,50.0,36.0,3.0,11.0,0.0,0.0,5.0,33.0,14.0,7.0,8.0,2.0,100,64.0,39.0,33.0,58.0,8.0,34.0,30.0,31.0,39.0,15.0,32.0,53.0,22.0,5.0,18.0,16.0,14.0,12.0,10.0,8.0,74.0,26.0,23.0,5.0,18.0,17.0,14.0,13.0,10.0,8.0,5.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
15,WP19080,307500,75.0,20.0,10.0,6.0,48.0,38.0,32.0,,26.0,23.0,41.0,1.0,0.0,,,,,37.0,23.0,9.0,31,5.0,2.0,4.0,91.0,14,31.0,30.0,12.0,3.0,56.0,30.0,77.0,62.0,26.0,4.0,7.0,16.0,32.0,88,62.0,18.0,36.0,22.0,73.0,37.0,25.0,29.0,25.0,23.0,16.0,8.0,4.0,9.0,11.0,9.0,1.0,1,29.0,16.0,5.0,49.0,7.0,4.0,7.0,0.0,0.0,3.0,1,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10.0,5.0,7.0,1.0,100,66.0,40.0,32.0,65.0,7.0,28.0,32.0,34.0,35.0,13.0,36.0,50.0,21.0,5.0,15.0,14.0,12.0,10.0,7.0,5.0,86.0,14.0,22.0,6.0,16.0,15.0,13.0,11.0,7.0,5.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
16,WP19080,800036,78.0,20.0,10.0,10.0,54.0,49.0,37.0,,39.0,32.0,51.0,1.0,1.0,,,,,50.0,17.0,9.0,23,6.0,2.0,4.0,82.0,9,23.0,29.0,17.0,3.0,59.0,38.0,55.0,42.0,4.0,1.0,0.0,11.0,18.0,87,62.0,20.0,35.0,18.0,65.0,44.0,21.0,31.0,30.0,27.0,15.0,6.0,0.0,14.0,11.0,9.0,2.0,0,33.0,19.0,9.0,39.0,12.0,2.0,8.0,2.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,7.0,2.0,8.0,0.0,100,73.0,46.0,37.0,61.0,8.0,31.0,41.0,34.0,25.0,8.0,37.0,54.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,63.0,37.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,WP19080,350000,74.0,10.0,4.0,1.0,42.0,30.0,26.0,,17.0,18.0,34.0,0.0,0.0,,,,,28.0,25.0,5.0,42,3.0,1.0,3.0,85.0,9,31.0,31.0,9.0,5.0,66.0,38.0,63.0,43.0,14.0,2.0,1.0,11.0,25.0,81,54.0,17.0,29.0,20.0,61.0,30.0,20.0,21.0,18.0,14.0,11.0,5.0,1.0,6.0,5.0,4.0,0.0,1,23.0,15.0,3.0,58.0,4.0,2.0,4.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,6.0,2.0,5.0,0.0,100,59.0,34.0,23.0,48.0,7.0,46.0,29.0,27.0,44.0,12.0,32.0,56.0,11.0,3.0,8.0,7.0,6.0,5.0,3.0,1.0,70.0,30.0,11.0,3.0,8.0,7.0,6.0,5.0,3.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,WP19080,354200,87.0,20.0,11.0,8.0,49.0,41.0,36.0,,24.0,28.0,43.0,2.0,1.0,,,,,27.0,26.0,10.0,37,7.0,3.0,5.0,90.0,13,32.0,28.0,13.0,5.0,56.0,33.0,76.0,66.0,44.0,6.0,18.0,23.0,42.0,83,65.0,20.0,36.0,29.0,69.0,37.0,25.0,30.0,24.0,22.0,18.0,9.0,4.0,8.0,11.0,8.0,1.0,1,24.0,20.0,5.0,51.0,8.0,5.0,7.0,1.0,1.0,3.0,1,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,12.0,5.0,7.0,1.0,100,65.0,40.0,31.0,59.0,8.0,33.0,29.0,31.0,40.0,11.0,33.0,56.0,37.0,7.0,30.0,27.0,24.0,21.0,18.0,14.0,77.0,23.0,38.0,7.0,31.0,28.0,25.0,22.0,18.0,15.0,8.0,5.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,WP19080,383100,79.0,11.0,5.0,2.0,34.0,29.0,23.0,,21.0,22.0,30.0,1.0,0.0,,,,,24.0,22.0,5.0,48,5.0,2.0,2.0,79.0,12,23.0,24.0,11.0,8.0,69.0,44.0,44.0,36.0,13.0,3.0,3.0,13.0,16.0,82,61.0,20.0,31.0,24.0,62.0,27.0,21.0,23.0,20.0,22.0,16.0,7.0,5.0,7.0,10.0,7.0,3.0,0,21.0,14.0,2.0,62.0,8.0,5.0,7.0,2.0,1.0,4.0,1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10.0,6.0,5.0,1.0,100,64.0,39.0,29.0,59.0,8.0,33.0,25.0,37.0,38.0,11.0,31.0,59.0,10.0,3.0,7.0,6.0,4.0,3.0,3.0,2.0,73.0,27.0,10.0,3.0,7.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,WP19080,389100,65.0,4.0,1.0,1.0,24.0,18.0,17.0,,9.0,7.0,21.0,0.0,0.0,,,,,13.0,24.0,2.0,60,3.0,0.0,1.0,87.0,13,38.0,25.0,9.0,2.0,41.0,18.0,75.0,66.0,44.0,8.0,13.0,24.0,39.0,65,52.0,15.0,21.0,14.0,44.0,17.0,11.0,12.0,13.0,13.0,9.0,3.0,0.0,4.0,2.0,0.0,1.0,1,17.0,12.0,2.0,69.0,5.0,2.0,4.0,1.0,0.0,1.0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3.0,1.0,6.0,0.0,100,43.0,27.0,21.0,41.0,7.0,52.0,17.0,24.0,58.0,14.0,16.0,70.0,30.0,5.0,25.0,24.0,19.0,18.0,16.0,13.0,56.0,44.0,30.0,5.0,25.0,24.0,19.0,18.0,16.0,13.0,7.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,WP19080,391600,98.0,74.0,48.0,33.0,83.0,77.0,68.0,,58.0,77.0,78.0,22.0,18.0,,,,,10.0,63.0,13.0,14,54.0,26.0,23.0,93.0,4,23.0,36.0,19.0,12.0,70.0,60.0,80.0,63.0,27.0,7.0,9.0,18.0,53.0,84,80.0,42.0,69.0,60.0,88.0,58.0,48.0,56.0,32.0,36.0,23.0,29.0,14.0,22.0,35.0,26.0,7.0,2,8.0,53.0,12.0,27.0,15.0,7.0,13.0,2.0,1.0,6.0,1,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,25.0,27.0,18.0,6.0,100,67.0,47.0,42.0,59.0,10.0,30.0,48.0,25.0,27.0,28.0,31.0,41.0,23.0,4.0,19.0,19.0,18.0,17.0,14.0,12.0,74.0,26.0,24.0,4.0,20.0,19.0,19.0,17.0,14.0,12.0,3.0,3.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
22,WP19080,396300,97.0,49.0,33.0,24.0,71.0,69.0,68.0,,59.0,71.0,71.0,5.0,4.0,,,,,44.0,17.0,15.0,24,9.0,8.0,13.0,89.0,8,14.0,32.0,20.0,15.0,68.0,50.0,70.0,59.0,22.0,5.0,2.0,10.0,38.0,83,75.0,42.0,68.0,52.0,81.0,70.0,46.0,60.0,45.0,49.0,30.0,21.0,14.0,29.0,36.0,26.0,6.0,4,41.0,15.0,11.0,33.0,19.0,9.0,19.0,2.0,2.0,8.0,3,3.0,6.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,37.0,8.0,17.0,1.0,100,66.0,43.0,34.0,57.0,9.0,34.0,32.0,34.0,33.0,26.0,29.0,45.0,12.0,4.0,8.0,8.0,5.0,5.0,3.0,2.0,92.0,8.0,12.0,4.0,8.0,8.0,5.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,WP19080,402000,98.0,38.0,21.0,8.0,53.0,47.0,41.0,,41.0,45.0,50.0,0.0,0.0,,,,,44.0,17.0,8.0,31,6.0,3.0,5.0,82.0,3,26.0,28.0,18.0,7.0,62.0,47.0,51.0,42.0,11.0,3.0,0.0,17.0,35.0,81,65.0,31.0,47.0,34.0,67.0,43.0,31.0,39.0,26.0,28.0,18.0,11.0,6.0,10.0,23.0,18.0,3.0,2,40.0,17.0,7.0,35.0,7.0,1.0,6.0,0.0,1.0,0.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,20.0,6.0,11.0,2.0,100,65.0,38.0,36.0,59.0,6.0,35.0,28.0,30.0,42.0,17.0,28.0,55.0,6.0,1.0,5.0,4.0,4.0,4.0,2.0,2.0,50.0,50.0,7.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,WP19080,403300,98.0,64.0,34.0,21.0,70.0,67.0,55.0,,43.0,62.0,68.0,3.0,1.0,,,,,36.0,30.0,15.0,19,10.0,4.0,8.0,92.0,7,24.0,31.0,22.0,8.0,70.0,51.0,77.0,62.0,14.0,2.0,3.0,12.0,42.0,89,73.0,30.0,53.0,40.0,87.0,57.0,37.0,43.0,29.0,30.0,21.0,19.0,7.0,16.0,23.0,16.0,5.0,2,33.0,26.0,10.0,31.0,13.0,7.0,12.0,2.0,2.0,4.0,2,2.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,19.0,10.0,12.0,3.0,100,70.0,42.0,44.0,64.0,12.0,24.0,38.0,34.0,28.0,21.0,37.0,42.0,11.0,2.0,9.0,7.0,6.0,5.0,3.0,2.0,79.0,21.0,12.0,2.0,9.0,7.0,6.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
25,WP19080,410200,83.0,25.0,14.0,8.0,42.0,36.0,30.0,,24.0,25.0,38.0,1.0,1.0,,,,,29.0,22.0,6.0,42,5.0,3.0,5.0,86.0,9,31.0,32.0,11.0,3.0,57.0,32.0,75.0,58.0,26.0,4.0,4.0,13.0,40.0,84,62.0,19.0,42.0,30.0,67.0,36.0,26.0,26.0,23.0,22.0,17.0,9.0,4.0,12.0,16.0,12.0,3.0,2,23.0,18.0,4.0,55.0,8.0,4.0,7.0,1.0,0.0,3.0,2,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,11.0,5.0,6.0,3.0,100,64.0,37.0,32.0,57.0,7.0,36.0,29.0,27.0,44.0,13.0,34.0,54.0,17.0,4.0,13.0,12.0,11.0,9.0,7.0,5.0,86.0,14.0,18.0,4.0,13.0,13.0,12.0,10.0,8.0,5.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
26,WP19080,422400,94.0,46.0,30.0,11.0,61.0,53.0,53.0,,52.0,37.0,60.0,3.0,1.0,,,,,48.0,21.0,15.0,16,8.0,1.0,8.0,95.0,10,28.0,31.0,19.0,7.0,44.0,21.0,87.0,70.0,21.0,2.0,2.0,41.0,38.0,93,78.0,22.0,64.0,64.0,83.0,60.0,45.0,53.0,35.0,41.0,28.0,27.0,13.0,25.0,44.0,34.0,8.0,2,42.0,17.0,12.0,28.0,21.0,4.0,19.0,2.0,2.0,3.0,0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,28.0,10.0,9.0,3.0,100,77.0,45.0,40.0,73.0,6.0,21.0,33.0,39.0,28.0,16.0,37.0,47.0,9.0,3.0,6.0,5.0,4.0,3.0,3.0,2.0,70.0,30.0,12.0,4.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0
27,WP19080,332915,98.0,76.0,55.0,34.0,88.0,83.0,75.0,,68.0,81.0,84.0,27.0,22.0,,,,,8.0,65.0,15.0,12,66.0,33.0,28.0,94.0,5,22.0,36.0,16.0,15.0,72.0,62.0,82.0,67.0,28.0,9.0,9.0,19.0,53.0,86,85.0,44.0,73.0,66.0,90.0,62.0,54.0,65.0,38.0,42.0,30.0,35.0,18.0,27.0,42.0,32.0,7.0,3,5.0,57.0,13.0,25.0,16.0,8.0,14.0,2.0,1.0,6.0,1,2.0,4.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,29.0,30.0,21.0,8.0,100,69.0,49.0,43.0,60.0,11.0,29.0,53.0,24.0,23.0,29.0,31.0,40.0,24.0,5.0,19.0,19.0,18.0,17.0,15.0,12.0,77.0,23.0,24.0,5.0,19.0,19.0,19.0,17.0,15.0,12.0,3.0,3.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
28,WP19090,399907,80.0,56.0,38.0,18.0,79.0,74.0,69.0,,62.0,43.0,76.0,10.0,7.0,6.0,6.0,5.0,4.0,51.0,17.0,24.0,8,23.0,14.0,19.0,96.0,5,23.0,35.0,22.0,12.0,76.0,35.0,92.0,78.0,38.0,8.0,10.0,26.0,60.0,96,80.0,22.0,62.0,45.0,88.0,71.0,55.0,60.0,46.0,47.0,32.0,28.0,15.0,27.0,40.0,30.0,7.0,3,48.0,17.0,19.0,17.0,23.0,9.0,22.0,3.0,2.0,6.0,2,3.0,6.0,3.0,6.0,1.0,0.0,2.0,1.0,1.0,79.0,10.0,8.0,3.0,0.0,0.0,84.0,9.0,6.0,0.0,0.0,0.0,1,5.0,4.0,48.0,,44.0,11.0,5.0,0.0,0.0,81.0,0.0,18.0,0.0,1.0,0.0,21.0,44.0,29.0,13.0,14.0,5.0,100,74.0,45.0,46.0,72.0,10.0,18.0,40.0,38.0,22.0,26.0,38.0,36.0,26.0,6.0,20.0,18.0,15.0,13.0,11.0,8.0,85.0,15.0,28.0,6.0,23.0,21.0,18.0,15.0,13.0,10.0,3.0,2.0,3.0,2.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,2.0
29,WP19090,307500,64.0,48.0,30.0,16.0,80.0,72.0,67.0,,63.0,24.0,74.0,4.0,2.0,,1.0,,1.0,58.0,11.0,25.0,6,17.0,7.0,13.0,97.0,6,29.0,34.0,18.0,10.0,79.0,23.0,94.0,77.0,27.0,8.0,6.0,15.0,54.0,97,76.0,14.0,51.0,36.0,91.0,74.0,63.0,61.0,48.0,44.0,30.0,16.0,10.0,24.0,30.0,21.0,5.0,3,55.0,11.0,17.0,17.0,23.0,7.0,22.0,2.0,1.0,5.0,2,2.0,8.0,3.0,7.0,1.0,0.0,2.0,1.0,1.0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,26.0,9.0,14.0,3.0,100,70.0,44.0,45.0,73.0,9.0,18.0,43.0,36.0,21.0,22.0,40.0,39.0,23.0,7.0,16.0,14.0,9.0,7.0,5.0,4.0,89.0,11.0,26.0,7.0,19.0,18.0,13.0,10.0,8.0,7.0,2.0,1.0,2.0,1.0,6.0,1.0,6.0,5.0,4.0,4.0,3.0,2.0
