ID,BedrijfstakkenBranchesSBI2008,GebruikOpenbareWifi_1,ZakelijkEnPrivegebruikVanApparaten_2,AantalGewerkteUren_3,EenKlantOfOpdrachtgever_4,TweeKlantenOfOpdrachtgevers_5,DrieOfMeerKlantenOfOpdrachtgevers_6,Omzetaandeel50VanEenOpdrachtgever_7,GebruikICTVoorzieningOpdrachtgever_8,MinderDan10VanDeTijd_9,k_10Tot50VanDeTijd_10,k_50Tot90VanDeTijd_11,TenMinste90VanDeTijd_12,InternetVast_13,MinderDan30MbitS_14,k_30Tot100MbitS_15,k_100Tot500MbitS_16,k_500MbitSTot1GbitS_17,TenMinste1GbitS_18,BedrijvenMetWebsite_19,MobieleAppVoorKlanten_20,WebsiteOfAppHeeftPlatformfunctie_21,ClouddienstenGebruikt_22,EMail_23,OfficeSoftware_24,OpslagDatabases_25,OpslagBestanden_26,Boekhoudingsoftware_27,ERPSoftware_28,CRMSoftware_29,Veiligheidssoftware_30,Rekenkracht_31,Rekenplatform_32,Antivirussoftware_33,BeleidVoorSterkeWachtwoorden_34,BiometrischeMethoden_35,Multifactorauthenticatie_36,EncryptieVanData_37,GegevensOpAndereFysiekeLocatie_38,NetworkAccessControl_39,VPNGebruikBuitenHetBedrijf_40,LogbestandenVoorAnalyseIncidenten_41,MethodesVoorBeoordelenICTVeiligheid_42,Risicoanalyses_43,ICTBeveiligingsmonitoringsysteem_44,CyberincidentGeoefend_45,DoorExterneLeverancierUitgevoerd_46,ZelfUitgevoerd_47,DoorExterneLeverancierZelfUitgevoerd_48,OnbekendOfNVT_49,PhishingAanval_50,DDoSAanval_51,DatalekOfDatamanipulatie_52,GehacktSocialemediaAccount_53,BECFraude_54,AndereCyberIncidenten_55,IncidentMetInterneOorzaakGehad_56,IncidentDoorAanvalVanBuitenGehad_57,UitvalICTDienstDoorInterneOorzaak_58,VernietigingDataDoorInterneOorzaak_59,OnthullingGegevensDoorInterneOorzaak_60,UitvalICTDienstDoorAanvalBuitenaf_61,VernietigingDataAanvalBuitenaf_62,OnthullingGegevensDoorICTInbraak_63,KostenIncidentInterneOorzaakGehad_64,KostenIncidentAanvalBuitenafGehad_65,UitvalICTDienstDoorInterneOorzaak_66,VernietigingDataDoorInterneOorzaak_67,OnthullingGegevensDoorInterneOorzaak_68,UitvalICTDienstDoorAanvalBuitenaf_69,VernietigingDataAanvalBuitenaf_70,OnthullingGegevensDoorICTInbraak_71,RansomwareAanvalGehad_72,BestandenOfICTSystemenVersleuteld_73,AfpersingOpenbaarmakingInformatie_74,VerzekeringICTVeiligheidsincidenten_75,BekendMetDTC_76,DTCWebsiteAlsBronGebruikt_77,GezochtNaarMeldingenCyberdreigingen_78,GebruikICTOplossingenVoorMilieu_79,VerminderenEnergieverbruik_80,VerbeterenMateriaalverbruik_81,MonitoringICTOplossingenVoorMilieu_82
10,300023,10.0,68.0,33.0,11.0,6.0,83.0,17.0,10.0,95.0,4.0,1.0,0.0,63.0,5.0,20.0,20.0,12.0,6.0,43.0,1.0,1.0,16.0,13.0,8.0,6.0,12.0,10.0,1.0,2.0,8.0,1.0,1.0,70.0,61.0,34.0,41.0,18.0,47.0,10.0,11.0,9.0,4.0,7.0,9.0,0.0,6.0,27.0,1.0,66.0,25.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,15.0,6.0,12.0,3.0
11,900008,7.0,61.0,37.0,10.0,4.0,86.0,26.0,6.0,98.0,2.0,0.0,0.0,60.0,4.0,23.0,15.0,13.0,5.0,20.0,0.0,0.0,9.0,7.0,7.0,1.0,7.0,5.0,1.0,2.0,5.0,0.0,0.0,50.0,45.0,30.0,31.0,15.0,31.0,10.0,8.0,6.0,5.0,7.0,12.0,0.0,5.0,27.0,1.0,68.0,14.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,6.0,9.0,5.0,7.0,3.0
12,351900,7.0,70.0,37.0,6.0,10.0,84.0,29.0,6.0,96.0,3.0,1.0,0.0,62.0,5.0,15.0,26.0,11.0,6.0,17.0,3.0,,12.0,9.0,6.0,6.0,9.0,8.0,0.0,1.0,4.0,1.0,1.0,63.0,50.0,29.0,32.0,19.0,40.0,10.0,11.0,6.0,6.0,6.0,11.0,0.0,5.0,24.0,0.0,71.0,23.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,10.0,5.0,9.0,4.0
13,354300,7.0,,36.0,8.0,3.0,89.0,9.0,7.0,99.0,1.0,0.0,0.0,,9.0,17.0,21.0,21.0,3.0,,1.0,,8.0,7.0,5.0,4.0,4.0,5.0,0.0,1.0,5.0,0.0,1.0,,,,,9.0,,16.0,11.0,14.0,9.0,12.0,12.0,0.0,5.0,24.0,4.0,,16.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,5.0,1.0,5.0,,20.0,21.0,8.0
14,356900,19.0,66.0,33.0,10.0,11.0,79.0,19.0,12.0,91.0,8.0,1.0,0.0,72.0,4.0,23.0,28.0,13.0,4.0,,3.0,1.0,9.0,6.0,5.0,2.0,9.0,5.0,0.0,1.0,3.0,0.0,0.0,68.0,,26.0,31.0,16.0,,15.0,15.0,5.0,2.0,2.0,9.0,0.0,10.0,32.0,1.0,,19.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,13.0,1.0,12.0,1.0
15,371600,16.0,73.0,29.0,26.0,3.0,70.0,7.0,10.0,94.0,4.0,1.0,1.0,76.0,7.0,17.0,23.0,19.0,10.0,51.0,3.0,,15.0,12.0,10.0,9.0,12.0,8.0,1.0,5.0,8.0,1.0,2.0,73.0,63.0,36.0,43.0,31.0,49.0,22.0,24.0,16.0,12.0,15.0,19.0,0.0,5.0,28.0,1.0,65.0,20.0,2.0,1.0,3.0,1.0,1.0,5.0,3.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,7.0,8.0,4.0,2.0,25.0,12.0,20.0,8.0
16,389200,18.0,91.0,26.0,23.0,7.0,70.0,6.0,14.0,94.0,4.0,2.0,0.0,82.0,13.0,21.0,24.0,19.0,4.0,66.0,2.0,5.0,16.0,12.0,9.0,6.0,12.0,10.0,1.0,3.0,10.0,0.0,1.0,78.0,52.0,27.0,36.0,16.0,39.0,11.0,10.0,10.0,6.0,6.0,14.0,0.0,6.0,29.0,1.0,64.0,33.0,0.0,2.0,3.0,1.0,1.0,4.0,6.0,4.0,2.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,6.0,4.0,1.0,2.0,18.0,13.0,10.0,5.0
17,390500,21.0,69.0,29.0,28.0,9.0,63.0,18.0,10.0,92.0,3.0,4.0,1.0,56.0,4.0,13.0,19.0,14.0,6.0,25.0,2.0,,9.0,6.0,5.0,8.0,8.0,6.0,1.0,2.0,3.0,1.0,1.0,43.0,41.0,24.0,31.0,15.0,31.0,9.0,8.0,7.0,6.0,4.0,6.0,0.0,6.0,23.0,1.0,70.0,18.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,1.0,11.0,5.0,10.0,3.0
18,391705,27.0,84.0,33.0,15.0,5.0,79.0,34.0,22.0,88.0,5.0,6.0,1.0,82.0,3.0,16.0,29.0,20.0,14.0,54.0,0.0,0.0,53.0,37.0,25.0,27.0,48.0,29.0,1.0,4.0,14.0,3.0,2.0,61.0,62.0,48.0,61.0,26.0,66.0,18.0,24.0,9.0,3.0,7.0,4.0,0.0,3.0,35.0,2.0,60.0,30.0,1.0,2.0,5.0,0.0,1.0,3.0,8.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,16.0,9.0,9.0,1.0
19,394100,10.0,,39.0,,7.0,,,,88.0,7.0,0.0,5.0,90.0,5.0,,,,12.0,,7.0,,,,,,,,7.0,7.0,,7.0,5.0,,,,,,,,,,,,,0.0,10.0,,0.0,,,2.0,2.0,5.0,2.0,5.0,7.0,2.0,7.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,7.0,12.0,,7.0,,,,,7.0
20,395005,16.0,65.0,28.0,27.0,21.0,52.0,,55.0,58.0,12.0,18.0,13.0,91.0,1.0,16.0,35.0,20.0,19.0,56.0,3.0,8.0,65.0,54.0,33.0,31.0,49.0,35.0,3.0,11.0,26.0,21.0,22.0,75.0,80.0,68.0,82.0,57.0,82.0,43.0,43.0,37.0,15.0,22.0,21.0,0.0,4.0,61.0,7.0,28.0,31.0,1.0,1.0,1.0,0.0,0.0,8.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.0,7.0,23.0,25.0,16.0,20.0,4.0
21,900016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,900027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,900021,13.0,65.0,36.0,8.0,6.0,86.0,8.0,28.0,77.0,9.0,10.0,4.0,80.0,1.0,13.0,28.0,29.0,8.0,56.0,5.0,12.0,42.0,36.0,33.0,29.0,39.0,23.0,5.0,25.0,32.0,15.0,10.0,92.0,78.0,49.0,78.0,41.0,78.0,37.0,34.0,30.0,28.0,31.0,36.0,0.0,35.0,29.0,6.0,30.0,18.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,30.0,14.0,4.0,3.0,27.0,12.0,24.0,9.0
24,402100,21.0,69.0,32.0,12.0,9.0,80.0,13.0,19.0,85.0,6.0,6.0,3.0,84.0,6.0,21.0,31.0,22.0,6.0,51.0,3.0,10.0,30.0,23.0,20.0,21.0,27.0,14.0,1.0,12.0,18.0,1.0,0.0,85.0,71.0,43.0,60.0,24.0,62.0,22.0,17.0,15.0,12.0,15.0,21.0,0.0,22.0,34.0,4.0,41.0,27.0,1.0,1.0,3.0,1.0,2.0,6.0,4.0,5.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,5.0,2.0,4.0,21.0,9.0,19.0,5.0
25,900009,23.0,71.0,28.0,23.0,16.0,60.0,26.0,51.0,60.0,17.0,13.0,9.0,87.0,3.0,22.0,29.0,24.0,10.0,38.0,0.0,0.0,43.0,36.0,34.0,17.0,38.0,24.0,2.0,4.0,28.0,3.0,1.0,87.0,72.0,49.0,69.0,32.0,70.0,25.0,24.0,18.0,11.0,14.0,20.0,0.0,14.0,44.0,1.0,41.0,31.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2.0,7.0,15.0,9.0,12.0,4.0
26,405900,22.0,65.0,27.0,13.0,15.0,72.0,28.0,32.0,78.0,9.0,10.0,2.0,84.0,5.0,19.0,32.0,22.0,6.0,49.0,0.0,3.0,29.0,23.0,18.0,13.0,24.0,18.0,1.0,2.0,14.0,3.0,1.0,85.0,65.0,42.0,56.0,22.0,71.0,17.0,18.0,8.0,6.0,11.0,14.0,0.0,11.0,36.0,5.0,48.0,36.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,5.0,1.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,5.0,3.0,1.0,6.0,24.0,14.0,18.0,4.0
27,406800,25.0,83.0,26.0,21.0,19.0,61.0,,39.0,73.0,14.0,8.0,4.0,78.0,5.0,22.0,23.0,20.0,7.0,35.0,1.0,0.0,30.0,21.0,21.0,15.0,28.0,6.0,1.0,1.0,14.0,2.0,2.0,84.0,71.0,38.0,51.0,29.0,74.0,27.0,21.0,13.0,4.0,9.0,13.0,0.0,5.0,42.0,1.0,52.0,30.0,2.0,0.0,1.0,1.0,1.0,7.0,4.0,6.0,1.0,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,7.0,2.0,9.0,22.0,12.0,17.0,2.0
28,408100,17.0,77.0,30.0,8.0,11.0,82.0,19.0,26.0,79.0,15.0,5.0,2.0,81.0,4.0,19.0,29.0,18.0,10.0,73.0,0.0,2.0,38.0,29.0,22.0,24.0,31.0,15.0,0.0,2.0,16.0,3.0,3.0,69.0,77.0,53.0,65.0,34.0,70.0,26.0,22.0,20.0,9.0,9.0,16.0,0.0,6.0,46.0,0.0,49.0,46.0,3.0,2.0,1.0,0.0,1.0,5.0,5.0,5.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,1.0,6.0,33.0,16.0,30.0,4.0
29,800023,29.0,80.0,25.0,26.0,12.0,62.0,,19.0,85.0,7.0,4.0,4.0,81.0,1.0,17.0,32.0,24.0,7.0,56.0,0.0,1.0,31.0,20.0,14.0,15.0,29.0,14.0,0.0,1.0,10.0,3.0,2.0,60.0,73.0,45.0,58.0,28.0,60.0,12.0,17.0,14.0,6.0,5.0,14.0,0.0,6.0,34.0,0.0,60.0,26.0,1.0,1.0,3.0,0.0,1.0,2.0,6.0,2.0,1.0,1.0,4.0,2.0,5.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,1.0,5.0,3.0,4.0,15.0,5.0,12.0,1.0
30,410300,15.0,69.0,29.0,8.0,7.0,84.0,12.0,15.0,93.0,4.0,3.0,0.0,80.0,9.0,22.0,29.0,14.0,6.0,59.0,0.0,0.0,19.0,17.0,14.0,11.0,17.0,9.0,1.0,4.0,8.0,1.0,1.0,79.0,68.0,36.0,,23.0,60.0,19.0,12.0,12.0,9.0,15.0,12.0,0.0,9.0,33.0,2.0,,28.0,2.0,0.0,0.0,1.0,2.0,5.0,4.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,6.0,6.0,3.0,4.0,19.0,11.0,17.0,7.0
31,412700,30.0,69.0,34.0,18.0,9.0,73.0,,,,23.0,12.0,7.0,81.0,2.0,13.0,34.0,22.0,10.0,,2.0,4.0,28.0,26.0,21.0,13.0,23.0,11.0,0.0,5.0,17.0,0.0,0.0,79.0,66.0,,69.0,34.0,,23.0,24.0,13.0,16.0,14.0,21.0,0.0,13.0,,2.0,,29.0,1.0,0.0,2.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,1.0,1.0,20.0,14.0,16.0,3.0
32,413700,38.0,82.0,30.0,6.0,10.0,85.0,12.0,22.0,86.0,4.0,6.0,5.0,83.0,2.0,21.0,30.0,14.0,15.0,59.0,15.0,,19.0,11.0,11.0,12.0,13.0,5.0,1.0,5.0,10.0,2.0,3.0,80.0,69.0,47.0,62.0,30.0,70.0,33.0,23.0,16.0,20.0,22.0,32.0,0.0,22.0,33.0,3.0,42.0,33.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12.0,5.0,0.0,3.0,26.0,9.0,25.0,7.0
33,900011,12.0,70.0,29.0,16.0,11.0,74.0,20.0,28.0,78.0,10.0,7.0,4.0,68.0,5.0,19.0,23.0,15.0,6.0,37.0,1.0,6.0,18.0,15.0,13.0,12.0,14.0,13.0,1.0,3.0,11.0,1.0,1.0,68.0,58.0,37.0,47.0,23.0,44.0,17.0,18.0,13.0,8.0,11.0,18.0,0.0,10.0,30.0,1.0,58.0,22.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,4.0,16.0,6.0,14.0,5.0
34,422500,12.0,75.0,28.0,12.0,7.0,81.0,18.0,42.0,69.0,14.0,11.0,7.0,70.0,4.0,9.0,31.0,14.0,12.0,56.0,2.0,0.0,19.0,16.0,11.0,10.0,16.0,8.0,2.0,6.0,12.0,0.0,0.0,88.0,74.0,49.0,68.0,46.0,70.0,22.0,24.0,17.0,12.0,13.0,22.0,0.0,19.0,28.0,5.0,48.0,18.0,0.0,1.0,2.0,1.0,0.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,1.0,3.0,22.0,8.0,19.0,3.0
35,425305,13.0,80.0,28.0,24.0,11.0,,10.0,,88.0,11.0,1.0,0.0,,4.0,19.0,,16.0,1.0,,5.0,,14.0,9.0,10.0,4.0,6.0,4.0,0.0,1.0,7.0,0.0,0.0,,,,,,,13.0,12.0,15.0,7.0,8.0,19.0,0.0,4.0,23.0,3.0,,16.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.0,8.0,3.0,1.0,12.0,7.0,10.0,4.0
