ID,OnLandOffShore,Periods,ProductionOfElectricity_1,ProductionFactor_2,ProductionByRotorSurface_3,PowerOfWindTurbines_4,RotorSurfaceOfWindTurbines_5,ValueMeasured_6,SeasonallyAdjusted_7
80,E006588 ,2006MM10,291.0,25.2,968.0,1549.0,3536.0,,
81,E006588 ,2006MM11,386.0,34.5,1324.0,1551.0,3543.0,,
82,E006588 ,2006MM12,413.0,35.6,1364.0,1561.0,3563.0,,
83,E006588 ,2006KW04,1089.0,31.7,1218.0,1561.0,3563.0,,
84,E006588 ,2006JJ00,2734.0,22.5,851.0,1561.0,3563.0,,
85,E006588 ,2007MM01,549.0,47.3,1814.0,1561.0,3565.0,,
86,E006588 ,2007MM02,262.0,25.1,963.0,1557.0,3552.0,,
87,E006588 ,2007MM03,382.0,32.5,1248.0,1580.0,3604.0,,
88,E006588 ,2007KW01,1194.0,35.3,1354.0,1580.0,3604.0,,
89,E006588 ,2007MM04,178.0,15.6,601.0,1581.0,3605.0,,
90,E006588 ,2007MM05,253.0,21.4,820.0,1592.0,3630.0,,
91,E006588 ,2007MM06,166.0,14.3,550.0,1613.0,3675.0,,
92,E006588 ,2007KW02,597.0,17.1,658.0,1613.0,3675.0,,
93,E006588 ,2007MM07,285.0,23.5,904.0,1632.0,3719.0,,
94,E006588 ,2007MM08,191.0,15.6,597.0,1651.0,3771.0,,
95,E006588 ,2007MM09,274.0,23.0,882.0,1651.0,3774.0,,
96,E006588 ,2007KW03,750.0,20.7,793.0,1651.0,3774.0,,
97,E006588 ,2007MM10,145.0,11.8,454.0,1653.0,3772.0,,
98,E006588 ,2007MM11,345.0,28.3,1085.0,1695.0,3875.0,,
99,E006588 ,2007MM12,406.0,31.2,1196.0,1749.0,4002.0,,
100,E006588 ,2007KW04,897.0,23.9,917.0,1749.0,4002.0,,
101,E006588 ,2007JJ00,3438.0,24.1,926.0,1749.0,4002.0,,
102,E006588 ,2008MM01,622.0,44.2,1688.0,1891.0,4350.0,,
103,E006588 ,2008MM02,362.0,27.3,1042.0,1908.0,4388.0,,
104,E006588 ,2008MM03,510.0,35.8,1368.0,1915.0,4403.0,,
105,E006588 ,2008KW01,1495.0,35.9,1372.0,1915.0,4403.0,,
106,E006588 ,2008MM04,261.0,18.8,718.0,1930.0,4435.0,,
107,E006588 ,2008MM05,232.0,16.1,613.0,1942.0,4468.0,,
108,E006588 ,2008MM06,219.0,15.7,601.0,1935.0,4451.0,,
109,E006588 ,2008KW02,712.0,16.8,644.0,1935.0,4451.0,,
110,E006588 ,2008MM07,257.0,17.8,679.0,1947.0,4476.0,,
111,E006588 ,2008MM08,336.0,22.7,870.0,1989.0,4556.0,,
112,E006588 ,2008MM09,276.0,18.6,718.0,2060.0,4695.0,,
113,E006588 ,2008KW03,869.0,19.7,756.0,2060.0,4695.0,,
114,E006588 ,2008MM10,390.0,25.1,969.0,2085.0,4745.0,,
115,E006588 ,2008MM11,455.0,30.2,1168.0,2088.0,4750.0,,
116,E006588 ,2008MM12,339.0,21.2,822.0,2149.0,4869.0,,
117,E006588 ,2008KW04,1183.0,25.4,983.0,2149.0,4869.0,,
118,E006588 ,2008JJ00,4260.0,24.4,936.0,2149.0,4869.0,,
119,E006588 ,2009MM01,433.0,26.7,1032.0,2184.0,4942.0,,
120,E006588 ,2009MM02,320.0,21.4,831.0,2223.0,5013.0,,
121,E006588 ,2009MM03,440.0,26.5,1030.0,2234.0,5033.0,,
122,E006588 ,2009KW01,1193.0,25.0,969.0,2234.0,5033.0,,
123,E006588 ,2009MM04,229.0,14.2,554.0,2234.0,5033.0,,
124,E006588 ,2009MM05,404.0,24.3,945.0,2234.0,5033.0,,
125,E006588 ,2009MM06,248.0,15.4,597.0,2244.0,5055.0,,
126,E006588 ,2009KW02,881.0,18.0,701.0,2244.0,5055.0,,
127,E006588 ,2009MM07,337.0,20.2,784.0,2245.0,5057.0,,
128,E006588 ,2009MM08,239.0,14.3,556.0,2248.0,5063.0,,
129,E006588 ,2009MM09,364.0,22.5,876.0,2248.0,5063.0,,
130,E006588 ,2009KW03,940.0,19.0,737.0,2248.0,5063.0,,
131,E006588 ,2009MM10,412.0,24.5,954.0,2255.0,5083.0,,
132,E006588 ,2009MM11,684.0,42.1,1636.0,2257.0,5086.0,,
133,E006588 ,2009MM12,470.0,28.4,1105.0,2222.0,5006.0,,
134,E006588 ,2009KW04,1566.0,31.6,1228.0,2222.0,5006.0,,
135,E006588 ,2009JJ00,4581.0,23.4,909.0,2222.0,5006.0,,
136,E006588 ,2010MM01,328.0,19.9,773.0,2216.0,4998.0,,
137,E006588 ,2010MM02,371.0,24.9,969.0,2216.0,4998.0,,
138,E006588 ,2010MM03,412.0,25.0,971.0,2218.0,5002.0,,
139,E006588 ,2010KW01,1112.0,23.2,902.0,2218.0,5002.0,,
140,E006588 ,2010MM04,289.0,18.1,702.0,2219.0,5002.0,,
141,E006588 ,2010MM05,297.0,18.0,699.0,2223.0,5010.0,,
142,E006588 ,2010MM06,199.0,12.4,484.0,2222.0,5007.0,,
143,E006588 ,2010KW02,785.0,16.2,629.0,2222.0,5007.0,,
144,E006588 ,2010MM07,178.0,10.8,419.0,2222.0,5007.0,,
145,E006588 ,2010MM08,347.0,21.0,815.0,2222.0,5006.0,,
146,E006588 ,2010MM09,317.0,19.8,771.0,2222.0,5006.0,,
147,E006588 ,2010KW03,842.0,17.2,667.0,2222.0,5006.0,,
148,E006588 ,2010MM10,463.0,27.9,1085.0,2231.0,5025.0,,
149,E006588 ,2010MM11,404.0,25.1,976.0,2237.0,5032.0,,
150,E006588 ,2010MM12,387.0,23.3,906.0,2237.0,5033.0,,
151,E006588 ,2010KW04,1254.0,25.4,989.0,2237.0,5033.0,,
152,E006588 ,2010JJ00,3993.0,20.5,797.0,2237.0,5033.0,,
153,E006588 ,2011MM01,473.0,28.4,1097.0,2239.0,5079.0,,
154,E006588 ,2011MM02,497.0,32.7,1272.0,2262.0,5091.0,,
155,E006588 ,2011MM03,298.0,17.7,690.0,2263.0,5092.0,,
156,E006588 ,2011KW01,1268.0,26.0,1011.0,2263.0,5092.0,,
157,E006588 ,2011MM04,327.0,20.1,781.0,2263.0,5092.0,,
158,E006588 ,2011MM05,404.0,24.0,937.0,2265.0,5077.0,,
159,E006588 ,2011MM06,318.0,19.5,763.0,2265.0,5076.0,,
160,E006588 ,2011KW02,1049.0,21.2,828.0,2265.0,5076.0,,
161,E006588 ,2011MM07,384.0,22.7,889.0,2274.0,5089.0,,
162,E006588 ,2011MM08,293.0,17.3,678.0,2272.0,5085.0,,
163,E006588 ,2011MM09,392.0,23.8,931.0,2282.0,5115.0,,
164,E006588 ,2011KW03,1069.0,21.3,832.0,2282.0,5115.0,,
165,E006588 ,2011MM10,503.0,29.5,1152.0,2295.0,5143.0,,
166,E006588 ,2011MM11,359.0,21.5,841.0,2314.0,5187.0,,
167,E006588 ,2011MM12,852.0,49.5,1933.0,2316.0,5190.0,,
168,E006588 ,2011KW04,1714.0,33.6,1314.0,2316.0,5190.0,,
169,E006588 ,2011JJ00,5100.0,25.6,998.0,2316.0,5190.0,,
170,E006588 ,2012MM01,665.0,38.7,1515.0,2312.0,5183.0,,
171,E006588 ,2012MM02,467.0,29.0,1134.0,2317.0,5196.0,,
172,E006588 ,2012MM03,267.0,15.4,603.0,2334.0,5226.0,,
173,E006588 ,2012KW01,1399.0,27.6,1082.0,2334.0,5226.0,,
174,E006588 ,2012MM04,409.0,24.6,965.0,2312.0,5171.0,,
175,E006588 ,2012MM05,313.0,18.0,706.0,2341.0,5232.0,,
176,E006588 ,2012MM06,379.0,22.4,880.0,2355.0,5258.0,,
177,E006588 ,2012KW02,1101.0,21.6,848.0,2355.0,5258.0,,
178,E006588 ,2012MM07,295.0,16.9,666.0,2343.0,5234.0,,
179,E006588 ,2012MM08,251.0,14.3,562.0,2366.0,5284.0,,
180,E006588 ,2012MM09,374.0,21.8,861.0,2379.0,5305.0,,
181,E006588 ,2012KW03,921.0,17.7,695.0,2379.0,5305.0,,
182,E006588 ,2012MM10,411.0,23.2,913.0,2383.0,5313.0,,
183,E006588 ,2012MM11,461.0,26.4,1039.0,2421.0,5413.0,,
184,E006588 ,2012MM12,689.0,38.1,1495.0,2433.0,5439.0,,
185,E006588 ,2012KW04,1561.0,29.3,1152.0,2433.0,5439.0,,
186,E006588 ,2012JJ00,4982.0,24.1,945.0,2433.0,5439.0,,
187,E006588 ,2013MM01,532.0,29.0,1141.0,2461.0,5488.0,,
188,E006588 ,2013MM02,447.0,25.8,1005.0,2575.0,5799.0,,
189,E006588 ,2013MM03,585.0,30.6,1189.0,2573.0,5796.0,,
190,E006588 ,2013KW01,1564.0,28.6,1115.0,2573.0,5796.0,,
191,E006588 ,2013MM04,472.0,25.1,972.0,2612.0,5910.0,,
192,E006588 ,2013MM05,427.0,21.8,843.0,2628.0,5959.0,,
193,E006588 ,2013MM06,460.0,24.2,937.0,2640.0,5979.0,,
194,E006588 ,2013KW02,1359.0,23.7,916.0,2640.0,5979.0,,
195,E006588 ,2013MM07,198.0,10.0,388.0,2652.0,6000.0,,
196,E006588 ,2013MM08,251.0,12.5,482.0,2695.0,6133.0,,
197,E006588 ,2013MM09,354.0,18.2,698.0,2704.0,6161.0,,
198,E006588 ,2013KW03,803.0,13.5,522.0,2704.0,6161.0,,
199,E006588 ,2013MM10,628.0,31.1,1195.0,2714.0,6190.0,,
200,E006588 ,2013MM11,460.0,23.6,905.0,2713.0,6189.0,,
201,E006588 ,2013MM12,813.0,40.3,1546.0,2713.0,6189.0,,
202,E006588 ,2013KW04,1901.0,31.7,1219.0,2713.0,6189.0,,
203,E006588 ,2013JJ00,5627.0,24.3,940.0,2713.0,6189.0,,
204,E006588 ,2014MM01,779.0,38.6,1481.0,2716.0,6193.0,,
205,E006588 ,2014MM02,815.0,44.7,1716.0,2715.0,6192.0,,
206,E006588 ,2014MM03,493.0,24.4,936.0,2718.0,6200.0,,
207,E006588 ,2014KW01,2087.0,35.6,1366.0,2718.0,6200.0,,
208,E006588 ,2014MM04,360.0,18.4,707.0,2720.0,6205.0,,
209,E006588 ,2014MM05,387.0,19.2,737.0,2708.0,6181.0,,
210,E006588 ,2014MM06,215.0,10.9,419.0,2732.0,6245.0,,
211,E006588 ,2014KW02,963.0,16.2,622.0,2732.0,6245.0,,
212,E006588 ,2014MM07,276.0,13.6,520.0,2732.0,6246.0,,
213,E006588 ,2014MM08,425.0,20.7,792.0,2764.0,6325.0,,
214,E006588 ,2014MM09,203.0,10.1,387.0,2781.0,6369.0,,
215,E006588 ,2014KW03,904.0,14.8,568.0,2781.0,6369.0,,
216,E006588 ,2014MM10,517.0,24.8,948.0,2805.0,6419.0,,
217,E006588 ,2014MM11,429.0,21.0,803.0,2839.0,6493.0,,
218,E006588 ,2014MM12,898.0,42.1,1615.0,2865.0,6548.0,,
219,E006588 ,2014KW04,1844.0,29.4,1128.0,2865.0,6548.0,,
220,E006588 ,2014JJ00,5797.0,24.0,920.0,2865.0,6548.0,,
221,E006588 ,2015MM01,870.0,40.0,1529.0,2927.0,6700.0,,
222,E006588 ,2015MM02,504.0,25.6,979.0,2936.0,6713.0,,
223,E006588 ,2015MM03,684.0,30.7,1177.0,2990.0,6840.0,,
224,E006588 ,2015KW01,2059.0,32.3,1236.0,2990.0,6840.0,,
225,E006588 ,2015MM04,420.0,19.4,743.0,3014.0,6877.0,,
226,E006588 ,2015MM05,564.0,23.8,899.0,3180.0,7384.0,,
227,E006588 ,2015MM06,420.0,18.1,686.0,3217.0,7450.0,,
228,E006588 ,2015KW02,1404.0,20.5,778.0,3217.0,7450.0,,
229,E006588 ,2015MM07,572.0,23.8,901.0,3230.0,7472.0,,
230,E006588 ,2015MM08,395.0,16.5,625.0,3218.0,7443.0,,
231,E006588 ,2015MM09,531.0,22.5,853.0,3275.0,7575.0,,
232,E006588 ,2015KW03,1498.0,20.9,793.0,3275.0,7575.0,,
233,E006588 ,2015MM10,312.0,12.7,482.0,3288.0,7605.0,,
234,E006588 ,2015MM11,1101.0,45.3,1702.0,3377.0,7865.0,,
235,E006588 ,2015MM12,1177.0,46.7,1753.0,3391.0,7907.0,,
236,E006588 ,2015KW04,2589.0,35.0,1318.0,3391.0,7907.0,,
237,E006588 ,2015JJ00,7550.0,27.2,1031.0,3391.0,7907.0,,
238,E006588 ,2016MM01,930.0,36.0,1336.0,3475.0,8215.0,,
239,E006588 ,2016MM02,865.0,32.7,1179.0,3802.0,9251.0,,
240,E006588 ,2016MM03,640.0,22.7,817.0,3790.0,9248.0,,
241,E006588 ,2016KW01,2434.0,30.2,1100.0,3790.0,9248.0,,
242,E006588 ,2016MM04,591.0,21.7,783.0,3791.0,9218.0,,
243,E006588 ,2016MM05,604.0,21.3,769.0,3816.0,9282.0,,
244,E006588 ,2016MM06,358.0,12.0,422.0,4155.0,10360.0,,
245,E006588 ,2016KW02,1554.0,18.2,650.0,4155.0,10360.0,,
246,E006588 ,2016MM07,505.0,16.3,575.0,4156.0,10365.0,,
247,E006588 ,2016MM08,613.0,19.7,695.0,4174.0,10401.0,,
248,E006588 ,2016MM09,503.0,16.7,588.0,4195.0,10441.0,,
249,E006588 ,2016KW03,1621.0,17.6,620.0,4195.0,10441.0,,
250,E006588 ,2016MM10,646.0,20.6,726.0,4218.0,10503.0,,
251,E006588 ,2016MM11,948.0,31.0,1091.0,4248.0,10600.0,,
252,E006588 ,2016MM12,968.0,30.6,1078.0,4257.0,10607.0,,
253,E006588 ,2016KW04,2561.0,27.4,964.0,4257.0,10607.0,,
254,E006588 ,2016JJ00,8170.0,23.2,827.0,4257.0,10607.0,,
255,E006588 ,2017MM01,860.0,27.3,958.0,4240.0,10571.0,,
256,E006588 ,2017MM02,1144.0,40.4,1417.0,4218.0,10526.0,,
257,E006588 ,2017MM03,974.0,31.0,1087.0,4227.0,10550.0,,
258,E006588 ,2017KW01,2978.0,32.6,1145.0,4227.0,10550.0,,
259,E006588 ,2017MM04,732.0,24.0,844.0,4227.0,10550.0,,
260,E006588 ,2017MM05,590.0,18.8,659.0,4227.0,10548.0,,
261,E006588 ,2017MM06,741.0,24.4,856.0,4218.0,10528.0,,
262,E006588 ,2017KW02,2063.0,22.4,785.0,4218.0,10528.0,,
263,E006588 ,2017MM07,587.0,18.8,661.0,4188.0,10468.0,,
264,E006588 ,2017MM08,558.0,17.9,628.0,4188.0,10467.0,,
265,E006588 ,2017MM09,622.0,20.7,726.0,4164.0,10416.0,,
266,E006588 ,2017KW03,1767.0,19.1,671.0,4164.0,10416.0,,
267,E006588 ,2017MM10,1394.0,45.1,1577.0,4156.0,10405.0,,
268,E006588 ,2017MM11,1008.0,33.4,1168.0,4192.0,10506.0,,
269,E006588 ,2017MM12,1359.0,43.5,1517.0,4202.0,10548.0,,
270,E006588 ,2017KW04,3761.0,40.7,1423.0,4202.0,10548.0,,
271,E006588 ,2017JJ00,10569.0,28.7,1006.0,4202.0,10548.0,,
272,E006588 ,2018MM01,1393.0,44.4,1547.0,4216.0,10602.0,,
273,E006588 ,2018MM02,933.0,32.8,1142.0,4228.0,10644.0,,
274,E006588 ,2018MM03,1069.0,34.0,1182.0,4232.0,10653.0,,
275,E006588 ,2018KW01,3395.0,37.2,1295.0,4232.0,10653.0,,
276,E006588 ,2018MM04,778.0,25.5,885.0,4246.0,10703.0,,
277,E006588 ,2018MM05,627.0,19.8,690.0,4247.0,10703.0,,
278,E006588 ,2018MM06,570.0,18.7,649.0,4245.0,10698.0,,
279,E006588 ,2018KW02,1976.0,21.3,741.0,4245.0,10698.0,,
280,E006588 ,2018MM07,424.0,13.3,462.0,4280.0,10801.0,,
281,E006588 ,2018MM08,591.0,18.6,644.0,4280.0,10801.0,,
282,E006588 ,2018MM09,824.0,26.3,910.0,4354.0,11024.0,,
283,E006588 ,2018KW03,1839.0,19.4,671.0,4354.0,11024.0,,
284,E006588 ,2018MM10,941.0,28.9,997.0,4380.0,11105.0,,
285,E006588 ,2018MM11,1095.0,34.7,1200.0,4379.0,11103.0,,
286,E006588 ,2018MM12,1303.0,39.9,1377.0,4393.0,11142.0,,
287,E006588 ,2018KW04,3338.0,34.5,1191.0,4393.0,11142.0,,
288,E006588 ,2018JJ00,10549.0,28.1,974.0,4393.0,11142.0,,
289,E006588 ,2019MM01,1261.0,,,,,,
290,E006588 ,2019MM02,950.0,,,,,,
291,E006588 ,2019MM03,1442.0,,,,,,
292,E006588 ,2019KW01,3653.0,,,,,,
293,E006588 ,2019MM04,810.0,,,,,,
294,E006588 ,2019MM05,685.0,,,,,,
295,E006588 ,2019MM06,579.0,,,,,,
296,E006588 ,2019KW02,2074.0,,,,,,
297,E006637 ,2002MM01,113.0,31.2,1128.0,487.0,1181.0,162.0,110.0
298,E006637 ,2002MM02,148.0,45.3,1635.0,487.0,1182.0,226.0,158.0
299,E006637 ,2002MM03,81.0,22.3,798.0,487.0,1193.0,110.0,100.0
300,E006637 ,2002KW01,342.0,32.5,1171.0,487.0,1193.0,166.0,124.0
301,E006637 ,2002MM04,74.0,21.2,763.0,487.0,1184.0,104.0,116.0
302,E006637 ,2002MM05,64.0,17.7,637.0,489.0,1188.0,90.0,106.0
303,E006637 ,2002MM06,54.0,15.1,543.0,501.0,1221.0,71.0,101.0
304,E006637 ,2002KW02,193.0,18.0,647.0,501.0,1221.0,88.0,109.0
305,E006637 ,2002MM07,58.0,15.6,561.0,503.0,1226.0,78.0,117.0
306,E006637 ,2002MM08,27.0,6.5,235.0,553.0,1334.0,28.0,52.0
307,E006637 ,2002MM09,40.0,10.1,366.0,554.0,1339.0,45.0,60.0
308,E006637 ,2002KW03,125.0,10.6,383.0,554.0,1339.0,50.0,78.0
309,E006637 ,2002MM10,103.0,24.1,876.0,573.0,1380.0,120.0,98.0
310,E006637 ,2002MM11,74.0,16.8,612.0,614.0,1475.0,73.0,69.0
311,E006637 ,2002MM12,110.0,22.0,804.0,672.0,1608.0,109.0,82.0
312,E006637 ,2002KW04,287.0,21.0,765.0,672.0,1608.0,100.0,84.0
313,E006637 ,2002JJ00,947.0,20.2,733.0,672.0,1608.0,101.0,101.0
314,E006637 ,2003MM01,163.0,31.9,1165.0,688.0,1648.0,150.0,102.0
315,E006637 ,2003MM02,78.0,16.2,592.0,720.0,1723.0,68.0,48.0
316,E006637 ,2003MM03,96.0,17.7,646.0,731.0,1756.0,81.0,74.0
317,E006637 ,2003KW01,338.0,21.9,801.0,731.0,1756.0,100.0,75.0
318,E006637 ,2003MM04,131.0,23.5,858.0,774.0,1855.0,108.0,122.0
319,E006637 ,2003MM05,104.0,17.6,646.0,797.0,1903.0,81.0,96.0
320,E006637 ,2003MM06,67.0,11.5,422.0,813.0,1942.0,52.0,74.0
321,E006637 ,2003KW02,303.0,17.4,639.0,813.0,1942.0,81.0,99.0
322,E006637 ,2003MM07,79.0,12.9,475.0,822.0,1958.0,57.0,86.0
323,E006637 ,2003MM08,59.0,9.4,347.0,841.0,2003.0,42.0,78.0
324,E006637 ,2003MM09,56.0,9.2,337.0,848.0,2023.0,37.0,50.0
325,E006637 ,2003KW03,194.0,10.5,386.0,848.0,2023.0,46.0,70.0
326,E006637 ,2003MM10,136.0,21.1,777.0,866.0,2062.0,92.0,76.0
327,E006637 ,2003MM11,155.0,24.6,904.0,874.0,2082.0,104.0,98.0
328,E006637 ,2003MM12,195.0,28.9,1067.0,905.0,2148.0,131.0,99.0
329,E006637 ,2003KW04,485.0,24.9,918.0,905.0,2148.0,109.0,91.0
330,E006637 ,2003JJ00,1320.0,18.7,685.0,905.0,2148.0,84.0,84.0
331,E006637 ,2004MM01,216.0,31.8,1176.0,914.0,2169.0,144.0,98.0
332,E006637 ,2004MM02,204.0,31.7,1175.0,927.0,2196.0,139.0,97.0
333,E006637 ,2004MM03,164.0,23.5,871.0,941.0,2225.0,112.0,102.0
334,E006637 ,2004KW01,585.0,28.9,1070.0,941.0,2225.0,132.0,99.0
335,E006637 ,2004MM04,128.0,18.7,693.0,954.0,2255.0,81.0,91.0
336,E006637 ,2004MM05,91.0,12.6,470.0,971.0,2296.0,56.0,65.0
337,E006637 ,2004MM06,132.0,18.6,691.0,981.0,2322.0,82.0,117.0
338,E006637 ,2004KW02,351.0,16.6,616.0,981.0,2322.0,73.0,90.0
339,E006637 ,2004MM07,100.0,13.6,506.0,986.0,2334.0,61.0,90.0
340,E006637 ,2004MM08,121.0,16.5,612.0,987.0,2338.0,75.0,140.0
341,E006637 ,2004MM09,190.0,26.4,980.0,999.0,2364.0,118.0,160.0
342,E006637 ,2004KW03,411.0,18.8,697.0,999.0,2364.0,85.0,130.0
343,E006637 ,2004MM10,203.0,26.4,982.0,1036.0,2444.0,121.0,99.0
344,E006637 ,2004MM11,147.0,19.4,722.0,1058.0,2492.0,86.0,81.0
345,E006637 ,2004MM12,173.0,21.6,807.0,1075.0,2533.0,101.0,76.0
346,E006637 ,2004KW04,524.0,22.5,837.0,1075.0,2533.0,103.0,85.0
347,E006637 ,2004JJ00,1871.0,21.6,802.0,1075.0,2533.0,98.0,98.0
348,E006637 ,2005MM01,341.0,41.6,1552.0,1102.0,2587.0,198.0,135.0
349,E006637 ,2005MM02,187.0,25.2,942.0,1104.0,2589.0,107.0,75.0
350,E006637 ,2005MM03,212.0,25.7,959.0,1108.0,2598.0,118.0,107.0
351,E006637 ,2005KW01,740.0,31.0,1158.0,1108.0,2598.0,141.0,106.0
352,E006637 ,2005MM04,126.0,15.4,576.0,1136.0,2663.0,70.0,79.0
353,E006637 ,2005MM05,162.0,19.1,714.0,1142.0,2677.0,86.0,101.0
