ID,Persoonskenmerken,PersonenMetThuisBeschikkingOverPc_1,InAfgelopen3Jaar_2,k_46JaarGeleden_3,k_79JaarGeleden_4,k_10JaarOfLangerGeleden_5,GeenInteressePcNietZinvol_6,TeDuur_7,GeenKennisOfVaardigheden_8,VoeltZichTeOud_9,OverigeRedenen_10,JaZeker_11,JaMisschien_12,PersonenMetThuisInternettoegang_13,PersonalComputer_14,Laptop_15,MobieleTelefoon_16,Anders_17,AnaloogModem_18,ISDN_19,Kabel_20,Breedband_21,Anders_22,GeenInteresseNietZinvol_23,InternetgebruikTeDuur_24,GeenKennisVaardigheden_25,GeenPcGeenGeschiktePcVoorInternet_26,OverigeRedenen_27,JaZeker_28,JaMisschien_29,BezitMobieleTelefoon_30,HeeftEenPersonalComputerGebruikt_31,VanAlleInwonersNederlandVanaf12Jr_32,VanDePersonalComputerGebruikers_33,GebruikTekstverwerkingsprogrammaS_34,GebruikSpreadsheetsprogrammaS_35,SpelenVanSpelletjes_36,RaadplegenNaslagwerkenOpCdrom_37,RaadplegenReisplannerOfCdfoongids_38,Telebankieren_39,VanAlleInwonersNederlandVanaf12Jr_40,VanDegenenDieThuisEenPcBezitten_41,VoorPriveDoeleinden_42,VoorHetWerk_43,ZowelVoorPriveEnWerkDoeleinden_44,Dagelijks_45,EenKeerPerWeek_46,EenKeerPerMaand_47,HeeftEldersPersonalComputerGebruikt_48,HeeftPcOpHetWerkGebruikt_49,IedereWerkdag_50,EenKeerPerWeek_51,EenKeerPerMaand_52,HeeftPcBijOpleidingsinstGebruikt_53,Dagelijks_54,EenKeerPerWeek_55,EenKeerPerMaand_56,HeeftPcErgensAndersGebruikt_57,TekstverwerkingsprogrammaS_58,SpreadsheetsprogrammaS_59,BesturingsprogrammaS_60,PresentatieprogrammaS_61,HeeftOoitZelfProgrammaGeinstalleerd_62,HeeftOoitGeinternetEnOfGeeMaild_63,HeeftInternetInAfg4WekenGebruikt_64,VanAlleInwonersNederlandVanaf12Jr_65,VanDeInternetGebruikers_66,VanAlleInwonersNederlandVanaf12Jr_67,VanDegenenDieThuisInternetBezitten_68,VoorPriveDoeleinden_69,VoorHetWerk_70,ZowelVoorPriveEnWerkDoeleinden_71,Dagelijks_72,EenKeerPerWeek_73,EenKeerPerMaand_74,HeeftEldersInternetGebruikt_75,HeeftInternetOpHetWerkGebruikt_76,IedereWerkdag_77,EenKeerPerWeek_78,EenKeerPerMaand_79,HeeftInternetBijOplInstGebruikt_80,Dagelijks_81,EenKeerPerWeek_82,EenKeerPerMaand_83,HeeftInternetErgensAndersGebruikt_84,Chatten_85,ZomaarWatSurfen_86,HeeftSiteSVanDeOverheidBezocht_87,GratisSpelletjes_88,GratisMuziek_89,GratisAndereSoftware_90,HeeftInformatieGezochtInAfg4Wkn_91,OnderwijsOnderwijsinstellingen_92,ActualiteitNieuwsgroepen_93,Gezondheid_94,CommercieleProductenEnDiensten_95,IetsAnders_96,KanMakkelijkInformatieVinden_97,HeeftOoitGeeMaild_98,HeeftInAfg4WekenGeeMaild_99,NieuweVriendenOpgedaanViaEMailen_100,NieuweContactenMetDezelfdeInteresses_101,BezitPriveEMailadres_102,EigenWoonplaats_103,WoonplaatsEldersInNederland_104,WonplaatsInHetBuitenland_105,KanMappenMakenOmBerichtenTeBewaren_106,KanVerzendlijstOpstellen_107,KanAttachementsOfBijlagenMeesturen_108,KanGeenVanDezeHandelingen_109,HeeftOoitViaInternetGekochtBesteld_110,HeeftInDeAfg3MndGekochtBesteld_111,HeeftInDeAfg4WknGekochtBesteld_112,GeenBehoefte_113,WilHetProductZelfZien_114,VanwegeVeiligheid_115,GeenVertrouwenInLeveringProduct_116,GeenSpecialeReden_117,HeeftErGeenErvaringMee_118,Anders_119,Eens_120,NochMeeEensNochMeeOneens_121,Oneens_122,Eens_123,NochMeeEensNochMeeOneens_124,Oneens_125,Eens_126,NochMeeEensNochMeeOneens_127,Oneens_128,Eens_129,NochMeeEensNochMeeOneens_130,Oneens_131,Eens_132,NochMeeEensNochMeeOneens_133,Oneens_134,Eens_135,NochMeeEensNochMeeOneens_136,Oneens_137,Eens_138,NochMeeEensNochMeeOneens_139,Oneens_140
10,22,56,44,30,11,15,59,11,16,11,12,8,9,44,95,6,11,3,52,15,28,2,1,38,5,8,35,19,13,13,75,48,4,9,60,16,49,20,8,10,40,72,73,6,21,50,45,4,32,27,0,0,0,52,14,58,28,9,84,52,83,37,59,44,36,2,5,30,86,77,4,19,33,60,7,6,10,0,0,0,34,13,58,29,19,39,51,11,13,26,10,67,23,32,17,29,63,92,37,66,26,29,89,61,69,24,79,80,74,8,10,6,3,34,16,9,12,8,6,12,50,22,28,56,17,27,40,8,52,78,7,15,35,8,57,29,9,62,34,7,59
11,23,63,45,25,11,19,55,10,11,17,14,12,14,47,97,4,4,0,61,11,24,1,1,38,6,6,35,20,19,14,82,47,5,12,51,13,39,21,19,20,39,62,73,6,21,47,46,7,24,35,70,26,4,11,0,0,0,3,81,42,81,27,51,44,35,2,5,29,82,77,3,20,33,59,8,4,12,0,0,0,13,0,0,0,14,21,50,14,7,24,14,73,12,35,21,38,59,86,37,59,16,23,86,49,78,31,82,79,73,12,13,9,5,29,25,14,14,7,5,12,52,24,24,55,17,28,38,8,55,83,6,11,37,7,56,30,13,57,31,7,62
12,24,79,30,31,17,23,68,17,16,3,17,28,12,67,96,10,11,2,61,13,23,3,1,37,5,6,44,22,33,14,86,74,10,14,69,20,35,22,22,18,64,81,66,5,29,46,47,7,52,42,80,20,0,55,28,59,13,9,92,51,89,39,57,70,63,3,4,52,89,73,4,23,35,58,8,8,27,55,38,7,49,15,69,16,40,29,43,19,6,18,16,77,26,42,22,41,57,90,64,75,13,19,92,61,79,38,85,88,83,6,22,13,8,33,23,15,7,5,8,15,51,31,19,41,22,37,23,11,67,89,4,7,25,9,66,40,21,38,19,8,73
13,25,77,33,31,15,22,58,16,7,7,23,27,12,64,97,9,9,2,65,16,16,4,1,36,6,3,38,27,33,19,88,74,13,17,70,32,27,26,28,29,62,81,59,7,34,44,48,8,56,59,86,13,1,31,35,57,8,7,93,63,91,48,62,72,63,3,5,51,87,67,4,29,31,60,9,7,36,67,30,3,25,0,0,0,38,10,41,25,5,12,14,78,21,42,23,51,59,86,65,73,8,13,87,57,79,39,85,81,85,8,27,20,11,31,25,16,11,9,6,10,48,28,24,45,19,36,22,9,69,89,4,7,22,8,69,41,22,38,17,7,76
14,26,89,19,26,16,39,55,14,6,6,25,26,13,78,93,18,8,2,66,18,13,5,1,27,5,3,37,37,39,19,89,89,16,18,86,42,21,29,36,31,81,91,38,10,52,49,46,4,72,76,84,13,3,18,0,0,0,7,97,68,92,53,66,85,79,4,5,69,92,51,5,44,42,52,6,6,56,70,24,6,14,0,0,0,54,7,30,32,4,10,16,82,25,42,16,49,65,82,83,80,5,10,88,46,88,56,86,85,88,4,36,23,14,29,29,18,11,8,6,12,39,32,29,43,18,39,18,11,71,89,2,9,16,10,74,49,21,30,12,8,80
15,38,48,47,28,9,16,59,14,13,12,17,6,10,34,93,12,8,3,66,9,17,10,1,36,4,8,39,23,16,15,59,53,10,19,78,32,26,28,34,21,42,88,52,8,40,56,39,5,42,60,84,12,4,33,0,0,0,8,94,64,90,46,61,49,44,3,6,30,91,57,6,37,53,44,3,9,39,73,26,1,33,0,0,0,33,13,42,30,5,15,21,82,26,47,19,51,64,81,46,78,13,16,80,53,80,47,85,82,83,7,17,11,7,31,23,15,8,6,9,14,39,29,31,55,14,31,31,7,62,84,3,13,36,7,56,35,13,52,24,6,70
16,39,78,44,25,10,21,0,0,0,0,0,0,0,63,89,9,15,3,51,8,34,3,1,34,9,0,29,28,42,11,91,76,10,13,62,17,38,18,14,17,60,77,66,4,30,41,53,6,56,52,0,0,0,42,0,0,0,12,90,52,87,39,53,73,64,3,5,47,85,81,0,19,27,69,4,10,26,0,0,0,33,0,0,0,37,26,44,15,11,22,12,75,23,39,11,43,63,89,62,74,19,21,86,61,79,32,83,76,81,7,28,19,14,25,19,19,7,14,4,22,56,28,16,45,27,27,25,10,66,93,4,3,21,12,67,35,23,42,16,4,80
17,40,61,35,24,15,26,63,9,14,12,15,14,10,49,97,10,4,1,69,16,12,3,1,41,5,6,41,19,16,12,81,55,10,18,69,34,25,25,30,33,46,76,60,7,33,48,45,7,39,61,87,12,1,7,0,0,0,5,88,57,86,42,55,52,44,2,5,37,89,69,3,28,36,56,8,4,41,70,24,5,2,0,0,0,26,7,35,20,4,9,15,76,14,40,21,49,62,84,47,76,4,12,88,48,80,49,83,82,83,9,20,13,7,31,28,19,11,7,5,13,43,27,30,49,16,35,33,9,59,86,4,10,30,8,62,35,15,50,27,6,67
18,41,91,27,32,15,27,45,20,4,2,22,47,19,78,96,11,10,2,60,17,20,3,1,30,9,3,30,32,46,25,96,81,11,14,71,28,34,25,23,23,73,80,56,8,36,45,49,6,59,53,81,16,2,44,21,59,20,8,93,59,90,45,65,79,70,3,5,61,87,63,5,32,33,58,9,7,33,62,32,5,32,18,63,18,40,19,42,25,7,17,13,77,25,38,20,43,60,87,71,70,11,16,90,55,80,38,85,83,84,6,26,18,11,32,23,12,12,8,6,10,52,27,21,44,21,35,20,11,70,87,5,9,20,8,72,43,22,35,17,9,74
19,46,71,31,29,15,24,56,16,16,8,14,10,13,61,93,12,7,1,54,13,24,11,1,44,5,6,38,25,19,17,81,70,13,19,72,32,26,24,26,22,60,84,50,7,43,49,43,7,56,64,90,10,0,32,0,0,0,7,92,60,86,48,59,67,61,4,7,49,89,60,4,35,44,50,5,8,49,63,33,4,29,0,0,0,45,17,46,27,8,17,19,82,28,44,16,48,65,88,62,77,9,16,88,63,80,50,89,84,88,6,27,16,10,31,26,14,8,5,4,17,45,28,26,46,17,36,26,9,66,84,2,14,25,8,66,40,15,45,22,5,73
20,45,73,32,30,15,23,59,15,12,8,19,19,11,60,96,12,10,2,62,12,23,4,1,30,5,5,40,23,29,15,83,70,11,16,73,29,33,26,27,24,62,85,57,7,36,51,45,4,54,60,80,18,2,39,17,58,25,9,94,61,92,47,63,68,61,3,5,50,91,66,3,31,40,52,8,7,38,70,25,4,30,14,63,24,37,19,41,25,7,15,14,77,22,46,22,49,59,82,62,77,13,18,88,61,79,44,87,84,85,5,24,17,10,27,23,13,15,9,6,12,46,31,24,49,18,33,26,9,65,86,4,9,25,8,67,42,16,42,20,8,73
21,44,77,34,27,12,28,62,13,8,12,17,19,11,64,95,10,7,2,63,15,18,2,1,38,8,3,32,25,26,15,87,69,9,14,71,29,30,22,26,26,59,77,59,8,33,46,46,8,47,53,86,13,1,43,30,53,18,6,91,61,88,41,61,66,58,2,4,49,87,65,5,30,35,56,8,6,32,67,25,8,32,0,0,0,31,16,38,19,5,15,14,75,18,33,19,41,65,88,61,67,9,15,87,51,80,35,79,80,81,10,21,14,10,32,27,16,9,6,7,10,50,25,26,45,20,35,25,10,65,86,5,9,24,9,68,37,21,41,22,9,70
22,43,72,28,30,15,26,56,12,6,10,20,26,11,59,94,11,8,3,65,20,15,1,1,34,5,4,40,24,30,15,85,67,10,15,68,28,31,28,25,27,57,79,62,7,31,44,50,7,48,55,83,13,4,37,17,68,15,6,91,57,89,42,61,63,53,2,4,44,86,66,4,30,27,67,7,6,30,71,27,2,26,15,75,10,29,13,36,21,5,15,14,76,24,36,21,47,59,88,55,71,10,15,87,46,82,39,85,84,82,5,21,14,7,36,21,19,10,8,6,10,49,27,24,48,18,33,26,10,64,88,4,8,25,8,66,39,19,42,20,6,74
23,42,75,35,27,14,23,60,6,16,16,12,8,11,60,98,6,10,2,69,19,11,0,1,39,7,8,31,24,20,17,87,64,8,12,70,28,31,27,25,25,55,73,58,9,33,38,55,6,42,46,78,20,2,32,0,0,0,6,89,54,90,42,59,60,52,2,4,44,86,68,5,27,26,64,10,7,29,63,34,4,22,0,0,0,29,13,42,26,7,12,7,76,20,39,21,39,55,85,52,72,10,16,90,40,82,37,79,79,78,10,21,15,9,32,23,12,7,10,7,10,46,27,27,48,20,32,29,9,62,87,6,8,31,8,61,35,19,45,24,8,68
