ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,ICTPersAangenomenWillenAannemen_6,ICTVacaturesLastigTeVervullen_7,ICTCursusAanICTSpecialisten_8,ICTCursusAanOverigPersoneel_9,VoornUitgDoorEigenPersoneel_10,VoornUitgDoorExterneLeveranciers_11,NietVanToepassing_12,VoornUitgDoorEigenPersoneel_13,VoornUitgDoorExterneLeveranciers_14,NietVanToepassing_15,VoornUitgDoorEigenPersoneel_16,VoornUitgDoorExterneLeveranciers_17,NietVanToepassing_18,VoornUitgDoorEigenPersoneel_19,VoornUitgDoorExterneLeveranciers_20,NietVanToepassing_21,VoornUitgDoorEigenPersoneel_22,VoornUitgDoorExterneLeveranciers_23,NietVanToepassing_24,VoornUitgDoorEigenPersoneel_25,VoornUitgDoorExterneLeveranciers_26,NietVanToepassing_27,VoornUitgDoorEigenPersoneel_28,VoornUitgDoorExterneLeveranciers_29,NietVanToepassing_30,Internet_31,VastBreedband_32,MobielBreedband_33,MinderDan2MegabitPerSeconde_34,k_2Tot10MegabitPerSeconde_35,k_10Tot30MegabitPerSeconde_36,k_30Tot100MegabitPerSeconde_37,k_100MegabitPerSecondeOfMeer_38,AantalBedrijvenMetWebsite_39,OnlineBestellenBoekenOfReserveren_40,InfoOverBeveiligingEnPrivacy_41,BeschrijvingenVanProductenPrijslijst_42,BestellingOnlineVolgen_43,ProductaanpassingDoorKlant_44,KlantspecifiekeInfoVoorVasteBezoeker_45,PersoneelsadvertentiesVanBedrijfZelf_46,VerwijzingNaarSocialeMedia_47,MobielInternetVerschaftAanWerknemers_48,SocialeMediaGebruikt_49,SocialeNetwerkenBijvFacebook_50,BlogsOfMicroblogsBijvTwitter_51,MultimediaDelenBijvYouTube_52,WikiSOmKennisTeDelen_53,MarketingProductenBedrijfsimago_54,MeningenKlantenReagerenOpVragen_55,BetrekkenKlantBijProductontwikkeling_56,SamenwerkenMetZakenrelaties_57,WervenVanPersoneel_58,KennisUitwisselenBinnenHetBedrijf_59,ERPSoftware_60,OpslagKlantgegevens_61,AnalyseKlantgegevens_62,BedrijvenMetSCM_63,ViaWebsites_64,ViaAutomatischeVerwerking_65,BedrijvenMetICTBeveiligingsbeleid_66,VernietigingOfVerminkingGegevens_67,OnthullingVanVertrouwelijkeGegevens_68,UitvalVanICTDiensten_69,k_12MaandenOfKorterGeleden_70,k_13TM24MaandenGeleden_71,LangerDan24MaandenGeleden_72,EFactuur_73,ElektronischMaarGeenEFactuur_74,InPapierenVorm_75,EFactuur_76,ElektronischMaarGeenEFactuur_77,InPapierenVorm_78,ElektronischeFacturenVerzonden_79,ElektronischeFacturenOntvangen_80,VerkoopViaECommerce_81,Verkoopwaarde1VanDeTotaleOmzet_82,Verkoopwaarde1VanDeTotaleOmzet_83,Verkoopwaarde2VanDeTotaleOmzet_84,Verkoopwaarde5VanDeTotaleOmzet_85,Verkoopwaarde10VanDeTotaleOmzet_86,Verkoopwaarde25VanDeTotaleOmzet_87,Verkoopwaarde50VanDeTotaleOmzet_88,VerkoopViaEenWebsiteApp_89,Verkoopwaarde1VanDeTotaleOmzet_90,Verkoopwaarde1VanDeTotaleOmzet_91,Verkoopwaarde2VanDeTotaleOmzet_92,Verkoopwaarde5VanDeTotaleOmzet_93,Verkoopwaarde10VanDeTotaleOmzet_94,Verkoopwaarde25VanDeTotaleOmzet_95,Verkoopwaarde50VanDeTotaleOmzet_96,NederlandseConsumenten_97,BuitenlandseConsumenten_98,Bedrijven_99,Overheden_100,KlantenInNederland_101,KlantenInAndereEULanden_102,KlantenInLandenBuitenDeEU_103,VerkoopViaEDI_104,Verkoopwaarde1VanDeTotaleOmzet_105,Verkoopwaarde1VanDeTotaleOmzet_106,Verkoopwaarde2VanDeTotaleOmzet_107,Verkoopwaarde5VanDeTotaleOmzet_108,Verkoopwaarde10VanDeTotaleOmzet_109,Verkoopwaarde25VanDeTotaleOmzet_110,Verkoopwaarde50VanDeTotaleOmzet_111,KlantenInNederland_112,KlantenInAndereEULanden_113,KlantenInLandenBuitenDeEU_114,InkoopViaECommerce_115,Inkoopwaarde1VanDeTotaleInkoop_116,Inkoopwaarde1VanDeTotaleInkoop_117,Inkoopwaarde2VanDeTotaleInkoop_118,Inkoopwaarde5VanDeTotaleInkoop_119,Inkoopwaarde10VanDeTotaleInkoop_120,Inkoopwaarde25VanDeTotaleInkoop_121,Inkoopwaarde50VanDeTotaleInkoop_122,InkoopViaEenWebsiteApp_123,Inkoopwaarde1VanDeTotaleInkoop_124,Inkoopwaarde1VanDeTotaleInkoop_125,Inkoopwaarde2VanDeTotaleInkoop_126,Inkoopwaarde5VanDeTotaleInkoop_127,Inkoopwaarde10VanDeTotaleInkoop_128,Inkoopwaarde25VanDeTotaleInkoop_129,Inkoopwaarde50VanDeTotaleInkoop_130,AanbiedersInNederland_131,AanbiedersInAndereEULanden_132,AanbiedersInLandenBuitenDeEU_133,InkoopViaEDI_134,Inkoopwaarde1VanDeTotaleInkoop_135,Inkoopwaarde1VanDeTotaleInkoop_136,Inkoopwaarde2VanDeTotaleInkoop_137,Inkoopwaarde5VanDeTotaleInkoop_138,Inkoopwaarde10VanDeTotaleInkoop_139,Inkoopwaarde25VanDeTotaleInkoop_140,Inkoopwaarde50VanDeTotaleInkoop_141,AanbiedersInNederland_142,AanbiedersInAndereEULanden_143,AanbiedersInLandenBuitenDeEU_144
10,300023,36,33,15,13,76,4,2,14,8,25,70,5,37,50,13,15,57,28,20,59,21,11,65,24,15,55,29,16,75,9,100,96,83,0,25,28,30,16,90,25,35,78,6,6,23,51,49,83,58,53,27,27,4,82,37,33,38,52,26,54,52,26,18,15,14,28,82,85,76,57,19,26,5,24,71,3,33,64,54,80,17,6,12,10,9,6,4,3,14,5,9,8,6,3,3,2,33,2,55,10,83,13,4,5,1,4,4,4,4,2,1,75.0,22.0,3.0,46,18,29,23,18,15,9,6,46,19,27,21,16,12,8,5,88,11,1,6,1,4,3,3,3,2,1,84,13,3
11,800036,77,69,37,38,77,15,9,23,20,34,61,4,52,36,12,20,49,31,29,45,26,13,63,24,18,59,23,29,66,4,100,99,80,0,22,20,30,27,94,37,42,81,11,9,35,55,45,79,53,49,30,32,8,85,62,41,45,61,33,49,46,25,19,14,11,44,84,85,76,67,19,14,4,17,79,5,24,71,46,79,22,7,15,13,10,5,4,2,20,7,13,10,9,4,3,2,50,0,44,6,98,1,0,3,1,3,3,1,1,1,0,100.0,0.0,0.0,40,27,13,12,10,10,4,1,40,26,13,11,10,9,4,1,93,4,3,2,2,1,1,1,1,0,0,60,36,4
12,900008,60,58,35,31,71,4,3,6,8,24,70,6,38,52,10,15,47,38,15,53,32,11,60,29,10,59,31,19,70,10,100,98,77,0,28,33,20,19,93,10,25,66,2,6,20,49,48,75,56,54,25,17,2,84,39,26,38,57,26,35,33,10,11,9,8,21,80,82,79,73,14,13,1,14,84,4,22,74,44,76,6,4,2,2,2,1,1,0,3,2,1,1,1,0,0,0,56,0,30,13,99,1,1,2,2,1,1,1,1,0,0,100.0,0.0,0.0,44,25,20,17,14,8,7,4,43,23,20,15,14,8,7,4,98,2,0,5,2,3,3,2,2,0,0,100,0,0
13,351900,59,54,31,27,67,1,0,6,8,20,74,7,33,52,15,10,51,38,12,57,31,10,58,32,13,57,31,15,74,11,100,98,76,0,23,36,31,10,89,20,31,72,2,4,21,47,46,74,54,50,19,16,1,77,32,25,35,44,26,43,37,15,17,13,12,19,83,75,73,73,16,11,3,17,79,7,22,70,49,79,11,3,7,6,4,3,1,1,11,4,7,5,3,3,1,1,56,1,40,2,97,2,1,1,1,1,0,0,0,0,0,99.0,1.0,0.0,44,19,25,22,20,20,14,8,43,20,23,19,18,17,12,7,95,4,1,6,2,4,4,4,3,2,0,96,4,0
14,354300,69,65,15,11,61,4,1,9,5,28,68,4,39,48,13,9,64,27,14,69,17,13,69,18,20,62,18,18,76,6,100,99,62,0,24,32,28,17,94,63,47,88,17,23,37,54,72,60,72,71,33,36,6,90,64,37,44,56,34,41,60,41,39,30,27,18,87,83,81,57,26,17,10,21,69,10,30,60,61,84,32,11,21,16,15,13,9,5,28,10,18,15,14,12,7,5,42,2,56,1,92,5,3,5,2,4,2,2,2,1,1,69.0,21.0,10.0,51,24,27,25,19,16,12,7,49,25,24,21,15,12,9,5,84,12,3,10,5,5,4,4,4,3,2,81,14,5
15,356900,77,71,32,29,84,9,3,16,11,36,61,3,55,37,7,24,57,20,34,53,13,20,60,20,25,57,17,30,65,5,100,99,84,0,20,30,29,20,92,44,43,84,16,7,29,51,57,84,62,58,28,32,7,87,43,33,42,56,31,62,58,46,28,19,25,32,81,79,79,74,13,13,7,30,63,6,32,62,68,82,41,12,29,25,22,17,13,7,33,11,22,18,15,13,8,5,17,2,78,3,84,13,3,16,6,11,10,8,6,5,2,77.0,20.0,3.0,49,26,23,20,17,14,11,9,46,26,20,16,13,11,8,6,84,13,2,8,3,5,5,4,3,3,3,67,25,8
16,371600,47,35,7,8,54,5,2,5,7,23,65,12,32,46,22,13,55,32,15,55,31,13,61,26,15,58,27,15,66,18,100,98,57,0,25,34,27,14,82,56,44,69,28,12,34,41,55,55,67,67,27,25,4,92,65,36,30,47,28,30,33,25,28,20,21,24,74,78,71,64,12,24,3,16,81,9,26,66,34,76,42,14,29,25,19,17,13,9,39,13,26,21,16,15,11,7,80,7,11,2,93,7,0,8,4,4,4,3,2,2,1,90.0,10.0,0.0,47,28,18,17,15,14,12,9,42,29,13,12,10,10,8,5,91,7,2,12,6,6,6,5,5,5,4,92,8,0
17,383100,55,45,21,20,65,7,3,10,6,22,66,12,34,46,20,11,50,39,16,50,34,9,53,38,15,47,38,19,65,16,100,97,75,0,29,33,23,16,83,27,26,69,12,8,20,45,34,72,40,38,13,15,3,78,37,26,41,51,29,35,30,18,23,14,19,26,83,76,79,65,20,15,3,28,68,3,30,67,58,81,23,8,15,14,11,10,6,4,13,5,8,8,6,5,3,2,24,5,65,6,84,11,5,13,5,8,8,7,6,3,2,67.0,24.0,9.0,41,22,18,16,13,10,9,7,40,22,18,16,12,10,8,7,95,4,1,3,2,1,1,0,0,0,0,82,17,1
18,389200,50,48,8,6,57,2,1,4,3,20,68,12,32,50,18,13,55,33,13,58,28,22,57,21,21,55,24,15,67,18,100,99,58,0,14,31,37,19,95,89,55,94,28,29,40,59,87,57,89,89,58,43,4,91,78,51,51,71,33,33,42,37,24,23,10,25,76,76,65,59,22,19,4,21,75,5,31,64,45,74,58,8,50,49,48,41,27,12,57,8,49,47,47,41,27,12,47,22,25,6,71,23,6,5,3,2,2,2,0,0,0,74.0,17.0,9.0,54,27,26,23,21,19,15,12,53,27,26,23,21,19,15,12,95,3,1,1,1,0,0,0,0,0,0,100,0,0
19,390500,40,28,11,8,38,0,0,1,1,14,61,25,16,48,37,3,39,57,3,42,56,8,50,42,7,51,42,7,53,39,100,99,52,0,25,38,27,9,84,54,23,80,5,9,23,46,57,46,75,74,28,17,3,80,68,37,30,68,24,13,12,10,11,8,7,8,75,71,83,63,24,12,2,20,78,6,30,65,36,70,20,3,17,15,10,6,3,1,19,3,16,14,10,6,3,0,57,6,30,7,93,6,1,1,0,1,1,0,0,0,0,100.0,0.0,0.0,39,18,21,16,14,14,13,11,37,17,20,16,14,13,13,10,98,2,0,3,2,1,1,1,1,1,0,93,7,0
20,391705,93,92,33,34,90,16,8,23,15,47,53,0,57,36,7,22,59,18,36,50,14,32,60,8,36,53,11,43,52,5,100,99,83,0,10,13,38,39,97,55,51,85,21,14,45,71,78,81,90,87,66,58,17,93,64,48,41,61,33,41,58,45,18,12,12,30,91,92,91,58,31,12,2,32,65,4,32,64,61,87,38,13,26,23,17,13,11,4,37,13,24,21,14,11,9,4,51,4,36,9,92,6,2,7,4,3,3,3,2,0,0,79.0,14.0,7.0,54,25,29,23,17,14,9,7,54,25,28,22,16,14,9,7,86,7,6,2,1,1,0,0,0,0,0,82,4,14
21,394100,96,96,43,40,92,42,31,48,25,64,28,8,67,22,11,29,51,20,35,50,15,45,38,17,47,39,14,64,27,9,100,96,85,0,8,14,17,61,88,47,64,83,23,29,41,70,68,85,70,70,61,42,36,97,70,41,55,83,57,61,72,55,32,27,27,66,94,94,94,84,15,1,8,42,49,9,32,60,73,80,36,5,31,30,24,20,17,9,33,5,30,29,23,18,16,9,35,5,55,5,91,6,3,5,1,4,4,2,2,2,0,100.0,0.0,0.0,56,14,42,34,33,27,20,19,56,18,38,30,28,23,17,15,90,5,4,8,1,6,6,6,6,5,5,67,29,4
22,395005,99,98,62,67,95,57,38,61,29,75,20,5,77,13,11,58,26,17,58,28,15,61,25,14,61,23,16,67,26,6,100,100,90,0,6,18,31,45,94,29,53,83,10,9,34,83,77,89,84,82,59,49,33,89,46,44,52,85,54,56,71,54,25,20,16,57,87,89,88,72,14,13,4,47,49,4,41,55,76,88,18,6,13,11,10,10,6,5,17,5,12,10,10,9,6,5,12,2,78,8,89,9,2,3,1,2,1,1,1,1,0,72.0,18.0,10.0,66,17,49,42,36,31,22,14,66,17,49,42,35,31,21,14,82,12,7,3,1,1,1,1,1,0,0,90,8,2
23,900016,99,98,72,33,85,26,16,43,20,44,56,0,64,36,0,32,46,22,37,53,9,32,45,23,29,47,24,55,45,0,100,97,94,0,14,38,26,22,97,23,45,80,9,12,30,67,40,94,62,51,26,19,11,71,30,45,39,60,46,46,57,34,41,26,34,66,89,93,94,85,6,10,2,21,78,5,33,62,34,75,19,14,5,5,4,4,0,0,16,11,5,5,4,1,0,0,52,4,41,3,89,9,2,7,4,3,3,3,3,0,0,100.0,0.0,0.0,37,28,9,9,8,5,0,0,37,28,9,9,8,5,0,0,92,6,1,1,1,0,0,0,0,0,0,95,5,0
24,900027,98,98,54,53,96,34,21,50,22,42,54,4,67,26,7,37,53,9,44,49,8,35,56,10,44,43,14,38,54,8,100,99,92,0,8,36,22,35,100,64,77,89,25,38,58,76,72,90,67,67,43,31,26,88,60,43,43,69,44,40,72,60,43,36,37,81,93,93,90,79,13,6,2,9,89,7,32,60,29,92,46,22,24,21,17,13,9,6,43,19,24,21,17,13,9,6,85,2,13,1,97,2,1,11,7,4,4,0,0,0,0,98.0,2.0,0.0,66,35,32,26,21,20,14,8,66,37,29,20,18,17,12,8,96,2,2,10,5,5,5,3,3,3,0,98,0,2
25,900021,99,99,21,27,89,18,9,33,15,41,59,1,61,34,5,39,49,12,39,57,5,28,61,11,38,49,13,48,47,5,100,99,84,0,3,20,42,35,82,25,41,69,13,15,43,61,51,81,61,55,27,21,10,71,57,22,48,81,31,39,73,53,28,24,21,73,82,79,84,81,5,15,4,28,68,4,22,74,49,79,17,10,6,6,6,5,5,4,17,10,6,6,6,5,5,4,29,0,71,0,98,2,0,1,1,0,0,0,0,0,0,100.0,0.0,0.0,41,15,27,21,15,11,11,6,41,15,27,21,15,11,11,6,87,10,3,0,0,0,0,0,0,0,0,100,0,0
26,402100,93,90,50,43,88,10,7,31,17,24,70,6,49,41,10,11,63,25,26,59,16,9,67,24,18,62,20,21,70,9,100,100,80,0,15,22,31,32,96,32,38,82,11,9,47,68,66,79,74,71,42,29,3,83,43,26,35,55,20,60,63,26,31,21,15,45,77,69,79,46,35,19,2,12,86,3,24,73,27,74,6,4,2,2,0,0,0,0,6,4,2,2,0,0,0,0,62,0,37,1,100,0,0,0,0,0,0,0,0,0,0,,,,45,20,25,21,15,15,11,8,45,20,25,21,15,15,11,8,98,1,1,1,0,1,0,0,0,0,0,100,0,0
27,900009,96,94,48,55,93,11,5,20,16,26,70,4,48,45,6,19,54,27,25,59,15,13,66,21,20,61,19,19,76,5,100,99,82,0,11,23,37,29,92,20,41,79,8,8,27,71,63,80,72,69,42,26,11,82,42,30,49,70,39,42,62,31,20,16,15,49,78,76,74,63,16,21,5,24,71,5,25,70,55,82,13,4,9,8,6,5,4,2,11,4,7,6,5,3,3,1,25,3,64,8,90,7,4,3,1,2,2,2,2,1,1,72.0,20.0,8.0,49,17,32,27,20,14,9,5,48,17,31,25,19,13,8,5,94,3,3,4,1,3,2,1,1,0,0,90,5,4
