ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetInternet_1,BedrijfsEMails_2,Bedrijfsdocumenten_3,BedrijfsapplicatiesOfSoftware_4,Telewerkers_5,TelewerkKomtVoor_6,InternetVast_7,MinderDan30MbitS_8,k_30Tot100MbitS_9,k_100Tot500MbitS_10,k_500MbitSTot1GbitS_11,TenMinste1GbitS_12,BedrijvenMetWebsite_13,BeschrijvingenVanProductenPrijslijst_14,OnlineBestellenBoekenOfReserveren_15,ProductaanpassingDoorKlant_16,BestellingOnlineVolgen_17,KlantspecifiekeInfoVoorDeBezoeker_18,VirtueleKlantenservice_19,OnlineSolliciteren_20,MeertaligeOnderdelen_21,MobieleAppVoorKlanten_22,WebsiteOfAppHeeftPlatformfunctie_23,SocialeMediaGebruikt_24,SocialeNetwerkenBijvFacebook_25,BlogsOfMicroblogsBijvX_26,MultimediaDelenBijvYouTube_27,BusinessSoftwareGebruikt_28,ERPSoftware_29,CRMSoftware_30,BISoftware_31,EigenBedrijf_32,ExternBedrijf_33,Transactiegegevens_34,Klantgegevens_35,Socialemediagegevens_36,Webdata_37,LocatieOfGeografischeGegevens_38,GegevensVanSlimmeApparaten_39,GegevensVanOpenbareOverheidsbronnen_40,Satellietgegevens_41,ClouddienstenGebruikt_42,EMail_43,OfficeSoftware_44,OpslagDatabases_45,OpslagBestanden_46,Boekhoudingsoftware_47,ERPSoftware_48,CRMSoftware_49,Veiligheidssoftware_50,Rekenkracht_51,Rekenplatform_52,AIGebruikt_53,Textmining_54,Spraakherkenning_55,NaturalLanguageGeneration_56,AfbeeldingenVideoSGeluidGenereren_57,Afbeeldingherkenning_58,MachineLearning_59,RobotondersteundeProcesautomatisering_60,ServicerobotsOfAutonomeVoertuigen_61,MarketingOfVerkoop_62,ProductieOfServiceprocessen_63,AdministratieveProcessenBestuurstaken_64,Logistiek_65,ICTBeveiliging_66,BoekhoudingControleFinancieelBeheer_67,RDOfInnovatie_68,DoorEigenWerknemersOntwikkeld_69,CommercieleSoftwareZelfAangepast_70,OpensourcesoftwareZelfAangepast_71,CommercieleSoftwareGebruikt_72,DoorExterneLeveranciersOntwikkeld_73,HeeftAIOverwogen_74,KostenZijnTeHoog_75,GebrekAanRelevanteErvaringInBedrijf_76,IncompatibiliteitBestaandeICTSysteem_77,MoeilijkhedenBeschikbaarheidGegevens_78,BezorgdheidGegevensbescherming_79,OnduidelijkheidOverJuridischeGevolgen_80,EthischeOverwegingen_81,NietNuttigVoorOnderneming_82,Antivirussoftware_83,BeleidVoorSterkeWachtwoorden_84,BiometrischeMethoden_85,Multifactorauthenticatie_86,EncryptieVanData_87,GegevensOpAndereFysiekeLocatie_88,NetworkAccessControl_89,VPNGebruikBuitenHetBedrijf_90,LogbestandenVoorAnalyseIncidenten_91,MethodesVoorBeoordelenICTVeiligheid_92,Risicoanalyses_93,ICTBeveiligingsmonitoringsysteem_94,DoorVrijwilligeTraining_95,DoorVerplichteTraining_96,MetContract_97,CyberincidentGeoefend_98,ICTVeiligheidsdocumentenAanwezig_99,k_12MaandenOfMinderLangGeleden_100,TussenDe12En24MaandenGeleden_101,LangerDan24MaandenGeleden_102,UitbesteedAanExternBedrijf_103,EigenPersoneel_104,EigenPersoneelEnExternBedrijf_105,NietVanToepassing_106,PhishingAanval_107,DDoSAanval_108,DatalekOfDatamanipulatie_109,GehacktSocialemediaAccount_110,BECFraude_111,AndereCyberIncidenten_112,IncidentMetInterneOorzaakGehad_113,IncidentDoorAanvalVanBuitenGehad_114,UitvalICTDienstDoorInterneOorzaak_115,VernietigingDataDoorInterneOorzaak_116,OnthullingGegevensDoorInterneOorzaak_117,UitvalICTDienstDoorAanvalBuitenaf_118,VernietigingDataAanvalBuitenaf_119,OnthullingGegevensDoorICTInbraak_120,KostenIncidentInterneOorzaakGehad_121,KostenIncidentAanvalBuitenafGehad_122,UitvalICTDienstDoorInterneOorzaak_123,VernietigingDataDoorInterneOorzaak_124,OnthullingGegevensDoorInterneOorzaak_125,UitvalICTDienstDoorAanvalBuitenaf_126,VernietigingDataAanvalBuitenaf_127,OnthullingGegevensDoorICTInbraak_128,RansomwareAanvalGehad_129,BestandenOfICTSystemenVersleuteld_130,AfpersingOpenbaarmakingInformatie_131,VerzekeringICTVeiligheidsincidenten_132,BekendMetDTC_133,DTCWebsiteAlsBronGebruikt_134,GezochtNaarMeldingenCyberdreigingen_135,VerkoopViaWebsiteOfApp_136,FysiekeGoederen_137,DigitaleGoederenOfDiensten_138,NietDigitaleDiensten_139,FysiekeGoederen_140,DigitaleGoederenOfDiensten_141,NietDigitaleDiensten_142,Bedrijven_143,Overheidsorganisaties_144,NederlandseConsumenten_145,BuitenlandseConsumenten_146,KlantenInNederland_147,KlantenInAndereEULanden_148,KlantenInLandenBuitenDeEU_149,ViaWebsiteOfAppsVanEigenBedrijf_150,ViaOnlinePlatforms_151,HogeBezorgkosten_152,OplossenVanKlachten_153,LabelsAanpassen_154,OnvoldoendeKennisAndereTalen_155,BeperkingenZakenpartners_156,VerrekenenBtwSysteem_157,Verkoopwaarde1VanDeTotaleOmzet_158,Verkoopwaarde1VanDeTotaleOmzet_159,Verkoopwaarde2VanDeTotaleOmzet_160,Verkoopwaarde5VanDeTotaleOmzet_161,Verkoopwaarde10VanDeTotaleOmzet_162,Verkoopwaarde25VanDeTotaleOmzet_163,Verkoopwaarde50VanDeTotaleOmzet_164,VerkoopViaECommerce_165,Verkoopwaarde1VanDeTotaleOmzet_166,Verkoopwaarde1VanDeTotaleOmzet_167,Verkoopwaarde2VanDeTotaleOmzet_168,Verkoopwaarde5VanDeTotaleOmzet_169,Verkoopwaarde10VanDeTotaleOmzet_170,Verkoopwaarde25VanDeTotaleOmzet_171,Verkoopwaarde50VanDeTotaleOmzet_172,ViaEen_173,ViaTwee_174,ViaDrieOfMeer_175,MeerDan75VanOmzetUitEenPlatform_176,BetaaldAanPlatforms_177,VerkoopViaEDI_178,FysiekeGoederen_179,DigitaleGoederenOfDiensten_180,NietDigitaleDiensten_181,KlantenInNederland_182,KlantenInAndereEULanden_183,KlantenInLandenBuitenDeEU_184,Verkoopwaarde1VanDeTotaleOmzet_185,Verkoopwaarde1VanDeTotaleOmzet_186,Verkoopwaarde2VanDeTotaleOmzet_187,Verkoopwaarde5VanDeTotaleOmzet_188,Verkoopwaarde10VanDeTotaleOmzet_189,Verkoopwaarde25VanDeTotaleOmzet_190,Verkoopwaarde50VanDeTotaleOmzet_191,GebruikICTOplossingenVoorMilieu_192,VerminderenEnergieverbruik_193,VerbeterenMateriaalverbruik_194,MonitoringICTOplossingenVoorMilieu_195
10,403300,97,95.0,93.0,91.0,86.0,94.0,99,0,8.0,36.0,31.0,23.0,95,80.0,16.0,3.0,4.0,13.0,9.0,80.0,39.0,8.0,10.0,89.0,89.0,14.0,43.0,82.0,47.0,73.0,44.0,55.0,20.0,35.0,30.0,23.0,23.0,8.0,8.0,12,3,83.0,79.0,76.0,70.0,75.0,70.0,37.0,59.0,70.0,37.0,32.0,55.0,39.0,24.0,30.0,28.0,8,18.0,14.0,2,16.0,12.0,25.0,2,11,14.0,19.0,11.0,15.0,15.0,35.0,13.0,12.0,3,8.0,3.0,4,7.0,6.0,3,1,97,91,47.0,92.0,70.0,94.0,88.0,67.0,76.0,65.0,66.0,75.0,59.0,36.0,48.0,14.0,64.0,52.0,10.0,2,37.0,20.0,33.0,10.0,44.0,3,3,1,4,4,18.0,7,15.0,2,5,4,1,4,4,2,3,1,0,1,0,1,1,1,0,48.0,28.0,13.0,20.0,11.0,6.0,4.0,4.0,46.0,26.0,28.0,60.0,10.0,26.0,4.0,85.0,10.0,5.0,88.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,7.0,6.0,5.0,3.0,2.0,13.0,3.0,10.0,9.0,8.0,6.0,5.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,,,,75.0,14.0,10.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,29.0,18.0,22.0,10.0
11,410200,80,77.0,70.0,68.0,58.0,74.0,97,2,14.0,39.0,28.0,14.0,87,72.0,20.0,5.0,6.0,17.0,14.0,68.0,27.0,13.0,16.0,78.0,78.0,10.0,43.0,63.0,37.0,54.0,29.0,37.0,22.0,24.0,21.0,18.0,17.0,8.0,4.0,5,3,64.0,61.0,57.0,56.0,58.0,54.0,27.0,43.0,53.0,22.0,21.0,31.0,23.0,11.0,14.0,13.0,4,7.0,7.0,2,14.0,5.0,13.0,1,4,7.0,6.0,4.0,6.0,6.0,19.0,9.0,9.0,2,7.0,3.0,4,4.0,3.0,2,1,92,81,37.0,78.0,53.0,79.0,68.0,46.0,56.0,47.0,47.0,56.0,33.0,18.0,33.0,7.0,38.0,27.0,8.0,2,43.0,14.0,14.0,30.0,27.0,3,1,1,2,2,11.0,5,10.0,1,2,3,1,2,2,1,1,0,1,1,0,0,1,1,0,30.0,16.0,8.0,11.0,13.0,7.0,3.0,6.0,42.0,16.0,41.0,46.0,7.0,38.0,9.0,86.0,11.0,3.0,86.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,11.0,11.0,9.0,8.0,6.0,5.0,14.0,2.0,12.0,12.0,10.0,9.0,7.0,5.0,2.0,1.0,1.0,1.0,3.0,2.0,,9.0,,81.0,14.0,5.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,25.0,15.0,19.0,8.0
12,422400,94,86.0,84.0,82.0,77.0,88.0,99,2,16.0,37.0,27.0,18.0,96,83.0,27.0,2.0,2.0,31.0,5.0,72.0,18.0,26.0,,81.0,80.0,6.0,46.0,59.0,24.0,47.0,31.0,37.0,32.0,17.0,15.0,12.0,10.0,3.0,5.0,6,0,69.0,64.0,62.0,56.0,61.0,57.0,25.0,44.0,60.0,20.0,15.0,28.0,16.0,15.0,8.0,8.0,2,3.0,4.0,1,4.0,3.0,12.0,0,5,4.0,5.0,1.0,3.0,3.0,16.0,6.0,14.0,5,9.0,5.0,5,10.0,7.0,5,1,96,89,39.0,92.0,78.0,90.0,80.0,48.0,68.0,56.0,64.0,67.0,54.0,24.0,43.0,9.0,60.0,45.0,13.0,2,45.0,13.0,25.0,17.0,31.0,2,7,1,2,2,21.0,7,15.0,2,9,4,1,4,4,2,3,1,1,1,0,1,1,0,0,36.0,25.0,12.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,20.0,26.0,8.0
13,307610,61,74.0,70.0,63.0,39.0,72.0,100,3,18.0,41.0,27.0,11.0,91,80.0,46.0,16.0,9.0,15.0,5.0,53.0,42.0,8.0,7.0,86.0,85.0,5.0,51.0,61.0,56.0,31.0,35.0,42.0,21.0,40.0,26.0,12.0,8.0,7.0,14.0,5,1,63.0,57.0,51.0,45.0,51.0,41.0,25.0,20.0,51.0,20.0,18.0,23.0,14.0,5.0,11.0,10.0,3,6.0,5.0,4,8.0,5.0,9.0,4,5,5.0,5.0,3.0,5.0,4.0,14.0,6.0,9.0,3,8.0,4.0,5,5.0,5.0,1,0,96,80,31.0,73.0,43.0,84.0,61.0,60.0,61.0,47.0,54.0,59.0,38.0,24.0,23.0,9.0,37.0,31.0,4.0,2,34.0,13.0,22.0,32.0,28.0,1,1,1,4,1,13.0,5,12.0,3,1,2,0,3,4,2,3,1,0,1,0,2,2,1,1,30.0,24.0,11.0,15.0,43.0,41.0,1.0,2.0,95.0,1.0,3.0,33.0,2.0,62.0,3.0,94.0,4.0,2.0,90.0,10.0,2.0,0.0,2.0,0.0,0.0,2.0,7.0,35.0,33.0,23.0,17.0,11.0,8.0,62.0,4.0,58.0,56.0,46.0,39.0,32.0,23.0,3.0,4.0,1.0,3.0,4.0,28.0,97.0,1.0,2.0,75.0,21.0,4.0,0.0,27.0,27.0,26.0,23.0,21.0,14.0,30.0,20.0,22.0,14.0
14,312505,65,90.0,87.0,,37.0,89.0,100,3,11.0,,,11.0,88,81.0,,9.0,,,17.0,,,4.0,10.0,,,14.0,,,,,,,15.0,,,21.0,15.0,4.0,9.0,8,2,,,,,,,24.0,,,19.0,15.0,24.0,14.0,4.0,14.0,10.0,5,5.0,2.0,3,9.0,8.0,15.0,3,3,4.0,6.0,3.0,3.0,7.0,20.0,6.0,7.0,2,7.0,7.0,4,0.0,0.0,0,0,97,89,,,,85.0,,,,,,,,27.0,,4.0,,,7.0,1,,16.0,32.0,,28.0,3,0,1,1,3,13.0,4,13.0,0,1,1,0,3,4,0,4,0,0,0,0,0,0,0,0,,17.0,7.0,16.0,,,4.0,3.0,95.0,5.0,1.0,,1.0,,12.0,73.0,21.0,5.0,92.0,8.0,13.0,12.0,4.0,4.0,1.0,5.0,5.0,,,,,,,,4.0,,,,,,,7.0,0.0,4.0,0.0,6.0,17.0,100.0,0.0,0.0,,,1.0,3.0,13.0,13.0,12.0,10.0,3.0,1.0,21.0,17.0,16.0,5.0
15,315810,63,83.0,77.0,73.0,32.0,81.0,97,5,17.0,35.0,28.0,12.0,92,77.0,30.0,11.0,14.0,13.0,14.0,61.0,41.0,4.0,3.0,78.0,78.0,5.0,33.0,72.0,59.0,58.0,35.0,43.0,19.0,39.0,29.0,9.0,12.0,4.0,13.0,5,3,69.0,62.0,55.0,48.0,51.0,49.0,25.0,36.0,54.0,19.0,18.0,25.0,19.0,9.0,11.0,13.0,3,4.0,4.0,2,11.0,7.0,9.0,1,4,4.0,8.0,4.0,7.0,7.0,16.0,4.0,12.0,3,8.0,3.0,4,5.0,5.0,2,2,95,84,30.0,79.0,54.0,88.0,73.0,74.0,70.0,58.0,51.0,67.0,37.0,24.0,28.0,8.0,39.0,26.0,11.0,1,42.0,18.0,19.0,21.0,29.0,1,0,1,2,0,13.0,3,12.0,0,1,2,0,1,3,0,3,0,0,0,0,0,2,2,1,21.0,12.0,8.0,12.0,29.0,28.0,1.0,2.0,96.0,1.0,3.0,72.0,4.0,21.0,4.0,88.0,11.0,1.0,95.0,5.0,5.0,2.0,2.0,3.0,1.0,5.0,3.0,26.0,23.0,18.0,14.0,11.0,10.0,36.0,4.0,32.0,28.0,24.0,21.0,17.0,12.0,2.0,2.0,2.0,2.0,3.0,10.0,97.0,2.0,2.0,75.0,22.0,3.0,1.0,9.0,9.0,8.0,8.0,6.0,2.0,28.0,18.0,23.0,7.0
16,900064,86,98.0,95.0,92.0,67.0,95.0,100,1,16.0,34.0,26.0,23.0,93,77.0,18.0,2.0,9.0,13.0,12.0,73.0,67.0,11.0,2.0,88.0,88.0,19.0,43.0,95.0,91.0,70.0,63.0,72.0,22.0,65.0,52.0,22.0,28.0,10.0,25.0,15,3,82.0,76.0,71.0,66.0,71.0,51.0,45.0,47.0,62.0,36.0,34.0,40.0,29.0,15.0,18.0,15.0,6,14.0,15.0,3,12.0,9.0,15.0,5,11,8.0,14.0,7.0,12.0,9.0,20.0,14.0,15.0,1,12.0,6.0,7,7.0,7.0,3,1,100,94,46.0,91.0,77.0,96.0,94.0,92.0,89.0,84.0,85.0,81.0,64.0,55.0,55.0,21.0,75.0,60.0,13.0,1,31.0,20.0,43.0,5.0,48.0,3,0,1,6,3,14.0,7,14.0,1,1,3,0,4,1,2,1,0,0,1,0,1,1,1,1,47.0,29.0,19.0,27.0,19.0,19.0,1.0,1.0,98.0,1.0,1.0,,2.0,,5.0,73.0,20.0,7.0,84.0,16.0,4.0,3.0,4.0,1.0,1.0,1.0,4.0,15.0,11.0,8.0,5.0,3.0,3.0,30.0,4.0,26.0,24.0,20.0,19.0,15.0,10.0,2.0,3.0,1.0,2.0,3.0,18.0,93.0,1.0,6.0,57.0,26.0,17.0,0.0,18.0,18.0,16.0,16.0,13.0,6.0,49.0,38.0,38.0,18.0
17,323705,66,91.0,88.0,85.0,38.0,88.0,99,0,15.0,43.0,25.0,16.0,95,77.0,22.0,10.0,6.0,11.0,6.0,57.0,54.0,5.0,3.0,79.0,78.0,10.0,38.0,89.0,86.0,65.0,50.0,58.0,22.0,53.0,40.0,20.0,21.0,11.0,20.0,8,2,73.0,68.0,61.0,57.0,60.0,49.0,40.0,40.0,60.0,28.0,23.0,32.0,21.0,7.0,16.0,13.0,5,7.0,6.0,5,15.0,9.0,15.0,3,6,8.0,5.0,7.0,9.0,7.0,16.0,10.0,12.0,2,9.0,6.0,4,4.0,2.0,0,1,98,84,27.0,85.0,56.0,95.0,90.0,77.0,74.0,66.0,62.0,80.0,40.0,35.0,32.0,12.0,54.0,36.0,13.0,5,46.0,15.0,26.0,13.0,39.0,5,3,4,7,4,17.0,6,16.0,2,3,2,3,4,4,0,4,1,0,0,0,0,1,1,1,35.0,28.0,10.0,14.0,20.0,20.0,0.0,1.0,99.0,0.0,1.0,,1.0,,7.0,78.0,20.0,3.0,,,4.0,2.0,2.0,0.0,1.0,1.0,8.0,12.0,9.0,8.0,6.0,4.0,3.0,29.0,7.0,22.0,19.0,17.0,14.0,10.0,6.0,2.0,1.0,2.0,1.0,5.0,15.0,100.0,0.0,0.0,,,3.0,1.0,13.0,12.0,10.0,8.0,6.0,3.0,39.0,26.0,28.0,17.0
18,328105,71,87.0,77.0,75.0,37.0,79.0,99,4,18.0,33.0,25.0,19.0,96,72.0,11.0,5.0,3.0,10.0,2.0,71.0,39.0,2.0,3.0,83.0,83.0,4.0,32.0,85.0,82.0,56.0,30.0,41.0,16.0,37.0,25.0,12.0,12.0,7.0,9.0,3,1,67.0,60.0,51.0,49.0,54.0,45.0,28.0,26.0,50.0,17.0,14.0,27.0,15.0,9.0,13.0,8.0,2,6.0,5.0,3,6.0,6.0,8.0,1,5,3.0,5.0,3.0,4.0,5.0,12.0,7.0,13.0,3,11.0,5.0,4,4.0,3.0,2,0,96,85,26.0,75.0,44.0,92.0,85.0,77.0,70.0,56.0,58.0,66.0,32.0,15.0,27.0,8.0,37.0,28.0,6.0,3,51.0,13.0,22.0,14.0,33.0,1,0,0,3,2,15.0,3,14.0,1,1,1,1,2,3,1,3,0,0,1,1,0,2,2,1,29.0,20.0,7.0,11.0,13.0,12.0,0.0,2.0,92.0,0.0,8.0,,1.0,,4.0,91.0,8.0,1.0,99.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,10.0,9.0,7.0,6.0,4.0,3.0,20.0,3.0,17.0,16.0,14.0,12.0,8.0,6.0,1.0,0.0,0.0,0.0,1.0,9.0,99.0,0.0,1.0,,,4.0,2.0,8.0,8.0,7.0,6.0,4.0,3.0,35.0,24.0,23.0,12.0
19,332910,87,89.0,82.0,80.0,70.0,85.0,99,0,12.0,38.0,29.0,20.0,93,77.0,22.0,5.0,10.0,15.0,11.0,64.0,53.0,12.0,6.0,77.0,76.0,9.0,36.0,87.0,80.0,68.0,47.0,58.0,17.0,42.0,31.0,18.0,19.0,11.0,17.0,6,3,73.0,65.0,63.0,47.0,58.0,52.0,36.0,43.0,54.0,25.0,26.0,37.0,18.0,10.0,22.0,15.0,9,14.0,9.0,5,12.0,11.0,16.0,4,8,10.0,17.0,12.0,13.0,11.0,18.0,10.0,15.0,3,11.0,7.0,7,10.0,8.0,3,2,97,88,40.0,86.0,63.0,92.0,90.0,79.0,71.0,65.0,60.0,68.0,48.0,33.0,40.0,18.0,55.0,41.0,13.0,1,26.0,26.0,34.0,14.0,35.0,3,1,1,2,3,15.0,7,13.0,3,3,3,0,4,4,1,3,1,0,1,0,0,0,0,0,30.0,34.0,11.0,22.0,16.0,16.0,4.0,3.0,90.0,7.0,3.0,,4.0,13.0,11.0,,18.0,13.0,93.0,7.0,2.0,1.0,1.0,0.0,0.0,1.0,6.0,10.0,10.0,5.0,3.0,2.0,1.0,19.0,5.0,14.0,14.0,11.0,8.0,7.0,4.0,2.0,1.0,1.0,1.0,2.0,9.0,96.0,2.0,2.0,,,10.0,1.0,8.0,8.0,6.0,5.0,5.0,3.0,33.0,21.0,26.0,13.0
20,336500,82,89.0,85.0,85.0,60.0,87.0,98,0,7.0,34.0,27.0,29.0,97,84.0,15.0,4.0,5.0,9.0,6.0,82.0,74.0,6.0,3.0,92.0,91.0,13.0,53.0,96.0,93.0,66.0,54.0,65.0,22.0,60.0,42.0,22.0,17.0,9.0,19.0,5,1,77.0,71.0,67.0,59.0,66.0,45.0,38.0,38.0,61.0,24.0,23.0,40.0,22.0,13.0,21.0,15.0,10,14.0,8.0,7,15.0,11.0,17.0,3,11,4.0,14.0,12.0,15.0,11.0,24.0,9.0,18.0,3,15.0,7.0,4,6.0,7.0,2,2,99,87,35.0,86.0,66.0,98.0,90.0,81.0,78.0,70.0,68.0,77.0,51.0,31.0,32.0,10.0,57.0,48.0,6.0,3,33.0,20.0,39.0,8.0,46.0,4,1,1,9,4,25.0,9,21.0,1,5,4,0,6,5,3,4,1,0,1,0,1,1,0,0,38.0,35.0,18.0,26.0,16.0,14.0,1.0,0.0,,,0.0,,2.0,,1.0,,18.0,6.0,100.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,6.0,10.0,9.0,5.0,4.0,3.0,1.0,18.0,6.0,12.0,11.0,7.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,99.0,0.0,1.0,59.0,31.0,10.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,36.0,26.0,24.0,10.0
21,339205,72,79.0,75.0,71.0,49.0,78.0,100,1,14.0,39.0,27.0,19.0,96,75.0,18.0,9.0,7.0,13.0,7.0,79.0,62.0,9.0,3.0,84.0,84.0,12.0,50.0,81.0,76.0,58.0,35.0,45.0,24.0,37.0,25.0,21.0,15.0,13.0,14.0,8,4,75.0,63.0,61.0,55.0,62.0,43.0,29.0,33.0,56.0,20.0,22.0,23.0,14.0,8.0,13.0,7.0,5,7.0,4.0,1,8.0,7.0,9.0,2,9,3.0,7.0,4.0,6.0,6.0,14.0,9.0,15.0,4,11.0,3.0,5,8.0,8.0,2,2,98,86,35.0,88.0,54.0,87.0,82.0,73.0,65.0,62.0,55.0,80.0,39.0,28.0,32.0,10.0,44.0,33.0,7.0,4,50.0,13.0,23.0,15.0,34.0,5,2,2,8,5,17.0,5,15.0,0,3,3,0,3,2,3,2,0,0,1,0,2,1,1,0,27.0,26.0,13.0,19.0,18.0,18.0,2.0,4.0,91.0,0.0,8.0,83.0,3.0,11.0,3.0,83.0,14.0,4.0,93.0,7.0,4.0,1.0,2.0,1.0,1.0,1.0,8.0,10.0,9.0,6.0,4.0,3.0,1.0,24.0,9.0,15.0,14.0,11.0,9.0,8.0,5.0,2.0,1.0,1.0,0.0,2.0,11.0,97.0,0.0,3.0,,,12.0,4.0,7.0,7.0,6.0,6.0,5.0,4.0,24.0,15.0,19.0,7.0
22,300023,59,83.0,77.0,71.0,41.0,79.0,98,3,16.0,36.0,27.0,15.0,92,79.0,19.0,4.0,3.0,13.0,5.0,67.0,36.0,4.0,5.0,84.0,84.0,8.0,46.0,74.0,64.0,53.0,28.0,34.0,22.0,29.0,19.0,11.0,10.0,6.0,6.0,2,2,66.0,60.0,53.0,49.0,54.0,44.0,30.0,34.0,51.0,18.0,15.0,23.0,15.0,7.0,9.0,8.0,2,4.0,3.0,1,8.0,4.0,6.0,1,4,3.0,5.0,5.0,4.0,5.0,13.0,7.0,10.0,3,7.0,4.0,4,4.0,3.0,2,1,95,84,31.0,79.0,51.0,91.0,86.0,66.0,67.0,55.0,56.0,68.0,34.0,22.0,28.0,8.0,38.0,26.0,9.0,4,43.0,16.0,19.0,22.0,35.0,1,2,2,4,2,16.0,6,14.0,1,4,3,1,3,2,0,1,1,0,0,0,0,0,0,0,33.0,22.0,9.0,12.0,13.0,13.0,1.0,1.0,90.0,1.0,9.0,,4.0,,2.0,89.0,7.0,3.0,91.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,9.0,8.0,6.0,5.0,3.0,1.0,15.0,4.0,11.0,10.0,8.0,7.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,87.0,5.0,8.0,,15.0,9.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,30.0,21.0,22.0,10.0
23,900008,88,83.0,80.0,77.0,68.0,84.0,99,1,13.0,34.0,35.0,16.0,93,62.0,2.0,0.0,1.0,8.0,5.0,74.0,14.0,4.0,4.0,83.0,83.0,5.0,36.0,69.0,54.0,48.0,26.0,27.0,23.0,20.0,12.0,11.0,5.0,8.0,6.0,8,3,74.0,70.0,66.0,59.0,65.0,53.0,38.0,35.0,60.0,20.0,17.0,24.0,20.0,5.0,7.0,9.0,5,5.0,6.0,2,6.0,3.0,10.0,1,5,8.0,4.0,3.0,4.0,4.0,13.0,7.0,11.0,2,9.0,4.0,4,7.0,5.0,3,1,94,84,26.0,81.0,47.0,91.0,77.0,68.0,59.0,56.0,51.0,65.0,32.0,19.0,31.0,13.0,36.0,27.0,5.0,4,50.0,11.0,22.0,17.0,38.0,1,0,1,4,4,15.0,9,13.0,2,3,3,3,7,2,3,1,1,0,1,1,2,1,1,1,29.0,25.0,10.0,11.0,4.0,3.0,0.0,2.0,,0.0,,,13.0,,1.0,98.0,2.0,0.0,97.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,6.0,1.0,5.0,4.0,4.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,,,,98.0,2.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,26.0,21.0,19.0,7.0
24,351900,84,77.0,68.0,71.0,54.0,72.0,98,4,19.0,33.0,28.0,14.0,91,74.0,14.0,2.0,2.0,9.0,4.0,64.0,11.0,5.0,2.0,74.0,74.0,4.0,29.0,60.0,50.0,40.0,16.0,23.0,18.0,18.0,13.0,9.0,7.0,8.0,7.0,4,1,57.0,53.0,47.0,47.0,46.0,41.0,26.0,25.0,48.0,19.0,11.0,20.0,15.0,5.0,9.0,8.0,1,3.0,5.0,1,5.0,6.0,10.0,1,3,5.0,4.0,2.0,4.0,5.0,9.0,6.0,8.0,1,8.0,2.0,1,3.0,3.0,2,2,95,79,24.0,78.0,38.0,82.0,72.0,51.0,49.0,48.0,43.0,56.0,24.0,9.0,21.0,6.0,28.0,20.0,5.0,3,57.0,8.0,12.0,23.0,28.0,1,0,0,2,2,12.0,5,10.0,1,1,2,0,4,1,0,0,0,0,0,0,0,0,0,0,20.0,16.0,6.0,6.0,9.0,7.0,1.0,5.0,,2.0,,,4.0,,0.0,98.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,6.0,3.0,1.0,1.0,9.0,2.0,7.0,7.0,6.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,3.0,,98.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,22.0,22.0,6.0
