ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,InternetVast_1,MinderDan30MbitS_2,k_30Tot100MbitS_3,k_100Tot500MbitS_4,k_500MbitSTot1GbitS_5,TenMinste1GbitS_6,SnelheidVasteVerbindingVoldoende_7,BedrijvenMetWebsite_8,MobieleAppVoorKlanten_9,WebsiteAppHeeftPlatformfunctie_10,ClouddienstenGebruikt_11,EMail_12,OfficeSoftware_13,OpslagDatabases_14,BestandenOpslaan_15,BoekhoudingSoftware_16,ERPSoftware_17,KlantbeheerSoftware_18,Veiligheidssoftware_19,Rekenkracht_20,Rekenplatform_21,BestandenOfDatabasesOpslag_22,VerwerkIndividuenGegevensMetAI_23,ControleerMogelijkeAIVertekening_24,AntiVirussoftware_25,BeleidVoorSterkeWachtwoorden_26,BiometrischeMethoden_27,AuthenticatieViaSoftOfHardwaretoken_28,EncryptieVanData_29,GegevensOpAndereFysiekeLocatie_30,NetworkAccessControl_31,VPNInternetgebruikBuitenHetBedrijf_32,LogbestandenVoorAnalyseIncidenten_33,MethodesVoorBeoordelenICTVeiligheid_34,Risicoanalyses_35,ICTBeveiligingsmonitoringsysteem_36,IncidentMetInterneOorzaakGehad_37,IncidentDoorAanvalVanBuitenGehad_38,UitvalICTDienstDoorVeiligheidsinc_39,VernietigingDataDoorVeiligheidsinc_40,OnthullingDoorInternIncident_41,UitvalICTDienstDoorAanvalBuitenaf_42,VernietigingDataAanvalVanBuitenaf_43,OnthullingGegevensDoorICTInbraak_44,KostenIncidentInternGehad_45,KostenIncidentAanvalBuitenafGehad_46,UitvalICTDienstDoorVeiligheidsinc_47,VernietigingDataDoorVeiligheidsinc_48,OnthullingDoorInternIncident_49,UitvalICTDienstDoorAanvalBuitenaf_50,VernietigingDataAanvalBuitenaf_51,OnthullingDoorICTInbraak_52,RansomwareAanvalGehad_53,ICTSystemenZijnGeblokkeerd_54,BedrijfsinformatieIsGestolen_55,LosgeldBetaald_56,ICTSystemen_57,Bedrijfsgegevens_58,AndereKostenRansomwareAanvalGehad_59,Politie_60,Cybersecuritybedrijf_61,VerzekeringICTVeiligheidsincidenten_62,GezochtNaarMeldingenCyberdreigingen_63,BekendMetDTC_64,DTCWebsiteAlsBronGebruikt_65,KlantenInNederland_66,KlantenInAndereEULanden_67,KlantenInLandenBuitenDeEU_68,FysiekeGoederen_69,DigitaleGoederenOfDiensten_70,NietDigitaleDiensten_71,FysiekeGoederen_72,DigitaleGoederenOfDiensten_73,NietDigitaleDiensten_74,FysiekeGoederen_75,DigitaleGoederenOfDiensten_76,NietDigitaleDiensten_77,FysiekeGoederen_78,DigitaleGoederenOfDiensten_79,NietDigitaleDiensten_80
16,WP19080,800036,90,7,31.0,20.0,25.0,8.0,87,66.0,4.0,18.0,45.0,39.0,35.0,34.0,38.0,33.0,18.0,21.0,37.0,11.0,12.0,41.0,,,90,69.0,23.0,59.0,26.0,65,45.0,32.0,39.0,28.0,27.0,44.0,15.0,5.0,12.0,2.0,1.0,4.0,0,1,3.0,0,3.0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,18.0,3.0,7.0,2.0,,,,,,,,,,,,,,,
17,WP19080,350000,91,5,26.0,35.0,19.0,6.0,89,59.0,3.0,5.0,37.0,30.0,27.0,24.0,28.0,25.0,6.0,12.0,27.0,4.0,3.0,30.0,,,82,61.0,23.0,42.0,19.0,57,30.0,20.0,19.0,17.0,15.0,21.0,4.0,5.0,4.0,1.0,0.0,3.0,2,1,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,,,,,,,10.0,3.0,5.0,0.0,,,,,,,,,,,,,,,
18,WP19080,354200,95,8,26.0,35.0,18.0,9.0,92,74.0,7.0,7.0,37.0,31.0,25.0,26.0,28.0,27.0,8.0,17.0,26.0,5.0,6.0,32.0,,,85,68.0,22.0,51.0,28.0,61,37.0,27.0,26.0,20.0,20.0,27.0,7.0,4.0,7.0,1.0,1.0,3.0,1,1,1.0,1,1.0,0.0,0.0,1.0,0.0,0.0,1,1,1,,,,,,,12.0,4.0,7.0,1.0,,,,,,,,,,,,,,,
19,WP19080,383100,94,10,24.0,36.0,14.0,9.0,92,44.0,3.0,5.0,27.0,23.0,19.0,16.0,19.0,18.0,4.0,5.0,21.0,3.0,2.0,22.0,,,85,58.0,23.0,50.0,24.0,55,23.0,17.0,15.0,12.0,18.0,18.0,5.0,3.0,5.0,0.0,0.0,1.0,1,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,,,,,,,6.0,4.0,4.0,1.0,,,,,,,,,,,,,,,
20,WP19080,389100,91,7,36.0,32.0,12.0,4.0,90,74.0,7.0,7.0,24.0,22.0,17.0,14.0,19.0,19.0,2.0,6.0,18.0,3.0,3.0,19.0,,,75,56.0,19.0,41.0,16.0,37,18.0,12.0,11.0,11.0,12.0,17.0,5.0,3.0,5.0,1.0,1.0,1.0,2,1,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,,,,,,,9.0,2.0,5.0,1.0,,,,,,,,,,,,,,,
21,WP19080,391600,98,2,15.0,31.0,31.0,19.0,94,81.0,12.0,18.0,81.0,70.0,67.0,60.0,68.0,60.0,20.0,37.0,52.0,34.0,38.0,73.0,,,83,89.0,48.0,86.0,66.0,84,64.0,54.0,58.0,39.0,44.0,43.0,9.0,5.0,9.0,1.0,1.0,4.0,0,1,1.0,2,1.0,0.0,0.0,2.0,0.0,0.0,1,1,1,,,,,,,25.0,21.0,20.0,6.0,,,,,,,,,,,,,,,
22,WP19080,396300,97,6,20.0,26.0,31.0,14.0,89,64.0,11.0,13.0,59.0,50.0,51.0,51.0,53.0,49.0,17.0,31.0,56.0,31.0,21.0,57.0,,,90,77.0,29.0,78.0,44.0,81,64.0,38.0,58.0,43.0,49.0,52.0,10.0,1.0,9.0,0.0,1.0,1.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,32.0,9.0,22.0,5.0,,,,,,,,,,,,,,,
23,WP19080,402000,87,6,21.0,28.0,23.0,9.0,85,48.0,4.0,17.0,48.0,43.0,39.0,38.0,40.0,38.0,8.0,29.0,38.0,10.0,8.0,43.0,,,79,70.0,26.0,59.0,23.0,59,39.0,21.0,25.0,16.0,19.0,24.0,4.0,4.0,4.0,1.0,0.0,2.0,2,2,1.0,1,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,,,,,,,18.0,5.0,11.0,2.0,,,,,,,,,,,,,,,
24,WP19080,403300,96,3,20.0,35.0,26.0,12.0,93,71.0,3.0,7.0,62.0,55.0,48.0,43.0,52.0,46.0,9.0,24.0,43.0,11.0,9.0,56.0,,,87,77.0,40.0,73.0,43.0,79,52.0,35.0,36.0,26.0,27.0,35.0,9.0,4.0,8.0,1.0,0.0,2.0,1,1,2.0,2,2.0,0.0,0.0,1.0,1.0,0.0,1,1,1,,,,,,,19.0,4.0,10.0,3.0,,,,,,,,,,,,,,,
25,WP19080,410200,94,6,29.0,31.0,20.0,9.0,91,68.0,5.0,11.0,37.0,33.0,29.0,28.0,30.0,27.0,8.0,17.0,26.0,7.0,7.0,32.0,,,84,68.0,30.0,53.0,27.0,63,33.0,24.0,18.0,18.0,19.0,23.0,6.0,3.0,5.0,1.0,0.0,2.0,1,1,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,,,,,,,11.0,7.0,8.0,2.0,,,,,,,,,,,,,,,
26,WP19080,422400,98,4,27.0,30.0,26.0,10.0,95,86.0,15.0,18.0,54.0,45.0,36.0,40.0,42.0,36.0,9.0,28.0,39.0,8.0,6.0,48.0,,,93,83.0,33.0,78.0,68.0,81,60.0,39.0,45.0,29.0,40.0,41.0,15.0,4.0,13.0,1.0,3.0,3.0,0,1,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1,1,0,,,,,,,23.0,8.0,8.0,2.0,,,,,,,,,,,,,,,
27,WP19080,332915,98,1,13.0,32.0,31.0,20.0,93,81.0,15.0,20.0,84.0,74.0,69.0,63.0,70.0,61.0,24.0,42.0,56.0,38.0,44.0,74.0,,,85,90.0,52.0,89.0,72.0,86,68.0,58.0,64.0,45.0,51.0,48.0,11.0,6.0,10.0,1.0,1.0,5.0,1,2,1.0,2,1.0,0.0,0.0,2.0,0.0,0.0,2,2,1,,,,,,,29.0,27.0,24.0,8.0,,,,,,,,,,,,,,,
28,WP19090,399907,98,3,20.0,36.0,25.0,15.0,94,92.0,11.0,15.0,68.0,62.0,56.0,56.0,58.0,54.0,28.0,40.0,54.0,22.0,20.0,63.0,1.0,0.0,94,80.0,29.0,76.0,48.0,85,72.0,53.0,58.0,47.0,49.0,57.0,19.0,7.0,17.0,2.0,2.0,4.0,1,3,4.0,2,4.0,1.0,0.0,1.0,0.0,1.0,1,1,1,9.0,6.0,5.0,30.0,9.0,57.0,29.0,11.0,18.0,6.0,83.0,13.0,4.0,77.0,7.0,16.0,,,,74.0,7.0,19.0,,,
29,WP19090,307500,99,3,24.0,38.0,20.0,14.0,94,93.0,3.0,6.0,64.0,55.0,48.0,49.0,49.0,47.0,27.0,28.0,48.0,15.0,14.0,55.0,0.0,0.0,97,78.0,21.0,71.0,36.0,89,74.0,63.0,59.0,47.0,46.0,58.0,18.0,6.0,18.0,2.0,2.0,3.0,1,3,4.0,1,4.0,0.0,0.0,0.0,0.0,1.0,1,1,0,,,,,,,26.0,7.0,16.0,4.0,90.0,8.0,2.0,97.0,1.0,3.0,,,,96.0,0.0,4.0,,,
30,WP19090,800036,98,5,,,,15.0,93,,7.0,11.0,,65.0,,,,,,,,,14.0,,1.0,0.0,98,,,,,92,,,,,,,22.0,5.0,19.0,8.0,4.0,4.0,2,2,5.0,3,,2.0,2.0,,2.0,,0,0,0,,,,,,,,8.0,17.0,,,,0.0,,7.0,,,,,,,,,,
31,WP19090,350000,97,1,25.0,30.0,28.0,13.0,93,92.0,3.0,5.0,65.0,55.0,48.0,50.0,53.0,45.0,22.0,27.0,47.0,16.0,10.0,59.0,0.0,0.0,96,75.0,22.0,70.0,30.0,87,72.0,53.0,56.0,50.0,44.0,56.0,19.0,6.0,17.0,3.0,1.0,3.0,1,3,6.0,1,6.0,1.0,0.0,0.0,0.0,1.0,0,0,0,,,,,,,21.0,5.0,15.0,4.0,,3.0,0.0,65.0,6.0,28.0,,,,34.0,8.0,,,,
32,WP19090,354200,99,3,20.0,39.0,24.0,13.0,94,93.0,14.0,17.0,71.0,66.0,60.0,59.0,60.0,54.0,37.0,45.0,58.0,24.0,22.0,66.0,0.0,0.0,96,83.0,29.0,78.0,50.0,87,76.0,61.0,64.0,48.0,50.0,63.0,20.0,9.0,19.0,2.0,1.0,6.0,2,3,4.0,3,3.0,0.0,0.0,2.0,1.0,1.0,1,1,1,,,,,,,28.0,11.0,17.0,5.0,78.0,18.0,4.0,97.0,1.0,3.0,,,,99.0,1.0,0.0,,,
33,WP19090,383100,95,2,25.0,34.0,20.0,14.0,91,80.0,5.0,14.0,62.0,58.0,48.0,50.0,51.0,48.0,21.0,24.0,50.0,17.0,14.0,56.0,1.0,0.0,91,76.0,24.0,68.0,40.0,80,59.0,44.0,50.0,43.0,47.0,49.0,14.0,7.0,14.0,1.0,1.0,6.0,2,2,4.0,2,4.0,0.0,0.0,2.0,1.0,1.0,1,1,1,,,,,,,26.0,9.0,18.0,6.0,,10.0,4.0,50.0,11.0,39.0,,,,12.0,13.0,,,,
34,WP19090,389100,97,6,23.0,41.0,20.0,7.0,93,88.0,10.0,14.0,44.0,39.0,31.0,31.0,36.0,36.0,11.0,16.0,28.0,6.0,7.0,39.0,0.0,,87,66.0,20.0,56.0,25.0,65,38.0,20.0,19.0,20.0,20.0,26.0,11.0,5.0,11.0,1.0,1.0,2.0,1,2,5.0,1,,,,1.0,,0.0,1,1,1,,,,,,,12.0,4.0,8.0,1.0,86.0,11.0,3.0,59.0,1.0,40.0,,,,,0.0,28.0,,,
35,WP19090,391600,99,0,6.0,27.0,32.0,34.0,96,97.0,19.0,30.0,91.0,87.0,85.0,83.0,87.0,80.0,47.0,68.0,79.0,57.0,68.0,89.0,4.0,2.0,97,95.0,53.0,95.0,87.0,97,92.0,77.0,87.0,77.0,79.0,78.0,25.0,7.0,23.0,2.0,4.0,5.0,0,3,3.0,2,3.0,0.0,1.0,2.0,0.0,1.0,1,1,1,,,,,,,50.0,37.0,41.0,21.0,74.0,13.0,13.0,23.0,68.0,8.0,,,,13.0,70.0,18.0,,,
36,WP19090,396300,99,2,10.0,,,,92,91.0,16.0,,75.0,69.0,62.0,63.0,64.0,59.0,,,58.0,,,66.0,1.0,,98,95.0,,96.0,83.0,96,92.0,,82.0,83.0,85.0,86.0,19.0,7.0,18.0,3.0,1.0,2.0,0,5,3.0,2,,0.0,0.0,,0.0,0.0,0,0,0,,,,,,,,27.0,,,,,5.0,11.0,,,,,,0.0,0.0,,,,
37,WP19090,402000,98,2,15.0,,,,95,90.0,4.0,,,,,,,,,,,,,75.0,2.0,0.0,93,88.0,,,,90,,,,,,,,4.0,,2.0,1.0,4.0,0,0,5.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,12.0,,,,,,0.0,0.0,,,,,,0.0,,,,
38,WP19090,403300,100,1,12.0,39.0,30.0,18.0,96,95.0,9.0,15.0,84.0,78.0,75.0,70.0,74.0,71.0,33.0,54.0,71.0,29.0,27.0,79.0,2.0,1.0,97,89.0,40.0,88.0,63.0,94,87.0,63.0,74.0,57.0,62.0,71.0,26.0,8.0,23.0,4.0,6.0,5.0,1,4,6.0,2,4.0,1.0,1.0,1.0,0.0,1.0,1,1,0,,,,,,,45.0,15.0,22.0,8.0,81.0,12.0,7.0,48.0,24.0,28.0,,,,37.0,38.0,25.0,,,
39,WP19090,410200,98,2,23.0,33.0,28.0,11.0,93,84.0,10.0,19.0,64.0,60.0,53.0,56.0,55.0,54.0,28.0,42.0,53.0,21.0,18.0,60.0,2.0,1.0,93,78.0,30.0,76.0,47.0,83,66.0,42.0,50.0,39.0,41.0,53.0,17.0,7.0,16.0,1.0,1.0,4.0,1,3,2.0,2,2.0,0.0,0.0,1.0,0.0,1.0,1,1,1,,,,,,,26.0,9.0,14.0,6.0,94.0,5.0,2.0,47.0,7.0,45.0,,,,36.0,7.0,57.0,,,
40,WP19090,422400,99,1,21.0,33.0,28.0,16.0,97,94.0,24.0,15.0,70.0,64.0,59.0,57.0,61.0,59.0,18.0,48.0,58.0,18.0,12.0,65.0,0.0,0.0,94,80.0,27.0,85.0,67.0,85,75.0,45.0,61.0,48.0,59.0,57.0,18.0,4.0,15.0,2.0,5.0,3.0,1,2,5.0,1,4.0,1.0,0.0,,0.0,1.0,0,0,0,,,,,,,33.0,7.0,19.0,8.0,,1.0,1.0,39.0,16.0,46.0,,,,27.0,17.0,,,,
41,WP19090,332915,100,1,7.0,28.0,32.0,32.0,97,97.0,17.0,28.0,89.0,85.0,83.0,80.0,84.0,77.0,48.0,67.0,79.0,54.0,64.0,86.0,4.0,3.0,97,96.0,51.0,95.0,86.0,96,92.0,79.0,85.0,75.0,76.0,80.0,25.0,8.0,23.0,2.0,4.0,4.0,0,4,3.0,1,3.0,0.0,0.0,1.0,,1.0,1,1,1,,,,,,,51.0,37.0,41.0,19.0,69.0,19.0,12.0,38.0,57.0,5.0,,,,,38.0,9.0,,,
42,WP19097,399907,99,1,11.0,35.0,30.0,22.0,96,96.0,17.0,20.0,81.0,75.0,71.0,66.0,70.0,59.0,42.0,51.0,68.0,35.0,35.0,74.0,2.0,1.0,98,92.0,42.0,92.0,70.0,95,90.0,78.0,83.0,73.0,74.0,80.0,30.0,10.0,27.0,4.0,6.0,6.0,2,4,6.0,2,5.0,1.0,0.0,2.0,1.0,1.0,2,1,1,10.0,8.0,9.0,39.0,26.0,64.0,39.0,30.0,33.0,16.0,82.0,13.0,4.0,73.0,8.0,20.0,,,,76.0,4.0,20.0,,,
43,WP19097,307500,99,0,12.0,38.0,28.0,21.0,95,97.0,7.0,12.0,78.0,69.0,65.0,55.0,62.0,45.0,34.0,36.0,63.0,27.0,25.0,67.0,0.0,0.0,99,95.0,34.0,91.0,69.0,97,93.0,90.0,89.0,74.0,76.0,85.0,32.0,8.0,31.0,4.0,3.0,3.0,2,4,7.0,2,7.0,1.0,0.0,1.0,1.0,1.0,1,1,0,,,,,,,37.0,33.0,36.0,18.0,81.0,15.0,4.0,98.0,1.0,1.0,,,,97.0,0.0,3.0,,,
44,WP19097,800036,100,0,6.0,,,23.0,94,98.0,35.0,,,73.0,,,,,,,,,,,0.0,0.0,100,96.0,,98.0,,99,96.0,91.0,95.0,,,90.0,,11.0,,1.0,11.0,2.0,0,9,5.0,1,5.0,,0.0,,0.0,1.0,0,0,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,
45,WP19097,350000,100,0,6.0,42.0,36.0,15.0,96,100.0,4.0,15.0,79.0,70.0,65.0,62.0,66.0,48.0,42.0,37.0,65.0,30.0,30.0,69.0,0.0,0.0,100,95.0,40.0,92.0,59.0,98,93.0,83.0,82.0,72.0,74.0,80.0,34.0,11.0,31.0,9.0,4.0,9.0,4,2,8.0,5,7.0,,0.0,,,,1,1,0,,,,,,,25.0,21.0,30.0,11.0,,2.0,0.0,,0.0,,,,,31.0,4.0,,,,
