ID,SBI93,Bedrijfsgrootte,AantalBedrijven_1,BedrijvenMetComputers_2,Computerpersoneel_3,BedrijvenMetICTSystemen_4,OrderverwerkingGekoppeldICTSysteem_5,OrderverwerkingInternICTSysteem_6,OrderverwerkingVoorraadbeheer_7,OrderverwerkingFacturering_8,OrderverwerkingProductieLogistiek_9,OrderverwerkingMarketing_10,OrderverwerkingICTSysteemVanDerden_11,OrderverwerkingToeleveranciers_12,OrderverwerkingKlantenAfnemers_13,BedrijvenMetLAN_14,BedrijvenMetDraadloosLAN_15,BedrijvenMetIntranet_16,BedrijvenMetExtranet_17,BedrijvenMetExterneNetwerken_18,TotaalBedrijvenMetInternet_19,AnaloogModem_20,ISDN_21,Breedbandverbinding_22,XDSL_23,RTVKabel_24,AndereHoogwaardigeVasteVerbinding_25,DraadlozeVerbinding_26,AnderTypeVerbinding_27,PersoneelDatWerktMetInternet_28,GebruikVanNietInternetnetwerken_29,BedrijvenMetTelewerkers_30,AantalTelewerkers_31,TotaalAlgemeenGebruik_32,FinancieleTransacties_33,TrainingEnOpleiding_34,Marktmonitoring_35,ElektronischeOntvangstProducten_36,KlantondersteuningDoorToeleveranciers_37,TotaalCommunicatieMetOverheden_38,VerkrijgenVanInformatie_39,VerkrijgenVanFormulieren_40,RetournerenIngevuldeFormulieren_41,VolledigeElektronischeAfhandeling_42,TotaalAangebodenFaciliteiten_43,InformatiePresentatieEigenBedrijf_44,InformatieProducten_45,InformatiePrijzen_46,ServiceCustomisedPage_47,ProductenElectronischeLevering_48,ServiceKlantondersteuning_49,DienstenMobielInternet_50,ElektronischeOrderontvangst_51,ElektronischeOntvangstBetalingen_52,GebruikElektronischeMarktplaatsen_53,ElektronischeInkoop_54,ElektronischeBetaling_55,GebruikElektronischeMarktplaatsen_56,TotaalVerkoopViaExterneNetwerken_57,Omzet1_58,Omzet2_59,Omzet5_60,Omzet10_61,TotaalVerkoopViaNietInternetnetwe_62,Omzet1_63,Omzet2_64,Omzet5_65,Omzet10_66,TotaalVerkoopViaInternet_67,Omzet1_68,Omzet2_69,Omzet5_70,Omzet10_71,VerkoopBuitenland_72,VerkoopHuishoudens_73,TotaalInkoopExterneNetwerken_74,Inkoopwaarde1_75,Inkoopwaarde2_76,Inkoopwaarde5_77,Inkoopwaarde10_78,TotaalInkoopViaInternet_79,Inkoopwaarde1_80,Inkoopwaarde2_81,Inkoopwaarde5_82,Inkoopwaarde10_83,TotaalInkoopViaNietInternetwerken_84,Inkoopwaarde1_85,Inkoopwaarde2_86,Inkoopwaarde5_87,Inkoopwaarde10_88,BeveiligingTotaal_89,BeveiligingTweeMaatregelen_90,BeveiligingEigenICTSysteem_91,BeveiligingAntivirussoftware_92,BeveiligingFirewall_93,BeveiligingBeveiligdeWebserver_94,BeveiligingOffSiteDataBackUp_95,BeveiligingCommunicatie_96,BeveiligingDigitaleHandtekening_97,BeveiligingOverigeAuthenticatie_98,BeveiligingEncryptie_99,BeveiligingUpdateMaatregelen_100,ProblemenVeiligheid_101,ProblemenVirusaanval_102,ProblemenIllegaleToegang_103,ProblemenChantageBedreiging_104,ProblemenOverige_105
10,72,12,28.0,100,84,89,96,96,75,96,63,46,29,29,21,100,22,93,40,100,100,17,15,93,33,21,62,6,6,46,38,78,10,89,30,22,74,37,26,59,56,56,37,7,85,85,67,78,33,7,37,4,26,4,15,48,9,15,26,57.0,57.0,57.0,57.0,11,100.0,100.0,100.0,100.0,26,57.0,57.0,57.0,43.0,71,14,52,57,36,36,36,48,54,31,31,31,11,100.0,100.0,100.0,100.0,100,100,100,100,100,44,67,67,48,63,44,67,39,33,4,,6
11,72,13,27.0,93,69,92,100,100,100,96,74,39,30,30,13,100,9,92,33,93,100,17,42,100,56,25,87,13,0,46,25,100,17,92,64,24,84,40,36,68,68,64,40,8,100,100,96,96,32,0,60,16,24,8,0,48,25,9,24,,,,,0,0.0,0.0,0.0,0.0,24,,,,,100,0,48,0,0,0,0,48,0,0,0,0,0,,,,,100,100,100,100,100,88,88,56,36,36,24,92,25,21,0,,8
12,73,14,7606.0,92,30,53,90,88,23,84,25,12,25,22,11,79,8,16,5,89,96,11,29,70,62,7,2,3,1,23,1,16,5,89,73,8,43,26,24,51,46,45,39,11,73,70,30,11,4,2,4,2,10,1,1,31,9,4,10,40.0,27.0,19.0,13.0,0,63.0,63.0,38.0,38.0,10,39.0,27.0,19.0,13.0,53,0,31,56,46,41,29,31,58,46,41,29,1,67.0,63.0,63.0,63.0,94,77,94,94,67,21,29,32,14,27,7,67,17,16,0,,2
13,73,11,6627.0,92,22,51,89,87,19,84,21,9,26,22,10,77,7,13,4,88,96,12,30,67,61,7,1,2,1,17,1,13,1,89,73,8,40,25,23,47,42,41,35,10,69,66,26,11,4,1,3,1,10,1,1,29,9,4,10,40.0,27.0,18.0,14.0,0,,,,,10,40.0,27.0,18.0,14.0,53,0,29,59,50,45,34,29,62,50,45,34,1,49.0,49.0,49.0,49.0,94,75,94,93,63,16,27,28,12,24,5,64,15,14,0,,1
14,73,12,875.0,95,31,63,93,92,37,84,41,24,21,19,13,97,12,35,6,94,100,3,22,84,73,8,8,2,0,24,2,35,4,92,70,9,61,32,27,74,73,74,63,15,93,93,54,13,5,2,6,6,6,1,0,41,9,3,6,29.0,29.0,29.0,6.0,0,50.0,50.0,50.0,50.0,6,25.0,25.0,25.0,2.0,73,4,41,41,27,23,9,41,41,27,23,9,2,100.0,100.0,100.0,100.0,98,93,98,97,89,49,44,54,24,48,19,82,33,29,4,,4
15,73,13,105.0,96,43,82,98,98,57,97,52,39,30,25,19,99,21,74,32,96,100,13,16,91,68,10,36,17,7,32,11,81,11,96,65,23,75,49,44,77,75,74,60,20,100,98,67,14,23,8,16,7,16,3,4,58,8,8,18,58.0,42.0,11.0,11.0,6,67.0,67.0,33.0,33.0,16,53.0,35.0,12.0,12.0,0,0,60,44,34,23,17,58,42,32,21,15,7,100.0,71.0,71.0,71.0,100,100,100,100,100,72,55,59,16,51,40,86,29,24,0,,13
16,74,14,15951.0,97,58,86,97,96,78,87,38,33,35,29,19,90,13,37,14,90,92,14,29,79,69,5,11,6,1,35,13,32,7,92,68,18,52,42,37,62,55,55,48,9,82,77,60,35,15,6,15,6,25,3,3,39,11,5,31,55.0,49.0,40.0,30.0,9,85.0,85.0,84.0,73.0,25,42.0,34.0,23.0,13.0,37,23,43,55,47,39,32,39,46,35,29,21,6,97.0,97.0,87.0,85.0,93,83,93,89,76,37,41,39,15,32,15,67,21,19,1,,3
17,74,11,13812.0,96,59,85,97,97,76,87,35,32,33,27,17,89,11,34,13,89,92,14,29,78,69,5,9,6,1,40,10,29,6,92,68,17,51,41,37,62,54,54,47,9,81,77,58,34,13,6,13,6,24,2,3,38,9,4,29,49.0,42.0,34.0,23.0,6,77.0,77.0,77.0,66.0,24,39.0,30.0,21.0,11.0,40,24,41,53,44,37,30,38,44,35,29,22,4,100.0,100.0,85.0,85.0,92,82,92,88,74,34,40,37,16,30,13,66,21,19,1,,3
18,74,12,1863.0,98,62,89,96,96,86,86,57,40,43,35,27,94,17,55,22,95,97,12,27,82,70,3,21,5,4,40,32,50,9,90,66,27,56,48,35,66,61,62,52,12,85,80,66,41,28,6,24,4,31,4,6,42,18,6,48,78.0,77.0,63.0,54.0,26,98.0,98.0,97.0,85.0,31,56.0,54.0,33.0,24.0,20,20,48,63,59,55,43,42,53,36,31,17,15,94.0,94.0,94.0,89.0,96,91,96,94,88,47,41,49,9,44,25,70,22,21,1,,4
19,74,13,276.0,100,55,96,100,100,97,96,77,51,55,46,34,99,36,79,38,96,95,12,18,95,69,8,46,9,0,28,50,75,7,93,68,27,74,57,43,68,66,61,50,12,94,94,79,53,25,12,29,6,36,9,6,56,21,11,51,68.0,59.0,52.0,46.0,28,75.0,75.0,72.0,62.0,36,53.0,37.0,27.0,19.0,40,19,70,60,53,42,31,56,51,37,23,10,28,90.0,88.0,77.0,68.0,96,96,96,96,94,68,65,68,18,58,46,82,26,25,2,,1
20,75,14,3409.0,84,30,40,94,85,24,73,20,31,39,29,17,62,16,13,3,73,86,23,30,69,59,12,1,3,0,17,4,8,4,88,73,7,46,34,26,47,43,42,32,8,90,87,61,64,10,2,7,1,44,4,4,32,12,6,44,61.0,54.0,40.0,30.0,0,,,,,44,61.0,54.0,40.0,30.0,95,48,34,44,34,28,19,32,40,31,23,14,2,96.0,96.0,96.0,96.0,89,68,89,86,63,17,19,19,8,16,3,54,20,19,0,,2
21,75,11,3152.0,83,22,36,94,84,20,72,19,30,42,30,18,59,15,9,2,72,86,24,31,68,57,13,0,2,0,11,4,6,1,87,73,6,45,32,26,45,40,39,30,7,90,87,59,62,9,2,7,0,42,3,3,29,11,6,42,59.0,51.0,38.0,30.0,0,,,,,42,59.0,51.0,38.0,30.0,95,44,31,42,37,29,18,29,38,32,24,13,2,100.0,100.0,100.0,100.0,89,66,89,86,61,14,17,16,7,13,1,53,19,19,0,,2
22,75,12,223.0,92,36,75,92,92,40,76,25,36,27,22,11,90,24,45,8,80,86,19,23,75,71,3,4,11,0,17,4,24,1,94,74,20,51,49,24,73,67,70,50,13,93,93,83,77,21,7,10,8,67,10,12,58,21,3,67,74.0,72.0,52.0,35.0,0,,,,,67,74.0,72.0,52.0,35.0,92,76,58,54,22,22,21,58,54,22,22,21,0,,,,,91,77,91,86,77,41,44,45,18,42,11,73,27,26,3,,3
23,75,13,33.0,100,39,84,94,94,58,84,29,48,39,29,16,100,26,68,37,100,97,19,33,94,75,10,27,8,0,26,17,68,11,92,62,32,86,51,46,65,65,59,46,27,97,97,92,70,22,5,14,11,59,24,24,78,17,5,59,73.0,73.0,50.0,18.0,0,,,,,59,73.0,73.0,50.0,18.0,91,64,84,39,32,23,16,78,38,31,17,14,8,33.0,33.0,33.0,33.0,100,100,100,100,100,65,54,68,5,51,54,76,26,21,0,,5
24,76,14,4440.0,93,58,65,95,94,31,90,51,19,25,16,21,79,12,32,13,88,94,10,31,78,66,8,10,8,1,46,8,27,9,92,75,10,41,29,23,63,58,56,46,12,75,71,45,23,11,4,13,5,34,4,4,31,12,7,38,64.0,55.0,45.0,31.0,7,91.0,91.0,89.0,79.0,34,60.0,49.0,37.0,23.0,39,31,32,53,42,19,12,31,52,41,17,9,2,65.0,63.0,63.0,56.0,92,78,92,90,73,30,33,31,10,26,13,68,23,22,2,,3
25,76,11,3506.0,92,32,60,93,92,28,88,44,17,23,14,19,74,9,26,9,86,94,9,32,75,65,6,5,7,0,25,4,20,3,91,75,7,39,25,21,61,55,53,44,12,71,66,40,21,8,4,12,4,33,3,3,26,10,6,35,61.0,50.0,38.0,24.0,4,94.0,94.0,94.0,84.0,33,58.0,47.0,35.0,20.0,40,26,27,55,43,17,9,26,54,42,16,8,1,61.0,61.0,61.0,61.0,92,75,91,90,69,24,29,26,8,21,10,65,23,22,2,,3
26,76,12,794.0,100,40,78,100,100,35,97,71,19,29,15,25,95,20,47,20,95,95,13,27,88,70,13,20,11,3,30,19,45,5,94,76,16,45,39,25,69,67,63,53,9,87,86,58,32,16,5,16,7,38,6,5,45,20,13,46,73.0,70.0,61.0,50.0,16,94.0,94.0,91.0,77.0,38,66.0,56.0,43.0,31.0,34,43,45,45,43,24,18,45,44,40,20,11,4,86.0,86.0,86.0,79.0,93,87,93,91,87,47,45,44,16,35,21,79,24,24,1,,2
27,76,13,140.0,98,73,90,95,92,55,91,62,42,54,41,41,99,37,85,51,97,99,16,24,93,55,8,64,12,8,59,48,83,13,95,72,49,70,55,52,78,74,66,65,33,96,96,84,40,53,16,43,18,48,16,6,64,20,16,62,70.0,60.0,60.0,56.0,33,74.0,78.0,74.0,70.0,48,55.0,46.0,43.0,37.0,46,42,67,62,32,17,10,64,61,28,14,9,15,38.0,29.0,29.0,14.0,99,99,99,99,99,73,68,80,24,66,59,88,27,26,4,,6
28,77,14,10910.0,95,77,50,92,91,27,85,36,32,25,17,18,89,16,42,17,92,97,8,22,85,73,7,11,5,1,64,5,45,16,93,76,18,50,43,30,70,67,65,54,15,89,86,60,25,13,14,16,5,20,3,2,47,25,7,20,58.0,50.0,41.0,27.0,1,55.0,63.0,52.0,40.0,20,58.0,49.0,40.0,27.0,30,26,47,61,46,37,20,47,61,46,36,19,1,74.0,54.0,51.0,49.0,97,90,97,96,87,47,46,45,14,38,22,73,24,22,3,,3
29,77,11,8863.0,94,75,46,91,90,25,83,34,32,24,15,17,88,15,37,15,91,97,8,22,84,74,7,8,4,1,62,4,42,11,93,77,17,48,42,28,69,65,63,53,14,88,85,58,26,13,15,15,4,19,3,2,46,25,7,19,59.0,52.0,43.0,28.0,1,34.0,47.0,29.0,25.0,19,59.0,52.0,43.0,28.0,34,25,46,61,47,39,21,46,62,47,39,20,1,70.0,46.0,46.0,46.0,97,90,97,96,86,44,44,43,13,36,19,71,24,22,3,,3
30,77,12,1696.0,98,69,65,94,93,29,90,38,29,26,17,20,92,17,58,25,97,99,9,20,87,70,7,22,7,2,57,7,55,13,93,73,23,56,44,35,75,71,71,56,15,93,91,66,24,14,11,21,7,22,2,2,52,28,7,23,56.0,42.0,35.0,23.0,2,91.0,91.0,91.0,67.0,22,53.0,38.0,31.0,20.0,20,26,52,59,41,28,16,52,58,41,28,16,1,87.0,67.0,47.0,33.0,99,91,98,97,88,56,50,50,18,41,30,79,24,23,2,,3
31,77,13,351.0,97,82,77,96,94,37,91,41,46,36,32,23,98,20,83,40,97,99,15,24,95,66,7,48,13,2,68,17,75,20,94,68,33,62,50,41,86,85,80,64,19,98,94,83,20,20,15,26,13,25,3,4,59,31,10,27,53.0,48.0,42.0,36.0,6,82.0,82.0,82.0,59.0,25,51.0,43.0,38.0,26.0,15,28,60,62,45,34,17,59,62,43,30,13,3,80.0,80.0,80.0,80.0,100,99,99,98,97,75,73,75,24,61,51,88,34,31,2,,9
32,78,14,4260.0,97,50,46,90,88,30,82,38,11,25,14,15,88,12,37,13,94,97,11,23,80,66,12,10,2,2,34,9,32,3,82,68,12,39,30,20,73,72,68,46,14,81,80,58,22,5,3,4,1,11,0,0,45,15,4,11,49.0,39.0,26.0,22.0,1,65.0,81.0,65.0,65.0,11,49.0,39.0,22.0,17.0,51,2,45,48,38,31,15,45,48,37,30,15,1,89.0,71.0,46.0,25.0,96,91,96,95,83,34,40,45,12,39,21,77,22,20,3,,4
33,78,11,2731.0,95,53,45,91,87,23,84,41,15,26,10,19,80,7,21,10,90,95,14,27,68,56,12,3,1,2,39,3,20,4,79,69,6,36,25,14,63,63,57,30,12,76,75,49,25,6,2,3,0,13,0,0,36,14,4,13,56.0,44.0,30.0,30.0,1,100.0,100.0,100.0,100.0,13,56.0,44.0,22.0,22.0,56,0,36,57,49,42,21,36,57,49,42,21,0,,,,,94,87,94,93,73,21,35,32,8,31,9,73,24,23,5,,4
34,78,12,979.0,99,50,40,85,84,20,78,36,9,24,13,14,93,10,49,16,98,99,7,20,89,74,12,9,1,3,37,7,39,4,83,66,13,37,31,24,83,81,79,61,14,81,79,63,19,3,6,6,2,9,1,0,53,16,4,10,46.0,31.0,19.0,6.0,1,0.0,100.0,0.0,0.0,9,42.0,33.0,20.0,7.0,40,2,53,36,30,24,15,53,36,28,24,15,1,100.0,100.0,55.0,55.0,99,94,99,97,90,45,45,50,13,42,28,78,18,17,1,,2
35,78,13,550.0,100,50,59,95,92,53,84,33,9,26,22,8,99,26,63,18,100,100,11,16,97,81,13,27,6,1,34,30,50,2,87,66,24,48,40,29,85,83,80,61,16,94,92,73,18,3,1,3,4,7,0,0,58,16,6,8,32.0,28.0,26.0,19.0,1,44.0,44.0,44.0,44.0,7,28.0,24.0,22.0,13.0,63,9,58,50,32,22,7,58,51,31,21,7,2,82.0,53.0,41.0,6.0,100,99,100,99,97,51,46,66,22,52,44,84,23,20,1,,6
36,79,14,2796.0,95,60,43,90,90,34,85,32,32,25,17,15,85,11,24,8,90,94,9,23,79,66,12,8,4,1,43,2,28,5,90,76,17,46,35,24,65,61,60,45,15,91,90,71,53,15,6,13,5,28,5,3,43,19,7,28,45.0,35.0,31.0,28.0,1,8.0,8.0,8.0,0.0,28,45.0,35.0,31.0,27.0,82,30,43,56,48,20,12,43,57,48,20,12,0,36.0,36.0,0.0,0.0,94,86,94,91,80,40,39,40,9,35,10,73,25,22,3,,3
37,79,11,2361.0,94,53,39,89,89,30,84,27,29,24,16,16,82,8,19,5,89,93,10,24,77,64,12,3,3,2,36,2,23,2,90,76,17,43,33,22,63,58,57,41,13,90,89,68,50,13,6,11,4,27,4,3,39,17,6,27,48.0,37.0,33.0,30.0,1,0.0,0.0,0.0,0.0,27,48.0,37.0,33.0,30.0,83,32,39,57,52,19,10,39,57,52,19,10,0,44.0,44.0,0.0,0.0,93,83,93,90,77,36,36,36,8,32,7,72,24,21,2,,2
38,79,12,380.0,100,58,59,94,93,43,86,48,43,30,22,14,96,26,41,20,99,99,6,22,92,77,9,23,9,0,48,4,51,6,94,73,17,57,46,36,76,73,73,60,24,98,95,84,66,23,11,18,10,31,9,4,56,25,11,32,31.0,26.0,25.0,17.0,1,0.0,0.0,0.0,0.0,31,32.0,27.0,25.0,17.0,80,24,57,53,38,23,18,56,54,38,24,19,1,0.0,0.0,0.0,0.0,99,97,99,99,95,59,56,54,12,49,20,76,30,25,5,,7
39,79,13,56.0,100,72,79,98,98,50,88,40,40,19,19,7,94,14,74,30,100,100,9,16,98,64,9,57,4,4,48,7,77,7,98,75,34,70,49,30,68,68,68,57,19,94,94,92,57,19,9,19,28,40,8,4,70,36,3,40,38.0,33.0,29.0,19.0,4,100.0,100.0,100.0,0.0,40,38.0,33.0,29.0,10.0,71,33,70,59,38,24,16,70,59,38,24,16,0,,,,,96,96,96,96,96,62,49,68,15,57,38,83,36,34,6,,3
