ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetInternet_1,OnlineVergaderen_2,Bedrijfsemails_3,Bedrijfsdocumenten_4,BedrijfsapplicatiesOfSoftware_5,Telewerkers_6,TelewerkKomtVoor_7,ICTPersAangenomenWillenAannemen_8,ICTVacaturesLastigTeVullen_9,TekortAanSollicitanten_10,SollicitantenMissenJuisteICTKennis_11,SollicitantenMissenWerkervaring_12,SollicitantenEisenTeHoogSalaris_13,EigenPersoneel_14,ExterneLeverancier_15,EigenPersoneelEnExterneLeverancier_16,ICTSpecialistenInLoondienst_17,ICTCursusAanICTSpecialisten_18,ICTCursusAanOverigPersoneel_19,InternetVast_20,MinderDan30MbitS_21,k_30Tot100MbitS_22,k_100Tot500MbitS_23,k_500MbitSTot1GbitS_24,TenMinste1GbitS_25,SnelheidVasteVerbindingVoldoende_26,MobielInternetVerstrekt_27,PersoneelDatWerktMetMobielInternet_28,BedrijvenMetWebsite_29,MobieleAppVoorKlanten_30,WebsiteAppHeeftPlatformfunctie_31,OnlineAdvertenties_32,Zoektermen_33,ProfielVolgen_34,GeografischeLocatie_35,Anders_36,ClouddienstenGebruikt_37,EMail_38,OfficeSoftware_39,OpslagDatabases_40,BestandenOpslaan_41,BoekhoudingSoftware_42,ERPSoftware_43,KlantbeheerSoftware_44,Veiligheidssoftware_45,Rekenkracht_46,Rekenplatform_47,BestandenOfDatabasesOpslag_48,AIGebruikt_49,TextMining_50,Spraakherkenning_51,NaturalLanguageGeneration_52,AfbeeldingHerkenning_53,MachineLearning_54,RobotOndersteundeProcesautomatisering_55,ServiceRobotsOfAutonomeVoertuigen_56,VoorMarketingOfVerkoop_57,ProductieOfServiceprocessen_58,AdministratieveProcessenBestuurtaken_59,Logistiek_60,ICTBeveiliging_61,BoekhoudingControleFinancieelBeheer_62,OnderzoekOntwikkelingOfInnovatie_63,EigenWerknemersOntwikkeld_64,CommercieelZelfAangepast_65,OpenSourceZelfAangepast_66,CommercieelGebruikt_67,ExternOntwikkeld_68,VerwerkIndividuenGegevensMetAI_69,ControleerMogelijkeAIVertekening_70,HeeftAIOverwogen_71,KostenZijnTeHoog_72,GebrekAanRelevanteErvaringInBedrijf_73,IncompatibiliteitBestaandeICTSysteem_74,MoeilijkhedenBeschikbaarheidGegevens_75,BezorgdheidSchendingGegevensbescherm_76,OnduidelijkheidOverJuridischeGevolgen_77,EthischeOverwegingen_78,NietNuttigVoorOnderneming_79,GebruiktEenOfMeerAITechnologieen_80,GebruiktTweeOfMeerAITechnologieen_81,GebruiktDrieOfMeerAITechnologieen_82,GebruiktVierOfMeerAITechnologieen_83,AntiVirussoftware_84,BeleidVoorSterkeWachtwoorden_85,BiometrischeMethoden_86,AuthenticatieViaSoftOfHardwaretoken_87,EncryptieVanData_88,GegevensOpAndereFysiekeLocatie_89,NetworkAccessControl_90,VPNInternetgebruikBuitenHetBedrijf_91,LogbestandenVoorAnalyseIncidenten_92,MethodesVoorBeoordelenICTVeiligheid_93,Risicoanalyses_94,ICTBeveiligingsmonitoringsysteem_95,DoorVrijwilligeTraining_96,DoorVerplichteTraining_97,MetContract_98,ICTVeiligheidsdocumentenAanwezig_99,MinderDan12MaandenGeleden_100,TussenDe12En24MaandenGeleden_101,MeerDan24MaandenGeleden_102,UitbesteedAanExternBedrijf_103,EigenPersoneel_104,EigenPersoneelEnExternBedrijf_105,NietVanToepassing_106,IncidentMetInterneOorzaakGehad_107,IncidentDoorAanvalVanBuitenGehad_108,UitvalICTDienstDoorVeiligheidsinc_109,VernietigingDataDoorVeiligheidsinc_110,OnthullingDoorInternIncident_111,UitvalICTDienstDoorAanvalBuitenaf_112,VernietigingDataAanvalVanBuitenaf_113,OnthullingGegevensDoorICTInbraak_114,KostenIncidentInternGehad_115,KostenIncidentAanvalBuitenafGehad_116,UitvalICTDienstDoorVeiligheidsinc_117,VernietigingDataDoorVeiligheidsinc_118,OnthullingDoorInternIncident_119,UitvalICTDienstDoorAanvalBuitenaf_120,VernietigingDataAanvalBuitenaf_121,OnthullingDoorICTInbraak_122,RansomwareAanvalGehad_123,ICTSystemenZijnGeblokkeerd_124,BedrijfsinformatieIsGestolen_125,LosgeldBetaald_126,ICTSystemen_127,Bedrijfsgegevens_128,AndereKostenRansomwareAanvalGehad_129,Politie_130,Cybersecuritybedrijf_131,VerzekeringICTVeiligheidsincidenten_132,GezochtNaarMeldingenCyberdreigingen_133,BekendMetDTC_134,DTCWebsiteAlsBronGebruikt_135,VerkoopViaWebsiteOfApp_136,Bedrijven_137,Overheidsorganisaties_138,NederlandseConsumenten_139,BuitenlandseConsumenten_140,KlantenInNederland_141,KlantenInAndereEULanden_142,KlantenInLandenBuitenDeEU_143,FysiekeGoederen_144,DigitaleGoederenOfDiensten_145,NietDigitaleDiensten_146,FysiekeGoederen_147,DigitaleGoederenOfDiensten_148,NietDigitaleDiensten_149,Verkoopwaarde1VanDeTotaleOmzet_150,Verkoopwaarde1VanDeTotaleOmzet_151,Verkoopwaarde2VanDeTotaleOmzet_152,Verkoopwaarde5VanDeTotaleOmzet_153,Verkoopwaarde10VanDeTotaleOmzet_154,Verkoopwaarde25VanDeTotaleOmzet_155,Verkoopwaarde50VanDeTotaleOmzet_156,ViaWebsiteOfAppsVanEigenBedrijf_157,PercentageOmzetViaOnlinePlatforms_158,VerkoopViaECommerce_159,Verkoopwaarde1VanDeTotaleOmzet_160,Verkoopwaarde1VanDeTotaleOmzet_161,Verkoopwaarde2VanDeTotaleOmzet_162,Verkoopwaarde5VanDeTotaleOmzet_163,Verkoopwaarde10VanDeTotaleOmzet_164,Verkoopwaarde25VanDeTotaleOmzet_165,Verkoopwaarde50VanDeTotaleOmzet_166,ViaEen_167,ViaTwee_168,ViaDrieOfMeer_169,MeerDan75VanOmzetUitEenPlatform_170,BetaaldAanPlatforms_171,VerkoopViaEDI_172,FysiekeGoederen_173,DigitaleGoederenOfDiensten_174,NietDigitaleDiensten_175,FysiekeGoederen_176,DigitaleGoederenOfDiensten_177,NietDigitaleDiensten_178,Verkoopwaarde1VanDeTotaleOmzet_179,Verkoopwaarde1VanDeTotaleOmzet_180,Verkoopwaarde2VanDeTotaleOmzet_181,Verkoopwaarde5VanDeTotaleOmzet_182,Verkoopwaarde10VanDeTotaleOmzet_183,Verkoopwaarde25VanDeTotaleOmzet_184,Verkoopwaarde50VanDeTotaleOmzet_185
10,WP19090,403300,97.0,90.0,93.0,93.0,88.0,79.0,94.0,15.0,8.0,7.0,6.0,6.0,6.0,10.0,39.0,50.0,29.0,19.0,27.0,100,1,12.0,39.0,30.0,18.0,96,89,59.0,95.0,9.0,15.0,35.0,27.0,16.0,17.0,20.0,84.0,78.0,75.0,70.0,74.0,71.0,33.0,54.0,71.0,29.0,27.0,79.0,37.0,22.0,11.0,20.0,7.0,10.0,9.0,3.0,9.0,7.0,13.0,1.0,6.0,11.0,10.0,5.0,9.0,8.0,23.0,8.0,2.0,1.0,13.0,2.0,10.0,2.0,4.0,7.0,5.0,3.0,1.0,37.0,23.0,11.0,5.0,97,89.0,40.0,88.0,63.0,94,87.0,63.0,74.0,57.0,62.0,71.0,52.0,28.0,45.0,58.0,46.0,9.0,3,42.0,17.0,32.0,9.0,26.0,8.0,23.0,4.0,6.0,5.0,1,4,6.0,2,4.0,1.0,1.0,1.0,0.0,1.0,1,1,0,,,,,,,45.0,15.0,22.0,8.0,11.0,60.0,4.0,29.0,7.0,81.0,12.0,7.0,48.0,24.0,28.0,,,,3.0,8.0,7.0,5.0,5.0,3.0,2.0,88.0,12.0,11.0,3.0,9.0,8.0,6.0,6.0,4.0,3.0,1.0,1.0,1.0,1.0,,2.0,37.0,38.0,25.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0
11,WP19090,410200,78.0,50.0,73.0,68.0,65.0,43.0,72.0,6.0,3.0,3.0,2.0,2.0,2.0,12.0,53.0,30.0,15.0,8.0,12.0,98,2,23.0,33.0,28.0,11.0,93,84,40.0,84.0,10.0,19.0,36.0,28.0,17.0,19.0,18.0,64.0,60.0,53.0,56.0,55.0,54.0,28.0,42.0,53.0,21.0,18.0,60.0,19.0,14.0,4.0,8.0,3.0,3.0,4.0,1.0,6.0,2.0,5.0,0.0,2.0,4.0,3.0,2.0,3.0,3.0,9.0,4.0,2.0,1.0,6.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,19.0,11.0,5.0,2.0,93,78.0,30.0,76.0,47.0,83,66.0,42.0,50.0,39.0,41.0,53.0,22.0,11.0,25.0,28.0,21.0,5.0,2,47.0,12.0,12.0,29.0,17.0,7.0,16.0,1.0,1.0,4.0,1,3,2.0,2,2.0,0.0,0.0,1.0,0.0,1.0,1,1,1,,,,,,,26.0,9.0,14.0,6.0,15.0,40.0,4.0,52.0,4.0,94.0,5.0,2.0,47.0,7.0,45.0,,,,4.0,11.0,10.0,8.0,7.0,5.0,4.0,89.0,11.0,16.0,4.0,12.0,11.0,9.0,8.0,6.0,5.0,3.0,1.0,1.0,,,2.0,36.0,7.0,57.0,,,,0.0,2.0,1.0,1.0,1.0,1.0,1.0
12,WP19090,422400,93.0,63.0,81.0,78.0,75.0,53.0,82.0,3.0,1.0,1.0,1.0,1.0,0.0,6.0,55.0,35.0,15.0,3.0,19.0,99,1,21.0,33.0,28.0,16.0,97,71,31.0,94.0,24.0,15.0,24.0,17.0,7.0,12.0,10.0,70.0,64.0,59.0,57.0,61.0,59.0,18.0,48.0,58.0,18.0,12.0,65.0,14.0,5.0,5.0,7.0,3.0,2.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,3.0,0.0,0.0,9.0,4.0,,2.0,3.0,4.0,5.0,3.0,0.0,14.0,6.0,2.0,0.0,94,80.0,27.0,85.0,67.0,85,75.0,45.0,61.0,48.0,59.0,57.0,41.0,18.0,33.0,54.0,40.0,10.0,3,51.0,9.0,18.0,22.0,18.0,4.0,15.0,2.0,5.0,3.0,1,2,5.0,1,4.0,1.0,0.0,,0.0,1.0,0,0,0,,,,,,,33.0,7.0,19.0,8.0,10.0,19.0,13.0,,1.0,,1.0,1.0,39.0,16.0,46.0,,,,5.0,5.0,5.0,3.0,2.0,2.0,2.0,,20.0,12.0,5.0,7.0,7.0,6.0,4.0,4.0,3.0,,0.0,,,,3.0,27.0,17.0,,,,,1.0,,,,,,
13,WP19090,300006,76.0,42.0,72.0,67.0,62.0,32.0,70.0,6.0,3.0,3.0,3.0,2.0,2.0,14.0,46.0,34.0,17.0,7.0,10.0,98,4,21.0,39.0,22.0,11.0,93,78,32.0,90.0,12.0,16.0,45.0,34.0,22.0,25.0,22.0,62.0,57.0,50.0,50.0,52.0,48.0,27.0,34.0,48.0,18.0,17.0,57.0,15.0,10.0,3.0,9.0,2.0,2.0,3.0,1.0,8.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,8.0,4.0,0.0,0.0,6.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,15.0,7.0,3.0,2.0,93,77.0,26.0,70.0,42.0,80,63.0,47.0,49.0,39.0,41.0,51.0,23.0,13.0,21.0,27.0,19.0,6.0,2,45.0,15.0,14.0,27.0,17.0,8.0,16.0,2.0,1.0,5.0,2,3,4.0,2,4.0,0.0,0.0,1.0,1.0,1.0,1,1,1,,,,,,,23.0,9.0,14.0,4.0,39.0,38.0,2.0,49.0,11.0,80.0,16.0,4.0,86.0,1.0,13.0,,,,6.0,34.0,30.0,27.0,24.0,19.0,14.0,82.0,18.0,43.0,6.0,37.0,34.0,31.0,28.0,23.0,17.0,5.0,4.0,7.0,5.0,,7.0,83.0,3.0,15.0,,,,1.0,6.0,6.0,6.0,5.0,4.0,2.0
14,WP19090,300010,89.0,74.0,85.0,83.0,79.0,64.0,85.0,11.0,6.0,5.0,5.0,5.0,4.0,11.0,44.0,42.0,24.0,15.0,21.0,99,1,16.0,37.0,29.0,15.0,95,87,51.0,91.0,10.0,16.0,36.0,28.0,16.0,18.0,19.0,76.0,71.0,66.0,65.0,66.0,64.0,31.0,50.0,64.0,26.0,23.0,71.0,30.0,19.0,9.0,15.0,5.0,8.0,7.0,2.0,8.0,5.0,10.0,1.0,5.0,8.0,7.0,4.0,6.0,6.0,17.0,7.0,2.0,1.0,10.0,2.0,8.0,2.0,3.0,5.0,4.0,2.0,1.0,30.0,18.0,9.0,4.0,95,85.0,36.0,83.0,57.0,90,79.0,55.0,65.0,50.0,54.0,64.0,40.0,21.0,37.0,46.0,36.0,7.0,3,44.0,15.0,24.0,17.0,23.0,8.0,20.0,3.0,4.0,5.0,1,3,4.0,2,4.0,1.0,0.0,1.0,0.0,1.0,1,1,0,,,,,,,38.0,13.0,19.0,7.0,12.0,50.0,4.0,40.0,6.0,87.0,9.0,4.0,48.0,16.0,36.0,,,,3.0,9.0,8.0,6.0,6.0,4.0,3.0,88.0,12.0,13.0,3.0,10.0,9.0,8.0,6.0,5.0,4.0,2.0,1.0,1.0,1.0,,2.0,37.0,24.0,39.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0
15,WP19090,332915,98.0,96.0,95.0,95.0,94.0,86.0,96.0,57.0,39.0,34.0,33.0,26.0,27.0,39.0,8.0,53.0,79.0,60.0,52.0,100,1,7.0,28.0,32.0,32.0,97,88,59.0,97.0,17.0,28.0,52.0,44.0,31.0,33.0,29.0,89.0,85.0,83.0,80.0,84.0,77.0,48.0,67.0,79.0,54.0,64.0,86.0,53.0,36.0,19.0,34.0,14.0,23.0,21.0,5.0,23.0,15.0,20.0,3.0,15.0,13.0,25.0,20.0,23.0,22.0,32.0,10.0,4.0,3.0,11.0,1.0,8.0,2.0,4.0,6.0,4.0,2.0,2.0,53.0,38.0,26.0,17.0,97,96.0,51.0,95.0,86.0,96,92.0,79.0,85.0,75.0,76.0,80.0,74.0,46.0,55.0,74.0,62.0,10.0,1,11.0,44.0,36.0,9.0,25.0,8.0,23.0,2.0,4.0,4.0,0,4,3.0,1,3.0,0.0,0.0,1.0,,1.0,1,1,1,,,,,,,51.0,37.0,41.0,19.0,22.0,68.0,5.0,18.0,9.0,69.0,19.0,12.0,38.0,57.0,5.0,,,,5.0,17.0,16.0,14.0,13.0,10.0,8.0,81.0,19.0,24.0,5.0,19.0,18.0,16.0,14.0,11.0,9.0,3.0,2.0,4.0,2.0,,4.0,,38.0,9.0,,,,1.0,,,,,,
16,WP19097,399907,79.0,85.0,93.0,91.0,88.0,54.0,92.0,29.0,18.0,16.0,15.0,11.0,10.0,9.0,27.0,62.0,55.0,37.0,40.0,99,1,11.0,35.0,30.0,22.0,96,94,45.0,96.0,17.0,20.0,49.0,39.0,26.0,28.0,28.0,81.0,75.0,71.0,66.0,70.0,59.0,42.0,51.0,68.0,35.0,35.0,74.0,31.0,17.0,9.0,16.0,6.0,9.0,9.0,4.0,10.0,7.0,10.0,3.0,8.0,7.0,8.0,7.0,8.0,8.0,17.0,10.0,2.0,1.0,15.0,3.0,11.0,6.0,6.0,7.0,6.0,3.0,2.0,31.0,19.0,10.0,6.0,98,92.0,42.0,92.0,70.0,95,90.0,78.0,83.0,73.0,74.0,80.0,60.0,41.0,45.0,67.0,54.0,10.0,3,35.0,18.0,40.0,7.0,30.0,10.0,27.0,4.0,6.0,6.0,2,4,6.0,2,5.0,1.0,0.0,2.0,1.0,1.0,2,1,1,10.0,8.0,9.0,39.0,26.0,64.0,39.0,30.0,33.0,16.0,25.0,51.0,4.0,36.0,8.0,82.0,13.0,4.0,73.0,8.0,20.0,,,,7.0,18.0,17.0,14.0,12.0,9.0,6.0,85.0,15.0,32.0,6.0,26.0,24.0,22.0,19.0,15.0,11.0,2.0,2.0,5.0,3.0,,14.0,76.0,4.0,20.0,,,,3.0,12.0,11.0,9.0,8.0,6.0,4.0
17,WP19097,307500,68.0,92.0,96.0,94.0,91.0,40.0,95.0,26.0,15.0,13.0,12.0,10.0,8.0,8.0,19.0,72.0,63.0,38.0,40.0,99,0,12.0,38.0,28.0,21.0,95,95,33.0,97.0,7.0,12.0,39.0,29.0,18.0,19.0,19.0,78.0,69.0,65.0,55.0,62.0,45.0,34.0,36.0,63.0,27.0,25.0,67.0,25.0,11.0,4.0,9.0,6.0,8.0,7.0,6.0,4.0,7.0,6.0,4.0,7.0,5.0,6.0,4.0,4.0,5.0,12.0,9.0,0.0,0.0,14.0,3.0,11.0,6.0,6.0,6.0,6.0,3.0,1.0,25.0,13.0,7.0,4.0,99,95.0,34.0,91.0,69.0,97,93.0,90.0,89.0,74.0,76.0,85.0,61.0,43.0,43.0,67.0,54.0,12.0,2,29.0,20.0,46.0,5.0,32.0,8.0,31.0,4.0,3.0,3.0,2,4,7.0,2,7.0,1.0,0.0,1.0,1.0,1.0,1,1,0,,,,,,,37.0,33.0,36.0,18.0,20.0,72.0,3.0,21.0,4.0,81.0,15.0,4.0,98.0,1.0,1.0,,,,7.0,12.0,10.0,8.0,6.0,4.0,2.0,88.0,12.0,35.0,6.0,30.0,26.0,22.0,18.0,14.0,10.0,,0.0,1.0,0.0,,22.0,97.0,0.0,3.0,,,,2.0,20.0,18.0,15.0,13.0,10.0,7.0
18,WP19097,800036,84.0,,98.0,97.0,96.0,61.0,98.0,55.0,33.0,28.0,27.0,20.0,16.0,8.0,,,,,,100,0,6.0,,,23.0,94,98,62.0,98.0,35.0,,,,,,,,73.0,,,,,,,,,,,34.0,15.0,11.0,10.0,8.0,5.0,11.0,1.0,5.0,8.0,,3.0,11.0,8.0,5.0,5.0,9.0,7.0,,,0.0,0.0,16.0,3.0,,,,,,4.0,1.0,34.0,20.0,3.0,2.0,100,96.0,,98.0,,99,96.0,91.0,95.0,,,90.0,,,,,,4.0,2,,9.0,,1.0,,11.0,,1.0,11.0,2.0,0,9,5.0,1,5.0,,0.0,,0.0,1.0,0,0,0,,,,,,,,,,,23.0,,15.0,,,,,,,0.0,,,,,,,,,,7.0,5.0,,,,11.0,,,,,8.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
19,WP19097,350000,82.0,91.0,99.0,96.0,91.0,61.0,97.0,18.0,11.0,11.0,8.0,4.0,6.0,1.0,37.0,61.0,43.0,24.0,37.0,100,0,6.0,42.0,36.0,15.0,96,100,64.0,100.0,4.0,15.0,41.0,31.0,20.0,24.0,19.0,79.0,70.0,65.0,62.0,66.0,48.0,42.0,37.0,65.0,30.0,30.0,69.0,22.0,11.0,3.0,13.0,3.0,3.0,6.0,2.0,6.0,2.0,7.0,1.0,6.0,7.0,4.0,1.0,3.0,4.0,,4.0,0.0,0.0,17.0,2.0,,7.0,6.0,7.0,6.0,2.0,1.0,22.0,9.0,4.0,2.0,100,95.0,40.0,92.0,59.0,98,93.0,83.0,82.0,72.0,74.0,80.0,51.0,26.0,40.0,65.0,46.0,14.0,5,57.0,7.0,35.0,1.0,34.0,11.0,31.0,9.0,4.0,9.0,4,2,8.0,5,7.0,,0.0,,,,1,1,0,,,,,,,25.0,21.0,30.0,11.0,6.0,29.0,2.0,,1.0,,2.0,0.0,,0.0,,,,,,,,,,,,,9.0,9.0,3.0,6.0,6.0,5.0,4.0,4.0,3.0,0.0,,0.0,0.0,,3.0,31.0,4.0,,,,,0.0,,,,2.0,1.0,0.0
20,WP19097,354200,80.0,84.0,94.0,91.0,88.0,49.0,92.0,31.0,20.0,17.0,16.0,11.0,11.0,10.0,22.0,66.0,60.0,39.0,39.0,99,2,11.0,36.0,30.0,20.0,94,93,40.0,95.0,27.0,26.0,60.0,52.0,39.0,42.0,36.0,79.0,74.0,71.0,66.0,70.0,52.0,43.0,50.0,64.0,38.0,41.0,74.0,32.0,18.0,8.0,18.0,5.0,8.0,8.0,3.0,16.0,5.0,10.0,3.0,9.0,6.0,5.0,6.0,10.0,6.0,18.0,10.0,1.0,1.0,15.0,2.0,12.0,6.0,8.0,7.0,6.0,3.0,2.0,32.0,18.0,10.0,5.0,98,92.0,44.0,90.0,68.0,94,91.0,83.0,83.0,75.0,75.0,82.0,61.0,44.0,44.0,66.0,54.0,10.0,3,31.0,23.0,39.0,7.0,32.0,12.0,29.0,4.0,6.0,8.0,2,4,7.0,3,7.0,1.0,0.0,2.0,1.0,1.0,2,2,2,,,,,,,37.0,32.0,33.0,15.0,53.0,49.0,3.0,40.0,9.0,84.0,13.0,3.0,97.0,1.0,2.0,,,,11.0,42.0,38.0,32.0,27.0,19.0,14.0,89.0,11.0,62.0,10.0,53.0,49.0,44.0,38.0,29.0,21.0,3.0,5.0,9.0,7.0,,26.0,97.0,1.0,2.0,,,,6.0,20.0,19.0,16.0,14.0,10.0,6.0
21,WP19097,383100,67.0,71.0,89.0,85.0,84.0,35.0,86.0,19.0,14.0,12.0,11.0,9.0,8.0,5.0,35.0,60.0,45.0,28.0,31.0,100,0,13.0,42.0,25.0,19.0,97,98,38.0,98.0,13.0,25.0,33.0,21.0,11.0,16.0,19.0,81.0,72.0,65.0,62.0,58.0,59.0,41.0,42.0,68.0,33.0,34.0,67.0,17.0,7.0,3.0,8.0,3.0,5.0,7.0,2.0,2.0,4.0,7.0,5.0,5.0,5.0,4.0,3.0,4.0,2.0,10.0,7.0,0.0,0.0,10.0,2.0,7.0,4.0,4.0,6.0,4.0,3.0,1.0,17.0,11.0,5.0,3.0,99,91.0,33.0,93.0,59.0,97,93.0,82.0,82.0,77.0,76.0,82.0,47.0,30.0,35.0,57.0,46.0,8.0,3,44.0,14.0,36.0,6.0,25.0,9.0,24.0,2.0,1.0,7.0,1,2,4.0,2,4.0,0.0,0.0,2.0,0.0,1.0,1,1,0,,,,,,,30.0,25.0,31.0,11.0,17.0,62.0,1.0,28.0,8.0,,15.0,6.0,27.0,3.0,70.0,,,,8.0,9.0,8.0,7.0,6.0,4.0,2.0,81.0,19.0,37.0,8.0,30.0,29.0,29.0,26.0,19.0,13.0,1.0,1.0,,1.0,,29.0,26.0,5.0,69.0,,,,4.0,25.0,25.0,24.0,21.0,16.0,10.0
22,WP19097,389100,51.0,55.0,85.0,82.0,72.0,17.0,83.0,6.0,4.0,3.0,3.0,3.0,3.0,6.0,54.0,33.0,14.0,5.0,16.0,100,2,16.0,26.0,38.0,18.0,94,92,15.0,89.0,35.0,15.0,69.0,57.0,41.0,50.0,46.0,79.0,76.0,69.0,61.0,67.0,74.0,31.0,47.0,69.0,26.0,31.0,73.0,19.0,17.0,7.0,8.0,8.0,6.0,7.0,4.0,,,,3.0,,,3.0,4.0,6.0,6.0,,,4.0,,12.0,,,5.0,2.0,4.0,4.0,2.0,2.0,19.0,14.0,8.0,5.0,98,85.0,40.0,89.0,53.0,87,80.0,62.0,66.0,51.0,57.0,65.0,44.0,22.0,31.0,47.0,32.0,11.0,3,54.0,6.0,24.0,16.0,19.0,14.0,18.0,4.0,4.0,12.0,6,7,6.0,5,6.0,,,,,,6,6,4,,,,,,,35.0,16.0,18.0,,48.0,24.0,3.0,53.0,20.0,71.0,21.0,9.0,,0.0,68.0,,,,4.0,44.0,44.0,39.0,33.0,25.0,14.0,50.0,50.0,49.0,4.0,44.0,44.0,39.0,34.0,26.0,14.0,1.0,7.0,32.0,12.0,,4.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.0
23,WP19097,391600,99.0,99.0,98.0,97.0,97.0,89.0,98.0,71.0,52.0,45.0,46.0,38.0,33.0,31.0,6.0,63.0,89.0,80.0,71.0,99,1,3.0,26.0,26.0,43.0,98,94,63.0,97.0,27.0,28.0,68.0,55.0,43.0,36.0,45.0,93.0,90.0,88.0,85.0,89.0,77.0,60.0,77.0,84.0,63.0,68.0,91.0,60.0,40.0,25.0,37.0,14.0,28.0,26.0,6.0,25.0,21.0,21.0,3.0,21.0,17.0,29.0,27.0,25.0,27.0,37.0,13.0,4.0,3.0,15.0,3.0,10.0,6.0,6.0,7.0,7.0,3.0,2.0,60.0,46.0,31.0,18.0,98,97.0,61.0,96.0,89.0,97,95.0,82.0,93.0,90.0,89.0,91.0,85.0,72.0,72.0,92.0,83.0,7.0,2,6.0,41.0,50.0,3.0,29.0,9.0,26.0,6.0,5.0,7.0,1,4,4.0,1,4.0,1.0,0.0,1.0,0.0,0.0,1,1,1,,,,,,,65.0,55.0,47.0,26.0,24.0,62.0,10.0,19.0,10.0,74.0,15.0,11.0,21.0,62.0,17.0,,,,6.0,17.0,17.0,16.0,14.0,11.0,8.0,84.0,16.0,26.0,7.0,19.0,18.0,17.0,15.0,12.0,9.0,1.0,1.0,,,,6.0,14.0,,23.0,,,,3.0,3.0,2.0,1.0,1.0,1.0,1.0
24,WP19097,396300,100.0,100.0,97.0,97.0,97.0,91.0,97.0,,,30.0,27.0,17.0,24.0,10.0,3.0,87.0,92.0,82.0,71.0,100,2,3.0,,21.0,,97,94,57.0,96.0,,28.0,,,,,,91.0,83.0,87.0,76.0,78.0,,,68.0,78.0,,66.0,83.0,,20.0,15.0,18.0,7.0,26.0,27.0,3.0,12.0,11.0,,1.0,,10.0,,,,,,,9.0,,,1.0,,4.0,,,,4.0,1.0,,,19.0,11.0,100,100.0,,100.0,96.0,100,97.0,90.0,97.0,98.0,97.0,96.0,92.0,87.0,,100.0,91.0,9.0,0,11.0,21.0,,1.0,,9.0,,2.0,18.0,4.0,0,6,7.0,5,,0.0,2.0,,0.0,,1,0,1,,,,,,,,,,,29.0,,,,5.0,,4.0,1.0,5.0,,,,,,,,,,,,,,,32.0,9.0,23.0,23.0,19.0,18.0,13.0,12.0,0.0,,,,,7.0,0.0,,,,,,,,,,,,
25,WP19097,402000,99.0,100.0,99.0,99.0,99.0,93.0,99.0,,,,21.0,14.0,5.0,0.0,,,,,,100,0,7.0,,,,98,100,85.0,100.0,,,,,,,,,91.0,,,89.0,,,,83.0,,,90.0,,,8.0,,4.0,13.0,14.0,1.0,,,,1.0,,6.0,8.0,3.0,,,,14.0,2.0,,,,,,,,,,0.0,,,12.0,4.0,100,,,100.0,,100,99.0,,93.0,,,94.0,,,,,,10.0,5,,2.0,,4.0,,9.0,18.0,1.0,,3.0,0,7,5.0,1,,,2.0,,0.0,0.0,1,1,1,,,,,,,,,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,1.0,0.0,0.0,,,,,,,,,,,
26,WP19097,403300,97.0,98.0,96.0,95.0,95.0,83.0,96.0,45.0,29.0,27.0,22.0,17.0,17.0,11.0,9.0,79.0,76.0,58.0,57.0,99,0,5.0,30.0,32.0,31.0,96,94,63.0,98.0,11.0,22.0,48.0,40.0,24.0,26.0,27.0,91.0,86.0,85.0,77.0,83.0,76.0,60.0,69.0,79.0,52.0,47.0,85.0,48.0,32.0,20.0,29.0,12.0,20.0,15.0,5.0,12.0,17.0,19.0,3.0,11.0,14.0,21.0,15.0,17.0,18.0,29.0,18.0,2.0,,20.0,3.0,14.0,6.0,10.0,11.0,9.0,4.0,2.0,48.0,35.0,22.0,13.0,98,94.0,52.0,96.0,84.0,97,91.0,78.0,87.0,85.0,83.0,85.0,80.0,56.0,58.0,83.0,71.0,11.0,1,15.0,20.0,60.0,5.0,33.0,12.0,26.0,4.0,12.0,7.0,2,5,6.0,3,6.0,1.0,0.0,1.0,1.0,1.0,2,2,1,,,,,,,53.0,42.0,43.0,24.0,14.0,63.0,9.0,24.0,5.0,80.0,13.0,7.0,48.0,30.0,22.0,,,,4.0,10.0,8.0,6.0,5.0,4.0,3.0,91.0,9.0,17.0,4.0,13.0,11.0,8.0,7.0,6.0,4.0,2.0,0.0,1.0,0.0,,7.0,52.0,15.0,33.0,,,,2.0,5.0,4.0,3.0,2.0,2.0,1.0
