ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,Telewerkers_3,TelewerkKomtVoor_4,ICTPersAangenomenWillenAannemen_5,ICTVacaturesLastigTeVullen_6,ICTSpecialistenInLoondienst_7,AandeelICTSpecialisten_8,ICTSpecOntwEnOnderhoudSoftware_9,InternetVast_10,MinderDan2MbitS_11,k_2Tot10MbitS_12,k_10Tot30MbitS_13,k_30Tot100MbitS_14,k_100MbitSOfMeer_15,VoiceOfVideoAppsGebruikt_16,MobielInternetVerstrekt_17,PersoneelDatWerktMetMobielInternet_18,BedrijvenMetWebsite_19,BeschrijvingenVanProductenPrijslijst_20,OnlineBestellenBoekenOfReserveren_21,ProductaanpassingDoorKlant_22,BestellingOnlineVolgen_23,KlantspecifiekeInfoVoorDeBezoeker_24,VerwijzingNaarSocialeMedia_25,GegevensBezoekersOpWebsiteGebruikt_26,SocialeMediaGebruikt_27,SocialeNetwerkenBijvFacebook_28,BlogsOfMicroblogsBijvTwitter_29,MultimediaDelenBijvYouTube_30,WikiSOmKennisTeDelen_31,MarketingProductenBedrijfsimago_32,MeningenKlantReagerenOpVragen_33,BetrekkingKlantBijProductontwikkeling_34,SamenwerkenMetZakenrelaties_35,WervenVanPersoneel_36,KennisUitwisselingBinnenHetBedrijf_37,ERPSoftware_38,OpslagKlantgegevens_39,AnalyseKlantgegevens_40,NietGedigitaliseerd_41,NauwelijksGedigitaliseerd_42,GemiddeldGedigitaliseerd_43,VeelGedigitaliseerd_44,BijnaVolledigGedigitaliseerd_45,AntiVirussoftware_46,BeleidVoorSterkeWachtwoorden_47,UpdatenSoftwareBesturingssysteem_48,AuthenticatieViaSoftOfHardwaretoken_49,EncryptieVanData_50,GegevensOpAndereFysiekeLocatie_51,NetworkAccessControl_52,VPNInternetgebruikBuitenHetBedrijf_53,LogbestandenVoorAnalyseIncidenten_54,MethodesVoorBeoordelenICTVeiligheid_55,Risicoanalyses_56,VrijwilligeTraining_57,VerplichteTraining_58,MetContract_59,ExterneLeverancier_60,EigenPersoneel_61,EigenPersoneelEnExterneLeverancier_62,ICTVeiligheidsdocumentenAanwezig_63,BeheerToegangsrechten_64,OmgangData_65,PreventieVanVeiligheidsincidenten_66,RegelsVoorPersoneel_67,OpleidenPersoneel_68,MinderDan12MaandenGeleden_69,TussenDe12En24MaandenGeleden_70,MeerDan24MaandenGeleden_71,IncidentDoorInterneOorzaak_72,IncidentDoorAanvalVanBuiten_73,UitvalICTDienstDoorVeiligheidsinc_74,VernietigingDataDoorVeiligheidsinc_75,OnthullingDoorInternIncident_76,UitvalICTDienstDoorAanvalBuitenaf_77,VernietigingDataAanvalVanBuitenaf_78,OnthullingGegevensDoorICTInbraak_79,KostenIncidentAanvalBuitenaf_80,KostenIncidentIntern_81,UitvalICTDienstDoorVeiligheidsinc_82,VernietigingDataDoorVeiligheidsinc_83,OnthullingDoorInternIncident_84,UitvalICTDienstDoorAanvalBuitenaf_85,VernietigingDataAanvalBuitenaf_86,OnthullingDoorICTInbraak_87,VerzekeringICTVeiligheidsincidenten_88,GezochtNaarMeldingenCyberdreigingen_89,BekendMetDTC_90,DTCWebsiteAlsBronGebruikt_91,AndereBedrijven_92,Overheid_93,Consumenten_94,EFactuur_95,ElektronischMaarGeenEFactuur_96,PapierenVorm_97,EFactuur_98,AndersElektronischOfPapier_99,EFacturenVerzonden_100,EFacturenOntvangen_101,VerkoopViaECommerce_102,ViaWebsiteOfAppsVanEigenBedrijf_103,PercentageOmzetViaOnlinePlatforms_104,Verkoopwaarde1VanDeTotaleOmzet_105,Verkoopwaarde1VanDeTotaleOmzet_106,Verkoopwaarde2VanDeTotaleOmzet_107,Verkoopwaarde5VanDeTotaleOmzet_108,Verkoopwaarde10VanDeTotaleOmzet_109,Verkoopwaarde25VanDeTotaleOmzet_110,Verkoopwaarde50VanDeTotaleOmzet_111,VerkoopViaWebsiteOfApp_112,Verkoopwaarde1VanDeTotaleOmzet_113,Verkoopwaarde1VanDeTotaleOmzet_114,Verkoopwaarde2VanDeTotaleOmzet_115,Verkoopwaarde5VanDeTotaleOmzet_116,Verkoopwaarde10VanDeTotaleOmzet_117,Verkoopwaarde25VanDeTotaleOmzet_118,Verkoopwaarde50VanDeTotaleOmzet_119,NederlandseConsumenten_120,BuitenlandseConsumenten_121,Bedrijven_122,Overheden_123,KlantenInNederland_124,KlantenInAndereEULanden_125,KlantenInLandenBuitenDeEU_126,HogeKostenBezorgenRetournerenEU_127,ProbleemOplossenKlachtenEnGeschillen_128,LabelsEtikettenAanpassen_129,OnvoldoendeKennisVanAndereTalen_130,BeperkingenOpgelegdDoorZakenpartners_131,LageKosten_132,Gemak_133,GrotereMarkt_134,BereikenInternationaleMarkt_135,MartkaandeelBehoudenVergroten_136,PlatformDomineertDeMarkt_137,FeedbackReviewsRatings_138,Anders_139,NegatiefOmzetDaalt_140,NeutraalOmzetBlijftGelijk_141,PositiefOmzetStijgt_142,NietBekendMetPlatformsBinnenBranche_143,NegatiefOmzetDaalt_144,NeutraalOmzetBlijftGelijk_145,PositiefOmzetStijgt_146,NietBekendMetPlatformsBinnenBranche_147,VerkoopViaEDI_148,Verkoopwaarde1VanDeTotaleOmzet_149,Verkoopwaarde1VanDeTotaleOmzet_150,Verkoopwaarde2VanDeTotaleOmzet_151,Verkoopwaarde5VanDeTotaleOmzet_152,Verkoopwaarde10VanDeTotaleOmzet_153,Verkoopwaarde25VanDeTotaleOmzet_154,Verkoopwaarde50VanDeTotaleOmzet_155,KlantenInNederland_156,KlantenInAndereEULanden_157,KlantenInLandenBuitenDeEU_158,InkoopViaECommerce_159,Inkoopwaarde1VanDeTotaleInkoop_160,Inkoopwaarde1VanDeTotaleInkoop_161,Inkoopwaarde2VanDeTotaleInkoop_162,Inkoopwaarde5VanDeTotaleInkoop_163,Inkoopwaarde10VanDeTotaleInkoop_164,Inkoopwaarde25VanDeTotaleInkoop_165,Inkoopwaarde50VanDeTotaleInkoop_166,InkoopViaWebsiteOfApp_167,Inkoopwaarde1VanDeTotaleInkoop_168,Inkoopwaarde1VanDeTotaleInkoop_169,Inkoopwaarde2VanDeTotaleInkoop_170,Inkoopwaarde5VanDeTotaleInkoop_171,Inkoopwaarde10VanDeTotaleInkoop_172,Inkoopwaarde25VanDeTotaleInkoop_173,Inkoopwaarde50VanDeTotaleInkoop_174,AanbiedersInNederland_175,AanbiedersInAndereEULanden_176,AanbiedersInLandenBuitenDeEU_177,InkoopViaEDI_178,Inkoopwaarde1VanDeTotaleInkoop_179,Inkoopwaarde1VanDeTotaleInkoop_180,Inkoopwaarde2VanDeTotaleInkoop_181,Inkoopwaarde5VanDeTotaleInkoop_182,Inkoopwaarde10VanDeTotaleInkoop_183,Inkoopwaarde25VanDeTotaleInkoop_184,Inkoopwaarde50VanDeTotaleInkoop_185,AanbiedersInNederland_186,AanbiedersInAndereEULanden_187,AanbiedersInAndereLandenBuitenEU_188
10,403300,95,94,51,94,15,11,35,4,2,97,0,4,9,35,49,64,72,48,96,82,16,4,3,22,67,28,82,81,37,36,9,82,30,30,45,86,39,46,70,30,3,4,29,36,27,97,84,96,63,59,94,59,73,74,59,60,53,22,58,41,20,39,59,57,57,47,44,33,46,10,3,51,10,48,7,9,6,4,2,4,22,21,3,1,3,1,1,37,18,15,7,96,50,46,14,69,18,18,82,27,49,13,84,16,5,9,8,6,6,4,3,11,2,7,7,5,5,3,2,27,5,59,9,81,14,5,1,0,0,0,0,57,70,80,52,74,43,44,13,0,4,4,2,2,36,13,49,4,1,3,2,2,1,1,1,88,7,4,75,24,51,41,29,21,14,10,74,25,50,40,29,21,13,9,68,4,2,3,1,3,3,2,2,1,0,89,7,5
11,410200,76,75,41,79,9,6,18,2,2,95,0,10,16,40,29,49,62,42,86,74,24,7,6,24,56,26,71,70,22,25,3,81,40,28,43,90,28,33,53,22,9,13,35,26,17,95,77,90,53,47,83,51,50,59,52,50,32,16,42,48,27,26,39,37,37,31,28,21,31,7,1,39,9,38,4,4,7,3,2,5,14,13,2,1,3,2,1,23,11,11,4,95,41,42,15,72,13,19,81,25,47,15,89,11,3,12,11,9,7,5,4,14,2,10,10,8,6,5,3,31,5,59,5,91,7,2,1,0,0,0,0,62,64,91,39,73,46,42,23,1,5,5,3,3,35,14,48,2,1,2,1,1,1,0,0,96,3,0,64,25,38,33,24,19,12,10,63,26,38,32,24,18,12,9,60,2,1,2,1,1,1,1,1,1,0,96,3,1
12,422400,89,84,37,86,11,7,26,1,0,99,0,7,12,47,34,38,57,31,98,90,29,5,2,44,59,19,75,72,25,25,4,72,39,25,27,84,28,29,47,7,5,8,32,30,25,98,83,96,63,71,91,53,61,70,51,57,49,22,51,47,16,37,60,58,57,43,44,34,44,15,2,51,9,46,5,15,5,3,3,4,22,21,2,3,2,1,1,30,17,15,7,74,48,83,32,42,26,25,75,38,63,13,85,15,4,10,9,8,6,5,5,9,1,6,6,5,4,3,3,70,0,20,10,99,1,0,0,0,0,0,0,75,83,60,23,53,46,29,24,0,3,2,4,0,27,6,66,5,1,4,4,3,3,2,2,100,0,0,78,24,54,47,37,32,20,13,77,24,54,47,36,32,19,12,76,1,0,5,1,4,4,3,3,2,0,98,1,0
13,307610,58,51,19,72,7,5,18,2,1,98,0,12,20,36,30,41,51,20,92,75,47,17,8,15,45,11,68,67,11,23,5,84,48,36,34,76,17,46,35,20,12,21,42,21,5,93,61,85,40,36,70,41,50,54,43,36,22,16,29,36,34,30,33,31,27,23,24,19,21,5,6,38,11,37,7,2,5,7,2,4,16,14,2,0,1,3,0,14,12,8,2,94,27,39,28,46,26,26,74,50,56,56,89,11,16,40,36,32,30,26,21,37,12,22,17,12,11,10,6,40,0,57,3,96,3,1,1,1,1,1,0,35,58,49,8,44,27,13,11,1,18,8,10,2,37,15,46,25,3,22,22,22,20,15,14,87,13,1,65,28,36,34,24,21,18,13,65,29,36,33,23,20,18,13,62,3,0,4,1,3,3,3,2,2,2,94,5,1
14,312505,61,52,21,83,9,3,22,1,1,100,0,6,16,45,32,54,71,22,87,75,34,13,10,20,31,25,63,63,14,23,3,80,49,25,28,61,18,66,60,23,7,11,38,32,11,100,66,93,49,36,89,48,70,73,59,46,26,7,39,56,11,33,41,40,38,24,21,18,26,9,5,53,19,50,4,2,12,6,3,9,26,26,2,0,5,3,1,20,10,4,0,97,32,44,13,69,18,19,81,25,46,45,88,12,8,37,30,26,21,13,10,33,6,25,19,16,14,6,5,32,11,56,1,79,14,8,9,3,5,0,3,27,61,81,61,100,61,27,15,4,17,8,4,7,37,16,40,16,3,13,13,10,7,7,5,51,46,2,71,28,43,34,27,18,12,9,70,28,42,33,27,15,11,9,60,8,2,5,0,5,5,4,4,1,1,86,11,2
15,315810,60,51,15,81,6,4,26,1,1,100,0,11,17,39,34,37,72,16,95,82,32,13,9,17,52,15,68,66,22,20,4,82,30,30,39,60,24,58,62,31,8,9,45,28,10,100,76,99,45,41,93,57,68,65,59,54,29,13,38,47,18,36,44,43,43,38,31,20,34,8,2,40,8,39,5,1,6,3,2,6,18,18,2,1,5,3,1,28,10,9,3,98,37,47,15,67,17,20,80,25,43,28,95,5,4,25,20,17,12,5,2,23,3,18,13,10,6,2,1,18,2,79,2,95,5,0,3,1,0,0,0,62,89,92,23,82,14,8,0,4,7,6,6,14,33,12,41,11,2,10,9,8,5,3,1,86,13,1,76,33,43,30,24,19,15,9,76,35,41,29,23,18,13,7,72,3,1,5,1,3,3,3,2,2,1,91,8,0
16,900064,79,73,31,94,17,11,46,1,1,99,0,8,12,33,45,67,84,29,94,86,25,4,6,17,58,25,68,66,27,35,8,78,37,28,39,72,33,86,73,46,5,8,46,31,11,98,91,96,65,63,93,66,81,85,72,70,56,37,50,30,23,47,66,66,63,58,55,43,50,14,3,56,16,55,5,3,6,8,3,8,26,25,1,1,3,4,2,37,21,16,4,97,21,25,13,62,25,16,84,32,47,27,83,17,10,16,14,13,11,7,5,19,7,7,5,4,3,2,1,42,8,48,2,70,22,9,4,2,2,1,2,44,58,84,55,100,80,63,20,0,8,8,3,1,43,13,43,15,5,10,9,9,8,6,3,62,29,10,67,40,27,23,18,14,11,6,66,43,23,19,15,13,9,6,55,9,2,8,2,6,5,5,2,2,1,45,47,7
17,323705,60,53,17,85,5,3,26,1,0,98,0,13,11,43,30,46,77,19,96,83,19,5,3,12,46,25,63,59,15,28,3,81,16,12,29,72,22,72,66,35,2,8,52,28,11,100,80,98,49,47,90,52,73,73,59,60,34,17,43,51,16,32,40,40,38,35,35,23,30,8,2,47,13,46,10,2,9,7,1,7,24,23,4,1,6,3,0,21,11,14,7,99,31,30,12,71,17,20,80,23,46,27,97,3,9,18,16,13,10,6,1,14,6,7,6,6,4,1,0,40,5,53,2,83,11,6,1,1,1,1,1,45,100,100,100,90,55,55,45,0,5,6,4,2,39,10,48,16,4,12,11,8,7,4,1,63,35,2,68,40,28,16,10,6,5,5,67,40,27,15,9,6,4,4,62,5,0,4,2,2,2,2,1,1,1,55,45,0
18,328105,62,53,20,76,7,4,14,1,0,98,0,17,16,39,25,35,59,16,96,78,17,6,2,13,47,17,61,58,9,24,1,74,18,19,32,76,13,68,53,14,7,11,48,26,8,99,68,93,39,33,82,51,58,62,56,47,20,11,30,62,13,26,28,26,26,21,21,10,17,8,3,50,7,48,6,3,5,4,1,5,21,21,3,0,3,2,0,14,7,8,1,97,26,33,10,70,20,19,81,20,46,15,96,4,4,10,7,5,4,4,2,11,3,7,4,3,2,1,1,33,4,60,3,89,9,2,1,1,0,0,0,74,100,100,91,91,51,71,51,0,2,3,6,1,39,7,54,6,1,4,4,3,3,2,1,70,23,7,71,44,28,21,13,11,5,2,70,43,27,19,12,9,3,2,67,2,1,3,1,3,2,1,1,1,0,90,2,8
19,332910,81,75,36,88,15,12,35,3,1,100,0,8,17,38,37,62,68,32,96,87,16,6,6,18,60,29,69,67,19,35,8,85,32,27,40,80,26,81,72,39,1,7,41,31,19,99,75,98,47,47,94,57,73,76,59,54,37,17,45,32,27,41,54,54,51,43,44,33,38,12,4,56,14,52,9,7,12,3,3,6,24,23,3,1,5,2,1,26,15,12,6,98,38,30,9,78,13,13,87,20,39,19,94,6,5,14,13,12,10,4,3,15,5,9,8,7,6,1,0,26,13,59,2,59,28,13,2,0,1,2,0,29,50,100,53,80,43,50,31,1,5,4,5,3,31,13,53,6,0,6,6,6,5,4,3,52,28,19,77,34,43,36,26,23,16,12,76,35,41,34,24,20,12,8,61,10,5,5,0,5,5,5,4,4,3,64,19,16
20,336500,72,68,24,88,9,5,36,1,1,97,0,5,11,41,39,62,80,26,95,86,16,8,4,22,61,25,77,75,17,47,9,85,22,36,40,84,27,81,73,32,1,5,48,30,16,98,77,98,47,44,90,59,75,69,58,50,39,19,46,36,22,42,46,42,42,37,36,28,31,10,4,49,10,48,7,2,5,4,4,5,17,17,4,1,3,3,1,19,16,9,4,98,28,15,12,70,19,15,85,20,42,14,91,9,5,9,8,7,6,4,3,10,3,6,6,4,4,2,1,5,0,95,0,58,28,14,1,0,0,0,0,71,100,100,100,100,100,100,71,0,4,4,2,0,32,12,55,7,2,5,4,3,2,2,2,44,50,6,79,49,30,23,16,11,7,6,78,49,29,22,14,10,5,5,69,7,2,5,3,2,2,2,2,1,1,52,45,3
21,339205,62,58,19,77,11,6,25,2,1,94,0,7,16,38,34,56,62,23,90,87,25,6,4,19,59,22,70,67,15,33,5,79,30,25,32,78,18,65,59,22,5,15,50,21,8,96,68,94,41,40,86,51,62,66,48,48,33,14,43,47,23,31,39,36,36,32,30,22,33,5,1,46,13,44,7,2,9,6,5,10,24,21,4,2,5,3,2,19,13,15,5,94,36,42,11,66,22,21,79,21,43,22,88,12,5,17,12,11,10,6,3,19,5,14,9,8,8,4,3,31,7,60,2,67,25,8,4,2,0,0,0,36,66,100,62,70,36,6,6,0,5,8,6,1,26,14,59,4,0,4,4,4,3,1,1,52,47,2,65,31,34,30,21,13,7,4,63,31,32,27,20,12,5,3,54,7,2,5,1,4,4,2,2,1,1,82,18,1
22,300023,49,47,20,78,9,4,26,1,0,95,0,12,17,35,31,43,67,18,94,84,22,7,8,17,60,17,74,72,21,30,4,81,33,27,36,77,26,57,58,20,3,15,46,26,10,99,78,95,55,46,89,50,62,65,50,48,36,13,39,52,20,27,40,39,39,30,30,23,33,7,0,39,12,37,3,3,9,5,2,6,18,18,2,0,5,3,1,20,9,12,2,98,47,51,15,64,21,20,80,28,49,21,84,16,6,15,13,9,6,3,2,19,4,13,11,8,5,3,1,24,6,66,4,77,18,5,3,1,1,0,1,66,81,68,65,81,57,62,19,1,8,4,5,4,40,9,47,3,1,3,2,2,1,0,0,86,10,3,76,22,54,46,36,31,22,11,76,23,53,44,34,29,20,11,67,7,2,6,2,4,4,4,4,2,0,88,6,6
23,900008,76,74,39,78,6,4,11,1,0,98,0,8,22,32,36,38,73,48,91,60,5,1,2,19,44,9,64,61,16,24,5,78,22,28,33,77,21,46,43,10,9,14,44,24,9,98,68,96,47,38,85,42,52,53,44,46,24,14,27,59,19,21,28,26,26,19,19,13,23,5,0,39,14,37,6,1,11,7,3,8,22,21,5,0,8,3,2,14,9,12,4,95,62,78,11,67,22,17,83,24,45,7,42,58,1,6,6,4,3,2,1,6,0,5,5,3,2,1,1,57,2,41,0,98,2,0,0,0,0,0,0,47,73,65,38,65,38,65,53,0,5,0,1,0,38,1,61,1,0,1,1,1,1,1,0,100,0,0,62,36,26,20,13,11,10,4,61,36,25,20,12,11,10,3,60,1,0,3,0,2,2,2,2,1,1,100,0,0
24,351900,74,71,36,77,3,1,10,1,0,98,0,13,16,43,26,42,74,46,94,81,16,4,1,19,53,10,68,66,14,18,0,81,24,22,40,74,27,43,43,11,8,14,47,23,8,97,69,94,48,42,91,54,57,60,55,47,24,14,27,64,16,21,34,32,32,26,24,17,25,6,2,44,14,43,7,2,9,6,3,6,22,21,5,1,4,4,1,16,8,11,4,98,62,80,14,63,22,25,75,23,51,11,81,19,4,7,6,5,4,3,2,10,3,7,5,4,3,2,2,38,0,58,4,100,0,0,1,1,0,0,0,81,100,46,18,63,55,26,0,1,5,2,2,3,35,6,56,2,1,1,1,1,1,1,1,100,0,0,73,26,47,42,36,31,24,19,72,27,44,39,33,27,21,15,69,2,1,8,0,8,8,8,8,7,4,99,1,0
25,354300,74,72,15,70,4,2,15,1,0,99,0,16,17,36,30,35,61,18,94,85,56,18,10,34,69,31,79,77,22,27,4,81,47,31,25,74,22,47,70,31,6,15,46,24,10,96,79,96,46,36,87,55,64,66,53,51,27,19,41,58,14,28,33,32,32,25,25,18,24,8,1,49,20,46,7,3,14,8,3,11,24,22,4,0,9,5,0,25,9,11,4,99,41,84,14,45,41,24,76,32,54,23,82,18,7,16,15,14,12,6,5,21,6,14,13,12,10,4,3,47,5,48,0,88,9,3,5,3,1,2,1,63,88,100,48,76,66,27,18,2,7,5,7,5,42,14,40,4,0,4,4,3,3,2,1,85,14,0,69,28,41,36,27,24,16,13,68,30,38,31,24,21,14,11,63,5,0,11,4,7,6,6,5,5,2,92,8,0
26,356900,79,73,30,88,13,8,31,4,2,98,0,7,14,35,42,56,79,31,94,86,44,6,16,28,62,28,74,72,22,35,5,86,43,29,38,75,27,69,68,37,5,9,44,27,15,98,80,97,51,47,93,65,68,75,57,54,39,19,46,41,22,36,46,44,44,38,39,28,31,14,1,47,13,45,6,3,9,6,2,6,19,18,3,1,4,3,1,26,14,15,5,97,39,37,17,64,19,19,81,36,42,44,88,12,9,36,33,29,25,20,13,35,6,27,23,20,16,12,7,20,6,71,3,79,17,4,7,2,4,2,2,51,75,87,57,78,54,36,21,2,14,13,7,3,38,21,37,19,4,15,14,13,10,8,4,77,21,3,63,30,34,28,22,18,13,9,61,32,29,23,18,14,9,6,53,7,2,8,1,7,7,7,6,5,3,76,14,10
27,371600,49,43,10,71,11,8,22,1,1,98,0,12,17,43,25,43,45,8,88,77,70,12,36,40,63,41,79,79,27,33,4,88,68,35,32,77,27,36,50,30,11,11,34,28,17,96,74,94,54,49,84,51,52,62,51,49,35,16,40,43,26,31,41,38,39,32,32,25,31,8,2,41,12,40,4,4,11,2,1,7,18,18,2,1,6,2,1,32,12,11,4,84,25,74,14,59,27,25,75,22,56,62,89,11,15,47,42,36,32,28,24,59,8,45,39,33,30,24,21,73,10,16,1,86,12,1,18,7,7,5,5,32,57,96,54,81,61,28,12,8,19,21,11,15,37,27,21,9,4,5,5,4,3,3,2,88,12,0,68,25,43,39,34,31,26,21,65,29,37,32,27,23,19,15,56,7,2,16,3,13,13,12,11,10,6,80,19,0
28,389200,51,46,7,60,4,0,15,0,0,96,0,11,16,40,29,33,37,8,93,91,82,19,21,37,77,38,88,88,36,42,6,89,78,49,34,90,37,33,55,37,13,11,38,24,14,95,70,90,45,44,87,51,53,48,51,50,26,11,31,41,24,35,41,38,38,31,30,24,32,5,4,37,14,35,5,1,11,9,1,8,14,14,1,0,7,2,0,22,13,10,3,88,66,91,11,61,28,22,78,17,52,61,49,51,5,56,55,51,41,35,20,61,3,56,55,50,41,35,19,52,25,19,4,64,28,8,0,0,0,1,0,27,73,93,86,92,80,57,15,2,26,33,0,3,44,42,11,4,1,2,2,1,1,1,0,60,35,5,77,12,65,53,44,40,29,20,77,12,65,51,44,39,28,20,74,2,0,4,0,4,2,2,2,0,0,95,5,0
29,390500,36,32,8,43,0,0,2,0,0,95,0,15,27,38,15,23,21,5,89,80,55,2,5,21,55,10,78,78,11,12,2,90,63,31,20,76,25,8,11,6,30,25,32,10,3,88,55,71,29,23,61,23,21,24,21,20,8,5,17,37,46,17,9,7,7,7,6,4,7,1,2,23,6,23,4,0,4,2,1,2,11,11,1,0,0,1,0,11,1,5,2,83,44,71,8,57,34,19,81,18,48,21,55,45,4,17,16,13,10,5,3,20,3,16,15,12,10,5,3,71,8,18,4,91,7,2,0,0,0,0,0,56,83,100,38,60,58,56,20,2,10,8,1,3,47,21,29,1,0,1,1,1,1,1,0,90,10,0,64,15,49,43,37,32,25,20,64,16,48,42,36,31,24,17,62,2,0,4,0,4,4,4,4,3,1,100,0,0
30,391705,94,89,44,91,15,10,52,5,3,96,0,3,2,26,65,68,72,43,95,80,55,11,18,35,81,51,90,87,61,66,16,90,61,40,47,74,34,49,62,48,4,2,28,41,25,95,88,97,56,60,94,67,74,82,65,67,53,25,46,22,36,42,57,57,56,49,44,34,39,16,2,51,21,48,7,6,17,6,4,12,24,21,5,1,8,6,1,40,27,19,8,95,48,57,12,67,22,21,79,22,49,45,79,21,12,33,31,29,24,14,9,45,9,33,30,29,24,13,8,57,10,30,3,81,13,6,3,1,2,1,0,67,81,94,56,88,73,58,12,6,13,19,6,8,32,34,26,4,1,3,2,2,2,1,1,88,11,0,74,28,45,35,28,22,16,8,74,28,45,35,28,22,16,8,64,7,3,2,1,1,1,1,1,1,1,97,2,0
31,394100,99,99,34,94,50,43,90,14,4,99,0,4,2,15,78,82,86,89,100,89,42,22,25,33,79,48,89,89,53,51,27,85,60,46,65,87,39,76,90,49,0,1,36,28,35,100,92,100,75,80,99,82,90,96,82,85,74,46,73,8,42,50,87,85,84,78,84,66,76,11,0,41,12,38,1,6,11,1,1,5,19,18,0,1,3,0,1,49,40,32,13,100,60,44,20,72,8,25,75,34,59,35,96,4,1,34,31,24,19,16,13,33,1,32,30,24,17,15,12,50,2,45,2,87,9,5,0,2,0,0,0,100,100,100,68,100,84,100,57,0,10,17,6,2,37,32,29,7,2,5,4,3,1,1,0,68,18,14,66,19,46,46,39,32,28,25,64,23,41,38,33,27,24,18,51,8,4,14,0,14,14,12,10,6,4,82,13,6
32,395005,97,97,67,97,59,48,80,29,9,99,0,3,4,32,60,84,78,56,95,86,23,8,7,24,76,47,93,90,57,48,29,92,38,38,54,92,51,59,78,45,2,3,20,36,39,96,91,96,75,82,94,68,81,84,66,73,67,34,70,9,48,43,74,73,73,62,70,54,61,11,2,41,13,37,5,7,9,3,2,5,16,15,2,3,4,2,1,53,28,25,10,96,54,25,17,77,7,18,82,29,51,18,86,14,5,13,12,10,10,8,7,15,3,11,10,9,8,7,6,14,12,68,6,74,14,12,1,1,1,1,0,62,92,78,65,66,54,57,8,0,4,6,5,1,31,21,47,4,1,3,3,2,2,1,1,60,30,10,81,15,66,61,50,41,25,16,81,15,65,60,50,40,24,15,65,10,6,5,1,4,4,3,2,2,1,70,16,14
33,900016,99,98,47,92,43,24,76,4,3,96,0,7,7,43,40,80,78,60,90,77,35,20,19,39,64,41,68,63,32,22,10,83,36,27,34,77,28,53,70,33,1,5,28,41,25,100,97,100,88,88,97,86,81,95,81,89,89,51,68,21,29,50,90,87,86,78,77,63,76,11,3,50,22,41,5,21,16,7,10,10,16,14,0,5,9,2,1,45,43,31,9,86,39,34,19,61,20,19,81,29,43,17,75,25,5,12,12,11,11,11,9,16,3,9,9,9,9,9,6,47,2,50,0,92,5,3,1,0,0,0,1,41,100,100,21,100,80,20,0,0,8,6,2,3,32,23,43,6,2,4,4,3,3,3,3,100,0,0,61,29,32,24,14,10,6,4,61,29,32,23,14,10,6,4,56,3,2,1,0,1,0,0,0,0,0,98,1,1
34,900027,91,91,64,100,47,35,67,8,5,96,0,0,6,39,51,83,89,34,93,88,56,45,21,43,63,50,77,77,43,42,19,86,65,43,42,84,40,57,82,52,0,1,29,27,43,100,95,100,84,90,100,86,94,93,93,97,91,60,70,23,8,69,93,93,93,90,87,73,78,14,1,62,20,55,9,33,15,5,3,4,29,28,5,6,4,0,0,30,60,32,12,81,22,73,10,49,42,17,83,20,52,44,97,3,17,27,25,20,14,14,10,44,9,27,25,20,14,14,9,65,1,33,1,95,3,1,0,0,0,0,2,78,100,100,15,100,78,36,15,5,20,14,4,5,50,17,28,9,6,3,3,3,2,0,0,93,5,2,78,40,38,30,23,16,7,6,76,38,38,30,23,16,7,6,71,3,3,7,4,3,2,2,2,2,0,94,6,0
35,900021,98,96,49,95,28,20,31,22,12,93,0,2,4,32,55,57,71,29,84,71,26,9,6,28,50,38,70,68,28,25,6,67,43,31,41,72,23,48,69,31,5,0,30,40,25,95,94,95,85,85,90,66,83,78,67,67,63,46,63,37,29,34,69,68,69,64,54,51,60,5,5,55,19,53,3,7,12,1,5,7,29,29,1,0,7,0,0,46,32,31,16,80,17,51,13,73,14,22,78,22,59,9,90,10,3,6,6,6,6,3,3,9,3,6,6,6,6,3,3,49,0,48,4,95,5,0,0,0,0,0,1,100,100,100,0,100,0,100,0,1,1,5,1,5,21,14,59,0,0,0,0,0,0,0,0,0,0,0,67,12,55,44,28,21,14,7,67,12,55,44,28,21,12,7,61,5,1,1,0,1,1,1,1,1,0,50,50,0
36,402100,96,95,44,96,10,4,32,2,1,100,0,4,6,40,50,41,86,61,93,73,29,7,4,32,67,27,81,79,36,35,6,80,59,42,36,85,31,60,78,21,3,1,38,42,16,98,92,96,62,55,97,52,75,79,61,58,48,24,51,59,4,38,61,61,61,43,43,26,37,18,6,56,13,51,7,10,9,6,2,6,18,17,4,1,5,3,2,25,10,12,6,89,34,83,7,61,32,20,80,14,53,11,65,35,4,7,7,5,5,5,5,10,3,7,7,5,5,5,5,69,9,12,11,90,8,2,0,0,0,0,0,53,60,100,28,68,78,22,0,0,6,2,2,2,36,9,53,2,1,2,2,2,0,0,0,100,0,0,73,43,30,27,21,18,10,7,73,43,30,27,21,18,9,5,72,1,0,2,0,2,2,2,2,2,0,100,0,0
