ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,ICTPersAangenomenWillenAannemen_6,ICTVacaturesLastigTeVervullen_7,ICTSpecialistenInLoondienst_8,ICTSpecOntwEnOnderhoudSoftware_9,ICTCursusAanICTSpecialisten_10,ICTCursusAanOverigPersoneel_11,VoornUitgDoorEigenPersoneel_12,VoornUitgDoorExterneLeveranciers_13,NietVanToepassing_14,VoornUitgDoorEigenPersoneel_15,VoornUitgDoorExterneLeveranciers_16,NietVanToepassing_17,VoornUitgDoorEigenPersoneel_18,VoornUitgDoorExterneLeveranciers_19,NietVanToepassing_20,VoornUitgDoorEigenPersoneel_21,VoornUitgDoorExterneLeveranciers_22,NietVanToepassing_23,VoornUitgDoorEigenPersoneel_24,VoornUitgDoorExterneLeveranciers_25,NietVanToepassing_26,VoornUitgDoorEigenPersoneel_27,VoornUitgDoorExterneLeveranciers_28,NietVanToepassing_29,VoornUitgDoorEigenPersoneel_30,VoornUitgDoorExterneLeveranciers_31,NietVanToepassing_32,Internet_33,VasteBreedbandAansluiting_34,MinderDan2MegabitPerSeconde_35,k_2Tot10MegabitPerSeconde_36,k_10Tot30MegabitPerSeconde_37,k_30Tot100MegabitPerSeconde_38,k_100MegabitPerSecondeOfMeer_39,ApparaatVerschaftAanWerknemers_40,ToegangEMailsysteemVanHetBedrijf_41,ToegangTotBestandenVanHetBedrijf_42,ToegangTotBedrijfssystemenBijvERP_43,BedrijvenMetWebsite_44,OnlineBestellenBoekenOfReserveren_45,BeschrijvingenVanProductenPrijslijst_46,BestellingOnlineVolgen_47,ProductaanpassingDoorKlant_48,KlantspecifiekeInfoVoorDeBezoeker_49,VerwijzingNaarSocialeMedia_50,AdverterenOpInternet_51,InhoudVanDeWebsite_52,EerdereActiviteitenVanDeGebruiker_53,GeografischeLocaties_54,AndereGerichteMethoden_55,CloudDienstenGebruikt_56,EMailAlsCloudDienst_57,OfficeSoftware_58,DatabaseHosting_59,BestandenOpslaanAlsCloudDienst_60,SoftwareVoorBoekhouding_61,SoftwareKlantinformatiebeheer_62,RekenkrachtVoorSoftwareBedrijf_63,GedeeldeServers_64,ServersUitsluitendVoorHetBedrijf_65,Uitgevoerd_66,BedrijfZelf_67,AnderBedrijf_68,PrototypesModellenVoorVerkoop_69,PrototypesModellenVoorInternGebruik_70,ProductenVoorVerkoop_71,ProductenVoorInternGebruik_72,Gebruikt_73,IndustrieleRobot_74,ServiceRobot_75,MeerBanenOntstaanDanVerdwenen_76,MeerBanenVerdwenenDanOntstaan_77,GeenEffectMBTBanen_78,Uitgevoerd_79,DataVanBedrijfZelf_80,DataOverGeografischeLocaties_81,DataVanSocialeMedia_82,AndereBronnen_83,MedewerkersEigenBedrijf_84,AnderBedrijf_85,Antivirussoftware_86,BeleidVoorSterkeWachtwoorden_87,AuthenticatieViaSoftOfHardwareToken_88,EncryptieVoorHetOpslaanVanData_89,EncryptieVoorHetVersturenVanData_90,GegevensOpAndereFysiekeLocatie_91,NetworkAccessControl_92,VPNBijInternetgebruikBuitenHetEigen_93,LogbestandenVoorAnalyseIncidenten_94,MethodesVoorBeoordelenITCVeiligheid_95,Risicoanalyses_96,AndereMaatregelen_97,IncidentOpgetreden_98,KostenGehadAanICTIncident_99,IncidentDoorAanvalVanBuiten_100,KostenIncidentAanvalBuitenaf_101,UitvalICTDienstDoorVeiligheidsinc_102,UitvalICTDienstDoorAanvalBuitenaf_103,VernietigingDataDoorVeiligheidsinc_104,VernietigingDataAanvalVanBuitenaf_105,OnthullingGegevensDoorICTInbraak_106,OnthullingGegevensDoorInternIncident_107,UitvalICTDienstDoorVeiligheidsinc_108,UitvalICTDienstDoorAanvalBuitenaf_109,VernietigingDataDoorVeiligheidsinc_110,VernietigingDataAanvalVanBuitenaf_111,OnthullingGegevensDoorICTInbraak_112,OnthullingGegevensDoorInternIncident_113,MeestalVolledigAutomatisch_114,MeestalDeelsHandmatig_115,NietVanToepassing_116,AndereBedrijven_117,Overheden_118,Consumenten_119,EFactuur_120,ElektronischMaarGeenEFactuur_121,InPapierenVorm_122,EFactuur_123,GeenEFactuur_124,EFacturenVerzonden_125,EFacturenOntvangen_126,VerkoopViaECommerce_127,ViaWebsiteOfAppsVanEigenBedrijf_128,ViaWebsiteOfAppsVanAndereBedrijven_129,Verkoopwaarde1VanDeTotaleOmzet_130,Verkoopwaarde1VanDeTotaleOmzet_131,Verkoopwaarde2VanDeTotaleOmzet_132,Verkoopwaarde5VanDeTotaleOmzet_133,Verkoopwaarde10VanDeTotaleOmzet_134,Verkoopwaarde25VanDeTotaleOmzet_135,Verkoopwaarde50VanDeTotaleOmzet_136,VerkoopViaEenWebsiteApp_137,Verkoopwaarde1VanDeTotaleOmzet_138,Verkoopwaarde1VanDeTotaleOmzet_139,Verkoopwaarde2VanDeTotaleOmzet_140,Verkoopwaarde5VanDeTotaleOmzet_141,Verkoopwaarde10VanDeTotaleOmzet_142,Verkoopwaarde25VanDeTotaleOmzet_143,Verkoopwaarde50VanDeTotaleOmzet_144,NederlandseConsumenten_145,BuitenlandseConsumenten_146,Bedrijven_147,Overheden_148,KlantenInNederland_149,KlantenInAndereEULanden_150,KlantenInLandenBuitenDeEU_151,VerkoopViaEDI_152,Verkoopwaarde1VanDeTotaleOmzet_153,Verkoopwaarde1VanDeTotaleOmzet_154,Verkoopwaarde2VanDeTotaleOmzet_155,Verkoopwaarde5VanDeTotaleOmzet_156,Verkoopwaarde10VanDeTotaleOmzet_157,Verkoopwaarde25VanDeTotaleOmzet_158,Verkoopwaarde50VanDeTotaleOmzet_159,KlantenInNederland_160,KlantenInAndereEULanden_161,KlantenInLandenBuitenDeEU_162,InkoopViaECommerce_163,Inkoopwaarde1VanDeTotaleInkoop_164,Inkoopwaarde1VanDeTotaleInkoop_165,Inkoopwaarde2VanDeTotaleInkoop_166,Inkoopwaarde5VanDeTotaleInkoop_167,Inkoopwaarde10VanDeTotaleInkoop_168,Inkoopwaarde25VanDeTotaleInkoop_169,Inkoopwaarde50VanDeTotaleInkoop_170,InkoopViaEenWebsiteApp_171,Inkoopwaarde1VanDeTotaleInkoop_172,Inkoopwaarde1VanDeTotaleInkoop_173,Inkoopwaarde2VanDeTotaleInkoop_174,Inkoopwaarde5VanDeTotaleInkoop_175,Inkoopwaarde10VanDeTotaleInkoop_176,Inkoopwaarde25VanDeTotaleInkoop_177,Inkoopwaarde50VanDeTotaleInkoop_178,AanbiedersInNederland_179,AanbiedersInAndereEULanden_180,AanbiedersInLandenBuitenDeEU_181,InkoopViaEDI_182,Inkoopwaarde1VanDeTotaleInkoop_183,Inkoopwaarde1VanDeTotaleInkoop_184,Inkoopwaarde2VanDeTotaleInkoop_185,Inkoopwaarde5VanDeTotaleInkoop_186,Inkoopwaarde10VanDeTotaleInkoop_187,Inkoopwaarde25VanDeTotaleInkoop_188,Inkoopwaarde50VanDeTotaleInkoop_189,AanbiedersInNederland_190,AanbiedersInAndereEULanden_191,AanbiedersInLandenBuitenDeEU_192
10,WP19088,403300,95,94,51,54,94,17,11,4,2,22,29,32,64,5,50,41,9,22,54,23,30,57,14,24,58,19,27,53,19,24,69,7,100,99,0,5,11,39,44,74,72,57,51,97,22,82,7,5,23,72,34,30,13,13,16,68,47,41,48,49,45,33,16,52,34,8,5,5,4,6,2,3,5,4,1,1,1,3,26,13,6,13,14,24,9,98,82,52,42,41,90,57,68,72,52,53,33,53,23,17,8,45,11,9,8,4,7,20,6,4,4,2,2,61,32,7,95,49,47,9,62,29,14,86,23,45,15,85,15,7,9,8,6,5,3,2,14,6,8,6,5,4,2,2,22,5,65,9,83,11,7,3,2,2,1,1,1,1,0,65,17,18,74,27,46,37,26,19,10,5,73,28,46,36,25,18,9,5,90,6,4,4,2,2,2,2,1,1,0,81,10,9
11,WP19088,410200,79,77,44,45,76,7,5,1,1,10,14,22,67,11,32,53,15,15,53,32,17,58,24,13,59,27,15,57,28,15,67,17,100,99,0,13,17,42,27,63,58,39,35,89,25,73,7,7,26,58,36,32,17,19,20,47,34,29,36,38,33,25,13,34,22,1,0,1,1,1,1,1,2,2,1,1,0,1,20,6,7,14,6,17,7,94,74,40,32,31,80,50,49,55,44,43,23,44,18,15,7,39,10,7,8,3,4,15,5,4,4,1,1,60,25,15,95,36,39,10,64,25,16,84,21,45,15,91,9,6,9,8,7,6,4,2,14,6,8,7,6,5,3,2,43,6,47,4,92,6,2,3,2,1,1,1,1,1,0,93,6,1,62,24,38,32,26,19,11,7,61,25,37,31,25,18,10,6,96,3,1,4,2,2,2,2,1,1,0,94,5,1
12,WP19088,422400,87,84,28,32,84,11,6,1,0,17,25,24,70,6,38,49,13,9,62,29,18,63,18,11,69,20,16,65,18,14,75,11,100,98,0,8,15,44,31,53,49,36,39,97,28,82,4,4,42,59,21,19,8,12,8,59,38,30,43,42,38,33,15,44,26,4,2,2,1,2,0,2,1,1,0,0,0,1,15,4,2,7,8,10,7,98,81,53,43,56,89,48,54,59,47,54,30,51,20,12,6,44,8,5,5,2,11,17,4,2,2,1,2,54,33,14,71,44,79,21,32,47,24,76,35,57,12,91,9,8,4,3,2,2,1,1,9,6,3,2,1,1,0,0,79,2,13,6,100,0,0,4,2,1,1,1,1,1,1,100,0,0,76,27,49,42,32,25,13,7,75,28,47,41,31,24,12,6,98,2,1,4,1,3,2,1,1,1,1,97,3,0
13,WP19088,300006,64,59,22,21,72,9,6,2,1,12,16,27,62,11,37,45,18,17,57,27,21,57,21,17,62,21,21,58,21,20,65,15,100,99,0,13,20,39,27,54,48,35,36,93,51,82,19,8,31,63,38,33,17,18,19,43,29,23,30,31,25,19,9,31,22,3,2,2,2,2,1,1,4,3,1,1,1,3,22,10,6,13,7,18,9,94,70,37,29,28,80,48,50,55,39,40,22,46,20,15,8,40,11,7,7,3,3,15,6,3,4,2,1,58,27,14,88,33,53,9,53,39,19,81,25,47,39,81,19,13,26,23,20,17,12,8,33,12,21,18,15,13,8,5,48,8,42,2,85,12,3,12,4,8,8,6,5,4,2,77,19,5,64,34,30,25,20,17,12,8,61,35,26,21,17,13,9,6,91,7,2,8,3,5,5,4,4,3,2,80,17,3
14,WP19088,300010,84,82,46,47,86,13,8,2,1,17,22,27,65,8,42,47,12,19,54,28,24,58,19,19,58,23,22,55,23,20,68,12,100,99,0,8,14,40,36,69,65,48,44,93,23,78,7,6,25,66,35,31,15,16,18,59,41,36,43,44,39,30,15,44,29,5,3,3,2,4,1,2,4,3,1,1,1,2,23,10,6,13,10,21,8,96,78,47,37,36,86,54,59,64,48,49,28,49,21,16,8,42,11,8,8,3,6,17,6,4,4,1,2,60,29,11,95,43,43,10,63,27,15,85,22,45,15,88,12,6,9,8,6,5,4,2,14,6,8,7,5,4,3,2,32,5,57,7,87,9,4,3,2,1,1,1,1,1,0,76,13,11,68,26,42,34,26,19,10,6,68,26,42,34,25,18,10,5,93,5,3,4,2,2,2,2,1,1,0,87,8,6
15,WP19088,332915,98,97,57,64,97,56,46,22,7,62,50,70,27,2,75,18,7,56,31,13,59,34,6,54,31,15,57,27,16,65,30,6,100,98,0,3,9,29,57,79,77,67,65,96,30,86,15,10,31,77,46,43,24,20,24,74,58,52,61,60,45,43,26,52,49,5,3,3,3,4,2,2,1,1,0,1,0,0,34,20,12,19,18,32,7,98,91,65,69,60,91,71,80,84,65,67,50,55,22,20,8,47,15,9,7,4,6,17,6,4,4,3,2,58,37,5,96,50,25,13,71,16,17,83,26,44,21,83,17,9,12,11,8,7,3,2,20,8,11,11,7,6,3,2,15,6,74,5,74,16,10,5,3,2,1,1,1,1,0,65,17,18,78,24,55,46,35,26,17,9,78,24,53,44,34,24,16,8,82,10,8,6,3,3,2,2,2,1,1,80,12,7
16,WP19090,399907,72,69,24,26,76,9,6,4,2,11,16,24,66,9,36,48,16,16,56,29,19,59,21,17,59,23,20,57,24,18,68,14,100,99,0,13,19,39,27,57,51,37,36,93,35,79,11,6,26,59,31,28,13,14,15,46,32,25,33,34,29,21,11,34,22,4,2,3,2,2,1,2,5,5,1,1,0,4,18,7,5,11,6,15,7,95,71,38,30,30,82,47,50,55,40,41,22,46,19,14,7,40,11,7,6,3,4,16,6,3,3,2,2,58,28,14,89,37,53,9,56,35,18,82,21,45,24,84,16,9,14,13,11,9,6,4,21,9,12,11,9,7,4,3,46,7,44,3,87,10,3,5,2,3,3,3,2,2,1,80,16,5,67,30,37,30,23,18,11,7,66,31,35,29,21,16,10,6,92,6,2,6,2,3,3,3,2,2,1,87,11,2
17,WP19090,307500,53,49,16,14,73,4,3,1,0,5,11,17,76,6,33,53,15,11,64,25,17,67,16,12,61,27,15,56,28,14,75,11,100,99,0,18,21,40,21,57,52,36,34,96,27,76,9,6,18,50,24,22,7,9,9,36,22,18,24,25,17,12,7,28,15,9,5,6,6,6,4,4,22,21,1,3,2,17,12,6,4,7,3,10,4,96,65,33,23,22,86,42,52,53,39,35,17,43,19,13,7,37,9,6,7,3,3,16,5,3,4,1,2,53,35,13,95,28,38,7,63,30,15,85,18,39,24,89,11,11,12,11,9,6,3,2,19,9,10,9,6,4,2,1,31,1,66,2,90,7,3,6,2,4,4,3,2,2,1,81,18,2,68,34,34,26,18,14,9,6,68,34,33,25,17,13,8,5,92,6,2,5,1,3,3,2,2,1,0,94,5,0
18,WP19090,800036,64,62,31,22,80,9,4,1,1,6,12,18,72,10,29,61,11,14,59,27,13,62,24,6,76,19,5,74,20,6,82,11,100,98,0,17,22,35,24,73,61,44,50,94,12,69,2,1,15,40,24,22,3,4,6,38,24,23,30,25,20,10,8,29,17,5,3,4,3,5,0,1,3,0,3,0,0,3,25,17,9,6,7,20,10,96,71,32,18,20,87,50,54,58,43,35,17,56,28,17,6,48,9,9,12,0,3,20,2,4,5,0,0,64,26,10,92,44,45,8,55,37,15,85,16,33,8,57,43,3,5,5,2,2,2,1,6,2,5,5,2,2,2,1,58,0,42,0,99,1,0,2,1,1,1,1,1,1,0,100,0,0,45,28,18,11,8,5,2,2,45,28,18,11,8,4,2,2,95,4,1,1,0,1,1,1,0,0,0,95,5,0
19,WP19090,350000,66,63,32,23,72,2,1,0,0,4,12,14,78,8,28,58,15,9,57,33,11,63,26,11,62,27,11,62,26,10,76,14,100,99,0,19,22,36,21,69,55,34,40,93,16,70,1,1,16,49,18,16,6,6,7,38,22,17,24,24,20,12,7,26,18,2,2,1,1,1,0,0,2,2,0,1,0,1,13,3,7,5,2,11,4,96,61,33,19,19,81,38,45,44,36,33,17,50,26,20,12,43,18,10,8,3,3,22,11,5,5,2,1,60,25,15,94,52,74,9,55,36,20,80,19,47,9,91,9,4,4,4,3,3,2,0,8,4,4,3,3,3,1,0,37,3,58,1,92,6,2,2,1,1,1,1,1,1,0,99,1,0,67,34,32,26,20,16,14,11,67,36,30,25,18,14,12,8,98,1,0,8,2,7,6,6,4,4,1,98,1,0
20,WP19090,354200,75,72,23,22,77,10,6,3,1,11,17,27,68,6,36,50,13,17,63,19,22,64,14,20,63,18,23,59,18,20,70,10,100,99,0,13,20,39,28,58,53,39,39,93,51,81,22,7,31,64,40,36,19,20,21,43,30,25,33,32,26,22,11,32,22,4,2,3,3,2,2,2,5,5,2,1,0,4,21,10,6,13,8,17,10,97,72,40,30,28,85,53,55,62,43,42,24,48,21,15,9,43,12,7,7,3,4,17,7,3,4,2,2,58,31,11,89,30,52,9,53,38,18,82,27,44,43,87,13,15,27,24,20,18,13,9,38,15,23,19,16,14,9,6,48,7,43,1,85,12,3,11,4,7,7,6,5,4,2,81,17,3,65,35,30,24,20,16,12,7,63,37,26,20,16,12,9,5,88,10,2,10,4,6,6,5,4,3,2,80,18,2
21,WP19090,383100,66,61,28,21,71,3,2,1,0,3,7,21,67,12,27,52,21,9,53,38,12,52,36,10,56,34,15,52,33,12,64,24,100,99,0,16,21,44,19,59,42,28,32,87,25,73,9,4,19,40,18,17,3,4,4,40,27,20,26,27,28,12,7,28,15,1,1,0,0,0,0,0,2,1,1,0,0,2,13,8,8,4,2,10,5,93,67,38,24,24,80,41,39,46,30,35,18,44,19,18,11,37,15,5,8,2,3,13,9,2,6,1,1,59,21,20,93,26,36,6,63,31,15,85,14,39,15,80,20,4,10,10,8,7,5,1,8,3,5,5,4,3,2,1,37,8,50,6,84,12,3,7,1,6,6,5,4,2,0,64,23,13,52,33,19,15,11,7,3,1,51,32,19,15,10,7,3,1,95,4,1,4,4,0,0,0,0,0,0,87,11,2
22,WP19090,389100,47,42,5,10,46,0,0,0,0,1,2,17,54,28,26,37,36,7,42,51,9,49,42,10,62,28,9,59,32,10,59,31,100,99,0,20,25,35,19,21,18,12,14,93,62,88,11,9,31,65,39,32,17,21,21,31,21,11,20,22,24,10,4,25,14,0,0,0,0,0,0,0,1,0,0,0,0,1,16,4,2,14,3,11,7,84,58,15,14,16,57,27,19,24,18,19,6,32,11,7,2,29,5,6,2,1,2,10,1,2,1,0,1,59,15,26,77,45,72,5,45,50,22,78,14,54,29,63,37,10,19,17,16,13,9,5,29,10,19,17,16,13,8,5,65,14,16,6,85,11,3,2,1,1,1,1,1,0,0,66,19,16,63,27,35,32,23,20,13,12,62,28,35,32,23,20,13,12,97,3,1,1,1,1,1,1,1,0,0,90,10,0
23,WP19090,391600,98,98,47,62,96,58,48,36,12,58,46,71,26,3,74,18,8,58,28,14,57,34,9,56,29,16,58,26,16,65,30,5,100,98,0,3,9,31,55,77,74,65,62,95,32,85,13,10,28,75,47,44,25,22,26,75,60,53,60,60,51,45,27,53,50,4,2,2,2,2,1,2,0,0,0,0,0,0,35,17,11,23,20,33,8,97,89,62,67,63,89,67,73,81,67,67,49,51,20,19,9,44,16,10,6,4,4,16,8,4,3,2,2,55,38,7,95,49,27,12,74,15,17,83,22,46,21,87,13,9,12,11,8,7,3,2,20,9,12,11,8,7,3,2,34,7,55,4,77,14,9,4,3,1,1,1,0,0,0,69,10,21,78,22,56,48,36,24,15,8,78,22,56,47,35,24,15,8,82,9,9,5,3,2,1,1,1,1,0,93,3,4
24,WP19090,396300,96,96,45,45,95,13,8,5,3,24,26,35,59,6,59,36,5,35,51,14,35,57,8,24,63,13,31,56,13,39,54,8,100,100,0,9,10,40,42,86,81,63,66,94,21,77,11,8,26,71,29,27,10,9,14,56,44,35,47,46,39,33,23,34,40,3,0,3,3,0,0,0,0,0,0,0,0,0,27,16,4,15,14,25,6,98,96,75,66,59,94,71,85,90,75,79,52,56,26,20,15,51,15,8,8,2,3,21,12,2,5,0,0,64,25,12,77,24,36,5,53,42,15,85,13,45,19,67,33,6,11,10,8,8,5,3,16,6,10,9,8,8,5,3,36,7,53,4,96,2,1,1,0,1,1,1,1,0,0,62,38,0,80,33,46,40,24,18,8,2,77,33,44,37,22,18,8,2,92,5,2,4,0,4,4,3,0,0,0,60,40,0
25,WP19090,402000,91,90,47,35,85,2,0,1,1,12,26,17,77,6,35,59,6,9,72,18,13,78,9,4,76,20,7,74,18,12,84,4,100,100,0,2,15,49,34,87,87,59,52,87,29,69,10,16,38,58,24,20,11,16,14,52,31,31,42,42,36,31,20,34,31,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,5,5,2,94,81,56,28,26,83,52,67,71,56,60,32,54,11,14,6,47,11,9,7,0,2,12,4,3,1,0,0,63,24,13,78,32,69,2,46,52,12,88,9,40,13,85,15,9,4,4,2,2,0,0,13,9,4,4,2,2,0,0,75,2,22,1,95,4,0,4,4,0,0,0,0,0,0,98,2,0,56,38,18,15,15,11,4,4,56,38,18,15,15,11,4,4,99,0,0,4,4,0,0,0,0,0,0,100,0,0
26,WP19090,403300,94,93,36,45,93,12,8,4,2,16,24,27,68,5,47,44,9,19,55,26,24,60,16,22,58,19,25,55,20,20,72,8,100,99,0,5,12,41,41,71,69,53,46,97,21,82,6,4,21,70,32,29,12,13,15,66,48,40,48,48,45,33,15,51,31,7,4,5,4,5,2,3,3,3,0,1,1,2,22,9,5,12,10,20,8,98,80,49,38,37,90,55,65,69,49,49,29,51,22,15,7,44,10,8,7,3,6,19,5,3,4,1,2,60,32,8,95,48,49,9,62,29,14,86,21,45,14,84,16,6,8,7,5,4,3,2,13,6,7,6,5,3,2,2,23,4,63,10,84,10,7,2,1,1,1,1,1,1,0,62,19,19,74,26,48,39,27,19,10,5,73,26,48,38,26,19,9,5,91,5,4,4,2,2,2,1,1,0,0,84,8,8
27,WP19090,410200,68,65,24,27,72,5,4,2,1,7,10,22,65,14,31,52,17,14,49,37,16,54,30,12,56,31,13,53,33,14,64,21,100,98,0,14,18,42,24,59,53,34,31,87,25,71,6,7,24,54,32,28,14,16,17,44,32,27,33,36,32,22,10,33,18,1,0,1,1,1,1,1,2,2,1,1,1,1,17,5,6,13,3,15,6,93,70,37,29,28,78,47,46,50,41,39,21,42,16,13,7,37,8,6,8,3,3,13,4,3,4,1,1,61,24,15,95,36,43,9,64,27,17,83,20,45,16,93,7,6,9,8,7,6,4,3,15,6,9,8,6,5,4,2,50,6,40,4,93,6,1,2,1,1,1,1,1,0,0,100,0,0,62,21,41,34,28,20,12,8,61,21,40,34,28,19,11,7,97,3,1,3,2,2,2,2,1,1,0,95,5,1
28,WP19090,422400,83,80,17,28,80,4,1,0,0,5,14,20,74,6,32,52,15,7,60,33,10,66,24,12,66,22,13,66,21,10,77,13,100,98,0,10,17,46,25,42,37,26,28,97,28,81,4,5,41,53,20,17,6,11,7,52,36,26,40,42,35,30,13,37,20,5,2,3,1,2,0,3,0,0,0,0,0,0,11,2,1,6,4,6,6,97,78,45,38,51,88,46,46,49,40,47,23,43,15,7,4,39,6,3,2,1,6,13,3,1,1,0,1,56,29,15,66,36,80,20,31,49,25,75,31,56,10,92,8,6,3,2,1,0,0,0,8,5,2,2,1,0,0,0,83,2,9,5,100,0,0,2,2,0,0,0,0,0,0,100,0,0,74,23,51,45,35,27,14,7,73,24,49,44,33,26,13,7,98,2,1,3,1,2,2,1,1,1,1,96,4,0
29,WP19090,300006,68,64,20,19,69,6,4,2,1,7,12,23,64,12,33,47,20,14,57,30,17,59,24,16,62,22,19,58,23,17,67,17,100,99,0,15,21,39,24,49,43,31,32,92,50,82,18,7,30,61,36,32,16,18,18,40,27,21,29,29,25,18,9,30,19,3,1,2,2,1,1,1,4,3,1,1,0,3,19,8,5,12,6,15,8,93,68,33,25,25,78,45,44,50,35,36,19,44,18,14,7,39,11,7,6,3,3,15,6,3,4,2,1,58,26,16,87,33,54,8,52,40,19,81,22,46,35,82,18,12,23,20,18,15,11,7,31,12,20,17,14,12,8,5,51,9,38,3,85,12,3,8,3,5,5,5,4,3,1,78,18,4,63,33,30,25,19,16,11,7,61,34,27,22,17,13,9,6,91,7,2,7,3,4,4,3,3,2,1,81,17,2
30,WP19090,300010,83,81,31,37,85,9,6,3,2,12,18,25,67,8,40,47,13,17,52,30,21,58,21,18,58,24,20,55,25,18,69,13,100,98,0,9,15,41,34,66,62,45,40,93,23,78,6,5,22,64,32,28,13,14,16,57,41,34,42,43,40,28,13,44,25,5,2,3,2,3,1,2,3,3,1,1,1,2,20,8,5,12,8,18,7,96,76,44,34,34,85,52,57,62,45,45,26,47,20,14,7,41,9,8,8,3,5,16,4,4,5,1,2,60,29,11,95,43,47,9,63,28,15,85,20,45,15,88,12,6,9,7,6,5,3,2,14,6,8,7,5,4,3,2,35,5,53,7,88,8,4,2,1,1,1,1,1,1,0,77,11,12,69,24,45,37,27,20,11,6,69,24,45,36,27,19,10,6,93,4,3,4,2,2,2,1,1,1,0,88,7,5
31,WP19090,332915,98,98,48,60,97,55,46,34,11,59,46,68,29,2,73,19,7,56,30,14,59,34,7,52,31,17,56,27,17,62,32,6,100,98,0,3,10,30,55,77,74,65,63,96,29,85,14,9,29,75,43,41,22,18,23,72,58,50,60,59,47,42,25,51,47,4,2,3,2,3,2,1,1,0,0,0,0,0,31,18,10,17,16,29,6,98,90,62,67,58,91,70,77,82,61,63,47,54,21,19,8,48,15,9,7,3,5,17,6,3,4,2,2,57,37,6,95,47,23,12,72,16,17,83,24,45,19,81,19,7,11,11,7,6,2,1,18,7,11,11,7,6,2,1,16,5,74,4,73,17,10,3,3,1,1,1,0,0,0,71,9,20,80,23,57,48,36,26,17,8,80,23,56,47,36,25,16,8,82,9,8,5,3,3,2,1,1,1,0,89,5,6
32,WP19097,399907,74,70,31,30,92,22,14,3,1,34,36,41,56,3,55,39,6,26,59,15,38,55,6,24,61,16,30,55,15,33,62,5,100,99,0,6,12,38,42,82,79,62,60,96,36,79,14,8,31,72,38,34,16,16,18,59,37,34,39,40,29,27,15,42,35,6,4,4,3,5,2,2,13,12,1,2,2,9,31,18,10,14,13,29,10,98,85,56,46,45,91,60,75,79,61,64,37,56,26,20,8,49,12,8,11,3,7,23,5,3,4,1,2,57,36,7,94,42,45,13,56,31,17,83,33,46,33,83,17,11,21,19,17,14,10,7,24,10,14,12,10,8,5,3,32,6,59,3,83,13,4,15,5,10,9,8,7,5,3,74,22,4,68,38,30,25,20,17,11,6,66,40,27,22,17,13,8,5,91,7,2,9,3,6,6,5,4,3,1,83,13,4
33,WP19097,307500,64,57,21,21,96,24,16,1,1,34,33,50,49,1,63,34,3,27,62,11,48,49,4,28,56,16,30,52,19,42,54,3,100,99,0,8,12,33,46,88,86,73,68,97,25,75,7,7,18,67,31,29,8,8,10,48,28,25,26,29,16,17,8,33,26,14,10,7,8,11,5,5,45,44,3,6,6,33,29,21,6,8,10,28,8,100,83,54,44,42,93,63,85,83,64,66,37,55,27,21,10,47,13,8,11,3,6,21,6,3,6,1,2,53,43,4,96,25,23,13,56,31,15,85,36,37,31,88,12,10,21,19,16,14,10,7,19,9,10,9,7,6,4,3,15,4,77,4,78,16,6,18,5,13,12,11,9,6,4,66,30,3,61,42,19,16,12,9,5,3,59,43,17,14,10,7,4,2,86,10,3,6,3,4,3,3,3,2,1,75,16,9
34,WP19097,800036,70,69,39,29,95,36,25,3,2,40,50,39,58,3,45,48,7,35,60,5,43,54,3,18,73,9,26,62,11,33,63,4,100,100,0,11,15,47,27,91,88,66,62,95,46,80,17,12,30,76,23,19,10,13,15,74,37,40,46,45,33,28,14,60,37,5,0,5,5,5,2,2,2,0,2,0,0,2,47,34,29,16,23,47,11,100,87,73,50,52,94,72,84,82,76,62,50,53,20,24,8,49,9,9,21,8,12,17,5,2,5,4,2,57,41,2,97,75,58,13,46,40,17,83,37,49,34,92,8,17,18,15,12,12,1,1,33,17,16,14,10,10,0,0,54,2,41,3,98,2,0,6,2,4,1,1,1,1,1,86,14,0,75,41,34,28,27,27,13,7,73,45,28,26,22,22,10,7,94,5,1,11,6,5,5,5,5,3,0,85,15,0
35,WP19097,350000,75,74,49,39,98,18,6,1,0,25,41,25,74,2,49,47,4,20,66,13,29,67,4,18,67,15,24,63,13,15,82,3,100,100,0,3,14,38,45,95,91,68,74,99,5,75,3,4,18,82,31,28,6,7,12,59,32,38,39,43,28,21,9,46,30,6,4,5,3,5,0,0,3,3,0,0,0,3,33,18,18,11,6,29,18,100,86,54,34,40,93,51,67,80,64,62,38,62,28,24,5,51,8,8,17,4,2,27,4,0,2,2,0,49,48,3,99,79,78,11,57,32,24,76,39,63,9,98,2,4,5,4,4,2,2,2,4,2,1,0,0,0,0,0,1,0,84,15,98,2,0,6,2,4,4,4,2,2,2,100,0,0,77,44,33,32,27,26,13,8,74,45,29,27,21,13,9,6,97,3,0,24,7,18,18,18,10,4,2,98,2,0
