ID,Energiedragers,Perioden,TotaalAanbodTPES_1,Winning_2,Invoer_3,Uitvoer_4,NettoInvoer_5,Bunkering_6,Voorraadmutatie_7,StatistischeVerschillen_8,TotaalEnergieverbruik_9,TotaalInzet_10,InzetElektriciteitWKKOmzetting_11,InzetAndereOmzetting_12,TotaalProductie_13,ProductieElektriciteitWKKOmzetting_14,ProductieAndereOmzetting_15,TotaalSaldoEnergieomzetting_16,SaldoElektriciteitWKKOmzetting_17,SaldoAndereOmzetting_18,Totaal_19,ElektriciteitsEnWarmteproductie_20,WinningVanOlieEnGas_21,Cokesfabrieken_22,Hoogovens_23,OlieraffinageInstallaties_24,WaterstofproductieInstallaties_25,OverigeInstallaties_26,VerliezenBijDistributie_27,TotaalFinaalVerbruik_28,Totaal_29,Totaal_30,IJzerEnStaalindustrie_31,ChemieEnFarmaceutischeIndustrie_32,NonFerrometalen_33,Bouwmaterialenindustrie_34,Transportmiddelenindustrie_35,MetaalproductenEnMachineIndustrie_36,DelfstoffenwinningGeenOlieEnGas_37,VoedingsEnGenotmiddelenindustrie_38,PapierEnGrafischeIndustrie_39,Houtindustrie_40,Bouwnijverheid_41,TextielKledingEnLederindustrie_42,OverigeIndustrieEnOnbekend_43,Totaal_44,BinnenlandseLuchtvaart_45,Wegverkeer_46,Railverkeer_47,Pijpleidingen_48,BinnenlandseScheepvaart_49,Onbekend_50,Totaal_51,DienstenAfvalWaterEnReparatie_52,Woningen_53,Landbouw_54,Visserij_55,Onbekend_56,Totaal_57,NijverheidExclusiefDeEnergiesector_58,WaarvanChemieEnPetrochemie_59,Vervoer_60,OverigeAfnemers_61
1039,E006474   ,1958JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,E006474   ,1959JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,E006474   ,1960JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,E006474   ,1961JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,E006474   ,1962JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,E006474   ,1963JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,E006474   ,1964JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,E006474   ,1965JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,E006474   ,1966JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,E006474   ,1967JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,E006474   ,1968JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,E006474   ,1969JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,E006474   ,1970JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,E006474   ,1971JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,E006474   ,1972JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,E006474   ,1973JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,E006474   ,1974JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,E006474   ,1975JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,E006474   ,1976JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,E006474   ,1977JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,E006474   ,1978JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,E006474   ,1979JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,E006474   ,1980JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,E006474   ,1981JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,E006474   ,1982JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,E006474   ,1983JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,E006474   ,1984JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,E006474   ,1985JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,E006474   ,1986JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,E006474   ,1987JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,E006474   ,1988JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,E006474   ,1989JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,E006474   ,1990JJ00,1.1,,2.1,0.9,1.2,,0.0,,1.1,,,,5.4,,5.4,-5.4,,-5.4,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,6.5,4.6,,
1072,E006474   ,1991JJ00,0.1,,1.0,0.9,0.1,,,,0.1,,,,5.7,,5.7,-5.7,,-5.7,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,5.7,4.0,,
1073,E006474   ,1992JJ00,,,0.9,0.9,0.0,,0.0,,,,,,5.9,,5.9,-5.9,,-5.9,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,5.9,4.1,,
1074,E006474   ,1993JJ00,0.0,,1.0,0.9,0.0,,0.0,,0.0,,,,6.1,,6.1,-6.1,,-6.1,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,6.1,4.3,,
1075,E006474   ,1994JJ00,,,0.9,0.9,,,,,,,,,5.8,,5.8,-5.8,,-5.8,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,5.8,4.1,,
1076,E006474   ,1995JJ00,0.8,,2.0,1.2,0.8,,0.0,,0.8,,,,5.6,,5.6,-5.6,,-5.6,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.4,4.5,,
1077,E006474   ,1996JJ00,1.0,,2.4,1.4,1.0,,0.0,,1.0,,,,5.7,,5.7,-5.7,,-5.7,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.7,4.7,,
1078,E006474   ,1997JJ00,0.7,,1.8,1.2,0.6,,0.0,,0.7,,,,5.5,,5.5,-5.5,,-5.5,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,6.1,4.3,,
1079,E006474   ,1998JJ00,1.0,,2.4,1.4,1.0,,0.0,,1.0,,,,5.3,,5.3,-5.3,,-5.3,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,6.3,4.4,,
1080,E006474   ,1999JJ00,0.1,,0.6,0.6,0.0,,0.1,,0.1,1.3,,1.3,4.5,,4.5,-3.2,,-3.2,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.2,3.2,,
1081,E006474   ,2000JJ00,-0.1,,0.7,0.7,,,-0.1,,-0.1,1.6,,1.6,4.1,,4.1,-2.5,,-2.5,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.5,,
1082,E006474   ,2001JJ00,0.0,,1.7,1.7,,,0.0,0.0,0.0,1.7,,1.7,3.8,,3.8,-2.1,,-2.1,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.1,2.1,,
1083,E006474   ,2002JJ00,-0.2,,1.0,1.3,-0.2,,0.0,,-0.2,1.3,,1.3,3.6,,3.6,-2.2,,-2.2,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,
1084,E006474   ,2003JJ00,0.0,,1.4,1.4,,,0.0,,0.0,1.4,,1.4,4.0,,4.0,-2.5,,-2.5,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.6,2.6,,
1085,E006474   ,2004JJ00,0.0,,1.0,1.0,,,0.0,,0.0,1.7,,1.7,4.1,,4.1,-2.4,,-2.4,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.4,2.4,,
1086,E006474   ,2005JJ00,0.0,,0.9,0.9,,,0.0,0.0,0.0,1.4,,1.4,3.9,,3.9,-2.4,,-2.4,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.4,2.4,,
1087,E006474   ,2006JJ00,0.1,,1.4,1.3,0.1,,0.0,,0.1,1.4,,1.4,3.8,,3.8,-2.4,,-2.4,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.5,,
1088,E006474   ,2007JJ00,0.0,,1.5,1.5,0.0,,0.0,,0.0,1.5,,1.5,4.2,,4.2,-2.8,,-2.8,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.8,2.8,,
1089,E006474   ,2008JJ00,0.1,,1.4,1.3,0.1,,0.0,,0.1,1.5,,1.5,4.4,,4.4,-2.9,,-2.9,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,
1090,E006474   ,2009JJ00,0.9,,1.9,1.0,0.9,,0.0,,0.9,1.5,,1.5,3.6,,3.6,-2.1,,-2.1,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,
1091,E006474   ,2010JJ00,0.4,,0.8,0.4,0.3,,0.0,,0.4,1.5,,1.5,4.2,,4.2,-2.7,,-2.7,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,
1092,E006474   ,2011JJ00,0.5,,1.0,0.6,0.4,,0.0,,0.5,1.5,,1.5,4.1,,4.1,-2.6,,-2.6,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,
1093,E006474   ,2012JJ00,0.6,,1.2,0.7,0.5,,0.0,,0.6,1.5,,1.5,4.0,,4.0,-2.5,,-2.5,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,
1094,E006474   ,2013JJ00,1.0,,1.2,0.2,1.0,,0.0,,1.0,1.4,,1.4,3.6,,3.6,-2.2,,-2.2,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.2,3.2,,
1095,E006474   ,2014JJ00,-1.7,,1.3,3.1,-1.7,,0.0,,-1.7,0.7,,0.7,3.8,,3.8,-3.1,,-3.1,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,,
1096,E006474   ,2015JJ00,-0.2,,,0.2,-0.2,,0.0,,-0.2,,,,3.4,,3.4,-3.4,,-3.4,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.2,,,
1097,E006474   ,2016JJ00,-0.2,,,0.2,-0.2,,0.0,,-0.2,,,,3.1,,3.1,-3.1,,-3.1,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.9,,,
1098,E006474   ,2017JJ00,-0.2,,,0.2,-0.2,,0.0,,-0.2,,,,3.0,,3.0,-3.0,,-3.0,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.8,,,
1099,E006474   ,2018JJ00,-0.2,,,0.2,-0.2,,0.0,,-0.2,,,,3.1,,3.1,-3.1,,-3.1,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.9,,,
1100,E006474   ,2019JJ00,-0.2,,,0.2,-0.2,,0.0,,-0.2,,,,2.8,,2.8,-2.8,,-2.8,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.6,,,
1101,E006474   ,2020JJ00,-0.4,,,0.2,-0.2,,-0.2,,-0.4,,,,2.9,,2.9,-2.9,,-2.9,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,,,
1102,E006474   ,2021JJ00,-1.3,,,1.1,-1.1,,-0.2,,-1.3,,,,3.0,,3.0,-3.0,,-3.0,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.7,,,
1103,E006474   ,2022JJ00,-2.3,,,2.2,-2.2,,-0.2,,-2.3,,,,3.3,,3.3,-3.3,,-3.3,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,,,
1104,E006474   ,2023JJ00,-2.3,,,2.3,-2.3,,0.0,,-2.3,,,,3.2,,3.2,-3.2,,-3.2,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,,,
1105,E006474   ,2024JJ00,-2.3,,,2.9,-2.9,,0.6,,-2.3,,,,3.2,,3.2,-3.2,,-3.2,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,,,
1106,E006475   ,1946JJ00,,,,,,,,,,,,,9.9,,9.9,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,E006475   ,1947JJ00,,,,,,,,,,,,,11.5,,11.5,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,E006475   ,1948JJ00,,,,,,,,,,,,,12.7,,12.7,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,E006475   ,1949JJ00,,,,,,,,,,,,,12.8,,12.8,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,E006475   ,1950JJ00,,,,,,,,,,,,,13.3,,13.3,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,E006475   ,1951JJ00,,,,,,,,,,,,,13.4,,13.4,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,E006475   ,1952JJ00,,,,,,,,,,,,,13.5,,13.5,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,E006475   ,1953JJ00,,,,,,,,,,,,,12.6,,12.6,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,E006475   ,1954JJ00,,,,,,,,,,,,,13.3,,13.3,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,E006475   ,1955JJ00,,,,,,,,,,,,,13.2,,13.2,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,E006475   ,1956JJ00,,,,,,,,,,,,,12.4,,12.4,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,E006475   ,1957JJ00,,,,,,,,,,,,,11.4,,11.4,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,E006475   ,1958JJ00,,,,,,,,,,,,,11.2,,11.2,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,E006475   ,1959JJ00,,,,,,,,,,,,,10.1,,10.1,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,E006475   ,1960JJ00,0.2,,0.2,,0.2,,,1.3,-1.1,,,,24.9,,24.9,-24.9,,-24.9,0.9,,,,,,,0.9,,22.9,22.9,2.9,,,,,,,,,,,,,2.9,,,,,,,,20.0,3.0,17.0,,,,,,,,
1121,E006475   ,1961JJ00,0.3,,0.2,,0.2,,,1.2,-0.9,,,,25.2,,25.2,-25.2,,-25.2,0.9,,,,,,,0.9,,23.4,23.4,2.9,,,,,,,,,,,,,2.9,,,,,,,,20.5,3.0,17.6,,,,,,,,
1122,E006475   ,1962JJ00,0.2,,0.3,,0.3,,,1.3,-1.1,,,,27.4,,27.4,-27.4,,-27.4,0.8,,,,,,,0.8,,25.5,25.5,3.2,,,,,,,,,,,,,3.2,,,,,,,,22.3,3.4,18.9,,,,,,,,
1123,E006475   ,1963JJ00,0.1,,0.2,,0.2,,,1.6,-1.5,,,,29.0,,29.0,-29.0,,-29.0,0.8,,,,,,,0.8,,26.7,26.7,3.4,,,,,,,,,,,,,3.4,,,,,,,,23.3,3.6,19.7,,,,,,,,
1124,E006475   ,1964JJ00,0.1,,0.1,,0.1,,,1.5,-1.4,,,,28.2,,28.2,-28.2,,-28.2,0.5,,,,,,,0.5,,26.3,26.3,3.5,,,,,,,,,,,,,3.5,,,,,,,,22.8,3.5,19.3,,,,,,,,
1125,E006475   ,1965JJ00,0.0,,0.0,,0.0,,,0.9,-0.9,,,,25.7,,25.7,-25.7,,-25.7,0.5,,,,,,,0.5,,24.3,24.3,2.9,,,,,,,,,,,,,2.9,,,,,,,,21.4,3.4,18.0,,,,,,,,
1126,E006475   ,1966JJ00,0.0,,0.0,,0.0,,,0.8,-0.8,,,,17.0,,17.0,-17.0,,-17.0,0.4,,,,,,,0.4,,15.8,15.8,1.8,,,,,,,,,,,,,1.8,,,,,,,,14.0,2.2,11.8,,,,,,,,
1127,E006475   ,1967JJ00,0.1,,0.0,,0.0,,,0.1,0.0,,,,7.1,,7.1,-7.1,,-7.1,0.1,,,,,,,0.1,,7.0,7.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,6.0,1.1,4.9,,,,,,,,
1128,E006475   ,1968JJ00,0.0,,,,,,,0.1,-0.1,,,,1.3,,1.3,-1.3,,-1.3,,,,,,,,,,1.2,1.3,0.2,,,,,,,,,,,,,0.2,,,,,,,,1.1,0.2,0.9,,,,,,,,
1129,E006475   ,1969JJ00,0.0,,,,,,,0.0,0.0,,,,0.1,,0.1,-0.1,,-0.1,,,,,,,,,,0.1,0.1,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.1,0.0,0.1,,,,,,,,
1130,E006475   ,1970JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,E006475   ,1971JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,E006475   ,1972JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,E006475   ,1973JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,E006475   ,1974JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,E006475   ,1975JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,E006475   ,1976JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,E006475   ,1977JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,E006475   ,1978JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,E006475   ,1979JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,E006475   ,1980JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,E006475   ,1981JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,E006475   ,1982JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,E006475   ,1983JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,E006475   ,1984JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,E006475   ,1985JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,E006475   ,1986JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,E006475   ,1987JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,E006475   ,1988JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,E006475   ,1989JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,E006475   ,1990JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,E006475   ,1991JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,E006475   ,1992JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,E006475   ,1993JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,E006475   ,1994JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,E006475   ,1995JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,E006475   ,1996JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,E006475   ,1997JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,E006475   ,1998JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,E006475   ,1999JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,E006475   ,2000JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,E006475   ,2001JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,E006475   ,2002JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,E006475   ,2003JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,E006475   ,2004JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,E006475   ,2005JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,E006475   ,2006JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,E006475   ,2007JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,E006475   ,2008JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,E006475   ,2009JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,E006475   ,2010JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,E006475   ,2011JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,E006475   ,2012JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,E006475   ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,E006475   ,2014JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,E006475   ,2015JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,E006475   ,2016JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,E006475   ,2017JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,E006475   ,2018JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,E006475   ,2019JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
