ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,Telewerkers_3,TelewerkKomtVoor_4,ICTPersAangenomenWillenAannemen_5,ICTVacaturesLastigTeVullen_6,ICTSpecialistenInLoondienst_7,ExterneLeverancier_8,EigenPersoneel_9,EigenPersoneelEnExterneLeverancier_10,ICTCursusAanICTSpecialisten_11,ICTCursusAanOverigPersoneel_12,InternetVast_13,MinderDan30MbitS_14,k_30Tot100MbitS_15,k_100Tot500MbitS_16,k_500MbitSTot1GbitS_17,TenMinste1GbitS_18,SnelheidVasteVerbindingVoldoende_19,MobielInternetVerstrekt_20,PersoneelDatWerktMetMobielInternet_21,BedrijvenMetWebsite_22,BeschrijvingenVanProductenPrijslijst_23,OnlineBestellenBoekenOfReserveren_24,ProductaanpassingDoorKlant_25,BestellingOnlineVolgen_26,KlantspecifiekeInfoVoorDeBezoeker_27,VerwijzingNaarSocialeMedia_28,ChatserviceMetPersoon_29,ChatserviceMetVirtueleMedewerker_30,ClouddienstenGebruikt_31,EMail_32,OfficeSoftware_33,OpslagDatabases_34,BestandenOpslaan_35,BoekhoudingSoftware_36,KlantbeheerSoftware_37,Rekenkracht_38,GedeeldeServers_39,ServerUitsluitendVoorBedrijf_40,BigDataAnalysesGebruikt_41,ZelfUitgevoerd_42,GeanalyseerdDoorDerden_43,GegevensVanApparatenOfSensoren_44,DataOverGeografischeLocaties_45,DataVanSocialeMedia_46,AndereBronnen_47,TechniekMachineLearning_48,TechniekSpraakverwerking_49,AndereTechnieken_50,BigDataAnalyseOverwogen_51,KostenHogerDanBaten_52,OnvoldoendeKennis_53,OnvoldoendeBigDataBronnen_54,GebrekkigeICTInfrastructuur_55,PrivacyWetgeving_56,GeenBedrijfsprioriteit_57,KwaliteitBronnen_58,NietZinvolVoorBedrijf_59,AndereRedenen_60,BigDataVerkochtAanDerden_61,BigDataGekochtVanDerden_62,AntiVirussoftware_63,BeleidVoorSterkeWachtwoorden_64,UpdatenSoftwareBesturingssysteem_65,AuthenticatieViaSoftOfHardwaretoken_66,EncryptieVanData_67,GegevensOpAndereFysiekeLocatie_68,NetworkAccessControl_69,VPNInternetgebruikBuitenHetBedrijf_70,LogbestandenVoorAnalyseIncidenten_71,MethodesVoorBeoordelenICTVeiligheid_72,Risicoanalyses_73,UitbesteedAanExternBedrijf_74,EigenPersoneel_75,EigenPersoneelEnExternBedrijf_76,IncidentDoorInterneOorzaak_77,IncidentDoorAanvalVanBuiten_78,UitvalICTDienstDoorVeiligheidsinc_79,VernietigingDataDoorVeiligheidsinc_80,OnthullingDoorInternIncident_81,UitvalICTDienstDoorAanvalBuitenaf_82,VernietigingDataAanvalVanBuitenaf_83,OnthullingGegevensDoorICTInbraak_84,KostenIncidentIntern_85,KostenIncidentAanvalBuitenaf_86,UitvalICTDienstDoorVeiligheidsinc_87,VernietigingDataDoorVeiligheidsinc_88,OnthullingDoorInternIncident_89,UitvalICTDienstDoorAanvalBuitenaf_90,VernietigingDataAanvalBuitenaf_91,OnthullingDoorICTInbraak_92,GezochtNaarMeldingenCyberdreigingen_93,BekendMetDTC_94,DTCWebsiteAlsBronGebruikt_95,AndereBedrijven_96,Overheid_97,Consumenten_98,EFactuur_99,ElektronischMaarGeenEFactuur_100,PapierenVorm_101,VerkoopViaECommerce_102,ViaWebsiteOfAppsVanEigenBedrijf_103,PercentageOmzetViaOnlinePlatforms_104,Verkoopwaarde1VanDeTotaleOmzet_105,Verkoopwaarde1VanDeTotaleOmzet_106,Verkoopwaarde2VanDeTotaleOmzet_107,Verkoopwaarde5VanDeTotaleOmzet_108,Verkoopwaarde10VanDeTotaleOmzet_109,Verkoopwaarde25VanDeTotaleOmzet_110,Verkoopwaarde50VanDeTotaleOmzet_111,ViaEen_112,ViaTwee_113,ViaDrieOfMeer_114,MeerDanDeHelftOmzetUitEenPlatform_115,VerkoopViaWebsiteOfApp_116,Verkoopwaarde1VanDeTotaleOmzet_117,Verkoopwaarde1VanDeTotaleOmzet_118,Verkoopwaarde2VanDeTotaleOmzet_119,Verkoopwaarde5VanDeTotaleOmzet_120,Verkoopwaarde10VanDeTotaleOmzet_121,Verkoopwaarde25VanDeTotaleOmzet_122,Verkoopwaarde50VanDeTotaleOmzet_123,VerkoopViaEDI_124,Verkoopwaarde1VanDeTotaleOmzet_125,Verkoopwaarde1VanDeTotaleOmzet_126,Verkoopwaarde2VanDeTotaleOmzet_127,Verkoopwaarde5VanDeTotaleOmzet_128,Verkoopwaarde10VanDeTotaleOmzet_129,Verkoopwaarde25VanDeTotaleOmzet_130,Verkoopwaarde50VanDeTotaleOmzet_131
10,WP19115,403300,96,95,59,72,5,3,12,46,39,15,6,10,93,10,27,29,19,8,85,62,53,72,58,14,2,3,14,40,1,0,55,43,39,40,45,41,25,13,44,19,19,18,3,5,6,12,6,4,1,16,3,1,2,1,1,1,2,1,1,1,0,1,92,73,91,52,46,80,41,44,44,30,31,45,43,12,31,6,30,4,3,4,2,2,12,2,11,2,1,2,0,0,8,10,2,91,30,45,13,71,15,11,80,20,3,8,7,5,4,3,3,2,1,1,1,10,1,7,6,5,4,3,2,1,0,1,1,0,0,0,0
11,WP19115,410200,81,80,42,61,3,2,8,53,37,10,4,8,91,12,26,30,16,8,81,50,36,70,55,20,5,4,18,40,3,1,39,30,25,29,31,28,21,10,28,16,18,17,2,4,8,13,4,2,0,16,1,0,1,1,0,0,1,0,0,0,0,1,90,67,82,48,39,70,34,31,34,27,28,50,43,7,25,7,23,4,2,4,2,3,8,3,7,1,1,2,1,1,6,9,2,91,32,52,17,66,17,14,84,16,3,11,9,8,7,5,3,2,1,1,1,14,1,10,8,7,7,5,2,2,1,1,1,1,1,1,0
12,WP19115,422400,90,88,40,75,3,1,12,53,25,21,4,12,96,11,27,29,19,9,86,41,33,88,75,29,4,4,45,47,1,0,51,36,32,40,40,34,31,11,39,18,16,13,5,4,4,9,3,1,1,12,2,1,2,1,1,1,1,1,0,0,0,1,96,80,95,67,67,86,48,48,51,38,46,54,32,14,39,8,36,2,6,7,2,1,14,3,13,1,1,3,1,0,10,11,3,67,26,76,38,42,20,14,72,28,6,8,7,7,5,4,4,3,0,1,1,11,1,6,5,4,3,2,2,4,2,2,2,2,2,2,2
13,WP19115,332915,98,97,65,82,37,28,63,11,69,20,42,28,95,5,23,34,20,13,89,65,59,79,70,25,8,10,22,55,6,1,66,55,50,55,57,47,38,32,53,38,31,30,3,11,13,16,19,10,2,27,6,2,2,2,1,2,4,2,2,1,2,3,90,84,94,63,67,84,53,59,65,44,50,10,69,20,35,10,33,3,4,8,2,2,10,3,9,1,1,2,1,0,26,21,9,93,34,26,15,79,7,18,91,9,3,14,13,11,10,8,7,1,1,1,1,17,2,13,12,10,9,7,6,2,0,1,1,1,1,1,1
14,WP19080,399907,80,78,31,53,3,2,8,43,47,10,3,5,92,15,29,29,14,6,83,42,28,68,55,25,5,7,20,35,0,0,36,27,23,27,29,25,16,8,29,12,18,16,3,4,6,12,5,2,1,15,1,1,1,1,1,1,1,1,1,0,0,1,87,65,81,42,35,68,32,29,31,22,24,42,51,7,25,6,24,3,2,4,2,1,8,2,8,1,1,2,1,0,5,6,1,81,22,55,14,62,24,19,74,26,5,14,12,10,9,7,5,4,2,2,3,18,2,13,11,10,8,6,5,2,0,1,1,1,1,1,1
15,WP19080,307500,68,65,20,45,1,1,6,49,41,9,1,5,94,17,32,30,11,4,86,37,20,72,59,23,5,6,15,33,0,0,34,25,18,23,24,24,11,5,26,10,12,12,1,4,6,7,3,1,0,10,1,1,1,1,1,1,1,1,1,0,0,0,87,62,81,37,29,71,31,27,29,21,20,49,46,6,25,8,24,4,2,7,4,2,8,3,8,2,1,2,2,1,4,5,0,89,24,52,13,65,22,23,85,15,5,17,15,12,9,7,5,4,1,1,2,21,3,16,13,11,8,6,4,2,0,2,2,1,1,1,1
16,WP19080,800036,79,78,42,56,3,3,7,49,42,9,1,3,91,25,23,19,15,8,78,42,36,47,40,10,0,1,13,20,0,0,29,23,21,21,25,18,10,7,25,7,12,10,2,4,3,6,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,83,64,79,34,27,60,45,37,35,20,26,50,41,9,24,2,22,8,2,2,1,1,10,1,9,2,0,1,0,0,5,6,1,81,29,22,4,71,24,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,WP19080,350000,74,72,24,45,1,0,2,46,49,5,1,2,92,18,30,29,12,2,81,46,34,52,34,9,2,1,13,15,0,0,22,15,14,15,18,15,7,3,17,7,12,10,3,4,6,3,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,88,63,78,30,21,62,28,19,23,17,17,45,51,4,20,6,18,3,0,4,2,0,9,2,9,1,0,2,1,0,4,5,0,93,17,71,11,63,27,10,63,37,3,7,6,5,3,1,1,2,2,1,2,10,1,7,6,4,3,1,1,1,0,1,1,1,0,0,0
18,WP19080,354200,79,76,25,49,2,1,8,39,50,11,3,4,95,15,32,28,15,5,85,36,22,70,57,34,5,13,22,38,0,0,34,25,21,27,26,25,16,7,28,12,20,19,3,4,5,15,4,1,1,18,1,1,1,1,1,1,1,1,0,0,0,1,88,65,81,41,30,69,32,28,29,22,21,41,53,6,25,6,24,3,1,4,2,1,7,2,7,1,1,1,1,0,5,5,1,79,20,57,11,58,31,29,77,23,8,21,18,15,13,10,8,7,3,2,5,28,3,20,17,14,12,9,8,3,1,2,2,1,1,1,1
19,WP19080,383100,78,75,22,41,1,0,2,38,54,8,0,3,83,18,21,27,9,6,70,51,36,46,34,17,4,3,10,15,0,0,23,19,13,17,17,15,6,3,18,7,20,19,1,4,17,10,5,1,1,19,1,1,0,0,0,0,1,0,1,0,0,0,85,60,78,41,26,59,24,18,23,15,17,39,57,4,18,6,18,3,1,4,2,2,6,2,6,1,1,1,1,1,2,5,0,89,22,34,11,67,22,13,72,28,5,8,8,7,6,4,3,4,1,2,2,12,1,8,8,7,6,4,2,1,1,0,0,0,0,0,0
20,WP19080,389100,55,50,7,24,0,0,1,38,56,6,1,1,88,21,28,29,7,3,80,23,9,66,60,44,12,12,21,38,0,0,19,12,8,15,16,12,4,4,15,6,21,21,2,6,10,17,6,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,74,52,62,27,22,39,19,10,12,10,12,34,63,3,20,6,19,2,0,4,1,0,3,2,3,1,0,2,0,0,0,3,1,58,25,55,5,54,41,23,54,46,5,18,18,17,14,12,7,7,4,5,7,22,1,18,18,16,14,12,7,1,0,1,1,1,0,0,0
21,WP19080,391600,99,98,66,80,27,19,53,14,69,17,31,19,95,5,22,38,21,10,87,58,50,77,65,25,8,10,21,51,0,0,64,53,45,50,55,45,32,25,52,32,28,27,1,8,11,16,14,7,1,25,6,2,2,3,1,1,4,2,2,1,2,2,89,79,93,54,60,81,45,48,57,38,41,13,70,17,30,8,29,2,3,6,2,2,6,1,6,1,0,1,1,0,21,16,5,91,32,32,14,79,7,17,92,8,3,15,13,11,10,8,6,1,1,0,1,17,1,14,13,11,10,8,6,1,0,0,0,0,0,0,0
22,WP19080,396300,96,96,58,74,4,2,7,60,25,15,5,8,92,13,22,23,24,9,82,60,45,55,53,16,4,6,15,33,0,0,41,37,27,37,38,31,27,14,32,17,20,16,5,5,4,10,8,3,0,14,4,2,3,3,1,1,1,0,2,1,0,2,91,77,93,59,49,73,50,49,52,47,43,54,38,7,32,10,32,4,1,7,4,3,12,4,12,1,1,4,1,1,9,14,1,74,5,40,7,74,19,5,98,2,0,5,4,4,4,4,4,0,0,0,0,4,0,4,3,3,3,2,2,2,0,2,2,2,2,2,2
23,WP19080,402000,92,92,47,65,0,0,2,55,39,6,0,4,86,16,21,31,14,4,80,47,37,46,33,11,2,1,17,24,0,0,36,28,18,30,30,27,20,8,31,10,17,15,5,2,3,10,5,0,0,15,2,1,2,1,2,1,2,2,1,0,0,1,80,56,73,36,33,61,29,26,28,24,20,50,44,6,20,6,19,3,2,3,3,2,8,2,8,1,2,1,2,1,5,6,1,73,15,50,13,63,24,11,55,45,3,8,7,6,6,5,5,5,1,1,2,11,1,8,7,6,6,4,4,2,1,1,1,1,1,1,1
24,WP19080,403300,97,96,50,68,3,2,8,46,43,11,3,6,93,11,29,27,19,7,85,60,45,69,55,13,2,2,12,35,0,0,52,40,36,38,43,38,21,11,42,16,17,16,2,4,5,11,5,3,1,14,3,1,2,1,1,1,2,1,1,1,0,1,91,71,90,48,42,78,37,38,39,26,27,44,47,9,27,5,27,4,2,3,1,2,10,2,10,2,1,1,0,0,6,8,1,90,26,45,12,72,16,10,79,21,3,7,6,5,4,3,2,2,1,1,1,10,1,7,6,5,4,3,2,1,0,0,0,0,0,0,0
25,WP19080,410200,75,72,32,54,2,1,4,50,43,7,2,5,90,14,25,30,15,6,79,43,25,67,51,21,5,3,17,34,0,0,33,24,20,23,26,23,16,6,23,12,15,14,1,4,6,10,3,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,90,62,79,43,35,66,28,24,25,20,21,45,50,4,19,6,18,4,1,3,2,3,6,2,5,1,1,1,1,0,4,7,1,89,28,57,18,62,20,14,85,15,3,11,9,8,7,5,2,2,1,1,1,14,0,11,8,8,7,5,2,2,1,1,0,0,0,0,0
26,WP19080,422400,93,91,40,72,1,0,9,53,28,19,1,9,96,12,28,27,19,10,85,37,22,87,74,29,4,4,45,44,0,0,48,34,30,38,39,30,29,10,38,15,14,11,4,3,4,8,3,1,1,10,1,1,1,0,0,1,0,1,0,0,0,0,96,78,94,66,66,86,47,46,48,35,44,52,35,12,36,8,34,2,5,7,2,1,12,3,12,1,1,3,1,0,8,10,3,66,20,76,40,40,20,14,70,30,6,8,7,7,5,4,3,3,0,2,1,12,1,7,6,5,4,2,2,3,1,2,2,2,2,2,2
27,WP19080,332915,99,98,64,78,31,21,59,10,74,16,36,20,95,5,24,34,21,10,88,59,49,74,66,23,8,10,20,48,0,0,62,51,45,50,53,44,32,28,51,34,28,27,2,9,10,13,17,8,2,25,6,2,2,3,1,1,4,2,2,1,2,3,88,82,93,58,63,81,47,51,58,39,44,9,74,16,31,8,30,2,2,7,2,2,7,2,6,1,0,1,1,0,23,18,7,91,28,28,13,79,8,16,91,9,2,14,12,10,9,7,6,2,1,0,1,16,1,13,12,9,9,7,6,1,0,1,1,0,0,0,0
28,WP19090,399907,75,72,31,73,7,5,16,56,24,20,9,14,95,8,28,33,17,9,87,62,30,83,71,31,6,9,25,53,8,1,50,39,34,38,39,35,26,15,37,23,23,22,4,5,9,14,6,3,1,20,4,1,2,2,1,1,2,1,1,1,1,2,92,74,90,54,44,82,48,52,55,41,42,59,27,14,39,9,38,5,4,7,3,2,16,4,15,2,1,4,2,1,10,11,3,90,38,54,14,70,16,22,82,18,5,17,16,14,12,10,7,3,2,3,3,20,3,14,13,11,10,8,6,5,1,4,4,3,3,2,1
29,WP19090,307500,60,55,17,70,3,1,11,64,16,20,5,12,96,9,31,33,15,8,89,63,19,86,71,23,9,5,19,48,4,1,44,34,26,28,30,26,16,9,33,17,18,17,2,6,6,10,2,1,0,16,4,1,2,2,1,1,2,1,1,1,0,1,96,69,93,48,36,86,49,59,56,44,41,67,19,14,41,9,39,5,2,7,5,1,17,6,16,3,1,4,3,0,6,9,3,96,31,40,13,74,13,22,87,13,6,16,14,12,9,7,4,3,1,1,2,18,4,11,9,7,6,4,2,6,0,5,5,4,4,3,2
30,WP19090,800036,70,68,25,69,9,6,14,60,18,21,9,11,95,12,30,31,17,5,86,77,31,78,60,16,5,1,21,50,5,4,42,35,33,36,33,31,18,14,27,23,22,22,0,7,13,7,6,3,0,20,4,0,4,1,1,1,4,1,1,0,0,1,95,75,94,55,44,84,54,59,70,46,49,67,19,13,37,5,35,2,1,5,1,1,11,1,10,1,1,1,0,0,6,12,3,95,56,49,14,74,12,11,88,12,6,5,3,2,1,1,1,0,1,1,2,11,6,5,3,2,1,1,0,1,0,1,1,1,1,1,0
31,WP19090,350000,68,65,26,67,3,1,6,74,14,12,2,9,95,9,32,30,15,9,86,68,37,77,57,9,2,2,17,39,1,0,41,32,26,28,32,23,10,9,28,17,17,16,2,4,11,6,1,1,0,14,1,0,0,0,0,0,1,0,0,1,0,0,91,65,88,44,28,80,43,49,48,38,34,76,15,9,35,11,34,6,3,7,4,4,16,6,15,3,1,4,2,2,4,6,1,94,45,69,11,73,16,10,81,19,5,5,5,3,3,3,1,2,1,0,1,9,2,5,4,3,3,3,1,2,1,1,1,0,0,0,0
32,WP19090,354200,77,74,28,75,7,5,17,55,21,25,8,14,97,7,29,32,17,11,90,66,28,86,77,48,8,19,29,59,15,2,50,39,33,39,40,31,26,17,37,24,24,23,6,6,8,16,7,3,0,21,5,2,3,2,2,2,2,1,2,0,1,2,93,75,91,54,43,85,53,56,61,46,46,60,25,15,42,10,41,5,3,8,2,2,17,5,16,2,1,4,2,1,10,12,3,92,33,55,11,69,20,41,89,11,8,33,31,28,25,21,16,4,3,4,5,36,6,27,25,22,19,17,13,10,1,8,8,7,6,5,2
33,WP19090,383100,70,67,20,65,2,1,8,65,24,11,2,7,94,12,30,34,13,5,81,58,32,73,58,20,5,7,15,29,2,0,37,30,23,27,28,22,14,10,29,12,26,25,2,6,21,6,2,2,1,24,2,0,0,0,1,0,1,0,0,0,0,1,91,72,87,48,34,76,39,37,40,39,36,60,30,10,34,9,33,3,2,8,2,1,16,5,16,2,1,5,1,1,8,8,3,92,24,38,11,72,17,20,61,39,4,15,15,14,12,9,6,2,1,4,2,15,2,11,11,10,8,6,4,6,2,4,4,4,4,3,2
