ID,SBI93,AantalBedrijven_1,BedrijvenMetComputers_2,Computerpersoneel_3,BedrijvenMetICTSystemen_4,OrderverwerkingGekoppeldICTSysteem_5,OrderverwerkingInternICTSysteem_6,OrderverwerkingVoorraadbeheer_7,OrderverwerkingFacturering_8,OrderverwerkingProductieLogistiek_9,OrderverwerkingMarketing_10,OrderverwerkingICTSysteemVanDerden_11,OrderverwerkingKlantenAfnemers_12,OrderverwerkingToeleveranciers_13,BedrijvenMetLAN_14,BedrijvenMetDraadloosLAN_15,BedrijvenMetIntranet_16,TotaalBedrijvenMetInternet_17,AnaloogModem_18,ISDN_19,Breedbandverbinding_20,XDSL_21,RTVKabel_22,AndereHoogwaardigeVasteVerbindingen_23,DraadlozeVerbinding_24,AnderTypeVerbinding_25,BedrijvenMetExterneNetwerken_26,PersoneelDatWerktMetInternet_27,GeslotenInternetnetwerken_28,NietInternetnetwerken_29,BedrijvenMetTelewerkers_30,AantalTelewerkers_31,TotaalAlgemeenGebruik_32,FinancieleTransacties_33,TrainingEnOpleiding_34,TotaalCommunicatieMetOverheden_35,VerkrijgenVanInformatie_36,VerkrijgenVanFormulieren_37,RetournerenIngevuldeFormulieren_38,VolledigElektronischeAfhandeling_39,TotaalBedrijvenVerkoopViaInternet_40,InformatiePresentatieEigenBedrijf_41,InformatiePrijzen_42,ServiceCustomisedPage_43,ProductenElektronischeAflevering_44,ServiceKlantondersteuning_45,DienstenMobielInternet_46,ElektronischeOrderontvangst_47,ElektronischeOntvangstBetalingen_48,GebruikElektronischeMarktplaatsen_49,TotaalBedrijvenMetInkoopViaInternet_50,OpvragenVanGratisInformatie_51,ElektronischeOntvangstProducten_52,KlantondersteuningDoorToeleveranciers_53,ElektronischeInkoop_54,ElektronischeBetaling_55,GebruikElektronischeMarktplaatsen_56,TotaalVerkoopViaExterneNetwerken_57,Omzet1_58,Omzet2_59,Omzet5_60,Omzet10_61,TotaalVerkoopViaInternet_62,Omzet1_63,Omzet2_64,Omzet5_65,Omzet10_66,VerkoopAanHuishoudens_67,TotaalVerkoopViaNietInternetnetwe_68,Omzet1_69,Omzet2_70,Omzet5_71,Omzet10_72,TotaalInkoopViaExterneNetwerken_73,Inkoopwaarde1_74,Inkoopwaarde2_75,Inkoopwaarde5_76,Inkoopwaarde10_77,TotaalInkoopViaInternet_78,Inkoopwaarde1_79,Inkoopwaarde2_80,Inkoopwaarde5_81,Inkoopwaarde10_82,TotaalInkoopViaNietInternetwerken_83,Inkoopwaarde1_84,Inkoopwaarde2_85,Inkoopwaarde5_86,Inkoopwaarde10_87,BeveiligingTotaal_88,BeveiligingBeveiligdeWebserver_89,BeveiligingFirewall_90,BeveiligingEncryptie_91,BeveiligingOffSiteDataBackUp_92,BeveiligingDigitaleHandtekening_93,BeveiligingOverigeAuthenticatie_94,BeveiligingAntivirussoftware_95,BeveiligingUpdateMaatregelen_96,ProblemenVeiligheid_97,ProblemenVirusaanval_98,ProblemenIllegaleToegang_99,ProblemenChantageBedreiging_100
10,29,838.0,100,77,78,91,91,63,81,59,18,24,18,20,91,14,36,93,19,35,67,51,10,8,4,3,93,44,16,9,42,9,85,73,11,58,52,44,34,10,86,82,29,17,8,29,4,20,3,2,85,82,26,33,44,17,8,24,69,59,55,29,20,62,51,44,22,6,48.0,46.0,46.0,46.0,28.0,45,69,54,40,28,44,69,53,36,24,21.0,21.0,21.0,21.0,21.0,98,77,89,26,41,16,24,95,90,55,55,0,
11,30,547.0,93,49,57,95,95,80,82,70,22,23,20,20,72,7,18,94,21,38,57,48,5,4,2,2,94,25,19,4,24,4,85,75,8,56,52,49,39,9,87,87,34,12,1,20,7,11,2,5,80,78,18,24,29,6,8,13,70,56,38,31,11,64,47,28,22,19,73.0,73.0,67.0,59.0,51.0,30,64,24,17,9,29,61,19,12,6,56.0,42.0,42.0,34.0,26.0,100,69,80,20,33,20,22,94,92,58,58,5,
12,31,1859.0,96,31,67,91,90,59,82,54,23,16,13,14,80,8,24,95,23,46,45,36,5,5,4,1,95,18,8,5,21,3,87,74,5,51,45,42,27,12,77,73,22,6,3,15,3,20,1,1,76,75,18,15,22,5,2,21,75,59,45,23,20,67,49,36,13,17,66.0,59.0,57.0,49.0,47.0,22,57,41,33,15,22,55,39,30,13,23.0,17.0,17.0,14.0,12.0,92,65,66,20,29,13,16,89,86,43,42,5,
13,32,89.0,100,75,93,91,91,73,91,62,52,38,35,26,98,28,90,100,14,17,80,31,30,26,5,16,100,44,61,27,82,14,94,64,33,80,61,49,56,14,88,88,57,24,8,47,2,19,6,9,91,91,48,70,59,10,9,21,66,66,55,55,19,62,62,50,50,0,8.0,8.0,8.0,8.0,8.0,59,54,36,23,12,59,54,36,23,12,0.0,0.0,0.0,0.0,0.0,100,92,100,71,68,59,43,100,95,37,37,2,
14,33,3554.0,95,28,41,91,91,16,77,30,22,23,18,21,69,5,13,84,16,51,47,35,6,6,0,0,84,20,4,1,18,3,84,72,4,54,51,42,26,8,60,58,11,6,1,4,0,5,0,0,78,76,13,18,12,2,3,5,78,78,18,0,5,78,78,18,0,21,0.0,0.0,0.0,0.0,0.0,12,59,46,25,8,12,59,46,25,8,0.0,0.0,0.0,0.0,0.0,88,53,59,11,25,14,20,85,79,38,38,2,
15,34,1339.0,93,28,44,85,85,24,78,29,7,18,14,16,59,6,14,90,32,41,40,28,8,5,1,0,90,21,4,0,9,4,82,64,6,54,50,44,34,11,66,60,25,4,4,3,5,8,2,1,80,77,17,19,17,4,6,8,90,84,31,15,8,90,84,31,15,22,0.0,0.0,0.0,0.0,0.0,17,71,38,16,9,17,71,38,16,9,0.0,0.0,0.0,0.0,0.0,89,54,62,12,26,23,28,83,76,42,41,3,
16,35,3823.0,94,33,65,88,88,37,84,30,27,34,21,29,80,6,17,92,19,42,51,41,8,3,3,1,92,25,9,2,18,4,85,70,5,49,45,36,18,10,73,65,19,8,3,9,1,12,2,1,82,80,27,28,34,6,4,13,79,58,43,7,12,78,55,39,1,46,35.0,35.0,35.0,35.0,35.0,34,73,63,56,46,34,72,62,54,42,70.0,70.0,69.0,69.0,64.0,97,61,67,17,30,13,22,94,86,45,45,1,
17,36,2730.0,95,55,84,97,97,76,95,43,46,57,36,48,89,11,46,96,18,44,61,52,7,4,10,1,96,34,30,3,18,4,85,72,18,49,42,35,31,19,82,80,57,14,3,23,5,26,3,8,78,71,20,31,29,5,8,26,75,68,44,31,26,74,66,42,29,40,33.0,33.0,33.0,31.0,23.0,30,61,53,50,32,29,59,50,47,29,44.0,44.0,44.0,39.0,37.0,96,73,71,19,32,21,28,92,88,48,48,2,
18,37,8010.0,97,70,89,96,96,77,93,44,31,31,25,27,91,17,41,96,22,42,69,60,4,6,2,4,96,47,18,12,44,14,85,73,12,47,40,38,28,9,84,77,34,15,8,19,2,30,4,3,83,79,23,38,35,10,4,34,85,69,54,41,30,72,54,36,21,10,62.0,62.0,62.0,61.0,57.0,38,77,59,54,39,35,71,51,46,31,41.0,41.0,41.0,40.0,35.0,98,69,78,23,37,16,19,96,89,53,52,4,
19,38,5674.0,92,49,73,94,94,68,72,36,23,43,22,34,76,5,17,87,21,48,49,43,4,2,2,1,89,13,12,14,9,1,84,71,10,34,30,28,19,8,72,63,23,15,2,13,3,13,5,1,67,59,18,15,26,5,2,20,77,62,55,54,13,64,42,32,21,49,53.0,52.0,51.0,51.0,50.0,33,64,55,51,42,26,50,37,31,15,70.0,70.0,70.0,70.0,68.0,91,62,61,16,28,9,20,88,77,38,38,4,
20,39,3647.0,87,26,47,86,80,15,76,14,38,25,17,21,53,5,12,87,25,47,45,31,11,3,2,1,87,16,6,1,7,1,86,75,5,53,48,48,31,11,79,75,57,14,3,6,2,32,3,4,59,55,20,9,23,8,6,32,80,76,57,44,32,80,76,57,44,75,6.0,6.0,6.0,0.0,0.0,23,78,52,44,31,23,77,51,43,31,21.0,21.0,21.0,21.0,21.0,84,50,55,7,16,12,12,77,71,39,39,2,
21,42,913.0,96,83,49,91,91,29,87,24,24,36,29,27,95,10,36,99,15,33,77,62,10,8,4,2,99,66,16,3,39,8,88,70,10,71,68,61,43,19,86,85,42,15,5,19,1,11,1,0,77,74,29,38,34,14,6,12,42,40,36,17,11,39,38,33,13,38,20.0,20.0,20.0,20.0,20.0,34,60,38,34,16,34,58,37,32,15,41.0,41.0,41.0,41.0,41.0,99,78,86,27,40,11,19,96,91,44,44,4,
22,40,4279.0,89,39,58,92,92,34,87,53,19,32,27,17,76,8,26,92,24,39,57,46,6,6,5,4,92,27,14,12,24,5,87,75,9,58,53,46,33,19,72,66,24,12,5,12,3,24,4,4,68,64,19,22,28,8,7,29,75,64,56,42,24,67,57,48,34,31,62.0,62.0,56.0,48.0,39.0,29,75,56,48,24,28,72,53,43,20,31.0,27.0,20.0,16.0,12.0,93,60,68,23,30,10,18,89,81,45,45,4,
23,41,278.0,93,94,73,95,92,25,87,51,28,35,29,21,84,13,45,94,16,28,76,54,6,19,9,10,94,30,33,6,48,3,78,64,18,56,52,48,32,19,88,85,49,34,21,42,10,46,9,6,80,77,30,45,44,17,6,46,82,72,61,44,46,82,72,61,44,32,58.0,58.0,58.0,58.0,58.0,44,70,57,52,33,44,70,57,52,33,21.0,21.0,21.0,21.0,0.0,94,84,87,40,52,21,28,93,90,55,54,6,
24,44,1394.0,99,97,70,90,89,30,85,34,46,37,30,27,98,27,70,99,16,25,89,71,5,16,13,6,99,91,32,8,74,54,89,70,36,56,54,50,30,18,96,94,35,34,33,54,10,33,7,6,93,91,60,53,69,50,18,35,88,79,66,52,33,88,77,67,52,9,33.0,33.0,32.0,21.0,15.0,69,81,66,55,37,69,81,66,55,37,12.0,12.0,12.0,2.0,2.0,97,88,95,49,64,19,19,95,92,54,52,10,
25,43,342.0,90,68,74,85,85,43,80,42,37,38,30,28,94,8,46,92,17,34,67,53,0,14,8,4,96,49,28,9,46,12,84,65,5,61,56,46,33,27,85,80,48,32,1,24,0,34,1,13,90,85,35,43,52,15,11,34,84,67,47,26,34,84,67,47,26,28,34.0,34.0,34.0,34.0,0.0,52,71,43,33,23,52,71,43,33,23,34.0,34.0,34.0,24.0,0.0,96,71,78,27,39,19,23,96,88,55,55,7,
26,45,221.0,94,91,54,91,90,38,87,23,26,13,10,11,88,14,57,96,7,15,78,50,4,27,3,16,96,78,31,3,44,12,81,64,19,65,65,61,45,16,86,84,22,15,30,21,3,22,6,1,80,77,53,53,57,30,6,22,67,62,51,39,22,67,62,51,39,31,0.0,0.0,0.0,0.0,0.0,57,58,51,30,15,57,58,51,30,15,0.0,0.0,0.0,0.0,0.0,97,90,94,43,56,19,19,97,96,61,57,17,
27,46,2549.0,97,93,47,89,89,30,85,35,39,27,23,18,97,9,43,95,11,28,83,68,6,12,3,4,96,72,23,8,52,21,94,76,14,70,66,64,44,23,88,84,22,15,12,13,2,17,2,4,80,75,32,37,40,14,6,19,81,61,54,32,17,75,53,50,27,16,35.0,32.0,32.0,23.0,18.0,40,77,61,49,25,40,76,59,48,24,11.0,11.0,9.0,9.0,7.0,97,81,93,39,46,26,27,95,94,46,44,4,
28,47,1409.0,98,92,53,84,83,23,77,35,25,23,16,16,97,6,41,97,18,32,77,67,9,4,7,2,97,65,12,1,36,14,88,67,9,68,63,62,36,16,90,88,13,5,19,15,2,13,2,0,89,86,43,35,47,22,8,14,87,68,67,40,13,88,71,71,42,8,82.0,60.0,22.0,22.0,22.0,47,76,58,48,21,47,75,57,46,20,82.0,60.0,60.0,38.0,38.0,97,75,87,30,49,14,16,93,88,50,49,5,
29,48,578.0,97,79,80,93,90,46,89,47,49,29,24,23,93,7,43,100,18,34,82,63,19,7,7,2,100,73,15,2,29,7,84,78,6,51,49,38,29,16,96,92,25,15,23,26,4,24,7,3,93,86,47,41,65,37,18,25,92,92,90,65,24,92,92,90,63,20,50.0,50.0,50.0,50.0,50.0,66,75,54,34,26,65,75,54,33,25,40.0,40.0,40.0,40.0,40.0,95,83,80,21,50,9,13,95,89,50,49,2,
30,49,1783.0,86,84,49,89,83,17,81,21,35,26,24,22,86,10,27,95,16,39,73,61,8,5,3,1,95,71,6,3,26,10,85,67,15,62,54,54,39,16,76,73,16,6,5,12,5,12,1,3,65,63,17,20,28,9,6,13,89,86,78,60,12,89,86,77,59,13,37.0,37.0,37.0,34.0,34.0,28,68,58,51,32,28,67,57,51,32,34.0,34.0,34.0,31.0,28.0,90,67,71,19,35,9,16,86,79,49,48,6,
31,50,2160.0,96,32,48,90,89,34,85,40,23,29,26,22,67,7,22,94,19,41,61,48,9,7,6,1,94,18,8,3,24,4,83,73,6,51,47,43,31,14,69,61,26,9,9,12,2,14,3,1,73,72,23,19,27,14,6,15,70,54,45,29,14,69,53,44,28,14,18.0,18.0,15.0,15.0,12.0,27,69,61,44,28,27,69,61,44,28,5.0,5.0,5.0,5.0,2.0,89,57,73,19,31,11,20,83,80,42,41,4,
32,51,4163.0,94,46,51,88,88,33,78,32,17,29,23,14,90,11,35,95,18,37,72,52,13,9,3,1,96,29,17,10,30,3,87,64,10,65,60,57,41,11,70,67,19,9,5,10,0,6,1,0,75,72,29,30,35,8,3,7,64,54,27,23,6,58,46,19,16,38,11.0,10.0,10.0,7.0,7.0,35,67,48,33,15,35,65,47,32,15,6.0,6.0,4.0,4.0,2.0,96,69,79,31,42,11,19,91,86,44,43,4,
33,52,360.0,94,57,67,90,90,31,88,43,21,20,20,11,90,9,35,95,17,44,58,50,1,8,4,4,95,42,11,2,23,8,86,67,10,59,53,49,34,12,76,71,24,8,1,7,4,20,1,1,78,77,27,30,30,6,4,20,38,24,24,17,20,35,21,18,14,11,70.0,70.0,70.0,35.0,35.0,30,50,33,25,18,30,47,30,23,16,35.0,35.0,35.0,35.0,35.0,98,78,84,19,38,15,21,93,93,45,43,5,
34,53,1719.0,98,65,47,89,87,45,79,43,37,32,23,24,94,16,26,95,16,38,76,58,11,8,3,1,95,50,7,0,26,4,84,69,10,61,59,52,37,18,90,89,63,21,9,13,4,28,7,4,85,81,31,31,43,19,13,28,76,66,58,46,28,76,65,58,46,65,50.0,50.0,50.0,50.0,50.0,43,57,41,35,21,43,57,41,35,21,50.0,50.0,50.0,50.0,50.0,97,74,80,20,39,10,18,93,90,55,54,5,
35,54,726.0,90,42,40,88,82,25,79,44,34,23,13,16,66,11,12,82,18,45,48,36,9,3,7,0,82,14,9,0,12,3,75,70,5,43,36,37,24,11,78,77,30,10,1,15,0,10,3,0,65,65,20,23,15,6,1,10,62,48,36,0,10,62,48,36,0,88,,,,,,15,52,47,23,1,15,52,47,23,1,,,,,,92,61,51,12,22,11,22,82,75,37,33,1,
