ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetInternet_1,BedrijfsEMails_2,Bedrijfsdocumenten_3,BedrijfsapplicatiesOfSoftware_4,Telewerkers_5,TelewerkKomtVoor_6,InternetVast_7,MinderDan30MbitS_8,k_30Tot100MbitS_9,k_100Tot500MbitS_10,k_500MbitSTot1GbitS_11,TenMinste1GbitS_12,BedrijvenMetWebsite_13,BeschrijvingenVanProductenPrijslijst_14,OnlineBestellenBoekenOfReserveren_15,ProductaanpassingDoorKlant_16,BestellingOnlineVolgen_17,KlantspecifiekeInfoVoorDeBezoeker_18,VirtueleKlantenservice_19,OnlineSolliciteren_20,MeertaligeOnderdelen_21,MobieleAppVoorKlanten_22,WebsiteOfAppHeeftPlatformfunctie_23,SocialeMediaGebruikt_24,SocialeNetwerkenBijvFacebook_25,BlogsOfMicroblogsBijvX_26,MultimediaDelenBijvYouTube_27,BusinessSoftwareGebruikt_28,ERPSoftware_29,CRMSoftware_30,BISoftware_31,EigenBedrijf_32,ExternBedrijf_33,Transactiegegevens_34,Klantgegevens_35,Socialemediagegevens_36,Webdata_37,LocatieOfGeografischeGegevens_38,GegevensVanSlimmeApparaten_39,GegevensVanOpenbareOverheidsbronnen_40,Satellietgegevens_41,ClouddienstenGebruikt_42,EMail_43,OfficeSoftware_44,OpslagDatabases_45,OpslagBestanden_46,Boekhoudingsoftware_47,ERPSoftware_48,CRMSoftware_49,Veiligheidssoftware_50,Rekenkracht_51,Rekenplatform_52,AIGebruikt_53,Textmining_54,Spraakherkenning_55,NaturalLanguageGeneration_56,AfbeeldingenVideoSGeluidGenereren_57,Afbeeldingherkenning_58,MachineLearning_59,RobotondersteundeProcesautomatisering_60,ServicerobotsOfAutonomeVoertuigen_61,MarketingOfVerkoop_62,ProductieOfServiceprocessen_63,AdministratieveProcessenBestuurstaken_64,Logistiek_65,ICTBeveiliging_66,BoekhoudingControleFinancieelBeheer_67,RDOfInnovatie_68,DoorEigenWerknemersOntwikkeld_69,CommercieleSoftwareZelfAangepast_70,OpensourcesoftwareZelfAangepast_71,CommercieleSoftwareGebruikt_72,DoorExterneLeveranciersOntwikkeld_73,HeeftAIOverwogen_74,KostenZijnTeHoog_75,GebrekAanRelevanteErvaringInBedrijf_76,IncompatibiliteitBestaandeICTSysteem_77,MoeilijkhedenBeschikbaarheidGegevens_78,BezorgdheidGegevensbescherming_79,OnduidelijkheidOverJuridischeGevolgen_80,EthischeOverwegingen_81,NietNuttigVoorOnderneming_82,Antivirussoftware_83,BeleidVoorSterkeWachtwoorden_84,BiometrischeMethoden_85,Multifactorauthenticatie_86,EncryptieVanData_87,GegevensOpAndereFysiekeLocatie_88,NetworkAccessControl_89,VPNGebruikBuitenHetBedrijf_90,LogbestandenVoorAnalyseIncidenten_91,MethodesVoorBeoordelenICTVeiligheid_92,Risicoanalyses_93,ICTBeveiligingsmonitoringsysteem_94,DoorVrijwilligeTraining_95,DoorVerplichteTraining_96,MetContract_97,CyberincidentGeoefend_98,ICTVeiligheidsdocumentenAanwezig_99,k_12MaandenOfMinderLangGeleden_100,TussenDe12En24MaandenGeleden_101,LangerDan24MaandenGeleden_102,UitbesteedAanExternBedrijf_103,EigenPersoneel_104,EigenPersoneelEnExternBedrijf_105,NietVanToepassing_106,PhishingAanval_107,DDoSAanval_108,DatalekOfDatamanipulatie_109,GehacktSocialemediaAccount_110,BECFraude_111,AndereCyberIncidenten_112,IncidentMetInterneOorzaakGehad_113,IncidentDoorAanvalVanBuitenGehad_114,UitvalICTDienstDoorInterneOorzaak_115,VernietigingDataDoorInterneOorzaak_116,OnthullingGegevensDoorInterneOorzaak_117,UitvalICTDienstDoorAanvalBuitenaf_118,VernietigingDataAanvalBuitenaf_119,OnthullingGegevensDoorICTInbraak_120,KostenIncidentInterneOorzaakGehad_121,KostenIncidentAanvalBuitenafGehad_122,UitvalICTDienstDoorInterneOorzaak_123,VernietigingDataDoorInterneOorzaak_124,OnthullingGegevensDoorInterneOorzaak_125,UitvalICTDienstDoorAanvalBuitenaf_126,VernietigingDataAanvalBuitenaf_127,OnthullingGegevensDoorICTInbraak_128,RansomwareAanvalGehad_129,BestandenOfICTSystemenVersleuteld_130,AfpersingOpenbaarmakingInformatie_131,VerzekeringICTVeiligheidsincidenten_132,BekendMetDTC_133,DTCWebsiteAlsBronGebruikt_134,GezochtNaarMeldingenCyberdreigingen_135,VerkoopViaWebsiteOfApp_136,FysiekeGoederen_137,DigitaleGoederenOfDiensten_138,NietDigitaleDiensten_139,FysiekeGoederen_140,DigitaleGoederenOfDiensten_141,NietDigitaleDiensten_142,Bedrijven_143,Overheidsorganisaties_144,NederlandseConsumenten_145,BuitenlandseConsumenten_146,KlantenInNederland_147,KlantenInAndereEULanden_148,KlantenInLandenBuitenDeEU_149,ViaWebsiteOfAppsVanEigenBedrijf_150,ViaOnlinePlatforms_151,HogeBezorgkosten_152,OplossenVanKlachten_153,LabelsAanpassen_154,OnvoldoendeKennisAndereTalen_155,BeperkingenZakenpartners_156,VerrekenenBtwSysteem_157,Verkoopwaarde1VanDeTotaleOmzet_158,Verkoopwaarde1VanDeTotaleOmzet_159,Verkoopwaarde2VanDeTotaleOmzet_160,Verkoopwaarde5VanDeTotaleOmzet_161,Verkoopwaarde10VanDeTotaleOmzet_162,Verkoopwaarde25VanDeTotaleOmzet_163,Verkoopwaarde50VanDeTotaleOmzet_164,VerkoopViaECommerce_165,Verkoopwaarde1VanDeTotaleOmzet_166,Verkoopwaarde1VanDeTotaleOmzet_167,Verkoopwaarde2VanDeTotaleOmzet_168,Verkoopwaarde5VanDeTotaleOmzet_169,Verkoopwaarde10VanDeTotaleOmzet_170,Verkoopwaarde25VanDeTotaleOmzet_171,Verkoopwaarde50VanDeTotaleOmzet_172,ViaEen_173,ViaTwee_174,ViaDrieOfMeer_175,MeerDan75VanOmzetUitEenPlatform_176,BetaaldAanPlatforms_177,VerkoopViaEDI_178,FysiekeGoederen_179,DigitaleGoederenOfDiensten_180,NietDigitaleDiensten_181,KlantenInNederland_182,KlantenInAndereEULanden_183,KlantenInLandenBuitenDeEU_184,Verkoopwaarde1VanDeTotaleOmzet_185,Verkoopwaarde1VanDeTotaleOmzet_186,Verkoopwaarde2VanDeTotaleOmzet_187,Verkoopwaarde5VanDeTotaleOmzet_188,Verkoopwaarde10VanDeTotaleOmzet_189,Verkoopwaarde25VanDeTotaleOmzet_190,Verkoopwaarde50VanDeTotaleOmzet_191,GebruikICTOplossingenVoorMilieu_192,VerminderenEnergieverbruik_193,VerbeterenMateriaalverbruik_194,MonitoringICTOplossingenVoorMilieu_195
10,WP19090,403300,97,95,93,90,79.0,94,99,1,9.0,37.0,32.0,21.0,95,80,15.0,3.0,3.0,12.0,7.0,78.0,35.0,6.0,9.0,88,88,11.0,40.0,79,42.0,71.0,37.0,50.0,19.0,29.0,25.0,20.0,19.0,6.0,7.0,10.0,1,81,77.0,74.0,68.0,73,69.0,33.0,57.0,69.0,33.0,27.0,52.0,36.0,20.0,27.0,26.0,6,14.0,11.0,2,15.0,10.0,22.0,1,8.0,13.0,17.0,9,12,13.0,33.0,11.0,12.0,3,8.0,3,4,8.0,6,3,1,96,90,44.0,91,67.0,93,87,64.0,74.0,61.0,62.0,72.0,54.0,31.0,45.0,10.0,60.0,47.0,10.0,3,41.0,18.0,30.0,11,41.0,2,2.0,1,3.0,3.0,17.0,6,14.0,2,4.0,3,0,3,4,2,3,0,0,1,0,0,1,0,0,46.0,23.0,10.0,15.0,10.0,5.0,3.0,4.0,,23.0,31.0,58.0,11.0,28.0,3.0,88.0,8.0,4.0,88.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,5.0,4.0,3.0,2.0,11.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,,,,,9.0,,1.0,2.0,2.0,2.0,1.0,1.0,0.0,25.0,14.0,20.0,8.0
11,WP19090,410200,76,73,66,63,40.0,69,96,2,15.0,40.0,27.0,11.0,84,70,22.0,5.0,5.0,16.0,12.0,62.0,20.0,10.0,14.0,75,74,8.0,39.0,56,29.0,47.0,21.0,31.0,20.0,17.0,17.0,15.0,13.0,6.0,2.0,4.0,2,59,56.0,51.0,52.0,53,50.0,21.0,37.0,47.0,19.0,16.0,25.0,19.0,8.0,12.0,12.0,3,5.0,5.0,1,11.0,3.0,10.0,1,2.0,4.0,6.0,3,4,5.0,14.0,6.0,8.0,1,6.0,3,3,4.0,3,2,1,91,78,34.0,74,49.0,75,63,41.0,49.0,41.0,40.0,51.0,26.0,12.0,29.0,5.0,30.0,20.0,8.0,1,43.0,13.0,9.0,35,22.0,2,0.0,1,1.0,1.0,9.0,4,8.0,1,2.0,2,1,1,1,1,1,0,0,1,0,0,0,0,0,28.0,14.0,6.0,8.0,14.0,8.0,4.0,6.0,46.0,18.0,37.0,43.0,7.0,42.0,9.0,86.0,11.0,2.0,86.0,14.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,13.0,12.0,10.0,9.0,7.0,5.0,15.0,2.0,13.0,12.0,11.0,10.0,8.0,6.0,2.0,1.0,1.0,1.0,3.0,1.0,,1.0,,,,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,23.0,12.0,18.0,6.0
12,WP19090,422400,94,83,81,79,54.0,86,99,2,19.0,37.0,27.0,14.0,96,83,28.0,3.0,2.0,31.0,4.0,66.0,18.0,27.0,,77,76,3.0,40.0,50,15.0,43.0,19.0,27.0,30.0,11.0,10.0,8.0,7.0,1.0,2.0,5.0,0,63,58.0,55.0,49.0,55,51.0,19.0,41.0,54.0,12.0,8.0,21.0,13.0,10.0,5.0,5.0,0,1.0,1.0,0,3.0,2.0,9.0,0,2.0,2.0,2.0,1,1,2.0,10.0,3.0,11.0,4,7.0,5,4,7.0,5,4,1,96,87,34.0,90,75.0,88,77,43.0,62.0,48.0,58.0,62.0,46.0,18.0,40.0,4.0,52.0,38.0,12.0,2,50.0,13.0,17.0,20,26.0,2,3.0,1,1.0,1.0,17.0,6,13.0,2,6.0,4,1,3,4,2,2,1,1,1,0,1,0,0,0,35.0,17.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,17.0,23.0,6.0
13,WP19090,300006,75,70,64,60,30.0,68,99,2,21.0,40.0,24.0,12.0,90,80,53.0,8.0,15.0,20.0,14.0,54.0,36.0,13.0,8.0,81,78,8.0,50.0,56,44.0,41.0,25.0,32.0,27.0,27.0,22.0,13.0,11.0,8.0,5.0,3.0,2,58,52.0,46.0,45.0,49,45.0,26.0,29.0,45.0,17.0,16.0,21.0,14.0,5.0,7.0,8.0,3,4.0,3.0,1,10.0,3.0,7.0,1,2.0,4.0,2.0,3,4,3.0,10.0,6.0,8.0,2,7.0,3,3,3.0,3,2,1,94,76,30.0,73,42.0,79,64,46.0,49.0,41.0,43.0,52.0,27.0,17.0,24.0,6.0,29.0,21.0,7.0,2,39.0,16.0,12.0,32,27.0,2,1.0,2,2.0,1.0,13.0,6,11.0,1,2.0,4,1,3,2,1,2,0,0,1,0,1,2,1,1,27.0,11.0,3.0,7.0,36.0,32.0,2.0,7.0,86.0,2.0,12.0,35.0,3.0,54.0,8.0,86.0,11.0,3.0,83.0,17.0,5.0,3.0,2.0,1.0,1.0,2.0,7.0,29.0,26.0,23.0,20.0,13.0,9.0,40.0,7.0,33.0,30.0,27.0,24.0,18.0,12.0,5.0,4.0,4.0,3.0,10.0,8.0,87.0,4.0,9.0,80.0,17.0,3.0,1.0,7.0,6.0,6.0,6.0,4.0,3.0,27.0,17.0,20.0,8.0
14,WP19090,300010,88,86,82,79,63.0,84,98,1,12.0,39.0,30.0,17.0,91,76,18.0,3.0,4.0,14.0,9.0,72.0,29.0,7.0,11.0,83,82,10.0,40.0,70,37.0,61.0,31.0,42.0,19.0,25.0,22.0,18.0,17.0,6.0,5.0,8.0,2,73,69.0,65.0,61.0,65,62.0,28.0,49.0,60.0,27.0,23.0,41.0,29.0,16.0,21.0,20.0,5,11.0,8.0,1,13.0,7.0,17.0,1,6.0,9.0,12.0,6,9,10.0,26.0,9.0,10.0,2,7.0,3,4,6.0,5,2,1,94,85,40.0,84,60.0,86,78,55.0,64.0,53.0,54.0,64.0,43.0,23.0,39.0,8.0,48.0,36.0,9.0,2,42.0,16.0,22.0,20,34.0,2,1.0,1,2.0,2.0,14.0,5,11.0,1,3.0,3,1,2,3,1,2,0,0,1,0,0,0,0,0,39.0,19.0,8.0,12.0,11.0,6.0,4.0,5.0,46.0,20.0,34.0,51.0,9.0,35.0,6.0,87.0,10.0,3.0,87.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,8.0,7.0,6.0,5.0,3.0,13.0,2.0,10.0,9.0,8.0,7.0,6.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,,,,,12.0,10.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,24.0,14.0,19.0,7.0
15,WP19090,332915,98,96,95,93,85.0,95,100,0,9.0,30.0,33.0,28.0,96,85,27.0,8.0,12.0,18.0,26.0,80.0,52.0,18.0,19.0,91,91,25.0,48.0,91,59.0,82.0,53.0,71.0,14.0,49.0,44.0,35.0,39.0,16.0,12.0,10.0,4,88,86.0,84.0,79.0,83,78.0,45.0,68.0,74.0,58.0,62.0,63.0,45.0,30.0,47.0,37.0,17,31.0,26.0,6,31.0,22.0,32.0,4,20.0,19.0,34.0,27,31,31.0,37.0,11.0,9.0,2,6.0,2,4,3.0,3,2,2,95,95,59.0,96,84.0,96,92,76.0,85.0,77.0,77.0,82.0,74.0,51.0,58.0,19.0,78.0,66.0,10.0,2,10.0,47.0,35.0,9,38.0,7,2.0,2,4.0,4.0,18.0,12,16.0,1,3.0,7,0,4,2,2,2,0,0,1,0,0,2,2,1,53.0,40.0,21.0,36.0,19.0,9.0,12.0,4.0,,,8.0,64.0,5.0,18.0,13.0,69.0,15.0,16.0,90.0,10.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,16.0,15.0,14.0,13.0,10.0,8.0,21.0,3.0,18.0,17.0,15.0,14.0,11.0,8.0,2.0,1.0,2.0,0.0,3.0,4.0,,,7.0,,,6.0,0.0,3.0,3.0,2.0,2.0,1.0,0.0,37.0,26.0,29.0,15.0
16,WP19097,399907,80,93,90,88,56.0,92,99,1,9.0,35.0,31.0,23.0,95,80,31.0,7.0,14.0,24.0,18.0,84.0,52.0,18.0,12.0,91,91,17.0,54.0,88,73.0,69.0,64.0,67.0,29.0,56.0,43.0,27.0,26.0,16.0,17.0,12.0,4,83,78.0,75.0,67.0,74,61.0,43.0,52.0,70.0,40.0,38.0,46.0,31.0,19.0,24.0,20.0,8,15.0,14.0,3,17.0,10.0,21.0,3,13.0,12.0,13.0,9,13,11.0,29.0,15.0,14.0,3,11.0,5,6,8.0,6,3,1,98,94,46.0,94,72.0,95,90,76.0,82.0,76.0,75.0,81.0,66.0,46.0,46.0,20.0,71.0,57.0,11.0,3,31.0,22.0,38.0,9,44.0,4,4.0,1,6.0,4.0,21.0,8,17.0,2,5.0,4,1,5,3,2,2,0,1,1,0,1,1,1,1,41.0,36.0,19.0,28.0,24.0,18.0,4.0,6.0,72.0,10.0,18.0,51.0,4.0,36.0,8.0,81.0,14.0,5.0,85.0,15.0,3.0,2.0,2.0,1.0,1.0,2.0,5.0,19.0,17.0,15.0,13.0,9.0,6.0,32.0,4.0,28.0,26.0,24.0,21.0,17.0,12.0,2.0,2.0,4.0,3.0,6.0,16.0,78.0,5.0,18.0,72.0,22.0,6.0,2.0,14.0,13.0,12.0,11.0,8.0,5.0,41.0,29.0,30.0,16.0
17,WP19097,307500,71,96,93,91,43.0,94,100,1,10.0,34.0,32.0,23.0,97,78,19.0,7.0,9.0,16.0,9.0,85.0,71.0,6.0,5.0,91,90,13.0,46.0,96,93.0,70.0,66.0,72.0,22.0,65.0,48.0,21.0,21.0,14.0,27.0,8.0,2,81,77.0,71.0,59.0,68,47.0,38.0,43.0,65.0,33.0,30.0,41.0,22.0,13.0,21.0,16.0,7,14.0,10.0,5,11.0,11.0,18.0,4,13.0,9.0,12.0,9,12,11.0,25.0,14.0,15.0,3,11.0,6,6,7.0,6,2,1,99,96,44.0,93,74.0,97,94,90.0,88.0,83.0,80.0,86.0,66.0,51.0,43.0,20.0,76.0,61.0,11.0,4,28.0,23.0,44.0,5,46.0,4,2.0,1,8.0,5.0,21.0,8,18.0,1,4.0,4,1,5,4,1,3,0,0,1,0,1,2,1,1,39.0,38.0,21.0,31.0,19.0,18.0,1.0,1.0,97.0,1.0,2.0,70.0,4.0,22.0,5.0,80.0,15.0,5.0,89.0,11.0,2.0,1.0,2.0,1.0,0.0,1.0,6.0,13.0,11.0,7.0,5.0,3.0,2.0,33.0,5.0,29.0,27.0,22.0,19.0,15.0,10.0,1.0,1.0,1.0,1.0,2.0,23.0,97.0,0.0,3.0,64.0,30.0,6.0,2.0,21.0,20.0,18.0,15.0,12.0,8.0,42.0,30.0,31.0,18.0
18,WP19097,800036,81,98,98,99,60.0,99,100,1,5.0,48.0,19.0,27.0,98,86,48.0,4.0,17.0,24.0,21.0,83.0,48.0,31.0,8.0,91,90,18.0,44.0,98,89.0,63.0,74.0,75.0,32.0,59.0,36.0,13.0,22.0,19.0,39.0,18.0,9,93,87.0,80.0,78.0,82,62.0,57.0,48.0,74.0,51.0,43.0,38.0,22.0,17.0,19.0,14.0,9,12.0,11.0,1,8.0,8.0,18.0,3,9.0,9.0,7.0,3,9,7.0,25.0,11.0,23.0,1,16.0,5,14,14.0,11,7,5,100,99,45.0,95,75.0,98,92,88.0,89.0,84.0,81.0,84.0,63.0,54.0,36.0,19.0,74.0,61.0,10.0,2,30.0,17.0,47.0,6,45.0,3,10.0,0,1.0,1.0,28.0,10,25.0,2,7.0,5,2,5,3,2,3,0,0,1,1,0,3,3,3,21.0,43.0,21.0,33.0,22.0,10.0,2.0,16.0,,7.0,,26.0,3.0,70.0,1.0,97.0,3.0,0.0,92.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,16.0,14.0,10.0,7.0,5.0,24.0,7.0,17.0,17.0,15.0,11.0,8.0,5.0,1.0,0.0,5.0,1.0,6.0,6.0,,0.0,,100.0,0.0,0.0,1.0,5.0,5.0,2.0,2.0,0.0,0.0,51.0,37.0,35.0,22.0
19,WP19097,350000,85,98,95,92,60.0,96,99,0,12.0,30.0,36.0,22.0,98,77,8.0,1.0,2.0,10.0,9.0,91.0,22.0,6.0,5.0,96,96,13.0,57.0,89,84.0,61.0,47.0,53.0,31.0,46.0,30.0,22.0,16.0,20.0,16.0,10.0,5,86,78.0,73.0,65.0,73,60.0,51.0,44.0,71.0,36.0,32.0,41.0,32.0,13.0,20.0,18.0,6,8.0,13.0,2,14.0,9.0,25.0,2,8.0,12.0,8.0,5,8,8.0,29.0,15.0,18.0,2,15.0,7,10,12.0,7,3,1,99,93,35.0,96,59.0,99,92,83.0,82.0,79.0,72.0,83.0,65.0,31.0,37.0,17.0,67.0,43.0,20.0,5,50.0,12.0,32.0,6,50.0,1,1.0,0,6.0,6.0,24.0,10,22.0,2,4.0,4,0,7,3,1,2,0,1,0,0,1,0,0,0,33.0,33.0,18.0,22.0,4.0,3.0,0.0,2.0,,2.0,,,12.0,,1.0,99.0,1.0,0.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,6.0,1.0,5.0,5.0,4.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,,,,,,,0.0,3.0,2.0,2.0,1.0,1.0,0.0,37.0,30.0,25.0,11.0
20,WP19097,354200,78,91,88,85,50.0,89,100,2,8.0,38.0,30.0,22.0,93,83,56.0,12.0,31.0,39.0,30.0,79.0,56.0,26.0,13.0,92,91,19.0,63.0,89,83.0,70.0,74.0,73.0,33.0,70.0,57.0,33.0,35.0,18.0,17.0,12.0,3,78,74.0,71.0,64.0,70,53.0,45.0,49.0,65.0,41.0,38.0,47.0,30.0,17.0,25.0,22.0,8,13.0,15.0,4,24.0,8.0,18.0,5,14.0,12.0,11.0,9,14,10.0,28.0,18.0,12.0,3,9.0,7,6,6.0,5,3,2,98,93,44.0,93,71.0,94,88,78.0,83.0,76.0,75.0,82.0,64.0,50.0,46.0,20.0,70.0,56.0,11.0,2,26.0,25.0,38.0,11,43.0,5,3.0,1,6.0,4.0,20.0,9,17.0,2,4.0,5,1,5,3,2,3,0,0,1,0,1,1,1,1,37.0,37.0,19.0,26.0,51.0,50.0,4.0,5.0,96.0,1.0,3.0,50.0,3.0,39.0,8.0,82.0,15.0,3.0,88.0,12.0,9.0,5.0,5.0,3.0,3.0,4.0,9.0,42.0,37.0,34.0,28.0,18.0,12.0,60.0,8.0,52.0,49.0,45.0,40.0,32.0,19.0,5.0,4.0,7.0,6.0,11.0,30.0,94.0,2.0,4.0,74.0,21.0,5.0,3.0,26.0,25.0,23.0,20.0,11.0,6.0,44.0,29.0,33.0,18.0
21,WP19097,383100,69,94,88,87,36.0,91,100,1,13.0,41.0,31.0,15.0,97,82,27.0,2.0,20.0,19.0,8.0,85.0,59.0,14.0,16.0,90,90,9.0,37.0,81,66.0,55.0,60.0,67.0,27.0,52.0,27.0,14.0,11.0,24.0,24.0,10.0,11,84,77.0,72.0,63.0,70,58.0,36.0,40.0,72.0,40.0,36.0,29.0,18.0,8.0,12.0,8.0,5,9.0,6.0,3,6.0,7.0,13.0,5,10.0,8.0,4.0,5,6,4.0,19.0,9.0,14.0,2,10.0,6,4,5.0,3,4,1,98,92,39.0,96,73.0,97,90,79.0,79.0,74.0,72.0,77.0,51.0,38.0,39.0,16.0,60.0,45.0,12.0,3,44.0,16.0,32.0,8,38.0,2,1.0,3,4.0,2.0,18.0,8,15.0,2,5.0,6,2,2,3,2,3,0,0,1,1,0,3,3,2,32.0,37.0,16.0,28.0,20.0,7.0,1.0,12.0,,5.0,,69.0,2.0,26.0,3.0,78.0,15.0,7.0,79.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,16.0,16.0,13.0,11.0,8.0,4.0,48.0,3.0,44.0,44.0,41.0,39.0,34.0,25.0,1.0,2.0,3.0,3.0,3.0,37.0,,,,,,,1.0,36.0,36.0,35.0,32.0,29.0,20.0,45.0,33.0,28.0,16.0
22,WP19097,389100,49,89,82,68,21.0,83,98,1,9.0,34.0,31.0,23.0,86,81,70.0,19.0,16.0,30.0,20.0,74.0,62.0,40.0,14.0,87,86,12.0,72.0,74,47.0,52.0,44.0,44.0,43.0,37.0,28.0,24.0,18.0,8.0,11.0,8.0,1,78,76.0,71.0,64.0,72,69.0,36.0,45.0,69.0,30.0,28.0,33.0,18.0,8.0,15.0,12.0,2,2.0,6.0,1,11.0,3.0,10.0,2,8.0,6.0,2.0,4,2,4.0,19.0,13.0,12.0,6,10.0,6,4,6.0,5,3,1,93,84,30.0,85,56.0,85,82,57.0,62.0,58.0,61.0,67.0,52.0,30.0,43.0,9.0,46.0,35.0,10.0,1,45.0,10.0,24.0,22,31.0,3,2.0,2,5.0,5.0,13.0,8,10.0,1,3.0,5,2,4,3,3,2,0,1,1,0,1,3,1,2,34.0,17.0,4.0,14.0,51.0,30.0,3.0,32.0,41.0,2.0,57.0,24.0,7.0,52.0,17.0,78.0,16.0,6.0,55.0,45.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,46.0,43.0,39.0,35.0,31.0,23.0,54.0,5.0,49.0,46.0,42.0,37.0,33.0,26.0,3.0,5.0,35.0,10.0,39.0,6.0,,1.0,,,5.0,,3.0,3.0,3.0,2.0,2.0,2.0,2.0,48.0,41.0,27.0,18.0
23,WP19097,391600,99,97,97,95,91.0,97,100,0,3.0,27.0,32.0,37.0,98,79,30.0,7.0,12.0,25.0,32.0,91.0,61.0,27.0,20.0,97,97,35.0,62.0,97,77.0,92.0,84.0,88.0,24.0,69.0,66.0,51.0,48.0,20.0,17.0,14.0,7,94,90.0,89.0,82.0,88,80.0,61.0,79.0,85.0,65.0,71.0,78.0,59.0,42.0,53.0,43.0,18,43.0,31.0,7,32.0,28.0,40.0,4,25.0,21.0,39.0,31,35,32.0,52.0,14.0,10.0,2,5.0,4,3,5.0,4,3,1,99,98,63.0,98,90.0,97,95,82.0,92.0,89.0,91.0,91.0,91.0,73.0,69.0,33.0,92.0,82.0,8.0,3,4.0,46.0,48.0,2,51.0,11,5.0,1,3.0,7.0,23.0,8,21.0,2,6.0,6,1,3,3,3,3,1,1,2,0,1,1,1,1,65.0,48.0,28.0,50.0,21.0,8.0,16.0,4.0,26.0,63.0,11.0,54.0,7.0,24.0,15.0,73.0,13.0,14.0,89.0,11.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,18.0,17.0,16.0,14.0,11.0,8.0,24.0,3.0,21.0,20.0,19.0,17.0,13.0,10.0,1.0,0.0,4.0,2.0,3.0,4.0,,,,,,,0.0,4.0,4.0,3.0,3.0,3.0,2.0,49.0,39.0,35.0,25.0
24,WP19097,396300,100,97,94,93,87.0,94,99,0,7.0,24.0,32.0,36.0,94,79,29.0,13.0,20.0,34.0,33.0,75.0,54.0,32.0,,88,88,27.0,44.0,92,52.0,83.0,86.0,88.0,26.0,71.0,60.0,37.0,43.0,18.0,6.0,37.0,5,87,82.0,83.0,70.0,80,64.0,47.0,65.0,74.0,58.0,62.0,71.0,51.0,41.0,43.0,31.0,9,39.0,29.0,2,27.0,11.0,41.0,0,31.0,15.0,30.0,22,39,26.0,40.0,29.0,13.0,2,9.0,4,3,10.0,7,3,0,99,99,62.0,99,97.0,98,96,91.0,95.0,99.0,98.0,97.0,91.0,93.0,73.0,48.0,99.0,94.0,3.0,1,9.0,27.0,62.0,2,57.0,9,14.0,0,4.0,9.0,37.0,11,28.0,3,18.0,9,0,2,5,1,4,1,1,0,0,1,0,0,0,62.0,67.0,41.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,38.0,50.0,33.0
25,WP19097,402000,98,99,99,98,91.0,99,100,1,6.0,,,,100,82,,4.0,15.0,,,90.0,,,19.0,99,99,,,100,87.0,,93.0,86.0,,,,,,15.0,21.0,,9,100,96.0,96.0,92.0,89,89.0,,82.0,96.0,,,,,,23.0,,3,11.0,16.0,0,11.0,4.0,,4,17.0,21.0,9.0,7,6,7.0,,,,0,,4,13,,17,12,0,100,99,,96,,99,98,83.0,95.0,93.0,,85.0,87.0,,,,,,4.0,3,,6.0,,0,,1,18.0,0,4.0,3.0,,11,,5,13.0,4,0,7,4,4,4,0,3,0,0,4,1,1,0,,,27.0,,9.0,4.0,4.0,1.0,,,8.0,2.0,0.0,91.0,7.0,91.0,8.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,6.0,6.0,6.0,3.0,12.0,1.0,11.0,9.0,6.0,6.0,6.0,3.0,0.0,4.0,0.0,1.0,1.0,4.0,,,,,,,1.0,4.0,4.0,0.0,0.0,0.0,0.0,,,,14.0
