ID,BedrijfstakkenBranchesSBI2008,AantalBedrijven_1,PersoneelDatWerktMetEenComputer_2,PersoneelDatWerktMetInternet_3,Telewerkers_4,LAN_5,DraadloosLAN_6,Intranet_7,Extranet_8,Telewerkers_9,Internet_10,ISDNOfAnaloogModem_11,TotaalBreedband_12,ADSLVDSLEnSDSLEnDergelijke_13,BreedbandVast_14,AndereHoogwaardigeVasteVerbindingen_15,MobielBreedbandTotaal_16,ViaDraagbareComputer_17,ViaMobieleTelefoonSmartphone_18,AndereMobieleVerbindingGPRSEDGE_19,TenMinsteEenAlgemeneToepassing_20,FinancieleTransacties_21,TrainingEnOpleiding_22,TenMinsteEenAangebodenFaciliteit_23,PresentatieEigenBedrijf_24,ProductcatalogiEnPrijslijsten_25,ProductaanpassingVoorKlant_26,OnlineBestellenOfBoeken_27,BestellingVolgen_28,PaginaVoorVasteBezoekers_29,WervenVanPersoneel_30,AndereFaciliteiten_31,TenMinsteEenSoortCommunicatie_32,VerkrijgenVanInformatie_33,VerkrijgenVanFormulieren_34,RetournerenIngevuldeFormulieren_35,VolledigeElekAfhandelingAanvraag_36,ElektronischInschrijvenOpAanbesteding_37,VerkoopViaExterneNetwerken_38,CryptografischeProtocollen_39,Verkoopwaarde1VanDeTotaleOmzet_40,Verkoopwaarde2VanDeTotaleOmzet_41,Verkoopwaarde5VanDeTotaleOmzet_42,Verkoopwaarde10VanDeTotaleOmzet_43,Verkoopwaarde25VanDeTotaleOmzet_44,Verkoopwaarde50VanDeTotaleOmzet_45,VerkoopViaEenWebsite_46,Verkoopwaarde1VanDeTotaleOmzet_47,Verkoopwaarde2VanDeTotaleOmzet_48,Verkoopwaarde5VanDeTotaleOmzet_49,Verkoopwaarde10VanDeTotaleOmzet_50,Verkoopwaarde25VanDeTotaleOmzet_51,Verkoopwaarde50VanDeTotaleOmzet_52,VerkoopViaNietInternetnetwerken_53,Verkoopwaarde1VanDeTotaleOmzet_54,Verkoopwaarde2VanDeTotaleOmzet_55,Verkoopwaarde5VanDeTotaleOmzet_56,Verkoopwaarde10VanDeTotaleOmzet_57,Verkoopwaarde25VanDeTotaleOmzet_58,Verkoopwaarde50VanDeTotaleOmzet_59,InkoopViaExterneNetwerken_60,Inkoopwaarde1VanDeTotaleInkoop_61,Inkoopwaarde2VanDeTotaleInkoop_62,Inkoopwaarde5VanDeTotaleInkoop_63,Inkoopwaarde10VanDeTotaleInkoop_64,Inkoopwaarde25VanDeTotaleInkoop_65,Inkoopwaarde50VanDeTotaleInkoop_66,ERPSoftware_67,TotaalCRMSoftware_68,OpslagKlantgegevens_69,AnalyseKlantgegevens_70,TotaalOpenSourceSoftware_71,BesturingssystemenServerSoftware_72,KantoorEnBedrijfsapplicaties_73,TotaalVerkooporderverwerkingssysteem_74,FactureringsEnBoekhoudsystemen_75,Voorraadbeheersystemen_76,Productiesystemen_77,LogistiekeSystemen_78,TotaalInkooporderverwerkingssysteem_79,BetalingsEnBoekhoudsysteem_80,Voorraadbeheersystemen_81,TenMinsteEenSoortADE_82,OrderverwerkingMetDerden_83,VerzendenVanInkooporders_84,OntvangenVanElektronischeFacturen_85,OntvangenVanVerkooporders_86,VerzendenVanElektronischeFacturen_87,Productinformatie_88,Transportdocumenten_89,DataVanNaarOverheden_90,AndereBerichten_91,TotaalBedrijvenMetSCM_92,TotaalSCMMetLeveranciers_93,TotaalSCMMetAfnemers_94,ViaWebsites_95,ViaAutomatedDataExchangeADE_96,WasZeerBelangrijk_97,WasBelangrijk_98,WasEnigszinsBelangrijk_99,WasOnbelangrijk_100,WasZeerBelangrijk_101,WasBelangrijk_102,WasEnigszinsBelangrijk_103,WasOnbelangrijk_104,WasZeerBelangrijk_105,WasBelangrijk_106,WasEnigszinsBelangrijk_107,WasOnbelangrijk_108,WasZeerBelangrijk_109,WasBelangrijk_110,WasEnigszinsBelangrijk_111,WasOnbelangrijk_112,DigitaleHandtekening_113,Totaal_114,VernietigingOfVerminkingVanGegevens_115,OnthullingVanVertrouwelijkeGegevens_116,UitvalVanICTDiensten_117,VerplichteTrainingOfVoorlichting_118,OpnameInEenArbeidsContract_119,VrijwilligeTraining_120,Storingen_121,AanvalVanBuitenaf_122,Infectie_123,InbraakPharmingOfPhishing_124,Personeel_125,SterkeWachtwoorden_126,HardwareTokens_127,BiometrischeMethoden_128,OffsiteDataBackup_129,LoggingActiviteiten_130
10,21,1468.0,33,28,7,88,39,24,11,56,98,24,92,83,92,22,28,22,19,17,90,90,8,59,84,25,4,17,4,7,36,34,96,66,94,92,43,7,17,5,14,14,13,11,8,7,9,7,6,6,4,1,1,13,12,12,11,10,8,7,50,38,35,33,26,15,9,27,17,15,11,24,11,17,67,49,31,28,27,58,38,29,74,45,30,30,21,8,34,15,53,22,2,1,1,1,2,20,18,34,29,22,55,19,4,13,45,30,11,12,36,39,13,22,27,76,70,70,7,16,17,19,6,9,4,3,52,15,2,48,28
11,22,451.0,71,67,24,96,31,50,23,60,99,16,97,80,96,39,39,31,32,23,87,87,15,70,85,29,10,27,9,13,52,43,99,76,97,95,51,18,17,9,17,15,13,10,7,6,14,12,9,8,5,3,1,13,13,12,11,7,6,5,41,28,23,19,11,5,4,33,31,26,24,29,23,13,62,46,24,23,33,53,39,26,79,40,22,29,18,7,30,18,60,38,5,3,3,3,4,32,30,12,26,34,50,9,6,23,45,23,9,29,31,35,5,37,43,88,76,83,11,30,30,25,7,6,4,4,61,23,4,62,39
12,23,3305.0,47,45,19,81,24,20,8,42,99,22,89,79,86,20,27,22,18,10,92,92,4,46,81,10,2,10,0,5,33,26,97,64,94,94,35,7,10,2,10,10,10,8,4,4,7,7,6,6,3,0,0,7,7,7,7,6,4,3,32,19,14,13,3,0,0,15,10,10,5,19,5,17,41,28,5,7,4,38,26,4,71,33,17,24,15,3,34,7,51,27,0,0,0,0,0,2,16,36,46,28,57,4,12,13,43,15,28,1,47,41,10,21,21,80,62,81,5,10,11,15,4,4,2,2,41,11,1,41,15
13,24,4720.0,45,44,16,78,25,15,10,39,98,26,88,79,87,18,18,12,13,9,91,91,4,52,79,13,3,13,1,7,33,33,93,54,92,89,41,6,15,4,14,13,11,9,4,2,10,9,9,8,6,1,1,9,9,8,7,6,2,2,44,31,30,26,22,15,10,12,8,7,5,14,4,12,53,38,14,10,12,43,29,17,71,42,25,26,19,4,37,7,54,24,1,1,0,0,1,17,46,17,19,46,39,15,0,7,39,31,23,5,39,47,10,14,15,79,67,83,4,8,11,15,4,5,3,3,39,11,0,38,17
14,25,2320.0,76,70,10,83,45,39,29,42,98,22,92,82,92,29,19,11,13,7,91,91,33,68,82,53,9,33,7,13,31,33,96,73,95,91,52,11,30,10,26,25,23,17,7,4,22,18,17,15,9,2,1,16,16,15,13,11,5,3,62,47,45,43,41,31,26,21,27,26,22,26,11,25,72,54,47,16,27,62,43,43,75,55,41,46,22,28,38,25,58,31,15,13,5,10,8,18,17,23,42,42,41,16,1,30,54,8,8,25,55,9,10,28,30,67,62,71,13,26,25,20,10,8,5,4,51,26,2,48,28
15,26,8622.0,78,72,27,87,41,37,20,70,98,26,91,79,91,30,33,25,25,19,90,90,13,65,80,45,4,30,11,10,34,32,95,63,94,94,49,10,34,12,31,30,29,26,19,16,21,20,18,16,14,7,4,24,24,22,20,19,13,11,38,30,27,25,21,15,11,34,29,27,25,26,15,20,75,60,52,24,42,65,49,48,69,44,25,28,29,18,28,23,49,25,7,5,4,4,6,29,40,16,15,39,49,10,2,29,41,18,12,33,43,19,5,29,36,77,80,75,14,28,27,21,8,8,5,6,60,21,4,56,34
16,27,5233.0,48,32,5,74,26,33,17,39,97,32,92,81,92,24,15,9,11,8,90,90,22,52,65,22,3,27,7,7,25,26,92,55,90,88,44,5,20,8,19,17,15,11,8,6,16,15,11,9,6,1,1,12,11,11,11,9,6,5,47,33,32,31,24,19,16,11,13,10,7,19,10,16,38,28,26,7,13,46,27,35,72,54,38,41,20,8,30,15,40,36,4,4,0,3,3,31,25,27,17,34,44,15,7,14,30,27,29,23,39,26,12,17,19,66,66,70,7,12,14,13,5,8,2,5,38,10,2,36,22
17,28,4211.0,50,41,14,79,34,27,13,46,98,22,91,79,91,28,21,14,17,16,92,92,8,57,79,15,4,26,9,10,32,32,97,61,95,95,49,8,31,11,30,30,28,25,19,15,19,19,17,13,11,6,4,25,24,23,23,20,14,11,36,24,21,18,11,5,3,16,11,9,9,19,13,13,50,38,13,7,25,34,25,8,79,50,17,35,30,12,25,34,61,34,9,4,8,5,7,44,36,11,9,40,48,7,5,21,51,19,8,16,48,29,8,25,30,81,73,84,9,16,16,18,8,9,4,3,49,16,3,46,28
18,29,916.0,49,44,9,89,57,21,17,35,98,23,91,88,91,24,24,14,18,9,93,93,12,88,92,81,18,74,10,16,57,44,98,60,94,96,45,7,46,24,45,45,45,44,36,21,45,45,44,44,42,29,11,31,31,31,29,22,10,2,55,43,42,42,38,21,15,8,25,23,22,27,10,23,48,26,9,10,7,40,20,8,81,62,40,48,47,28,51,14,52,33,12,8,10,9,7,22,63,11,4,36,57,0,7,11,52,34,3,27,48,20,5,28,25,80,57,74,11,19,12,20,5,4,1,3,42,4,2,35,17
19,30,3329.0,34,28,8,56,31,12,5,20,95,26,82,71,81,15,14,7,8,5,85,84,4,76,84,58,3,25,0,6,30,28,85,42,79,78,24,3,15,3,15,15,12,11,8,7,14,14,13,11,10,4,1,9,9,8,8,8,7,6,40,36,33,31,27,19,15,1,4,3,3,18,3,17,22,6,4,4,5,18,7,4,63,41,22,29,16,7,35,6,35,28,2,2,0,2,1,7,58,16,19,28,69,1,1,7,83,2,8,7,41,37,15,9,6,70,76,61,1,1,3,7,2,4,0,0,21,3,1,11,6
20,31,613.0,88,87,21,91,52,45,28,72,98,19,97,74,96,53,47,37,38,21,90,89,17,77,89,42,12,44,9,20,42,55,96,62,95,95,49,7,33,19,28,26,25,24,18,15,29,24,22,21,17,9,4,21,20,20,20,18,12,11,51,39,36,31,26,17,12,22,33,29,22,48,32,44,61,46,23,22,20,37,27,16,77,50,25,33,26,14,31,17,59,28,7,6,5,6,6,53,39,4,4,40,51,9,0,21,41,25,12,27,48,19,6,29,39,79,78,86,11,29,35,34,12,12,7,6,60,21,4,64,40
21,32,145.0,92,92,40,95,71,76,58,88,100,18,98,69,97,70,63,54,59,42,95,92,47,93,94,59,34,60,29,41,76,61,99,76,97,99,69,18,44,28,36,35,34,32,25,22,38,31,29,28,21,13,9,28,24,24,23,20,18,14,68,44,44,42,34,20,17,31,59,52,47,67,53,61,75,56,36,21,31,61,46,33,88,58,44,31,34,24,40,17,66,50,14,12,9,11,14,68,30,0,2,73,24,0,3,30,48,19,3,36,55,6,3,32,65,84,76,77,24,39,53,34,15,12,8,12,75,39,10,65,64
22,33,2025.0,97,95,62,95,76,67,47,89,98,18,97,75,95,49,60,41,56,33,92,92,40,82,91,33,10,24,10,20,68,56,98,73,98,98,56,17,25,12,22,20,20,15,13,11,17,16,14,14,11,6,4,16,13,13,11,10,7,6,64,50,46,45,37,23,18,28,63,58,52,59,50,46,63,36,21,14,18,39,22,14,73,43,26,34,17,16,26,9,57,28,2,1,2,2,2,70,22,6,2,72,24,2,3,44,27,23,7,46,40,12,2,31,47,83,83,85,25,45,38,23,11,11,6,4,75,25,9,62,54
23,34,195.0,98,97,18,93,32,62,41,77,94,18,94,65,94,52,47,31,38,31,87,82,27,69,83,39,7,14,6,23,41,39,94,73,94,93,47,2,36,27,28,26,26,25,18,15,12,12,10,9,7,2,2,29,21,20,20,20,16,13,39,24,19,19,12,6,4,8,34,32,26,10,6,6,39,30,11,11,6,34,26,10,76,47,20,33,33,14,28,10,58,35,6,4,3,5,4,66,28,6,0,40,47,13,0,12,44,44,0,14,35,15,36,45,62,95,92,93,32,56,51,31,8,10,8,8,77,56,2,67,59
24,35,131.0,95,95,15,97,35,79,58,84,100,24,99,82,99,61,60,44,40,34,89,85,45,89,93,65,37,64,23,35,61,61,99,77,98,97,58,7,59,52,52,50,43,39,31,20,50,45,42,33,28,11,5,39,35,34,28,25,21,15,69,54,49,43,35,18,12,17,57,52,39,40,26,29,70,56,13,40,21,34,19,5,83,57,32,31,41,16,47,6,63,51,19,13,12,15,14,58,32,8,2,65,31,3,0,23,41,36,0,9,83,9,0,43,72,85,83,88,28,53,55,32,10,10,9,9,82,41,5,81,67
25,36,280.0,95,94,19,76,33,41,25,58,99,30,89,80,85,17,36,23,29,23,80,76,30,62,69,38,7,28,11,21,42,45,95,52,92,91,44,1,25,14,25,21,21,18,14,13,19,19,15,12,8,4,3,16,15,15,15,14,10,10,50,39,34,31,24,16,13,12,46,42,45,21,17,17,41,21,8,14,13,27,22,5,77,40,18,34,23,5,31,3,35,24,6,5,1,4,2,68,20,7,5,89,11,0,0,35,42,12,11,40,39,21,0,21,31,70,54,59,13,39,18,24,11,3,3,17,62,29,5,49,37
26,37,1101.0,90,87,29,85,26,40,15,61,99,27,88,76,88,34,38,27,35,17,95,95,9,72,89,38,7,16,8,14,39,50,99,74,98,95,46,5,8,4,7,7,7,7,5,5,5,5,5,5,4,3,3,5,3,3,3,3,3,2,45,28,22,20,14,9,3,22,23,18,16,34,17,29,42,32,7,8,6,36,29,7,80,43,22,31,14,9,31,5,59,30,3,3,1,2,1,43,46,4,7,52,34,14,1,19,41,27,14,18,66,16,0,22,30,78,62,84,13,29,26,23,4,4,3,3,54,20,3,56,36
27,38,3506.0,92,90,40,91,42,51,32,78,99,22,96,79,94,36,44,32,35,25,93,93,20,73,89,22,5,18,3,14,52,55,98,74,97,97,57,12,18,7,16,15,14,11,8,6,13,11,10,9,6,4,1,13,11,11,10,8,6,4,45,34,28,26,16,6,3,21,34,31,25,31,17,22,35,29,7,11,8,26,23,8,71,40,19,36,16,11,24,11,58,33,4,3,3,3,3,52,37,10,1,50,36,11,3,37,33,20,9,35,46,19,0,44,43,84,79,82,19,37,35,26,9,9,6,8,65,36,5,64,44
28,39,1877.0,90,87,38,87,43,41,18,68,98,20,91,77,91,27,36,24,28,20,93,92,15,66,84,16,2,11,1,10,51,42,97,74,96,96,44,19,13,3,12,11,9,8,5,4,9,8,6,5,4,2,1,9,8,7,7,6,5,4,43,35,31,28,21,10,6,16,23,19,13,36,20,28,47,32,9,10,9,36,24,8,64,34,20,27,13,6,21,9,44,25,2,1,2,2,1,34,28,23,15,40,43,12,5,18,49,25,8,14,48,29,9,28,41,76,66,72,13,25,33,24,8,9,4,6,59,16,2,59,36
29,40,320.0,88,87,29,95,59,58,45,82,100,22,100,74,98,52,62,42,50,35,93,92,21,84,95,35,6,34,11,18,61,64,100,78,98,95,50,14,34,15,26,25,25,23,19,14,28,22,21,19,17,13,4,27,22,22,22,20,15,10,64,38,33,28,20,12,8,25,34,32,16,46,32,36,53,35,20,13,17,48,34,16,74,49,24,40,16,18,25,15,49,24,7,3,6,4,4,55,26,14,5,48,41,11,0,25,51,15,10,15,51,31,3,32,59,83,75,81,21,34,39,32,10,7,2,3,69,34,8,69,54
30,41,949.0,85,83,26,90,48,43,22,69,98,27,94,72,92,39,45,26,41,21,92,91,15,75,87,22,9,19,9,15,58,56,97,72,97,95,47,18,18,4,15,15,14,11,7,6,10,10,9,9,6,2,2,12,9,9,9,9,5,4,45,34,32,29,19,8,2,22,37,33,23,42,27,40,62,40,5,13,11,46,31,5,64,38,23,31,15,9,24,10,39,23,3,2,3,3,1,50,29,16,6,41,49,11,0,20,29,26,25,26,35,30,10,26,38,71,66,71,12,27,29,29,13,10,8,7,59,15,3,58,40
31,42,557.0,91,87,34,91,48,42,34,68,100,21,95,79,95,28,38,28,34,18,97,97,17,68,89,24,4,21,5,16,35,50,99,70,98,98,49,10,25,10,23,23,20,18,13,11,16,16,15,10,6,4,2,17,16,16,16,16,11,8,51,43,38,38,33,26,23,18,22,21,19,40,16,35,53,38,19,13,20,43,26,20,77,56,36,46,20,18,32,26,55,36,5,5,4,3,4,57,26,9,8,54,25,21,0,32,34,32,3,40,22,33,5,31,39,77,73,86,14,22,32,25,7,6,3,5,57,18,3,61,31
32,43,442.0,74,66,23,87,35,33,20,53,100,27,93,73,90,32,33,24,24,19,89,89,11,73,83,44,8,34,6,19,38,44,98,57,96,95,37,12,26,10,23,22,21,17,14,13,23,20,19,19,13,9,5,16,14,13,13,12,9,9,35,20,18,17,15,9,4,20,22,20,13,17,8,12,59,41,22,11,23,41,28,18,67,44,22,29,23,15,27,13,45,29,3,3,0,2,2,34,37,24,5,40,41,19,0,23,33,18,25,18,70,11,0,29,33,67,62,62,8,21,21,24,9,11,5,4,51,26,7,47,35
33,44,3102.0,81,80,25,78,38,27,17,49,99,23,92,83,92,17,26,18,19,10,92,92,13,64,74,15,4,17,3,14,58,35,98,66,97,96,53,16,15,5,14,14,14,13,10,8,11,11,11,10,8,5,3,10,10,9,9,9,6,5,26,18,16,15,11,5,4,9,22,18,14,22,8,20,39,31,5,6,4,26,18,4,73,33,12,26,18,12,18,5,56,30,2,1,1,2,1,51,22,21,7,49,38,14,0,28,40,22,10,37,38,24,1,27,23,84,72,77,6,19,15,20,6,5,3,4,47,12,1,41,22
34,45,288.0,97,95,21,96,40,53,32,85,100,13,100,84,99,29,44,30,38,28,96,93,36,91,96,80,35,85,22,28,51,37,100,69,100,99,66,8,69,42,69,69,69,65,50,43,69,68,68,65,58,44,31,42,41,38,35,29,15,8,65,52,51,50,40,33,28,20,32,31,28,50,29,39,71,63,39,17,23,53,41,27,88,73,46,48,56,51,51,20,63,40,23,19,14,20,16,84,6,10,0,69,31,0,0,24,39,29,9,47,48,4,0,28,38,97,85,83,23,25,26,24,4,4,1,2,73,27,2,69,53
