ID,BedrijfstakkenBranchesSBI93,Bedrijfsgrootte,AantalBedrijven10WerkzamePersonen_1,PersoneelDatWerktMetEenComputer_2,PersoneelDatWerktMetInternet_3,Telewerkers_4,BijscholingEigenICTSpecialisten_5,TotaalWerven_6,OndervondenProblemenBijWerven_7,OnvoldoendeVaardigheden_8,OnvoldoendeOpleiding_9,OnvoldoendeWerkervaring_10,TeHogeSalariseisen_11,Werven_12,ProblemenMetWerven_13,BijscholingEigenPersoneel_14,BinnenNederland_15,TotaalBuitenNederland_16,BinnenEuropeseUnie_17,BuitenEuropeseUnie_18,BinnenEuropeseUnie_19,BuitenEuropeseUnie_20,LAN_21,DraadloosLAN_22,Intranet_23,Extranet_24,Telewerkers_25,NietInternetnetwerken_26,Internet_27,AnaloogModem_28,ISDN_29,TotaalBreedband_30,ADSLSDSLKabelEnDergelijke_31,AndereHoogwaardigeVasteVerbindingen_32,DraadlozeVerbinding_33,TenminsteEenAlgemeneToepassing_34,TrainingEnOpleiding_35,Marktmonitoring_36,FinancieleTransacties_37,KlantondersteuningDoorToeleveranciers_38,ElektronischeOntvangstVanProducten_39,TenminsteEenAangebodenFaciliteit_40,PresentatieEigenBedrijf_41,PresentatieEigenProducten_42,Klantenservice_43,ProductcatalogiEnPrijslijsten_44,TenminsteEenSoortCommunicatie_45,VerkrijgenVanInformatie_46,VerkrijgenVanFormulieren_47,RetournerenIngevuldeFormulieren_48,ElektronischInschrijvenOpAanbesteding_49,ViaExterneNetwerken_50,Verkoopwaarde1VanDeTotaleOmzet_51,Verkoopwaarde2VanDeTotaleOmzet_52,Verkoopwaarde5VanDeTotaleOmzet_53,Verkoopwaarde10VanDeTotaleOmzet_54,VerkoopViaInternet_55,Verkoopwaarde1VanDeTotaleOmzet_56,Verkoopwaarde2VanDeTotaleOmzet_57,Verkoopwaarde5VanDeTotaleOmzet_58,Verkoopwaarde10VanDeTotaleOmzet_59,VerkoopViaNietInternetnetwerken_60,Verkoopwaarde1VanDeTotaleOmzet_61,Verkoopwaarde2VanDeTotaleOmzet_62,Verkoopwaarde5VanDeTotaleOmzet_63,Verkoopwaarde10VanDeTotaleOmzet_64,ViaExterneNetwerken_65,Inkoopwaarde1VanDeTotaleInkoop_66,Inkoopwaarde2VanDeTotaleInkoop_67,Inkoopwaarde5VanDeTotaleInkoop_68,Inkoopwaarde10VanDeTotaleInkoop_69,InkoopViaInternet_70,Inkoopwaarde1VanDeTotaleInkoop_71,Inkoopwaarde2VanDeTotaleInkoop_72,Inkoopwaarde5VanDeTotaleInkoop_73,Inkoopwaarde10VanDeTotaleInkoop_74,InkoopViaNietInternetnetwerken_75,Inkoopwaarde1VanDeTotaleInkoop_76,Inkoopwaarde2VanDeTotaleInkoop_77,Inkoopwaarde5VanDeTotaleInkoop_78,Inkoopwaarde10VanDeTotaleInkoop_79,OpenSourceOperatingSystem_80,ERPSoftware_81,TotaalCRMSoftware_82,OpslagKlantgegevens_83,AnalyseKlantgegevens_84,TotaalOrderverwerkingsystemen_85,OrderverwerkingEnGekoppeldeSystemen_86,Facturering_87,Voorraadaanvulling_88,ProductieLogistiek_89,Toeleveranciers_90,KlantenAfnemers_91,Ontvangen_92,Verzonden_93,DigitaleHandtekening_94,CryptografischeProtocollen_95
10, 3,12,26.0,96,90,40,69,45,39,12,16,6,17,79,18,94,86,20,6,0,20,6,100,33,94,72,94,43,100,29,43,92,45,81,51,100,40,61,92,68,88,100,100,88,43,68,100,94,94,78,26,63,48,42,42,30,63,48,42,42,30,0,0,0,0,0,75,48,48,48,42,75,48,48,48,42,0,0,0,0,0,43,85,46,46,40,94,94,94,55,75,37,33,22,37,77,46
11, 3,13,27.0,96,88,19,56,68,38,19,12,19,38,89,12,89,81,23,12,0,11,11,100,24,70,14,100,7,100,0,23,100,63,67,42,81,25,56,74,44,39,88,88,74,30,33,88,81,63,70,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,7,7,0,0,0,0,0,0,0,0,19,61,30,30,30,82,82,82,30,50,30,0,11,7,42,0
12, 4,14,7226.0,38,34,10,4,1,0,0,0,0,0,22,1,14,42,2,0,0,2,0,79,12,14,5,25,1,100,15,27,82,79,12,7,92,5,31,85,26,29,71,71,24,5,4,80,63,69,71,8,14,14,12,10,7,14,14,12,10,7,0,0,0,0,0,32,30,27,25,17,32,30,26,25,16,0,0,0,0,0,3,14,11,10,3,57,54,53,3,13,13,3,2,1,34,1
13, 4,11,6347.0,26,23,2,2,0,0,0,0,0,0,17,1,10,38,1,0,0,1,0,76,11,10,3,19,0,99,15,29,80,78,11,5,92,5,29,84,24,28,68,68,22,4,4,79,61,68,69,7,15,14,12,11,8,15,14,12,11,8,0,0,0,0,0,30,29,26,25,17,30,29,26,25,17,0,0,0,0,0,2,10,7,7,1,55,53,52,2,11,12,3,2,1,33,1
14, 4,12,772.0,39,34,8,12,3,1,1,0,1,0,54,4,43,66,8,3,0,4,0,95,18,37,12,58,4,100,8,16,92,85,17,16,95,10,43,90,31,34,92,92,40,8,6,88,73,79,84,13,13,12,10,7,4,13,11,10,7,4,0,0,0,0,0,44,37,32,26,15,42,36,30,24,13,3,3,3,3,3,7,40,33,27,14,64,62,60,10,24,15,6,3,2,39,4
15, 4,13,107.0,57,50,23,54,17,9,9,3,6,4,70,7,68,71,6,3,3,3,3,100,28,82,39,91,14,100,8,24,100,81,49,53,97,30,77,83,52,72,97,97,70,20,7,93,82,84,82,30,10,10,8,7,5,10,10,8,7,3,2,2,2,2,0,53,50,46,41,25,53,50,46,38,23,7,7,5,5,5,21,59,59,49,44,86,82,82,14,37,25,12,17,4,24,3
16, 5,14,15124.0,61,45,13,11,6,4,3,2,3,2,32,3,18,47,10,6,0,4,0,87,24,32,14,45,16,98,13,25,84,76,20,11,91,16,41,84,35,30,79,79,55,21,29,78,62,63,71,3,36,29,26,22,17,31,24,21,18,12,8,8,7,6,5,48,40,36,33,27,44,37,32,29,23,7,6,6,6,5,9,28,27,20,19,80,73,69,30,29,20,11,10,9,32,9
17, 5,11,13114.0,65,53,12,7,4,3,2,1,2,2,28,2,14,45,8,5,0,3,0,85,23,28,12,40,13,98,13,26,82,76,17,9,90,15,40,84,33,28,78,78,53,20,27,77,61,62,70,3,35,28,25,21,16,31,24,21,18,12,6,6,5,5,4,48,40,36,33,27,45,38,33,30,24,5,5,5,5,4,8,23,25,18,18,78,72,67,29,24,18,9,8,7,32,8
18, 5,12,1736.0,71,55,18,36,18,11,8,4,8,4,57,8,44,60,16,11,1,7,2,97,34,52,25,75,36,99,17,16,96,78,38,25,96,23,46,85,45,41,85,85,67,27,43,86,72,71,79,5,45,37,34,29,23,35,27,23,19,14,22,19,18,15,13,46,39,35,31,24,40,32,26,22,14,18,15,14,13,9,14,65,42,33,32,91,86,83,44,57,31,28,17,22,28,19
19, 5,13,274.0,52,31,12,64,41,28,20,10,17,13,62,14,64,67,31,19,6,14,8,99,47,82,44,84,51,99,10,16,95,66,62,33,90,32,57,82,50,54,91,91,67,45,39,88,80,69,70,11,52,41,37,31,27,45,31,27,20,15,29,24,23,21,16,65,54,48,43,38,52,42,34,29,22,34,31,30,28,24,27,57,31,26,25,89,87,83,40,69,46,28,30,32,38,31
20, 6,14,3545.0,31,25,5,1,2,1,0,0,0,0,15,1,7,24,2,0,0,1,0,52,18,12,6,14,3,98,13,21,84,81,10,8,88,6,29,80,16,27,81,81,42,13,33,62,47,51,52,2,31,26,25,23,18,31,26,24,22,17,1,1,1,1,1,37,30,28,25,20,36,28,27,24,19,2,2,2,2,2,2,3,8,6,6,43,37,32,4,8,7,3,4,2,20,5
21, 6,11,3321.0,26,20,2,0,1,0,0,0,0,0,11,1,5,21,1,0,0,1,0,49,16,10,5,11,3,98,13,21,84,81,9,7,87,6,28,79,14,27,80,80,42,11,32,60,45,49,50,1,30,25,24,21,17,30,25,23,21,16,0,0,0,0,0,36,28,27,24,19,35,27,26,22,18,2,2,2,2,2,1,2,7,6,6,41,35,30,3,7,6,3,4,2,19,4
22, 6,12,192.0,34,25,4,4,2,1,0,0,1,1,54,5,31,59,5,2,0,5,0,90,34,44,15,46,11,100,17,24,86,77,19,20,95,11,39,80,27,33,85,85,46,32,43,89,74,76,85,6,53,43,38,36,30,53,43,38,36,30,4,4,4,4,4,51,42,38,35,25,51,42,38,35,25,1,1,1,0,0,7,8,16,12,10,67,59,54,6,18,19,8,12,1,31,16
23, 6,13,32.0,37,34,9,64,72,38,30,13,15,20,90,31,85,85,28,9,4,13,6,100,52,65,49,94,36,100,0,8,96,71,44,22,87,38,57,87,55,45,91,91,57,43,39,72,63,58,52,5,43,38,38,38,32,43,38,38,38,32,10,10,10,4,4,70,70,70,57,46,61,64,64,52,41,22,22,22,13,13,29,48,44,44,33,83,83,72,20,26,43,15,20,20,23,26
24, 7,14,4316.0,43,32,8,7,6,3,3,1,2,2,27,6,13,37,6,4,1,2,1,79,18,27,11,40,15,99,15,25,87,81,15,10,87,7,24,81,22,26,65,65,29,13,9,80,65,68,75,5,39,34,33,31,23,36,30,28,26,19,10,8,8,7,7,34,28,23,20,15,33,27,22,19,13,4,4,3,2,1,9,11,10,8,6,61,55,54,5,26,9,10,4,7,30,10
25, 7,11,3417.0,33,30,6,2,3,1,1,0,1,1,20,5,8,28,4,2,0,1,0,74,14,19,6,33,9,100,16,28,86,82,11,4,85,4,20,80,18,23,60,60,24,8,8,77,63,66,73,5,33,30,28,26,17,31,27,25,23,15,5,4,4,4,3,29,23,18,15,11,29,22,18,15,10,2,2,2,1,0,5,6,6,5,4,57,50,49,2,19,5,6,2,6,30,7
26, 7,12,769.0,41,33,9,19,12,6,4,1,4,4,49,10,27,70,12,9,3,4,2,97,29,48,20,58,36,97,10,18,89,81,23,28,94,13,33,85,33,33,85,85,45,29,10,91,75,79,86,1,63,52,50,48,45,52,42,40,39,35,29,21,21,20,17,50,43,40,35,26,46,39,35,30,24,13,10,8,8,4,17,25,22,16,10,77,73,70,17,53,21,25,9,12,25,19
27, 7,13,130.0,47,32,9,56,49,33,33,15,27,11,70,21,65,76,30,15,9,7,12,98,44,78,63,93,52,100,7,12,98,56,67,38,96,50,57,74,67,59,90,90,66,40,36,78,76,60,60,6,69,59,55,52,38,51,39,35,29,19,42,36,34,32,26,68,58,54,44,32,65,55,51,41,29,14,13,12,12,8,38,41,47,36,29,83,81,74,18,50,38,31,27,23,49,34
28, 8,14,10755.0,82,76,23,24,17,12,9,6,8,5,51,10,32,53,8,3,1,4,1,89,25,40,19,63,6,99,14,17,91,82,25,19,94,17,30,88,30,47,87,87,53,21,14,86,73,74,76,10,23,19,18,16,11,22,19,17,15,11,2,1,1,1,1,45,40,36,32,24,45,40,36,32,24,1,1,1,1,1,15,20,34,29,19,59,54,52,6,13,9,8,8,6,40,8
29, 8,11,8804.0,83,78,25,20,15,10,8,5,7,4,48,9,27,50,6,2,1,4,1,88,24,36,16,60,5,99,15,18,91,84,21,17,94,15,28,88,28,46,87,87,51,20,13,85,72,73,76,8,22,19,17,16,11,22,19,17,16,11,2,1,1,1,1,44,39,36,32,24,44,39,36,32,24,1,1,1,1,0,14,17,32,28,18,57,52,50,5,12,8,7,6,5,38,7
30, 8,12,1615.0,79,71,23,37,23,13,11,7,8,6,65,12,48,63,14,6,3,6,2,93,29,53,26,73,10,99,15,16,93,78,40,27,94,25,34,87,37,49,90,90,62,23,17,88,77,77,78,13,24,20,18,16,12,23,20,17,15,11,3,2,2,2,2,49,43,36,34,23,49,43,35,33,22,3,3,3,3,1,18,32,43,38,24,66,62,59,8,20,13,11,12,9,46,11
31, 8,13,336.0,83,77,21,54,43,36,30,13,27,15,75,26,66,71,20,11,5,11,8,98,31,73,41,84,19,99,6,12,96,57,62,34,96,38,52,82,52,60,96,96,64,33,16,92,81,82,76,25,27,22,18,17,11,26,20,17,14,9,7,4,4,3,3,54,47,40,35,26,53,46,39,34,25,6,4,4,4,3,24,32,44,35,26,67,64,61,10,26,20,19,16,12,49,13
32, 9,14,3544.0,59,48,8,20,12,9,6,4,6,5,47,8,46,63,3,1,0,2,0,87,17,41,14,58,13,100,11,23,89,81,18,14,88,10,22,79,21,24,84,84,38,11,14,78,70,67,52,6,14,12,10,9,7,13,11,9,9,6,1,1,1,1,1,41,33,29,25,15,41,32,29,24,14,2,1,1,1,1,12,6,13,9,7,47,44,40,8,14,9,5,6,19,33,6
33, 9,11,2018.0,61,51,9,4,1,1,0,0,1,0,31,1,24,51,3,1,0,1,0,78,12,23,8,47,5,100,11,27,85,80,9,10,85,5,15,77,13,16,79,79,23,10,11,71,60,56,40,4,12,11,10,10,7,12,11,10,10,7,0,0,0,0,0,34,26,23,19,14,34,26,23,19,14,0,0,0,0,0,9,4,12,9,5,40,37,33,10,5,6,1,7,20,29,5
34, 9,12,934.0,50,39,6,26,18,14,10,7,9,6,66,17,72,83,2,1,0,1,0,99,13,58,19,65,16,99,15,23,91,87,14,16,91,10,23,83,24,22,87,87,56,15,20,87,83,87,69,9,21,20,15,12,10,18,17,13,9,8,3,3,3,3,2,43,41,38,35,16,43,41,38,35,15,2,1,1,1,1,9,8,14,8,11,53,53,52,3,23,8,11,1,19,37,7
35, 9,13,592.0,60,49,8,62,41,29,22,14,18,20,74,19,78,76,4,0,0,3,1,100,36,73,28,79,36,100,5,9,100,79,49,25,94,28,40,82,43,49,95,95,63,10,18,89,84,79,65,8,11,7,6,5,5,8,6,5,4,3,4,2,2,2,2,59,43,35,29,18,58,41,34,27,17,6,4,4,2,2,24,12,14,11,7,61,57,50,12,30,21,9,9,15,44,4
36,10,14,2967.0,54,48,9,12,8,5,3,1,3,2,38,2,23,49,4,1,0,3,0,82,24,29,12,43,2,98,8,17,91,80,20,10,90,10,23,82,23,38,90,90,56,20,34,77,68,65,57,4,20,15,13,12,9,20,15,13,12,9,1,0,0,0,0,43,33,26,23,14,43,33,26,23,14,1,1,1,1,0,10,8,16,13,10,47,43,39,4,13,7,7,4,2,23,5
37,10,11,2548.0,62,51,7,7,4,3,2,1,1,1,33,2,18,44,3,1,0,2,0,80,22,26,9,37,2,98,8,18,89,81,17,8,89,8,21,81,19,34,89,89,52,17,32,74,66,63,54,3,16,13,12,11,8,16,13,12,11,8,0,0,0,0,0,41,32,23,20,13,41,32,23,20,12,1,1,1,1,0,7,5,11,9,8,44,40,35,3,10,6,7,3,1,22,3
38,10,12,364.0,64,60,12,33,18,9,7,2,6,3,61,5,43,74,8,2,0,5,3,96,28,45,25,70,4,100,11,12,97,81,35,22,94,17,29,85,39,54,94,94,75,31,45,89,77,75,75,6,35,24,18,16,13,35,24,18,16,13,1,0,0,0,0,52,42,37,35,24,52,42,37,35,22,2,2,2,2,0,27,21,37,32,20,64,58,56,10,24,12,6,8,6,29,11
39,10,13,55.0,44,39,9,72,55,47,14,10,30,37,79,15,69,75,9,5,0,9,0,94,35,71,35,84,11,100,6,0,100,50,63,21,91,20,45,79,52,61,100,100,79,43,44,82,80,69,66,18,46,33,31,26,16,46,33,26,26,16,5,5,0,0,0,67,49,43,35,16,67,49,43,35,16,5,5,0,0,0,28,39,38,30,25,78,78,72,20,34,16,18,9,12,34,38
