ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswondenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20172019_7,k_31122019_8,k_31122018_9,k_31122017_10,Gemiddelde20172019_11,k_31122019_12,k_31122018_13,k_31122017_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleiden_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122018_25,PersonenMetBijstand31122019_26,WajongUitkeringen31122019_27,PersonenMetLoonkostensubs31122019_28,PsychischMedicijngebruikOuders2019_29
167,GM0417,6020,2210,5000,1620,1180,150,30,20,30,30,40,30,30,40,5300,38000,1500,40600,2000,200,200,5,0,8,1150,130,80,10,60
168,GM0080,82430,22590,63340,16910,12780,1760,1200,1140,1210,1250,1330,1260,1350,1380,61100,21200,16500,23500,21900,3600,3200,63,8,13,16580,6450,2370,130,1380
169,GM0546,89670,19480,68700,15420,11240,1400,750,720,750,780,870,820,880,910,63700,22500,15000,27300,19300,2700,2500,71,6,8,15510,3710,1580,110,1190
170,GM0547,16540,5260,12120,4220,2980,330,100,90,100,100,120,100,130,140,12100,27800,4200,28800,5400,400,400,14,1,10,2310,430,280,20,270
171,GM1916,46600,14860,36720,11560,8510,1140,480,470,470,500,530,530,530,540,35800,27900,10600,29700,13200,1600,1500,37,4,10,8250,2110,710,40,640
172,GM0995,50550,17100,34340,13050,9460,1500,640,590,640,680,690,620,690,760,33600,23100,12200,23200,16400,3000,2700,40,8,20,9650,2380,1430,120,760
173,GM1640,22520,5830,15770,5180,3280,330,70,60,60,70,90,80,90,90,15800,25500,5400,27500,6300,500,400,20,3,16,3120,400,430,40,210
174,GM0327,18720,6210,13040,4760,3430,320,60,60,60,60,80,80,80,80,12600,29000,4500,29700,6100,300,300,17,2,11,2300,370,280,10,300
175,GM1705,29040,9380,19610,7530,5360,470,100,100,100,100,140,150,150,140,19400,25200,7400,26700,9700,700,700,24,4,16,3670,630,550,40,480
176,GM0553,14210,4360,10230,3560,2460,260,50,50,60,60,70,60,70,70,9900,26400,3400,27200,4500,400,400,11,2,18,1680,260,170,10,190
177,GM0262,19530,6040,14790,4680,3250,290,100,90,100,100,120,110,120,130,14800,27300,4600,28400,6100,600,500,16,2,15,2980,530,420,30,220
178,GM0809,14730,4270,10130,3630,2480,240,80,70,80,80,80,70,70,90,10000,25500,3600,26500,4300,400,300,11,2,17,1910,270,230,40,270
179,GM0331,9520,3050,5650,2400,1600,170,40,30,40,40,60,60,60,60,5400,26900,2300,28200,3300,300,300,8,2,29,1100,160,150,20,110
180,GM0024,5970,1780,4300,1360,970,90,50,40,40,60,60,50,50,60,4500,23300,1500,24100,2000,200,200,5,1,15,1030,250,170,20,100
181,GM0168,13920,4260,9390,3500,2360,260,90,90,100,100,110,100,110,120,9600,23400,3400,25000,4300,400,400,11,2,16,2310,360,560,30,130
182,GM0263,16410,4800,10590,3970,2680,250,60,60,60,60,70,70,70,80,10000,26000,3900,27700,4900,400,400,12,3,22,2080,270,190,20,220
183,GM1641,14790,3510,10650,3310,2060,170,60,60,60,50,70,70,70,70,11100,24900,3400,27700,3700,300,300,12,2,17,2500,330,640,30,130
184,GM0556,20300,6360,14980,5080,3640,490,230,220,230,230,290,270,290,310,14700,24800,4800,25400,5900,1000,900,17,4,22,3580,980,380,30,280
185,GM0935,82700,15710,68900,13710,9240,1310,770,720,780,830,810,770,820,850,62600,21100,14000,25100,15700,3100,2600,60,9,15,19610,4110,2260,140,930
186,GM0420,28390,8980,19040,6980,4840,520,130,130,130,140,170,150,170,180,18600,24800,6700,26500,9100,800,700,24,5,19,3980,560,800,60,380
187,GM0938,11340,3020,8490,2760,1780,180,40,30,30,40,50,50,50,60,8600,26700,2800,28900,3200,300,300,10,1,12,1660,270,230,20,160
188,GM1948,51820,15490,34620,12680,8610,880,210,210,210,210,270,260,280,280,33500,25500,12300,27000,16100,1500,1400,43,9,21,6930,960,840,150,720
189,GM0119,21570,6870,15420,5140,3840,450,180,180,180,180,200,200,190,200,14900,23500,5000,24600,7000,800,600,17,2,14,3280,820,630,30,400
190,GM0687,30170,9530,23050,6970,5140,650,370,340,370,390,390,370,380,420,22700,24000,6700,25000,9300,1300,1100,25,4,17,5440,1410,690,40,440
191,GM1842,12400,4050,7830,3220,2210,200,30,30,30,30,50,50,50,40,7500,29900,3100,31100,4100,200,200,12,2,15,1310,160,120,10,150
192,GM1731,20570,6060,14490,4850,3350,330,90,80,90,100,120,110,130,140,14500,24200,4800,25300,6500,600,600,18,3,17,3000,570,470,30,250
193,GM1952,38330,11080,27750,9050,6360,850,440,410,440,470,480,450,470,530,28100,22300,9200,23200,11700,1800,1600,31,6,18,7980,2070,1600,90,580
194,GM0815,7000,1920,4560,1660,1060,100,20,20,20,20,30,30,30,20,4500,25100,1600,26900,2100,200,100,7,2,24,870,120,130,20,80
195,GM1709,23520,6850,16340,5660,3900,410,130,120,120,130,150,130,150,160,16000,25900,5600,27000,7200,600,600,20,3,17,3370,560,300,30,370
196,GM1978,27570,10030,16800,7030,4940,360,80,80,90,90,120,110,130,130,16500,27500,6900,28500,10500,500,600,24,5,19,3450,360,340,50,480
197,GM1955,22720,6140,15680,5510,3560,360,80,90,80,80,100,100,100,110,15100,23800,5400,25100,6400,700,700,19,4,21,3290,450,580,50,290
198,GM0335,8760,3050,5650,2290,1610,140,30,30,30,40,50,50,50,50,5400,28600,2200,29600,3200,200,200,6,1,21,890,130,80,20,90
199,GM0944,4750,1310,3550,1120,760,80,20,20,20,20,20,20,20,30,3500,29300,1100,29400,1400,100,100,3,0,10,660,110,80,0,60
200,GM1740,15130,6040,9150,3930,2810,210,60,60,60,70,90,90,90,100,8400,24300,3600,25400,5700,400,500,13,3,23,2240,310,240,20,300
201,GM0946,10720,2860,7310,2520,1600,140,30,20,30,30,40,30,40,50,7200,24800,2600,26800,3100,300,300,9,2,21,1340,160,210,10,110
202,GM0356,40860,11890,29330,9880,6870,920,320,320,310,320,350,350,340,370,28100,25100,9500,25900,11500,1300,1200,34,5,16,6010,1420,740,50,650
203,GM0569,18340,5510,11810,4530,3060,260,50,40,50,50,70,70,70,90,11400,27400,4200,28700,5400,300,300,16,3,18,2400,280,550,20,200
204,GM0267,27130,9650,17450,7020,5070,390,100,100,100,100,130,130,140,130,16600,26000,6500,26500,9300,600,700,22,4,18,3470,550,470,30,430
205,GM0268,124780,29230,96640,22500,16640,2260,1600,1550,1600,1650,1670,1590,1670,1750,92700,20500,21000,24900,27600,4700,4100,95,9,10,23680,8170,3430,160,1670
206,GM1930,54900,16060,38590,13890,9480,1580,770,730,760,810,780,760,770,820,38400,24900,13400,25500,15200,2400,2100,45,8,19,10300,2670,1260,30,780
207,GM1970,28000,9450,19440,6900,4930,480,210,190,210,240,250,210,240,290,19700,21900,7000,22600,9700,1100,1200,23,5,21,5200,1110,940,90,530
208,GM1695,4430,1110,3590,930,640,50,20,20,20,20,20,20,30,20,3600,24300,1000,25400,1200,100,100,3,1,24,700,110,50,0,70
209,GM1699,18230,5690,13910,4500,3170,320,120,120,120,110,150,150,150,160,14000,25100,4500,25500,5900,600,600,15,2,13,3120,620,410,20,260
210,GM0171,30200,10680,19420,7230,5430,540,230,220,230,240,300,270,300,320,19300,23800,7100,24200,10600,1200,1200,25,4,18,4840,1020,690,90,450
211,GM0575,27580,7860,19680,6520,4510,520,80,70,80,80,110,100,110,120,19200,26900,6200,28700,7700,700,700,23,4,16,4120,540,780,30,330
212,GM0820,13800,4370,10140,3570,2420,260,70,60,70,80,110,100,110,120,9800,29700,3400,30900,4200,300,300,13,1,10,1910,390,170,20,190
213,GM0302,17070,6200,10930,4290,2980,220,60,60,60,70,80,80,70,80,10800,24600,4000,25400,6000,400,500,13,3,24,2690,330,470,40,310
214,GM0579,15270,5520,10770,4000,3000,290,70,80,70,60,80,90,80,80,10300,32700,3500,34400,4900,300,300,12,1,9,2230,380,240,10,250
215,GM0823,12000,3390,7710,2900,1850,170,30,30,30,20,40,40,40,40,7500,27200,2800,29100,3600,200,200,9,1,14,1440,160,120,20,130
216,GM0824,16020,4850,11260,3900,2640,300,60,60,60,50,80,80,90,90,11300,27700,3900,29500,4800,500,400,13,2,17,2290,320,300,30,200
217,GM1895,23530,6550,18110,5430,3790,500,300,290,300,320,350,340,360,360,18400,21300,5500,22500,6700,1100,1000,18,4,21,5510,1620,980,80,330
218,GM0269,14810,5270,9160,3830,2670,170,70,70,70,60,90,90,90,90,9000,23800,3700,25100,5100,300,400,13,3,27,2280,330,270,40,290
219,GM0173,19330,6350,14040,4880,3470,380,120,120,120,140,150,150,150,160,14200,24300,4900,26100,6700,700,700,16,3,16,2860,630,530,50,220
220,GM1773,11540,3490,7570,2780,1920,170,40,40,40,40,60,60,60,60,7600,24700,2700,26500,3600,300,300,9,1,14,1530,240,380,10,160
221,GM0175,10980,3650,7470,2640,1840,160,40,40,40,40,60,60,60,60,7300,24800,2500,25200,3500,300,300,9,2,19,1710,250,330,40,130
222,GM1586,18660,5650,12430,4420,2970,230,70,60,70,70,90,80,90,100,12700,24400,4400,26000,6000,400,400,16,3,18,2240,360,380,30,180
223,GM0826,34920,10450,25060,8540,5980,700,240,210,240,250,290,250,300,320,24000,25600,8100,26500,10200,1300,1100,28,5,16,5540,1000,570,80,600
224,GM0085,15570,4630,11260,3680,2510,320,130,120,120,130,140,130,130,150,11600,22400,3700,23600,4900,600,500,12,2,18,2870,620,600,40,210
225,GM0431,6190,1910,4080,1720,1170,120,30,30,30,30,40,40,40,40,3900,27900,1500,29800,1800,100,100,6,1,14,690,120,50,0,80
226,GM0432,7530,2270,5020,1850,1250,120,20,20,20,30,30,20,30,30,4700,25600,1800,27400,2400,200,100,7,1,21,810,90,130,10,70
227,GM0086,18540,5960,12580,4520,3160,310,130,120,120,140,150,150,150,170,12900,23600,4500,24600,6300,600,600,15,2,16,3110,660,610,30,290
228,GM0828,59650,17210,40560,14480,9800,1080,390,380,390,410,460,440,460,490,39200,24800,13900,26000,17700,2200,1900,48,10,21,9570,1830,1380,370,930
229,GM1509,24450,7110,17080,5900,3930,400,140,140,140,150,190,180,190,200,17300,23100,5900,24500,7700,800,800,20,4,19,3590,740,540,50,300
230,GM0437,8800,2900,6310,2280,1630,200,50,40,50,50,50,50,50,50,6000,30700,2100,34600,2800,200,200,7,1,13,1150,200,120,10,100
231,GM0589,6380,2120,4270,1610,1130,120,30,20,30,30,30,30,30,30,4100,27900,1500,30100,2100,200,200,5,1,17,660,100,70,0,80
232,GM1734,30320,10340,19730,8000,5740,530,140,150,140,140,170,180,180,170,19200,25700,7700,26900,10500,900,800,26,4,15,3880,720,540,50,500
233,GM0590,19780,6330,14080,5140,3550,470,140,140,150,140,170,150,180,170,14100,26200,5100,26800,6600,600,500,17,2,14,2880,580,330,50,370
234,GM1894,27520,7670,18250,6610,4230,340,80,70,80,80,100,90,110,120,18300,24500,6700,26300,8200,600,600,24,5,19,3450,440,610,90,280
235,GM0765,7620,2210,5550,1850,1270,170,120,120,120,130,150,150,150,160,5600,20700,1900,21000,2300,500,500,6,2,29,1870,550,310,10,110
236,GM1926,36200,13440,21510,10060,7500,740,150,140,160,150,190,180,190,200,20000,28500,9200,29900,13000,900,900,30,4,15,4080,610,690,30,610
237,GM0439,53080,14720,36650,13530,8930,1360,440,400,440,500,470,410,470,510,36200,24300,13200,25700,15000,1900,1600,43,6,15,7690,1770,1430,40,680
238,GM0273,14900,5110,9610,3750,2580,240,40,40,30,50,70,60,60,80,9900,25600,3700,26600,5200,500,500,13,3,23,2100,240,260,40,250
239,GM0177,23500,7320,15670,5710,3900,320,90,80,90,100,120,110,120,130,15500,24600,5600,26200,7500,600,600,21,4,17,2800,460,580,20,320
240,GM0703,14120,5620,9060,3520,2660,200,60,50,60,60,90,80,90,90,8800,24100,3400,25300,5500,400,500,11,3,27,2130,270,160,20,290
241,GM0274,18120,5530,14570,4230,3080,330,120,110,120,130,160,150,170,170,15200,27300,4200,29700,5600,600,600,15,2,12,3210,730,540,40,290
242,GM0339,3490,1380,2090,890,680,50,10,10,10,10,10,10,10,10,1800,26900,800,27200,1300,100,100,3,1,28,350,30,30,0,40
243,GM1667,8240,2630,5490,2010,1370,120,20,10,20,20,20,20,30,30,5200,25700,2000,27700,2500,200,200,9,2,17,970,110,110,20,120
244,GM0275,26310,7560,21130,6060,4340,570,250,250,270,240,290,280,300,300,21500,24200,5900,25600,7700,1100,1000,20,4,17,4950,1120,1100,60,440
245,GM0340,12300,4350,8290,3030,2210,190,50,40,50,60,70,60,70,80,8100,25700,2800,26500,4300,400,400,11,2,18,1960,270,360,20,190
246,GM0597,27790,8430,20800,7050,4710,640,250,260,240,240,280,290,280,260,20800,25100,6600,26100,7800,900,900,23,5,23,4460,1030,440,40,410
247,GM1742,23400,9190,14330,6240,4420,280,90,80,90,90,130,130,120,130,14200,24400,6000,25100,9400,600,700,19,4,20,3200,480,510,60,430
248,GM0603,33530,10560,26470,8200,6150,930,450,470,440,440,480,490,470,470,24700,25100,6600,25800,7600,1400,1200,25,3,10,6120,1590,590,50,500
249,GM1669,12480,3190,9360,2950,1880,210,60,60,60,70,70,60,70,80,9300,25000,3000,26300,3300,400,300,11,2,16,2080,300,280,20,130
250,GM0957,37440,10170,28010,8490,5910,820,430,400,440,450,470,440,480,490,27500,23200,8200,24400,10000,1800,1600,29,5,16,7270,1960,950,100,530
251,GM0736,28330,8610,19130,7270,4930,530,120,110,120,130,150,130,160,170,18000,30200,6900,32100,8700,700,600,24,4,15,3540,510,290,10,330
252,GM1674,49160,14090,35290,11520,7980,1020,460,450,460,480,550,530,550,580,35100,24200,11500,25500,14200,2100,2000,39,7,17,9070,2140,1030,80,710
253,GM0599,447480,122810,328280,96070,69390,14110,9910,9240,9850,10650,10180,9350,10150,11050,314500,21800,89500,22900,111100,31000,27900,324,53,16,102590,38840,8380,400,5170
254,GM0277,950,390,690,270,210,10,0,0,0,0,0,0,0,0,600,40300,200,42200,300,0,0,1,0,2,110,10,0,0,10
255,GM0840,14830,3590,9930,3550,2180,180,70,60,70,80,70,70,70,80,9600,24500,3300,26100,3400,300,300,11,3,25,2470,360,220,10,190
256,GM0441,28250,8700,20550,6950,4760,530,110,110,110,110,140,140,150,150,20400,25200,6900,26500,9200,800,700,24,4,15,3930,620,690,20,290
257,GM0279,6070,2250,3960,1540,1100,90,20,20,20,20,30,30,20,30,3800,25200,1500,25800,2300,100,200,4,1,20,710,90,100,10,120
258,GM0606,52660,14860,37560,12460,8690,1440,790,720,790,870,810,730,800,900,36600,22600,11800,23200,13900,3000,2700,40,7,18,10740,2690,900,70,630
259,GM0088,580,120,540,110,70,10,0,0,0,0,0,0,0,0,500,23800,100,24000,200,0,0,0,0,24,90,10,10,0,10
260,GM1676,19920,5820,15520,4560,3160,310,100,100,110,100,130,130,140,140,15600,25900,4500,26400,6000,600,600,18,4,22,3110,500,310,60,290
261,GM0965,6430,1700,4940,1520,1000,110,30,30,30,30,40,40,40,40,5000,23900,1600,25500,1700,200,100,5,1,13,1010,150,150,10,80
262,GM1702,7430,2150,4690,1750,1140,80,10,20,10,10,30,30,30,30,4900,25400,1700,27700,2300,200,200,8,2,18,960,100,260,20,80
263,GM0845,18100,5940,11990,4630,3230,270,40,40,40,40,70,60,70,70,11900,27700,4400,29400,5900,400,400,14,3,20,2310,280,370,50,240
264,GM1883,58700,14270,45140,12990,8580,1090,540,510,540,560,590,560,600,610,45900,23300,13400,24800,15000,2500,2100,45,8,18,11850,3050,1930,100,880
265,GM0610,15600,5440,10430,3820,2770,320,140,140,130,140,150,150,150,160,11000,23700,3700,25100,5300,500,500,12,3,24,2810,530,780,50,330
266,GM1714,13680,3560,11280,3070,2050,200,50,50,50,60,60,50,50,80,11400,24500,3200,26500,3600,400,400,12,2,20,2530,290,210,20,140
267,GM0090,35170,11250,25030,8440,6060,760,410,380,410,450,450,420,460,490,25200,22500,8300,23300,11300,1500,1400,27,5,20,7180,2020,1400,80,730
268,GM0342,28620,9310,20640,7220,5170,540,170,170,160,180,220,210,230,230,20400,28100,6800,29200,9300,1000,1000,23,3,12,4190,800,520,30,410
269,GM0847,12660,3470,8190,2940,1890,150,30,30,30,40,60,50,60,70,7900,24900,2900,27200,3500,400,300,11,2,17,1650,230,210,20,110
270,GM0848,10520,3550,7260,2770,1980,180,50,50,50,60,80,70,80,90,7000,29300,2600,29900,3500,300,300,9,1,13,1330,250,200,20,140
271,GM0037,19260,5570,14590,4530,3100,370,210,200,210,220,240,230,230,250,14900,21200,4600,22300,5900,1000,900,15,3,21,4400,1070,850,120,280
272,GM0180,10630,4680,5960,2810,2030,100,20,20,20,30,40,40,40,50,5600,24300,2700,24500,4700,300,400,8,2,27,1270,150,170,20,110
273,GM0532,13420,4340,9160,3430,2390,270,80,70,80,90,100,90,90,100,9100,24300,3400,25500,4500,500,400,11,3,26,1880,300,360,30,180
274,GM0851,15740,4160,11260,3500,2380,220,80,70,70,90,110,100,100,120,10700,24500,3400,26500,4200,400,400,12,2,20,3100,410,210,10,200
275,GM1708,27400,8550,19360,6530,4590,470,170,160,170,190,200,200,200,220,19000,23400,6300,24100,8800,1000,1000,23,4,18,4400,880,660,90,390
276,GM0971,15170,3800,11610,3640,2340,240,60,60,60,70,70,70,80,80,11400,24500,3700,26000,4000,400,400,14,2,15,2460,340,300,0,220
277,GM1904,40580,13280,28240,10510,7450,730,190,180,180,190,220,210,220,230,27700,28900,10300,30500,13200,1000,900,35,6,16,5440,890,460,30,580
278,GM1900,55250,18100,39930,13260,9610,1030,510,490,510,540,610,560,610,650,40000,23400,13300,24700,19100,2100,2000,50,8,17,9510,2580,1440,80,780
279,GM0715,33090,9390,25690,7670,5350,670,290,270,290,300,310,280,300,340,25500,24200,7600,25400,9300,1300,1100,27,6,21,6930,1140,630,50,500
280,GM0093,3170,710,2550,590,390,40,0,0,0,0,0,0,0,0,2500,22500,600,28000,800,100,100,2,0,9,330,20,20,0,20
281,GM0448,8330,2220,6410,1820,1240,130,20,20,30,30,40,30,30,40,6400,23800,1800,25200,2500,300,300,5,1,18,1170,140,200,10,80
282,GM1525,24110,7550,15870,6070,4310,450,50,50,40,60,90,80,80,90,15100,29100,5800,30900,7600,400,400,21,2,11,2820,350,310,30,340
283,GM0716,16060,5690,10500,3940,2860,240,80,70,90,90,100,80,100,110,10400,23800,3900,25200,5800,500,600,14,3,21,2560,350,260,30,330
284,GM0281,28020,8150,18730,6660,4590,560,260,250,260,270,320,290,320,360,18100,23800,6700,24300,8800,1400,1300,22,5,24,5320,1310,760,110,440
285,GM0855,150570,39000,108880,31110,22310,3270,1840,1770,1820,1930,2030,1910,2000,2170,105300,21400,29400,24400,37900,6400,5800,118,17,14,25250,7850,3110,360,1990
286,GM0183,13760,4400,8160,3530,2250,180,20,30,20,30,40,30,40,40,8000,25300,3500,27100,4900,300,300,11,3,22,1350,160,220,20,130
287,GM1700,21260,7570,13180,5570,3840,370,150,140,150,160,160,150,160,180,13200,22700,5500,23400,7800,700,800,18,4,25,3350,570,590,80,370
288,GM1730,19890,7020,14310,5140,3830,320,90,80,100,100,130,110,130,140,14600,26700,4900,28400,6700,500,400,17,2,10,3000,570,560,20,270
289,GM0737,19340,6440,13640,4770,3410,310,110,110,110,120,140,120,140,150,13700,23400,4700,24400,6500,600,600,16,3,17,3270,690,490,40,360
290,GM0856,26640,7990,18720,6460,4480,540,170,160,170,190,200,190,200,220,18100,25200,6300,26400,8200,900,800,22,5,20,3870,740,600,70,410
291,GM0450,8930,2780,5700,2330,1610,180,40,40,40,50,50,50,60,50,5500,27600,2200,28500,2900,200,200,8,1,15,990,190,110,0,120
292,GM0451,19220,5980,12790,5090,3530,470,90,90,90,100,130,120,120,140,12700,27100,4800,28300,6100,700,600,15,2,13,2390,370,320,30,270
293,GM0184,13090,6990,6350,3620,2820,120,30,30,30,40,60,50,60,60,6000,23700,3300,24100,6600,300,500,11,3,23,1950,140,250,30,150
294,GM0344,259840,70600,181670,48550,38740,4050,2190,2140,2200,2220,2770,2680,2760,2860,172000,22800,43600,27700,64200,9200,8900,202,14,7,38470,11650,3710,140,3620
295,GM1581,29520,9810,21590,7140,5160,470,100,100,100,100,160,150,160,160,22100,28800,6700,32200,9400,700,700,24,3,11,4930,790,900,50,430
296,GM0981,6250,1280,5490,1150,760,90,60,50,70,70,70,60,70,70,4800,21900,1200,22700,1000,200,200,4,1,24,2130,310,120,10,40
297,GM0994,9790,2240,7890,2190,1340,150,60,60,60,50,60,70,60,70,8100,24600,2300,27700,2400,300,300,7,1,13,1650,360,200,10,110
298,GM0858,19080,5170,14490,4480,3000,370,140,130,140,140,130,130,140,130,14100,25000,4300,26700,5200,600,500,16,3,21,2780,590,310,50,250
299,GM0047,17040,5030,12650,4150,2900,380,230,230,220,250,260,240,260,270,12700,22000,4200,22400,5200,900,800,14,3,22,3860,1060,640,60,310
300,GM0345,42250,14810,28020,10460,7740,800,330,310,330,350,400,360,390,450,26700,24400,9900,25100,14500,1700,1600,34,5,15,6510,1330,940,50,810
301,GM0717,12700,4000,9450,3000,2070,150,30,30,40,40,40,30,40,50,9600,26200,3000,26700,4200,300,300,10,2,17,1780,180,170,10,150
302,GM0861,28720,8490,20020,7090,4930,460,110,100,120,110,150,140,150,170,19700,26500,6700,28300,8300,800,700,24,3,14,4180,590,780,50,400
303,GM0453,44260,12880,31060,11090,7550,970,330,330,320,350,400,400,400,420,30900,25400,10600,27100,12900,1600,1400,36,6,17,6480,1540,840,10,650
304,GM0983,65010,17850,47960,14910,10240,1330,720,670,720,770,800,740,800,870,46700,22900,14600,23700,17700,3100,2700,52,11,21,12090,3350,1340,100,860
305,GM0984,27940,7940,19000,6580,4400,490,190,180,180,210,250,240,250,270,19000,24100,6500,25500,8500,1200,1100,23,4,19,4330,990,690,60,340
306,GM1961,35650,11900,23340,9130,6380,630,190,190,190,200,240,240,230,250,22400,25500,8500,26500,11500,1100,1000,29,6,21,4890,860,610,40,650
307,GM0622,46090,14060,34720,11330,8130,1360,730,670,730,790,800,730,820,850,34700,23200,10600,24100,12700,2600,2400,37,8,21,8970,2680,1010,50,650
308,GM0096,820,150,640,120,90,10,0,0,0,0,0,0,0,0,600,24100,100,25600,200,0,0,0,0,31,100,10,10,0,10
309,GM0718,27470,7690,22340,6130,4430,670,430,370,440,480,450,390,450,510,22200,22400,6000,23500,7500,1200,1000,21,4,19,5830,1840,530,30,390
310,GM0986,7390,2110,5610,1860,1220,130,30,20,30,30,40,40,40,50,5500,26600,1800,27300,2100,200,200,7,1,11,1030,130,110,10,90
311,GM0626,15150,5440,11230,4070,2980,330,80,80,80,90,110,100,110,110,11100,30400,4000,31300,5400,500,400,13,1,9,2210,360,210,0,300
312,GM0285,14860,4820,10150,3580,2460,200,60,50,50,60,80,70,80,80,10400,25400,3500,27700,4500,300,300,14,2,17,2190,310,540,20,150
313,GM0865,16340,5570,11270,4120,3020,310,50,50,50,60,60,60,60,70,11800,28300,3900,31600,5200,400,400,12,1,11,2630,300,490,80,200
314,GM1949,28730,9070,20300,6820,4880,500,240,220,250,250,280,270,280,290,20400,22500,6900,23500,9600,1000,1000,23,4,19,4910,1200,630,30,470
315,GM0866,10370,3570,7580,2760,1990,200,40,40,40,50,60,60,60,60,7300,31000,2600,31800,3500,300,300,9,1,13,1410,230,100,20,150
316,GM0867,30850,9010,21820,7450,5210,590,180,180,180,200,210,190,210,230,20900,24600,7000,26000,8800,900,800,25,5,21,4610,820,510,100,450
317,GM0627,18300,6260,12190,4650,3420,280,90,90,90,90,100,100,110,110,10900,26300,3900,27000,5300,400,400,13,2,15,2490,350,380,10,270
318,GM0289,28370,5980,22680,4370,3310,350,150,140,160,150,180,160,190,200,19900,20100,4100,27300,5700,600,600,20,2,7,4550,770,550,40,290
319,GM0629,15210,5580,11530,4140,2990,390,110,110,110,130,120,110,120,140,11400,38700,3800,40500,5100,500,500,11,1,9,3750,420,160,10,200
320,GM0852,10390,3380,7560,2770,1880,200,30,30,40,30,50,50,50,50,7500,29200,2700,32100,3300,200,200,10,1,13,1240,210,110,10,150
321,GM0988,31450,8530,22730,7350,4840,550,190,190,190,190,240,230,250,260,22200,24500,7200,26300,8700,1100,1000,25,4,17,5350,1040,640,70,400
322,GM0457,12470,3950,9170,2990,2270,240,90,80,90,90,110,110,120,110,8800,26300,2700,28600,3500,400,400,11,2,17,1730,440,160,10,180
323,GM1960,32440,10850,20510,8160,5720,510,110,100,120,120,160,140,160,170,19800,27300,7900,28200,11100,800,800,26,5,21,4260,530,460,60,460
324,GM0668,12460,3430,8300,2920,1950,190,40,40,40,40,60,60,60,70,8000,25200,2800,27300,3600,300,300,9,1,16,1690,260,210,20,130
325,GM1969,39420,13400,26370,10040,7250,640,220,200,220,240,270,250,270,280,26100,23800,9900,24700,13800,1200,1100,32,5,16,5880,1140,1080,60,650
326,GM1701,11430,3140,8730,2570,1730,170,40,50,40,40,50,50,50,50,8600,25000,2500,26300,3400,300,300,8,1,17,1930,290,320,10,100
327,GM0293,9730,2720,6700,2400,1630,230,100,90,100,100,130,120,130,130,6600,23900,2500,24000,2800,500,400,9,2,21,1660,410,260,20,150
328,GM1950,15280,4600,11210,3360,2220,260,120,120,120,130,150,140,150,160,11300,21900,3300,22800,4200,600,600,11,2,21,3500,580,520,30,150
329,GM1783,70620,22330,46570,17860,12390,1180,320,320,330,320,430,410,440,440,44700,25900,16500,28500,21100,1900,1800,59,10,17,8610,1480,1130,90,1030
330,GM0098,15770,4830,11360,3780,2640,300,120,110,120,130,120,110,120,130,11400,22700,3700,24000,4900,600,600,14,3,22,2680,550,440,40,220
331,GM0614,8870,2380,6670,2140,1400,140,20,20,30,30,40,30,40,40,6400,31500,2000,33500,2300,200,200,6,1,15,1460,140,120,0,110
332,GM0189,15020,5230,9630,3960,2680,210,50,40,50,50,70,60,70,80,9300,26200,3700,27100,5200,400,400,14,2,14,1730,260,220,30,160
333,GM0296,26090,7870,17730,6540,4490,480,170,170,170,170,190,180,190,200,17500,25500,6500,26600,8500,800,700,22,3,12,3680,820,510,30,370
334,GM1696,14820,4660,10670,3840,2690,260,40,40,40,40,60,60,60,60,10300,29800,3500,31200,4500,400,300,11,1,13,1850,250,150,10,160
335,GM0352,15250,4790,10100,3820,2670,280,60,60,60,70,90,80,90,90,9800,27600,3700,27800,4900,400,300,14,2,13,1880,310,210,20,270
336,GM0294,17960,5290,12770,4250,2930,340,140,130,140,140,150,150,150,160,12900,23100,4200,24200,5600,600,600,16,3,20,3040,680,490,40,260
337,GM0873,13530,3770,9620,3290,2200,230,70,60,70,80,90,90,90,90,9500,25300,3200,26100,3600,400,300,14,3,19,2590,330,200,10,140
338,GM0632,33180,11310,21870,8460,6120,630,120,120,130,130,180,180,190,180,21400,27900,8100,29500,11400,800,800,28,4,15,4070,660,550,40,500
339,GM1690,14910,4570,10200,3590,2450,220,40,40,40,50,70,60,70,80,10000,25200,3500,26700,4700,400,300,15,3,18,1890,290,300,20,150
340,GM0880,10140,2930,7110,2630,1700,220,70,60,70,70,70,70,70,80,6900,26500,2500,27600,3000,300,300,9,1,15,1220,240,150,0,140
341,GM0351,8180,3240,5140,2120,1610,110,20,20,20,20,40,40,40,40,5000,26400,1900,26900,3000,200,200,7,1,16,1070,130,250,10,150
