ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,InternetVast_1,MinderDan30MbitS_2,k_30Tot100MbitS_3,k_100Tot500MbitS_4,k_500MbitSTot1GbitS_5,TenMinste1GbitS_6,BedrijvenMetWebsite_7,MobieleAppVoorKlanten_8,WebsiteOfAppHeeftPlatformfunctie_9,ClouddienstenGebruikt_10,EMail_11,OfficeSoftware_12,OpslagDatabases_13,OpslagBestanden_14,Boekhoudingsoftware_15,ERPSoftware_16,CRMSoftware_17,Veiligheidssoftware_18,Rekenkracht_19,Rekenplatform_20,Antivirussoftware_21,BeleidVoorSterkeWachtwoorden_22,BiometrischeMethoden_23,Multifactorauthenticatie_24,EncryptieVanData_25,GegevensOpAndereFysiekeLocatie_26,NetworkAccessControl_27,VPNGebruikBuitenHetBedrijf_28,LogbestandenVoorAnalyseIncidenten_29,MethodesVoorBeoordelenICTVeiligheid_30,Risicoanalyses_31,ICTBeveiligingsmonitoringsysteem_32,CyberincidentGeoefend_33,PhishingAanval_34,DDoSAanval_35,DatalekOfDatamanipulatie_36,GehacktSocialemediaAccount_37,BECFraude_38,AndereCyberIncidenten_39,IncidentMetInterneOorzaakGehad_40,IncidentDoorAanvalVanBuitenGehad_41,UitvalICTDienstDoorInterneOorzaak_42,VernietigingDataDoorInterneOorzaak_43,OnthullingGegevensDoorInterneOorzaak_44,UitvalICTDienstDoorAanvalBuitenaf_45,VernietigingDataAanvalBuitenaf_46,OnthullingGegevensDoorICTInbraak_47,KostenIncidentInterneOorzaakGehad_48,KostenIncidentAanvalBuitenafGehad_49,UitvalICTDienstDoorInterneOorzaak_50,VernietigingDataDoorInterneOorzaak_51,OnthullingGegevensDoorInterneOorzaak_52,UitvalICTDienstDoorAanvalBuitenaf_53,VernietigingDataAanvalBuitenaf_54,OnthullingGegevensDoorICTInbraak_55,RansomwareAanvalGehad_56,BestandenOfICTSystemenVersleuteld_57,AfpersingOpenbaarmakingInformatie_58,VerzekeringICTVeiligheidsincidenten_59,BekendMetDTC_60,DTCWebsiteAlsBronGebruikt_61,GezochtNaarMeldingenCyberdreigingen_62,GebruikICTOplossingenVoorMilieu_63,VerminderenEnergieverbruik_64,VerbeterenMateriaalverbruik_65,MonitoringICTOplossingenVoorMilieu_66
38,WP19090,403300,99,1,9.0,37.0,32.0,21.0,95,6.0,9.0,81.0,77.0,74.0,68.0,73.0,69.0,33.0,57.0,69.0,33.0,27.0,96,90,44.0,91,67.0,93,87.0,64.0,74.0,61.0,62.0,72.0,10.0,41.0,2,2.0,1,3.0,3.0,17.0,6,14.0,2,4.0,3,0,3,4,2,3,0,0,1,0,0,1,0,0,46.0,23.0,10.0,15.0,25.0,14.0,20.0,8.0
39,WP19090,410200,96,2,15.0,40.0,27.0,11.0,84,10.0,14.0,59.0,56.0,51.0,52.0,53.0,50.0,21.0,37.0,47.0,19.0,16.0,91,78,34.0,74,49.0,75,63.0,41.0,49.0,41.0,40.0,51.0,5.0,22.0,2,0.0,1,1.0,1.0,9.0,4,8.0,1,2.0,2,1,1,1,1,1,0,0,1,0,0,0,0,0,28.0,14.0,6.0,8.0,23.0,12.0,18.0,6.0
40,WP19090,422400,99,2,19.0,37.0,27.0,14.0,96,27.0,13.0,63.0,58.0,55.0,49.0,55.0,51.0,19.0,41.0,54.0,12.0,8.0,96,87,34.0,90,75.0,88,77.0,43.0,62.0,48.0,58.0,62.0,4.0,26.0,2,3.0,1,1.0,1.0,17.0,6,13.0,2,6.0,4,1,3,4,2,2,1,1,1,0,1,0,0,0,35.0,17.0,8.0,9.0,29.0,17.0,23.0,6.0
41,WP19090,332915,100,0,9.0,30.0,33.0,28.0,96,18.0,19.0,88.0,86.0,84.0,79.0,83.0,78.0,45.0,68.0,74.0,58.0,62.0,95,95,59.0,96,84.0,96,92.0,76.0,85.0,77.0,77.0,82.0,19.0,38.0,7,2.0,2,4.0,4.0,18.0,12,16.0,1,3.0,7,0,4,2,2,2,0,0,1,0,0,2,2,1,53.0,40.0,21.0,36.0,37.0,26.0,29.0,15.0
42,WP19097,399907,99,1,9.0,35.0,31.0,23.0,95,18.0,12.0,83.0,78.0,75.0,67.0,74.0,61.0,43.0,52.0,70.0,40.0,38.0,98,94,46.0,94,72.0,95,90.0,76.0,82.0,76.0,75.0,81.0,20.0,44.0,4,4.0,1,6.0,4.0,21.0,8,17.0,2,5.0,4,1,5,3,2,2,0,1,1,0,1,1,1,1,41.0,36.0,19.0,28.0,41.0,29.0,30.0,16.0
43,WP19097,307500,100,1,10.0,34.0,32.0,23.0,97,6.0,5.0,81.0,77.0,71.0,59.0,68.0,47.0,38.0,43.0,65.0,33.0,30.0,99,96,44.0,93,74.0,97,94.0,90.0,88.0,83.0,80.0,86.0,20.0,46.0,4,2.0,1,8.0,5.0,21.0,8,18.0,1,4.0,4,1,5,4,1,3,0,0,1,0,1,2,1,1,39.0,38.0,21.0,31.0,42.0,30.0,31.0,18.0
44,WP19097,800036,100,1,5.0,48.0,19.0,27.0,98,31.0,8.0,93.0,87.0,80.0,78.0,82.0,62.0,57.0,48.0,74.0,51.0,43.0,100,99,45.0,95,75.0,98,92.0,88.0,89.0,84.0,81.0,84.0,19.0,45.0,3,10.0,0,1.0,1.0,28.0,10,25.0,2,7.0,5,2,5,3,2,3,0,0,1,1,0,3,3,3,21.0,43.0,21.0,33.0,51.0,37.0,35.0,22.0
45,WP19097,350000,99,0,12.0,30.0,36.0,22.0,98,6.0,5.0,86.0,78.0,73.0,65.0,73.0,60.0,51.0,44.0,71.0,36.0,32.0,99,93,35.0,96,59.0,99,92.0,83.0,82.0,79.0,72.0,83.0,17.0,50.0,1,1.0,0,6.0,6.0,24.0,10,22.0,2,4.0,4,0,7,3,1,2,0,1,0,0,1,0,0,0,33.0,33.0,18.0,22.0,37.0,30.0,25.0,11.0
46,WP19097,354200,100,2,8.0,38.0,30.0,22.0,93,26.0,13.0,78.0,74.0,71.0,64.0,70.0,53.0,45.0,49.0,65.0,41.0,38.0,98,93,44.0,93,71.0,94,88.0,78.0,83.0,76.0,75.0,82.0,20.0,43.0,5,3.0,1,6.0,4.0,20.0,9,17.0,2,4.0,5,1,5,3,2,3,0,0,1,0,1,1,1,1,37.0,37.0,19.0,26.0,44.0,29.0,33.0,18.0
47,WP19097,383100,100,1,13.0,41.0,31.0,15.0,97,14.0,16.0,84.0,77.0,72.0,63.0,70.0,58.0,36.0,40.0,72.0,40.0,36.0,98,92,39.0,96,73.0,97,90.0,79.0,79.0,74.0,72.0,77.0,16.0,38.0,2,1.0,3,4.0,2.0,18.0,8,15.0,2,5.0,6,2,2,3,2,3,0,0,1,1,0,3,3,2,32.0,37.0,16.0,28.0,45.0,33.0,28.0,16.0
48,WP19097,389100,98,1,9.0,34.0,31.0,23.0,86,40.0,14.0,78.0,76.0,71.0,64.0,72.0,69.0,36.0,45.0,69.0,30.0,28.0,93,84,30.0,85,56.0,85,82.0,57.0,62.0,58.0,61.0,67.0,9.0,31.0,3,2.0,2,5.0,5.0,13.0,8,10.0,1,3.0,5,2,4,3,3,2,0,1,1,0,1,3,1,2,34.0,17.0,4.0,14.0,48.0,41.0,27.0,18.0
49,WP19097,391600,100,0,3.0,27.0,32.0,37.0,98,27.0,20.0,94.0,90.0,89.0,82.0,88.0,80.0,61.0,79.0,85.0,65.0,71.0,99,98,63.0,98,90.0,97,95.0,82.0,92.0,89.0,91.0,91.0,33.0,51.0,11,5.0,1,3.0,7.0,23.0,8,21.0,2,6.0,6,1,3,3,3,3,1,1,2,0,1,1,1,1,65.0,48.0,28.0,50.0,49.0,39.0,35.0,25.0
50,WP19097,396300,99,0,7.0,24.0,32.0,36.0,94,32.0,17.0,87.0,82.0,83.0,70.0,80.0,64.0,47.0,65.0,74.0,58.0,62.0,99,99,62.0,99,97.0,98,96.0,91.0,95.0,99.0,98.0,97.0,48.0,57.0,9,14.0,0,4.0,9.0,37.0,11,28.0,3,18.0,9,0,2,5,1,4,1,1,0,0,1,0,0,0,62.0,67.0,41.0,63.0,58.0,38.0,50.0,33.0
51,WP19097,402000,100,1,6.0,,,,100,,19.0,100.0,96.0,96.0,92.0,89.0,89.0,,82.0,96.0,,,100,99,,96,,99,98.0,83.0,95.0,93.0,,85.0,,,1,18.0,0,4.0,3.0,,11,,5,13.0,4,0,7,4,4,4,0,3,0,0,4,1,1,0,,,27.0,,,,,14.0
52,WP19097,403300,99,0,5.0,32.0,29.0,33.0,96,14.0,14.0,90.0,87.0,86.0,78.0,86.0,76.0,57.0,68.0,78.0,54.0,50.0,98,96,59.0,97,82.0,97,92.0,79.0,87.0,82.0,83.0,86.0,28.0,55.0,5,7.0,2,10.0,6.0,26.0,12,20.0,3,9.0,5,2,8,3,4,3,1,1,1,1,3,2,2,2,57.0,45.0,27.0,37.0,42.0,31.0,33.0,18.0
