ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,Internet_6,TotaalBreedband_7,BreedbandVastTotaal_8,ADSLVDSLEnSDSLEnDergelijke_9,AndereHoogwaardigeVasteVerbindingen_10,MobielBreedbandTotaal_11,MinderDan2MegabitPerSeconde_12,k_2Tot10MegabitPerSeconde_13,k_10Tot30MegabitPerSeconde_14,k_30Tot100MegabitPerSeconde_15,k_100MegabitPerSecondeOfMeer_16,AantalBedrijvenMetWebsite_17,OnlineBestellenBoekenOfReserveren_18,InfoOverBeveiligingEnPrivacyVdSite_19,BeschrijvingenVanProductenPrijslijst_20,BestellingOnlineVolgen_21,ProductaanpassingDoorKlant_22,KlantspecifiekeInfoVoorVasteBezoeker_23,PersoneelsadvertentiesVanBedrijfZelf_24,VerkrijgenVanInformatie_25,VerkrijgenVanFormulieren_26,RetournerenIngevuldeFormulieren_27,SocialePremiesVanMedewerkers_28,BTWAangifte_29,DocumentenRaadplegenOverAanbesteding_30,OverheidInNederland_31,OverheidInAnderEULand_32,MobielInternetVerschaftAanWerknemers_33,ERPSoftware_34,OpslagKlantgegevens_35,AnalyseKlantgegevens_36,SocialeMediaGebruikt_37,SocialeNetwerkenBijvFacebook_38,BlogsOfMicroblogsBijvTwitter_39,SitesDieMultimediaDelenBvYouTube_40,WikiSOmKennisTeDelen_41,MarketingProductenBedrijfsimago_42,MeningenKlantenReagerenOpVragen_43,BetrekkenKlantBijProductontwikkeling_44,SamenwerkenMetZakenrelaties_45,WervenVanPersoneel_46,KennisUitwisselenBinnenHetBedrijf_47,FormeelBeleidGebruikSocialeMedia_48,EFactuur_49,ElektronischMaarGeenEFactuur_50,InPapierenVorm_51,EFactuur_52,ElektronischMaarGeenEFactuur_53,InPapierenVorm_54,ElektronischeFacturenVerzonden_55,ElektronischeFacturenOntvangen_56,VerkoopViaExterneNetwerken_57,Verkoopwaarde1VanDeTotaleOmzet_58,Verkoopwaarde1VanDeTotaleOmzet_59,Verkoopwaarde2VanDeTotaleOmzet_60,Verkoopwaarde5VanDeTotaleOmzet_61,Verkoopwaarde10VanDeTotaleOmzet_62,Verkoopwaarde25VanDeTotaleOmzet_63,Verkoopwaarde50VanDeTotaleOmzet_64,VerkoopViaEenWebsite_65,Verkoopwaarde1VanDeTotaleOmzet_66,Verkoopwaarde1VanDeTotaleOmzet_67,Verkoopwaarde2VanDeTotaleOmzet_68,Verkoopwaarde5VanDeTotaleOmzet_69,Verkoopwaarde10VanDeTotaleOmzet_70,Verkoopwaarde25VanDeTotaleOmzet_71,Verkoopwaarde50VanDeTotaleOmzet_72,ProductOngeschikt_73,LogistiekeProblemen_74,ProblemenMetBetalingen_75,ProblemenMetBeveiliging_76,JuridischeProblemen_77,TeHogeKosten_78,NederlandseConsumenten_79,BuitenlandseConsumenten_80,Bedrijven_81,Overheden_82,KlantenInNederland_83,KlantenInAndereEULanden_84,KlantenInLandenBuitenDeEU_85,VerkoopViaEDI_86,Verkoopwaarde1VanDeTotaleOmzet_87,Verkoopwaarde1VanDeTotaleOmzet_88,Verkoopwaarde2VanDeTotaleOmzet_89,Verkoopwaarde5VanDeTotaleOmzet_90,Verkoopwaarde10VanDeTotaleOmzet_91,Verkoopwaarde25VanDeTotaleOmzet_92,Verkoopwaarde50VanDeTotaleOmzet_93,KlantenInNederland_94,KlantenInAndereEULanden_95,KlantenInLandenBuitenDeEU_96,InkoopViaExterneNetwerken_97,Inkoopwaarde1VanDeTotaleInkoop_98,Inkoopwaarde1VanDeTotaleInkoop_99,Inkoopwaarde2VanDeTotaleInkoop_100,Inkoopwaarde5VanDeTotaleInkoop_101,Inkoopwaarde10VanDeTotaleInkoop_102,Inkoopwaarde25VanDeTotaleInkoop_103,Inkoopwaarde50VanDeTotaleInkoop_104,InkoopViaEenWebsite_105,Inkoopwaarde1VanDeTotaleInkoop_106,Inkoopwaarde1VanDeTotaleInkoop_107,Inkoopwaarde2VanDeTotaleInkoop_108,Inkoopwaarde5VanDeTotaleInkoop_109,Inkoopwaarde10VanDeTotaleInkoop_110,Inkoopwaarde25VanDeTotaleInkoop_111,Inkoopwaarde50VanDeTotaleInkoop_112,AanbiedersInNederland_113,AanbiedersInAndereEULanden_114,AanbiedersInLandenBuitenDeEU_115,InkoopViaEDI_116,Inkoopwaarde1VanDeTotaleInkoop_117,Inkoopwaarde1VanDeTotaleInkoop_118,Inkoopwaarde2VanDeTotaleOmzet_119,Inkoopwaarde5VanDeTotaleInkoop_120,Inkoopwaarde10VanDeTotaleInkoop_121,Inkoopwaarde25VanDeTotaleInkoop_122,Inkoopwaarde50VanDeTotaleInkoop_123,AanbiedersInNederland_124,AanbiedersInAndereEULanden_125,AanbiedersInLandenBuitenDeEU_126
11,800036,76,73,30,30,69,100,99,97,76,52,76,1,23,31,27,17,91,28,33,69,5,9,32,56,82,92,93,66,72,43,29,9,74,41,33,21,45,42,22,26,12,71,53,32,37,60,42,54,2,8,91,3,14,83,30,64,18,13,6,5,3,2,2,1,18,13,6,5,3,2,1,1,64,24,12,13,13,20,58,3,38,2,96,4,0,1,0,1,0,0,0,0,0,100,0,0,54,24,30,28,25,22,17,11,52,23,29,27,25,22,17,11,97,2,0,3,1,2,0,0,0,0,0,95,5,0
12,900008,52,48,19,22,52,98,95,92,81,26,62,3,35,31,24,5,85,6,26,49,1,1,15,41,74,85,84,59,78,43,24,1,59,28,25,5,39,34,20,15,3,68,37,32,39,30,26,29,2,3,95,2,15,83,18,71,4,3,1,1,1,1,1,1,3,2,1,1,1,1,1,0,68,38,24,22,21,23,61,0,19,19,98,1,1,1,1,0,0,0,0,0,0,99,1,0,48,27,21,19,11,10,5,4,48,27,21,18,11,10,5,4,99,1,0,2,0,1,0,0,0,0,0,100,0,0
13,351900,50,46,18,19,54,100,97,95,81,27,62,3,31,35,25,5,79,14,28,56,3,2,18,47,72,83,85,70,81,29,18,2,59,25,25,11,34,29,9,13,3,59,32,29,40,42,22,18,1,7,93,4,12,84,22,65,9,5,4,3,2,1,0,0,9,6,3,2,1,0,0,0,65,33,26,21,20,23,54,0,44,1,100,0,0,1,1,1,0,0,0,0,0,100,0,0,46,21,25,22,18,14,12,9,46,22,24,21,17,13,11,8,99,1,0,3,1,2,2,2,2,1,1,99,1,0
14,354300,67,62,13,11,49,100,96,96,77,47,51,4,27,29,34,6,87,57,49,76,12,11,30,39,74,83,90,58,85,15,8,2,48,29,47,34,53,51,29,23,4,78,68,48,47,29,24,26,7,8,85,6,24,70,37,78,38,17,21,19,17,17,11,8,34,13,21,19,17,16,10,6,49,40,30,23,24,25,36,3,59,2,92,7,1,8,5,3,3,3,3,3,0,85,14,2,61,29,33,30,29,28,21,16,59,28,32,29,28,26,19,15,90,9,1,8,5,3,3,3,3,2,1,94,4,2
15,356900,75,68,26,26,78,100,99,96,73,52,79,1,29,28,30,11,87,36,45,73,16,7,31,46,78,84,89,68,91,15,11,4,78,53,46,32,47,41,23,25,5,81,49,35,48,47,33,42,3,15,82,4,18,79,43,70,35,14,21,20,17,14,9,5,27,13,14,12,11,8,6,3,50,25,19,17,17,22,18,2,75,5,83,12,5,14,5,9,9,7,6,3,2,79,20,1,46,23,23,20,17,15,11,8,44,23,21,17,15,13,9,6,86,11,3,6,3,4,4,3,3,3,1,62,36,3
16,371600,46,31,7,7,42,100,98,97,88,33,46,2,25,38,29,6,72,41,43,54,19,9,29,39,61,73,78,60,78,6,1,0,41,18,24,17,46,43,26,14,4,82,55,34,30,43,26,37,4,8,89,8,20,72,21,72,30,15,14,12,8,7,5,4,27,15,12,10,7,6,4,2,39,31,19,22,23,33,82,3,14,1,95,3,2,5,3,2,2,2,2,2,1,79,20,1,47,20,27,24,23,21,18,13,44,20,23,21,18,16,13,11,96,4,1,10,3,6,6,6,5,4,2,88,12,1
17,383100,57,45,13,20,53,100,97,95,77,46,62,3,22,33,34,8,76,26,27,54,13,7,24,45,76,86,87,68,83,18,10,1,58,29,25,13,31,27,16,12,4,67,35,26,41,46,30,32,2,14,84,3,20,77,36,69,25,8,17,15,12,12,10,6,16,7,9,8,6,4,4,2,57,26,21,20,18,21,14,3,79,4,87,11,2,14,3,10,10,8,8,6,4,78,19,3,45,22,22,20,17,14,11,8,44,22,22,19,17,14,11,8,94,5,1,2,2,1,1,1,0,0,0,88,9,4
18,389200,44,42,12,8,41,100,99,97,76,45,65,1,18,37,37,7,89,74,53,83,23,26,36,54,61,79,79,64,73,5,4,0,50,9,26,20,73,73,53,36,9,93,79,52,48,55,28,35,3,17,81,3,22,75,36,67,50,6,44,43,36,33,23,9,50,6,44,43,36,33,23,9,34,23,22,23,22,23,52,15,28,5,77,17,6,1,1,0,0,0,0,0,0,95,4,1,53,19,35,32,27,23,20,16,53,19,35,32,26,23,19,16,97,2,1,3,1,1,1,1,0,0,0,100,0,0
19,390500,36,30,11,12,30,100,95,93,86,20,51,5,32,40,19,4,81,43,25,68,8,7,29,31,55,64,57,62,78,7,4,0,41,3,6,3,66,65,31,23,2,85,66,41,33,43,38,14,2,8,89,6,18,77,27,66,18,7,11,10,7,5,3,0,17,7,10,9,6,5,3,0,56,33,22,17,18,21,59,6,29,6,96,4,1,1,0,1,1,1,1,0,0,60,0,40,43,18,24,22,18,12,8,6,42,18,24,22,18,12,8,5,96,4,0,5,5,1,1,1,1,1,1,100,0,0
20,391705,92,90,37,33,85,100,100,99,67,74,85,0,6,27,42,26,92,57,57,74,26,12,38,68,76,88,92,66,77,13,6,2,77,35,52,44,79,75,58,50,21,84,69,53,56,56,47,39,1,14,85,3,18,79,38,76,44,20,24,23,16,10,5,2,42,20,22,21,12,8,5,2,50,21,18,20,13,15,47,4,45,4,90,7,2,6,2,3,3,3,1,0,0,98,2,1,69,29,40,32,21,13,9,7,69,29,39,31,21,13,9,7,90,8,2,2,1,2,1,0,0,0,0,100,0,0
21,394100,98,97,83,74,94,100,98,98,63,86,87,2,12,13,26,46,90,45,68,74,18,20,47,68,74,86,95,69,83,35,23,11,94,62,60,41,76,70,57,52,26,75,68,53,71,62,59,51,5,29,66,5,27,68,52,80,30,5,25,20,16,12,5,3,27,3,24,20,15,11,5,2,43,17,8,8,12,17,46,1,50,3,98,2,0,4,3,1,1,1,1,1,1,100,0,0,62,29,33,29,23,23,19,15,62,29,33,29,23,20,17,13,89,8,3,5,2,3,3,3,3,3,1,97,2,1
22,395005,98,97,53,64,90,100,99,99,67,79,89,1,8,22,37,32,92,26,50,74,7,10,30,82,84,88,89,72,90,34,19,6,85,43,68,44,81,77,59,50,34,87,61,50,58,79,60,43,2,26,72,3,23,74,54,78,19,5,14,14,10,10,4,3,19,5,14,14,10,10,4,3,69,17,12,13,11,9,7,2,79,11,88,7,5,1,1,1,0,0,0,0,0,93,7,0,75,20,55,49,39,33,21,14,74,20,54,48,38,31,21,14,79,10,10,3,1,2,2,2,2,0,0,90,7,2
23,900016,98,98,64,47,91,100,100,100,56,87,81,0,17,30,25,28,91,19,52,64,13,11,32,52,87,92,95,67,83,31,6,5,83,21,50,30,38,36,27,17,12,54,47,49,54,61,49,56,0,15,85,6,19,75,24,67,18,13,5,5,3,3,3,3,15,9,5,5,3,3,3,3,48,12,11,7,17,5,35,0,41,23,95,4,1,8,8,0,0,0,0,0,0,100,0,0,54,34,21,21,19,17,7,4,54,34,21,21,19,17,7,4,91,8,1,5,5,0,0,0,0,0,0,98,2,0
24,900027,99,99,24,42,94,100,100,100,80,80,92,0,19,28,27,27,100,48,69,88,20,27,56,80,91,98,98,69,63,10,5,2,88,29,71,56,67,62,47,30,24,87,67,56,61,61,60,73,7,4,89,9,17,75,23,78,44,15,29,25,15,12,8,7,40,12,28,23,14,10,6,6,54,16,11,27,29,19,80,1,18,1,99,1,0,12,5,8,7,5,5,1,1,88,12,0,70,32,38,30,29,28,23,20,70,32,38,30,29,26,21,18,96,1,3,3,1,2,2,2,2,2,2,55,45,0
25,900021,97,97,40,30,79,100,100,100,68,66,73,0,22,26,31,21,83,27,37,51,5,8,32,53,66,70,76,71,80,16,3,3,68,21,41,27,38,31,21,19,8,85,58,40,43,69,40,46,2,12,86,3,18,79,28,59,16,8,8,8,8,8,6,4,16,8,8,8,8,8,6,4,57,16,20,18,26,14,83,0,17,0,89,0,11,0,0,0,0,0,0,0,0,0,0,0,50,23,27,13,13,9,2,2,50,23,27,13,13,9,2,2,97,2,0,1,1,0,0,0,0,0,0,100,0,0
26,402100,94,91,39,40,85,100,98,98,73,60,82,2,23,22,40,14,94,22,48,69,4,6,42,66,90,90,91,69,85,17,7,2,83,44,49,22,65,55,49,30,3,79,52,35,41,34,24,46,0,4,96,3,13,84,8,72,3,3,1,1,1,1,1,0,3,3,1,1,1,1,1,0,64,36,32,24,27,20,32,1,64,2,88,10,2,0,0,0,0,0,0,0,0,0,0,0,63,39,24,23,19,13,11,7,63,39,24,23,19,13,11,7,99,1,0,0,0,0,0,0,0,0,0,0,0,0
27,900009,93,91,36,46,88,100,99,98,74,61,78,1,18,25,38,18,91,19,44,74,7,5,28,71,85,89,91,76,91,26,16,5,76,30,52,26,66,61,39,23,13,75,43,36,49,64,43,52,2,11,87,3,17,80,31,73,14,6,9,7,6,4,2,2,12,5,8,6,4,4,2,2,68,17,14,17,21,13,25,2,65,8,94,4,2,4,2,2,2,2,1,0,0,72,21,7,61,21,40,35,28,21,16,11,61,21,40,35,28,21,15,10,93,4,3,4,2,2,2,2,2,1,0,73,22,4
28,405900,93,88,41,41,83,100,99,98,65,57,82,1,22,31,33,14,89,11,27,62,3,2,16,68,85,91,87,66,83,52,38,9,84,37,47,20,61,52,33,29,13,70,33,34,50,55,42,33,1,12,87,3,18,79,39,73,9,5,4,3,2,2,1,0,8,5,3,3,2,2,1,0,71,21,17,14,16,13,15,0,76,9,82,13,5,2,1,1,0,0,0,0,0,100,0,0,66,33,33,27,20,17,10,8,65,33,32,27,20,17,10,8,92,5,3,2,1,1,0,0,0,0,0,95,5,0
29,406800,91,89,31,43,85,100,100,99,52,65,74,0,20,24,33,22,91,24,34,63,2,5,25,76,86,87,88,66,85,27,18,11,72,34,44,23,67,60,42,37,17,65,40,30,48,68,40,41,2,14,84,2,13,84,37,71,12,4,7,7,5,4,4,3,9,4,4,3,3,2,2,2,60,18,14,18,17,11,19,0,61,20,56,20,24,4,1,3,3,2,2,2,1,78,13,9,70,24,46,41,35,30,19,11,69,23,46,41,35,29,18,9,85,9,6,6,4,2,2,2,2,2,1,89,4,7
30,408100,91,86,31,32,79,100,100,99,66,60,81,0,15,32,38,15,87,16,46,52,6,12,18,66,78,89,88,67,88,24,15,2,82,35,46,33,81,79,56,57,19,83,58,44,64,67,47,48,4,16,80,2,20,78,46,72,11,5,6,6,3,3,2,2,9,5,4,4,3,3,2,2,74,26,17,18,17,22,14,8,75,3,76,11,13,2,0,2,1,0,0,0,0,98,1,1,71,23,48,37,27,20,14,11,70,22,48,37,27,20,14,11,85,8,7,3,2,1,1,0,0,0,0,92,4,5
31,800023,84,80,28,34,86,100,99,97,77,43,75,1,22,34,32,11,89,33,33,75,10,5,32,53,78,89,91,73,91,16,9,2,73,22,44,28,69,66,40,28,13,80,56,37,44,43,33,40,1,14,85,2,18,80,34,73,24,8,16,13,11,7,4,1,22,8,15,12,10,7,4,1,59,33,23,21,24,23,51,2,43,3,88,8,4,3,1,2,2,1,0,0,0,86,14,0,72,33,39,36,28,25,21,18,72,34,38,36,27,24,21,18,92,7,1,9,8,1,1,1,1,0,0,100,0,0
32,410300,78,74,30,29,59,98,98,98,74,50,61,0,25,30,38,5,74,41,42,68,13,6,26,48,71,88,89,57,80,21,16,5,62,33,40,27,47,44,29,26,10,83,48,35,54,64,41,43,2,11,87,2,16,82,27,61,23,8,15,14,13,12,6,3,23,8,15,14,13,12,6,3,57,27,26,23,23,23,12,1,79,8,95,3,2,1,1,1,0,0,0,0,0,88,12,0,42,19,23,20,17,13,8,6,42,19,23,20,17,13,8,6,95,4,1,3,3,0,0,0,0,0,0,89,8,3
33,412700,84,80,29,35,63,99,97,94,77,37,68,3,22,36,31,8,76,18,36,55,3,5,27,60,73,86,84,81,89,23,13,1,67,22,38,22,54,52,34,22,7,77,44,35,55,82,40,35,2,17,81,2,20,78,33,61,9,3,6,5,4,3,3,1,9,3,6,5,4,3,2,1,54,23,19,19,19,16,3,0,78,20,99,1,0,1,1,1,1,1,0,0,0,98,1,1,41,19,22,18,14,11,7,5,40,19,22,18,13,11,7,5,97,2,0,1,0,1,1,0,0,0,0,100,0,0
34,413700,97,92,13,32,80,100,100,100,83,63,77,0,12,29,39,20,98,85,76,94,36,42,43,71,75,93,95,64,76,16,7,0,70,32,60,48,90,90,71,53,8,91,85,52,58,73,41,55,1,26,72,6,22,72,37,68,67,31,35,32,30,22,16,11,66,31,35,32,30,22,16,11,26,16,15,13,12,14,83,5,11,1,94,5,0,5,5,0,0,0,0,0,0,76,24,0,69,44,25,24,20,15,10,8,69,44,25,24,20,13,10,8,87,8,5,9,6,3,3,0,0,0,0,83,17,0
