ID,HealthAndLifestyle,PersonalCharacteristics,Periods,NotHappy_1,Happy_2,NotSatisfiedWithLife_3,SatisfiedWithLife_4
46,  999,53705,2009JJ00,11.0,89.0,14.0,86.0
47,  999,53705,2010XX00,12.0,88.0,15.0,85.0
48,  999,53705,2010JJ00,16.0,84.0,16.0,84.0
49,  999,53705,2012JJ00,16.0,84.0,17.0,83.0
50,  999,53850,2003JJ00,14.0,86.0,13.0,87.0
51,  999,53850,2004JJ00,14.0,86.0,14.0,86.0
52,  999,53850,2005JJ00,15.0,85.0,16.0,84.0
53,  999,53850,2006JJ00,13.0,87.0,15.0,85.0
54,  999,53850,2007JJ00,14.0,86.0,14.0,86.0
55,  999,53850,2008JJ00,13.0,87.0,12.0,88.0
56,  999,53850,2009JJ00,11.0,89.0,13.0,87.0
57,  999,53850,2010XX00,14.0,86.0,15.0,85.0
58,  999,53850,2010JJ00,17.0,83.0,16.0,84.0
59,  999,53850,2012JJ00,22.0,78.0,21.0,79.0
60,  999,15700,2003JJ00,18.0,82.0,15.0,85.0
61,  999,15700,2004JJ00,17.0,83.0,13.0,87.0
62,  999,15700,2005JJ00,17.0,83.0,13.0,87.0
63,  999,15700,2006JJ00,15.0,85.0,12.0,88.0
64,  999,15700,2007JJ00,16.0,84.0,14.0,86.0
65,  999,15700,2008JJ00,15.0,85.0,12.0,88.0
66,  999,15700,2009JJ00,15.0,85.0,13.0,87.0
67,  999,15700,2010XX00,18.0,82.0,14.0,86.0
68,  999,15700,2010JJ00,20.0,80.0,16.0,84.0
69,  999,15700,2012JJ00,18.0,82.0,15.0,85.0
70,  999,12600,2003JJ00,11.0,89.0,12.0,88.0
71,  999,12600,2004JJ00,11.0,89.0,12.0,88.0
72,  999,12600,2005JJ00,11.0,89.0,12.0,88.0
73,  999,12600,2006JJ00,10.0,90.0,12.0,88.0
74,  999,12600,2007JJ00,11.0,89.0,12.0,88.0
75,  999,12600,2008JJ00,10.0,90.0,11.0,89.0
76,  999,12600,2009JJ00,10.0,90.0,11.0,89.0
77,  999,12600,2010XX00,11.0,89.0,12.0,88.0
78,  999,12600,2010JJ00,15.0,85.0,15.0,85.0
79,  999,12600,2012JJ00,16.0,84.0,16.0,84.0
80,  999,12650,2003JJ00,17.0,83.0,16.0,84.0
81,  999,12650,2004JJ00,14.0,86.0,16.0,84.0
82,  999,12650,2005JJ00,17.0,83.0,15.0,85.0
83,  999,12650,2006JJ00,13.0,87.0,16.0,84.0
84,  999,12650,2007JJ00,15.0,85.0,16.0,84.0
85,  999,12650,2008JJ00,15.0,85.0,15.0,85.0
86,  999,12650,2009JJ00,12.0,88.0,17.0,83.0
87,  999,12650,2010XX00,15.0,85.0,18.0,82.0
88,  999,12650,2010JJ00,19.0,81.0,18.0,82.0
89,  999,12650,2012JJ00,19.0,81.0,21.0,79.0
90,  999,13000,2003JJ00,28.0,72.0,25.0,75.0
91,  999,13000,2004JJ00,28.0,72.0,27.0,73.0
92,  999,13000,2005JJ00,28.0,72.0,27.0,73.0
93,  999,13000,2006JJ00,22.0,78.0,28.0,72.0
94,  999,13000,2007JJ00,25.0,75.0,19.0,81.0
95,  999,13000,2008JJ00,23.0,77.0,19.0,81.0
96,  999,13000,2009JJ00,22.0,78.0,24.0,76.0
97,  999,13000,2010XX00,23.0,77.0,22.0,78.0
98,  999,13000,2010JJ00,26.0,74.0,20.0,80.0
99,  999,13000,2012JJ00,23.0,77.0,25.0,75.0
100,  123,10001,2003JJ00,5.0,95.0,5.0,95.0
101,  123,10001,2004JJ00,4.0,96.0,5.0,95.0
102,  123,10001,2005JJ00,5.0,95.0,6.0,94.0
103,  123,10001,2006JJ00,3.0,97.0,4.0,96.0
104,  123,10001,2007JJ00,5.0,95.0,5.0,95.0
105,  123,10001,2008JJ00,4.0,96.0,5.0,95.0
106,  123,10001,2009JJ00,4.0,96.0,6.0,94.0
107,  123,10001,2010XX00,4.0,96.0,6.0,94.0
108,  123,10001,2010JJ00,8.0,92.0,6.0,94.0
109,  123,10001,2012JJ00,5.0,95.0,7.0,93.0
110,  123,15400,2003JJ00,5.0,95.0,5.0,95.0
111,  123,15400,2004JJ00,4.0,96.0,6.0,94.0
112,  123,15400,2005JJ00,6.0,94.0,8.0,92.0
113,  123,15400,2006JJ00,3.0,97.0,4.0,96.0
114,  123,15400,2007JJ00,6.0,94.0,6.0,94.0
115,  123,15400,2008JJ00,5.0,95.0,6.0,94.0
116,  123,15400,2009JJ00,4.0,96.0,6.0,94.0
117,  123,15400,2010XX00,4.0,96.0,5.0,95.0
118,  123,15400,2010JJ00,6.0,94.0,6.0,94.0
119,  123,15400,2012JJ00,6.0,94.0,7.0,93.0
120,  123,15450,2003JJ00,4.0,96.0,5.0,95.0
121,  123,15450,2004JJ00,4.0,96.0,5.0,95.0
122,  123,15450,2005JJ00,4.0,96.0,5.0,95.0
123,  123,15450,2006JJ00,2.0,98.0,3.0,97.0
124,  123,15450,2007JJ00,4.0,96.0,4.0,96.0
125,  123,15450,2008JJ00,3.0,97.0,4.0,96.0
126,  123,15450,2009JJ00,4.0,96.0,5.0,95.0
127,  123,15450,2010XX00,5.0,95.0,7.0,93.0
128,  123,15450,2010JJ00,9.0,91.0,6.0,94.0
129,  123,15450,2012JJ00,4.0,96.0,6.0,94.0
130,  123,53110,2003JJ00,4.0,96.0,5.0,95.0
131,  123,53110,2004JJ00,4.0,96.0,6.0,94.0
132,  123,53110,2005JJ00,5.0,95.0,8.0,92.0
133,  123,53110,2006JJ00,2.0,98.0,6.0,94.0
134,  123,53110,2007JJ00,4.0,96.0,4.0,96.0
135,  123,53110,2008JJ00,2.0,98.0,5.0,95.0
136,  123,53110,2009JJ00,3.0,97.0,4.0,96.0
137,  123,53110,2010XX00,3.0,97.0,5.0,95.0
138,  123,53110,2010JJ00,7.0,93.0,5.0,95.0
139,  123,53110,2012JJ00,5.0,95.0,7.0,93.0
140,  123,53705,2003JJ00,4.0,96.0,4.0,96.0
141,  123,53705,2004JJ00,3.0,97.0,5.0,95.0
142,  123,53705,2005JJ00,5.0,95.0,5.0,95.0
143,  123,53705,2006JJ00,3.0,97.0,3.0,97.0
144,  123,53705,2007JJ00,6.0,94.0,5.0,95.0
145,  123,53705,2008JJ00,5.0,95.0,4.0,96.0
146,  123,53705,2009JJ00,4.0,96.0,6.0,94.0
147,  123,53705,2010XX00,4.0,96.0,9.0,91.0
148,  123,53705,2010JJ00,7.0,93.0,6.0,94.0
149,  123,53705,2012JJ00,6.0,94.0,6.0,94.0
150,  123,53850,2003JJ00,6.0,94.0,5.0,95.0
151,  123,53850,2004JJ00,4.0,96.0,6.0,94.0
152,  123,53850,2005JJ00,5.0,95.0,7.0,93.0
153,  123,53850,2006JJ00,2.0,98.0,3.0,97.0
154,  123,53850,2007JJ00,5.0,95.0,6.0,94.0
155,  123,53850,2008JJ00,4.0,96.0,5.0,95.0
156,  123,53850,2009JJ00,4.0,96.0,7.0,93.0
157,  123,53850,2010XX00,8.0,92.0,6.0,94.0
158,  123,53850,2010JJ00,8.0,92.0,7.0,93.0
159,  123,53850,2012JJ00,,,,
160,  123,15700,2003JJ00,6.0,94.0,5.0,95.0
161,  123,15700,2004JJ00,4.0,96.0,5.0,95.0
162,  123,15700,2005JJ00,5.0,95.0,4.0,96.0
163,  123,15700,2006JJ00,5.0,95.0,1.0,99.0
164,  123,15700,2007JJ00,11.0,89.0,8.0,92.0
165,  123,15700,2008JJ00,6.0,94.0,5.0,95.0
166,  123,15700,2009JJ00,6.0,94.0,5.0,95.0
167,  123,15700,2010XX00,,,,
168,  123,15700,2010JJ00,,,,
169,  123,15700,2012JJ00,,,,
170,  123,12600,2003JJ00,4.0,96.0,4.0,96.0
171,  123,12600,2004JJ00,3.0,97.0,5.0,95.0
172,  123,12600,2005JJ00,3.0,97.0,5.0,95.0
173,  123,12600,2006JJ00,2.0,98.0,3.0,97.0
174,  123,12600,2007JJ00,5.0,95.0,5.0,95.0
175,  123,12600,2008JJ00,3.0,97.0,5.0,95.0
176,  123,12600,2009JJ00,3.0,97.0,4.0,96.0
177,  123,12600,2010XX00,4.0,96.0,6.0,94.0
178,  123,12600,2010JJ00,7.0,93.0,6.0,94.0
179,  123,12600,2012JJ00,4.0,96.0,5.0,95.0
180,  123,12650,2003JJ00,6.0,94.0,6.0,94.0
181,  123,12650,2004JJ00,3.0,97.0,6.0,94.0
182,  123,12650,2005JJ00,6.0,94.0,6.0,94.0
183,  123,12650,2006JJ00,4.0,96.0,6.0,94.0
184,  123,12650,2007JJ00,7.0,93.0,6.0,94.0
185,  123,12650,2008JJ00,4.0,96.0,5.0,95.0
186,  123,12650,2009JJ00,6.0,94.0,9.0,91.0
187,  123,12650,2010XX00,,,,
188,  123,12650,2010JJ00,,,,
189,  123,12650,2012JJ00,,,,
190,  123,13000,2003JJ00,12.0,88.0,12.0,88.0
191,  123,13000,2004JJ00,14.0,86.0,16.0,84.0
192,  123,13000,2005JJ00,16.0,84.0,19.0,81.0
193,  123,13000,2006JJ00,,,,
194,  123,13000,2007JJ00,11.0,89.0,4.0,96.0
195,  123,13000,2008JJ00,11.0,89.0,7.0,93.0
196,  123,13000,2009JJ00,12.0,88.0,14.0,86.0
197,  123,13000,2010XX00,,,,
198,  123,13000,2010JJ00,,,,
199,  123,13000,2012JJ00,,,,
200,  456,10001,2003JJ00,9.0,91.0,9.0,91.0
201,  456,10001,2004JJ00,9.0,91.0,10.0,90.0
202,  456,10001,2005JJ00,10.0,90.0,10.0,90.0
203,  456,10001,2006JJ00,8.0,92.0,10.0,90.0
204,  456,10001,2007JJ00,8.0,92.0,9.0,91.0
205,  456,10001,2008JJ00,8.0,92.0,8.0,92.0
206,  456,10001,2009JJ00,8.0,92.0,9.0,91.0
207,  456,10001,2010XX00,8.0,92.0,10.0,90.0
208,  456,10001,2010JJ00,12.0,88.0,12.0,88.0
209,  456,10001,2012JJ00,12.0,88.0,12.0,88.0
210,  456,15400,2003JJ00,9.0,91.0,9.0,91.0
211,  456,15400,2004JJ00,8.0,92.0,10.0,90.0
212,  456,15400,2005JJ00,10.0,90.0,10.0,90.0
213,  456,15400,2006JJ00,7.0,93.0,10.0,90.0
214,  456,15400,2007JJ00,7.0,93.0,9.0,91.0
215,  456,15400,2008JJ00,8.0,92.0,8.0,92.0
216,  456,15400,2009JJ00,7.0,93.0,9.0,91.0
217,  456,15400,2010XX00,7.0,93.0,10.0,90.0
218,  456,15400,2010JJ00,11.0,89.0,12.0,88.0
219,  456,15400,2012JJ00,14.0,86.0,14.0,86.0
220,  456,15450,2003JJ00,9.0,91.0,9.0,91.0
221,  456,15450,2004JJ00,10.0,90.0,10.0,90.0
222,  456,15450,2005JJ00,10.0,90.0,10.0,90.0
223,  456,15450,2006JJ00,10.0,90.0,11.0,89.0
224,  456,15450,2007JJ00,9.0,91.0,10.0,90.0
225,  456,15450,2008JJ00,8.0,92.0,8.0,92.0
226,  456,15450,2009JJ00,9.0,91.0,10.0,90.0
227,  456,15450,2010XX00,9.0,91.0,9.0,91.0
228,  456,15450,2010JJ00,13.0,87.0,12.0,88.0
229,  456,15450,2012JJ00,11.0,89.0,11.0,89.0
230,  456,53110,2003JJ00,8.0,92.0,9.0,91.0
231,  456,53110,2004JJ00,8.0,92.0,11.0,89.0
232,  456,53110,2005JJ00,10.0,90.0,11.0,89.0
233,  456,53110,2006JJ00,7.0,93.0,10.0,90.0
234,  456,53110,2007JJ00,9.0,91.0,9.0,91.0
235,  456,53110,2008JJ00,6.0,94.0,8.0,92.0
236,  456,53110,2009JJ00,7.0,93.0,9.0,91.0
237,  456,53110,2010XX00,7.0,93.0,9.0,91.0
238,  456,53110,2010JJ00,12.0,88.0,13.0,87.0
239,  456,53110,2012JJ00,12.0,88.0,14.0,86.0
240,  456,53705,2003JJ00,9.0,91.0,11.0,89.0
241,  456,53705,2004JJ00,9.0,91.0,10.0,90.0
242,  456,53705,2005JJ00,9.0,91.0,11.0,89.0
243,  456,53705,2006JJ00,9.0,91.0,12.0,88.0
244,  456,53705,2007JJ00,6.0,94.0,10.0,90.0
245,  456,53705,2008JJ00,9.0,91.0,10.0,90.0
246,  456,53705,2009JJ00,9.0,91.0,13.0,87.0
247,  456,53705,2010XX00,7.0,93.0,12.0,88.0
248,  456,53705,2010JJ00,12.0,88.0,12.0,88.0
249,  456,53705,2012JJ00,13.0,87.0,13.0,87.0
250,  456,53850,2003JJ00,9.0,91.0,8.0,92.0
251,  456,53850,2004JJ00,9.0,91.0,9.0,91.0
252,  456,53850,2005JJ00,10.0,90.0,10.0,90.0
253,  456,53850,2006JJ00,9.0,91.0,10.0,90.0
254,  456,53850,2007JJ00,9.0,91.0,9.0,91.0
255,  456,53850,2008JJ00,8.0,92.0,7.0,93.0
256,  456,53850,2009JJ00,8.0,92.0,8.0,92.0
257,  456,53850,2010XX00,8.0,92.0,10.0,90.0
258,  456,53850,2010JJ00,12.0,88.0,11.0,89.0
259,  456,53850,2012JJ00,14.0,86.0,14.0,86.0
260,  456,15700,2003JJ00,12.0,88.0,8.0,92.0
261,  456,15700,2004JJ00,10.0,90.0,6.0,94.0
262,  456,15700,2005JJ00,11.0,89.0,7.0,93.0
263,  456,15700,2006JJ00,9.0,91.0,8.0,92.0
264,  456,15700,2007JJ00,9.0,91.0,9.0,91.0
265,  456,15700,2008JJ00,9.0,91.0,5.0,95.0
266,  456,15700,2009JJ00,9.0,91.0,6.0,94.0
267,  456,15700,2010XX00,11.0,89.0,7.0,93.0
268,  456,15700,2010JJ00,13.0,87.0,11.0,89.0
269,  456,15700,2012JJ00,11.0,89.0,9.0,91.0
270,  456,12600,2003JJ00,8.0,92.0,8.0,92.0
271,  456,12600,2004JJ00,8.0,92.0,9.0,91.0
272,  456,12600,2005JJ00,8.0,92.0,9.0,91.0
273,  456,12600,2006JJ00,8.0,92.0,9.0,91.0
274,  456,12600,2007JJ00,7.0,93.0,9.0,91.0
275,  456,12600,2008JJ00,7.0,93.0,7.0,93.0
276,  456,12600,2009JJ00,7.0,93.0,8.0,92.0
277,  456,12600,2010XX00,7.0,93.0,9.0,91.0
278,  456,12600,2010JJ00,11.0,89.0,11.0,89.0
279,  456,12600,2012JJ00,12.0,88.0,12.0,88.0
280,  456,12650,2003JJ00,13.0,87.0,10.0,90.0
281,  456,12650,2004JJ00,10.0,90.0,12.0,88.0
282,  456,12650,2005JJ00,12.0,88.0,12.0,88.0
283,  456,12650,2006JJ00,9.0,91.0,12.0,88.0
284,  456,12650,2007JJ00,11.0,89.0,13.0,87.0
285,  456,12650,2008JJ00,11.0,89.0,13.0,87.0
286,  456,12650,2009JJ00,10.0,90.0,14.0,86.0
287,  456,12650,2010XX00,11.0,89.0,15.0,85.0
288,  456,12650,2010JJ00,15.0,85.0,15.0,85.0
289,  456,12650,2012JJ00,,,,
290,  456,13000,2003JJ00,20.0,80.0,18.0,82.0
291,  456,13000,2004JJ00,18.0,82.0,18.0,82.0
292,  456,13000,2005JJ00,24.0,76.0,19.0,81.0
293,  456,13000,2006JJ00,14.0,86.0,22.0,78.0
294,  456,13000,2007JJ00,15.0,85.0,13.0,87.0
295,  456,13000,2008JJ00,14.0,86.0,9.0,91.0
296,  456,13000,2009JJ00,15.0,85.0,20.0,80.0
297,  456,13000,2010XX00,10.0,90.0,13.0,87.0
298,  456,13000,2010JJ00,19.0,81.0,14.0,86.0
299,  456,13000,2012JJ00,,,,
300,  789,10001,2003JJ00,29.0,71.0,30.0,70.0
301,  789,10001,2004JJ00,29.0,71.0,29.0,71.0
302,  789,10001,2005JJ00,28.0,72.0,29.0,71.0
303,  789,10001,2006JJ00,28.0,72.0,30.0,70.0
304,  789,10001,2007JJ00,29.0,71.0,29.0,71.0
305,  789,10001,2008JJ00,28.0,72.0,28.0,72.0
306,  789,10001,2009JJ00,27.0,73.0,28.0,72.0
307,  789,10001,2010XX00,32.0,68.0,31.0,69.0
308,  789,10001,2010JJ00,33.0,67.0,32.0,68.0
309,  789,10001,2012JJ00,39.0,61.0,38.0,62.0
310,  789,15400,2003JJ00,29.0,71.0,30.0,70.0
311,  789,15400,2004JJ00,29.0,71.0,30.0,70.0
312,  789,15400,2005JJ00,27.0,73.0,29.0,71.0
313,  789,15400,2006JJ00,27.0,73.0,31.0,69.0
314,  789,15400,2007JJ00,28.0,72.0,29.0,71.0
315,  789,15400,2008JJ00,29.0,71.0,28.0,72.0
316,  789,15400,2009JJ00,25.0,75.0,28.0,72.0
317,  789,15400,2010XX00,30.0,70.0,31.0,69.0
318,  789,15400,2010JJ00,33.0,67.0,32.0,68.0
319,  789,15400,2012JJ00,45.0,55.0,40.0,60.0
320,  789,15450,2003JJ00,29.0,71.0,30.0,70.0
321,  789,15450,2004JJ00,29.0,71.0,29.0,71.0
322,  789,15450,2005JJ00,29.0,71.0,29.0,71.0
323,  789,15450,2006JJ00,28.0,72.0,29.0,71.0
324,  789,15450,2007JJ00,30.0,70.0,28.0,72.0
325,  789,15450,2008JJ00,27.0,73.0,28.0,72.0
326,  789,15450,2009JJ00,29.0,71.0,28.0,72.0
327,  789,15450,2010XX00,33.0,67.0,31.0,69.0
328,  789,15450,2010JJ00,33.0,67.0,32.0,68.0
329,  789,15450,2012JJ00,35.0,65.0,37.0,63.0
330,  789,53110,2003JJ00,28.0,72.0,35.0,65.0
331,  789,53110,2004JJ00,30.0,70.0,32.0,68.0
332,  789,53110,2005JJ00,30.0,70.0,37.0,63.0
333,  789,53110,2006JJ00,26.0,74.0,33.0,67.0
334,  789,53110,2007JJ00,27.0,73.0,31.0,69.0
335,  789,53110,2008JJ00,24.0,76.0,27.0,73.0
336,  789,53110,2009JJ00,35.0,65.0,41.0,59.0
337,  789,53110,2010XX00,,,,
338,  789,53110,2010JJ00,39.0,61.0,38.0,62.0
339,  789,53110,2012JJ00,,,,
340,  789,53705,2003JJ00,35.0,65.0,38.0,62.0
341,  789,53705,2004JJ00,32.0,68.0,39.0,61.0
342,  789,53705,2005JJ00,30.0,70.0,32.0,68.0
343,  789,53705,2006JJ00,34.0,66.0,39.0,61.0
344,  789,53705,2007JJ00,33.0,67.0,37.0,63.0
345,  789,53705,2008JJ00,33.0,67.0,37.0,63.0
346,  789,53705,2009JJ00,32.0,68.0,33.0,67.0
347,  789,53705,2010XX00,39.0,61.0,34.0,66.0
348,  789,53705,2010JJ00,37.0,63.0,38.0,62.0
349,  789,53705,2012JJ00,,,,
350,  789,53850,2003JJ00,26.0,74.0,28.0,72.0
351,  789,53850,2004JJ00,27.0,73.0,27.0,73.0
352,  789,53850,2005JJ00,28.0,72.0,30.0,70.0
353,  789,53850,2006JJ00,27.0,73.0,30.0,70.0
354,  789,53850,2007JJ00,29.0,71.0,28.0,72.0
355,  789,53850,2008JJ00,29.0,71.0,28.0,72.0
356,  789,53850,2009JJ00,23.0,77.0,25.0,75.0
357,  789,53850,2010XX00,29.0,71.0,32.0,68.0
358,  789,53850,2010JJ00,31.0,69.0,31.0,69.0
359,  789,53850,2012JJ00,44.0,56.0,41.0,59.0
360,  789,15700,2003JJ00,28.0,72.0,24.0,76.0
361,  789,15700,2004JJ00,27.0,73.0,23.0,77.0
362,  789,15700,2005JJ00,26.0,74.0,20.0,80.0
363,  789,15700,2006JJ00,26.0,74.0,21.0,79.0
364,  789,15700,2007JJ00,27.0,73.0,22.0,78.0
365,  789,15700,2008JJ00,24.0,76.0,22.0,78.0
366,  789,15700,2009JJ00,25.0,75.0,23.0,77.0
367,  789,15700,2010XX00,29.0,71.0,26.0,74.0
368,  789,15700,2010JJ00,31.0,69.0,25.0,75.0
369,  789,15700,2012JJ00,32.0,68.0,26.0,74.0
370,  789,12600,2003JJ00,26.0,74.0,28.0,72.0
371,  789,12600,2004JJ00,25.0,75.0,27.0,73.0
372,  789,12600,2005JJ00,26.0,74.0,27.0,73.0
373,  789,12600,2006JJ00,26.0,74.0,27.0,73.0
374,  789,12600,2007JJ00,25.0,75.0,27.0,73.0
375,  789,12600,2008JJ00,24.0,76.0,25.0,75.0
376,  789,12600,2009JJ00,26.0,74.0,27.0,73.0
377,  789,12600,2010XX00,29.0,71.0,29.0,71.0
378,  789,12600,2010JJ00,31.0,69.0,30.0,70.0
379,  789,12600,2012JJ00,38.0,62.0,36.0,64.0
380,  789,12650,2003JJ00,31.0,69.0,33.0,67.0
381,  789,12650,2004JJ00,31.0,69.0,30.0,70.0
382,  789,12650,2005JJ00,33.0,67.0,28.0,72.0
383,  789,12650,2006JJ00,29.0,71.0,34.0,66.0
384,  789,12650,2007JJ00,33.0,67.0,31.0,69.0
385,  789,12650,2008JJ00,34.0,66.0,32.0,68.0
386,  789,12650,2009JJ00,24.0,76.0,29.0,71.0
387,  789,12650,2010XX00,,,,
388,  789,12650,2010JJ00,,,,
389,  789,12650,2012JJ00,,,,
390,  789,13000,2003JJ00,45.0,55.0,40.0,60.0
391,  789,13000,2004JJ00,48.0,52.0,46.0,54.0
392,  789,13000,2005JJ00,39.0,61.0,40.0,60.0
393,  789,13000,2006JJ00,42.0,58.0,42.0,58.0
394,  789,13000,2007JJ00,48.0,52.0,37.0,63.0
395,  789,13000,2008JJ00,44.0,56.0,39.0,61.0
396,  789,13000,2009JJ00,41.0,59.0,37.0,63.0
397,  789,13000,2010XX00,47.0,53.0,40.0,60.0
398,  789,13000,2010JJ00,43.0,57.0,39.0,61.0
399,  789,13000,2012JJ00,,,,
400, 1234,10001,2003JJ00,12.0,88.0,11.0,89.0
401, 1234,10001,2004JJ00,11.0,89.0,11.0,89.0
402, 1234,10001,2005JJ00,12.0,88.0,11.0,89.0
403, 1234,10001,2006JJ00,10.0,90.0,11.0,89.0
404, 1234,10001,2007JJ00,10.0,90.0,11.0,89.0
405, 1234,10001,2008JJ00,10.0,90.0,10.0,90.0
406, 1234,10001,2009JJ00,10.0,90.0,11.0,89.0
407, 1234,10001,2010XX00,11.0,89.0,12.0,88.0
408, 1234,10001,2010JJ00,14.0,86.0,13.0,87.0
409, 1234,10001,2012JJ00,,,,
410, 1234,15400,2003JJ00,11.0,89.0,11.0,89.0
411, 1234,15400,2004JJ00,9.0,91.0,10.0,90.0
412, 1234,15400,2005JJ00,10.0,90.0,11.0,89.0
413, 1234,15400,2006JJ00,8.0,92.0,11.0,89.0
414, 1234,15400,2007JJ00,9.0,91.0,10.0,90.0
415, 1234,15400,2008JJ00,9.0,91.0,9.0,91.0
416, 1234,15400,2009JJ00,8.0,92.0,10.0,90.0
417, 1234,15400,2010XX00,10.0,90.0,10.0,90.0
418, 1234,15400,2010JJ00,12.0,88.0,12.0,88.0
419, 1234,15400,2012JJ00,,,,
420, 1234,15450,2003JJ00,13.0,87.0,12.0,88.0
421, 1234,15450,2004JJ00,13.0,87.0,12.0,88.0
422, 1234,15450,2005JJ00,13.0,87.0,12.0,88.0
423, 1234,15450,2006JJ00,12.0,88.0,12.0,88.0
424, 1234,15450,2007JJ00,12.0,88.0,11.0,89.0
425, 1234,15450,2008JJ00,11.0,89.0,11.0,89.0
426, 1234,15450,2009JJ00,12.0,88.0,12.0,88.0
427, 1234,15450,2010XX00,12.0,88.0,13.0,87.0
428, 1234,15450,2010JJ00,16.0,84.0,14.0,86.0
429, 1234,15450,2012JJ00,,,,
430, 1234,53110,2003JJ00,8.0,92.0,9.0,91.0
431, 1234,53110,2004JJ00,8.0,92.0,9.0,91.0
432, 1234,53110,2005JJ00,8.0,92.0,10.0,90.0
433, 1234,53110,2006JJ00,7.0,93.0,10.0,90.0
434, 1234,53110,2007JJ00,7.0,93.0,8.0,92.0
435, 1234,53110,2008JJ00,5.0,95.0,7.0,93.0
436, 1234,53110,2009JJ00,7.0,93.0,9.0,91.0
437, 1234,53110,2010XX00,7.0,93.0,9.0,91.0
438, 1234,53110,2010JJ00,12.0,88.0,10.0,90.0
439, 1234,53110,2012JJ00,,,,
440, 1234,53705,2003JJ00,10.0,90.0,12.0,88.0
441, 1234,53705,2004JJ00,10.0,90.0,12.0,88.0
442, 1234,53705,2005JJ00,10.0,90.0,11.0,89.0
443, 1234,53705,2006JJ00,9.0,91.0,12.0,88.0
444, 1234,53705,2007JJ00,8.0,92.0,11.0,89.0
445, 1234,53705,2008JJ00,10.0,90.0,11.0,89.0
446, 1234,53705,2009JJ00,9.0,91.0,13.0,87.0
447, 1234,53705,2010XX00,10.0,90.0,13.0,87.0
448, 1234,53705,2010JJ00,14.0,86.0,14.0,86.0
449, 1234,53705,2012JJ00,,,,
450, 1234,53850,2003JJ00,13.0,87.0,11.0,89.0
451, 1234,53850,2004JJ00,12.0,88.0,12.0,88.0
452, 1234,53850,2005JJ00,13.0,87.0,13.0,87.0
453, 1234,53850,2006JJ00,11.0,89.0,13.0,87.0
454, 1234,53850,2007JJ00,12.0,88.0,12.0,88.0
455, 1234,53850,2008JJ00,12.0,88.0,11.0,89.0
