ID,GegevensdefinitiePerSoortGegeven,MateVanStandaardisatieVanDefinities,BedrijfstakkenBranchesSBI93,Perioden,AantalBedrijven250WerkzamePersonen_1,PercentageBedrijven250WerkzPers_2
58,  1,  2,       6,2007JJ00  ,132,31
59,  1,  2,       6,2008JJ00  ,175,41
60,  1,  2,       7,2006JJ00  ,259,31
61,  1,  2,       7,2007JJ00  ,277,33
62,  1,  2,       7,2008JJ00  ,277,33
63,  1,  3,       1,2006JJ00  ,329,14
64,  1,  3,       1,2007JJ00  ,326,14
65,  1,  3,       1,2008JJ00  ,299,13
66,  1,  3,       2,2006JJ00  ,49,10
67,  1,  3,       2,2007JJ00  ,43,9
68,  1,  3,       2,2008JJ00  ,49,10
69,  1,  3,       3,2006JJ00  ,54,18
70,  1,  3,       3,2007JJ00  ,77,26
71,  1,  3,       3,2008JJ00  ,46,15
72,  1,  3,       4,2006JJ00  ,29,19
73,  1,  3,       4,2007JJ00  ,28,18
74,  1,  3,       4,2008JJ00  ,36,25
75,  1,  3,       5,2006JJ00  ,19,26
76,  1,  3,       5,2007JJ00  ,3,4
77,  1,  3,       5,2008JJ00  ,2,3
78,  1,  3,       6,2006JJ00  ,44,10
79,  1,  3,       6,2007JJ00  ,52,12
80,  1,  3,       6,2008JJ00  ,51,12
81,  1,  3,       7,2006JJ00  ,135,16
82,  1,  3,       7,2007JJ00  ,124,15
83,  1,  3,       7,2008JJ00  ,115,14
84,  1,  4,       1,2006JJ00  ,29,1
85,  1,  4,       1,2007JJ00  ,30,1
86,  1,  4,       1,2008JJ00  ,36,2
87,  1,  4,       2,2006JJ00  ,4,1
88,  1,  4,       2,2007JJ00  ,6,1
89,  1,  4,       2,2008JJ00  ,1,0
90,  1,  4,       3,2006JJ00  ,9,3
91,  1,  4,       3,2007JJ00  ,2,1
92,  1,  4,       3,2008JJ00  ,4,1
93,  1,  4,       4,2006JJ00  ,2,1
94,  1,  4,       4,2007JJ00  ,0,0
95,  1,  4,       4,2008JJ00  ,2,1
96,  1,  4,       5,2006JJ00  ,0,0
97,  1,  4,       5,2007JJ00  ,0,0
98,  1,  4,       5,2008JJ00  ,0,0
99,  1,  4,       6,2006JJ00  ,9,2
100,  1,  4,       6,2007JJ00  ,2,0
101,  1,  4,       6,2008JJ00  ,6,1
102,  1,  4,       7,2006JJ00  ,5,1
103,  1,  4,       7,2007JJ00  ,20,2
104,  1,  4,       7,2008JJ00  ,24,3
105,  2,  0,       1,2006JJ00  ,2282,100
106,  2,  0,       1,2007JJ00  ,2273,100
107,  2,  0,       1,2008JJ00  ,2256,100
108,  2,  0,       2,2006JJ00  ,495,100
109,  2,  0,       2,2007JJ00  ,496,100
110,  2,  0,       2,2008JJ00  ,492,100
111,  2,  0,       3,2006JJ00  ,293,100
112,  2,  0,       3,2007JJ00  ,298,100
113,  2,  0,       3,2008JJ00  ,299,100
114,  2,  0,       4,2006JJ00  ,152,100
115,  2,  0,       4,2007JJ00  ,153,100
116,  2,  0,       4,2008JJ00  ,146,100
117,  2,  0,       5,2006JJ00  ,74,100
118,  2,  0,       5,2007JJ00  ,73,100
119,  2,  0,       5,2008JJ00  ,63,100
120,  2,  0,       6,2006JJ00  ,430,100
121,  2,  0,       6,2007JJ00  ,423,100
122,  2,  0,       6,2008JJ00  ,430,100
123,  2,  0,       7,2006JJ00  ,838,100
124,  2,  0,       7,2007JJ00  ,830,100
125,  2,  0,       7,2008JJ00  ,827,100
126,  2,  1,       1,2006JJ00  ,959,42
127,  2,  1,       1,2007JJ00  ,999,44
128,  2,  1,       1,2008JJ00  ,948,42
129,  2,  1,       2,2006JJ00  ,303,61
130,  2,  1,       2,2007JJ00  ,281,57
131,  2,  1,       2,2008JJ00  ,294,60
132,  2,  1,       3,2006JJ00  ,165,56
133,  2,  1,       3,2007JJ00  ,190,64
134,  2,  1,       3,2008JJ00  ,185,62
135,  2,  1,       4,2006JJ00  ,47,31
136,  2,  1,       4,2007JJ00  ,63,41
137,  2,  1,       4,2008JJ00  ,68,47
138,  2,  1,       5,2006JJ00  ,29,39
139,  2,  1,       5,2007JJ00  ,20,27
140,  2,  1,       5,2008JJ00  ,21,33
141,  2,  1,       6,2006JJ00  ,186,43
142,  2,  1,       6,2007JJ00  ,203,48
143,  2,  1,       6,2008JJ00  ,147,34
144,  2,  1,       7,2006JJ00  ,230,27
145,  2,  1,       7,2007JJ00  ,243,29
146,  2,  1,       7,2008JJ00  ,232,28
147,  2,  2,       1,2006JJ00  ,844,37
148,  2,  2,       1,2007JJ00  ,851,37
149,  2,  2,       1,2008JJ00  ,884,39
150,  2,  2,       2,2006JJ00  ,150,30
151,  2,  2,       2,2007JJ00  ,170,34
152,  2,  2,       2,2008JJ00  ,152,31
153,  2,  2,       3,2006JJ00  ,86,29
154,  2,  2,       3,2007JJ00  ,80,27
155,  2,  2,       3,2008JJ00  ,97,32
156,  2,  2,       4,2006JJ00  ,65,43
157,  2,  2,       4,2007JJ00  ,66,43
158,  2,  2,       4,2008JJ00  ,43,29
159,  2,  2,       5,2006JJ00  ,20,27
160,  2,  2,       5,2007JJ00  ,36,49
161,  2,  2,       5,2008JJ00  ,27,43
162,  2,  2,       6,2006JJ00  ,162,38
163,  2,  2,       6,2007JJ00  ,147,35
164,  2,  2,       6,2008JJ00  ,201,47
165,  2,  2,       7,2006JJ00  ,360,43
166,  2,  2,       7,2007JJ00  ,352,42
167,  2,  2,       7,2008JJ00  ,363,44
168,  2,  3,       1,2006JJ00  ,443,19
169,  2,  3,       1,2007JJ00  ,389,17
170,  2,  3,       1,2008JJ00  ,385,17
171,  2,  3,       2,2006JJ00  ,36,7
172,  2,  3,       2,2007JJ00  ,40,8
173,  2,  3,       2,2008JJ00  ,43,9
174,  2,  3,       3,2006JJ00  ,32,11
175,  2,  3,       3,2007JJ00  ,28,9
176,  2,  3,       3,2008JJ00  ,14,5
177,  2,  3,       4,2006JJ00  ,40,26
178,  2,  3,       4,2007JJ00  ,24,16
179,  2,  3,       4,2008JJ00  ,33,23
180,  2,  3,       5,2006JJ00  ,25,34
181,  2,  3,       5,2007JJ00  ,11,15
182,  2,  3,       5,2008JJ00  ,15,24
183,  2,  3,       6,2006JJ00  ,67,16
184,  2,  3,       6,2007JJ00  ,71,17
185,  2,  3,       6,2008JJ00  ,75,17
186,  2,  3,       7,2006JJ00  ,243,29
187,  2,  3,       7,2007JJ00  ,213,26
188,  2,  3,       7,2008JJ00  ,206,25
189,  2,  4,       1,2006JJ00  ,36,2
190,  2,  4,       1,2007JJ00  ,34,1
191,  2,  4,       1,2008JJ00  ,39,2
192,  2,  4,       2,2006JJ00  ,7,1
193,  2,  4,       2,2007JJ00  ,4,1
194,  2,  4,       2,2008JJ00  ,2,0
195,  2,  4,       3,2006JJ00  ,9,3
196,  2,  4,       3,2007JJ00  ,0,0
197,  2,  4,       3,2008JJ00  ,4,1
198,  2,  4,       4,2006JJ00  ,0,0
199,  2,  4,       4,2007JJ00  ,0,0
200,  2,  4,       4,2008JJ00  ,2,1
201,  2,  4,       5,2006JJ00  ,0,0
202,  2,  4,       5,2007JJ00  ,6,8
203,  2,  4,       5,2008JJ00  ,0,0
204,  2,  4,       6,2006JJ00  ,15,3
205,  2,  4,       6,2007JJ00  ,2,0
206,  2,  4,       6,2008JJ00  ,6,1
207,  2,  4,       7,2006JJ00  ,6,1
208,  2,  4,       7,2007JJ00  ,22,3
209,  2,  4,       7,2008JJ00  ,26,3
210,  3,  0,       1,2006JJ00  ,2282,100
211,  3,  0,       1,2007JJ00  ,2273,100
212,  3,  0,       1,2008JJ00  ,2256,100
213,  3,  0,       2,2006JJ00  ,495,100
214,  3,  0,       2,2007JJ00  ,496,100
215,  3,  0,       2,2008JJ00  ,492,100
216,  3,  0,       3,2006JJ00  ,293,100
217,  3,  0,       3,2007JJ00  ,298,100
218,  3,  0,       3,2008JJ00  ,299,100
219,  3,  0,       4,2006JJ00  ,152,100
220,  3,  0,       4,2007JJ00  ,153,100
221,  3,  0,       4,2008JJ00  ,146,100
222,  3,  0,       5,2006JJ00  ,74,100
223,  3,  0,       5,2007JJ00  ,73,100
224,  3,  0,       5,2008JJ00  ,63,100
225,  3,  0,       6,2006JJ00  ,430,100
226,  3,  0,       6,2007JJ00  ,423,100
227,  3,  0,       6,2008JJ00  ,430,100
228,  3,  0,       7,2006JJ00  ,838,100
229,  3,  0,       7,2007JJ00  ,830,100
230,  3,  0,       7,2008JJ00  ,827,100
231,  3,  1,       1,2006JJ00  ,1071,47
232,  3,  1,       1,2007JJ00  ,1133,50
233,  3,  1,       1,2008JJ00  ,1080,48
234,  3,  1,       2,2006JJ00  ,306,62
235,  3,  1,       2,2007JJ00  ,301,61
236,  3,  1,       2,2008JJ00  ,305,62
237,  3,  1,       3,2006JJ00  ,207,71
238,  3,  1,       3,2007JJ00  ,219,73
239,  3,  1,       3,2008JJ00  ,217,73
240,  3,  1,       4,2006JJ00  ,60,39
241,  3,  1,       4,2007JJ00  ,79,52
242,  3,  1,       4,2008JJ00  ,63,43
243,  3,  1,       5,2006JJ00  ,40,54
244,  3,  1,       5,2007JJ00  ,46,63
245,  3,  1,       5,2008JJ00  ,38,60
246,  3,  1,       6,2006JJ00  ,178,41
247,  3,  1,       6,2007JJ00  ,181,43
248,  3,  1,       6,2008JJ00  ,163,38
249,  3,  1,       7,2006JJ00  ,281,34
250,  3,  1,       7,2007JJ00  ,308,37
251,  3,  1,       7,2008JJ00  ,295,36
252,  3,  2,       1,2006JJ00  ,750,33
253,  3,  2,       1,2007JJ00  ,756,33
254,  3,  2,       1,2008JJ00  ,776,34
255,  3,  2,       2,2006JJ00  ,141,28
256,  3,  2,       2,2007JJ00  ,142,29
257,  3,  2,       2,2008JJ00  ,135,27
258,  3,  2,       3,2006JJ00  ,57,19
259,  3,  2,       3,2007JJ00  ,65,22
260,  3,  2,       3,2008JJ00  ,69,23
261,  3,  2,       4,2006JJ00  ,62,41
262,  3,  2,       4,2007JJ00  ,46,30
263,  3,  2,       4,2008JJ00  ,56,38
264,  3,  2,       5,2006JJ00  ,18,24
265,  3,  2,       5,2007JJ00  ,17,23
266,  3,  2,       5,2008JJ00  ,16,25
267,  3,  2,       6,2006JJ00  ,164,38
268,  3,  2,       6,2007JJ00  ,175,41
269,  3,  2,       6,2008JJ00  ,168,39
270,  3,  2,       7,2006JJ00  ,308,37
271,  3,  2,       7,2007JJ00  ,311,37
272,  3,  2,       7,2008JJ00  ,332,40
273,  3,  3,       1,2006JJ00  ,415,18
274,  3,  3,       1,2007JJ00  ,350,15
275,  3,  3,       1,2008JJ00  ,357,16
276,  3,  3,       2,2006JJ00  ,39,8
277,  3,  3,       2,2007JJ00  ,48,10
278,  3,  3,       2,2008JJ00  ,50,10
279,  3,  3,       3,2006JJ00  ,19,6
280,  3,  3,       3,2007JJ00  ,13,4
281,  3,  3,       3,2008JJ00  ,10,3
282,  3,  3,       4,2006JJ00  ,29,19
283,  3,  3,       4,2007JJ00  ,28,18
284,  3,  3,       4,2008JJ00  ,25,17
285,  3,  3,       5,2006JJ00  ,17,23
286,  3,  3,       5,2007JJ00  ,11,15
287,  3,  3,       5,2008JJ00  ,8,13
288,  3,  3,       6,2006JJ00  ,76,18
289,  3,  3,       6,2007JJ00  ,65,15
290,  3,  3,       6,2008JJ00  ,93,22
291,  3,  3,       7,2006JJ00  ,235,28
292,  3,  3,       7,2007JJ00  ,186,22
293,  3,  3,       7,2008JJ00  ,170,21
294,  3,  4,       1,2006JJ00  ,47,2
295,  3,  4,       1,2007JJ00  ,33,1
296,  3,  4,       1,2008JJ00  ,43,2
297,  3,  4,       2,2006JJ00  ,9,2
298,  3,  4,       2,2007JJ00  ,4,1
299,  3,  4,       2,2008JJ00  ,1,0
300,  3,  4,       3,2006JJ00  ,9,3
301,  3,  4,       3,2007JJ00  ,2,1
302,  3,  4,       3,2008JJ00  ,4,1
303,  3,  4,       4,2006JJ00  ,2,1
304,  3,  4,       4,2007JJ00  ,0,0
305,  3,  4,       4,2008JJ00  ,2,1
306,  3,  4,       5,2006JJ00  ,0,0
307,  3,  4,       5,2007JJ00  ,0,0
308,  3,  4,       5,2008JJ00  ,0,0
309,  3,  4,       6,2006JJ00  ,12,3
310,  3,  4,       6,2007JJ00  ,2,0
311,  3,  4,       6,2008JJ00  ,6,1
312,  3,  4,       7,2006JJ00  ,14,2
313,  3,  4,       7,2007JJ00  ,25,3
314,  3,  4,       7,2008JJ00  ,31,4
315,  4,  0,       1,2006JJ00  ,2282,100
316,  4,  0,       1,2007JJ00  ,2273,100
317,  4,  0,       1,2008JJ00  ,2256,100
318,  4,  0,       2,2006JJ00  ,495,100
319,  4,  0,       2,2007JJ00  ,496,100
320,  4,  0,       2,2008JJ00  ,492,100
321,  4,  0,       3,2006JJ00  ,293,100
322,  4,  0,       3,2007JJ00  ,298,100
323,  4,  0,       3,2008JJ00  ,299,100
324,  4,  0,       4,2006JJ00  ,152,100
325,  4,  0,       4,2007JJ00  ,153,100
326,  4,  0,       4,2008JJ00  ,146,100
327,  4,  0,       5,2006JJ00  ,74,100
328,  4,  0,       5,2007JJ00  ,73,100
329,  4,  0,       5,2008JJ00  ,63,100
330,  4,  0,       6,2006JJ00  ,430,100
331,  4,  0,       6,2007JJ00  ,423,100
332,  4,  0,       6,2008JJ00  ,430,100
333,  4,  0,       7,2006JJ00  ,838,100
334,  4,  0,       7,2007JJ00  ,830,100
335,  4,  0,       7,2008JJ00  ,827,100
336,  4,  1,       1,2006JJ00  ,638,28
337,  4,  1,       1,2007JJ00  ,663,29
338,  4,  1,       1,2008JJ00  ,620,27
339,  4,  1,       2,2006JJ00  ,226,46
340,  4,  1,       2,2007JJ00  ,215,43
341,  4,  1,       2,2008JJ00  ,222,45
342,  4,  1,       3,2006JJ00  ,157,54
343,  4,  1,       3,2007JJ00  ,171,57
344,  4,  1,       3,2008JJ00  ,176,59
345,  4,  1,       4,2006JJ00  ,44,29
346,  4,  1,       4,2007JJ00  ,61,40
347,  4,  1,       4,2008JJ00  ,55,38
348,  4,  1,       5,2006JJ00  ,8,11
349,  4,  1,       5,2007JJ00  ,13,18
350,  4,  1,       5,2008JJ00  ,11,17
351,  4,  1,       6,2006JJ00  ,83,19
352,  4,  1,       6,2007JJ00  ,82,19
353,  4,  1,       6,2008JJ00  ,71,17
354,  4,  1,       7,2006JJ00  ,119,14
355,  4,  1,       7,2007JJ00  ,122,15
356,  4,  1,       7,2008JJ00  ,85,10
357,  4,  2,       1,2006JJ00  ,783,34
358,  4,  2,       1,2007JJ00  ,760,33
359,  4,  2,       1,2008JJ00  ,806,36
360,  4,  2,       2,2006JJ00  ,194,39
361,  4,  2,       2,2007JJ00  ,192,39
362,  4,  2,       2,2008JJ00  ,185,38
363,  4,  2,       3,2006JJ00  ,80,27
364,  4,  2,       3,2007JJ00  ,98,33
365,  4,  2,       3,2008JJ00  ,93,31
366,  4,  2,       4,2006JJ00  ,64,42
367,  4,  2,       4,2007JJ00  ,46,30
368,  4,  2,       4,2008JJ00  ,54,37
369,  4,  2,       5,2006JJ00  ,30,41
370,  4,  2,       5,2007JJ00  ,23,32
371,  4,  2,       5,2008JJ00  ,29,46
372,  4,  2,       6,2006JJ00  ,125,29
373,  4,  2,       6,2007JJ00  ,130,31
374,  4,  2,       6,2008JJ00  ,130,30
375,  4,  2,       7,2006JJ00  ,291,35
376,  4,  2,       7,2007JJ00  ,270,33
377,  4,  2,       7,2008JJ00  ,314,38
378,  4,  3,       1,2006JJ00  ,816,36
379,  4,  3,       1,2007JJ00  ,797,35
380,  4,  3,       1,2008JJ00  ,777,34
381,  4,  3,       2,2006JJ00  ,68,14
382,  4,  3,       2,2007JJ00  ,85,17
383,  4,  3,       2,2008JJ00  ,82,17
384,  4,  3,       3,2006JJ00  ,46,16
385,  4,  3,       3,2007JJ00  ,28,9
386,  4,  3,       3,2008JJ00  ,26,9
387,  4,  3,       4,2006JJ00  ,40,26
388,  4,  3,       4,2007JJ00  ,45,29
389,  4,  3,       4,2008JJ00  ,34,23
390,  4,  3,       5,2006JJ00  ,36,49
391,  4,  3,       5,2007JJ00  ,31,42
392,  4,  3,       5,2008JJ00  ,22,35
393,  4,  3,       6,2006JJ00  ,210,49
394,  4,  3,       6,2007JJ00  ,204,48
395,  4,  3,       6,2008JJ00  ,219,51
396,  4,  3,       7,2006JJ00  ,417,50
397,  4,  3,       7,2007JJ00  ,404,49
398,  4,  3,       7,2008JJ00  ,393,48
399,  4,  4,       1,2006JJ00  ,45,2
400,  4,  4,       1,2007JJ00  ,53,2
401,  4,  4,       1,2008JJ00  ,53,2
402,  4,  4,       2,2006JJ00  ,8,2
403,  4,  4,       2,2007JJ00  ,4,1
404,  4,  4,       2,2008JJ00  ,2,0
405,  4,  4,       3,2006JJ00  ,9,3
406,  4,  4,       3,2007JJ00  ,2,1
407,  4,  4,       3,2008JJ00  ,4,1
408,  4,  4,       4,2006JJ00  ,4,3
409,  4,  4,       4,2007JJ00  ,0,0
410,  4,  4,       4,2008JJ00  ,4,3
411,  4,  4,       5,2006JJ00  ,0,0
412,  4,  4,       5,2007JJ00  ,6,8
413,  4,  4,       5,2008JJ00  ,0,0
414,  4,  4,       6,2006JJ00  ,12,3
415,  4,  4,       6,2007JJ00  ,7,2
416,  4,  4,       6,2008JJ00  ,9,2
417,  4,  4,       7,2006JJ00  ,12,1
418,  4,  4,       7,2007JJ00  ,34,4
419,  4,  4,       7,2008JJ00  ,35,4
420,  5,  0,       1,2006JJ00  ,2282,100
421,  5,  0,       1,2007JJ00  ,2273,100
422,  5,  0,       1,2008JJ00  ,2256,100
423,  5,  0,       2,2006JJ00  ,495,100
424,  5,  0,       2,2007JJ00  ,496,100
425,  5,  0,       2,2008JJ00  ,492,100
426,  5,  0,       3,2006JJ00  ,293,100
427,  5,  0,       3,2007JJ00  ,298,100
428,  5,  0,       3,2008JJ00  ,299,100
429,  5,  0,       4,2006JJ00  ,152,100
430,  5,  0,       4,2007JJ00  ,153,100
431,  5,  0,       4,2008JJ00  ,146,100
432,  5,  0,       5,2006JJ00  ,74,100
433,  5,  0,       5,2007JJ00  ,73,100
434,  5,  0,       5,2008JJ00  ,63,100
435,  5,  0,       6,2006JJ00  ,430,100
436,  5,  0,       6,2007JJ00  ,423,100
437,  5,  0,       6,2008JJ00  ,430,100
438,  5,  0,       7,2006JJ00  ,838,100
439,  5,  0,       7,2007JJ00  ,830,100
440,  5,  0,       7,2008JJ00  ,827,100
441,  5,  1,       1,2006JJ00  ,1532,67
442,  5,  1,       1,2007JJ00  ,1627,72
443,  5,  1,       1,2008JJ00  ,1511,67
444,  5,  1,       2,2006JJ00  ,391,79
445,  5,  1,       2,2007JJ00  ,401,81
446,  5,  1,       2,2008JJ00  ,374,76
447,  5,  1,       3,2006JJ00  ,211,72
448,  5,  1,       3,2007JJ00  ,229,77
449,  5,  1,       3,2008JJ00  ,216,72
450,  5,  1,       4,2006JJ00  ,89,59
451,  5,  1,       4,2007JJ00  ,105,69
452,  5,  1,       4,2008JJ00  ,94,64
453,  5,  1,       5,2006JJ00  ,48,65
454,  5,  1,       5,2007JJ00  ,57,78
455,  5,  1,       5,2008JJ00  ,39,62
456,  5,  1,       6,2006JJ00  ,305,71
457,  5,  1,       6,2007JJ00  ,336,79
458,  5,  1,       6,2008JJ00  ,304,71
459,  5,  1,       7,2006JJ00  ,489,58
460,  5,  1,       7,2007JJ00  ,500,60
461,  5,  1,       7,2008JJ00  ,484,59
462,  5,  2,       1,2006JJ00  ,581,25
463,  5,  2,       1,2007JJ00  ,523,23
464,  5,  2,       1,2008JJ00  ,584,26
465,  5,  2,       2,2006JJ00  ,86,17
466,  5,  2,       2,2007JJ00  ,79,16
467,  5,  2,       2,2008JJ00  ,100,20
468,  5,  2,       3,2006JJ00  ,62,21
469,  5,  2,       3,2007JJ00  ,57,19
470,  5,  2,       3,2008JJ00  ,76,25
471,  5,  2,       4,2006JJ00  ,50,33
472,  5,  2,       4,2007JJ00  ,35,23
473,  5,  2,       4,2008JJ00  ,40,27
474,  5,  2,       5,2006JJ00  ,17,23
475,  5,  2,       5,2007JJ00  ,16,22
476,  5,  2,       5,2008JJ00  ,24,38
477,  5,  2,       6,2006JJ00  ,96,22
478,  5,  2,       6,2007JJ00  ,74,17
479,  5,  2,       6,2008JJ00  ,91,21
480,  5,  2,       7,2006JJ00  ,271,32
481,  5,  2,       7,2007JJ00  ,262,32
482,  5,  2,       7,2008JJ00  ,253,31
483,  5,  3,       1,2006JJ00  ,132,6
484,  5,  3,       1,2007JJ00  ,93,4
485,  5,  3,       1,2008JJ00  ,110,5
486,  5,  3,       2,2006JJ00  ,12,2
487,  5,  3,       2,2007JJ00  ,12,2
488,  5,  3,       2,2008JJ00  ,16,3
489,  5,  3,       3,2006JJ00  ,11,4
490,  5,  3,       3,2007JJ00  ,9,3
491,  5,  3,       3,2008JJ00  ,3,1
492,  5,  3,       4,2006JJ00  ,14,9
493,  5,  3,       4,2007JJ00  ,13,8
494,  5,  3,       4,2008JJ00  ,6,4
495,  5,  3,       5,2006JJ00  ,8,11
496,  5,  3,       5,2007JJ00  ,0,0
497,  5,  3,       5,2008JJ00  ,0,0
498,  5,  3,       6,2006JJ00  ,12,3
499,  5,  3,       6,2007JJ00  ,12,3
500,  5,  3,       6,2008JJ00  ,26,6
501,  5,  3,       7,2006JJ00  ,75,9
502,  5,  3,       7,2007JJ00  ,47,6
503,  5,  3,       7,2008JJ00  ,58,7
504,  5,  4,       1,2006JJ00  ,37,2
505,  5,  4,       1,2007JJ00  ,29,1
506,  5,  4,       1,2008JJ00  ,51,2
507,  5,  4,       2,2006JJ00  ,6,1
508,  5,  4,       2,2007JJ00  ,4,1
509,  5,  4,       2,2008JJ00  ,1,0
510,  5,  4,       3,2006JJ00  ,9,3
511,  5,  4,       3,2007JJ00  ,2,1
512,  5,  4,       3,2008JJ00  ,4,1
513,  5,  4,       4,2006JJ00  ,0,0
514,  5,  4,       4,2007JJ00  ,0,0
515,  5,  4,       4,2008JJ00  ,6,4
516,  5,  4,       5,2006JJ00  ,2,3
517,  5,  4,       5,2007JJ00  ,0,0
518,  5,  4,       5,2008JJ00  ,0,0
519,  5,  4,       6,2006JJ00  ,17,4
520,  5,  4,       6,2007JJ00  ,2,0
521,  5,  4,       6,2008JJ00  ,10,2
522,  5,  4,       7,2006JJ00  ,3,0
523,  5,  4,       7,2007JJ00  ,21,3
524,  5,  4,       7,2008JJ00  ,31,4
525,  6,  0,       1,2006JJ00  ,2282,100
526,  6,  0,       1,2007JJ00  ,2273,100
527,  6,  0,       1,2008JJ00  ,2256,100
528,  6,  0,       2,2006JJ00  ,495,100
529,  6,  0,       2,2007JJ00  ,496,100
530,  6,  0,       2,2008JJ00  ,492,100
531,  6,  0,       3,2006JJ00  ,293,100
532,  6,  0,       3,2007JJ00  ,298,100
533,  6,  0,       3,2008JJ00  ,299,100
534,  6,  0,       4,2006JJ00  ,152,100
535,  6,  0,       4,2007JJ00  ,153,100
536,  6,  0,       4,2008JJ00  ,146,100
537,  6,  0,       5,2006JJ00  ,74,100
538,  6,  0,       5,2007JJ00  ,73,100
539,  6,  0,       5,2008JJ00  ,63,100
540,  6,  0,       6,2006JJ00  ,430,100
541,  6,  0,       6,2007JJ00  ,423,100
542,  6,  0,       6,2008JJ00  ,430,100
543,  6,  0,       7,2006JJ00  ,838,100
544,  6,  0,       7,2007JJ00  ,830,100
545,  6,  0,       7,2008JJ00  ,827,100
546,  6,  1,       1,2006JJ00  ,1363,60
547,  6,  1,       1,2007JJ00  ,1368,60
548,  6,  1,       1,2008JJ00  ,1345,60
549,  6,  1,       2,2006JJ00  ,286,58
550,  6,  1,       2,2007JJ00  ,277,56
551,  6,  1,       2,2008JJ00  ,292,59
552,  6,  1,       3,2006JJ00  ,161,55
553,  6,  1,       3,2007JJ00  ,158,53
554,  6,  1,       3,2008JJ00  ,157,53
555,  6,  1,       4,2006JJ00  ,82,54
556,  6,  1,       4,2007JJ00  ,74,48
557,  6,  1,       4,2008JJ00  ,80,55
558,  6,  1,       5,2006JJ00  ,45,61
559,  6,  1,       5,2007JJ00  ,54,74
560,  6,  1,       5,2008JJ00  ,43,68
561,  6,  1,       6,2006JJ00  ,264,61
562,  6,  1,       6,2007JJ00  ,276,65
563,  6,  1,       6,2008JJ00  ,270,63
564,  6,  1,       7,2006JJ00  ,523,62
565,  6,  1,       7,2007JJ00  ,527,63
566,  6,  1,       7,2008JJ00  ,502,61
567,  6,  2,       1,2006JJ00  ,696,30
568,  6,  2,       1,2007JJ00  ,731,32
569,  6,  2,       1,2008JJ00  ,713,32
570,  6,  2,       2,2006JJ00  ,166,34
571,  6,  2,       2,2007JJ00  ,186,38
572,  6,  2,       2,2008JJ00  ,156,32
