ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,Telewerkers_3,TelewerkKomtVoor_4,ICTPersAangenomenWillenAannemen_5,ICTVacaturesLastigTeVullen_6,ICTSpecialistenInLoondienst_7,AandeelICTSpecialisten_8,ICTSpecOntwEnOnderhoudSoftware_9,ICTCursusAanICTSpecialisten_10,ICTCursusAanOverigPersoneel_11,InternetVast_12,MinderDan30MbitS_13,k_30Tot100MbitS_14,k_100Tot500MbitS_15,k_500MbitSTot1GbitS_16,TenMinste1GbitS_17,MobielInternetVerstrekt_18,PersoneelDatWerktMetMobielInternet_19,BedrijvenMetWebsite_20,BeschrijvingenVanProductenPrijslijst_21,OnlineBestellenBoekenOfReserveren_22,ProductaanpassingDoorKlant_23,BestellingOnlineVolgen_24,KlantspecifiekeInfoVoorDeBezoeker_25,VerwijzingNaarSocialeMedia_26,SocialeNetwerkenBijvFacebook_27,BlogsOfMicroblogsBijvTwitter_28,MultimediaDelenBijvYouTube_29,WikiSOmKennisTeDelen_30,ClouddienstenGebruikt_31,EMail_32,OfficeSoftware_33,OpslagDatabases_34,BestandenOpslaan_35,BoekhoudingSoftware_36,ERPSoftware_37,KlantbeheerSoftware_38,Veiligheidssoftware_39,Rekenkracht_40,Rekenplatform_41,ERPSoftware_42,OpslagKlantgegevens_43,AnalyseKlantgegevens_44,NietGedigitaliseerd_45,NauwelijksGedigitaliseerd_46,GemiddeldGedigitaliseerd_47,VeelGedigitaliseerd_48,BijnaVolledigGedigitaliseerd_49,AIGebruikt_50,TextMining_51,Spraakherkenning_52,NaturalLanguageGeneration_53,AfbeeldingHerkenning_54,MachineLearning_55,RobotOndersteundeProcesautomatisering_56,ServiceRobotsOfAutonomeVoertuigen_57,VoorMarketingOfVerkoop_58,Productieprocessen_59,AdministratieveProcessen_60,BestuurVanBedrijven_61,Logistiek_62,ICTBeveiliging_63,HRM_64,EigenWerknemersOntwikkeld_65,CommercieelZelfAangepast_66,OpenSourceZelfAangepast_67,CommercieelGebruikt_68,ExternOntwikkeld_69,HeeftAIOverwogen_70,KostenZijnTeHoog_71,GebrekAanRelevanteErvaringInBedrijf_72,IncompatibiliteitBestaandeICTSysteem_73,MoeilijkhedenBeschikbaarheidGegevens_74,BezorgdheidSchendingGegevensbescherm_75,OnduidelijkheidOverJuridischeGevolgen_76,EthischeOverwegingen_77,NietNuttigVoorOnderneming_78,GebruiktEenOfMeerAITechnologieen_79,GebruiktTweeOfMeerAITechnologieen_80,GebruiktDrieOfMeerAITechnologieen_81,GebruiktVierOfMeerAITechnologieen_82,AntiVirussoftware_83,BeleidVoorSterkeWachtwoorden_84,UpdatenSoftwareBesturingssysteem_85,AuthenticatieViaSoftOfHardwaretoken_86,EncryptieVanData_87,GegevensOpAndereFysiekeLocatie_88,NetworkAccessControl_89,VPNInternetgebruikBuitenHetBedrijf_90,LogbestandenVoorAnalyseIncidenten_91,MethodesVoorBeoordelenICTVeiligheid_92,Risicoanalyses_93,UitbesteedAanExternBedrijf_94,EigenPersoneel_95,EigenPersoneelEnExternBedrijf_96,NietVanToepassing_97,IncidentDoorInterneOorzaak_98,IncidentDoorAanvalVanBuiten_99,UitvalICTDienstDoorVeiligheidsinc_100,VernietigingDataDoorVeiligheidsinc_101,OnthullingDoorInternIncident_102,UitvalICTDienstDoorAanvalBuitenaf_103,VernietigingDataAanvalVanBuitenaf_104,OnthullingGegevensDoorICTInbraak_105,KostenIncidentIntern_106,KostenIncidentAanvalBuitenaf_107,UitvalICTDienstDoorVeiligheidsinc_108,VernietigingDataDoorVeiligheidsinc_109,OnthullingDoorInternIncident_110,UitvalICTDienstDoorAanvalBuitenaf_111,VernietigingDataAanvalBuitenaf_112,OnthullingDoorICTInbraak_113,VerzekerdICTVeiligheidsincidenten_114,Kosten1VanDeTotaleOmzet_115,Kosten1Tot2VanDeTotaleOmzet_116,Kosten2Tot5VanDeTotaleOmzet_117,Kosten5Tot10VanDeTotaleOmzet_118,Kosten10Tot50VanDeTotaleOmzet_119,Kosten50VanDeTotaleOmzet_120,Kosten1VanDeTotaleOmzet_121,Kosten1Tot2VanDeTotaleOmzet_122,Kosten2Tot5VanDeTotaleOmzet_123,Kosten5Tot10VanDeTotaleOmzet_124,Kosten10Tot50VanDeTotaleOmzet_125,Kosten50VanDeTotaleOmzet_126,GezochtNaarMeldingenCyberdreigingen_127,BekendMetDTC_128,DTCWebsiteAlsBronGebruikt_129,GebruikIoT_130,Energiebesparing_131,Beveiliging_132,Klantdienstverlening_133,OnderhoudVoertuigenMachines_134,Productieproces_135,Logistiek_136,AndereIoTToepassing_137,GebruiktEenOfMeerIoTToepassing_138,GebruiktTweeOfMeerIoTToepassingen_139,GebruiktDrieOfMeerIoTToepassingen_140,GebruiktVierOfMeerIoTToepassingen_141,GebruiktVijfOfMeerIoTToepassingen_142,ToegangTotBedrijfsemailVanBuiten_143,ToegangTotSoftwareVanBuiten_144,AantalOnlineVergaderingen_145,TotaalNiet_146,Gedeeltelijk_147,Volledig_148,TotaalNiet_149,Gedeeltelijk_150,Volledig_151,TotaalNiet_152,Gedeeltelijk_153,Volledig_154,CovidOorzaakToenameOnlineVerkoop_155,VerkoopViaWebsiteOfApp_156,Bedrijven_157,Overheden_158,NederlandseConsumenten_159,BuitenlandseConsumenten_160,KlantenInNederland_161,KlantenInAndereEULanden_162,KlantenInLandenBuitenDeEU_163,HogeKostenBezorgenRetournerenEU_164,ProbleemOplossenKlachtenEnGeschillen_165,LabelsEtikettenAanpassen_166,OnvoldoendeKennisVanAndereTalen_167,BeperkingenOpgelegdDoorZakenpartners_168,MoeilijkhedenBijVerrekenenBTWSysteem_169,GeenMoeilijkhedenOndervonden_170,HeeftMoeilijkhedenOndervonden_171,Verkoopwaarde1VanDeTotaleOmzet_172,Verkoopwaarde1VanDeTotaleOmzet_173,Verkoopwaarde2VanDeTotaleOmzet_174,Verkoopwaarde5VanDeTotaleOmzet_175,Verkoopwaarde10VanDeTotaleOmzet_176,Verkoopwaarde25VanDeTotaleOmzet_177,Verkoopwaarde50VanDeTotaleOmzet_178,ViaWebsiteOfAppsVanEigenBedrijf_179,PercentageOmzetViaOnlinePlatforms_180,VerkoopViaECommerce_181,Verkoopwaarde1VanDeTotaleOmzet_182,Verkoopwaarde1VanDeTotaleOmzet_183,Verkoopwaarde2VanDeTotaleOmzet_184,Verkoopwaarde5VanDeTotaleOmzet_185,Verkoopwaarde10VanDeTotaleOmzet_186,Verkoopwaarde25VanDeTotaleOmzet_187,Verkoopwaarde50VanDeTotaleOmzet_188,ViaEen_189,ViaTwee_190,ViaDrieOfMeer_191,MeerDanDeHelftOmzetUitEenPlatform_192,VerkoopViaEDI_193,KlantenInNederland_194,KlantenInAndereEULanden_195,KlantenInLandenBuitenDeEU_196,Verkoopwaarde1VanDeTotaleOmzet_197,Verkoopwaarde1VanDeTotaleOmzet_198,Verkoopwaarde2VanDeTotaleOmzet_199,Verkoopwaarde5VanDeTotaleOmzet_200,Verkoopwaarde10VanDeTotaleOmzet_201,Verkoopwaarde25VanDeTotaleOmzet_202,Verkoopwaarde50VanDeTotaleOmzet_203
10,403300,96,95,77,97,14,8,34,5,2,23,30,98,3,19,37,23,16,72,53,95,81,20,5,5,23,74,87,35,46,12,84,71,66,68,71,66,33,51,59,26,28,42,69,33,2,3,23,33,40,20,6,6,4,6,11,9,3,5,7,9,3,2,6,3,6,6,5,10,8,7,2,5,2,3,2,1,0,2,20,11,6,3,97,87,98,75,65,94,61,73,75,58,59,44,19,29,8,31,12,28,5,6,9,3,4,9,4,8,1,1,4,1,1,43,68,18,11,2,1,0,89,10,0,1,0,0,24,20,8,18,10,12,4,4,4,3,8,15,8,4,2,1,56,59,93,9,26,22,6,28,26,1,25,67,8,11,55,6,30,9,79,14,6,1,1,1,1,0,1,3,2,1,8,7,6,6,4,3,93,7,12,3,9,8,7,6,5,4,0,1,1,1,3,65,18,17,1,2,2,1,1,1,1
11,410200,78,77,58,80,8,4,17,2,1,10,15,95,8,26,33,19,9,60,44,86,73,23,5,7,25,59,72,19,39,5,65,57,50,54,55,49,23,36,45,14,15,29,47,24,8,8,39,25,21,11,4,2,2,2,4,6,1,4,2,5,1,1,3,4,2,2,2,5,5,4,2,3,2,2,1,1,0,1,11,5,3,1,95,80,93,63,49,81,49,48,56,45,44,52,16,14,18,25,9,23,4,2,8,3,2,6,3,6,1,0,2,1,0,25,83,12,4,1,1,0,88,10,1,0,0,0,13,15,5,14,7,10,4,4,2,3,4,11,6,3,1,1,34,33,63,7,16,12,4,16,13,2,17,45,6,11,50,6,39,4,93,6,2,1,0,0,0,0,0,3,1,1,9,8,7,6,5,4,87,13,12,2,9,9,8,7,6,4,1,1,1,1,1,92,6,1,0,1,1,1,1,1,0
12,422400,89,88,49,91,12,6,24,1,0,16,28,97,5,24,35,22,11,57,36,96,84,34,3,2,44,60,77,21,42,5,72,58,53,57,57,55,23,42,50,16,16,25,42,10,2,7,34,32,25,11,3,6,2,2,2,4,1,1,3,4,1,0,3,2,1,1,1,6,5,5,3,4,2,3,2,2,1,0,11,5,2,1,98,85,97,78,73,90,56,57,66,53,59,55,11,23,11,35,11,32,3,10,8,2,3,9,3,9,1,2,2,1,1,32,89,5,6,0,0,0,89,10,1,0,0,0,18,16,7,17,10,12,6,3,1,1,6,14,7,3,1,0,46,45,89,8,22,15,5,23,17,0,16,74,11,7,14,5,81,0,100,0,0,0,0,0,0,0,0,0,0,2,4,4,3,3,2,2,86,14,11,3,7,7,6,6,5,5,1,0,0,0,4,100,0,0,1,3,3,3,3,3,3
13,307610,59,54,32,66,7,4,20,1,1,13,14,98,8,32,33,18,8,55,29,92,79,50,18,15,28,57,77,13,51,3,54,38,33,40,39,32,14,19,35,14,11,47,41,22,10,16,49,20,4,15,2,2,2,3,6,7,5,4,10,5,0,3,6,1,3,5,2,8,9,7,4,4,2,1,1,1,1,1,15,7,3,2,96,74,90,56,45,75,44,56,52,50,41,44,17,16,23,25,7,25,4,2,4,3,4,8,3,8,1,0,3,2,2,19,76,0,24,0,0,0,82,1,17,0,0,0,19,12,4,29,21,20,12,9,9,6,10,24,20,10,5,2,38,41,59,2,20,16,0,22,19,1,19,40,33,39,42,1,55,1,96,3,1,2,2,1,1,0,0,7,2,7,31,29,19,14,8,6,93,7,59,8,50,48,41,35,25,18,5,0,1,1,28,71,26,2,4,24,24,24,22,17,13
14,312505,66,58,30,82,5,3,25,2,1,13,14,96,2,32,36,20,6,65,19,93,79,42,11,15,18,59,69,17,44,3,59,49,43,42,48,37,18,31,42,14,15,67,53,42,4,8,55,23,9,10,3,1,0,0,2,5,1,3,3,3,0,3,2,0,1,2,0,6,6,6,2,5,3,4,2,2,2,2,10,1,0,0,98,78,95,56,34,88,46,52,56,61,41,59,14,19,9,36,15,35,10,2,7,3,6,15,6,14,6,1,5,1,1,18,91,0,9,0,0,0,71,29,0,0,0,0,12,12,3,15,9,11,0,2,1,1,4,11,4,1,0,0,51,44,68,5,20,26,1,15,28,0,24,43,20,35,44,3,41,12,78,18,4,9,5,6,2,4,5,9,12,4,31,30,25,25,22,19,85,15,41,5,36,35,32,31,29,25,7,2,1,3,11,56,42,3,2,9,9,9,7,7,4
15,315810,62,53,23,82,4,4,23,1,1,12,14,98,10,25,31,22,10,67,18,93,75,31,13,9,18,58,72,14,32,3,62,50,41,41,44,30,16,21,34,8,8,50,51,22,4,10,51,25,10,11,2,2,1,1,3,7,4,2,6,5,2,4,5,2,2,3,2,5,8,5,3,4,3,1,0,1,0,1,11,6,3,1,95,79,93,49,39,81,49,61,67,54,48,56,19,12,13,30,7,30,2,0,6,1,1,10,3,10,1,0,3,1,1,22,73,0,27,0,0,0,81,12,7,0,0,0,12,14,5,15,9,11,4,5,5,3,5,14,7,4,2,2,44,43,62,6,22,17,2,20,21,0,23,39,6,25,70,2,27,1,93,7,0,1,0,1,0,0,1,7,2,5,17,14,11,9,7,6,88,12,30,9,21,17,14,12,9,7,2,1,1,1,9,83,16,1,2,7,6,5,4,3,1
16,900064,83,80,53,94,14,10,43,4,3,35,41,98,3,22,39,18,17,85,41,96,83,25,2,8,18,63,76,23,45,11,72,57,54,49,56,30,23,33,40,17,22,83,71,45,2,6,43,33,16,13,6,4,3,5,8,11,6,3,7,7,1,5,7,3,3,5,4,7,9,11,4,9,7,5,3,3,1,2,13,11,7,4,100,90,98,80,67,93,69,93,83,73,71,36,21,38,6,43,18,39,5,7,11,2,7,11,9,11,3,2,5,1,4,37,85,11,4,0,0,0,88,9,3,0,0,0,36,21,9,29,19,19,10,9,13,11,17,27,18,11,8,5,72,70,94,15,31,26,8,30,32,3,28,63,17,21,65,2,27,6,77,16,7,4,2,3,2,0,0,8,5,4,14,13,8,6,5,4,79,21,31,7,24,22,17,15,12,9,3,3,5,6,21,63,26,11,7,14,12,11,10,8,4
17,323705,63,55,28,90,7,3,25,1,0,13,18,98,8,25,37,20,8,82,26,96,84,25,9,4,14,57,71,16,32,2,69,59,46,48,47,38,24,29,41,15,13,69,63,34,1,10,48,28,13,13,2,2,0,3,2,7,4,1,7,3,1,4,4,0,2,1,1,5,8,10,6,7,7,7,3,3,1,1,13,5,3,0,98,92,99,64,54,92,58,76,78,56,55,57,13,19,11,35,11,33,8,4,8,4,5,12,4,11,1,0,3,1,1,24,56,19,0,25,0,0,89,3,0,8,0,0,19,21,7,26,12,18,6,8,8,4,8,23,11,4,3,1,54,53,78,8,29,17,7,28,18,2,21,56,5,19,60,4,30,6,81,13,6,3,0,2,0,0,2,5,4,8,8,8,6,4,3,2,86,14,26,11,14,14,12,10,8,6,3,2,1,2,11,76,21,3,2,9,9,6,6,5,3
18,328105,64,58,30,80,6,4,17,1,0,11,21,99,9,28,39,14,9,59,21,92,73,14,6,3,13,53,67,10,31,1,60,45,35,38,39,29,17,17,29,8,8,60,49,21,3,13,48,26,10,14,2,0,0,2,1,9,6,2,8,4,1,4,5,1,2,3,2,6,6,3,2,2,2,2,0,0,0,0,14,5,2,1,98,74,96,57,39,85,55,68,61,52,42,63,11,16,11,27,12,27,5,0,9,3,2,7,3,7,1,0,3,0,0,21,47,25,28,0,0,0,76,14,9,1,0,0,12,16,4,16,11,10,4,4,2,1,4,15,8,3,1,0,36,35,63,7,19,11,3,17,15,1,15,47,3,8,78,2,20,1,85,13,3,0,0,0,0,0,1,2,1,3,4,4,3,2,2,2,97,3,14,4,11,10,8,7,6,3,0,0,0,0,8,77,21,2,1,7,6,6,5,4,2
19,332910,83,76,52,93,16,9,44,3,2,26,32,100,2,28,41,20,9,75,40,94,85,26,9,11,20,65,78,21,51,10,69,54,50,46,52,37,22,31,43,17,22,71,73,40,1,9,29,41,20,17,4,3,3,4,11,9,6,6,10,7,2,6,6,3,7,5,6,12,8,10,4,8,6,4,1,2,1,1,17,10,4,3,99,81,97,60,54,93,57,82,73,55,51,36,20,34,10,38,13,36,4,3,9,3,4,13,5,13,1,1,3,2,2,27,66,12,22,0,0,0,96,2,2,0,0,0,29,22,6,23,18,16,9,8,6,4,11,22,15,8,4,3,57,58,84,8,29,21,6,29,23,1,27,56,7,19,55,9,26,10,66,22,12,2,0,0,0,1,2,10,3,6,10,9,8,5,2,2,94,6,23,8,15,14,12,8,5,4,1,1,2,1,7,54,35,11,1,6,6,5,4,3,2
20,336500,81,79,54,93,11,8,40,3,2,23,26,98,1,22,37,18,20,75,28,96,84,15,6,4,15,68,81,18,59,5,68,53,40,44,52,27,20,31,42,18,16,85,66,37,0,6,46,36,11,14,1,1,1,7,4,8,6,2,8,6,0,3,3,1,7,4,5,5,7,9,7,8,2,4,2,3,0,2,14,9,4,1,99,84,97,64,51,96,65,88,76,61,63,36,26,32,6,32,14,28,5,3,9,2,5,10,4,7,3,0,3,1,1,31,74,23,4,0,0,0,92,8,0,0,0,0,20,19,6,21,11,14,7,9,6,4,10,20,10,6,4,3,57,55,87,5,27,26,1,23,32,1,30,55,6,11,96,0,3,0,50,34,16,1,0,0,0,0,2,6,3,3,7,6,5,5,3,1,92,8,14,3,10,9,8,7,6,2,0,0,1,0,7,46,42,12,2,5,5,5,4,3,2
21,339205,69,66,42,83,13,9,23,6,2,16,18,99,7,26,35,16,14,75,35,97,83,24,8,7,18,62,77,18,52,1,60,45,37,35,34,26,12,15,28,8,11,59,43,20,6,2,55,25,12,9,2,0,1,5,3,7,5,1,7,3,1,4,1,1,4,6,4,5,6,5,5,3,3,2,0,0,0,0,9,6,4,2,99,84,96,62,46,96,55,76,65,57,60,57,19,16,8,33,10,31,8,2,5,6,2,9,2,9,1,0,1,1,1,18,80,20,0,0,0,0,95,5,0,0,0,0,20,21,9,20,12,13,6,10,3,4,7,19,12,3,3,1,41,46,72,6,16,20,2,22,23,0,23,48,6,21,61,1,26,12,68,27,5,3,1,1,0,0,4,10,7,8,12,10,9,7,6,3,93,7,25,9,16,14,14,14,10,7,1,1,1,2,9,40,49,11,2,7,7,7,5,4,3
22,300023,52,50,30,86,8,5,24,1,0,14,23,99,5,26,35,19,14,72,28,93,77,23,6,4,18,68,75,17,35,4,59,49,43,42,45,37,19,24,39,12,11,51,53,25,5,9,43,31,12,7,1,0,1,1,3,4,1,3,4,3,0,3,3,0,1,3,1,3,4,4,1,4,2,2,0,1,0,0,7,3,1,0,98,75,95,61,46,88,56,70,66,52,50,49,22,19,10,24,9,23,5,2,7,2,2,7,4,7,2,0,3,2,1,25,78,13,9,0,0,0,77,0,23,0,0,0,16,16,4,22,12,14,5,6,4,3,5,19,8,3,1,0,42,44,72,7,24,11,3,24,16,1,22,49,8,16,69,3,25,4,84,9,7,2,1,2,1,1,1,4,3,3,10,9,7,6,4,3,94,6,17,6,12,10,8,7,5,4,1,1,2,2,3,68,16,16,1,2,2,2,1,1,1
23,900008,79,77,51,80,5,2,14,1,0,8,20,99,9,24,33,22,10,74,55,94,62,6,1,1,15,57,73,16,30,2,56,44,37,39,39,26,17,17,32,9,9,40,39,10,11,9,43,26,10,10,1,2,0,5,3,4,1,1,2,6,1,1,4,2,0,2,1,5,6,4,2,4,2,2,1,1,1,2,10,4,2,0,97,73,95,61,42,85,43,60,56,43,44,59,10,16,15,26,12,24,2,2,6,6,5,9,6,7,1,0,4,2,2,20,100,0,0,0,0,0,61,26,13,0,0,0,9,15,5,21,15,15,6,8,4,5,7,19,11,5,3,2,36,34,67,7,21,8,4,21,10,0,20,47,3,2,63,5,29,3,97,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,67,33,3,1,2,2,2,1,1,0,0,0,1,1,1,100,0,0,0,1,1,1,1,0,0
24,351900,77,75,42,80,4,2,13,1,1,8,15,98,4,27,39,17,11,78,51,90,72,12,2,2,15,51,70,8,24,2,56,41,33,38,43,27,12,12,33,8,8,37,37,13,7,17,45,21,11,6,2,1,0,2,2,2,1,1,1,3,0,1,2,1,1,2,1,3,2,2,1,2,2,2,2,2,1,1,6,2,1,0,97,72,92,45,34,82,46,55,54,42,35,63,6,12,19,29,11,29,2,1,10,3,2,10,6,10,1,1,4,2,2,17,87,1,4,0,8,0,95,1,0,5,0,0,8,16,3,25,15,22,8,9,4,5,6,20,12,6,3,2,41,40,65,6,21,14,5,22,13,1,19,45,4,7,36,3,59,3,97,3,0,0,0,0,0,0,0,1,0,2,4,3,3,3,2,2,91,9,8,3,4,4,3,3,2,2,1,0,0,0,1,93,7,0,0,0,0,0,0,0,0
25,354300,79,77,23,70,3,3,16,1,0,6,17,99,3,25,40,19,11,56,22,96,87,57,13,8,34,69,78,16,46,2,62,48,35,44,46,38,19,28,36,15,13,37,56,27,4,12,47,25,12,7,3,1,1,1,1,3,1,5,3,5,2,3,3,2,1,1,1,5,5,2,0,1,1,0,0,0,0,0,7,3,2,0,97,76,95,61,46,87,55,65,62,50,48,62,14,12,13,19,10,18,3,2,9,1,1,6,3,6,1,0,3,0,0,25,81,15,5,0,0,0,80,20,0,0,0,0,12,16,5,19,9,17,6,6,1,1,4,16,8,2,0,0,33,36,61,5,17,12,3,19,14,2,21,38,16,25,49,3,41,7,85,13,2,2,0,2,1,0,2,7,3,3,19,17,15,14,11,8,84,16,27,6,22,20,18,17,14,12,5,2,2,4,5,69,26,5,1,4,4,4,4,3,3
26,356900,81,76,49,92,12,7,31,3,1,21,26,98,5,25,37,16,15,78,36,96,84,46,9,17,29,70,79,21,51,5,71,58,54,58,56,40,29,36,45,22,24,65,65,38,4,6,39,33,18,13,5,4,2,4,6,7,3,6,4,5,2,4,5,2,3,4,4,7,7,6,3,5,3,2,1,1,0,1,13,7,4,2,98,83,97,65,51,90,63,75,75,60,60,47,20,24,8,29,13,27,4,2,9,4,4,9,5,9,1,1,4,2,1,30,74,18,7,2,0,0,85,11,3,1,0,0,18,16,5,23,12,16,6,6,5,5,8,18,10,5,3,1,56,56,84,7,27,22,4,28,24,1,23,60,21,37,68,4,22,7,77,18,5,7,2,3,2,1,4,12,9,5,29,27,23,19,15,10,90,10,43,7,36,33,30,27,21,15,2,3,5,6,18,77,19,3,3,15,14,13,11,8,4
27,371600,63,58,25,75,9,6,23,2,1,10,12,97,8,23,38,17,11,43,11,89,76,75,15,39,43,68,83,22,57,6,58,46,40,48,48,42,22,31,36,18,22,34,47,31,7,11,35,26,21,11,3,1,2,2,6,6,1,8,4,5,2,5,4,2,3,3,3,6,6,5,2,4,3,3,1,1,0,1,11,5,2,2,94,79,92,65,51,78,51,51,59,44,44,44,19,16,21,27,16,26,6,3,14,4,3,7,6,6,2,1,5,2,1,30,73,14,10,4,0,0,83,10,7,0,0,0,12,13,5,23,14,20,10,6,3,4,6,18,11,6,3,1,35,34,65,7,14,14,3,16,15,1,19,45,54,63,12,1,74,14,84,14,2,15,6,4,3,3,7,17,19,5,54,51,47,42,38,33,92,8,65,9,56,53,50,45,40,36,8,6,9,11,7,85,8,7,2,5,5,4,4,3,2
28,389200,58,56,22,71,2,1,11,0,0,3,12,96,7,13,45,16,15,39,13,91,88,84,19,22,39,73,86,22,67,5,57,50,44,47,51,44,12,28,38,7,7,15,45,28,8,7,47,29,10,7,1,0,1,2,1,4,0,5,2,5,2,2,3,2,1,2,1,5,4,0,0,0,0,0,0,0,0,0,7,1,1,0,94,79,92,53,43,78,43,44,53,50,41,45,22,15,18,27,11,27,5,1,9,4,2,7,2,7,1,0,2,0,0,24,100,0,0,0,0,0,100,0,0,0,0,0,14,15,3,33,24,24,13,7,3,1,8,32,14,5,3,0,25,25,49,1,14,9,3,14,9,1,17,31,18,60,13,3,68,17,79,18,3,0,0,0,0,1,0,41,1,2,55,54,48,41,33,21,57,43,60,6,55,54,48,41,33,21,6,4,37,24,4,43,50,7,1,3,2,0,0,0,0
29,390500,43,34,12,47,0,0,1,0,0,0,2,95,10,36,38,9,2,26,8,91,87,74,4,11,28,67,81,12,55,3,37,30,23,26,30,28,5,8,18,3,2,6,12,6,28,26,29,12,6,5,1,0,0,1,2,2,1,3,1,2,1,1,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5,1,0,0,87,56,79,41,25,54,25,17,20,17,18,34,15,5,46,11,4,11,2,0,3,1,1,4,1,3,2,0,1,1,0,10,98,0,2,0,0,0,73,26,1,0,0,0,3,7,1,13,10,11,4,3,1,2,2,12,5,3,1,0,10,8,26,2,7,1,1,6,1,1,13,12,37,40,13,2,84,2,99,1,0,0,0,0,0,0,0,3,0,3,34,33,29,24,16,12,71,29,40,5,34,33,30,24,16,12,6,8,6,11,1,100,0,0,0,1,0,0,0,0,0
30,391705,95,93,75,97,19,10,48,4,3,31,26,98,1,10,32,34,21,66,47,94,71,48,10,17,30,78,88,51,73,17,86,75,67,70,80,57,29,50,54,28,37,38,63,42,1,1,28,34,35,18,6,7,4,5,8,8,2,8,6,2,1,0,9,1,8,5,6,7,7,6,3,4,3,1,1,1,0,1,18,10,4,3,97,91,98,69,72,91,64,71,78,57,62,30,29,32,9,36,24,36,2,4,19,3,5,10,6,9,1,1,5,1,1,39,73,0,27,0,0,0,89,5,5,0,0,0,24,16,6,19,4,12,5,2,2,2,8,13,6,3,0,0,58,63,88,10,17,31,4,27,32,1,21,66,28,39,34,3,53,10,84,11,5,5,1,2,1,1,2,15,6,3,33,31,26,23,19,15,89,11,42,6,36,33,27,24,21,17,1,2,9,7,6,78,18,4,2,4,4,3,2,1,1
31,394100,100,100,97,98,32,22,84,15,3,67,51,98,0,11,23,30,34,88,23,98,87,53,28,31,47,78,83,42,57,27,84,78,80,75,80,66,43,67,71,50,62,59,84,51,5,0,6,40,48,26,10,12,10,10,19,15,5,9,15,18,6,7,14,3,12,17,13,18,12,10,7,7,9,8,0,1,0,0,26,17,8,8,98,94,95,85,94,96,75,94,88,71,79,8,51,39,2,27,12,24,1,2,11,1,0,4,3,4,0,0,2,1,0,50,100,0,0,0,0,0,100,0,0,0,0,0,58,25,12,32,14,22,10,10,4,5,16,26,12,8,4,4,52,50,93,16,25,12,12,20,19,0,35,57,13,31,50,2,43,4,92,6,2,3,0,0,1,3,1,4,7,0,26,23,20,11,11,11,91,9,31,5,26,23,20,11,11,11,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0
32,395005,99,98,87,98,59,47,84,26,9,68,57,98,2,7,36,28,25,71,50,96,87,29,7,7,28,82,92,50,65,33,89,80,77,80,84,73,45,68,70,51,60,58,82,57,1,1,13,28,57,34,13,9,10,12,25,16,5,13,10,10,4,3,12,5,21,15,16,15,9,10,2,5,3,4,2,2,1,3,34,21,13,10,95,96,98,85,86,94,73,80,88,73,78,8,46,42,4,31,15,29,3,3,13,2,3,8,4,8,1,1,3,0,1,54,77,12,5,1,5,0,83,10,7,0,0,0,42,37,15,26,14,15,9,4,3,3,13,22,12,5,2,1,53,55,97,13,20,20,9,25,21,1,32,64,16,16,70,7,13,10,73,18,10,0,1,0,0,0,1,8,2,1,14,13,12,12,10,9,91,9,17,2,14,13,13,12,10,9,0,0,2,1,1,74,16,10,0,1,1,1,1,0,0
33,900016,99,99,93,100,26,18,55,25,19,41,39,96,6,26,37,7,20,81,45,90,65,28,9,9,28,55,69,27,35,11,79,47,44,44,36,31,22,39,38,19,19,46,63,36,3,4,25,30,38,20,10,5,3,7,12,15,2,12,5,14,2,0,7,2,7,7,5,12,11,4,0,2,1,2,2,1,0,0,20,12,9,5,100,100,100,92,90,92,82,87,89,81,80,20,34,42,4,36,9,30,7,8,9,1,1,10,4,9,2,1,4,1,1,51,76,24,0,0,0,0,90,10,0,0,0,0,53,41,23,12,3,10,3,3,0,0,3,6,3,2,0,0,60,70,95,6,27,27,6,24,40,2,21,72,9,16,36,7,29,28,70,24,6,0,0,0,0,0,0,10,0,1,8,8,6,3,3,2,100,0,20,9,10,10,8,5,4,3,0,0,1,0,7,75,13,12,5,2,2,2,2,1,1
34,900027,100,100,89,99,50,38,70,10,7,58,56,96,3,14,36,14,28,81,38,93,87,45,45,33,56,68,78,45,55,24,84,66,68,72,69,36,21,50,50,43,46,36,82,51,0,1,21,35,43,48,23,18,11,9,21,32,1,16,15,23,5,1,17,7,23,29,16,21,25,10,5,9,6,3,8,6,4,2,48,30,18,11,100,100,100,95,93,99,85,93,92,92,89,23,12,61,4,53,24,40,12,25,22,2,5,15,11,15,4,4,10,1,3,40,89,11,0,0,0,0,77,8,15,0,0,0,59,53,32,13,8,11,1,0,0,2,4,10,3,1,0,0,65,67,99,10,26,29,8,26,34,0,21,78,6,34,18,0,81,1,97,1,1,0,0,0,0,0,1,0,1,3,24,21,16,14,9,4,97,3,34,9,26,23,17,16,9,4,0,1,7,5,5,100,0,0,2,4,4,4,4,0,0
