ID,BedrijfstakkenBranches,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,ICTPersoneelAangenomenWillenAannemen_6,ICTVacaturesLastigTeVervullen_7,AanICTSpecialisten_8,AanOverigPersoneel_9,Internet_10,TotaalBreedband_11,BreedbandVastTotaal_12,ADSLVDSLEnSDSLEnDergelijke_13,AndereHoogwaardigeVasteVerbindingen_14,MobielBreedbandTotaal_15,MinderDan2MbitS_16,k_2Tot10MbitS_17,k_10Tot30MbitS_18,k_30Tot100MbitS_19,k_100MbitSOfMeer_20,BedrijvenMetWebsite_21,OnlineBestellenBoekenOfReserveren_22,InfoOverBeveiligingEnPrivacyVdSite_23,ProductcatalogiEnPrijslijsten_24,BestellingOnlineVolgen_25,ProductaanpassingDoorKlant_26,KlantspecifiekeInfoVoorVasteBezoeker_27,PersoneelsadvertentiesVanBedrijfZelf_28,VerkrijgenVanInformatie_29,VerkrijgenVanFormulieren_30,RetournerenIngevuldeFormulieren_31,SocialePremiesVanMedewerkers_32,BTW_33,DocumentenRaadplegenOverAanbesteding_34,ElektronischInschrijvenOpAanbesteding_35,OverheidInNederland_36,OverheidInAnderEULand_37,OverheidBuitenEU_38,Totaal_39,LaptopTablet_40,Smartphone_41,ToegangOpenbareInformatieOpInternet_42,ToegangEMailsysteemVanHetBedrijf_43,ToegangTotBestandenVanHetBedrijf_44,ToegangTotBedrijfssystemenBijvERP_45,MobieleTelefoonnetwerken_46,HogeKosten_47,VeiligheidsrisicoS_48,TechnischeProblemen_49,AndereBelemmeringen_50,MobielInternetNietNodigVoorBedrijf_51,VerkoopViaExterneNetwerken_52,Verkoopwaarde1VanDeTotaleOmzet_53,Verkoopwaarde2VanDeTotaleOmzet_54,Verkoopwaarde5VanDeTotaleOmzet_55,Verkoopwaarde10VanDeTotaleOmzet_56,Verkoopwaarde25VanDeTotaleOmzet_57,Verkoopwaarde50VanDeTotaleOmzet_58,VerkoopViaEenWebsite_59,Verkoopwaarde1VanDeTotaleOmzet_60,Verkoopwaarde2VanDeTotaleOmzet_61,Verkoopwaarde5VanDeTotaleOmzet_62,Verkoopwaarde10VanDeTotaleOmzet_63,Verkoopwaarde25VanDeTotaleOmzet_64,Verkoopwaarde50VanDeTotaleOmzet_65,VerkoopViaNietInternetnetwerken_66,Verkoopwaarde1VanDeTotaleOmzet_67,Verkoopwaarde2VanDeTotaleOmzet_68,Verkoopwaarde5VanDeTotaleOmzet_69,Verkoopwaarde10VanDeTotaleOmzet_70,Verkoopwaarde25VanDeTotaleOmzet_71,Verkoopwaarde50VanDeTotaleOmzet_72,InkoopViaExterneNetwerken_73,InkoopViaEenWebsite_74,InkoopViaEDIBerichten_75,Inkoopwaarde1VanDeTotaleInkoop_76,Inkoopwaarde2VanDeTotaleInkoop_77,Inkoopwaarde5VanDeTotaleInkoop_78,Inkoopwaarde10VanDeTotaleInkoop_79,Inkoopwaarde25VanDeTotaleInkoop_80,Inkoopwaarde50VanDeTotaleInkoop_81,TotaalBedrijvenMetSCM_82,SCMMetLeveranciers_83,SCMMetAfnemers_84,ViaWebsites_85,ViaAndereAutomatischeVerwerking_86,ERPSoftware_87,OpslagKlantgegevens_88,AnalyseKlantgegevens_89,TotaalVerkooporderverwerkingssysteem_90,FactureringsEnBoekhoudsystemen_91,Voorraadbeheersystemen_92,Productiesystemen_93,LogistiekeSystemen_94,TotaalInkooporderverwerkingssysteem_95,BetalingsEnBoekhoudsysteem_96,Voorraadbeheersystemen_97,TenMinsteEenSoort_98,Bankopdrachten_99,Productinformatie_100,Transportdocumenten_101,DataVanNaarOverheden_102,AndereBerichten_103,WasZeerBelangrijk_104,WasBelangrijk_105,WasEnigszinsBelangrijk_106,WasOnbelangrijk_107,WasZeerBelangrijk_108,WasBelangrijk_109,WasEnigszinsBelangrijk_110,WasOnbelangrijk_111,WasZeerBelangrijk_112,WasBelangrijk_113,WasEnigszinsBelangrijk_114,WasOnbelangrijk_115,WasZeerBelangrijk_116,WasBelangrijk_117,WasEnigszinsBelangrijk_118,WasOnbelangrijk_119,ZoekenNaarInformatiebronnen_120,VerrichtenVanOntwerpwerkzaamheden_121,UitwisselenVanKennis_122,ImplementerenVanDeInnovatie_123,Overige_124,SocialeMediaGebruikt_125,SocialeNetwerkenBijvFacebook_126,BlogsOfMicroblogsBijvTwitter_127,SitesDieMultimediaDelenBvYouTube_128,WikiSOmKennisTeDelen_129,MarketingProductenBedrijfsimago_130,MeningenKlantenReagerenOpVragen_131,BetrekkenKlantBijProductontwikkeling_132,SamenwerkenMetZakenrelaties_133,WervenVanPersoneel_134,KennisUitwisselenBinnenHetBedrijf_135,FormeelBeleidGebruikSocialeMedia_136
10,300023,36,31,9,11,62,4,2,11,9,100,97,95,79,38,64,2,31,33,26,8,80,19,27,30,4,4,22,45,70,87,87,57,78,21,14,91,16,7,60,52,51,41,49,34,25,17,27,19,16,13,36,14,14,10,9,7,4,3,12,11,7,6,5,2,2,4,3,3,3,2,1,1,16,15,3,13,11,9,8,4,3,11,8,6,9,7,34,29,16,34,30,17,11,14,27,25,15,25,18,15,8,20,14,20,28,20,31,38,36,8,17,20,36,29,15,22,41,25,12,66,37,50,57,30,36,27,18,19,4,62,43,27,50,36,30,20
11,000037,78,73,35,30,62,17,7,28,15,100,99,99,79,50,63,1,25,33,27,14,89,37,37,42,8,1,29,59,75,90,86,56,74,41,22,100,9,0,70,57,64,44,59,46,36,18,27,30,19,16,33,19,19,14,9,6,4,4,20,17,13,8,5,3,2,5,4,3,3,3,2,2,14,14,5,10,9,7,7,5,4,13,11,10,9,10,39,37,26,38,35,18,12,20,26,24,16,40,29,16,12,31,26,39,31,28,2,47,37,10,6,13,50,32,5,40,29,31,0,62,39,48,61,41,38,31,23,24,7,71,50,24,42,58,38,42
12,000036,47,45,16,19,47,1,0,3,4,100,94,91,78,28,46,6,38,33,18,5,83,6,16,9,2,0,14,42,72,85,91,62,84,33,18,100,4,1,43,37,33,32,40,29,12,17,29,17,25,24,39,2,2,1,1,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,6,6,2,5,4,4,2,0,0,3,2,1,3,1,16,16,6,18,18,4,2,2,19,19,3,18,14,6,2,17,10,19,45,29,7,50,41,8,0,19,44,36,1,40,37,15,8,68,43,56,43,42,23,19,9,8,1,51,25,18,33,15,18,14
13,351900,50,44,18,19,47,2,0,6,6,100,99,97,84,28,47,1,33,37,26,3,81,14,17,18,2,1,18,39,67,82,86,68,85,29,15,100,5,1,45,37,40,27,35,28,18,16,31,18,25,17,32,9,9,7,5,2,0,0,9,9,7,5,2,0,0,1,1,0,0,0,0,0,16,16,8,14,14,12,11,9,6,9,9,3,9,3,14,13,7,27,24,10,3,7,21,17,10,24,15,16,7,23,13,43,16,20,22,60,33,7,0,15,42,37,6,34,41,20,5,62,18,45,36,34,26,20,6,9,1,60,24,23,39,32,23,11
14,354300,70,65,10,12,45,5,1,6,5,100,97,96,83,37,43,3,41,31,18,7,86,45,46,59,13,10,36,45,75,81,89,65,85,12,8,100,22,19,43,33,34,29,33,28,18,18,23,16,18,14,43,23,21,18,15,10,4,2,24,18,15,13,8,2,1,10,8,6,6,4,2,1,23,21,16,22,21,20,15,12,9,29,24,14,27,13,24,42,30,59,46,45,18,22,54,39,45,51,30,35,19,41,34,27,62,11,0,24,74,0,2,19,44,24,13,33,62,4,1,57,24,58,40,44,40,35,24,25,2,73,51,28,46,29,16,23
15,356900,75,66,27,28,74,8,4,14,10,100,98,97,78,41,67,2,31,29,28,10,85,33,36,51,11,2,27,45,72,87,90,67,88,17,11,100,24,7,67,61,56,47,60,42,33,19,29,23,19,14,27,30,29,27,22,18,11,7,25,21,19,15,11,6,3,16,14,12,10,9,5,3,18,16,9,17,16,15,12,8,6,18,13,14,13,15,42,41,32,45,39,35,15,29,40,32,32,40,24,21,17,28,29,39,35,18,8,51,38,9,3,26,40,24,9,42,44,12,3,57,36,45,69,48,40,32,19,19,4,67,41,33,39,35,28,26
16,371600,40,28,4,6,30,2,1,3,6,100,96,96,91,25,34,3,30,38,24,5,66,36,31,33,11,4,23,29,54,72,75,54,73,4,1,100,12,0,27,22,25,16,18,11,8,11,22,22,18,15,44,29,28,19,15,13,5,4,24,21,13,9,7,1,0,11,9,8,7,5,4,4,24,19,12,21,21,19,18,15,15,29,29,7,20,20,12,16,13,54,40,41,9,24,46,35,37,44,29,23,17,26,30,28,26,27,19,50,40,9,0,28,48,18,7,31,51,17,1,63,38,46,38,38,30,25,17,14,2,81,57,36,34,34,20,24
17,383100,53,47,13,19,51,6,2,9,7,100,98,97,86,32,47,2,37,30,23,8,78,24,19,14,10,3,23,38,69,86,88,68,83,20,11,100,37,12,44,35,39,32,36,29,19,17,31,18,19,16,33,21,20,19,17,15,10,7,15,12,10,9,7,4,2,15,13,12,12,11,7,5,13,11,7,11,9,9,6,4,3,22,13,21,16,17,18,19,12,43,35,13,6,27,31,27,10,40,25,18,27,30,29,49,35,12,4,44,37,12,8,34,44,14,7,34,50,15,2,51,17,54,54,44,23,19,9,9,3,59,35,31,42,34,35,34
18,389200,50,44,10,8,41,1,0,4,3,100,98,97,80,49,46,2,22,42,26,8,93,75,34,77,20,13,36,51,61,78,79,66,75,13,8,100,21,5,40,35,32,21,27,17,11,23,20,13,21,16,29,40,39,39,39,36,25,14,46,38,38,38,35,23,10,6,5,5,5,5,4,2,15,15,5,13,13,13,12,7,4,17,15,15,17,4,6,25,24,38,35,14,8,8,36,36,12,29,24,20,3,19,17,41,55,4,0,56,32,12,0,25,49,11,15,43,41,16,0,59,26,54,52,47,71,71,54,32,5,84,68,50,40,36,26,23
19,390500,29,24,9,8,21,0,0,0,2,100,96,94,82,28,31,4,28,34,31,3,88,34,22,62,4,1,22,36,51,70,68,59,72,6,6,100,0,0,23,19,20,16,17,11,9,15,16,11,13,10,50,3,3,2,2,2,1,1,3,3,2,2,2,1,1,1,0,0,0,0,0,0,7,7,1,7,7,7,7,3,2,6,6,4,5,4,5,4,3,23,18,7,4,3,22,20,6,17,13,6,5,9,12,43,35,5,17,34,57,10,0,2,55,8,35,32,51,6,10,70,37,48,40,51,63,59,33,19,4,68,49,32,29,37,25,7
20,391705,94,86,31,27,80,17,6,21,7,100,98,97,68,64,74,2,14,12,47,25,92,53,46,58,10,2,35,56,74,90,90,62,82,17,7,78,33,22,72,65,65,62,64,52,33,20,25,20,18,11,23,36,34,28,21,14,7,1,37,32,25,18,11,4,1,8,6,5,4,3,3,0,10,10,4,8,5,5,3,2,1,14,13,9,12,11,24,44,36,41,36,18,16,16,31,27,17,44,29,23,18,29,32,67,21,8,4,75,20,4,0,31,34,28,7,36,45,17,2,54,42,50,59,43,76,70,58,46,17,83,63,32,36,36,42,32
21,394100,45,44,18,14,92,54,32,60,29,100,100,100,62,85,82,0,4,16,38,43,93,57,63,51,23,9,38,76,75,91,89,73,84,43,30,100,16,0,78,76,74,65,70,58,51,15,19,18,13,6,16,34,33,26,25,20,13,10,40,33,26,25,20,9,8,6,5,5,5,5,4,2,25,25,11,19,19,19,15,7,4,23,19,18,21,18,40,62,40,51,44,26,21,27,39,31,26,50,28,18,16,37,37,79,17,0,4,73,24,3,0,26,41,30,4,39,37,21,3,61,51,45,67,51,78,66,67,45,37,80,65,59,61,64,61,42
22,395005,98,96,57,64,92,56,30,60,26,100,100,99,69,65,84,0,18,20,40,22,93,24,39,32,9,6,40,72,83,90,88,76,90,36,24,92,35,14,83,76,79,75,80,68,52,20,32,21,15,7,11,14,14,12,10,7,4,3,15,13,11,9,6,4,2,4,3,3,3,2,1,1,19,19,7,17,15,15,12,7,5,15,11,12,14,10,32,55,39,34,30,13,11,13,27,26,9,43,30,22,13,36,30,81,15,4,1,79,18,2,0,51,28,13,7,48,37,13,2,63,63,65,75,58,80,72,50,38,36,71,48,43,55,66,56,32
23,000038,99,99,48,47,93,25,9,45,22,100,100,100,82,58,87,0,22,34,33,11,89,24,50,41,15,8,44,50,84,89,79,68,80,30,12,100,13,0,87,75,68,53,72,55,40,35,36,38,28,22,7,27,23,23,23,18,10,10,20,17,16,16,11,2,0,15,11,11,11,11,10,10,12,12,9,9,7,7,7,7,2,32,28,19,23,27,20,49,37,27,25,15,9,9,38,37,10,64,51,21,9,46,49,55,31,15,0,51,38,11,0,21,42,37,0,34,44,13,9,78,51,54,72,55,27,23,15,13,8,61,49,49,59,70,56,43
24,000039,98,94,24,29,97,38,23,50,26,100,100,100,84,72,79,0,25,31,28,16,92,54,67,61,18,19,53,72,86,94,95,70,71,7,3,100,50,0,86,78,80,67,80,60,45,13,20,35,13,21,19,53,48,48,42,31,11,5,44,41,40,35,24,2,0,25,20,14,14,9,7,5,23,23,7,19,17,17,16,7,5,34,24,28,29,26,18,68,63,46,36,3,30,9,43,40,5,66,54,28,14,48,60,59,34,0,7,70,26,5,0,17,45,30,7,29,50,13,8,68,44,56,90,36,52,37,30,22,23,58,63,24,30,62,63,54
25,000040,96,92,34,32,84,19,6,23,9,100,100,100,84,66,76,0,11,7,60,22,88,27,45,30,9,7,35,65,68,93,95,47,59,19,9,100,0,0,69,58,67,55,65,53,9,25,27,29,33,13,15,13,6,4,4,3,3,3,8,6,4,4,3,3,3,7,1,1,1,1,1,1,3,3,1,3,3,3,1,0,0,6,6,6,6,3,4,29,20,20,18,5,3,6,19,17,4,36,19,19,9,29,14,85,0,15,0,70,23,7,0,17,13,62,8,43,36,21,0,87,67,86,80,25,50,32,13,21,10,65,34,40,24,72,45,15
26,402100,91,82,28,26,76,6,2,30,22,100,97,97,74,56,68,3,36,22,26,14,95,27,41,55,3,0,47,64,76,87,88,64,77,13,3,100,30,30,65,54,61,55,63,41,28,21,33,26,27,23,15,9,9,7,7,5,3,3,7,7,7,7,4,3,3,2,2,0,0,0,0,0,11,11,4,10,6,6,2,2,1,8,8,3,5,4,36,38,12,23,21,6,3,3,23,20,6,36,29,11,2,28,24,60,17,23,0,60,29,11,0,43,32,25,0,34,45,21,0,54,11,57,57,43,51,48,28,17,3,71,53,27,36,31,37,25
27,000041,93,90,29,42,86,11,5,20,15,100,99,98,80,53,73,0,21,35,31,13,90,19,34,22,3,2,31,65,85,92,92,77,88,23,14,96,22,6,74,65,64,57,67,56,36,19,24,21,15,13,23,12,12,10,8,7,4,2,13,10,8,7,6,3,1,4,3,3,3,2,1,1,10,10,3,8,7,6,5,3,2,12,8,9,9,9,26,42,25,35,34,4,6,4,22,22,5,48,36,13,8,43,28,52,31,12,5,57,34,8,1,21,54,16,9,35,44,17,4,70,33,57,57,55,59,53,36,20,12,70,46,35,48,58,47,34
28,405900,90,84,36,33,74,9,4,15,6,100,97,95,77,41,65,3,25,31,33,8,90,9,22,16,2,1,24,64,80,95,97,67,85,54,40,96,34,12,70,58,63,51,61,43,25,14,32,20,23,11,26,6,5,5,5,4,1,1,5,5,5,4,4,1,0,2,2,2,1,1,0,0,12,11,3,9,8,7,5,3,3,6,5,6,5,4,19,29,19,25,23,5,6,5,17,17,4,19,13,8,3,17,15,42,33,18,6,40,41,14,5,14,54,24,7,25,47,28,0,54,53,55,53,37,56,51,28,23,12,60,34,32,60,50,52,21
29,406800,90,88,32,42,83,24,11,31,18,100,99,99,59,76,75,1,18,16,31,35,91,28,38,31,4,0,27,66,85,88,89,70,83,34,25,83,66,27,73,69,63,54,68,59,33,29,28,25,25,15,24,19,19,16,12,6,1,1,21,16,13,9,4,1,1,6,6,5,4,4,1,1,14,13,6,13,12,12,8,4,3,10,8,8,8,8,29,39,24,28,19,10,9,11,22,18,8,36,23,14,11,26,28,57,35,6,3,61,39,0,0,25,40,32,4,18,59,17,5,68,56,62,68,51,54,44,30,35,20,69,58,42,52,55,46,33
30,408100,87,82,29,31,75,19,10,13,8,100,99,95,63,60,70,1,26,18,37,18,89,21,38,19,3,4,34,71,74,93,93,67,87,24,13,100,20,7,69,66,66,55,66,53,35,22,36,21,19,12,17,12,12,10,9,6,3,3,14,12,10,9,5,2,2,1,1,1,1,1,1,1,12,12,5,10,8,8,6,4,1,17,15,11,11,12,23,36,26,34,32,5,11,8,24,22,6,39,21,14,8,32,28,67,12,17,3,64,27,9,0,19,43,29,9,35,38,24,3,56,60,58,62,67,71,70,56,50,21,84,63,51,56,68,54,29
31,000042,85,79,26,29,75,9,3,13,8,100,98,98,79,41,63,2,30,26,31,11,88,33,38,36,6,4,30,51,75,87,88,65,84,21,11,100,14,0,60,53,45,39,48,43,26,24,36,24,24,16,21,21,21,17,13,9,5,4,24,19,15,10,7,3,3,3,3,3,3,2,2,0,19,19,4,17,16,16,14,11,10,20,14,12,17,14,10,37,25,36,33,18,11,16,28,25,13,40,27,18,17,33,26,29,30,32,8,58,23,15,4,23,28,37,11,39,48,8,6,50,34,61,62,47,53,51,32,25,6,65,48,35,37,43,39,25
32,410300,70,60,20,21,63,7,3,12,5,99,97,96,78,50,62,1,27,23,36,11,82,38,34,52,7,5,15,45,60,84,86,65,84,24,13,100,6,3,61,53,58,50,55,40,26,16,27,23,23,24,35,18,18,13,13,12,10,7,24,16,11,11,11,9,6,3,3,3,3,1,1,1,9,8,4,9,9,9,5,3,2,13,11,9,11,6,25,26,26,40,36,18,10,19,30,29,16,26,17,13,8,20,18,31,21,25,24,47,46,8,0,4,62,29,5,41,34,20,5,67,47,47,63,25,39,31,25,21,5,73,44,42,48,33,24,30
