ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,ICTPersAangenomenWillenAannemen_6,ICTVacaturesLastigTeVervullen_7,ICTCursusAanICTSpecialisten_8,ICTCursusAanOverigPersoneel_9,VoornUitgDoorEigenPersoneel_10,VoornUitgDoorExterneLeveranciers_11,NietVanToepassing_12,VoornUitgDoorEigenPersoneel_13,VoornUitgDoorExterneLeveranciers_14,NietVanToepassing_15,VoornUitgDoorEigenPersoneel_16,VoornUitgDoorExterneLeveranciers_17,NietVanToepassing_18,VoornUitgDoorEigenPersoneel_19,VoornUitgDoorExterneLeveranciers_20,NietVanToepassing_21,VoornUitgDoorEigenPersoneel_22,VoornUitgDoorExterneLeveranciers_23,NietVanToepassing_24,VoornUitgDoorEigenPersoneel_25,VoornUitgDoorExterneLeveranciers_26,NietVanToepassing_27,VoornUitgDoorEigenPersoneel_28,VoornUitgDoorExterneLeveranciers_29,NietVanToepassing_30,Internet_31,VastBreedband_32,MobielBreedband_33,MinderDan2MegabitPerSeconde_34,k_2Tot10MegabitPerSeconde_35,k_10Tot30MegabitPerSeconde_36,k_30Tot100MegabitPerSeconde_37,k_100MegabitPerSecondeOfMeer_38,LaptopTablet_39,Smartphone_40,MobielInternetVerschaftAanWerknemers_41,ToegangEMailsysteemVanHetBedrijf_42,ToegangTotBestandenVanHetBedrijf_43,ToegangTotBedrijfssystemenBijvERP_44,BedrijvenMetWebsite_45,OnlineBestellenBoekenOfReserveren_46,BeschrijvingenVanProductenPrijslijst_47,BestellingOnlineVolgen_48,ProductaanpassingDoorKlant_49,KlantspecifiekeInfoVoorDeBezoeker_50,PersoneelsadvertentiesVanBedrijfZelf_51,VerwijzingNaarSocialeMedia_52,AdverterenOpInternet_53,InhoudVanDeWebsite_54,EerdereActiviteitenVanDeGebruiker_55,GeografischeLocaties_56,AndereGerichteMethoden_57,SocialeMediaGebruikt_58,SocialeNetwerkenBijvFacebook_59,BlogsOfMicroblogsBijvTwitter_60,MultimediaDelenBijvYouTube_61,WikiSOmKennisTeDelen_62,CloudDienstenGebruikt_63,EMailAlsCloudDienst_64,OfficeSoftware_65,DatabaseHosting_66,BestandenOpslaanAlsCloudDienst_67,SoftwareVoorBoekhouding_68,SoftwareKlantinformatiebeheer_69,RekenkrachtVoorSoftwareBedrijf_70,GedeeldeServers_71,ServersUitsluitendVoorHetBedrijf_72,Uitgevoerd_73,DataVanBedrijfZelf_74,DataOverGeografischeLocaties_75,DataVanSocialeMedia_76,AndereBronnen_77,MedewerkersEigenBedrijf_78,AnderBedrijf_79,EFactuur_80,ElektronischMaarGeenEFactuur_81,InPapierenVorm_82,EFactuur_83,GeenEFactuur_84,EFacturenVerzonden_85,EFacturenOntvangen_86,VerkoopViaECommerce_87,Verkoopwaarde1VanDeTotaleOmzet_88,Verkoopwaarde1VanDeTotaleOmzet_89,Verkoopwaarde2VanDeTotaleOmzet_90,Verkoopwaarde5VanDeTotaleOmzet_91,Verkoopwaarde10VanDeTotaleOmzet_92,Verkoopwaarde25VanDeTotaleOmzet_93,Verkoopwaarde50VanDeTotaleOmzet_94,VerkoopViaEenWebsiteApp_95,Verkoopwaarde1VanDeTotaleOmzet_96,Verkoopwaarde1VanDeTotaleOmzet_97,Verkoopwaarde2VanDeTotaleOmzet_98,Verkoopwaarde5VanDeTotaleOmzet_99,Verkoopwaarde10VanDeTotaleOmzet_100,Verkoopwaarde25VanDeTotaleOmzet_101,Verkoopwaarde50VanDeTotaleOmzet_102,NederlandseConsumenten_103,BuitenlandseConsumenten_104,Bedrijven_105,Overheden_106,KlantenInNederland_107,KlantenInAndereEULanden_108,KlantenInLandenBuitenDeEU_109,OnlineBetalingen_110,OfflineBetalingen_111,GoederenOfDienstenOngeschikt_112,LogistiekeProblemen_113,ProblemenMetBetalingen_114,ProblemenMetBeveiliging_115,JuridischeProblemen_116,TeHogeKosten_117,VerkoopViaEDI_118,Verkoopwaarde1VanDeTotaleOmzet_119,Verkoopwaarde1VanDeTotaleOmzet_120,Verkoopwaarde2VanDeTotaleOmzet_121,Verkoopwaarde5VanDeTotaleOmzet_122,Verkoopwaarde10VanDeTotaleOmzet_123,Verkoopwaarde25VanDeTotaleOmzet_124,Verkoopwaarde50VanDeTotaleOmzet_125,KlantenInNederland_126,KlantenInAndereEULanden_127,KlantenInLandenBuitenDeEU_128,InkoopViaECommerce_129,Inkoopwaarde1VanDeTotaleInkoop_130,Inkoopwaarde1VanDeTotaleInkoop_131,Inkoopwaarde2VanDeTotaleInkoop_132,Inkoopwaarde5VanDeTotaleInkoop_133,Inkoopwaarde10VanDeTotaleInkoop_134,Inkoopwaarde25VanDeTotaleInkoop_135,Inkoopwaarde50VanDeTotaleInkoop_136,InkoopViaEenWebsiteApp_137,Inkoopwaarde1VanDeTotaleInkoop_138,Inkoopwaarde1VanDeTotaleInkoop_139,Inkoopwaarde2VanDeTotaleInkoop_140,Inkoopwaarde5VanDeTotaleInkoop_141,Inkoopwaarde10VanDeTotaleInkoop_142,Inkoopwaarde25VanDeTotaleInkoop_143,Inkoopwaarde50VanDeTotaleInkoop_144,AanbiedersInNederland_145,AanbiedersInAndereEULanden_146,AanbiedersInLandenBuitenDeEU_147,InkoopViaEDI_148,Inkoopwaarde1VanDeTotaleInkoop_149,Inkoopwaarde1VanDeTotaleInkoop_150,Inkoopwaarde2VanDeTotaleOmzet_151,Inkoopwaarde5VanDeTotaleInkoop_152,Inkoopwaarde10VanDeTotaleInkoop_153,Inkoopwaarde25VanDeTotaleInkoop_154,Inkoopwaarde50VanDeTotaleInkoop_155,AanbiedersInNederland_156,AanbiedersInAndereEULanden_157,AanbiedersInLandenBuitenDeEU_158
10,300023,39,36,15,13,75,5,2,15,15,30,59,11,42,36,23,14,54,32,24,47,29,15,54,31,19,50,31,21,60,18,100,97,79,0,23,27,35,16,54,76,77,69,48,41,86,20,72,4,4,16,51,48,21,18,7,8,7,55,52,23,24,3,27,12,9,14,14,13,8,5,20,12,12,6,4,5,1,10,6,5,36,58,9,91,14,32,14,5,10,7,6,4,3,2,13,4,8,5,4,3,2,1,30,3,61,6,86,11,3,6,6,58,28,22,18,14,18,3,1,2,2,2,1,1,1,77,21,2,50,21,30,26,16,13,7,5,50,22,28,25,15,12,7,4,88,9,3,5,2,4,3,2,2,0,0,85,13,1
11,800036,83,74,46,40,72,18,11,22,17,29,61,10,40,43,17,23,49,28,27,45,28,15,55,30,17,52,31,28,58,14,100,97,82,0,22,29,29,20,63,79,82,77,55,50,91,35,78,13,9,30,62,52,29,26,14,14,15,61,56,33,31,10,43,18,18,27,25,20,16,9,27,24,27,19,12,8,7,22,15,6,33,62,15,85,16,40,24,13,11,7,5,4,3,3,22,13,9,6,5,4,3,3,61,0,33,5,100,0,0,14,14,60,26,20,16,15,23,4,3,1,1,1,1,0,0,94,6,0,56,42,15,12,9,5,3,1,56,41,15,12,9,5,2,1,92,6,2,6,5,1,1,1,1,0,0,73,14,13
12,900008,64,60,37,32,63,6,1,9,15,23,63,14,40,44,16,9,51,40,17,49,33,9,57,34,11,54,35,15,70,15,100,94,79,0,24,27,28,21,51,78,72,65,45,34,91,12,62,2,1,17,55,50,12,9,4,3,4,56,54,29,21,2,38,18,14,22,22,14,10,7,30,15,17,10,12,9,1,17,9,6,31,63,13,87,17,36,7,1,6,5,4,3,2,0,6,1,5,4,3,2,1,0,42,2,41,15,98,2,0,2,1,65,35,27,24,24,28,1,0,1,1,1,1,0,0,100,0,0,55,28,27,24,19,17,9,4,55,28,27,24,19,13,5,4,97,3,0,5,1,3,3,3,3,0,0,92,8,0
13,351900,61,57,36,26,68,2,1,9,14,21,69,10,29,50,21,11,51,38,14,56,29,9,54,37,13,53,34,9,77,14,100,96,78,0,31,29,29,12,56,74,76,65,42,39,86,20,61,5,5,19,50,45,17,15,5,5,6,52,49,20,20,2,29,17,16,18,17,15,10,6,22,11,17,7,12,5,1,14,10,5,32,64,14,86,15,43,14,8,6,5,3,3,1,0,13,7,6,5,2,2,1,0,50,1,47,3,97,2,1,4,5,59,33,20,20,22,24,1,0,1,1,1,1,0,0,99,1,0,59,26,33,31,26,22,18,7,58,27,31,28,24,19,16,6,95,4,1,10,4,6,6,5,4,2,1,96,4,0
14,354300,75,71,18,15,65,3,1,7,15,26,69,6,43,43,14,12,54,34,17,65,18,13,67,20,13,64,22,19,70,11,100,97,69,0,18,35,27,20,47,64,66,60,43,39,93,61,89,16,19,36,51,67,57,50,25,30,32,75,72,35,30,4,29,17,13,17,17,16,12,6,19,15,13,8,4,8,3,11,9,9,26,65,16,84,30,52,33,11,22,21,16,13,10,7,31,11,21,20,15,11,9,6,43,2,54,1,86,10,4,14,15,56,34,25,21,27,23,4,1,3,3,3,2,2,1,62,33,6,57,24,33,30,26,20,15,10,54,26,28,25,21,15,10,7,91,6,3,10,1,9,9,9,8,6,2,80,20,0
15,356900,77,71,31,29,83,9,5,18,16,34,60,6,49,39,12,21,57,22,30,54,16,21,58,21,24,54,22,30,61,10,100,97,81,0,17,29,29,25,58,77,79,73,53,48,93,43,85,16,7,30,56,60,33,28,12,9,15,64,60,28,30,6,30,18,14,20,20,13,13,6,23,14,20,11,7,10,3,19,8,9,44,47,13,87,27,37,39,13,26,24,21,16,11,7,31,10,21,18,15,10,6,4,16,3,79,3,83,13,3,15,18,45,28,21,21,21,26,16,6,11,10,9,7,5,2,80,18,2,50,25,25,20,17,14,10,8,46,25,21,17,14,12,8,6,88,9,3,9,3,6,5,5,4,2,2,73,20,6
16,371600,45,37,8,8,57,8,4,7,9,24,61,15,33,48,19,17,53,30,18,53,29,17,57,26,19,55,25,18,64,18,100,98,53,0,20,35,29,16,33,49,50,40,31,27,83,61,71,34,12,39,44,58,42,36,25,25,28,68,67,31,28,4,33,21,18,26,24,22,14,6,26,16,24,9,6,15,7,21,18,8,29,62,21,79,18,49,48,18,30,28,22,19,15,13,45,17,28,26,19,17,13,11,73,10,15,1,89,9,2,38,25,33,24,15,15,16,28,7,4,3,3,3,2,1,1,87,10,4,51,22,29,25,21,19,15,13,48,26,21,16,13,11,8,7,90,7,2,14,5,9,9,8,8,7,6,93,7,0
17,383100,54,45,22,18,63,4,2,9,11,24,63,12,31,49,20,12,49,39,14,54,31,9,55,36,14,50,36,20,65,16,100,97,72,0,24,28,32,16,45,68,69,59,37,35,81,31,68,14,8,23,48,35,17,14,4,5,5,46,44,15,16,3,30,15,11,16,17,16,9,5,23,12,26,15,20,5,4,23,13,6,42,52,14,86,18,39,25,9,16,13,12,11,7,4,15,9,7,6,5,4,2,1,28,2,67,3,90,6,4,6,10,51,25,17,19,17,19,15,4,11,10,9,8,5,2,74,22,4,45,22,22,19,16,12,8,3,44,22,21,18,15,11,7,2,93,5,2,3,1,2,2,2,2,1,1,90,8,2
18,389200,48,45,8,8,56,2,0,4,5,16,65,19,25,52,23,9,53,37,12,53,35,7,66,27,11,63,26,11,70,19,100,98,52,0,19,25,29,27,40,47,47,38,28,29,90,86,86,24,17,39,58,75,54,49,30,23,29,84,84,48,35,7,34,21,17,23,23,25,17,11,23,18,22,9,5,19,2,17,13,4,41,55,13,87,13,51,55,13,42,39,35,35,27,13,54,12,42,39,35,35,26,13,43,20,33,4,71,22,7,33,21,22,15,15,19,11,19,3,2,1,1,1,1,0,0,63,25,12,57,15,42,37,31,26,20,11,56,14,42,37,31,26,20,11,95,4,1,2,2,0,0,0,0,0,0,96,2,2
19,390500,33,29,8,9,44,1,0,0,2,20,46,33,23,31,46,8,36,57,7,34,60,10,49,41,9,49,42,10,49,41,100,98,51,0,21,40,28,11,38,48,45,38,28,23,84,53,78,6,3,24,46,59,27,20,11,13,12,73,73,24,20,4,18,12,7,14,12,9,4,2,14,6,14,3,3,13,2,11,5,5,32,63,20,80,14,51,17,6,11,11,9,6,4,2,17,6,11,11,8,6,4,2,56,4,30,10,96,3,1,6,9,44,27,23,20,16,23,1,0,1,1,0,0,0,0,99,1,0,38,12,26,22,19,15,13,9,37,13,25,21,17,14,12,9,98,2,0,3,1,2,2,2,1,1,0,97,1,1
20,391705,94,93,32,45,91,17,10,25,12,46,49,5,61,30,9,30,51,19,35,50,14,33,52,15,39,43,18,39,55,6,100,97,83,0,14,11,27,48,62,82,78,75,68,57,95,50,83,18,10,37,71,79,46,39,32,23,27,88,87,67,62,13,48,29,22,33,33,22,18,3,35,26,34,10,9,28,8,28,22,4,44,52,16,84,13,45,38,10,27,25,22,16,12,9,38,12,26,24,21,14,11,8,52,4,33,11,91,7,2,29,24,44,20,16,15,14,19,4,1,3,3,3,3,1,1,78,15,7,66,24,42,30,23,19,10,4,66,24,42,30,23,19,10,4,88,8,4,3,0,3,2,2,2,2,0,88,4,8
21,394100,99,98,89,46,93,51,35,52,26,67,24,8,63,26,11,34,56,10,39,51,10,39,46,15,43,40,17,56,37,7,100,100,84,0,3,19,17,61,70,79,82,82,73,71,90,57,82,30,31,48,77,79,39,34,26,20,26,84,77,61,48,27,53,39,37,36,41,26,27,18,34,36,44,30,19,22,10,42,21,12,58,30,14,86,23,41,43,14,29,29,19,15,10,7,41,14,27,27,16,15,10,7,30,2,61,7,84,11,4,20,20,50,16,16,13,21,19,3,0,3,3,1,0,0,0,100,0,0,67,29,38,32,25,20,14,12,67,29,38,29,23,17,11,10,84,9,7,6,2,4,3,3,3,3,3,90,8,1
22,395005,98,98,63,65,94,57,44,59,37,76,18,6,80,10,10,56,24,20,58,26,16,60,22,18,62,19,19,69,22,9,100,99,82,0,6,16,30,49,59,79,77,74,65,59,93,27,81,9,10,31,83,75,49,42,25,21,31,84,80,64,47,31,67,43,38,52,52,40,37,20,48,43,31,16,13,21,9,30,14,8,60,32,14,86,19,38,17,7,10,8,6,6,4,3,16,7,9,7,6,5,4,3,13,4,80,4,84,10,6,7,11,59,15,14,15,14,13,2,2,1,1,0,0,0,0,83,14,3,64,13,51,48,38,30,19,12,63,13,50,47,38,29,18,12,82,11,7,4,1,2,2,1,1,0,0,81,13,5
23,900016,100,100,83,34,82,23,9,37,26,45,45,10,60,30,10,31,48,20,39,47,13,34,42,24,37,41,22,47,43,10,100,100,77,0,19,33,21,28,60,72,77,68,45,38,91,26,70,8,10,24,55,53,18,12,7,7,11,54,54,36,21,9,40,17,10,19,18,13,12,5,25,28,24,12,7,18,6,24,16,3,32,66,10,90,11,30,26,22,3,3,1,1,0,0,17,14,3,3,1,1,0,0,52,13,33,2,84,10,6,7,10,50,17,21,26,26,17,10,10,0,0,0,0,0,0,76,16,8,45,21,25,22,13,11,6,6,42,17,25,22,13,11,6,6,91,7,2,9,9,0,0,0,0,0,0,96,3,2
24,900027,94,94,53,37,92,27,19,49,33,51,42,8,61,32,8,36,50,13,48,44,8,34,52,14,41,41,18,49,43,8,100,97,90,0,11,33,29,28,64,88,90,90,77,67,97,64,90,28,43,55,75,77,41,37,26,25,26,76,76,59,43,21,47,18,26,32,24,13,21,13,28,36,39,22,7,16,18,35,28,5,27,68,14,86,22,41,50,30,20,14,12,7,7,3,45,25,20,14,12,7,5,3,81,3,16,0,94,2,4,16,39,43,8,12,19,22,9,15,12,3,3,2,2,0,0,88,5,7,64,40,24,17,11,7,2,0,60,36,24,17,11,7,2,0,85,5,10,12,12,0,0,0,0,0,0,87,2,11
