ID,BedrijfstakkenBranchesSBI2008,Bedrijfsgrootte,AantalBedrijven_1,PersoneelDatWerktMetEenComputer_2,PersoneelDatWerktMetInternet_3,Telewerkers_4,LAN_5,DraadloosLAN_6,Intranet_7,Extranet_8,Telewerkers_9,Internet_10,ISDNOfAnaloogModem_11,TotaalBreedband_12,ADSLVDSLEnSDSLEnDergelijke_13,BreedbandVast_14,AndereHoogwaardigeVasteVerbindingen_15,MobielBreedbandTotaal_16,ViaDraagbareComputer_17,ViaMobieleTelefoonSmartphone_18,AndereMobieleVerbindingGPRSEDGE_19,TenMinsteEenAlgemeneToepassing_20,FinancieleTransacties_21,TrainingEnOpleiding_22,TenMinsteEenAangebodenFaciliteit_23,PresentatieEigenBedrijf_24,ProductcatalogiEnPrijslijsten_25,ProductaanpassingVoorKlant_26,OnlineBestellenOfBoeken_27,BestellingVolgen_28,PaginaVoorVasteBezoekers_29,WervenVanPersoneel_30,AndereFaciliteiten_31,TenMinsteEenSoortCommunicatie_32,VerkrijgenVanInformatie_33,VerkrijgenVanFormulieren_34,RetournerenIngevuldeFormulieren_35,VolledigeElekAfhandelingAanvraag_36,ElektronischInschrijvenOpAanbesteding_37,VerkoopViaExterneNetwerken_38,CryptografischeProtocollen_39,Verkoopwaarde1VanDeTotaleOmzet_40,Verkoopwaarde2VanDeTotaleOmzet_41,Verkoopwaarde5VanDeTotaleOmzet_42,Verkoopwaarde10VanDeTotaleOmzet_43,Verkoopwaarde25VanDeTotaleOmzet_44,Verkoopwaarde50VanDeTotaleOmzet_45,VerkoopViaEenWebsite_46,Verkoopwaarde1VanDeTotaleOmzet_47,Verkoopwaarde2VanDeTotaleOmzet_48,Verkoopwaarde5VanDeTotaleOmzet_49,Verkoopwaarde10VanDeTotaleOmzet_50,Verkoopwaarde25VanDeTotaleOmzet_51,Verkoopwaarde50VanDeTotaleOmzet_52,VerkoopViaNietInternetnetwerken_53,Verkoopwaarde1VanDeTotaleOmzet_54,Verkoopwaarde2VanDeTotaleOmzet_55,Verkoopwaarde5VanDeTotaleOmzet_56,Verkoopwaarde10VanDeTotaleOmzet_57,Verkoopwaarde25VanDeTotaleOmzet_58,Verkoopwaarde50VanDeTotaleOmzet_59,InkoopViaExterneNetwerken_60,Inkoopwaarde1VanDeTotaleInkoop_61,Inkoopwaarde2VanDeTotaleInkoop_62,Inkoopwaarde5VanDeTotaleInkoop_63,Inkoopwaarde10VanDeTotaleInkoop_64,Inkoopwaarde25VanDeTotaleInkoop_65,Inkoopwaarde50VanDeTotaleInkoop_66,ERPSoftware_67,TotaalCRMSoftware_68,OpslagKlantgegevens_69,AnalyseKlantgegevens_70,TotaalOpenSourceSoftware_71,BesturingssystemenServerSoftware_72,KantoorEnBedrijfsapplicaties_73,TotaalVerkooporderverwerkingssysteem_74,FactureringsEnBoekhoudsystemen_75,Voorraadbeheersystemen_76,Productiesystemen_77,LogistiekeSystemen_78,TotaalInkooporderverwerkingssysteem_79,BetalingsEnBoekhoudsysteem_80,Voorraadbeheersystemen_81,TenMinsteEenSoortADE_82,OrderverwerkingMetDerden_83,VerzendenVanInkooporders_84,OntvangenVanElektronischeFacturen_85,OntvangenVanVerkooporders_86,VerzendenVanElektronischeFacturen_87,Productinformatie_88,Transportdocumenten_89,DataVanNaarOverheden_90,AndereBerichten_91,TotaalBedrijvenMetSCM_92,TotaalSCMMetLeveranciers_93,TotaalSCMMetAfnemers_94,ViaWebsites_95,ViaAutomatedDataExchangeADE_96,WasZeerBelangrijk_97,WasBelangrijk_98,WasEnigszinsBelangrijk_99,WasOnbelangrijk_100,WasZeerBelangrijk_101,WasBelangrijk_102,WasEnigszinsBelangrijk_103,WasOnbelangrijk_104,WasZeerBelangrijk_105,WasBelangrijk_106,WasEnigszinsBelangrijk_107,WasOnbelangrijk_108,WasZeerBelangrijk_109,WasBelangrijk_110,WasEnigszinsBelangrijk_111,WasOnbelangrijk_112,DigitaleHandtekening_113,Totaal_114,VernietigingOfVerminkingVanGegevens_115,OnthullingVanVertrouwelijkeGegevens_116,UitvalVanICTDiensten_117,VerplichteTrainingOfVoorlichting_118,OpnameInEenArbeidsContract_119,VrijwilligeTraining_120,Storingen_121,AanvalVanBuitenaf_122,Infectie_123,InbraakPharmingOfPhishing_124,Personeel_125,SterkeWachtwoorden_126,HardwareTokens_127,BiometrischeMethoden_128,OffsiteDataBackup_129,LoggingActiviteiten_130
12,53,14,8025.0,46,44,17,79,25,17,9,41,98,24,88,79,87,19,22,16,15,10,91,91,4,49,80,11,2,12,1,6,33,30,95,58,93,91,39,7,13,3,12,12,10,8,4,3,9,8,8,7,4,1,1,8,8,8,7,6,3,2,39,26,23,21,14,9,6,14,9,8,5,16,4,14,48,34,10,9,8,41,28,12,71,38,22,25,17,3,35,7,53,25,1,1,0,0,0,10,33,26,31,35,50,8,7,9,41,25,25,3,43,44,10,17,18,79,65,82,4,9,11,15,4,5,3,3,40,11,0,39,16
13,53,11,6898.0,36,34,9,77,24,14,8,34,98,25,87,79,86,15,17,12,11,7,92,92,3,44,78,10,2,12,1,7,26,26,94,55,92,90,36,3,14,3,13,12,11,9,4,3,9,8,8,8,5,0,0,9,8,8,7,6,3,2,38,24,22,20,13,8,5,8,5,4,3,15,2,13,46,31,8,7,6,37,24,9,70,38,21,25,17,3,35,6,50,24,0,0,0,0,0,8,30,27,34,35,54,0,11,11,41,19,28,0,42,47,11,13,14,76,60,81,3,6,8,13,4,5,3,2,35,8,0,35,12
14,53,12,1001.0,43,42,12,89,28,31,11,72,98,17,93,77,93,39,44,32,33,20,89,89,7,74,91,17,4,11,1,3,63,46,98,75,97,98,52,20,10,3,10,8,8,7,4,4,7,6,6,5,4,1,1,7,7,6,6,5,4,3,44,33,26,22,16,12,7,38,28,24,15,20,13,16,57,46,22,16,16,60,43,24,78,42,28,25,19,3,36,10,69,29,1,1,0,1,0,14,30,22,34,36,42,17,5,2,39,39,20,12,44,40,4,35,36,87,71,84,9,23,23,25,5,5,1,5,63,22,0,59,35
15,53,13,126.0,61,58,31,96,36,84,46,94,99,29,99,87,99,82,76,70,63,53,92,91,33,93,95,22,2,9,0,7,91,71,99,83,99,96,58,50,12,5,9,7,5,1,0,0,6,5,4,3,1,0,0,7,6,3,2,0,0,0,65,55,49,45,32,16,11,78,61,56,35,40,31,25,76,64,40,26,35,85,70,43,84,55,38,42,10,7,51,23,68,35,6,5,3,4,6,14,63,23,0,33,59,8,0,22,41,26,11,8,49,27,16,32,75,85,78,84,15,49,60,36,8,21,8,12,81,51,8,81,67
16,54,14,16176.0,65,55,16,82,36,36,20,56,98,27,91,80,91,28,25,18,19,14,90,90,19,61,75,38,4,29,9,10,31,30,94,62,93,91,48,8,29,10,26,25,23,20,14,11,19,18,16,14,10,5,3,19,18,17,16,14,10,8,44,33,31,29,24,18,15,25,24,21,19,24,13,19,62,49,42,17,30,58,41,43,71,49,32,35,25,16,30,21,48,30,7,6,3,5,5,28,36,18,18,38,48,11,3,26,40,19,15,30,43,20,7,25,30,73,74,73,12,22,22,18,7,8,4,5,52,18,3,48,29
17,54,11,13858.0,68,62,17,81,33,31,18,52,98,28,91,80,90,23,20,14,15,11,90,90,17,58,73,36,4,27,8,8,25,26,94,59,92,91,45,8,26,7,24,22,21,18,13,11,18,17,15,13,10,5,3,17,17,16,15,13,9,8,43,31,29,28,23,18,14,19,20,18,16,21,11,18,59,45,38,14,25,54,37,39,69,46,30,34,23,13,30,19,46,28,5,4,2,3,3,26,36,18,20,33,50,13,4,27,38,18,18,31,42,18,9,23,26,70,75,70,10,18,18,16,6,8,4,5,48,15,2,45,25
18,54,12,2007.0,74,66,20,89,53,58,32,75,99,25,96,80,95,53,48,36,36,27,93,91,29,78,83,49,7,39,14,19,57,49,96,73,96,95,59,11,40,22,38,36,32,27,18,12,26,24,20,16,12,4,2,28,27,26,24,21,15,10,49,40,38,34,28,20,16,53,40,36,33,31,19,25,78,67,65,32,55,76,57,63,76,61,36,37,37,31,29,27,54,36,15,12,7,9,12,35,34,21,11,47,45,7,2,26,46,20,8,27,47,24,2,35,50,81,71,80,21,41,40,28,9,9,5,7,67,33,8,61,47
19,54,13,311.0,57,40,13,97,66,85,45,90,99,28,98,83,98,78,66,58,57,46,90,87,45,94,95,59,15,56,27,24,84,71,99,76,98,99,60,14,57,41,47,44,38,33,23,15,40,31,27,20,14,8,4,37,35,33,30,24,16,11,70,53,52,50,42,35,31,71,48,44,41,57,49,35,86,79,80,48,75,90,76,83,96,79,66,55,49,44,48,49,71,49,36,31,20,23,34,39,36,17,9,50,40,10,0,28,40,26,6,29,43,19,9,43,64,83,73,82,25,50,53,42,9,10,3,10,76,54,7,82,67
20,55,14,4211.0,50,41,14,79,34,27,13,46,98,22,91,79,91,28,21,14,17,16,92,92,8,57,79,15,4,26,9,10,32,32,97,61,95,95,49,8,31,11,30,30,28,25,19,15,19,19,17,13,11,6,4,25,24,23,23,20,14,11,36,24,21,18,11,5,3,16,11,9,9,19,13,13,50,38,13,7,25,34,25,8,79,50,17,35,30,12,25,34,61,34,9,4,8,5,7,44,36,11,9,40,48,7,5,21,51,19,8,16,48,29,8,25,30,81,73,84,9,16,16,18,8,9,4,3,49,16,3,46,28
21,55,11,3267.0,34,32,6,75,30,20,8,39,98,23,89,78,89,21,14,8,11,11,92,92,4,49,77,12,2,23,5,6,22,25,96,57,94,94,46,7,26,6,25,25,24,21,17,12,17,16,15,11,10,6,3,20,18,18,18,15,11,9,32,20,17,15,9,4,2,11,7,5,6,13,7,10,45,33,9,5,19,30,22,5,76,46,14,36,25,11,25,31,58,32,5,2,4,3,4,26,44,13,16,25,52,12,10,11,57,24,7,9,47,37,7,23,23,84,74,83,7,10,11,15,6,8,4,2,44,11,2,41,22
22,55,12,819.0,48,38,8,93,45,43,25,64,99,21,97,82,97,45,39,26,31,25,92,90,16,78,85,21,6,35,18,17,62,49,99,73,99,98,57,8,45,21,43,41,40,36,26,20,27,26,23,19,13,7,6,39,38,37,36,34,20,14,47,33,29,24,16,6,4,28,20,16,14,35,29,20,67,55,23,8,43,46,34,15,85,61,26,33,43,13,21,41,68,36,17,8,14,12,12,64,28,7,1,56,44,0,0,35,44,13,8,21,54,15,9,33,50,76,72,84,14,31,27,28,13,9,6,7,65,25,5,56,42
23,55,13,125.0,56,46,20,98,64,84,60,91,100,32,99,82,99,85,76,68,61,69,93,93,51,95,96,43,17,52,45,42,80,71,99,79,99,98,65,19,66,42,63,63,61,54,43,36,36,33,28,25,20,11,9,49,49,49,49,40,34,26,70,49,43,39,29,15,11,49,48,46,36,60,59,30,82,65,49,34,63,70,60,39,92,74,38,41,64,32,42,60,72,63,38,24,37,23,38,57,29,8,7,58,39,4,0,24,48,16,11,31,34,29,7,42,77,86,74,91,27,54,57,40,15,14,8,7,78,56,9,86,79
24,56,14,4246.0,39,34,8,63,37,14,8,23,96,25,84,75,83,17,16,8,10,6,87,86,6,78,86,63,6,36,2,8,36,31,88,46,82,82,29,4,22,8,22,22,19,18,14,10,21,21,20,18,17,9,3,14,14,13,13,11,8,5,44,38,35,33,30,20,15,3,9,8,7,20,4,18,27,11,5,5,5,23,10,5,67,46,26,33,23,11,39,8,39,29,4,4,2,3,2,12,60,14,14,31,65,1,3,9,68,17,6,14,44,31,11,13,10,75,66,68,3,5,5,10,2,4,0,1,25,4,1,16,8
25,56,11,3962.0,38,33,7,61,35,12,7,20,96,25,83,74,82,16,13,7,7,5,86,86,4,78,86,63,5,34,1,7,33,30,87,44,81,80,26,3,20,7,20,20,18,16,13,10,19,19,19,17,16,9,3,13,13,12,12,10,8,5,43,37,35,33,29,19,15,1,7,6,6,20,4,18,24,8,4,4,4,20,8,4,65,45,25,32,23,11,39,7,37,29,4,3,2,3,2,4,65,18,13,25,75,0,0,5,80,14,0,15,43,34,9,11,8,76,67,69,2,3,3,8,2,4,0,0,23,3,1,13,6
26,56,12,248.0,43,35,7,86,48,33,10,50,99,25,95,89,95,26,41,18,37,13,88,87,25,77,81,63,13,56,9,12,65,38,97,60,97,97,54,11,39,19,37,37,37,30,24,12,39,37,36,35,27,16,4,25,25,24,21,20,10,4,47,40,39,37,32,27,20,13,25,23,19,14,7,11,62,44,17,14,12,46,25,17,81,54,29,44,21,10,35,11,61,31,11,10,2,7,8,41,35,3,21,39,46,0,15,15,35,26,24,4,49,22,24,34,36,73,63,64,12,21,23,29,10,10,4,7,52,11,0,51,27
27,56,13,36.0,37,34,12,95,63,68,41,90,100,21,100,84,100,64,74,60,47,36,93,90,46,92,95,63,24,60,31,34,76,63,100,81,100,100,46,29,58,44,55,52,52,50,37,16,49,49,44,44,42,25,7,28,25,25,18,18,6,3,68,49,40,40,38,29,18,34,60,60,41,54,36,42,73,55,40,37,22,55,33,25,87,64,39,43,35,29,33,19,62,47,23,12,17,16,16,38,62,0,0,49,45,6,0,33,46,12,9,38,42,7,13,21,45,76,71,76,25,59,42,39,9,6,6,6,79,36,6,67,55
28,57,14,2784.0,94,93,49,94,71,63,44,86,98,18,97,75,96,50,57,41,52,31,92,91,35,82,91,36,11,30,10,21,63,56,98,71,97,97,55,15,28,14,24,22,22,18,14,12,21,19,17,16,12,7,5,17,15,15,13,12,9,8,62,48,44,42,35,22,16,27,57,52,46,57,46,46,63,39,22,16,19,40,24,15,75,45,27,34,20,16,27,11,58,29,4,3,3,3,3,68,25,6,2,66,29,3,2,38,31,23,8,42,42,13,3,30,46,83,82,85,22,41,38,26,11,11,6,5,72,25,8,63,52
29,57,11,2214.0,95,93,47,93,70,58,43,84,97,18,96,77,95,43,54,36,49,27,91,91,30,79,89,35,11,28,10,20,58,52,97,69,97,96,53,14,26,11,22,20,20,17,14,12,20,19,17,16,13,7,5,16,14,14,12,11,8,7,60,47,44,42,35,22,17,22,54,49,44,55,44,44,60,35,20,14,16,36,21,14,72,41,24,32,15,14,24,8,55,27,2,1,2,1,2,69,24,6,2,68,27,1,3,42,26,25,8,44,40,14,1,27,41,80,81,84,21,38,34,23,11,11,6,4,69,20,7,57,46
30,57,12,453.0,96,95,43,97,73,80,46,90,100,17,100,68,99,73,69,56,62,44,95,93,49,90,97,38,9,30,7,18,80,68,100,76,99,99,64,15,28,15,26,24,23,21,15,11,19,16,14,13,10,5,3,19,17,17,16,15,12,9,68,47,42,39,33,22,15,40,60,56,48,61,48,53,70,50,24,19,24,47,31,19,85,54,34,40,31,19,36,19,68,33,7,5,6,5,6,65,27,4,3,63,28,8,0,31,45,14,10,33,45,11,10,44,60,89,83,86,23,50,51,35,13,12,7,7,80,37,10,80,68
31,57,13,117.0,93,92,51,99,70,95,58,95,100,21,100,68,100,90,78,65,69,49,97,94,74,95,98,61,28,57,24,45,82,79,100,85,100,100,67,36,59,50,42,42,38,35,21,16,45,31,30,27,20,7,5,32,29,28,25,19,13,11,68,50,50,46,37,18,13,72,88,84,77,79,76,51,88,74,53,43,50,73,54,32,93,73,54,45,55,36,60,30,73,55,23,19,14,21,19,64,30,4,1,50,47,2,2,26,41,31,2,40,57,3,0,45,80,85,85,90,41,63,76,43,11,18,11,18,87,67,9,88,84
32,58,14,606.0,97,96,17,87,33,57,38,71,98,24,93,75,91,39,46,30,35,28,84,80,33,71,79,45,14,32,12,25,46,47,96,65,94,93,48,3,37,27,32,30,28,25,19,15,24,23,20,16,12,5,3,26,22,21,20,18,15,12,51,38,33,30,22,13,10,12,45,41,37,22,16,16,47,32,10,19,12,31,23,7,78,46,22,33,30,10,34,6,49,34,9,6,4,7,6,63,26,7,3,65,29,5,0,25,42,28,5,24,55,15,6,34,51,85,79,83,23,48,38,28,10,7,6,12,72,41,4,63,51
33,58,11,423.0,93,90,27,83,32,44,30,62,97,25,90,77,88,24,37,21,28,23,83,79,25,62,73,37,5,24,6,17,34,41,95,61,93,92,44,1,27,17,26,23,22,18,13,11,16,15,12,9,5,0,0,19,18,17,17,16,13,11,45,37,31,27,19,11,9,8,34,31,29,15,8,14,36,20,4,13,9,25,19,4,76,41,21,34,24,4,28,6,41,27,5,3,2,4,2,62,28,9,2,64,30,6,0,27,34,32,7,39,43,18,0,25,38,80,74,74,15,37,27,22,8,4,3,11,64,31,3,52,39
34,58,12,124.0,98,97,24,92,31,75,41,84,100,13,100,76,99,58,57,40,46,30,82,79,42,83,87,53,25,41,14,28,58,45,98,66,98,96,52,3,45,33,42,38,37,36,28,23,37,35,31,27,24,14,10,25,23,23,22,18,15,13,51,34,29,29,23,15,12,16,58,54,45,26,21,12,59,45,13,28,16,30,21,5,73,44,17,30,27,16,40,3,57,39,9,8,1,3,6,54,28,11,8,63,33,5,0,21,61,18,0,5,65,30,0,41,67,87,79,89,32,62,48,27,10,11,8,8,86,58,7,78,68
