ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,ICTPersAangenomenWillenAannemen_6,ICTVacaturesLastigTeVervullen_7,ICTCursusAanICTSpecialisten_8,ICTCursusAanOverigPersoneel_9,Internet_10,VastBreedband_11,MobielBreedband_12,MinderDan2MegabitPerSeconde_13,k_2Tot10MegabitPerSeconde_14,k_10Tot30MegabitPerSeconde_15,k_30Tot100MegabitPerSeconde_16,k_100MegabitPerSecondeOfMeer_17,SnelheidVasteVerbindingVoldoende_18,MobielInternetVerschaftAanWerknemers_19,BedrijvenMetWebsite_20,OnlineBestellenBoekenOfReserveren_21,BeschrijvingenVanProductenPrijslijst_22,BestellingOnlineVolgen_23,ProductaanpassingDoorKlant_24,KlantspecifiekeInfoVoorDeBezoeker_25,VerwijzingNaarSocialeMedia_26,SocialeMediaGebruikt_27,SocialeNetwerkenBijvFacebook_28,BlogsOfMicroblogsBijvTwitter_29,MultimediaDelenBijvYouTube_30,WikiSOmKennisTeDelen_31,MarketingProductenBedrijfsimago_32,MeningenKlantReagerenOpVragen_33,BetrekkingKlantBijProductontwikkeling_34,SamenwerkenMetZakenrelaties_35,WervenVanPersoneel_36,KennisUitwisselenBinnenHetBedrijf_37,Uitgevoerd_38,DataVanBedrijfZelf_39,DataOverGeografischeLocaties_40,DataVanSocialeMedia_41,AndereBronnen_42,MedewerkersEigenBedrijf_43,AnderBedrijf_44,ERPSoftware_45,OpslagKlantgegevens_46,AnalyseKlantgegevens_47,BedrijvenMetSCM_48,ViaWebsites_49,ViaAutomatischeVerwerking_50,PersoonsherkenningOfToegangscontrole_51,ProductieEnDienstverlening_52,ProductherkenningNaDeProductie_53,NieuweProdOntwOfSterkVerbeterd_54,Onbelangrijk_55,EnigszinsBelangrijk_56,Belangrijk_57,ZeerBelangrijk_58,NieuweProcOntwOfSterkVerbeterd_59,Onbelangrijk_60,EnigszinsBelangrijk_61,Belangrijk_62,ZeerBelangrijk_63,Antivirussoftware_64,BeleidVoorSterkeWachtwoorden_65,AuthenticatieViaSoftOfHardwareToken_66,EncryptieVoorHetOpslaanVanData_67,EncryptieVoorHetVersturenVanData_68,GegevensOpAndereFysiekeLocatie_69,NetworkAccessControl_70,VPNBijInternetgebruikBuitenHetEigen_71,LogbestandenVoorAnalyseIncidenten_72,MethodesVoorBeoordelenITCVeiligheid_73,Risicoanalyses_74,AndereMaatregelen_75,IncidentOpgetreden_76,KostenGehadAanICTIncident_77,IncidentDoorAanvalVanBuiten_78,KostenIncidentAanvalBuitenaf_79,UitvalICTDienstDoorVeiligheidsinc_80,UitvalICTDienstDoorAanvalBuitenaf_81,VernietigingDataDoorVeiligheidsinc_82,VernietigingDataAanvalVanBuitenaf_83,OnthullingGegevensDoorIctInbraak_84,OnthullingGegevensDoorInternIncident_85,UitvalICTDienstDoorVeiligheidsinc_86,UitvalICTDienstDoorAanvalBuitenaf_87,VernietigingDataDoorVeiligheidsinc_88,VernietigingDataAanvalVanBuitenaf_89,OnthullingGegevensDoorIctInbraak_90,OnthullingGegevensDoorInternIncident_91,DePolitieAangifte_92,DeAutoriteitPersoonsgegevens_93,SectoraleNatOfAndereSecurityteams_94,EenBank_95,DoorEigenPersoneel_96,DoorExterneLeveranciers_97,NietVanToepassing_98,ICTVeiligheidsdienstenVerleend_99,MeestalVolledigAutomatisch_100,MeestalDeelsHandmatig_101,NietVanToepassing_102,AndereBedrijven_103,Overheden_104,Consumenten_105,EFactuur_106,ElektronischMaarGeenEFactuur_107,InPapierenVorm_108,EFactuur_109,GeenEFactuur_110,EFacturenVerzonden_111,EFacturenOntvangen_112,VerkoopViaECommerce_113,ViaWebsiteOfAppsVanEigenBedrijf_114,ViaWebsiteOfAppsVanAndereBedrijven_115,HogeKostenBezorgenOfRetourneren_116,OplossenKlachtenEnGeschillen_117,LabelsEtikettenAanpassen_118,OnvoldoendeKennisVanAndereTalen_119,BeperkingenOpgelegdDoorZakenpartner_120,Verkoopwaarde1VanDeTotaleOmzet_121,Verkoopwaarde1VanDeTotaleOmzet_122,Verkoopwaarde2VanDeTotaleOmzet_123,Verkoopwaarde5VanDeTotaleOmzet_124,Verkoopwaarde10VanDeTotaleOmzet_125,Verkoopwaarde25VanDeTotaleOmzet_126,Verkoopwaarde50VanDeTotaleOmzet_127,VerkoopViaEenWebsiteApp_128,Verkoopwaarde1VanDeTotaleOmzet_129,Verkoopwaarde1VanDeTotaleOmzet_130,Verkoopwaarde2VanDeTotaleOmzet_131,Verkoopwaarde5VanDeTotaleOmzet_132,Verkoopwaarde10VanDeTotaleOmzet_133,Verkoopwaarde25VanDeTotaleOmzet_134,Verkoopwaarde50VanDeTotaleOmzet_135,NederlandseConsumenten_136,BuitenlandseConsumenten_137,Bedrijven_138,Overheden_139,KlantenInNederland_140,KlantenInAndereEULanden_141,KlantenInLandenBuitenDeEU_142,VerkoopViaEDI_143,Verkoopwaarde1VanDeTotaleOmzet_144,Verkoopwaarde1VanDeTotaleOmzet_145,Verkoopwaarde2VanDeTotaleOmzet_146,Verkoopwaarde5VanDeTotaleOmzet_147,Verkoopwaarde10VanDeTotaleOmzet_148,Verkoopwaarde25VanDeTotaleOmzet_149,Verkoopwaarde50VanDeTotaleOmzet_150,KlantenInNederland_151,KlantenInAndereEULanden_152,KlantenInLandenBuitenDeEU_153,InkoopViaECommerce_154,Inkoopwaarde1VanDeTotaleInkoop_155,Inkoopwaarde1VanDeTotaleInkoop_156,Inkoopwaarde2VanDeTotaleInkoop_157,Inkoopwaarde5VanDeTotaleInkoop_158,Inkoopwaarde10VanDeTotaleInkoop_159,Inkoopwaarde25VanDeTotaleInkoop_160,Inkoopwaarde50VanDeTotaleInkoop_161,InkoopViaEenWebsiteApp_162,Inkoopwaarde1VanDeTotaleInkoop_163,Inkoopwaarde1VanDeTotaleInkoop_164,Inkoopwaarde2VanDeTotaleInkoop_165,Inkoopwaarde5VanDeTotaleInkoop_166,Inkoopwaarde10VanDeTotaleInkoop_167,Inkoopwaarde25VanDeTotaleInkoop_168,Inkoopwaarde50VanDeTotaleInkoop_169,AanbiedersInNederland_170,AanbiedersInAndereEULanden_171,AanbiedersInLandenBuitenDeEU_172,InkoopViaEDI_173,Inkoopwaarde1VanDeTotaleInkoop_174,Inkoopwaarde1VanDeTotaleInkoop_175,Inkoopwaarde2VanDeTotaleInkoop_176,Inkoopwaarde5VanDeTotaleInkoop_177,Inkoopwaarde10VanDeTotaleInkoop_178,Inkoopwaarde25VanDeTotaleInkoop_179,Inkoopwaarde50VanDeTotaleInkoop_180,AanbiedersInNederland_181,AanbiedersInAndereEULanden_182,AanbiedersInLandenBuitenDeEU_183
10,300023,48,45,22,18,82,10,5,14,19,100,99,84,0,16,19,41,22,84,83,84,17,75,4,4,23,50,64,61,25,28,6,78,38,31,30,67,22,17,8,3,8,6,16,2,62,49,24,13,10,12,14,2,2,25,12,36,28,24,28,11,25,39,25,97,67,32,24,22,86,43,54,55,46,39,23,51,27,25,12,42,15,8,15,2,3,22,7,6,7,1,1,2,1,2,1,25,62,13,3,46,36,18,86,31,40,3,49,47,10,90,9,31,13,73,27,1,1,1,1,0,6,7,7,6,6,4,4,11,6,6,5,5,5,3,3,30,15,50,5,74,18,8,3,1,2,2,2,1,1,0,81,16,3,61,29,32,24,20,16,6,3,60,29,30,23,18,14,5,3,87,9,4,3,1,1,1,1,1,0,0,86,14,0
11,800036,83,81,59,37,83,21,16,26,25,100,99,85,0,17,20,32,30,89,83,93,29,81,10,9,35,59,66,64,32,29,8,86,48,41,44,79,35,32,24,22,10,14,30,13,53,46,26,15,13,14,23,5,2,28,11,18,25,43,41,2,17,27,54,94,75,43,34,32,88,58,66,68,51,51,29,53,27,29,15,43,16,11,18,5,7,21,7,7,10,1,2,5,7,3,2,36,55,9,3,49,35,17,89,60,50,8,46,46,17,83,24,45,25,83,17,0,0,0,0,0,12,13,12,9,6,5,3,23,12,11,10,6,6,4,3,59,1,36,4,99,1,0,5,1,3,3,3,2,1,1,92,8,0,53,35,18,12,10,8,4,2,53,35,18,11,9,7,4,2,97,3,1,6,2,4,3,3,1,0,0,91,9,0
12,900008,72,69,49,39,75,7,1,11,19,100,97,88,0,18,23,29,27,85,87,84,11,62,0,3,19,52,63,62,28,27,2,87,38,33,30,60,22,19,4,9,8,6,18,7,43,37,15,13,10,4,6,2,5,7,0,43,57,14,20,5,5,45,45,94,59,32,18,14,82,37,40,45,37,32,16,48,26,24,9,40,12,10,20,2,2,21,4,6,9,0,1,2,1,1,3,19,64,18,4,50,35,15,91,55,62,6,38,55,17,83,15,44,8,100,0,0,0,0,0,0,2,5,3,2,1,0,0,7,2,5,3,2,1,0,0,46,0,41,13,100,0,0,0,0,0,0,0,0,0,0,100,0,0,62,41,21,16,10,7,2,1,62,41,21,12,10,7,2,1,97,2,0,6,1,5,1,1,1,1,1,94,6,0
13,351900,69,67,48,29,71,5,4,7,13,100,98,81,0,20,18,46,14,87,79,79,18,64,3,2,21,43,56,56,18,19,2,71,27,21,43,75,25,18,9,10,5,5,14,6,44,35,13,13,10,12,8,4,2,10,10,20,50,20,20,0,20,50,25,90,58,23,17,16,76,32,43,46,31,31,13,51,26,19,9,43,11,7,12,1,2,21,5,4,4,0,0,2,1,1,1,17,63,20,3,51,27,22,90,46,62,6,46,48,19,81,18,47,12,89,11,1,1,1,1,1,4,7,5,3,2,1,1,11,4,6,4,3,2,1,1,50,1,43,5,95,4,1,1,0,1,1,0,0,0,0,33,16,51,54,24,30,26,22,18,15,9,52,26,26,23,19,15,11,7,97,3,0,10,3,7,6,6,6,4,0,93,6,0
14,354300,76,74,24,19,68,5,3,10,15,100,99,77,0,12,25,38,24,88,74,86,45,79,12,16,32,69,77,77,27,30,2,84,58,31,38,64,27,20,8,5,11,10,16,10,47,63,43,30,25,21,9,3,1,11,9,9,55,27,20,5,10,55,35,95,67,34,21,20,87,45,55,52,41,38,24,58,26,31,16,48,21,14,18,4,4,21,13,5,7,2,2,2,0,1,0,20,68,12,2,48,37,15,88,32,60,9,33,58,18,82,25,48,26,73,27,0,0,0,2,0,12,14,12,11,10,8,6,23,12,11,10,9,9,6,5,37,6,56,1,85,11,4,5,1,3,3,3,2,2,0,74,24,2,55,27,27,22,21,18,13,10,54,30,24,19,18,16,11,8,88,11,1,9,5,4,4,4,3,2,2,92,8,0
15,356900,81,76,36,34,86,11,7,19,21,100,99,87,0,13,22,37,27,90,85,89,39,81,14,5,29,56,65,62,26,31,5,85,43,29,38,66,28,22,11,8,11,8,22,5,66,59,42,24,17,22,17,4,3,25,12,24,32,32,29,3,14,45,34,96,70,34,31,27,86,53,63,66,44,44,22,57,30,28,16,49,19,8,17,4,4,23,11,5,10,3,2,2,1,1,2,36,57,7,3,51,37,12,92,31,31,8,51,41,13,87,25,34,36,91,9,4,1,1,0,1,13,23,21,18,14,10,4,30,12,17,15,11,8,5,2,19,5,73,4,81,15,3,17,5,11,11,9,7,4,1,78,19,3,52,31,21,18,14,13,8,5,49,31,18,14,11,9,6,3,86,11,3,7,2,4,4,4,3,2,2,63,23,14
16,371600,51,43,10,10,64,12,8,9,11,100,98,65,0,15,23,36,24,89,60,83,63,71,33,12,41,60,72,72,28,30,8,90,68,42,32,69,29,27,14,5,18,13,24,12,38,41,29,26,21,22,11,6,3,16,6,13,19,56,26,0,8,38,54,91,58,29,29,29,77,42,43,49,33,34,19,48,19,17,8,40,11,7,10,3,5,14,6,1,4,2,2,2,2,0,1,28,51,21,2,53,27,20,79,26,68,9,40,52,21,79,16,49,53,90,11,10,4,4,4,5,19,33,28,23,20,15,12,50,20,30,25,21,18,13,11,74,10,16,1,89,9,2,7,3,4,3,2,2,1,1,87,13,0,58,30,28,25,20,17,13,9,55,32,24,19,14,11,8,5,91,7,2,12,3,8,7,7,6,6,4,88,11,1
17,383100,63,57,32,27,74,10,5,15,12,100,99,82,0,15,19,42,23,87,79,80,26,72,14,6,24,38,55,52,16,21,6,78,31,29,36,71,27,31,18,21,7,11,27,11,42,32,18,31,21,23,26,10,3,19,5,11,47,37,31,3,13,45,42,94,70,35,27,24,78,41,50,52,39,42,22,48,26,22,10,41,11,9,15,2,3,22,5,5,8,1,2,2,1,2,3,27,59,15,4,54,29,17,93,22,29,10,51,39,16,84,21,42,28,81,19,1,1,0,1,0,8,19,17,15,13,10,6,17,7,10,8,6,5,4,2,32,4,61,4,88,10,2,14,3,11,11,11,10,6,3,69,24,6,52,26,26,20,15,12,6,3,48,27,21,16,11,9,4,2,95,4,1,8,2,6,6,5,4,1,1,62,35,3
18,389200,51,46,12,9,65,1,1,3,8,100,98,60,0,6,15,46,32,87,60,91,81,89,28,32,48,79,84,84,47,36,2,96,81,43,52,85,25,23,6,4,20,7,20,6,23,39,33,18,17,6,24,3,1,12,0,25,33,42,20,0,20,25,60,90,65,19,29,27,75,35,43,47,25,28,14,43,20,15,8,38,12,8,12,6,6,15,7,3,4,0,0,2,0,0,0,21,62,17,1,58,26,17,74,48,78,3,45,52,20,80,15,53,67,50,50,2,2,2,2,2,12,56,55,51,45,27,15,67,12,56,55,51,44,27,12,51,24,19,6,67,24,9,6,3,3,3,3,3,3,0,76,19,5,66,15,52,46,39,29,19,12,65,15,50,43,39,29,18,12,96,3,1,8,4,4,3,1,1,0,0,98,2,0
19,390500,47,41,14,13,47,1,1,0,1,100,96,58,0,19,23,40,14,87,51,83,57,78,8,6,34,60,75,75,22,20,3,91,76,36,27,75,21,8,2,2,5,2,3,6,10,10,8,3,3,1,6,0,0,8,13,38,25,25,8,13,0,63,25,84,47,13,13,8,57,23,20,14,10,11,3,31,13,7,3,29,6,3,3,1,1,12,2,1,2,0,1,0,0,0,0,14,44,42,0,38,23,39,80,41,65,5,43,52,20,80,15,50,20,75,25,0,0,0,0,0,9,11,10,9,8,6,5,19,8,11,10,9,8,6,5,69,6,20,5,95,5,0,1,1,0,0,0,0,0,0,99,1,0,52,19,33,29,25,21,16,11,51,19,32,28,24,20,14,10,98,2,0,4,0,4,3,2,2,1,1,100,0,0
20,391705,94,93,39,46,89,17,7,28,21,100,100,81,0,3,8,32,58,90,80,91,52,82,20,10,39,79,90,86,60,61,18,90,66,47,50,80,39,40,14,7,29,22,39,12,50,62,49,15,12,13,27,3,2,37,0,5,41,54,41,2,12,39,49,91,76,41,40,37,86,56,67,73,50,50,29,62,32,27,19,57,19,13,17,3,5,24,13,6,10,2,2,5,3,0,2,50,44,6,3,53,37,10,92,42,51,6,54,41,15,85,14,43,41,78,22,3,1,3,0,1,15,25,24,23,19,12,4,39,14,25,24,22,18,11,4,55,6,32,7,87,10,3,7,4,4,2,2,1,1,1,87,10,3,72,28,44,37,26,16,10,4,72,28,44,37,26,16,10,4,89,6,5,3,2,1,1,0,0,0,0,95,3,2
21,394100,96,96,57,50,98,56,34,61,47,100,96,95,0,0,6,22,68,90,92,92,48,88,26,27,50,79,82,82,55,49,23,84,46,50,52,80,48,40,22,19,14,21,40,2,61,73,53,34,32,23,33,4,4,51,6,4,20,73,47,2,11,23,64,94,90,60,58,60,95,78,90,86,71,65,44,48,26,25,16,42,22,10,10,4,9,19,14,3,3,0,0,10,6,3,2,70,24,6,18,53,39,8,92,53,36,11,69,20,11,89,22,40,40,92,8,2,0,0,2,2,16,24,24,15,12,9,9,40,17,23,23,14,12,9,9,34,2,61,3,95,4,1,2,1,1,1,0,0,0,0,98,2,0,75,30,45,42,26,24,18,5,74,32,42,39,22,20,12,2,85,11,3,15,8,7,7,7,7,5,2,92,3,5
22,395005,99,99,65,67,92,64,49,61,44,100,98,86,0,3,8,35,52,92,84,85,26,78,10,11,29,72,83,80,56,48,33,90,48,45,59,89,54,41,24,14,24,23,40,8,56,68,48,22,19,17,25,4,2,62,2,3,21,76,56,2,7,30,61,92,83,56,62,59,86,63,80,75,57,59,45,46,17,19,8,37,14,8,7,3,5,14,5,4,3,2,1,2,3,2,1,73,17,10,31,57,32,11,94,47,23,10,66,24,14,86,19,39,17,92,8,1,1,0,0,0,7,10,8,7,6,5,3,16,7,10,8,7,5,4,3,19,3,74,4,82,11,7,2,1,1,1,1,1,0,0,77,8,16,66,16,50,45,36,28,16,10,65,16,49,44,35,27,15,9,83,10,7,2,1,1,1,1,1,1,1,66,30,4
23,900016,94,93,71,40,82,21,13,44,34,100,97,81,0,9,21,33,34,92,81,92,20,62,10,9,32,53,60,56,39,36,14,85,38,20,47,72,33,26,15,5,10,11,26,1,49,57,36,19,17,18,46,1,0,28,0,0,18,82,47,0,6,45,49,94,86,63,57,62,87,61,67,83,72,71,40,46,22,21,10,36,16,6,11,0,3,15,8,5,5,0,2,2,3,4,1,53,40,7,1,64,28,8,86,36,29,3,45,51,12,88,17,35,14,54,52,1,0,0,0,0,9,5,4,4,3,3,0,11,6,5,4,4,3,3,0,22,12,61,5,58,23,19,8,8,0,0,0,0,0,0,34,37,30,55,20,35,16,8,4,1,1,52,17,35,16,8,4,1,1,87,9,4,4,4,0,0,0,0,0,0,33,34,34
24,900027,97,97,35,44,99,40,35,55,36,100,98,94,0,3,11,36,48,89,93,97,61,94,29,46,52,78,77,76,50,39,14,99,71,43,53,82,42,52,25,7,21,41,50,24,46,80,66,54,45,44,51,0,1,58,3,5,22,71,65,0,3,18,78,99,97,77,68,73,96,80,88,91,78,88,52,64,43,30,23,51,24,5,17,1,26,36,18,3,4,0,9,8,28,7,0,59,40,1,0,67,31,3,79,23,77,12,31,57,15,85,21,48,40,85,16,0,0,0,2,0,19,22,20,10,7,4,4,38,16,22,20,10,6,4,4,78,2,19,1,97,1,2,11,7,4,4,1,0,0,0,98,1,1,72,50,22,14,11,10,3,1,72,50,22,14,11,10,3,1,87,7,6,6,4,2,2,2,0,0,0,89,7,4
25,900021,99,99,35,34,87,28,14,26,21,100,100,85,0,4,13,36,47,93,79,83,31,71,15,9,34,55,71,67,40,29,16,82,56,39,35,80,41,31,20,6,16,17,29,6,43,64,47,36,33,22,29,1,4,29,3,28,28,41,43,0,7,42,51,97,93,69,53,56,86,72,79,75,74,76,47,52,27,34,19,47,21,13,18,12,4,21,9,2,11,10,0,3,2,1,3,39,49,11,3,49,34,17,60,15,40,3,43,54,20,80,8,42,16,86,14,1,1,1,1,1,10,6,4,4,4,4,4,15,10,4,3,3,3,3,3,38,10,50,2,85,13,3,4,3,1,1,1,1,1,1,63,28,8,50,16,34,24,16,13,8,6,50,16,34,24,16,13,8,6,91,7,3,0,0,0,0,0,0,0,0,0,0,0
26,402100,97,96,58,45,90,10,3,28,36,100,100,87,0,6,12,42,41,97,86,85,32,73,9,14,45,70,78,74,44,35,8,77,65,31,36,69,29,21,9,6,12,7,18,7,58,60,26,35,29,20,28,4,2,17,0,24,35,41,26,0,15,35,54,98,82,49,27,33,88,55,76,78,55,57,35,53,26,22,11,44,13,5,10,0,3,19,6,1,5,0,1,4,7,2,4,23,70,6,4,48,42,10,80,46,72,5,40,55,15,85,12,43,10,61,39,2,2,2,2,2,5,4,4,4,4,0,0,9,5,3,3,3,3,0,0,64,7,27,2,93,4,3,2,2,1,1,1,1,0,0,100,0,0,63,38,25,23,18,11,7,6,61,38,24,22,16,9,6,5,98,2,0,3,1,2,2,2,2,2,2,100,0,0
27,900009,95,94,57,55,90,14,8,20,25,100,98,81,0,4,14,43,37,92,79,88,17,78,5,4,28,62,72,70,43,29,9,82,39,26,44,79,38,24,10,7,13,13,23,7,46,59,32,17,13,14,17,2,2,24,4,8,29,58,31,3,6,35,55,95,80,50,37,36,88,54,66,68,51,50,32,53,28,23,13,44,15,6,14,2,7,22,9,4,6,1,1,2,3,1,1,23,69,7,4,55,32,13,92,39,51,8,48,44,14,86,18,45,13,92,8,1,0,0,0,0,7,6,6,4,4,2,1,11,5,5,5,4,3,2,1,42,2,48,7,93,6,2,3,2,1,1,1,1,1,1,81,9,10,62,25,37,30,18,14,7,3,61,25,36,29,18,13,6,3,93,4,3,4,2,2,2,2,1,1,0,86,9,5
28,405900,97,96,51,47,94,15,7,24,23,100,99,87,0,6,14,36,43,93,84,93,15,82,5,4,23,68,77,72,42,38,10,81,22,22,44,88,38,24,14,8,7,13,22,6,50,51,27,17,12,12,16,1,1,33,6,18,30,45,33,3,6,58,33,98,75,31,31,32,94,62,74,71,43,48,28,63,37,28,14,49,17,14,16,4,5,28,9,8,8,2,1,3,0,0,2,36,58,5,2,62,30,7,98,56,38,5,58,37,12,88,13,38,8,89,11,0,0,0,0,0,5,2,2,2,2,1,0,7,5,2,2,2,2,0,0,10,3,83,4,65,24,10,1,1,0,0,0,0,0,0,95,2,3,70,31,39,32,23,15,10,6,70,31,39,31,23,15,10,5,87,8,5,3,1,2,1,1,1,0,0,91,4,4
29,406800,92,91,45,51,90,23,13,33,31,100,99,83,0,3,12,43,42,92,80,88,22,68,5,4,23,63,73,71,46,39,12,77,34,30,47,84,32,38,23,11,16,17,38,7,46,50,29,11,10,9,32,5,4,40,13,23,28,38,39,5,13,44,38,92,83,43,41,43,90,54,71,66,47,56,36,56,29,23,14,49,20,12,15,2,6,24,10,5,9,0,3,7,3,5,4,43,45,12,3,56,28,16,90,38,17,10,54,36,14,86,20,44,16,97,3,1,1,1,2,2,7,9,7,7,5,4,3,14,7,7,5,5,2,2,1,15,2,76,7,61,24,15,5,2,3,3,3,3,1,1,54,23,22,67,26,42,27,20,15,10,7,67,26,42,27,18,13,8,4,79,13,8,5,2,3,3,3,2,2,2,78,8,15
30,408100,91,90,41,45,91,14,10,17,17,100,100,85,0,7,9,40,44,88,85,85,21,75,8,9,28,74,85,84,52,51,12,86,40,39,59,76,44,41,13,12,33,22,37,16,51,52,28,13,10,9,15,3,2,33,9,0,45,45,40,0,10,53,38,95,74,46,40,40,89,57,65,68,43,46,31,45,17,15,7,43,9,9,10,4,5,14,4,3,4,2,2,1,1,0,1,32,57,11,5,52,37,12,93,39,22,9,61,30,17,83,17,43,18,82,18,0,0,0,0,0,6,12,11,7,7,5,4,16,6,11,10,6,5,4,2,15,2,81,3,89,6,6,5,2,2,2,2,2,2,1,85,13,1,71,21,50,39,22,12,6,1,71,21,50,39,21,12,6,1,88,7,5,0,0,0,0,0,0,0,0,100,0,0
31,800023,88,87,32,37,88,11,6,16,16,100,99,79,0,14,17,43,26,91,76,90,35,81,9,6,34,70,77,77,35,32,9,87,45,29,32,64,29,28,12,7,19,14,27,9,42,48,25,20,17,12,10,1,0,22,5,14,32,50,26,0,15,27,54,91,65,32,24,26,86,44,57,50,35,26,19,57,26,14,9,52,9,11,10,2,4,23,5,5,5,1,2,2,0,0,3,29,57,14,2,54,29,17,83,32,56,4,47,49,14,86,13,41,24,87,13,2,1,2,1,1,9,14,11,9,8,6,4,23,10,14,10,8,5,5,3,41,6,49,3,85,11,4,5,2,3,3,3,3,1,0,63,23,14,69,24,45,39,34,27,23,17,69,24,45,39,33,27,22,17,89,8,3,4,4,1,1,1,1,1,0,100,0,0
32,410300,81,78,44,36,79,20,11,16,17,100,99,77,0,13,17,41,27,90,75,88,38,81,8,16,19,55,74,74,32,33,7,85,50,32,36,72,43,30,19,12,17,12,27,11,47,49,31,22,18,16,16,3,5,25,16,28,28,32,33,6,21,33,39,92,70,36,27,29,84,42,57,56,43,42,28,58,29,24,11,51,11,10,19,4,3,28,5,7,8,0,0,3,0,2,0,26,60,13,1,44,41,16,95,50,48,10,50,40,16,84,19,34,22,97,3,2,2,0,1,0,7,13,10,10,8,5,3,19,6,13,10,10,8,4,3,50,10,34,6,90,9,1,2,2,1,1,1,1,0,0,58,33,10,54,28,26,24,16,8,6,2,54,28,26,24,16,8,4,2,92,6,2,5,3,2,2,2,2,0,0,77,16,7
33,412700,89,88,54,52,75,6,4,7,11,100,97,81,0,14,22,42,18,88,77,78,18,66,4,4,27,54,65,64,26,18,5,82,35,29,46,89,32,20,8,6,14,7,17,6,33,47,25,13,12,7,8,2,1,13,8,15,31,46,23,4,13,39,43,88,64,26,23,24,77,42,39,44,33,30,21,42,17,15,8,36,10,6,8,3,2,13,5,3,5,2,1,1,1,0,2,17,63,20,3,51,26,23,89,29,20,9,59,32,14,86,16,38,11,91,9,0,0,0,0,0,4,6,5,4,4,2,2,9,3,5,5,4,3,2,2,23,2,68,8,97,2,1,2,1,1,1,1,0,0,0,92,6,2,46,19,28,24,18,14,6,3,46,18,27,24,18,14,6,3,97,2,0,2,1,0,0,0,0,0,0,99,1,0
34,413700,97,97,32,36,75,20,13,23,16,100,100,74,0,11,12,36,41,88,71,93,74,89,31,38,49,82,88,88,59,52,17,94,83,42,51,69,45,40,14,10,38,19,39,18,32,48,40,29,26,20,16,3,1,23,0,0,30,70,30,0,0,33,70,94,80,39,42,39,89,56,58,61,48,47,24,51,22,33,12,40,25,8,13,4,6,16,9,4,4,0,4,5,5,4,6,41,53,6,1,57,29,14,83,23,76,10,46,44,16,84,15,47,56,92,8,2,1,0,0,1,18,37,37,29,21,13,11,56,18,37,37,29,20,13,11,73,8,18,1,83,15,2,1,0,1,1,0,0,0,0,80,12,9,65,35,30,30,24,24,23,23,65,37,28,27,22,22,21,20,89,8,4,3,0,3,3,3,3,2,2,80,17,4
35,800010,39,36,16,15,74,7,4,10,13,100,98,84,0,15,21,41,21,87,81,82,22,73,4,6,24,50,63,62,25,20,7,81,25,32,38,75,25,21,10,11,8,6,19,5,34,37,18,10,8,8,11,4,2,15,7,13,40,40,25,0,12,56,32,93,69,30,22,21,79,45,43,45,36,32,15,46,25,20,14,40,15,8,11,2,5,18,11,4,8,0,3,3,1,0,2,21,62,17,4,49,29,22,93,44,49,7,51,42,14,86,17,41,15,88,12,1,1,0,0,0,6,10,7,3,2,1,1,15,6,9,6,2,1,0,0,30,3,57,10,95,4,1,2,1,1,1,1,1,1,1,97,3,0,53,17,36,31,21,13,7,3,52,17,35,31,21,13,7,3,96,2,2,2,1,0,0,0,0,0,0,89,7,4
36,422500,91,84,21,29,92,13,6,14,21,100,98,70,0,8,17,42,31,90,68,87,24,81,3,4,50,54,64,62,26,24,5,84,50,36,44,69,39,23,9,3,7,15,19,10,31,34,12,23,16,20,18,2,2,24,0,17,46,33,31,0,13,52,39,96,85,53,43,60,92,62,55,62,45,57,35,54,19,17,9,49,10,6,11,2,9,16,5,3,5,0,1,4,9,3,2,24,69,7,2,44,43,13,77,31,68,31,23,46,18,82,45,48,14,80,20,0,0,0,0,0,6,8,7,7,4,3,3,10,5,5,5,4,2,1,1,56,0,21,23,100,0,0,6,4,2,2,2,2,2,2,99,0,0,65,25,41,38,31,24,14,10,64,24,40,37,29,24,14,10,98,2,1,5,2,3,3,1,1,0,0,100,0,0
37,425305,77,74,34,33,87,10,4,17,26,100,100,77,0,10,22,42,26,90,73,94,31,86,3,5,46,63,78,74,40,32,6,78,45,32,32,79,32,12,5,2,6,5,10,6,32,44,10,18,12,14,14,3,0,17,6,24,41,29,31,3,10,52,35,96,72,40,26,31,88,45,50,52,35,42,22,59,24,20,8,50,13,7,12,3,8,21,5,3,4,0,1,3,7,1,1,19,69,12,2,58,30,12,63,47,80,14,31,55,23,77,28,57,10,92,8,0,0,0,0,0,7,2,2,2,1,1,1,8,7,1,1,1,1,1,0,63,11,9,16,92,2,6,2,1,1,1,1,0,0,0,100,0,0,74,27,47,38,30,21,11,7,73,27,46,37,29,21,11,7,98,2,0,5,3,3,2,2,1,1,0,99,1,0
