ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,Telewerkers_3,TelewerkKomtVoor_4,ICTPersAangenomenWillenAannemen_5,ICTVacaturesLastigTeVullen_6,ICTSpecialistenInLoondienst_7,AandeelICTSpecialisten_8,ICTSpecOntwEnOnderhoudSoftware_9,InternetVast_10,MinderDan2MbitS_11,k_2Tot10MbitS_12,k_10Tot30MbitS_13,k_30Tot100MbitS_14,k_100MbitSOfMeer_15,VoiceOfVideoAppsGebruikt_16,MobielInternetVerstrekt_17,PersoneelDatWerktMetMobielInternet_18,BedrijvenMetWebsite_19,BeschrijvingenVanProductenPrijslijst_20,OnlineBestellenBoekenOfReserveren_21,ProductaanpassingDoorKlant_22,BestellingOnlineVolgen_23,KlantspecifiekeInfoVoorDeBezoeker_24,VerwijzingNaarSocialeMedia_25,GegevensBezoekersOpWebsiteGebruikt_26,SocialeMediaGebruikt_27,SocialeNetwerkenBijvFacebook_28,BlogsOfMicroblogsBijvTwitter_29,MultimediaDelenBijvYouTube_30,WikiSOmKennisTeDelen_31,MarketingProductenBedrijfsimago_32,MeningenKlantReagerenOpVragen_33,BetrekkingKlantBijProductontwikkeling_34,SamenwerkenMetZakenrelaties_35,WervenVanPersoneel_36,KennisUitwisselingBinnenHetBedrijf_37,ERPSoftware_38,OpslagKlantgegevens_39,AnalyseKlantgegevens_40,NietGedigitaliseerd_41,NauwelijksGedigitaliseerd_42,GemiddeldGedigitaliseerd_43,VeelGedigitaliseerd_44,BijnaVolledigGedigitaliseerd_45,AntiVirussoftware_46,BeleidVoorSterkeWachtwoorden_47,UpdatenSoftwareBesturingssysteem_48,AuthenticatieViaSoftOfHardwaretoken_49,EncryptieVanData_50,GegevensOpAndereFysiekeLocatie_51,NetworkAccessControl_52,VPNInternetgebruikBuitenHetBedrijf_53,LogbestandenVoorAnalyseIncidenten_54,MethodesVoorBeoordelenICTVeiligheid_55,Risicoanalyses_56,VrijwilligeTraining_57,VerplichteTraining_58,MetContract_59,ExterneLeverancier_60,EigenPersoneel_61,EigenPersoneelEnExterneLeverancier_62,ICTVeiligheidsdocumentenAanwezig_63,BeheerToegangsrechten_64,OmgangData_65,PreventieVanVeiligheidsincidenten_66,RegelsVoorPersoneel_67,OpleidenPersoneel_68,MinderDan12MaandenGeleden_69,TussenDe12En24MaandenGeleden_70,MeerDan24MaandenGeleden_71,IncidentDoorInterneOorzaak_72,IncidentDoorAanvalVanBuiten_73,UitvalICTDienstDoorVeiligheidsinc_74,VernietigingDataDoorVeiligheidsinc_75,OnthullingDoorInternIncident_76,UitvalICTDienstDoorAanvalBuitenaf_77,VernietigingDataAanvalVanBuitenaf_78,OnthullingGegevensDoorICTInbraak_79,KostenIncidentAanvalBuitenaf_80,KostenIncidentIntern_81,UitvalICTDienstDoorVeiligheidsinc_82,VernietigingDataDoorVeiligheidsinc_83,OnthullingDoorInternIncident_84,UitvalICTDienstDoorAanvalBuitenaf_85,VernietigingDataAanvalBuitenaf_86,OnthullingDoorICTInbraak_87,VerzekeringICTVeiligheidsincidenten_88,GezochtNaarMeldingenCyberdreigingen_89,BekendMetDTC_90,DTCWebsiteAlsBronGebruikt_91,AndereBedrijven_92,Overheid_93,Consumenten_94,EFactuur_95,ElektronischMaarGeenEFactuur_96,PapierenVorm_97,EFactuur_98,AndersElektronischOfPapier_99,EFacturenVerzonden_100,EFacturenOntvangen_101,VerkoopViaECommerce_102,ViaWebsiteOfAppsVanEigenBedrijf_103,PercentageOmzetViaOnlinePlatforms_104,Verkoopwaarde1VanDeTotaleOmzet_105,Verkoopwaarde1VanDeTotaleOmzet_106,Verkoopwaarde2VanDeTotaleOmzet_107,Verkoopwaarde5VanDeTotaleOmzet_108,Verkoopwaarde10VanDeTotaleOmzet_109,Verkoopwaarde25VanDeTotaleOmzet_110,Verkoopwaarde50VanDeTotaleOmzet_111,VerkoopViaWebsiteOfApp_112,Verkoopwaarde1VanDeTotaleOmzet_113,Verkoopwaarde1VanDeTotaleOmzet_114,Verkoopwaarde2VanDeTotaleOmzet_115,Verkoopwaarde5VanDeTotaleOmzet_116,Verkoopwaarde10VanDeTotaleOmzet_117,Verkoopwaarde25VanDeTotaleOmzet_118,Verkoopwaarde50VanDeTotaleOmzet_119,NederlandseConsumenten_120,BuitenlandseConsumenten_121,Bedrijven_122,Overheden_123,KlantenInNederland_124,KlantenInAndereEULanden_125,KlantenInLandenBuitenDeEU_126,HogeKostenBezorgenRetournerenEU_127,ProbleemOplossenKlachtenEnGeschillen_128,LabelsEtikettenAanpassen_129,OnvoldoendeKennisVanAndereTalen_130,BeperkingenOpgelegdDoorZakenpartners_131,LageKosten_132,Gemak_133,GrotereMarkt_134,BereikenInternationaleMarkt_135,MartkaandeelBehoudenVergroten_136,PlatformDomineertDeMarkt_137,FeedbackReviewsRatings_138,Anders_139,NegatiefOmzetDaalt_140,NeutraalOmzetBlijftGelijk_141,PositiefOmzetStijgt_142,NietBekendMetPlatformsBinnenBranche_143,NegatiefOmzetDaalt_144,NeutraalOmzetBlijftGelijk_145,PositiefOmzetStijgt_146,NietBekendMetPlatformsBinnenBranche_147,VerkoopViaEDI_148,Verkoopwaarde1VanDeTotaleOmzet_149,Verkoopwaarde1VanDeTotaleOmzet_150,Verkoopwaarde2VanDeTotaleOmzet_151,Verkoopwaarde5VanDeTotaleOmzet_152,Verkoopwaarde10VanDeTotaleOmzet_153,Verkoopwaarde25VanDeTotaleOmzet_154,Verkoopwaarde50VanDeTotaleOmzet_155,KlantenInNederland_156,KlantenInAndereEULanden_157,KlantenInLandenBuitenDeEU_158,InkoopViaECommerce_159,Inkoopwaarde1VanDeTotaleInkoop_160,Inkoopwaarde1VanDeTotaleInkoop_161,Inkoopwaarde2VanDeTotaleInkoop_162,Inkoopwaarde5VanDeTotaleInkoop_163,Inkoopwaarde10VanDeTotaleInkoop_164,Inkoopwaarde25VanDeTotaleInkoop_165,Inkoopwaarde50VanDeTotaleInkoop_166,InkoopViaWebsiteOfApp_167,Inkoopwaarde1VanDeTotaleInkoop_168,Inkoopwaarde1VanDeTotaleInkoop_169,Inkoopwaarde2VanDeTotaleInkoop_170,Inkoopwaarde5VanDeTotaleInkoop_171,Inkoopwaarde10VanDeTotaleInkoop_172,Inkoopwaarde25VanDeTotaleInkoop_173,Inkoopwaarde50VanDeTotaleInkoop_174,AanbiedersInNederland_175,AanbiedersInAndereEULanden_176,AanbiedersInLandenBuitenDeEU_177,InkoopViaEDI_178,Inkoopwaarde1VanDeTotaleInkoop_179,Inkoopwaarde1VanDeTotaleInkoop_180,Inkoopwaarde2VanDeTotaleInkoop_181,Inkoopwaarde5VanDeTotaleInkoop_182,Inkoopwaarde10VanDeTotaleInkoop_183,Inkoopwaarde25VanDeTotaleInkoop_184,Inkoopwaarde50VanDeTotaleInkoop_185,AanbiedersInNederland_186,AanbiedersInAndereEULanden_187,AanbiedersInAndereLandenBuitenEU_188
10,WP19090,403300,94,93,48,94,11,7,28,4,2,97,0,4,10,37,47,61,69,36,95,81,15,3,2,20,64,26,81,79,34,32,7,81,28,29,44,84,37,41,68,26,3,5,29,36,27,97,83,96,61,55,93,56,70,71,56,57,49,18,55,46,19,35,55,52,53,42,39,28,43,10,3,50,9,47,7,7,6,3,2,4,22,21,3,1,3,0,1,37,15,12,5,96,49,48,13,69,18,18,82,24,48,13,84,16,4,8,8,6,5,4,3,11,2,7,6,5,5,3,2,28,4,59,9,82,14,4,1,0,0,0,0,53,68,77,49,70,37,37,5,0,4,4,2,3,37,12,49,3,1,2,2,1,1,1,1,95,4,1,75,23,52,42,30,22,14,10,74,23,51,41,29,21,14,9,68,4,2,3,1,2,2,2,1,1,0,93,6,2
11,WP19090,410200,69,67,27,75,6,4,13,2,1,95,0,12,17,42,24,46,57,24,83,72,25,7,6,21,51,23,67,66,20,22,2,79,39,27,44,86,25,25,46,17,10,16,34,23,17,94,74,87,49,42,80,48,45,52,47,45,27,15,38,48,31,21,32,31,31,25,23,17,26,5,1,34,8,33,3,2,6,3,1,4,10,10,1,0,2,2,0,22,8,10,4,94,41,45,14,73,13,18,82,24,46,16,91,9,3,13,11,10,7,5,4,15,2,11,10,9,6,5,3,31,5,59,5,91,7,2,1,0,0,0,0,59,58,94,31,69,38,37,23,2,5,5,4,3,35,13,49,2,0,2,1,1,1,1,1,99,1,0,61,22,39,34,25,20,13,10,61,23,38,33,24,19,12,10,58,2,1,2,1,1,1,1,1,1,1,98,2,0
12,WP19090,422400,85,83,32,82,2,1,12,2,2,99,0,9,12,53,25,32,45,18,97,89,29,4,2,44,53,14,69,65,17,14,2,71,36,22,23,77,23,20,43,6,7,9,31,28,26,97,79,95,58,66,89,50,56,64,46,54,40,19,48,52,18,29,53,50,51,37,37,26,41,11,1,43,7,40,5,7,4,2,2,3,19,17,2,2,1,2,1,29,12,11,6,70,38,84,33,40,27,24,76,34,60,13,86,14,3,9,9,7,5,4,4,9,0,7,7,5,4,3,3,75,0,19,6,100,0,0,0,0,0,0,0,77,84,61,23,54,30,39,23,0,3,2,5,0,27,5,68,4,1,3,3,2,2,1,1,100,0,0,77,21,56,50,39,34,20,14,77,21,56,49,38,34,20,13,76,1,0,4,1,3,3,3,3,2,0,99,1,0
13,WP19090,300006,65,61,19,67,5,4,14,2,1,97,0,12,20,38,27,40,51,19,90,81,50,7,15,27,56,23,73,72,18,24,3,84,52,31,29,74,24,37,46,22,14,15,39,21,11,95,71,89,43,37,81,47,47,54,44,42,25,13,33,45,28,27,31,28,29,24,23,17,22,8,1,38,11,37,5,2,9,4,1,6,16,15,2,0,4,2,0,23,8,10,3,90,35,57,13,61,26,20,80,25,46,37,81,19,8,29,27,24,20,16,11,33,5,25,23,19,16,12,9,51,9,38,2,83,14,3,7,3,3,2,2,40,71,91,55,74,61,39,18,3,13,11,6,6,41,20,34,9,2,7,6,6,5,4,2,80,17,3,64,24,40,34,27,24,18,13,63,26,37,31,25,21,15,11,57,5,1,7,1,6,6,5,5,4,2,84,12,4
14,WP19090,300010,83,82,39,86,9,6,22,3,2,96,0,7,13,39,38,55,65,31,90,78,19,5,4,21,59,25,75,74,29,28,5,80,32,28,44,85,33,35,59,23,6,9,31,31,23,96,80,92,56,50,88,53,60,63,52,52,40,17,48,46,24,29,46,44,44,35,33,24,36,8,2,44,9,42,6,5,6,3,2,4,17,16,2,1,3,1,0,31,12,11,5,95,46,47,14,71,16,18,82,24,47,14,87,13,4,10,9,8,6,4,3,12,2,9,8,7,5,4,3,29,5,59,7,86,11,3,1,0,0,0,0,56,63,86,40,69,37,37,14,1,4,4,3,3,36,13,49,3,1,2,1,1,1,1,1,97,3,1,69,23,47,39,28,21,13,10,69,23,46,38,27,21,13,10,64,3,2,3,1,2,2,2,1,1,0,94,5,1
15,WP19090,332915,98,97,58,96,50,42,70,31,13,99,0,3,4,34,58,80,76,45,96,87,25,8,9,21,74,38,89,86,48,44,23,89,35,34,51,88,40,59,78,42,2,5,25,33,35,96,90,97,67,76,95,67,79,82,62,70,61,29,66,15,46,40,67,65,66,55,63,47,53,12,2,39,12,35,6,6,9,3,2,5,14,13,3,2,4,2,1,47,24,21,6,97,50,27,16,77,8,16,84,28,48,22,85,15,4,18,17,14,13,9,7,19,3,14,13,11,9,6,5,14,12,71,4,71,19,10,2,1,0,1,0,49,91,86,79,82,74,49,18,0,7,8,4,1,37,21,41,7,1,6,5,4,3,3,2,65,30,4,76,12,64,59,50,39,24,15,76,13,64,59,49,38,23,14,61,10,5,5,1,4,4,3,3,1,1,69,10,21
16,WP19097,399907,75,71,29,93,21,13,50,3,1,98,0,5,11,36,47,59,81,31,95,83,34,10,12,29,69,34,82,81,32,41,8,84,43,31,40,92,35,71,69,36,3,6,39,33,19,98,86,97,62,62,93,63,77,82,67,64,53,27,55,34,21,45,63,61,60,51,51,39,46,14,3,54,13,51,7,8,9,6,3,6,24,23,3,1,4,3,1,28,22,18,7,95,47,48,16,64,20,21,79,34,52,32,82,18,7,25,23,20,17,13,9,23,5,16,14,12,10,7,5,35,6,55,4,83,13,4,2,1,1,1,1,57,75,86,54,80,61,43,15,1,9,9,4,3,37,16,44,15,3,12,11,10,9,6,4,74,22,3,71,35,36,30,24,20,15,10,70,36,33,27,21,17,12,7,64,5,1,8,2,6,6,6,5,4,2,78,17,6
17,WP19097,307500,63,57,18,95,17,10,52,1,1,99,0,6,10,37,46,62,84,21,95,82,19,8,6,17,63,26,76,73,23,40,7,82,28,29,34,88,26,89,67,37,2,7,47,34,11,98,85,97,54,57,91,63,84,87,68,63,49,24,50,32,23,45,60,58,55,48,48,36,41,15,4,56,12,54,9,3,7,6,3,7,27,26,3,1,3,3,1,23,22,13,5,96,31,26,15,64,21,18,82,33,43,32,86,14,7,25,21,18,15,11,8,17,6,9,7,5,5,3,3,21,3,73,4,82,12,7,1,1,1,0,1,62,86,79,36,79,45,38,24,0,9,4,4,1,41,10,48,19,3,16,14,13,10,7,5,68,29,3,69,40,29,23,19,15,12,8,67,41,27,21,16,13,9,6,59,6,2,7,2,5,4,4,4,3,2,64,26,10
18,WP19097,800036,68,67,34,100,40,24,51,2,1,100,0,7,15,37,42,57,93,41,97,84,38,12,9,41,77,35,88,81,41,61,15,76,58,46,49,83,56,82,72,42,6,14,47,20,12,100,95,100,81,70,97,78,90,95,82,75,62,46,60,38,10,51,72,69,68,46,61,48,51,14,6,65,14,61,13,15,12,7,5,8,26,26,5,2,6,4,2,34,17,23,9,96,81,56,15,62,23,18,82,37,53,31,73,27,12,20,16,13,13,8,7,30,8,18,15,12,12,8,7,57,0,36,7,96,4,0,0,0,0,0,0,91,100,100,35,91,83,83,17,2,12,11,6,2,37,15,45,2,0,2,2,2,2,0,0,100,0,0,66,37,29,21,19,15,8,5,65,38,27,19,17,13,8,5,61,4,1,5,3,2,2,2,2,0,0,99,1,0
19,WP19097,350000,78,76,34,100,12,5,34,1,0,100,0,2,11,32,55,55,94,48,100,78,10,4,2,21,72,27,92,89,30,41,4,86,28,23,42,90,32,85,68,20,2,4,41,36,17,100,88,100,59,49,97,60,76,83,66,57,37,18,51,48,11,40,55,51,47,41,42,22,38,12,5,56,9,54,8,3,6,4,0,5,28,28,5,1,3,2,0,13,11,18,6,99,76,83,14,64,22,23,77,37,55,8,79,21,3,5,5,5,3,2,0,5,2,3,2,2,2,1,0,57,0,42,1,100,0,0,0,0,0,0,0,100,100,53,0,45,0,45,0,0,3,1,1,0,39,4,57,3,1,2,2,2,2,1,0,100,0,0,76,36,40,35,29,28,24,12,75,37,38,33,26,25,19,8,73,2,0,11,0,11,11,11,11,7,2,100,0,0
20,WP19097,354200,73,70,23,91,19,11,55,2,1,99,0,5,9,37,47,58,80,26,94,83,58,13,26,37,71,45,80,79,30,46,7,93,57,31,41,90,36,79,71,52,3,6,39,34,18,98,84,97,60,60,93,68,81,82,63,63,54,29,58,27,27,46,62,61,61,52,52,40,46,15,1,53,16,51,7,5,11,7,3,7,23,22,3,1,5,4,0,29,22,17,6,96,41,53,16,61,24,22,78,40,52,56,87,13,12,45,40,36,30,23,15,45,9,33,29,24,19,13,9,39,7,52,2,83,14,3,8,3,3,2,2,58,66,94,53,83,56,31,11,3,16,19,8,6,39,26,29,25,5,20,18,16,13,9,5,75,23,2,65,34,31,27,23,20,16,12,61,38,23,19,16,13,9,7,53,7,1,16,3,13,12,12,11,9,6,72,21,6
21,WP19097,383100,68,61,19,90,20,9,45,1,1,97,0,3,16,42,35,51,81,26,93,84,41,11,24,29,58,19,74,71,19,31,3,76,27,20,26,92,26,62,62,23,3,11,42,28,16,99,83,96,59,52,92,58,75,83,69,64,39,21,45,40,21,39,53,51,51,43,40,30,39,11,3,50,14,48,4,2,10,7,2,8,27,26,3,0,5,3,1,26,21,16,4,95,36,35,11,71,18,21,79,32,57,57,73,27,9,48,47,42,39,27,19,31,5,21,21,18,16,8,7,19,4,76,2,81,16,3,2,2,1,2,1,53,69,48,33,53,43,19,21,0,17,6,8,2,43,14,42,43,6,36,34,30,30,21,13,74,22,4,68,46,23,21,15,13,10,3,67,46,22,20,14,11,8,3,65,2,1,4,2,2,2,2,2,2,0,84,15,2
22,WP19097,389100,40,35,7,81,3,1,19,0,0,99,0,6,17,43,32,40,58,6,95,86,69,22,24,41,79,42,88,88,28,34,4,94,83,41,50,96,38,43,49,37,8,10,40,24,18,100,81,99,62,59,86,49,68,66,60,57,38,22,50,51,14,35,48,46,47,39,40,26,32,10,6,54,16,53,8,5,10,7,3,7,23,21,4,1,5,4,0,29,12,14,4,93,63,75,9,71,19,27,73,21,61,48,49,51,4,44,43,41,35,27,16,45,3,41,40,38,32,24,12,44,20,29,6,69,21,11,1,1,1,1,0,44,80,100,89,92,85,83,6,2,11,32,0,5,27,47,20,5,0,5,5,4,4,4,3,85,9,6,79,22,57,52,48,46,38,28,76,23,53,47,44,41,33,25,72,3,1,10,1,9,9,9,8,7,2,99,1,0
23,WP19097,391600,99,98,59,97,63,51,90,27,9,98,0,1,2,21,74,91,84,52,96,85,31,10,12,31,81,57,94,93,70,61,35,93,56,46,54,97,55,80,83,57,1,1,20,36,41,98,94,98,83,84,96,76,89,92,82,85,79,49,74,5,41,54,89,88,87,79,82,67,71,16,2,50,14,44,6,12,9,3,4,5,19,18,3,2,3,2,1,54,41,33,18,97,63,31,19,68,14,18,82,34,48,25,86,14,6,18,17,15,14,10,8,22,4,16,15,13,12,8,5,32,4,58,6,87,10,3,1,1,0,0,0,65,94,88,56,70,61,34,31,1,8,11,3,2,36,21,41,7,2,5,4,4,4,3,1,67,24,9,77,28,49,42,31,25,17,9,77,30,47,40,29,23,14,8,63,8,5,8,2,6,6,6,4,3,2,75,19,6
24,WP19097,396300,100,98,51,100,59,39,94,7,4,93,0,4,6,43,41,70,85,38,93,87,43,33,9,36,60,49,78,72,48,41,10,86,55,35,46,81,26,68,84,43,2,4,16,37,40,98,93,98,80,96,98,83,87,93,93,96,91,64,77,8,19,73,95,95,94,88,93,76,78,15,2,58,15,47,8,27,9,3,9,2,29,24,4,5,0,0,2,36,52,34,12,71,22,54,7,65,28,12,88,15,36,20,94,6,6,14,13,11,11,11,10,20,5,14,13,11,11,11,9,59,2,38,1,91,8,1,3,0,0,0,3,100,100,100,26,100,65,61,26,5,8,6,3,5,27,20,48,3,1,2,2,2,2,2,2,83,13,4,73,34,39,31,23,15,8,5,73,34,39,31,23,15,8,5,67,5,1,1,1,0,0,0,0,0,0,70,30,0
25,WP19097,402000,99,97,47,100,24,13,86,3,1,100,0,5,3,34,58,59,100,72,100,87,37,3,5,44,81,41,95,95,50,56,16,70,67,45,30,90,29,91,87,11,0,0,41,40,19,100,100,100,91,51,100,58,84,90,85,74,77,31,72,30,0,70,81,81,81,63,73,34,44,33,5,70,6,62,13,28,6,0,0,6,26,23,0,3,6,0,0,19,34,16,11,94,48,95,2,42,57,15,85,3,40,18,96,4,5,13,13,13,10,10,10,13,0,13,13,13,10,10,10,83,13,4,0,83,13,4,0,0,0,0,0,0,0,100,0,100,100,0,0,0,10,3,0,0,44,9,47,5,5,0,0,0,0,0,0,100,0,0,76,63,13,9,5,5,0,0,76,63,13,9,5,5,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0
26,WP19097,403300,95,95,51,97,36,25,73,4,2,98,0,4,5,29,59,75,84,46,97,84,22,7,7,27,81,38,91,90,48,53,18,87,36,31,44,93,46,69,78,48,1,3,30,39,26,98,91,98,73,78,96,70,83,88,74,73,72,40,73,18,22,61,80,78,78,70,69,56,63,13,4,56,15,52,6,12,9,8,3,5,23,21,3,3,3,3,1,40,35,28,13,94,55,38,19,65,16,18,82,40,54,16,86,14,5,11,10,8,7,6,4,12,2,7,7,5,4,3,3,25,9,58,9,77,14,9,1,0,1,0,1,60,69,89,65,85,79,67,44,1,4,5,2,2,33,17,48,7,3,4,4,3,3,3,1,69,20,11,79,32,47,38,27,19,12,8,79,33,46,37,26,18,11,7,69,7,3,5,2,4,3,3,3,1,1,77,11,13
27,WP19097,410200,73,71,31,85,11,8,23,2,1,95,0,8,15,37,35,54,69,31,92,75,21,5,5,28,62,29,77,76,25,26,5,81,40,31,42,96,32,46,65,27,7,7,38,30,19,96,82,94,59,55,88,56,59,69,61,60,39,18,47,48,19,33,49,47,46,38,36,27,39,8,2,45,12,44,5,7,9,3,2,7,19,18,2,1,6,2,1,23,14,12,5,96,42,38,18,68,14,20,80,29,50,13,85,15,3,9,9,7,6,5,4,12,2,9,8,7,6,4,3,35,5,55,4,93,6,1,1,0,0,0,0,59,78,81,61,83,62,47,24,1,5,4,2,4,36,14,46,2,1,1,1,1,0,0,0,98,2,0,67,30,37,30,22,16,11,7,67,30,37,29,22,16,11,7,63,3,1,3,2,1,1,1,1,1,0,93,6,1
28,WP19097,422400,83,81,35,96,14,7,42,1,1,100,0,3,17,36,44,43,82,27,99,92,39,9,2,36,71,23,88,87,31,39,2,70,39,31,35,95,34,49,62,9,0,8,37,34,21,100,94,96,66,77,97,60,68,80,59,60,65,27,49,45,10,45,75,72,69,49,56,48,51,21,3,66,13,62,4,23,10,4,1,3,27,26,1,4,3,0,0,30,23,17,8,84,69,82,25,53,22,29,71,35,67,13,83,17,5,8,7,7,7,5,5,10,3,4,4,4,4,1,1,49,0,24,27,100,0,0,0,0,0,0,0,80,80,57,20,60,80,0,20,0,3,4,3,1,26,8,65,5,1,4,4,4,4,4,4,100,0,0,82,33,49,39,29,24,17,10,82,33,49,39,29,24,17,10,81,0,0,3,1,2,2,1,1,1,0,99,1,0
29,WP19097,300006,68,64,20,89,18,10,48,2,1,99,0,5,12,39,43,54,78,24,94,84,56,14,25,36,69,38,80,78,27,41,6,89,54,30,39,91,34,71,66,43,4,7,40,32,18,98,83,97,60,58,92,64,78,80,64,62,48,26,54,33,24,43,58,57,57,49,48,36,43,14,2,52,15,50,7,4,11,7,3,7,24,23,3,1,5,4,0,28,20,17,6,95,43,51,14,64,22,22,78,36,54,55,80,20,10,45,42,38,33,25,16,42,7,31,28,24,20,13,9,36,8,53,2,81,15,4,6,3,2,2,1,53,71,89,61,81,62,44,11,2,15,17,7,5,38,25,31,27,5,22,20,18,16,11,7,75,22,3,68,35,32,28,24,22,17,12,64,38,26,22,18,16,12,8,58,5,1,13,3,10,10,9,8,7,4,76,19,5
30,WP19097,300010,82,80,39,90,21,15,43,3,1,96,0,6,11,34,44,62,75,36,94,79,21,6,5,27,70,33,82,82,34,37,10,83,38,31,43,95,38,55,70,35,4,6,35,33,22,97,85,95,64,64,91,62,68,77,66,65,52,27,58,36,20,44,61,59,58,50,49,38,49,10,3,50,13,47,5,9,9,5,2,7,20,19,3,2,5,2,1,30,22,18,8,96,47,38,18,67,15,19,81,33,52,14,85,15,4,10,9,8,6,5,4,12,2,8,7,6,5,4,3,31,7,56,6,87,9,4,1,0,0,0,1,59,75,84,62,84,68,55,32,1,5,4,2,3,35,15,47,4,2,2,2,2,1,1,1,77,15,8,72,30,41,33,24,17,12,8,71,31,40,32,23,16,11,7,65,5,2,4,2,2,2,2,2,1,1,84,9,8
31,WP19097,332915,97,96,57,98,63,52,89,25,8,98,0,1,3,26,68,94,87,53,96,89,30,9,16,35,81,58,94,93,66,62,34,94,56,44,57,96,56,86,87,59,1,1,18,39,41,98,95,98,84,87,97,76,91,94,80,83,81,49,73,6,40,54,89,89,88,82,84,70,71,17,2,51,17,47,7,11,12,3,4,5,21,20,2,2,4,1,2,51,42,33,17,97,60,21,19,71,10,19,81,40,50,28,87,13,6,21,21,19,17,15,11,20,3,15,14,12,11,9,7,16,14,64,6,73,20,7,3,2,1,1,1,38,48,100,64,72,51,30,4,1,8,10,2,1,37,19,42,12,2,10,10,9,8,6,2,49,40,11,74,29,45,40,32,25,18,11,72,31,40,36,27,21,13,7,58,9,5,11,2,9,9,8,6,6,4,65,21,14
32,WP19107,399907,78,74,38,98,53,39,80,2,1,99,0,2,5,24,68,77,93,37,97,85,36,12,18,44,81,47,91,89,52,63,20,87,55,40,47,95,48,78,70,41,1,3,32,41,22,99,94,98,81,81,97,71,86,91,80,80,77,45,69,17,17,67,85,82,81,74,73,62,64,18,3,64,20,56,10,25,11,7,7,9,32,31,4,6,6,3,2,34,43,32,15,94,59,53,24,54,23,27,73,50,63,36,86,14,10,26,24,22,20,15,11,26,5,17,15,13,11,7,4,38,6,52,4,83,12,5,2,2,1,1,1,62,73,90,60,85,63,48,28,1,9,11,4,2,35,20,42,20,6,14,13,12,10,8,6,76,19,5,72,32,40,36,30,26,20,13,69,34,35,30,25,21,14,9,62,5,2,16,5,12,11,10,9,7,4,83,14,4
33,WP19107,307500,64,59,27,100,43,32,87,1,1,99,0,1,4,29,66,79,91,24,97,84,29,13,16,32,79,35,87,84,48,59,18,85,45,37,52,92,46,96,73,51,1,4,40,40,15,100,95,98,80,78,97,73,90,91,80,82,83,56,65,12,22,66,87,85,84,77,77,64,67,17,4,54,22,49,9,14,9,10,8,9,27,27,4,5,5,3,2,33,46,30,17,96,47,36,24,51,25,24,76,56,59,44,92,8,11,33,31,28,25,20,15,24,4,16,14,10,8,4,1,11,6,81,2,66,22,12,2,2,2,1,2,67,80,89,81,74,40,49,35,0,7,8,8,0,34,18,48,37,11,26,25,23,21,16,13,62,29,8,68,33,35,30,23,19,14,8,66,37,29,23,17,15,10,5,56,7,3,15,4,11,11,9,6,5,3,62,30,8
34,WP19107,800036,94,91,57,96,75,64,86,4,3,100,0,11,0,13,76,96,96,61,96,76,53,15,24,54,71,59,94,87,70,70,45,77,71,40,55,82,60,96,76,36,0,0,31,47,22,100,100,100,87,93,96,96,100,96,96,94,93,74,84,4,0,96,93,93,89,93,83,83,76,17,0,66,11,51,11,26,11,7,7,0,27,27,4,4,0,0,0,51,70,62,35,100,83,66,10,70,21,17,83,45,51,20,64,36,7,13,10,7,7,7,7,20,4,13,10,7,7,7,7,96,0,4,0,88,12,0,0,0,0,0,0,100,100,100,0,100,68,100,0,7,6,7,0,7,52,11,30,4,4,0,0,0,0,0,0,95,5,0,65,51,14,7,4,4,4,4,62,52,11,4,4,4,4,4,54,6,2,6,2,4,4,0,0,0,0,100,0,0
35,WP19107,350000,82,81,55,96,48,38,81,1,0,99,0,0,3,14,81,95,94,59,97,73,12,10,6,27,89,31,97,96,54,73,27,90,43,37,55,97,53,94,82,47,2,6,28,45,20,99,94,99,78,83,97,77,83,87,76,83,82,58,71,8,20,71,94,94,88,80,89,73,79,10,5,54,26,52,9,8,18,17,7,7,31,31,2,0,7,3,0,28,53,40,20,100,87,64,9,60,31,22,78,47,61,15,72,28,6,9,9,7,4,1,1,8,2,3,3,2,1,1,1,28,0,72,0,96,4,0,0,0,0,0,0,100,100,100,0,100,47,47,0,1,2,2,2,2,37,9,53,9,4,5,5,5,3,0,0,100,0,0,77,36,41,41,39,37,34,17,74,38,36,34,31,31,24,7,69,4,1,21,4,17,17,17,16,11,8,90,10,0
36,WP19107,354200,54,46,15,96,60,44,87,2,1,99,0,4,5,23,68,80,92,14,98,88,73,19,42,48,83,66,92,90,52,68,22,92,75,46,46,96,49,92,76,61,1,3,33,38,25,100,96,97,79,78,96,69,90,90,82,85,71,39,75,7,27,67,85,83,81,75,74,58,69,14,1,60,21,55,10,17,14,7,7,10,30,28,4,4,9,2,2,40,40,31,12,92,49,54,22,48,30,36,64,55,76,71,93,7,18,53,51,47,41,31,21,63,11,43,39,36,30,20,13,45,6,46,3,86,11,3,9,5,6,3,5,46,58,98,56,90,60,42,27,5,21,30,7,8,35,38,19,35,9,27,24,20,15,10,7,77,19,3,74,27,47,44,42,37,33,24,65,36,29,25,22,17,11,8,54,8,3,42,8,34,33,31,28,25,16,78,18,4
