ID,BedrijfstakkenBranchesSBI2008,AantalBedrijven_1,PersoneelDatWerktMetEenComputer_2,PersoneelDatWerktMetInternet_3,Telewerkers_4,TelewerkKomtVoor_5,PersoneelDatWerktMetMobielInternet_6,Internet_7,TotaalBreedband_8,BreedbandVastTotaal_9,ADSLVDSLEnSDSLEnDergelijke_10,AndereHoogwaardigeVasteVerbindingen_11,MobielBreedbandTotaal_12,ViaDraagbareComputer_13,ViaMobieleTelefoonSmartphone_14,MinderDan2MbitS_15,k_2Tot10MbitS_16,k_10Tot30MbitS_17,k_30Tot100MbitS_18,k_100MbitSOfMeer_19,TenMinsteEenAlgemeneToepassing_20,FinancieleTransacties_21,TrainingEnOpleiding_22,PresentatieEigenBedrijf_23,OnlineBestellenOfBoeken_24,TenMinsteEenSoortCommunicatie_25,VerkrijgenVanInformatie_26,VerkrijgenVanFormulieren_27,RetournerenIngevuldeFormulieren_28,SocialePremiesVanMedewerkers_29,Vennootschapsbelasting_30,BTW_31,InvoerrechtenAccijnzen_32,VolledigeElekAfhandelingAanvraag_33,BeperkingEContactMetDeOverheid_34,Geheimhouding_35,ProceduresTeIngewikkeld_36,ProceduresVereisenNogPapier_37,NietBekendMetBestaan_38,Anders_39,DocumentenRaadplegenOverAanbesteding_40,ElektronischInschrijvenOpAanbesteding_41,OverheidInNederland_42,OverheidInAnderEULand_43,OverheidBuitenEU_44,VerkoopViaExterneNetwerken_45,Verkoopwaarde1VanDeTotaleOmzet_46,Verkoopwaarde2VanDeTotaleOmzet_47,Verkoopwaarde5VanDeTotaleOmzet_48,Verkoopwaarde10VanDeTotaleOmzet_49,Verkoopwaarde25VanDeTotaleOmzet_50,Verkoopwaarde50VanDeTotaleOmzet_51,VerkoopViaEenWebsite_52,Verkoopwaarde1VanDeTotaleOmzet_53,Verkoopwaarde2VanDeTotaleOmzet_54,Verkoopwaarde5VanDeTotaleOmzet_55,Verkoopwaarde10VanDeTotaleOmzet_56,Verkoopwaarde25VanDeTotaleOmzet_57,Verkoopwaarde50VanDeTotaleOmzet_58,VerkoopViaNietInternetnetwerken_59,Verkoopwaarde1VanDeTotaleOmzet_60,Verkoopwaarde2VanDeTotaleOmzet_61,Verkoopwaarde5VanDeTotaleOmzet_62,Verkoopwaarde10VanDeTotaleOmzet_63,Verkoopwaarde25VanDeTotaleOmzet_64,Verkoopwaarde50VanDeTotaleOmzet_65,InkoopViaExterneNetwerken_66,Inkoopwaarde1VanDeTotaleInkoop_67,Inkoopwaarde2VanDeTotaleInkoop_68,Inkoopwaarde5VanDeTotaleInkoop_69,Inkoopwaarde10VanDeTotaleInkoop_70,Inkoopwaarde25VanDeTotaleInkoop_71,Inkoopwaarde50VanDeTotaleInkoop_72,TotaalOpenSourceSoftware_73,BesturingssystemenServerSoftware_74,Internetbrowsersoftware_75,OfficeSoftware_76,ERPOfCRMToepassingen_77,AndereOpenSourceSoftware_78,TotaalVerkooporderverwerkingssysteem_79,FactureringsEnBoekhoudsystemen_80,Voorraadbeheersystemen_81,Productiesystemen_82,LogistiekeSystemen_83,TotaalInkooporderverwerkingssysteem_84,BetalingsEnBoekhoudsysteem_85,Voorraadbeheersystemen_86,TenMinsteEenSoort_87,Productinformatie_88,Transportdocumenten_89,DataVanNaarOverheden_90,AndereBerichten_91,OrderverwerkingMetDerden_92,GeschiktVoorAutomatischeVerwerking_93,NietGeschiktVoorAutomBewerking_94,GeschiktVoorAutomatischeVerwerking_95,NietGeschiktVoorAutomVerwerking_96,WasZeerBelangrijk_97,WasBelangrijk_98,WasEnigszinsBelangrijk_99,WasOnbelangrijk_100,WasZeerBelangrijk_101,WasBelangrijk_102,WasEnigszinsBelangrijk_103,WasOnbelangrijk_104,WasZeerBelangrijk_105,WasBelangrijk_106,WasEnigszinsBelangrijk_107,WasOnbelangrijk_108,WasZeerBelangrijk_109,WasBelangrijk_110,WasEnigszinsBelangrijk_111,WasOnbelangrijk_112,VerminderenPapierPrintsKopieen_113,VerlagenEnergieverbruikApparaten_114,TelefoonWebVideoconferenceIpvReizen_115,ITToepassingenMinderEnergieverbruik_116
23,000038,162,99,99,35,79,18,98,97,97,72,55,49,32,42,2,26,32,28,10,89,85,40,77,21,89,45,77,83,61,45,75,19,36,2,100,0,0,0,52,19,12,100,18,18,20,20,16,16,14,10,8,19,19,14,14,13,10,8,6,6,6,5,5,3,1,31,28,20,18,17,7,6,43,12,31,12,10,17,27,15,7,6,6,27,19,5,57,25,12,45,37,23,10,31,23,55,67,18,15,0,61,26,12,0,20,42,21,16,15,43,33,9,51,40,66,19
24,000039,110,99,98,24,94,6,100,100,98,68,69,65,49,51,0,36,20,21,23,95,90,43,95,60,97,69,88,97,55,46,41,12,49,5,0,37,100,63,26,7,5,100,65,0,46,45,40,35,20,7,6,54,45,40,33,15,6,3,13,8,8,8,5,3,3,34,24,19,19,13,6,3,56,34,42,18,11,18,51,32,8,31,7,25,16,6,67,44,5,50,48,35,18,23,30,58,68,24,8,0,46,44,10,0,20,49,26,5,32,53,15,0,59,51,52,15
25,000040,169,93,89,30,67,18,100,94,94,75,51,41,27,39,6,24,30,25,14,92,92,35,81,22,83,46,56,83,61,52,82,22,31,1,100,100,0,0,0,4,4,100,79,0,13,13,13,13,12,7,1,19,13,13,13,12,7,1,0,0,0,0,0,0,0,25,25,19,16,7,6,6,40,14,35,20,14,3,32,26,11,6,8,26,23,7,64,36,19,50,26,22,4,14,19,57,71,29,0,0,28,69,3,0,16,42,42,0,46,17,20,17,32,24,41,22
26,402100,825,94,90,32,80,20,100,96,96,77,47,58,40,49,4,27,32,27,10,93,93,14,90,23,88,54,71,84,63,55,90,11,42,4,28,14,44,27,61,8,6,100,28,0,14,13,10,8,7,4,2,13,13,10,8,7,2,2,4,2,2,2,2,0,0,30,21,12,7,5,2,2,61,21,55,21,14,8,28,19,4,6,5,34,23,6,63,34,7,55,41,26,13,23,23,64,31,43,18,8,54,45,2,0,8,52,23,17,19,57,20,4,44,31,30,16
27,000041,3133,94,92,48,89,31,100,97,95,80,45,60,45,49,3,25,30,32,10,96,95,28,92,22,99,68,88,98,74,65,88,14,59,5,37,18,56,39,58,26,21,94,18,5,15,14,11,9,6,1,1,15,13,10,8,5,1,1,3,2,2,2,1,0,0,36,31,26,22,15,9,4,53,22,42,21,17,18,35,26,10,9,8,30,21,9,71,38,10,64,44,27,8,30,24,72,45,47,8,0,53,40,7,0,24,49,21,6,39,38,22,2,59,40,55,20
28,405900,1484,93,88,32,78,24,100,95,94,79,34,51,36,43,5,29,33,22,11,91,91,22,86,12,98,60,86,94,63,57,85,13,51,4,24,24,47,16,33,41,39,97,27,8,8,8,7,5,3,1,1,8,7,6,4,2,0,0,1,1,1,1,1,1,1,31,27,24,21,15,9,5,62,21,52,27,13,18,36,24,10,10,10,33,20,9,74,51,19,63,39,17,4,31,15,66,42,36,15,6,48,36,12,3,25,34,29,12,26,36,33,5,61,41,53,21
29,406800,288,98,96,50,90,11,100,99,95,63,58,63,52,46,1,18,29,33,18,93,93,32,96,21,92,57,86,91,53,44,83,24,44,5,32,21,100,16,0,24,24,95,49,19,16,15,9,9,4,1,1,13,11,6,5,1,0,0,6,5,5,5,1,1,1,40,31,27,21,15,10,7,69,31,54,22,21,23,42,33,11,8,14,48,32,16,67,51,33,53,36,27,7,40,22,71,44,39,12,5,44,49,2,6,19,45,29,7,13,51,20,16,57,40,76,32
30,408100,781,90,86,31,84,20,100,99,98,67,58,57,44,49,1,18,26,37,17,100,100,20,93,22,94,44,77,90,65,66,86,20,42,4,57,36,57,36,23,29,27,100,16,3,15,15,13,10,5,4,2,19,15,13,10,5,4,1,2,1,1,1,1,1,0,26,24,23,21,13,7,4,65,26,57,28,27,32,60,41,9,13,12,44,29,9,63,42,16,55,42,16,4,33,16,71,61,21,10,8,52,32,16,0,17,63,14,6,26,38,26,10,51,32,61,16
31,000042,527,83,76,26,75,16,100,91,89,78,27,49,35,42,9,22,35,25,9,93,93,22,84,26,89,50,83,84,59,54,86,14,51,3,0,66,21,21,12,16,10,97,12,6,19,19,15,12,10,4,4,18,18,14,11,9,4,4,3,2,2,1,0,0,0,42,37,34,31,28,17,15,61,15,48,29,16,18,43,28,11,8,14,44,19,13,67,50,24,54,33,20,8,30,17,63,30,39,23,8,41,42,16,1,25,44,20,10,23,42,24,10,51,29,47,18
32,410300,391,73,65,26,63,15,100,93,93,84,29,45,29,36,7,36,33,19,4,86,86,19,84,34,95,41,85,91,44,35,74,10,38,5,75,0,38,0,25,22,19,100,9,7,26,26,21,18,13,7,3,29,25,20,17,12,5,3,3,3,3,3,2,1,0,34,28,19,17,13,5,5,53,12,41,28,8,9,61,43,31,11,23,51,37,23,67,47,27,50,35,25,12,30,20,61,38,27,24,11,38,51,7,4,26,36,19,18,31,54,16,0,43,35,46,22
33,412700,2536,84,82,26,62,13,100,92,89,82,22,42,31,36,8,30,32,24,6,86,86,18,78,20,94,41,77,90,73,58,84,10,49,3,37,55,61,29,59,14,13,100,11,2,11,11,10,8,7,2,2,11,10,10,8,6,2,2,1,1,0,0,0,0,0,19,18,15,12,7,3,2,54,8,42,31,9,9,35,26,3,3,4,24,17,2,65,31,7,59,31,21,8,26,19,49,50,32,10,8,40,55,4,1,22,54,10,14,29,48,17,6,51,25,44,13
34,413700,252,98,93,22,82,8,100,100,99,82,39,43,31,37,0,23,31,27,19,94,94,42,90,77,94,54,90,88,47,47,84,6,45,2,0,0,100,0,0,10,4,100,14,14,61,60,51,48,41,28,24,65,57,51,48,41,28,24,11,7,4,4,3,3,2,40,35,34,34,27,25,22,71,25,52,39,15,18,69,63,25,14,22,44,38,16,69,50,13,53,39,36,23,53,35,73,60,37,2,0,54,46,0,0,2,62,34,2,26,59,8,7,64,39,49,22
35,000043,1793,31,27,8,51,5,100,92,90,82,20,29,20,24,8,31,37,21,3,86,86,8,82,19,96,41,78,94,62,48,85,14,41,5,50,44,54,51,46,25,21,98,4,0,13,13,12,10,7,5,4,14,10,9,8,4,3,3,5,5,5,5,5,3,1,27,21,17,12,8,5,1,52,8,41,27,8,6,40,33,10,7,9,33,19,9,66,45,13,52,32,20,8,26,18,57,35,36,24,4,61,29,9,1,15,27,44,14,27,50,20,2,49,30,33,13
36,422500,1795,86,79,22,81,7,99,95,91,76,42,46,39,28,4,30,30,25,9,87,84,24,91,25,85,48,71,77,54,30,47,8,33,2,64,31,68,19,0,14,7,100,7,2,16,13,9,8,6,4,4,13,12,8,6,5,3,3,7,4,4,4,2,2,2,33,28,23,23,19,11,8,60,16,43,25,8,14,22,18,7,11,8,30,19,12,69,43,11,42,44,45,37,20,19,52,48,39,12,1,55,29,16,0,32,36,23,8,35,41,24,1,55,41,38,18
37,425305,2565,57,50,14,74,5,100,95,93,80,36,36,26,29,5,36,29,25,5,92,91,19,91,25,88,57,78,84,59,28,40,7,40,6,29,26,46,21,40,21,14,100,8,3,17,17,14,13,11,7,5,19,16,14,13,11,7,5,2,1,0,0,0,0,0,33,28,25,23,17,10,4,55,18,41,23,13,12,26,18,2,4,3,20,12,2,59,38,10,46,34,28,13,32,23,63,32,45,17,6,31,59,8,1,19,45,22,14,21,46,33,1,60,36,30,15
