ID,SBI93,AantalBedrijven_1,BedrijvenMetComputers_2,Computerpersoneel_3,BedrijvenMetICTSystemen_4,OrderverwerkingGekoppeldICTSysteem_5,OrderverwerkingInternICTSysteem_6,OrderverwerkingVoorraadbeheer_7,OrderverwerkingFacturering_8,OrderverwerkingProductieLogistiek_9,OrderverwerkingMarketing_10,OrderverwerkingICTSysteemVanDerden_11,OrderverwerkingToeleveranciers_12,OrderverwerkingKlantenAfnemers_13,BedrijvenMetLAN_14,BedrijvenMetDraadloosLAN_15,BedrijvenMetIntranet_16,BedrijvenMetExtranet_17,BedrijvenMetExterneNetwerken_18,TotaalBedrijvenMetInternet_19,AnaloogModem_20,ISDN_21,Breedbandverbinding_22,XDSL_23,RTVKabel_24,AndereHoogwaardigeVasteVerbindingen_25,DraadlozeVerbinding_26,AnderTypeVerbinding_27,PersoneelDatWerktMetInternet_28,GebruikVanNietInternetnetwerken_29,BedrijvenMetTelewerkers_30,AantalTelewerkers_31,TotaalAlgemeenGebruik_32,FinancieleTransacties_33,TrainingEnOpleiding_34,Marktmonitoring_35,ElektronischeOntvangstProducten_36,KlantondersteuningDoorToeleveranciers_37,TotaalCommunicatieMetOverheden_38,VerkrijgenVanInformatie_39,VerkrijgenVanFormulieren_40,RetournerenIngevuldeFormulieren_41,VolledigeElektronischeAfhandeling_42,TotaalAangebodenFaciliteiten_43,InformatiePresentatieEigenBedrijf_44,InformatieProducten_45,InformatiePrijzen_46,ServiceCustomisedPage_47,ProductenElectronischeLevering_48,ServiceKlantondersteuning_49,DienstenMobielInternet_50,ElektronischeOrderontvangst_51,ElektronischeOntvangstBetalingen_52,GebruikElektronischeMarktplaatsen_53,ElektronischeInkoop_54,ElektronischeBetaling_55,GebruikElektronischeMarktplaatsen_56,TotaalVerkoopExterneNetwerken_57,Omzet1_58,Omzet2_59,Omzet5_60,Omzet10_61,TotaalVerkoopViaNietInternetnetwe_62,Omzet1_63,Omzet2_64,Omzet5_65,Omzet10_66,TotaalVerkoopViaInternet_67,Omzet1_68,Omzet2_69,Omzet5_70,Omzet10_71,VerkoopBuitenland_72,VerkoopHuishoudens_73,TotaalInkoopViaExterneNetwerken_74,Inkoopwaarde1_75,Inkoopwaarde2_76,Inkoopwaarde5_77,Inkoopwaarde10_78,TotaalInkoopViaInternet_79,Inkoopwaarde1_80,Inkoopwaarde2_81,Inkoopwaarde5_82,Inkoopwaarde10_83,TotaalInkoopViaNietInternetnetwer_84,Inkoopwaarde1_85,Inkoopwaarde2_86,Inkoopwaarde5_87,Inkoopwaarde10_88,BeveiligingTotaal_89,BeveiligingTweeMaatregelen_90,BeveiligingEigenICTSysteem_91,BeveiligingAntivirussoftware_92,BeveiligingFirewall_93,BeveiligingBeveiligdeWebserver_94,BeveiligingOffSiteDataBackUp_95,BeveiligingCommunicatie_96,BeveiligingDigitaleHandtekening_97,BeveiligingOverigeAuthenticatie_98,BeveiligingEncryptie_99,BeveiligingUpdateMaatregelen_100,ProblemenVeiligheid_101,ProblemenVirusaanval_102,ProblemenIllegaleToegang_103,ProblemenChantageBedreiging_104,ProblemenOverige_105
10,29,764.0,97,72,84,94,94,67,87,63,28,28,23,20,92,18,47,15,93,96,11,29,78,68,7,9,6,0,53,8,36,11,93,71,11,63,44,38,65,60,59,48,11,90,89,68,26,14,7,21,3,22,1,2,56,22,8,24,59,58,50,32,4,81.0,84.0,81.0,69.0,22,53,52,43,26,0,52,57,61,60,49,37,56,60,52.0,41.0,30.0,5,71.0,71.0,66.0,63.0,96,90,96,95,85,52,51,33,11,29,19,74,32,32,0,,4
11,30,521.0,90,48,71,86,86,59,82,51,17,11,9,6,82,15,30,11,84,94,19,28,64,58,2,8,0,1,28,5,39,4,96,78,14,46,27,20,61,61,58,48,5,91,88,68,20,9,0,12,2,10,1,0,37,7,2,13,69,69,49,46,4,78.0,78.0,56.0,56.0,10,64,64,40,36,2,47,39,41,18,11,6,37,35,11.0,3.0,0.0,3,93.0,93.0,93.0,67.0,98,84,98,93,72,31,40,38,11,30,16,79,16,13,1,,4
12,31,1667.0,96,37,70,97,97,54,90,56,30,16,11,10,82,9,30,8,90,94,13,26,74,65,6,6,3,0,21,4,22,3,92,71,6,43,30,28,62,58,55,51,10,85,81,56,24,5,2,10,2,22,1,0,33,13,4,23,51,43,38,20,2,81.0,81.0,66.0,59.0,22,48,39,35,16,17,33,33,42,38,29,10,33,41,36.0,28.0,9.0,1,92.0,92.0,69.0,31.0,95,81,95,92,72,32,32,36,13,31,12,70,21,19,1,,2
13,32,76.0,95,71,92,98,98,65,94,61,36,30,27,18,100,13,90,34,95,100,12,20,99,47,27,58,6,2,46,27,75,16,92,54,25,75,35,35,69,68,63,49,8,86,86,74,68,29,3,42,10,21,4,7,42,16,11,22,44,44,44,44,6,100.0,100.0,100.0,100.0,21,33,33,33,27,87,7,43,42,23,23,23,42,40,20.0,20.0,13.0,6,100.0,100.0,100.0,100.0,100,100,100,100,100,61,71,58,36,50,29,75,25,21,2,,7
14,33,3115.0,89,27,49,86,84,17,81,20,7,13,9,8,81,10,17,6,87,97,9,30,73,66,7,1,3,1,19,0,15,3,86,68,7,45,18,19,56,53,51,43,12,74,71,26,9,4,0,2,1,10,1,0,26,6,3,10,38,28,19,9,0,,,,,10,38,28,19,9,72,0,26,52,36,34,13,26,52,36.0,34.0,13.0,0,,,,,95,72,95,95,60,19,27,28,12,26,9,68,15,14,0,,2
15,34,1141.0,94,28,39,88,88,21,86,26,14,12,12,11,64,5,18,5,83,89,13,36,60,50,10,3,4,1,20,1,17,5,88,69,11,41,27,13,54,49,48,42,14,62,58,26,9,1,1,1,2,5,0,0,23,6,2,5,49,19,2,2,0,,,,,5,49,19,2,2,43,0,23,56,38,24,13,23,67,38.0,24.0,13.0,0,,,,,88,73,88,88,66,16,29,25,3,22,6,62,21,21,0,,3
16,35,3350.0,94,35,62,93,91,27,86,28,15,36,33,13,83,7,15,4,93,98,11,26,71,64,6,2,1,0,28,2,18,7,93,78,8,43,34,31,45,40,39,34,8,75,72,35,14,5,3,6,2,10,2,2,38,12,6,10,39,28,21,17,0,63.0,63.0,38.0,38.0,10,39,27,21,17,38,1,38,58,53,48,41,38,59,53.0,48.0,41.0,2,67.0,63.0,63.0,63.0,96,83,96,95,73,24,31,37,19,30,6,67,17,16,1,,2
17,36,2595.0,96,61,84,97,97,80,93,37,47,54,49,22,91,7,50,24,95,98,10,22,85,74,6,9,5,1,45,8,15,2,92,69,29,67,46,48,67,60,57,51,19,90,87,64,56,14,3,15,4,25,3,8,36,9,11,26,44,33,27,20,3,87.0,87.0,87.0,81.0,25,41,30,23,15,55,23,39,47,41,35,26,36,36,29.0,23.0,14.0,5,93.0,93.0,93.0,91.0,98,89,98,97,81,37,36,44,20,37,15,74,20,19,1,,2
18,37,7871.0,99,74,92,99,98,80,96,47,34,28,21,22,97,18,44,16,94,95,13,26,82,72,3,16,7,2,53,16,49,15,95,71,16,57,41,34,69,64,62,53,9,85,81,69,31,17,9,20,9,30,3,3,41,13,3,38,61,57,45,32,12,80.0,80.0,80.0,67.0,30,48,43,28,15,14,28,44,56,48,38,29,41,52,39.0,32.0,22.0,5,100.0,99.0,75.0,71.0,97,90,97,94,82,46,51,46,20,38,18,79,27,25,1,,5
19,38,5486.0,94,46,77,95,94,73,69,25,24,37,32,12,78,7,22,7,83,85,17,37,69,61,7,6,4,1,20,12,16,2,86,62,16,38,41,34,50,39,43,38,5,73,67,43,30,14,2,6,2,19,3,1,38,8,4,24,47,39,35,31,7,98.0,98.0,97.0,87.0,19,27,16,10,9,85,12,42,56,48,44,40,38,40,32.0,27.0,22.0,9,96.0,96.0,95.0,95.0,85,72,85,78,66,22,29,26,7,22,11,47,12,11,1,,2
20,39,3409.0,84,30,40,94,85,24,73,20,31,39,29,17,62,16,13,3,73,86,23,30,69,59,12,1,3,0,17,4,8,4,88,73,7,46,34,26,47,43,42,32,8,90,87,61,64,10,2,7,1,44,4,4,32,12,6,44,61,54,40,30,0,0.0,0.0,0.0,0.0,44,61,54,40,30,95,48,34,44,34,28,19,32,40,31.0,23.0,14.0,2,96.0,96.0,96.0,96.0,89,68,89,86,63,17,19,19,8,16,3,54,20,19,0,,2
21,40,4166.0,93,43,64,95,94,31,90,51,18,24,15,20,78,11,31,12,87,94,10,31,77,66,8,9,7,1,35,9,25,7,91,75,10,39,27,21,63,59,56,46,12,74,69,42,22,9,4,12,4,33,4,3,30,11,7,37,64,56,45,31,7,92.0,93.0,91.0,80.0,33,60,49,36,22,40,32,30,51,42,17,11,30,50,40.0,15.0,8.0,2,70.0,68.0,68.0,60.0,92,77,91,90,72,28,32,29,9,24,12,68,23,22,1,,2
22,41,274.0,93,96,74,97,93,34,90,45,26,43,32,29,87,26,48,27,91,97,10,23,87,67,8,25,13,3,75,4,48,16,95,78,19,66,50,48,55,47,52,49,10,93,91,78,47,33,16,35,19,50,11,5,51,28,10,50,58,45,44,35,4,50.0,50.0,50.0,50.0,50,58,45,44,35,33,16,51,65,46,33,17,51,65,46.0,33.0,17.0,2,0.0,0.0,0.0,0.0,97,91,96,95,88,61,51,59,18,49,33,78,30,28,4,,11
23,42,893.0,93,81,46,93,91,21,86,21,28,28,16,18,95,12,49,16,92,99,6,20,89,76,10,11,4,1,69,2,42,8,92,73,13,61,35,26,81,79,73,55,13,93,91,79,53,10,4,13,4,20,2,1,43,23,6,20,54,36,31,25,0,0.0,100.0,0.0,0.0,20,54,36,32,26,86,11,43,46,28,18,4,43,46,26.0,18.0,4.0,0,100.0,0.0,0.0,0.0,99,96,99,99,93,54,51,49,12,42,26,79,23,21,2,,3
24,43,349.0,92,67,68,92,92,41,80,37,19,24,19,15,81,2,43,21,82,89,12,27,79,68,6,16,1,2,46,10,44,16,90,71,7,50,37,26,49,45,45,39,10,87,87,74,37,26,1,17,3,38,2,6,27,12,3,40,60,43,35,23,2,100.0,100.0,100.0,14.0,38,59,40,32,25,46,16,27,39,24,24,5,27,39,24.0,21.0,1.0,1,100.0,100.0,100.0,100.0,92,78,92,86,79,31,46,28,4,28,10,65,14,14,0,,0
25,44,1261.0,96,97,69,95,93,33,85,32,46,32,22,23,98,38,73,42,96,99,6,22,91,76,5,24,9,2,92,4,77,51,96,74,46,67,68,62,74,70,68,59,19,99,97,84,35,31,39,52,16,28,8,6,75,53,14,28,74,66,57,42,2,91.0,91.0,70.0,70.0,28,74,66,58,42,13,42,75,78,66,61,38,75,79,66.0,61.0,38.0,2,62.0,62.0,62.0,62.0,99,99,99,99,99,73,62,61,17,50,40,80,34,29,5,,6
26,45,241.0,93,87,50,94,94,40,89,39,26,28,24,14,97,18,65,26,91,98,6,19,90,56,4,37,7,0,73,3,55,18,83,59,23,52,49,33,79,78,79,65,12,97,96,64,22,13,21,15,7,25,4,0,65,37,4,26,63,62,58,37,1,100.0,100.0,100.0,100.0,25,62,60,56,34,42,66,65,48,28,28,23,65,48,28.0,28.0,23.0,1,100.0,100.0,100.0,100.0,95,95,95,95,93,61,53,57,14,48,37,77,38,35,3,,9
27,46,2437.0,97,96,42,92,92,28,85,36,35,20,13,16,95,14,47,17,96,98,11,17,89,78,5,10,6,1,77,9,53,20,94,78,18,43,43,25,77,74,74,63,17,87,84,52,25,13,13,11,2,18,1,2,48,22,7,19,48,43,34,18,3,33.0,46.0,33.0,23.0,18,47,43,33,18,35,29,48,61,49,37,18,48,61,49.0,37.0,15.0,1,95.0,61.0,61.0,55.0,98,96,98,97,92,51,49,56,27,45,28,74,24,22,4,,4
28,47,1387.0,98,92,43,87,85,28,80,43,32,23,16,15,96,10,39,17,98,100,7,19,86,76,8,7,3,1,72,1,40,13,92,71,10,54,43,28,74,72,67,48,15,94,91,60,16,7,16,10,6,10,1,0,56,31,7,10,71,65,34,23,0,100.0,100.0,100.0,71.0,10,70,64,31,21,6,16,56,67,50,37,24,56,67,50.0,37.0,24.0,0,100.0,100.0,0.0,0.0,100,95,100,98,93,39,45,38,5,34,12,79,24,23,2,,3
29,48,528.0,97,76,84,96,96,28,92,50,42,23,18,15,95,21,35,11,97,100,10,16,93,78,10,8,5,2,69,2,34,7,93,75,12,56,58,27,68,64,63,56,18,92,91,62,19,19,32,16,4,20,6,3,59,39,10,20,47,43,41,28,0,100.0,100.0,100.0,100.0,20,47,41,40,27,0,30,59,39,27,17,3,59,39,27.0,17.0,3.0,0,100.0,100.0,100.0,100.0,100,90,100,96,90,51,46,41,7,36,17,64,21,20,1,,2
30,49,1651.0,88,82,55,88,87,10,81,25,26,24,14,17,85,13,28,12,84,95,9,28,77,68,9,5,3,2,75,2,30,11,92,76,19,49,37,23,61,58,58,50,12,87,86,54,13,8,4,9,2,15,1,1,32,15,5,16,70,57,42,35,1,100.0,100.0,100.0,75.0,15,70,56,42,34,17,11,32,68,50,40,19,32,72,50.0,40.0,19.0,1,9.0,9.0,9.0,9.0,96,79,96,94,74,38,39,31,8,28,11,71,22,22,1,,1
31,50,2163.0,94,43,44,91,90,30,88,42,23,26,17,21,71,13,24,8,89,95,6,29,74,62,7,10,4,1,25,3,29,5,93,79,11,39,31,25,59,55,52,44,12,80,77,48,21,9,8,14,3,24,5,2,33,15,4,24,54,45,43,27,2,53.0,53.0,53.0,42.0,24,53,44,42,24,33,21,33,45,30,22,14,33,48,30.0,22.0,14.0,0,0.0,0.0,0.0,0.0,94,80,94,93,75,35,37,34,9,29,15,63,21,20,2,,3
32,51,4260.0,97,50,46,90,88,30,82,38,11,25,14,15,88,12,37,13,94,97,11,23,80,66,12,10,2,2,34,9,32,3,82,68,12,39,30,20,73,72,68,46,14,81,80,58,22,5,3,4,1,11,0,0,45,15,4,11,49,39,26,22,1,65.0,81.0,65.0,65.0,11,49,39,22,17,51,2,45,48,38,31,15,45,48,37.0,30.0,15.0,1,89.0,71.0,46.0,25.0,96,91,96,95,83,34,40,45,12,39,21,77,22,20,3,,4
33,52,283.0,94,58,66,94,94,36,91,45,19,15,10,13,91,11,38,8,90,96,9,23,83,70,4,15,6,1,36,3,35,7,87,65,14,51,31,14,80,74,68,60,17,87,83,64,23,8,2,3,4,19,0,2,37,6,2,19,30,14,8,3,0,,,,,19,30,14,8,3,51,8,37,42,22,15,4,37,42,22.0,15.0,4.0,0,,,,,96,88,96,93,85,34,38,35,8,30,17,73,20,18,1,,2
34,53,1787.0,98,62,44,90,90,30,84,32,37,27,19,18,93,13,27,10,96,99,10,23,82,70,10,9,4,1,52,3,31,5,90,74,16,47,36,24,72,68,67,47,17,96,94,75,63,14,8,15,5,32,7,3,45,20,7,33,48,37,34,30,1,8.0,8.0,8.0,0.0,32,48,37,34,29,85,32,45,56,51,21,16,45,56,51.0,21.0,16.0,1,36.0,36.0,0.0,0.0,98,90,98,95,86,41,43,39,10,35,10,76,27,26,2,,2
35,54,726.0,90,54,31,87,85,45,85,24,22,21,16,6,62,5,10,1,76,83,9,25,71,53,20,1,3,3,18,2,20,3,93,83,23,39,33,30,41,37,34,31,8,80,80,61,34,18,4,9,7,17,1,3,37,19,8,17,33,33,25,25,0,,,,,17,33,33,25,25,77,33,37,63,47,18,1,37,63,47.0,18.0,1.0,0,,,,,84,74,84,81,63,39,32,43,7,34,8,67,20,12,5,,5
