ID,BedrijfstakkenBranchesSBI2008,GebruikOpenbareWifi_1,ZakelijkEnPriveGebruikVanApparaten_2,AantalGewerkteUren_3,Omzetaandeel50VanEenOpdrachtgever_4,GebruikICTVoorzieningOpdrachtgever_5,EenOpdrachtgever_6,TweeOpdrachtgevers_7,DrieOfMeerOpdrachtgevers_8,MinderDan10VanDeTijd_9,k_10Tot50VanDeTijd_10,k_50Tot90VanDeTijd_11,TenMinste90VanDeTijd_12,DoorExterneLeverancierUitgevoerd_13,ZelfUitgevoerd_14,DoorExterneLeverancierZelfUitgevoerd_15,OnbekendOfNVT_16,InternetVast_17,MinderDan30MbitS_18,k_30Tot100MbitS_19,k_100Tot500MbitS_20,k_500MbitSTot1GbitS_21,TenMinste1GbitS_22,BedrijvenMetWebsite_23,BeschrijvingenVanProductenPrijslijst_24,OnlineBestellenBoekenOfReserveren_25,ProductaanpassingDoorKlant_26,BestellingOnlineVolgen_27,KlantspecifiekeInfoVoorDeBezoeker_28,VerwijzingNaarSocialeMedia_29,AntiVirussoftware_30,BeleidVoorSterkeWachtwoorden_31,BiometrischeMethoden_32,AuthenticatieViaSoftOfHardwaretoken_33,EncryptieVanData_34,GegevensOpAndereFysiekeLocatie_35,NetworkAccessControl_36,VPNInternetgebruikBuitenHetBedrijf_37,LogbestandenVoorAnalyseIncidenten_38,MethodesVoorBeoordelenICTVeiligheid_39,Risicoanalyses_40,ICTVeiligheidVolgEnDetectiesysteem_41,IncidentMetInterneOorzaakGehad_42,IncidentDoorAanvalVanBuitenGehad_43,UitvalICTDienstDoorVeiligheidsinc_44,VernietigingDataDoorVeiligheidsinc_45,OnthullingDoorInternIncident_46,UitvalICTDienstDoorAanvalBuitenaf_47,VernietigingDataAanvalVanBuitenaf_48,OnthullingGegevensDoorICTInbraak_49,KostenIncidentInternGehad_50,KostenIncidentAanvalBuitenafGehad_51,UitvalICTDienstDoorVeiligheidsinc_52,VernietigingDataDoorVeiligheidsinc_53,OnthullingDoorInternIncident_54,UitvalICTDienstDoorAanvalBuitenaf_55,VernietigingDataAanvalBuitenaf_56,OnthullingDoorICTInbraak_57,Kosten1VanDeTotaleOmzet_58,Kosten1Tot2VanDeTotaleOmzet_59,Kosten2Tot5VanDeTotaleOmzet_60,Kosten5Tot10VanDeTotaleOmzet_61,Kosten10Tot50VanDeTotaleOmzet_62,Kosten50VanDeTotaleOmzet_63,Kosten1VanDeTotaleOmzet_64,Kosten1Tot2VanDeTotaleOmzet_65,Kosten2Tot5VanDeTotaleOmzet_66,Kosten5Tot10VanDeTotaleOmzet_67,Kosten10Tot50VanDeTotaleOmzet_68,Kosten50VanDeTotaleOmzet_69,RansomwareAanvalGehad_70,LosgeldBetaald_71,BetalingLosgeldZinvol_72,AndereKostenRansomwareAanvalGehad_73,k_1VanDeTotaleOmzet_74,k_1Tot2VanDeTotaleOmzet_75,k_2Tot5VanDeTotaleOmzet_76,k_5Tot10VanDeTotaleOmzet_77,k_10Tot50VanDeTotaleOmzet_78,k_50VanDeTotaleOmzet_79,Kosten1VanDeTotaleOmzet_80,Kosten1Tot2VanDeTotaleOmzet_81,Kosten2Tot5VanDeTotaleOmzet_82,Kosten5Tot10VanDeTotaleOmzet_83,Kosten10Tot50VanDeTotaleOmzet_84,Kosten50VanDeTotaleOmzet_85,Politie_86,Cybersecurity_87,VerzekeringICTVeiligheidsincidenten_88,GezochtNaarMeldingenCyberdreigingen_89,BekendMetDTC_90,DTCWebsiteAlsBronGebruikt_91,MilieuBetrokken_92,Papierverbruik_93,Energieverbruik_94,MilieuBewustBijICTAanschaf_95,Ja_96,Nee_97,NVT_98,Ja_99,Nee_100,NVT_101,Ja_102,Nee_103,NVT_104
10,300023,16,73,34,27.0,5,10,5,85,97,2,1,0,9,27,2,62,80,7,30,26,12,6,49,38,12,3,5,7,20,86,60,30,34,23,61,16,19,15,11,9,8,3,2,3,1,1,2,1,1,2,1,2,1,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,3,8,2,100,59,43,22,62,7,31,31,34,35,11,35,55
11,900008,19,70,36,38.0,9,7,8,85,95,4,0,1,5,30,4,61,65,5,22,24,11,3,19,7,3,0,0,0,1,77,65,24,35,22,47,11,14,9,5,7,3,1,4,1,1,1,1,0,3,1,0,1,0,1,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3,4,4,1,100,51,34,19,55,9,35,19,36,45,7,27,66
12,351900,13,73,41,26.0,12,6,4,90,93,5,0,2,12,24,0,64,68,7,21,21,15,2,32,26,6,0,1,2,14,80,65,31,32,31,56,15,20,19,14,15,11,5,4,5,1,1,4,1,1,1,1,0,1,0,1,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,6,2,5,1,100,64,43,20,48,6,46,21,33,45,10,27,63
13,354300,7,56,38,6.0,0,18,5,77,100,0,0,0,16,26,0,57,85,10,34,30,8,3,51,39,13,2,7,5,23,82,61,18,23,15,61,15,16,10,8,11,5,2,5,2,0,0,3,2,3,0,3,0,0,0,3,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3,0,5,2,100,61,33,15,54,10,36,23,39,38,11,34,54
14,356900,21,80,38,14.0,21,18,7,75,84,7,4,5,20,30,5,45,89,5,30,39,11,4,55,39,21,2,14,9,23,91,73,34,32,14,75,21,12,20,11,12,11,7,7,7,0,0,4,0,4,2,0,2,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,4,9,2,100,71,43,41,54,7,39,27,38,36,11,39,50
15,371600,18,81,32,4.0,14,35,6,59,88,4,4,5,7,43,1,48,78,8,24,29,16,1,61,57,41,6,29,22,37,71,72,29,34,24,58,24,19,23,14,19,12,4,4,4,1,1,1,2,4,1,1,1,0,0,0,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,6,5,6,2,100,61,42,35,40,13,47,31,19,49,11,24,65
16,389200,12,86,27,17.0,14,35,5,61,93,3,2,3,11,31,4,55,83,5,22,34,17,6,66,58,42,7,5,21,29,86,65,24,23,20,52,28,18,19,12,15,12,5,5,4,3,2,3,3,3,1,1,1,0,0,1,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,4,10,1,100,61,43,32,61,7,32,20,40,40,13,34,53
17,390500,26,74,30,12.0,11,30,9,61,93,4,4,0,2,35,7,56,57,7,20,15,11,4,39,35,17,4,4,20,17,69,54,24,19,19,50,22,19,15,9,7,7,6,6,6,0,0,4,4,2,4,0,4,0,0,0,0,0,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,2,2,2,0,100,43,17,28,52,0,48,22,20,57,9,30,61
18,391705,27,82,32,25.0,32,7,7,87,80,9,9,1,6,44,4,46,84,4,24,32,17,8,60,42,9,0,1,6,42,71,70,40,60,30,78,22,26,13,5,8,2,6,3,5,3,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,9,4,3,100,65,42,40,50,15,35,42,24,34,28,28,44
19,394100,12,67,37,31.0,50,29,10,62,63,13,15,8,10,56,8,27,94,6,27,35,21,6,40,21,10,6,6,13,21,88,83,50,67,44,77,52,37,35,31,27,25,6,8,6,0,0,6,2,4,0,2,0,0,0,2,2,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,8,17,19,6,100,77,56,44,71,8,21,40,40,19,21,40,38
20,395005,15,67,33,52.0,64,22,19,58,47,14,19,20,9,59,4,28,92,1,22,33,28,8,58,36,7,1,4,9,30,88,91,53,77,64,89,56,50,46,18,31,22,9,3,9,1,0,2,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,19,27,26,3,100,74,54,45,62,14,23,58,20,22,24,39,38
21,900016,26,74,35,29.0,54,43,14,43,62,8,20,11,28,34,5,34,78,8,20,26,20,5,31,25,5,2,0,9,11,88,80,37,57,29,80,48,34,31,29,23,22,8,6,8,2,0,6,2,5,3,3,3,2,0,3,0,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,9,11,12,3,100,74,49,46,86,3,11,23,45,32,17,38,45
22,900027,50,75,22,,75,75,25,0,50,25,0,25,50,25,0,25,75,0,25,25,0,25,0,0,0,0,0,0,0,75,75,50,50,25,75,75,50,75,50,75,25,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,25,0,0,100,100,75,25,50,0,50,25,25,50,25,25,50
23,900021,17,70,39,13.0,45,24,9,67,61,15,11,14,39,31,9,21,85,3,12,40,23,6,38,31,8,0,0,6,15,87,85,42,66,37,88,44,35,42,27,31,22,10,8,9,2,0,6,2,3,3,3,3,0,0,3,0,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,19,9,15,5,100,85,44,44,69,10,21,39,35,26,12,44,44
24,402100,23,74,34,15.0,26,18,8,73,79,8,8,5,24,33,7,36,84,8,22,35,13,6,55,45,7,1,1,8,22,91,72,37,43,32,77,31,31,25,17,18,10,10,6,10,2,0,4,1,3,3,1,2,1,0,1,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,12,7,7,2,100,77,43,36,66,11,23,32,40,29,13,41,46
25,900009,20,78,32,28.0,55,17,16,67,54,18,13,16,19,44,6,31,82,3,28,33,14,4,36,30,4,0,0,2,19,94,77,42,59,35,86,41,40,26,19,17,13,10,5,8,4,0,4,1,1,3,0,2,1,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,10,9,10,2,100,77,40,38,66,13,21,36,36,29,18,40,42
26,405900,22,83,33,16.0,39,16,17,67,67,12,15,6,18,43,4,35,89,5,30,34,15,5,44,26,1,0,0,4,10,91,66,38,48,24,79,23,18,21,7,12,7,11,7,10,1,1,2,4,2,4,2,2,0,1,0,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,9,6,1,100,74,48,38,67,10,23,43,33,24,12,43,45
27,406800,26,88,27,31.0,41,23,22,56,73,9,9,8,15,49,2,33,80,3,27,32,16,2,46,32,7,2,2,3,22,84,85,35,45,37,81,38,29,28,12,22,9,9,3,7,4,1,2,2,1,4,2,3,3,1,1,2,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,5,11,5,2,100,67,42,44,63,15,22,51,24,26,16,44,39
28,408100,14,83,30,29.0,34,8,12,80,80,12,6,2,6,46,6,42,82,8,22,23,20,9,68,46,5,2,0,3,38,74,71,35,57,37,82,18,17,22,8,8,5,11,2,9,3,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,6,12,11,2,100,75,37,40,66,12,22,42,32,26,23,37,40
29,800023,19,82,28,33.0,23,12,11,77,82,7,8,3,6,43,3,49,86,4,22,40,15,5,58,42,12,1,1,8,35,89,71,32,47,35,85,20,26,27,12,21,4,7,4,7,1,0,1,0,3,1,1,1,1,0,1,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,13,11,1,100,77,48,46,53,15,32,46,27,27,17,34,49
30,410300,11,65,27,16.0,9,11,6,83,95,2,2,2,5,24,3,68,77,9,32,24,9,3,68,52,24,2,3,9,23,77,56,18,33,23,62,21,21,21,8,15,11,8,8,8,2,0,3,2,3,0,2,0,0,0,0,2,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,5,3,6,3,100,55,39,32,53,9,38,20,32,48,3,33,64
31,412700,27,81,34,52.0,49,18,15,67,55,19,14,12,17,35,5,44,81,1,27,26,21,6,58,47,9,1,1,13,29,88,72,36,47,36,77,33,35,29,19,14,12,8,6,6,1,1,4,0,4,3,0,3,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,12,8,17,5,100,81,53,42,56,13,31,31,32,37,19,33,47
32,413700,32,82,28,16.0,20,25,11,63,89,7,4,0,21,35,3,41,76,7,23,31,8,7,70,58,25,7,7,10,42,92,82,25,38,27,76,34,37,24,20,24,15,6,6,6,1,0,3,1,1,0,1,0,0,0,1,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,10,6,13,3,100,86,56,44,63,6,31,31,31,38,13,37,51
33,900011,13,73,30,24.0,23,13,9,79,81,6,5,8,9,35,3,54,83,6,30,28,16,3,35,29,6,1,2,2,12,81,58,22,32,23,59,21,22,20,14,17,10,1,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,5,5,5,0,100,64,40,25,44,10,46,30,18,52,8,30,62
34,422500,16,82,27,15.0,38,21,8,71,76,7,8,10,24,22,8,46,79,2,24,30,19,4,57,53,19,1,3,20,31,88,71,48,59,49,77,36,22,25,16,22,14,7,3,7,0,0,1,2,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,10,5,8,2,100,82,51,57,56,12,32,27,37,35,16,34,49
35,425305,21,78,30,25.0,30,11,16,73,88,12,0,0,10,32,2,56,78,6,22,22,19,8,35,23,4,0,0,16,12,82,69,20,32,29,60,9,10,10,18,14,8,6,2,4,2,2,2,0,2,0,2,0,0,0,2,0,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,4,8,2,100,64,41,28,42,4,54,16,24,60,14,26,60
36,437600,7,73,33,13.0,42,9,2,89,69,16,9,7,1,68,4,28,97,3,31,36,23,6,72,60,20,4,6,15,27,91,84,47,66,55,83,53,41,40,20,34,22,10,6,9,3,2,5,3,2,1,1,1,1,0,1,0,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,13,30,28,11,100,78,70,46,79,8,14,58,27,15,32,31,37
37,332915,16,67,34,48.0,63,23,18,59,47,14,19,20,8,60,3,28,93,3,21,33,28,8,59,38,9,1,3,9,30,89,90,54,75,62,88,56,48,47,18,30,21,9,5,9,1,0,2,0,2,1,0,1,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,19,26,25,3,100,73,53,46,62,14,24,58,20,22,24,38,37
