ID,Bedrijfsactiviteiten,Perioden,Bedrijven_1,WerknemersUltimoSeptember_2,TotaalProductiewaarde_3,TotaalIndustrieleVerkopen_4,BinnenlandseVerkopen_5,BuitenlandseVerkopen_6,Exportrestituties_7,VoorraadmutatiesProducten_8,TotaalMargeHandelOvOpbrengsten_9,GeactiveerdeKosten_10,Schadeuitkeringen_11,MargeHandel_12,OpbrengstOverigeActiviteiten_13,TotaalVerbruikswaarde_14,TotaalIndustrieleInkopen_15,GrondEnHulpstoffen_16,Verpakkingsmaterialen_17,LoondienstenInNederland_18,LoondienstenInBuitenland_19,BetalingenAanUitzendbureaus_20,KostenIngehuurdPersoneel_21,Vrachtkosten_22,OntvangenKortingen_23,TerugontvangenHeffingenED_24,VoorraadmutatiesGrondEnHulpstoffen_25,KostenEnergieverbruik_26,OverigeBedrijfskosten_27,TotaalToegevoegdeWaarde_28,TotaalArbeidskosten_29,BrutoLonenEnSalarissen_30,PremiesSocialeVerzekeringen_31,PremiesPensioenEnVUT_32,OverigeUitgavenSocialeVoorzieningen_33,HeffingenEnBelastingen_34,TotaalBrutoBedrijfsresultaat_35,SaldoInterest_36,SaldoBuitengewoneBastenLasten_37,SaldoVoorzieningen_38,AfschrijvingenOpVasteActiva_39,ResultaatVoorBelastingen_40,TotaalOverigeBedrijfskosten_41,TotaalHuurInclLease_42,GebouwenEnTerreinen_43,MachinesInstallatiesED_44,Vervoermiddelen_45,TotaalOnderhoudsEnReparatiekosten_46,GebouwenEnTerreinen_47,MachinesInstallatiesED_48,Vervoermiddelen_49,SchoonhoudenGebouwenEnTerreinen_50,KostenHulpmaterialen_51,KostenHandEnMachinegereedschappen_52,PremiesSchadeverzekeringen_53,BrandstofkostenVervoermiddelen_54,ReisEnVerblijfkosten_55,ReclameBeursEnRepresentatiekosten_56,BankEnIncassokosten_57,Communicatiekosten_58,AccountantAdmAdvRechtshulp_59,Automatiseringskosten_60,ResearchEnOntwikkelingskosten_61,DoorbelasteKostenAlgemeenBeheer_62,KantoorbehContributiesAbonnVaklit_63,Opleidingskosten_64,OverigePersoneelskosten_65,VuilafvoerVuilverwerking_66,Commissarissenbeloning_67,OctrooiEnLicentierechten_68,OverigeAlgemeneKosten_69,CodeBedrijfsactiviteit_70
10,DA    ,1996JJ00,881.0,112355.0,37224.0,35825.0,19636.0,15733.0,456.0,48.0,1352.0,20.0,6.0,905.0,421.0,27755.0,23780.0,20681.0,2238.0,224.0,50.0,338.0,88.0,185.0,17.0,5.0,131.0,477.0,3628.0,9469.0,4030.0,3310.0,231.0,385.0,104.0,1631.0,3809.0,-185.0,228.0,-102.0,1130.0,2620.0,3628.0,257.0,126.0,57.0,74.0,661.0,93.0,450.0,39.0,79.0,96.0,23.0,83.0,43.0,96.0,1174.0,23.0,59.0,113.0,86.0,67.0,187.0,66.0,29.0,122.0,27.0,6.0,36.0,374.0,DA    
11,DA    ,1997JJ00,882.0,111305.0,39034.0,37452.0,19994.0,17014.0,444.0,119.0,1464.0,18.0,11.0,949.0,486.0,29075.0,24871.0,21604.0,2289.0,248.0,57.0,398.0,95.0,205.0,20.0,4.0,167.0,516.0,3855.0,9960.0,4046.0,3333.0,241.0,349.0,123.0,1659.0,4254.0,-123.0,208.0,-152.0,1151.0,3035.0,3855.0,251.0,121.0,53.0,77.0,673.0,95.0,455.0,39.0,84.0,104.0,22.0,82.0,43.0,104.0,1269.0,26.0,64.0,128.0,112.0,76.0,204.0,69.0,32.0,118.0,29.0,6.0,35.0,408.0,DA    
12,DA    ,1998JJ00,891.0,111997.0,40375.0,38375.0,19996.0,17980.0,399.0,76.0,1925.0,39.0,19.0,1371.0,496.0,30285.0,25820.0,22491.0,2291.0,275.0,53.0,440.0,103.0,196.0,27.0,4.0,20.0,521.0,3965.0,10090.0,4157.0,3287.0,402.0,332.0,137.0,1703.0,4230.0,-101.0,418.0,-34.0,1257.0,3257.0,3965.0,269.0,137.0,57.0,75.0,718.0,98.0,494.0,39.0,87.0,95.0,20.0,77.0,44.0,105.0,1208.0,23.0,63.0,142.0,118.0,79.0,245.0,72.0,34.0,137.0,29.0,5.0,46.0,436.0,DA    
13,DA    ,1999JJ00,895.0,113509.0,40247.0,38478.0,20067.0,17913.0,498.0,93.0,1675.0,26.0,18.0,1169.0,462.0,29811.0,25158.0,21769.0,2356.0,236.0,51.0,464.0,121.0,192.0,28.0,3.0,-13.0,499.0,4141.0,10436.0,4290.0,3392.0,433.0,332.0,133.0,1816.0,4330.0,-149.0,571.0,-6.0,1348.0,3399.0,4141.0,277.0,145.0,63.0,69.0,754.0,92.0,529.0,40.0,93.0,103.0,20.0,75.0,47.0,111.0,1245.0,25.0,64.0,152.0,126.0,87.0,224.0,72.0,34.0,148.0,34.0,7.0,49.0,487.0,DA    
14,15    ,1993JJ00,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15    
15,15    ,1994JJ00,922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15    
16,15    ,1995JJ00,887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15    
17,15    ,1996JJ00,870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15    
18,15    ,1997JJ00,871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15    
19,15    ,1998JJ00,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15    
20,15    ,1999JJ00,882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15    
21,151   ,1993JJ00,193.0,22837.0,6257.0,6187.0,3232.0,2900.0,55.0,-12.0,82.0,1.0,1.0,59.0,21.0,5374.0,5020.0,4716.0,177.0,43.0,4.0,41.0,26.0,19.0,4.0,0.0,-1.0,45.0,306.0,884.0,628.0,522.0,57.0,35.0,13.0,10.0,245.0,-44.0,10.0,-19.0,104.0,89.0,306.0,34.0,16.0,10.0,8.0,86.0,12.0,50.0,6.0,18.0,12.0,3.0,10.0,6.0,8.0,41.0,5.0,7.0,10.0,5.0,2.0,15.0,7.0,2.0,21.0,3.0,1.0,0.0,28.0,151   
22,151   ,1994JJ00,202.0,22040.0,6232.0,6125.0,3244.0,2830.0,51.0,11.0,95.0,1.0,1.0,62.0,31.0,5390.0,5024.0,4688.0,185.0,36.0,1.0,53.0,26.0,39.0,3.0,0.0,-4.0,45.0,317.0,842.0,623.0,531.0,45.0,35.0,11.0,23.0,196.0,-43.0,-3.0,-9.0,105.0,35.0,317.0,43.0,21.0,14.0,8.0,88.0,10.0,52.0,6.0,20.0,9.0,2.0,12.0,7.0,8.0,41.0,5.0,7.0,11.0,6.0,3.0,18.0,7.0,2.0,20.0,4.0,0.0,0.0,24.0,151   
23,151   ,1995JJ00,204.0,20825.0,6260.0,6203.0,3285.0,2891.0,27.0,5.0,52.0,1.0,1.0,35.0,15.0,5416.0,5053.0,4719.0,185.0,39.0,0.0,60.0,31.0,21.0,2.0,0.0,3.0,45.0,320.0,844.0,595.0,510.0,43.0,34.0,8.0,30.0,219.0,-43.0,10.0,-14.0,104.0,69.0,320.0,42.0,21.0,12.0,9.0,86.0,10.0,50.0,6.0,20.0,10.0,3.0,13.0,10.0,6.0,40.0,4.0,7.0,11.0,6.0,4.0,20.0,7.0,2.0,20.0,5.0,0.0,0.0,24.0,151   
24,151   ,1996JJ00,198.0,20626.0,6824.0,6720.0,3800.0,2897.0,23.0,24.0,82.0,0.0,4.0,74.0,4.0,5897.0,5499.0,5124.0,190.0,48.0,0.0,75.0,44.0,21.0,2.0,0.0,5.0,49.0,353.0,927.0,599.0,508.0,45.0,35.0,12.0,36.0,292.0,-39.0,-2.0,-15.0,108.0,128.0,353.0,44.0,23.0,11.0,10.0,93.0,10.0,56.0,7.0,20.0,11.0,3.0,13.0,9.0,8.0,43.0,4.0,7.0,12.0,6.0,5.0,20.0,7.0,2.0,20.0,6.0,1.0,0.0,39.0,151   
25,151   ,1997JJ00,206.0,20771.0,7105.0,7012.0,3924.0,3056.0,32.0,16.0,76.0,1.0,1.0,69.0,5.0,6145.0,5712.0,5288.0,185.0,78.0,0.0,98.0,49.0,16.0,2.0,0.0,6.0,54.0,385.0,960.0,622.0,529.0,45.0,33.0,15.0,34.0,304.0,-38.0,12.0,-11.0,118.0,150.0,385.0,44.0,23.0,11.0,10.0,106.0,12.0,63.0,8.0,23.0,12.0,3.0,13.0,10.0,8.0,44.0,4.0,8.0,11.0,7.0,5.0,23.0,8.0,2.0,23.0,6.0,1.0,0.0,47.0,151   
26,151   ,1998JJ00,201.0,22177.0,6986.0,6868.0,3824.0,3033.0,11.0,-7.0,124.0,0.0,1.0,88.0,35.0,5953.0,5493.0,5069.0,177.0,66.0,1.0,100.0,65.0,18.0,2.0,0.0,-1.0,56.0,403.0,1033.0,668.0,540.0,74.0,34.0,20.0,43.0,322.0,-39.0,-3.0,-5.0,121.0,154.0,403.0,49.0,26.0,12.0,11.0,110.0,10.0,66.0,9.0,25.0,13.0,3.0,13.0,10.0,8.0,48.0,4.0,7.0,14.0,7.0,5.0,24.0,8.0,4.0,24.0,7.0,1.0,0.0,44.0,151   
27,151   ,1999JJ00,211.0,22483.0,7069.0,6958.0,3808.0,3105.0,45.0,-11.0,123.0,0.0,1.0,77.0,45.0,6043.0,5547.0,5066.0,189.0,82.0,0.0,118.0,74.0,20.0,1.0,0.0,0.0,57.0,438.0,1026.0,686.0,558.0,77.0,34.0,18.0,42.0,298.0,-40.0,10.0,-6.0,127.0,136.0,438.0,47.0,25.0,13.0,9.0,114.0,10.0,69.0,8.0,27.0,14.0,3.0,12.0,10.0,9.0,55.0,4.0,7.0,15.0,7.0,6.0,34.0,9.0,3.0,26.0,10.0,1.0,0.0,52.0,151   
28,1511  ,1993JJ00,77.0,8764.0,3689.0,3636.0,1621.0,1981.0,34.0,0.0,52.0,0.0,1.0,35.0,16.0,3363.0,3240.0,3141.0,18.0,38.0,2.0,11.0,22.0,9.0,1.0,0.0,-3.0,19.0,102.0,326.0,251.0,207.0,22.0,15.0,7.0,-1.0,76.0,-26.0,9.0,-11.0,40.0,8.0,102.0,10.0,4.0,2.0,4.0,28.0,6.0,13.0,3.0,6.0,4.0,1.0,6.0,2.0,5.0,3.0,3.0,4.0,5.0,2.0,0.0,3.0,3.0,0.0,8.0,1.0,1.0,0.0,13.0,1511  
29,1511  ,1994JJ00,83.0,8151.0,3560.0,3492.0,1535.0,1919.0,38.0,1.0,67.0,0.0,1.0,44.0,22.0,3264.0,3152.0,3039.0,19.0,30.0,0.0,15.0,22.0,28.0,1.0,0.0,3.0,17.0,98.0,297.0,237.0,200.0,18.0,14.0,5.0,12.0,48.0,-25.0,-5.0,-7.0,39.0,-28.0,98.0,11.0,6.0,2.0,3.0,27.0,4.0,13.0,3.0,7.0,3.0,1.0,6.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,0.0,4.0,3.0,0.0,6.0,2.0,0.0,0.0,10.0,1511  
30,1511  ,1995JJ00,83.0,7326.0,3548.0,3521.0,1634.0,1865.0,22.0,8.0,19.0,0.0,1.0,13.0,5.0,3249.0,3141.0,3046.0,19.0,31.0,0.0,17.0,23.0,7.0,1.0,0.0,5.0,17.0,96.0,299.0,208.0,180.0,16.0,10.0,2.0,18.0,73.0,-23.0,10.0,-9.0,37.0,14.0,96.0,9.0,5.0,1.0,3.0,26.0,4.0,13.0,3.0,6.0,3.0,1.0,7.0,5.0,2.0,2.0,2.0,3.0,5.0,2.0,0.0,5.0,3.0,0.0,6.0,3.0,0.0,0.0,12.0,1511  
31,1511  ,1996JJ00,74.0,7141.0,3780.0,3741.0,1903.0,1819.0,19.0,14.0,25.0,0.0,2.0,21.0,2.0,3455.0,3326.0,3209.0,18.0,33.0,0.0,22.0,32.0,12.0,0.0,0.0,0.0,18.0,111.0,326.0,209.0,181.0,15.0,9.0,4.0,23.0,94.0,-21.0,0.0,-5.0,35.0,33.0,111.0,11.0,5.0,2.0,4.0,27.0,4.0,14.0,3.0,6.0,3.0,2.0,6.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,0.0,5.0,2.0,0.0,6.0,3.0,1.0,0.0,24.0,1511  
32,1511  ,1997JJ00,82.0,7260.0,3854.0,3832.0,2002.0,1801.0,29.0,-6.0,28.0,0.0,1.0,25.0,2.0,3544.0,3409.0,3275.0,18.0,48.0,0.0,28.0,33.0,8.0,0.0,0.0,3.0,19.0,119.0,310.0,214.0,185.0,15.0,9.0,5.0,19.0,77.0,-20.0,9.0,-9.0,35.0,22.0,119.0,11.0,5.0,2.0,4.0,32.0,5.0,16.0,4.0,7.0,4.0,2.0,6.0,5.0,3.0,2.0,2.0,3.0,5.0,2.0,0.0,5.0,2.0,0.0,7.0,3.0,1.0,0.0,24.0,1511  
33,1511  ,1998JJ00,80.0,7682.0,3638.0,3597.0,1804.0,1783.0,10.0,0.0,40.0,0.0,1.0,11.0,28.0,3293.0,3147.0,3013.0,18.0,38.0,0.0,29.0,42.0,7.0,0.0,0.0,-3.0,20.0,123.0,345.0,236.0,191.0,28.0,10.0,7.0,28.0,82.0,-20.0,2.0,-4.0,36.0,24.0,123.0,12.0,5.0,2.0,5.0,32.0,4.0,17.0,4.0,7.0,4.0,2.0,6.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,1.0,5.0,2.0,1.0,7.0,3.0,1.0,0.0,24.0,1511  
34,1511  ,1999JJ00,78.0,7785.0,3524.0,3505.0,1621.0,1839.0,45.0,-20.0,39.0,0.0,1.0,11.0,27.0,3191.0,3052.0,2902.0,20.0,50.0,0.0,32.0,39.0,8.0,0.0,0.0,0.0,19.0,120.0,334.0,240.0,195.0,29.0,10.0,6.0,27.0,67.0,-20.0,-1.0,-4.0,35.0,7.0,120.0,9.0,4.0,1.0,4.0,32.0,4.0,16.0,4.0,8.0,4.0,2.0,5.0,5.0,3.0,4.0,2.0,3.0,5.0,2.0,0.0,6.0,2.0,1.0,7.0,4.0,1.0,0.0,23.0,1511  
35,1512  ,1993JJ00,42.0,4789.0,1060.0,1067.0,586.0,480.0,1.0,-15.0,9.0,0.0,0.0,5.0,4.0,888.0,822.0,777.0,24.0,2.0,1.0,10.0,1.0,7.0,0.0,0.0,0.0,10.0,55.0,173.0,121.0,101.0,12.0,4.0,3.0,7.0,45.0,-9.0,1.0,-2.0,21.0,15.0,55.0,7.0,3.0,2.0,2.0,16.0,1.0,10.0,1.0,4.0,4.0,0.0,2.0,2.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,7.0,1512  
36,1512  ,1994JJ00,42.0,4575.0,1151.0,1137.0,654.0,482.0,1.0,8.0,5.0,0.0,0.0,-3.0,8.0,977.0,907.0,859.0,25.0,3.0,0.0,10.0,1.0,9.0,0.0,0.0,0.0,10.0,60.0,175.0,121.0,105.0,10.0,5.0,2.0,7.0,46.0,-6.0,-2.0,-2.0,20.0,16.0,60.0,10.0,4.0,4.0,2.0,18.0,2.0,10.0,1.0,5.0,2.0,0.0,2.0,2.0,1.0,6.0,0.0,1.0,2.0,0.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,6.0,1512  
37,1512  ,1995JJ00,40.0,4372.0,1119.0,1109.0,627.0,481.0,1.0,-1.0,10.0,1.0,0.0,0.0,9.0,950.0,881.0,827.0,26.0,4.0,0.0,13.0,0.0,11.0,0.0,0.0,1.0,10.0,60.0,169.0,118.0,103.0,9.0,4.0,2.0,8.0,43.0,-7.0,-1.0,-1.0,21.0,14.0,60.0,9.0,4.0,3.0,2.0,17.0,2.0,10.0,1.0,4.0,2.0,0.0,2.0,2.0,1.0,5.0,0.0,1.0,2.0,0.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,0.0,7.0,1512  
38,1512  ,1996JJ00,39.0,4601.0,1220.0,1197.0,691.0,506.0,0.0,5.0,18.0,0.0,0.0,17.0,1.0,1026.0,950.0,884.0,34.0,7.0,0.0,17.0,2.0,6.0,0.0,0.0,2.0,11.0,67.0,194.0,122.0,105.0,9.0,5.0,3.0,8.0,64.0,-6.0,0.0,0.0,24.0,34.0,67.0,8.0,4.0,3.0,1.0,22.0,2.0,13.0,2.0,5.0,2.0,0.0,3.0,3.0,1.0,5.0,1.0,1.0,2.0,0.0,0.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,8.0,1512  
39,1512  ,1997JJ00,39.0,4674.0,1274.0,1252.0,687.0,565.0,0.0,16.0,6.0,0.0,0.0,5.0,1.0,1085.0,989.0,896.0,34.0,22.0,0.0,27.0,3.0,7.0,0.0,0.0,0.0,12.0,84.0,189.0,131.0,113.0,10.0,5.0,4.0,9.0,49.0,-7.0,0.0,-1.0,26.0,15.0,84.0,11.0,5.0,4.0,2.0,25.0,2.0,15.0,2.0,6.0,2.0,0.0,2.0,3.0,1.0,8.0,1.0,1.0,2.0,1.0,0.0,6.0,1.0,0.0,6.0,0.0,0.0,0.0,14.0,1512  
40,1512  ,1998JJ00,35.0,5031.0,1440.0,1431.0,812.0,619.0,0.0,-3.0,12.0,0.0,0.0,5.0,7.0,1245.0,1145.0,1058.0,31.0,20.0,0.0,25.0,2.0,10.0,0.0,0.0,0.0,13.0,88.0,195.0,140.0,114.0,15.0,6.0,5.0,10.0,45.0,-8.0,1.0,-2.0,27.0,10.0,88.0,16.0,8.0,5.0,3.0,27.0,2.0,15.0,3.0,7.0,2.0,0.0,3.0,3.0,1.0,8.0,1.0,1.0,2.0,1.0,0.0,6.0,1.0,0.0,6.0,1.0,0.0,0.0,9.0,1512  
41,1512  ,1999JJ00,36.0,4825.0,1400.0,1384.0,797.0,587.0,0.0,-1.0,17.0,0.0,0.0,7.0,10.0,1230.0,1120.0,1024.0,30.0,18.0,0.0,34.0,3.0,10.0,0.0,0.0,0.0,13.0,96.0,170.0,133.0,109.0,15.0,6.0,4.0,10.0,27.0,-8.0,0.0,-3.0,29.0,-14.0,96.0,15.0,9.0,5.0,1.0,26.0,2.0,16.0,2.0,6.0,3.0,0.0,2.0,3.0,1.0,12.0,0.0,1.0,2.0,1.0,1.0,8.0,1.0,0.0,6.0,2.0,0.0,0.0,12.0,1512  
