ID,BedrijfstakkenBranchesSBI2008,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,ICTPersAangenomenWillenAannemen_6,ICTVacaturesLastigTeVervullen_7,ICTSpecialistenInLoondienst_8,ICTSpecOntwEnOnderhoudSoftware_9,ICTCursusAanICTSpecialisten_10,ICTCursusAanOverigPersoneel_11,VoornUitgDoorEigenPersoneel_12,VoornUitgDoorExterneLeveranciers_13,NietVanToepassing_14,VoornUitgDoorEigenPersoneel_15,VoornUitgDoorExterneLeveranciers_16,NietVanToepassing_17,VoornUitgDoorEigenPersoneel_18,VoornUitgDoorExterneLeveranciers_19,NietVanToepassing_20,VoornUitgDoorEigenPersoneel_21,VoornUitgDoorExterneLeveranciers_22,NietVanToepassing_23,VoornUitgDoorEigenPersoneel_24,VoornUitgDoorExterneLeveranciers_25,NietVanToepassing_26,VoornUitgDoorEigenPersoneel_27,VoornUitgDoorExterneLeveranciers_28,NietVanToepassing_29,VoornUitgDoorEigenPersoneel_30,VoornUitgDoorExterneLeveranciers_31,NietVanToepassing_32,Internet_33,VasteBreedbandAansluiting_34,MinderDan2MegabitPerSeconde_35,k_2Tot10MegabitPerSeconde_36,k_10Tot30MegabitPerSeconde_37,k_30Tot100MegabitPerSeconde_38,k_100MegabitPerSecondeOfMeer_39,ApparaatVerschaftAanWerknemers_40,ToegangEMailsysteemVanHetBedrijf_41,ToegangTotBestandenVanHetBedrijf_42,ToegangTotBedrijfssystemenBijvERP_43,BedrijvenMetWebsite_44,OnlineBestellenBoekenOfReserveren_45,BeschrijvingenVanProductenPrijslijst_46,BestellingOnlineVolgen_47,ProductaanpassingDoorKlant_48,KlantspecifiekeInfoVoorDeBezoeker_49,VerwijzingNaarSocialeMedia_50,AdverterenOpInternet_51,InhoudVanDeWebsite_52,EerdereActiviteitenVanDeGebruiker_53,GeografischeLocaties_54,AndereGerichteMethoden_55,CloudDienstenGebruikt_56,EMailAlsCloudDienst_57,OfficeSoftware_58,DatabaseHosting_59,BestandenOpslaanAlsCloudDienst_60,SoftwareVoorBoekhouding_61,SoftwareKlantinformatiebeheer_62,RekenkrachtVoorSoftwareBedrijf_63,GedeeldeServers_64,ServersUitsluitendVoorHetBedrijf_65,Uitgevoerd_66,BedrijfZelf_67,AnderBedrijf_68,PrototypesModellenVoorVerkoop_69,PrototypesModellenVoorInternGebruik_70,ProductenVoorVerkoop_71,ProductenVoorInternGebruik_72,Gebruikt_73,IndustrieleRobot_74,ServiceRobot_75,MeerBanenOntstaanDanVerdwenen_76,MeerBanenVerdwenenDanOntstaan_77,GeenEffectMBTBanen_78,Uitgevoerd_79,DataVanBedrijfZelf_80,DataOverGeografischeLocaties_81,DataVanSocialeMedia_82,AndereBronnen_83,MedewerkersEigenBedrijf_84,AnderBedrijf_85,Antivirussoftware_86,BeleidVoorSterkeWachtwoorden_87,AuthenticatieViaSoftOfHardwareToken_88,EncryptieVoorHetOpslaanVanData_89,EncryptieVoorHetVersturenVanData_90,GegevensOpAndereFysiekeLocatie_91,NetworkAccessControl_92,VPNBijInternetgebruikBuitenHetEigen_93,LogbestandenVoorAnalyseIncidenten_94,MethodesVoorBeoordelenITCVeiligheid_95,Risicoanalyses_96,AndereMaatregelen_97,IncidentOpgetreden_98,KostenGehadAanICTIncident_99,IncidentDoorAanvalVanBuiten_100,KostenIncidentAanvalBuitenaf_101,UitvalICTDienstDoorVeiligheidsinc_102,UitvalICTDienstDoorAanvalBuitenaf_103,VernietigingDataDoorVeiligheidsinc_104,VernietigingDataAanvalVanBuitenaf_105,OnthullingGegevensDoorICTInbraak_106,OnthullingGegevensDoorInternIncident_107,UitvalICTDienstDoorVeiligheidsinc_108,UitvalICTDienstDoorAanvalBuitenaf_109,VernietigingDataDoorVeiligheidsinc_110,VernietigingDataAanvalVanBuitenaf_111,OnthullingGegevensDoorICTInbraak_112,OnthullingGegevensDoorInternIncident_113,MeestalVolledigAutomatisch_114,MeestalDeelsHandmatig_115,NietVanToepassing_116,AndereBedrijven_117,Overheden_118,Consumenten_119,EFactuur_120,ElektronischMaarGeenEFactuur_121,InPapierenVorm_122,EFactuur_123,GeenEFactuur_124,EFacturenVerzonden_125,EFacturenOntvangen_126,VerkoopViaECommerce_127,ViaWebsiteOfAppsVanEigenBedrijf_128,ViaWebsiteOfAppsVanAndereBedrijven_129,Verkoopwaarde1VanDeTotaleOmzet_130,Verkoopwaarde1VanDeTotaleOmzet_131,Verkoopwaarde2VanDeTotaleOmzet_132,Verkoopwaarde5VanDeTotaleOmzet_133,Verkoopwaarde10VanDeTotaleOmzet_134,Verkoopwaarde25VanDeTotaleOmzet_135,Verkoopwaarde50VanDeTotaleOmzet_136,VerkoopViaEenWebsiteApp_137,Verkoopwaarde1VanDeTotaleOmzet_138,Verkoopwaarde1VanDeTotaleOmzet_139,Verkoopwaarde2VanDeTotaleOmzet_140,Verkoopwaarde5VanDeTotaleOmzet_141,Verkoopwaarde10VanDeTotaleOmzet_142,Verkoopwaarde25VanDeTotaleOmzet_143,Verkoopwaarde50VanDeTotaleOmzet_144,NederlandseConsumenten_145,BuitenlandseConsumenten_146,Bedrijven_147,Overheden_148,KlantenInNederland_149,KlantenInAndereEULanden_150,KlantenInLandenBuitenDeEU_151,VerkoopViaEDI_152,Verkoopwaarde1VanDeTotaleOmzet_153,Verkoopwaarde1VanDeTotaleOmzet_154,Verkoopwaarde2VanDeTotaleOmzet_155,Verkoopwaarde5VanDeTotaleOmzet_156,Verkoopwaarde10VanDeTotaleOmzet_157,Verkoopwaarde25VanDeTotaleOmzet_158,Verkoopwaarde50VanDeTotaleOmzet_159,KlantenInNederland_160,KlantenInAndereEULanden_161,KlantenInLandenBuitenDeEU_162,InkoopViaECommerce_163,Inkoopwaarde1VanDeTotaleInkoop_164,Inkoopwaarde1VanDeTotaleInkoop_165,Inkoopwaarde2VanDeTotaleInkoop_166,Inkoopwaarde5VanDeTotaleInkoop_167,Inkoopwaarde10VanDeTotaleInkoop_168,Inkoopwaarde25VanDeTotaleInkoop_169,Inkoopwaarde50VanDeTotaleInkoop_170,InkoopViaEenWebsiteApp_171,Inkoopwaarde1VanDeTotaleInkoop_172,Inkoopwaarde1VanDeTotaleInkoop_173,Inkoopwaarde2VanDeTotaleInkoop_174,Inkoopwaarde5VanDeTotaleInkoop_175,Inkoopwaarde10VanDeTotaleInkoop_176,Inkoopwaarde25VanDeTotaleInkoop_177,Inkoopwaarde50VanDeTotaleInkoop_178,AanbiedersInNederland_179,AanbiedersInAndereEULanden_180,AanbiedersInLandenBuitenDeEU_181,InkoopViaEDI_182,Inkoopwaarde1VanDeTotaleInkoop_183,Inkoopwaarde1VanDeTotaleInkoop_184,Inkoopwaarde2VanDeTotaleInkoop_185,Inkoopwaarde5VanDeTotaleInkoop_186,Inkoopwaarde10VanDeTotaleInkoop_187,Inkoopwaarde25VanDeTotaleInkoop_188,Inkoopwaarde50VanDeTotaleInkoop_189,AanbiedersInNederland_190,AanbiedersInAndereEULanden_191,AanbiedersInLandenBuitenDeEU_192
10,300023,48,45,21,20,82,9,6,1,0,17,23,24,72,4,39,52,9,12,66,21,24,64,13,15,62,23,17,57,26,19,74,7,100,98,0,12,17,37,32,70,67,47,47,95,23,78,6,6,21,58,28,25,11,10,13,44,30,24,29,30,17,16,12,33,23,13,9,9,9,10,8,7,17,17,0,2,2,13,19,9,6,9,6,17,6,98,74,41,33,33,90,49,65,63,49,43,26,44,26,16,10,41,12,7,7,3,4,22,8,4,5,1,1,52,41,6,94,36,44,7,59,33,14,86,19,40,16,80,20,7,9,7,6,4,3,2,15,7,8,7,5,4,2,2,28,3,63,6,86,10,4,2,1,1,1,1,1,1,0,86,10,4,72,31,41,32,25,21,14,7,71,32,39,30,24,19,11,5,91,7,3,6,2,5,4,4,3,1,1,88,9,3
11,800036,83,81,56,47,86,24,16,5,3,25,28,28,65,7,37,55,8,22,60,18,27,57,16,12,74,14,16,69,16,20,72,8,100,99,0,14,18,35,32,80,72,54,57,95,27,74,11,7,25,54,26,22,8,9,11,53,30,31,38,35,23,17,11,41,28,6,3,5,3,5,1,3,3,1,2,0,0,3,38,29,20,13,14,34,15,97,78,48,33,35,90,59,67,68,58,49,31,54,27,18,7,48,9,9,13,3,6,21,3,3,5,2,1,62,31,7,94,56,52,12,52,36,18,82,26,42,19,83,17,8,11,9,6,6,2,1,18,8,10,9,6,6,1,0,57,4,36,4,95,3,3,6,3,3,1,1,1,1,0,83,17,0,56,31,25,18,15,13,6,4,55,32,23,17,14,10,5,4,94,5,1,5,2,4,4,4,3,1,0,87,13,1
12,900008,75,73,48,42,73,7,2,1,0,10,21,24,70,6,38,50,12,15,51,35,19,59,22,12,61,27,14,61,25,14,75,11,100,98,0,15,20,34,30,74,61,45,44,95,7,70,2,1,15,60,20,19,3,4,3,43,22,22,29,30,23,16,7,29,24,4,3,1,2,2,0,0,2,2,0,0,0,2,19,7,10,6,3,15,9,97,67,40,20,25,86,38,47,54,39,38,25,50,27,21,11,42,14,7,14,2,3,22,9,3,5,1,1,51,34,14,95,57,77,6,60,34,15,85,18,44,6,97,3,3,4,4,3,2,1,0,4,2,2,2,2,2,0,0,32,0,62,6,99,1,0,4,1,3,3,2,1,1,0,99,1,0,66,45,22,17,11,8,3,3,66,45,22,17,11,5,3,3,99,1,0,6,1,5,5,5,1,1,1,95,4,1
13,351900,72,69,45,35,78,5,3,1,0,7,16,13,80,8,28,59,14,9,63,27,12,66,22,12,64,24,13,63,24,11,77,13,100,99,0,18,21,37,23,73,61,37,47,94,19,71,2,2,18,51,20,18,8,7,11,41,25,20,26,26,21,13,7,29,18,3,2,1,1,2,0,0,3,3,0,1,0,2,16,6,9,5,3,13,4,96,64,34,24,21,82,42,50,48,42,38,18,53,26,21,11,46,18,12,7,4,3,23,10,6,4,3,1,63,25,12,95,56,73,11,52,37,24,76,25,53,10,90,10,5,5,4,4,4,3,1,9,5,5,4,3,3,2,1,35,5,59,2,90,7,2,2,1,1,1,1,1,1,1,99,1,0,70,30,39,33,27,24,20,15,69,33,36,30,23,19,17,11,97,2,1,14,3,11,10,10,8,6,2,99,1,0
14,354300,76,73,17,17,77,6,4,1,1,5,10,19,76,5,35,51,14,10,62,28,15,67,17,13,69,18,16,65,19,14,76,10,100,100,0,13,21,37,29,49,44,29,30,96,59,85,10,8,30,71,54,53,19,24,25,41,24,18,30,26,26,20,9,27,20,3,1,3,2,2,3,1,7,7,3,0,1,6,18,6,9,14,6,13,11,97,66,43,29,30,91,59,61,60,45,42,21,49,26,18,14,40,11,9,9,2,1,20,9,4,7,2,0,59,31,10,93,32,79,9,41,50,20,80,32,47,32,76,24,13,19,16,12,11,8,5,30,13,17,15,11,10,8,3,34,6,59,2,86,10,4,6,3,3,2,2,2,2,1,82,18,0,76,39,37,30,26,20,15,6,74,42,33,25,20,13,11,4,90,9,1,12,5,7,7,7,7,3,2,90,6,3
15,356900,78,74,33,31,88,13,8,3,1,21,26,34,63,3,49,43,8,24,63,13,31,61,8,22,62,16,28,57,15,28,66,6,100,100,0,9,16,39,35,79,75,58,58,95,42,84,17,5,28,65,33,30,13,11,15,49,33,29,34,35,21,21,10,36,26,6,3,4,4,4,3,3,8,6,2,2,1,5,22,13,6,10,8,20,7,99,77,42,33,30,90,58,67,72,48,50,29,54,23,17,8,48,11,6,9,2,4,18,5,3,4,1,1,59,35,6,96,35,35,12,60,28,17,83,35,40,41,88,12,14,27,25,21,18,13,7,33,13,20,17,14,11,7,4,21,4,72,2,81,15,4,18,6,13,12,10,8,5,2,75,20,4,63,37,27,21,16,14,10,6,60,37,23,17,13,10,6,4,87,11,3,9,3,6,6,5,4,3,2,69,26,5
16,371600,50,43,8,9,64,14,9,2,1,11,16,30,62,8,32,51,17,20,59,21,22,60,18,23,60,17,25,57,17,21,67,12,100,99,0,14,23,39,22,39,33,24,24,89,67,75,38,13,42,67,50,44,31,34,31,43,31,26,35,34,31,23,15,33,25,1,1,1,1,1,0,1,3,2,1,0,1,2,29,12,7,22,13,22,15,94,72,43,34,33,79,48,49,56,42,39,22,44,18,15,8,39,13,9,6,5,5,15,8,5,4,3,2,57,28,16,78,24,70,7,44,48,22,78,18,53,56,90,10,19,37,31,27,25,18,15,53,19,34,27,24,21,14,12,73,10,17,1,89,10,1,9,4,5,5,5,4,4,4,93,7,0,66,34,32,29,25,21,16,12,62,37,25,21,17,14,11,7,90,9,2,16,6,10,10,8,7,6,5,85,14,1
17,383100,70,64,36,32,77,8,6,1,1,10,14,25,65,10,34,49,17,14,55,32,19,52,30,12,58,30,17,53,30,17,64,19,100,99,0,14,20,43,23,65,50,34,38,90,29,76,14,6,23,46,19,17,4,6,6,45,28,22,29,29,29,16,9,31,21,1,1,0,0,0,0,0,3,2,2,0,0,2,20,13,12,5,5,17,6,94,72,41,29,29,84,45,49,56,38,42,23,46,21,18,10,40,15,5,9,2,3,16,9,2,5,1,1,58,25,17,94,26,34,8,61,31,16,84,21,42,25,72,28,7,18,18,15,13,9,5,14,6,8,7,6,5,3,2,28,6,63,3,82,15,3,16,4,13,12,11,9,6,4,69,24,7,54,34,20,16,12,8,4,2,54,34,19,15,11,8,3,2,95,4,1,5,4,1,1,1,1,0,0,82,15,2
18,389200,55,51,12,10,60,3,2,1,0,5,8,22,66,12,32,54,14,6,67,26,9,73,18,10,75,15,17,67,16,11,72,17,100,99,0,14,16,33,36,40,33,23,22,98,87,93,17,18,37,82,57,50,29,31,35,45,32,21,34,32,37,28,11,34,22,1,0,0,0,0,0,0,1,0,1,0,0,1,17,6,3,13,5,14,7,99,81,29,25,26,77,46,48,41,34,41,21,36,18,7,6,30,3,4,3,2,2,11,3,4,2,1,1,72,17,11,86,52,89,6,59,35,19,81,14,52,62,50,50,7,54,50,46,42,29,17,62,8,54,49,46,42,29,14,51,27,18,3,66,27,7,3,0,2,2,2,2,2,0,58,25,16,74,19,55,50,43,33,21,14,72,19,54,49,43,33,21,14,95,4,1,0,0,0,0,0,0,0,0,100,0,0
19,390500,38,34,5,9,46,0,0,0,0,1,1,17,54,30,26,35,39,7,39,53,10,46,44,10,60,30,9,59,33,10,58,32,100,100,0,20,26,36,17,21,19,13,15,92,57,87,11,8,31,63,38,30,16,20,19,29,19,10,18,21,21,8,3,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,2,15,3,12,7,82,54,15,14,15,56,26,18,24,18,18,5,33,10,7,1,30,5,6,2,1,3,10,1,1,1,0,2,56,16,28,77,44,68,5,44,51,22,78,14,53,24,68,32,11,13,11,10,8,5,3,23,11,13,11,10,8,5,3,68,7,18,7,95,3,2,2,1,0,0,0,0,0,0,70,15,15,61,30,32,29,20,19,14,12,61,30,31,29,20,18,13,12,97,3,0,2,1,1,1,1,1,1,0,92,8,0
20,391705,94,92,36,37,95,22,17,3,2,32,30,48,49,3,58,34,8,30,54,15,32,58,10,35,53,12,43,44,13,38,56,6,100,97,0,6,9,25,56,82,79,64,52,98,69,89,19,10,38,86,56,49,36,30,35,61,43,42,48,49,40,38,15,47,36,3,1,3,3,0,1,1,1,0,1,1,0,0,46,10,8,40,21,39,21,98,78,44,40,44,90,54,65,70,51,54,39,50,22,17,8,43,15,8,6,2,2,21,6,4,5,1,0,53,38,9,98,54,63,4,72,24,12,88,17,44,55,84,16,22,33,30,25,20,12,8,55,22,32,29,24,20,12,7,61,7,28,4,86,12,2,8,6,2,2,2,1,1,0,84,15,1,74,36,38,32,25,22,9,4,74,37,37,32,24,22,8,4,84,9,7,4,2,2,2,1,1,0,0,86,2,12
21,394100,96,96,55,53,98,54,35,3,2,61,45,68,28,4,72,22,6,50,41,9,45,50,6,50,41,9,48,40,12,59,38,3,100,98,0,0,8,28,62,85,74,72,74,98,41,90,23,31,40,78,46,40,25,21,31,76,63,51,55,51,39,42,28,49,56,2,0,2,2,2,0,0,2,2,0,0,0,2,44,27,21,17,18,37,13,96,95,69,64,50,89,70,88,83,67,73,53,53,21,32,13,45,30,7,7,1,4,15,11,3,4,0,0,62,37,1,91,50,37,8,75,17,8,92,23,34,33,99,1,13,20,15,13,10,8,7,33,14,20,15,13,10,8,7,35,5,58,2,79,7,14,3,2,1,1,0,0,0,0,27,0,73,76,29,47,42,34,25,23,18,75,32,42,37,29,20,16,15,89,8,3,7,0,7,7,7,5,4,3,100,0,0
22,395005,99,98,62,72,97,66,55,30,9,68,54,77,20,2,78,15,7,61,26,13,62,31,7,60,25,15,63,22,15,71,24,5,100,99,0,2,7,30,59,78,76,68,66,95,26,85,13,10,29,76,48,45,25,22,27,79,62,56,64,64,51,47,31,56,54,5,4,2,2,3,1,2,1,0,0,0,0,0,37,20,13,23,23,36,7,97,92,68,73,67,90,71,78,85,73,73,54,52,21,19,9,45,15,9,6,5,5,17,7,4,3,3,2,57,37,6,95,51,23,13,72,14,17,83,25,47,17,89,11,7,10,9,7,6,3,2,16,7,9,9,6,5,2,2,21,7,66,6,76,13,11,4,3,1,1,1,1,0,0,69,12,19,77,20,57,48,36,25,16,9,77,21,56,47,35,24,15,8,81,10,9,5,3,2,1,1,1,1,0,88,8,4
23,900016,92,92,65,46,96,25,17,12,9,47,44,60,39,1,67,31,2,50,32,18,57,36,7,35,51,14,48,37,15,59,36,5,100,99,0,0,15,41,43,89,84,69,69,98,18,73,17,15,27,69,27,27,8,7,17,52,30,31,35,34,22,32,19,27,38,5,0,5,5,0,0,0,0,0,0,0,0,0,32,20,8,19,14,32,4,96,91,78,76,70,94,81,88,90,79,78,67,60,35,21,20,56,15,8,11,2,6,26,14,0,6,0,1,69,30,1,71,35,25,8,45,48,18,82,16,45,14,59,41,10,4,3,3,3,2,1,14,10,4,3,3,3,2,1,19,18,61,2,94,5,1,3,3,0,0,0,0,0,0,96,2,2,78,40,38,35,22,12,4,3,73,40,33,30,17,12,4,3,83,11,6,6,1,5,5,5,0,0,0,63,37,0
24,900027,98,98,40,51,100,44,36,10,6,60,45,46,53,1,72,25,3,43,50,7,53,44,3,26,63,11,32,56,12,38,61,1,100,99,0,2,11,36,51,87,87,69,63,97,57,90,23,33,54,73,45,42,25,24,31,76,39,42,57,57,28,36,25,57,50,0,0,0,0,0,0,0,3,0,3,0,1,2,51,18,7,16,44,46,30,100,100,83,67,75,100,79,90,98,90,99,65,67,30,27,11,57,16,10,13,7,24,29,8,6,4,2,3,57,41,1,86,32,78,15,39,47,24,76,26,52,44,92,8,17,27,24,20,16,10,4,43,17,26,22,17,13,7,4,79,3,17,1,97,2,1,14,6,8,8,4,4,0,0,100,0,0,72,38,34,27,17,14,8,6,70,37,34,27,15,14,8,6,92,3,5,7,4,3,3,2,2,2,0,99,1,0
25,900021,99,99,34,42,94,19,13,7,5,26,26,25,65,10,56,36,8,23,65,12,23,65,12,27,64,9,25,66,9,27,62,10,100,100,0,14,1,34,51,83,79,59,63,89,29,76,16,8,30,75,34,30,19,17,14,60,53,35,49,49,39,34,25,45,46,0,0,0,0,0,0,0,0,0,0,0,0,0,32,24,7,21,22,28,12,100,100,82,72,68,91,72,86,92,78,81,52,57,24,18,11,52,15,9,5,5,5,21,11,6,4,2,1,57,23,20,85,23,43,5,65,30,13,87,19,47,22,77,23,5,14,12,11,9,7,4,17,5,12,11,11,9,7,4,31,5,57,7,97,2,1,1,0,1,1,0,0,0,0,48,52,0,74,22,52,43,28,21,11,1,74,22,52,43,28,21,11,1,97,2,1,1,0,1,1,0,0,0,0,97,3,0
26,402100,96,95,64,49,88,10,4,2,1,25,37,22,72,6,41,53,6,11,74,15,20,71,8,5,77,18,13,70,16,16,80,4,100,100,0,2,13,45,41,88,88,60,54,89,32,70,12,16,40,62,21,18,10,14,11,60,31,34,44,45,38,32,22,43,36,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,1,4,9,8,5,94,84,63,34,28,85,54,68,75,63,63,35,57,16,17,6,51,13,12,7,1,7,15,4,6,1,0,1,60,29,11,80,40,74,3,43,54,13,87,10,42,13,88,12,9,3,3,2,2,0,0,13,9,3,3,2,2,0,0,78,2,20,1,95,4,1,3,3,0,0,0,0,0,0,98,2,0,61,40,21,14,13,10,4,3,61,41,20,14,13,10,4,3,99,1,0,4,4,0,0,0,0,0,0,100,0,0
27,900009,97,96,56,58,95,18,11,5,3,23,31,27,67,5,47,45,8,18,58,24,29,59,12,17,64,19,22,59,19,19,74,8,100,99,0,4,11,39,45,68,67,53,49,97,20,84,5,4,23,69,33,30,11,10,14,72,48,42,50,52,52,36,20,51,38,3,2,1,1,1,1,1,3,3,1,0,1,1,22,9,3,10,11,20,8,98,86,59,44,44,90,55,63,69,54,54,34,54,25,17,8,45,11,7,8,2,8,21,5,3,5,0,1,62,31,8,96,48,56,10,59,31,14,86,25,49,13,83,17,6,7,7,6,4,3,2,11,5,6,5,5,4,3,2,26,4,57,13,85,8,7,4,2,2,1,1,1,1,0,62,16,23,71,29,42,34,22,16,6,3,70,28,42,33,22,14,6,3,95,3,2,4,2,3,2,2,1,0,0,87,7,7
28,405900,95,94,53,53,94,14,7,4,2,22,27,37,58,5,57,31,11,27,44,28,32,49,19,24,54,22,28,49,23,28,66,6,100,99,0,4,13,44,39,85,83,65,56,97,14,79,5,3,19,71,25,22,7,7,11,57,38,34,37,38,28,21,9,48,26,20,9,13,10,15,4,6,7,7,1,0,2,5,26,18,9,9,13,24,9,98,81,44,38,33,93,62,80,80,50,56,30,54,24,16,8,47,12,9,10,3,7,21,6,3,5,2,4,59,34,7,96,57,42,7,66,27,13,87,18,39,10,79,21,4,6,5,4,4,2,0,10,4,6,4,4,4,2,0,3,2,81,14,88,11,1,1,1,0,0,0,0,0,0,95,3,3,76,29,47,36,26,19,9,3,76,30,46,34,25,18,8,3,89,7,4,4,1,3,2,1,0,0,0,72,14,14
29,406800,92,91,40,51,95,24,18,4,2,37,35,39,59,2,58,37,5,29,52,19,32,56,12,26,54,20,34,51,15,32,60,8,100,100,0,8,11,37,44,75,73,58,48,97,28,84,11,3,23,67,32,27,13,10,18,68,43,36,43,46,37,26,19,49,42,19,14,15,11,17,9,13,13,13,1,5,0,7,33,21,6,12,21,30,13,99,81,51,49,47,91,64,73,79,61,57,40,58,23,22,11,52,14,14,10,10,9,19,10,8,7,6,5,59,34,7,91,40,21,8,67,25,14,86,19,40,17,95,5,7,9,8,8,6,3,3,15,7,8,6,6,4,2,2,21,3,73,3,60,23,17,8,5,3,3,2,2,1,1,37,29,34,79,29,51,40,29,25,14,8,79,28,51,40,29,23,14,6,79,15,7,11,6,5,5,4,4,1,1,65,18,17
30,408100,93,92,34,40,96,19,15,5,3,22,28,37,59,4,48,46,7,30,54,16,31,56,13,45,44,11,42,42,16,33,60,7,100,99,0,5,7,35,52,74,69,58,51,95,30,74,11,9,25,83,49,42,28,29,29,75,59,46,60,56,52,42,17,58,36,5,2,5,3,2,1,2,4,4,0,1,0,3,33,10,10,25,20,26,11,95,75,52,45,49,85,55,72,69,54,50,36,45,17,17,7,36,9,8,6,5,5,13,4,4,3,1,0,64,28,8,97,44,25,15,66,19,17,83,30,47,25,86,14,11,14,11,6,3,2,1,22,12,11,8,3,1,1,1,16,1,81,3,89,5,5,3,0,3,3,3,2,2,0,100,0,0,76,22,54,43,29,20,10,6,76,22,54,43,28,20,10,6,83,10,7,3,2,1,1,0,0,0,0,95,5,0
31,800023,89,86,34,40,92,16,9,3,3,13,17,27,71,2,46,48,6,14,66,19,19,68,13,25,59,16,29,54,17,26,69,5,100,96,0,8,19,33,36,74,72,50,47,97,41,89,18,9,33,77,44,41,22,23,25,70,55,49,55,52,48,46,15,57,27,3,3,0,0,3,0,2,4,4,0,2,0,2,35,15,7,21,14,33,12,97,71,39,31,31,90,48,54,62,37,39,24,51,24,14,7,47,10,10,4,5,4,21,5,7,2,2,2,54,42,4,86,45,60,5,56,39,17,83,14,46,27,89,11,9,18,15,13,10,8,6,26,10,16,14,11,8,6,6,41,16,42,2,73,17,10,5,3,2,2,2,2,2,1,54,39,7,76,26,51,45,40,34,26,20,76,26,51,45,40,34,26,19,90,7,3,5,2,3,3,3,3,2,0,85,8,7
32,410300,83,82,42,37,86,19,13,3,2,19,20,44,50,6,55,35,11,21,60,20,30,54,16,17,65,18,24,57,18,29,59,13,100,100,0,9,13,45,32,71,67,47,48,99,47,87,14,15,30,75,45,43,23,28,25,53,40,28,41,43,32,24,15,34,26,3,3,2,2,2,1,2,2,1,0,0,0,2,30,12,17,21,11,26,12,99,77,45,38,32,85,64,65,62,49,50,34,51,26,21,13,49,17,13,14,6,6,22,11,3,5,4,3,55,35,10,98,50,56,9,66,25,14,86,22,40,35,95,5,13,22,20,17,16,11,4,35,13,22,20,17,15,10,4,50,7,40,3,91,7,3,4,3,1,1,1,1,0,0,97,3,0,68,30,38,32,25,22,10,7,66,32,35,29,22,19,8,5,94,5,1,6,3,4,4,4,3,2,2,96,3,1
33,412700,87,86,51,52,76,6,4,0,0,7,11,19,67,14,27,55,17,12,53,35,13,63,24,14,56,30,14,56,30,12,66,22,100,98,0,13,17,42,26,61,57,39,33,85,16,68,5,5,27,57,38,32,17,18,22,48,34,31,38,39,37,30,13,35,23,0,0,0,0,0,0,0,1,1,1,0,0,1,18,5,4,15,5,17,6,90,72,41,32,31,79,48,45,52,42,41,21,42,15,13,6,38,9,7,8,2,4,13,5,4,4,1,2,59,22,18,93,28,20,12,66,22,18,82,20,47,8,83,17,3,5,5,4,4,2,2,7,3,4,4,3,3,2,2,20,8,64,7,90,9,1,2,1,0,0,0,0,0,0,94,4,2,57,25,32,26,20,15,9,5,56,25,32,25,20,15,8,4,96,3,1,3,1,2,2,2,2,1,0,91,7,2
34,413700,97,97,30,31,84,11,6,16,11,18,22,39,54,7,48,43,8,35,48,17,38,46,16,29,57,13,31,56,13,33,61,6,100,100,0,10,7,41,42,65,62,41,31,97,84,89,41,34,45,82,82,79,56,50,50,63,51,39,46,49,23,36,27,42,28,0,0,0,0,0,0,0,0,0,0,0,0,0,33,14,11,22,20,32,20,97,86,53,51,48,80,66,77,63,57,51,33,52,22,10,8,42,8,1,3,1,3,14,7,0,2,0,0,55,35,10,92,25,74,2,76,22,12,88,6,32,55,93,7,16,39,35,29,24,24,15,55,16,38,34,28,24,23,15,62,12,25,2,86,9,5,2,2,1,1,1,1,1,0,72,26,3,67,26,41,41,40,34,20,16,67,29,39,39,37,31,20,16,83,13,4,8,5,3,3,3,3,0,0,85,13,1
35,800010,45,42,19,18,73,6,4,1,1,10,15,19,72,9,31,55,14,14,52,34,19,54,27,11,63,26,13,57,30,15,72,13,100,99,0,14,19,40,26,64,56,37,36,93,26,76,5,6,24,54,27,24,11,14,13,44,32,26,31,34,28,18,10,33,18,1,0,1,1,1,1,1,3,3,2,1,1,1,18,7,8,10,3,15,6,96,75,38,29,28,81,47,47,57,44,44,22,44,21,16,7,37,10,6,9,3,4,16,4,3,5,0,1,63,27,11,96,46,57,9,61,30,15,85,25,45,17,94,6,8,9,7,6,5,3,1,16,8,7,6,4,3,2,1,48,1,47,4,96,4,0,4,2,2,2,2,2,1,1,93,7,0,67,22,45,39,32,21,13,9,67,22,45,38,32,20,12,9,97,2,1,4,3,1,1,1,1,1,0,99,1,0
