ID,BedrijfstakkenBranchesSBI2008,Bedrijfsgrootte,PersoneelDatWerktMetEenComputer_1,PersoneelDatWerktMetInternet_2,PersoneelDatWerktMetMobielInternet_3,Telewerkers_4,TelewerkKomtVoor_5,Internet_6,TotaalBreedband_7,BreedbandVastTotaal_8,ADSLVDSLEnSDSLEnDergelijke_9,AndereHoogwaardigeVasteVerbindingen_10,MobielBreedbandTotaal_11,MinderDan2MegabitPerSeconde_12,k_2Tot10MegabitPerSeconde_13,k_10Tot30MegabitPerSeconde_14,k_30Tot100MegabitPerSeconde_15,k_100MegabitPerSecondeOfMeer_16,AantalBedrijvenMetWebsite_17,OnlineBestellenBoekenOfReserveren_18,InfoOverBeveiligingEnPrivacyVdSite_19,BeschrijvingenVanProductenPrijslijst_20,BestellingOnlineVolgen_21,ProductaanpassingDoorKlant_22,KlantspecifiekeInfoVoorVasteBezoeker_23,PersoneelsadvertentiesVanBedrijfZelf_24,VerkrijgenVanInformatie_25,VerkrijgenVanFormulieren_26,RetournerenIngevuldeFormulieren_27,SocialePremiesVanMedewerkers_28,BTWAangifte_29,DocumentenRaadplegenOverAanbesteding_30,OverheidInNederland_31,OverheidInAnderEULand_32,MobielInternetVerschaftAanWerknemers_33,ERPSoftware_34,OpslagKlantgegevens_35,AnalyseKlantgegevens_36,SocialeMediaGebruikt_37,SocialeNetwerkenBijvFacebook_38,BlogsOfMicroblogsBijvTwitter_39,SitesDieMultimediaDelenBvYouTube_40,WikiSOmKennisTeDelen_41,MarketingProductenBedrijfsimago_42,MeningenKlantenReagerenOpVragen_43,BetrekkenKlantBijProductontwikkeling_44,SamenwerkenMetZakenrelaties_45,WervenVanPersoneel_46,KennisUitwisselenBinnenHetBedrijf_47,FormeelBeleidGebruikSocialeMedia_48,EFactuur_49,ElektronischMaarGeenEFactuur_50,InPapierenVorm_51,EFactuur_52,ElektronischMaarGeenEFactuur_53,InPapierenVorm_54,ElektronischeFacturenVerzonden_55,ElektronischeFacturenOntvangen_56,VerkoopViaExterneNetwerken_57,Verkoopwaarde1VanDeTotaleOmzet_58,Verkoopwaarde1VanDeTotaleOmzet_59,Verkoopwaarde2VanDeTotaleOmzet_60,Verkoopwaarde5VanDeTotaleOmzet_61,Verkoopwaarde10VanDeTotaleOmzet_62,Verkoopwaarde25VanDeTotaleOmzet_63,Verkoopwaarde50VanDeTotaleOmzet_64,VerkoopViaEenWebsite_65,Verkoopwaarde1VanDeTotaleOmzet_66,Verkoopwaarde1VanDeTotaleOmzet_67,Verkoopwaarde2VanDeTotaleOmzet_68,Verkoopwaarde5VanDeTotaleOmzet_69,Verkoopwaarde10VanDeTotaleOmzet_70,Verkoopwaarde25VanDeTotaleOmzet_71,Verkoopwaarde50VanDeTotaleOmzet_72,ProductOngeschikt_73,LogistiekeProblemen_74,ProblemenMetBetalingen_75,ProblemenMetBeveiliging_76,JuridischeProblemen_77,TeHogeKosten_78,NederlandseConsumenten_79,BuitenlandseConsumenten_80,Bedrijven_81,Overheden_82,KlantenInNederland_83,KlantenInAndereEULanden_84,KlantenInLandenBuitenDeEU_85,VerkoopViaEDI_86,Verkoopwaarde1VanDeTotaleOmzet_87,Verkoopwaarde1VanDeTotaleOmzet_88,Verkoopwaarde2VanDeTotaleOmzet_89,Verkoopwaarde5VanDeTotaleOmzet_90,Verkoopwaarde10VanDeTotaleOmzet_91,Verkoopwaarde25VanDeTotaleOmzet_92,Verkoopwaarde50VanDeTotaleOmzet_93,KlantenInNederland_94,KlantenInAndereEULanden_95,KlantenInLandenBuitenDeEU_96,InkoopViaExterneNetwerken_97,Inkoopwaarde1VanDeTotaleInkoop_98,Inkoopwaarde1VanDeTotaleInkoop_99,Inkoopwaarde2VanDeTotaleInkoop_100,Inkoopwaarde5VanDeTotaleInkoop_101,Inkoopwaarde10VanDeTotaleInkoop_102,Inkoopwaarde25VanDeTotaleInkoop_103,Inkoopwaarde50VanDeTotaleInkoop_104,InkoopViaEenWebsite_105,Inkoopwaarde1VanDeTotaleInkoop_106,Inkoopwaarde1VanDeTotaleInkoop_107,Inkoopwaarde2VanDeTotaleInkoop_108,Inkoopwaarde5VanDeTotaleInkoop_109,Inkoopwaarde10VanDeTotaleInkoop_110,Inkoopwaarde25VanDeTotaleInkoop_111,Inkoopwaarde50VanDeTotaleInkoop_112,AanbiedersInNederland_113,AanbiedersInAndereEULanden_114,AanbiedersInLandenBuitenDeEU_115,InkoopViaEDI_116,Inkoopwaarde1VanDeTotaleInkoop_117,Inkoopwaarde1VanDeTotaleInkoop_118,Inkoopwaarde2VanDeTotaleOmzet_119,Inkoopwaarde5VanDeTotaleInkoop_120,Inkoopwaarde10VanDeTotaleInkoop_121,Inkoopwaarde25VanDeTotaleInkoop_122,Inkoopwaarde50VanDeTotaleInkoop_123,AanbiedersInNederland_124,AanbiedersInAndereEULanden_125,AanbiedersInLandenBuitenDeEU_126
10,800036,100800,67,60,22,26,87,100,100,100,72,79,90,0,21,29,21,29,95,46,44,77,5,13,39,78,87,93,89,61,68,56,35,10,90,70,67,42,72,67,43,41,16,72,61,26,38,50,37,55,2,10,88,8,17,76,31,72,30,23,9,6,6,6,5,1,30,23,9,6,6,5,4,0,67,33,9,10,17,21,63,0,34,2,100,0,0,3,2,1,1,1,1,1,1,100,0,0,68,35,32,32,27,20,12,9,67,34,32,32,25,20,12,9,96,4,1,2,0,2,2,0,0,0,0,91,9,1
11,800036,101150,82,80,34,34,95,100,100,100,76,86,100,0,0,8,43,49,100,54,54,76,11,24,62,95,92,97,97,56,56,59,43,22,100,70,59,30,81,81,70,54,51,90,83,43,43,87,63,83,7,7,87,8,12,80,27,54,41,27,11,11,8,8,8,8,41,27,11,8,8,8,8,8,57,22,14,19,3,19,56,0,40,3,95,5,0,5,0,5,0,0,0,0,0,100,0,0,68,32,35,24,24,11,11,3,59,32,27,24,24,11,11,3,95,5,0,8,0,8,0,0,0,0,0,90,10,0
12,350000,100550,51,47,19,21,53,99,97,94,81,26,62,3,33,34,25,5,82,11,27,53,2,2,17,44,73,84,84,66,80,35,21,2,59,26,25,8,36,31,13,14,3,63,34,30,40,37,24,23,1,5,94,3,13,84,20,68,7,4,3,2,1,1,0,0,7,4,2,2,1,1,0,0,66,35,25,22,20,23,55,0,39,5,99,1,0,1,1,1,0,0,0,0,0,100,0,0,47,23,23,21,15,12,9,7,47,24,23,20,15,12,9,6,99,1,0,2,1,2,1,1,1,1,1,99,1,0
13,350000,100480,42,39,14,11,47,99,96,93,82,19,58,3,35,35,23,3,79,10,26,51,2,1,16,39,70,82,82,64,79,29,15,1,54,20,21,6,32,28,10,12,3,60,34,31,39,31,20,17,1,5,94,3,13,84,18,67,7,4,3,2,1,1,0,0,6,4,2,1,1,1,0,0,65,37,26,23,20,24,56,0,39,5,100,0,0,1,1,0,0,0,0,0,0,100,0,0,44,21,23,21,15,13,9,7,44,22,23,20,15,13,9,7,99,1,0,2,0,2,1,1,1,1,1,100,0,0
14,350000,100800,42,38,14,14,82,100,100,99,74,64,85,0,23,28,32,17,95,12,29,65,1,6,18,75,90,96,97,73,85,68,49,7,87,60,46,18,53,47,29,21,1,72,32,27,40,49,30,39,2,7,91,5,12,83,30,72,9,6,3,3,2,2,1,1,8,6,3,3,2,2,1,0,70,25,22,14,18,16,50,1,44,6,98,1,1,3,1,2,1,1,1,1,0,98,1,1,58,35,23,21,14,9,5,5,58,36,22,20,14,9,5,5,98,1,0,3,2,1,0,0,0,0,0,100,0,0
15,350000,101150,67,63,28,37,96,100,100,100,83,93,95,0,3,15,40,40,97,16,48,63,6,9,27,94,87,92,93,85,89,82,68,14,98,79,73,36,77,69,54,49,26,80,46,34,46,90,63,72,5,8,86,11,15,74,44,72,15,10,3,3,3,1,1,0,13,9,3,3,3,1,1,0,85,25,21,15,21,20,69,0,27,4,98,2,0,3,1,2,0,0,0,0,0,100,0,0,71,33,38,33,25,22,11,6,71,36,34,26,19,18,9,3,93,4,3,16,3,12,9,6,6,3,1,93,7,0
16,354200,100550,61,51,16,16,61,100,98,96,79,45,64,2,28,32,30,9,81,41,45,67,17,8,30,43,71,80,85,64,86,12,7,3,61,37,38,27,47,43,25,21,5,81,54,37,42,43,29,38,4,11,85,5,19,75,35,72,33,15,19,17,14,12,8,5,28,14,14,12,10,9,6,3,46,30,20,20,20,26,42,3,52,3,89,8,3,10,4,6,6,5,4,2,1,80,19,1,48,23,26,23,21,19,15,11,46,23,23,20,18,16,12,9,90,8,2,8,3,4,4,4,4,3,2,78,21,2
17,354200,100480,65,58,19,16,57,100,98,96,79,39,60,2,29,32,30,7,80,38,42,65,15,7,29,38,69,78,84,61,86,10,6,2,57,32,35,24,44,40,21,18,4,79,51,34,41,39,28,33,3,11,86,5,20,76,33,71,31,14,17,15,12,11,7,5,26,13,13,11,9,8,6,3,46,30,21,20,20,27,45,2,50,3,89,8,3,8,4,5,4,3,3,2,1,79,20,0,47,22,25,22,20,18,14,11,46,22,24,20,18,16,12,9,90,8,2,6,3,3,3,3,3,3,1,79,21,0
18,354200,100800,70,62,20,20,83,100,99,98,74,73,81,1,20,31,33,15,90,52,59,73,22,11,36,68,82,90,90,75,89,22,15,5,80,64,55,42,62,57,39,33,8,86,64,46,43,56,33,55,7,12,81,7,18,74,46,75,47,19,28,26,22,19,11,5,38,20,18,16,13,11,7,3,45,27,20,17,19,25,32,4,61,4,88,9,2,18,6,13,12,10,9,4,2,82,16,2,53,26,27,24,23,20,16,11,49,26,22,19,17,15,11,8,90,7,3,12,4,7,7,7,6,5,3,72,23,5
19,354200,101150,52,39,12,14,89,100,100,99,84,84,90,0,18,24,32,26,97,66,75,89,37,13,44,89,87,94,97,80,85,24,17,6,90,75,57,46,79,75,54,49,18,88,73,45,43,72,42,63,12,14,74,29,12,59,51,82,59,20,39,36,30,20,13,8,49,20,30,26,20,12,6,2,35,21,9,13,14,24,43,6,49,3,90,7,3,26,9,17,17,14,11,7,4,79,17,4,68,29,39,37,35,32,27,21,46,30,16,13,12,11,9,5,87,10,3,36,10,25,25,22,22,17,14,79,17,3
20,383100,100550,57,45,13,20,53,100,97,95,77,46,62,3,22,33,34,8,76,26,27,54,13,7,24,45,76,86,87,68,83,18,10,1,58,29,25,13,31,27,16,12,4,67,35,26,41,46,30,32,2,14,84,3,20,77,36,69,25,8,17,15,12,12,10,6,16,7,9,8,6,4,4,2,57,26,21,20,18,21,14,3,79,4,87,11,2,14,3,10,10,8,8,6,4,78,19,3,45,22,22,20,17,14,11,8,44,22,22,19,17,14,11,8,94,5,1,2,2,1,1,1,0,0,0,88,9,4
21,383100,100480,41,36,12,10,46,100,96,94,76,39,55,4,22,33,34,6,71,23,24,47,10,7,19,36,74,86,86,62,81,15,7,1,51,21,21,10,26,23,13,8,3,65,33,26,41,42,27,25,1,14,86,2,20,78,31,67,19,6,13,11,9,8,8,4,14,6,8,6,4,4,4,2,57,27,22,22,20,23,11,4,81,4,85,13,2,9,2,6,6,5,5,4,2,85,12,4,41,20,20,19,16,12,11,7,40,20,20,18,16,12,11,7,95,4,1,2,2,0,0,0,0,0,0,100,0,0
22,383100,100800,47,40,12,12,71,100,99,98,82,60,78,1,22,33,34,10,92,32,33,75,21,8,34,70,81,85,91,85,90,27,16,3,75,52,37,22,41,35,20,22,6,71,29,24,40,51,35,43,5,14,81,5,19,76,47,76,37,10,27,26,23,20,15,11,21,9,12,12,9,6,3,3,59,24,19,15,15,16,12,1,82,5,92,7,1,26,5,21,20,18,16,12,9,72,26,2,56,27,28,24,21,18,13,10,56,29,27,24,21,18,12,10,93,6,1,4,3,2,2,1,1,0,0,76,17,7
23,383100,101150,68,51,14,27,97,100,100,100,78,93,90,0,9,23,29,39,95,57,63,80,43,16,48,84,90,96,93,85,94,29,22,4,88,69,54,36,69,54,54,34,22,67,69,30,46,54,34,54,6,20,73,5,24,71,58,78,61,25,36,33,33,25,23,17,34,19,16,16,13,7,7,3,45,9,16,11,14,11,41,5,51,3,82,11,6,46,18,28,26,26,20,18,12,75,20,5,60,31,29,25,24,18,9,5,60,34,26,20,19,14,6,2,86,13,1,9,3,6,6,6,3,3,3,83,11,6
24,389100,100550,39,34,11,11,32,100,96,94,84,26,54,4,29,39,23,5,82,50,31,71,12,11,31,36,57,67,62,63,77,7,4,0,43,5,10,7,67,67,36,26,4,86,69,43,36,46,35,19,2,10,88,5,19,76,29,67,25,7,18,17,13,11,7,2,24,7,18,16,12,11,7,2,51,30,22,18,19,21,56,10,28,5,88,9,3,1,1,0,0,0,0,0,0,68,1,31,45,18,27,24,20,15,11,8,45,18,26,24,20,14,10,8,96,4,0,5,4,1,1,1,1,1,0,100,0,0
25,389100,100480,36,30,11,8,29,100,96,94,85,23,52,4,30,40,22,4,82,49,28,71,11,11,31,33,55,65,60,61,75,6,3,0,41,2,9,5,67,66,35,25,3,86,67,43,35,44,34,16,3,10,88,5,18,77,28,66,24,7,17,15,12,10,7,1,23,6,16,15,11,10,7,1,52,32,23,19,19,22,57,9,29,5,90,8,2,1,0,0,0,0,0,0,0,50,0,50,43,19,25,22,18,13,9,6,43,19,25,22,18,13,9,6,96,4,0,4,4,0,0,0,0,0,0,100,0,0
26,389100,100800,32,27,7,8,59,100,100,97,73,51,75,0,19,35,33,14,79,58,54,73,20,20,28,65,72,84,88,77,88,13,8,0,65,25,25,27,68,68,46,32,10,95,79,43,47,65,43,51,0,17,82,6,26,68,38,77,43,7,35,34,28,23,17,11,41,7,34,32,26,21,16,9,40,18,12,13,10,11,53,15,26,6,74,18,8,3,1,2,2,2,2,2,2,96,3,1,63,16,47,46,37,32,29,22,58,14,44,43,33,26,23,18,96,4,0,8,2,6,6,6,6,6,4,100,0,0
27,389100,101150,48,45,13,18,98,100,100,100,75,86,86,0,14,18,27,43,93,64,68,82,25,23,45,86,95,93,93,78,83,20,25,0,93,59,66,55,84,82,75,57,23,89,92,78,49,81,65,70,6,6,89,17,17,66,34,66,43,20,20,18,14,14,11,7,43,20,20,18,14,14,11,7,48,16,14,14,11,14,42,15,36,8,82,17,1,11,11,0,0,0,0,0,0,100,0,0,68,7,61,59,59,59,50,45,57,9,48,45,45,45,36,36,86,13,0,18,9,9,9,9,9,9,7,100,0,0
28,391600,100550,97,95,54,59,90,100,99,99,67,79,88,1,8,23,38,31,92,32,52,74,11,11,32,79,82,88,90,71,87,31,17,5,84,43,64,44,81,76,59,50,32,86,62,51,58,74,58,43,2,24,74,3,22,74,51,77,24,8,17,16,12,10,5,3,24,8,16,15,11,9,4,3,64,17,13,14,11,11,22,3,67,9,89,7,4,2,1,1,1,1,0,0,0,96,4,0,73,22,51,45,35,29,19,13,73,22,50,44,34,28,19,13,81,10,9,3,1,2,2,1,1,1,0,92,6,2
29,391600,100480,96,94,46,49,89,100,99,99,67,76,87,1,8,25,39,27,90,31,49,71,9,10,30,76,80,86,88,68,86,26,12,3,82,38,62,41,79,75,55,47,29,86,61,49,57,73,56,39,2,24,74,3,23,75,49,77,23,7,16,16,12,10,5,3,22,7,16,15,11,9,5,3,65,17,13,14,11,11,17,3,71,9,88,8,5,1,1,1,1,1,0,0,0,96,3,1,72,21,52,47,37,30,19,13,72,21,51,46,36,29,19,13,81,10,9,2,1,1,1,1,1,0,0,93,4,3
30,391600,100800,96,94,46,51,94,100,100,100,64,89,91,0,7,13,33,47,97,38,66,84,16,11,40,90,93,97,97,80,92,48,36,13,94,61,76,53,89,82,72,58,40,86,66,57,62,79,62,52,3,23,75,3,23,74,59,77,26,12,15,14,10,9,5,4,26,12,14,13,10,9,5,3,59,18,11,16,11,11,35,2,54,9,94,4,2,4,3,1,1,1,0,0,0,98,2,0,79,28,51,41,30,25,18,14,78,28,50,38,28,22,16,11,84,9,7,7,2,5,4,4,4,2,2,90,10,0
31,391600,101150,98,96,62,67,95,100,100,100,79,86,100,0,4,5,22,69,99,53,78,81,32,21,52,84,91,100,100,89,85,63,44,14,100,75,78,54,90,86,86,75,53,89,82,64,58,75,82,74,9,14,76,15,16,69,57,78,43,15,28,26,21,17,1,1,41,15,26,23,17,14,0,0,59,19,12,10,9,7,47,0,48,4,98,2,0,9,5,4,4,4,4,1,1,88,12,0,60,31,28,28,22,17,14,7,59,31,27,25,19,14,9,6,84,8,8,7,0,7,7,5,5,4,1,94,4,2
32,396300,100550,98,98,49,45,87,100,100,100,66,77,81,0,20,28,27,25,90,29,50,65,11,14,38,59,79,85,89,69,76,20,5,3,78,23,52,35,45,40,30,21,13,76,58,48,53,64,49,59,2,11,86,6,18,76,25,66,24,12,12,11,8,7,6,4,21,10,11,10,8,7,5,4,53,14,15,17,23,13,70,1,23,6,95,2,3,6,4,2,2,1,1,0,0,93,7,0,57,29,28,20,19,17,9,7,57,29,28,20,19,16,8,7,95,4,1,3,2,0,0,0,0,0,0,89,11,0
33,396300,100480,95,93,32,35,83,100,100,100,63,70,74,0,24,34,27,15,87,22,40,60,9,13,32,49,75,81,84,63,75,15,4,4,71,11,40,23,34,28,19,14,5,71,46,39,44,57,34,44,1,14,86,5,20,75,25,65,18,9,9,7,6,6,6,5,17,8,9,7,6,6,6,5,51,13,12,16,24,11,72,0,28,0,94,0,6,1,1,0,0,0,0,0,0,100,0,0,51,22,28,19,19,15,7,5,51,22,28,19,19,15,7,5,94,4,2,0,0,0,0,0,0,0,0,0,0,0
