ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswondenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20182020_7,Eenpersoonshuishoudens31122020_8,Eenpersoonshuishoudens31122019_9,Eenpersoonshuishoudens31122018_10,Gemiddelde20182020_11,Meerpersoonshuishoudens31122020_12,Meerpersoonshuishoudens31122019_13,Meerpersoonshuishoudens31122018_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleidenGemiddelde20162020_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122019_25,PersonenMetBijstand31122020_26,WajongUitkeringen31122020_27,PersonenMetLoonkostensubs31122020_28,PsychischMedicijngebruikOuders2020_29
165,GM0417,6070,2230,5080,1630,1200,160,30,30,20,30,30,30,30,30,5300,38000,1500,40600,2000,200,200,5,0,6,1160,130,80,10,60
166,GM0080,82390,22410,63420,16910,12740,1740,1150,1110,1140,1210,1270,1200,1260,1350,61100,21200,16500,23500,21900,3600,3200,63,8,13,16190,6510,2340,130,1410
167,GM0546,88670,19060,68080,15170,10980,1420,730,720,720,750,840,820,820,880,63700,22500,15000,27300,19300,2700,2500,72,5,7,14830,3740,1560,130,1160
168,GM0547,16740,5250,12360,4240,2980,330,90,80,90,100,110,100,100,130,12100,27800,4200,28800,5400,400,400,14,2,11,2190,430,280,30,260
169,GM1916,46400,14880,36700,11580,8530,1180,470,480,470,470,530,540,530,530,35800,27900,10600,29700,13200,1600,1500,37,4,11,8130,2160,710,40,670
170,GM0995,51420,17210,34910,13280,9570,1540,620,620,590,640,660,660,620,690,33600,23100,12200,23200,16400,3000,2700,39,7,18,9290,2490,1430,130,770
171,GM1640,22500,5740,15810,5170,3230,330,60,70,60,60,80,80,80,90,15800,25500,5400,27500,6300,500,400,20,3,16,3020,420,420,40,220
172,GM0327,18630,6180,13190,4730,3420,320,60,60,60,60,80,80,80,80,12600,29000,4500,29700,6100,300,300,17,2,11,2220,370,280,20,310
173,GM1705,28990,9190,19800,7510,5280,460,100,100,100,100,150,150,150,150,19400,25200,7400,26700,9700,700,700,24,4,17,3580,630,550,50,460
174,GM0553,14190,4330,10260,3570,2470,260,50,50,50,60,60,60,60,70,9900,26400,3400,27200,4500,400,400,11,2,17,1610,270,170,20,200
175,GM0262,19670,5960,14960,4690,3230,310,90,80,90,100,110,100,110,120,14800,27300,4600,28400,6100,600,500,16,2,14,2870,520,410,40,230
176,GM0809,14670,4250,10190,3640,2460,250,80,70,70,80,70,70,70,70,10000,25500,3600,26500,4300,400,300,10,2,17,1810,270,240,30,260
177,GM0331,9460,2990,5670,2380,1570,160,40,40,30,40,60,60,60,60,5400,26900,2300,28200,3300,300,300,8,2,27,1040,170,150,10,110
178,GM0168,13990,4230,9480,3510,2340,250,90,80,90,100,100,80,100,110,9600,23400,3400,25000,4300,400,400,11,2,15,2200,330,570,60,140
179,GM0263,16750,4740,10940,3950,2630,260,60,50,60,60,70,60,70,70,10000,26000,3900,27700,4900,400,400,12,3,21,2000,260,190,30,210
180,GM1641,14670,3430,10720,3270,2020,150,50,50,60,60,70,70,70,70,11100,24900,3400,27700,3700,300,300,12,2,16,2450,320,650,40,130
181,GM0556,20430,6490,15120,5180,3690,520,220,220,220,230,280,270,270,290,14700,24800,4800,25400,5900,1000,900,17,4,22,3480,950,380,40,300
182,GM0935,81150,15460,68030,13510,9080,1310,750,750,720,780,790,790,770,820,62600,21100,14000,25100,15700,3100,2600,60,9,15,18790,4250,2230,140,930
183,GM0420,28290,8800,19190,6930,4720,520,130,130,130,130,160,150,150,170,18600,24800,6700,26500,9100,800,700,24,4,19,3880,590,790,80,350
184,GM0938,11190,3000,8480,2690,1760,180,30,30,30,30,50,50,50,50,8600,26700,2800,28900,3200,300,300,10,1,10,1540,270,220,20,150
185,GM1948,52000,15310,34950,12720,8500,880,210,210,210,210,260,250,260,280,33500,25500,12300,27000,16100,1500,1400,44,9,20,6620,980,860,180,710
186,GM0119,21900,6860,15710,5170,3860,480,170,170,180,180,190,180,200,190,14900,23500,5000,24600,7000,800,600,18,3,14,3250,820,630,50,400
187,GM0687,30170,9390,23220,6950,5090,660,350,340,340,370,380,370,370,380,22700,24000,6700,25000,9300,1300,1100,25,5,18,5330,1430,680,50,420
188,GM1842,12350,4060,7910,3240,2220,210,30,40,30,30,50,60,50,50,7500,29900,3100,31100,4100,200,200,11,1,12,1270,180,130,10,150
189,GM1731,20610,5890,14610,4840,3280,320,90,80,80,90,110,100,110,130,14500,24200,4800,25300,6500,600,600,18,3,17,2900,560,460,40,240
190,GM1952,38130,10820,27850,8970,6200,850,430,430,410,440,460,440,450,470,28100,22300,9200,23200,11700,1800,1600,32,6,18,7770,2110,1610,110,590
191,GM0815,7030,1910,4640,1650,1040,100,20,10,20,20,30,20,30,30,4500,25100,1600,26900,2100,200,100,7,2,24,830,100,130,20,80
192,GM1709,23540,6680,16430,5630,3820,420,120,120,120,120,140,130,130,150,16000,25900,5600,27000,7200,600,600,19,3,17,3220,590,320,30,370
193,GM1978,27610,9920,16950,7050,4890,360,80,90,80,90,120,120,110,130,16500,27500,6900,28500,10500,500,600,24,4,17,3300,390,340,50,490
194,GM1955,22590,6020,15740,5480,3500,340,80,80,90,80,100,100,100,100,15100,23800,5400,25100,6400,700,700,19,4,20,3240,460,590,50,300
195,GM0335,8760,2980,5680,2270,1580,160,30,30,30,30,50,50,50,50,5400,28600,2200,29600,3200,200,200,6,1,20,840,140,80,20,110
196,GM0944,4780,1270,3590,1130,750,80,20,10,20,20,20,20,20,20,3500,29300,1100,29400,1400,100,100,3,0,8,630,100,80,0,60
197,GM1740,15290,6140,9270,3970,2840,230,60,60,60,60,90,80,90,90,8400,24300,3600,25400,5700,400,500,14,3,21,2080,300,240,20,290
198,GM0946,10770,2850,7410,2540,1600,130,20,20,20,30,40,30,30,40,7200,24800,2600,26800,3100,300,300,8,2,20,1320,160,220,20,120
199,GM0356,40900,11810,29550,9870,6840,910,310,320,320,310,340,340,350,340,28100,25100,9500,25900,11500,1300,1200,33,5,15,5790,1480,730,40,630
200,GM0569,18540,5530,12030,4570,3040,250,50,50,40,50,70,70,70,70,11400,27400,4200,28700,5400,300,300,16,3,19,2310,280,530,30,190
201,GM0267,27350,9620,17610,7130,5050,400,100,110,100,100,140,140,130,140,16600,26000,6500,26500,9300,600,700,22,4,17,3330,580,480,50,440
202,GM0268,124100,29060,96000,22550,16520,2270,1570,1560,1550,1600,1600,1550,1590,1670,92700,20500,21000,24900,27600,4700,4100,96,9,9,22760,8310,3320,160,1650
203,GM1930,54610,16170,38740,13910,9510,1580,740,730,730,760,760,730,760,770,38400,24900,13400,25500,15200,2400,2100,45,8,19,9860,2630,1250,40,760
204,GM1970,28060,9350,19680,6870,4870,500,190,180,190,210,210,190,210,240,19700,21900,7000,22600,9700,1100,1200,23,5,22,5000,1110,950,110,510
205,GM1695,4540,1090,3710,940,640,60,20,20,20,20,20,20,20,30,3600,24300,1000,25400,1200,100,100,3,1,21,690,120,50,10,70
206,GM1699,18080,5620,13950,4430,3110,330,120,110,120,120,140,130,150,150,14000,25100,4500,25500,5900,600,600,15,2,12,2920,550,420,30,260
207,GM0171,30300,10530,19600,7240,5390,550,230,220,220,230,280,270,270,300,19300,23800,7100,24200,10600,1200,1200,25,4,18,4780,1020,690,100,430
208,GM0575,27740,7910,19870,6620,4540,510,80,80,70,80,110,120,100,110,19200,26900,6200,28700,7700,700,700,24,4,16,4140,570,790,40,330
209,GM0820,13930,4460,10290,3620,2460,260,70,80,60,70,100,100,100,110,9800,29700,3400,30900,4200,300,300,12,1,10,1880,380,170,30,210
210,GM0302,17080,6200,11080,4280,2980,210,60,60,60,60,80,80,80,70,10800,24600,4000,25400,6000,400,500,13,3,25,2670,360,480,50,310
211,GM0579,15330,5600,10910,4040,3060,270,80,80,80,70,90,100,90,80,10300,32700,3500,34400,4900,300,300,12,1,8,2240,390,240,10,250
212,GM0823,12030,3340,7830,2910,1840,170,30,20,30,30,40,40,40,40,7500,27200,2800,29100,3600,200,200,9,1,13,1420,160,110,30,140
213,GM0824,19850,5760,14020,4720,3150,340,70,70,70,70,90,80,90,100,13700,27500,4700,29700,5900,500,500,16,2,14,2710,400,430,30,240
214,GM1895,23520,6430,18200,5400,3720,500,300,300,290,300,340,340,340,360,18400,21300,5500,22500,6700,1100,1000,18,4,20,5290,1590,1000,110,350
215,GM0269,14800,5260,9240,3860,2680,170,70,70,70,70,90,90,90,90,9000,23800,3700,25100,5100,300,400,13,3,24,2120,330,270,40,280
216,GM0173,19270,6120,14080,4820,3340,380,120,110,120,120,150,140,150,150,14200,24300,4900,26100,6700,700,700,16,3,15,2750,610,520,50,210
217,GM1773,11580,3430,7650,2780,1890,170,40,40,40,40,60,50,60,60,7600,24700,2700,26500,3600,300,300,9,1,14,1520,240,380,10,160
218,GM0175,11170,3650,7650,2660,1840,150,40,40,40,40,60,60,60,60,7300,24800,2500,25200,3500,300,300,10,2,20,1640,270,330,40,130
219,GM1586,18490,5540,12470,4390,2920,210,70,70,60,70,90,90,80,90,12700,24400,4400,26000,6000,400,400,16,3,19,2100,350,370,40,190
220,GM0826,34960,10360,25290,8520,5930,710,230,240,210,240,270,270,250,300,24000,25600,8100,26500,10200,1300,1100,29,5,16,5290,1060,580,70,610
221,GM0085,15500,4550,11310,3640,2470,320,120,130,120,120,130,130,130,130,11600,22400,3700,23600,4900,600,500,12,2,18,2800,640,640,50,200
222,GM0431,6130,1860,4060,1700,1130,120,30,30,30,30,40,40,40,40,3900,27900,1500,29800,1800,100,100,5,1,13,670,150,50,0,80
223,GM0432,7610,2270,5100,1870,1250,120,20,20,20,20,30,20,20,30,4700,25600,1800,27400,2400,200,100,7,2,24,790,100,120,20,70
224,GM0086,18540,5860,12620,4500,3090,320,120,110,120,120,140,130,150,150,12900,23600,4500,24600,6300,600,600,16,2,15,2980,630,610,40,270
225,GM0828,59980,17010,41190,14440,9670,1120,390,400,380,390,440,440,440,460,39200,24800,13900,26000,17700,2200,1900,49,10,20,9280,1890,1380,360,940
226,GM1509,24310,6880,17110,5880,3810,390,140,150,140,140,180,170,180,190,17300,23100,5900,24500,7700,800,800,20,4,20,3410,720,560,70,310
227,GM0437,8860,2840,6370,2300,1620,210,50,50,40,50,50,50,50,50,6000,30700,2100,34600,2800,200,200,7,1,12,1130,220,120,10,90
228,GM0589,6300,2050,4280,1590,1080,120,30,30,20,30,30,30,30,30,4100,27900,1500,30100,2100,200,200,5,1,14,640,110,60,10,80
229,GM1734,30400,10290,19910,8050,5690,550,150,140,150,140,180,180,180,180,19200,25700,7700,26900,10500,900,800,25,4,15,3810,710,550,60,510
230,GM0590,19780,6250,14160,5110,3480,480,140,140,140,150,160,150,150,180,14100,26200,5100,26800,6600,600,500,17,2,13,2780,600,330,60,360
231,GM1894,27510,7610,18500,6600,4200,350,70,80,70,80,100,100,90,110,18300,24500,6700,26300,8200,600,600,24,5,19,3320,460,620,100,270
232,GM0765,7540,2160,5570,1830,1240,160,120,120,120,120,150,140,150,150,5600,20700,1900,21000,2300,500,500,6,2,30,1750,520,320,20,110
233,GM1926,36540,13300,21680,10140,7450,750,140,130,140,160,180,170,180,190,20000,28500,9200,29900,13000,900,900,31,4,14,4060,570,700,40,620
234,GM0439,53160,14650,36920,13560,8910,1390,420,420,400,440,450,450,410,470,36200,24300,13200,25700,15000,1900,1600,43,6,15,7580,1850,1450,60,630
235,GM0273,14990,5160,9750,3800,2630,220,40,40,40,30,60,60,60,60,9900,25600,3700,26600,5200,500,500,13,3,23,1930,240,270,50,260
236,GM0177,23500,7250,15840,5680,3840,340,90,90,80,90,110,110,110,120,15500,24600,5600,26200,7500,600,600,22,4,17,2740,480,580,20,330
237,GM0703,14220,5610,9160,3530,2660,200,60,60,50,60,80,80,80,90,8800,24100,3400,25300,5500,400,500,11,3,27,2010,250,170,20,290
238,GM0274,18180,5440,14660,4220,3020,330,120,120,110,120,150,140,150,170,15200,27300,4200,29700,5600,600,600,15,2,14,3090,730,540,40,310
239,GM0339,3570,1390,2140,910,680,50,10,0,10,10,10,10,10,10,1800,26900,800,27200,1300,100,100,3,1,28,320,30,30,0,50
240,GM1667,8180,2630,5510,2000,1380,120,20,20,10,20,20,20,20,30,5200,25700,2000,27700,2500,200,200,9,1,16,940,100,120,30,120
241,GM0275,26030,7460,21060,6050,4270,570,250,240,250,270,280,270,280,300,21500,24200,5900,25600,7700,1100,1000,20,3,17,4930,1140,1070,60,440
242,GM0340,12320,4300,8320,3030,2190,180,50,40,40,50,60,60,60,70,8100,25700,2800,26500,4300,400,400,11,2,18,1910,270,360,30,190
243,GM0597,28010,8630,20950,7150,4800,690,270,310,260,240,300,340,290,280,20800,25100,6600,26100,7800,900,900,23,5,22,4310,1110,440,30,420
244,GM1742,23420,9110,14440,6180,4350,290,80,80,80,90,130,130,130,120,14200,24400,6000,25100,9400,600,700,20,4,20,2940,480,510,60,420
245,GM0603,33940,10870,26830,8320,6270,960,470,490,470,440,490,520,490,470,24700,25100,6600,25800,7600,1400,1200,25,2,9,6080,1710,590,60,530
246,GM1669,12340,3120,9430,2900,1830,200,60,60,60,60,70,70,60,70,9300,25000,3000,26300,3300,400,300,12,2,16,1960,310,270,20,150
247,GM0957,37590,10130,28320,8500,5880,810,410,400,400,440,450,440,440,480,27500,23200,8200,24400,10000,1800,1600,30,5,15,6990,2000,940,120,530
248,GM0736,28310,8550,19290,7300,4880,570,120,130,110,120,140,140,130,160,18000,30200,6900,32100,8700,700,600,24,4,14,3480,520,300,20,350
249,GM1674,49000,13830,35520,11350,7820,1040,450,450,450,460,530,520,530,550,35100,24200,11500,25500,14200,2100,2000,40,7,17,8870,2190,1040,90,700
250,GM0599,448150,121710,328570,95910,68750,14080,9540,9520,9240,9850,9680,9540,9350,10150,314500,21800,89500,22900,111100,31000,27900,328,53,16,99940,41240,8290,650,5090
251,GM0277,990,400,690,280,220,10,0,0,0,0,0,0,0,0,600,40300,200,42200,300,0,0,1,0,3,100,10,10,0,10
252,GM0840,14850,3640,10010,3540,2180,180,70,70,60,70,70,80,70,70,9600,24500,3300,26100,3400,300,300,12,3,25,2370,400,230,20,200
253,GM0441,28160,8520,20610,6940,4680,560,120,120,110,110,140,140,140,150,20400,25200,6900,26500,9200,800,700,24,4,15,3790,630,710,20,300
254,GM0279,6200,2300,4090,1570,1140,90,20,20,20,20,30,30,30,20,3800,25200,1500,25800,2300,100,200,4,1,23,680,90,100,10,120
255,GM0606,52950,14930,37770,12530,8740,1470,740,710,720,790,740,700,730,800,36600,22600,11800,23200,13900,3000,2700,40,6,16,10330,2770,870,90,620
256,GM0088,570,110,540,100,70,0,0,0,0,0,0,0,0,0,500,23800,100,24000,200,0,0,0,0,13,80,10,10,0,0
257,GM1676,19900,5750,15730,4530,3120,320,100,100,100,110,130,130,130,140,15600,25900,4500,26400,6000,600,600,18,4,21,3050,510,310,70,280
258,GM0965,6330,1660,4910,1490,970,100,30,30,30,30,40,40,40,40,5000,23900,1600,25500,1700,200,100,5,1,15,1000,150,160,10,100
259,GM1702,7420,2090,4700,1740,1090,90,10,10,20,10,20,20,30,30,4900,25400,1700,27700,2300,200,200,8,2,20,890,90,260,30,80
260,GM0845,18200,5900,12100,4670,3210,270,40,40,40,40,60,60,60,70,11900,27700,4400,29400,5900,400,400,14,3,18,2260,270,370,50,250
261,GM1883,58040,14040,45010,12860,8400,1090,520,520,510,540,570,550,560,600,45900,23300,13400,24800,15000,2500,2100,45,8,18,11450,2990,1900,130,870
262,GM0610,15840,5500,10590,3890,2810,340,140,140,140,130,150,150,150,150,11000,23700,3700,25100,5300,500,500,12,3,23,2790,560,780,60,320
263,GM1714,13560,3530,11280,3030,2030,200,50,50,50,50,50,60,50,50,11400,24500,3200,26500,3600,400,400,12,2,21,2430,320,220,20,140
264,GM0090,34990,11040,25050,8400,5970,770,390,390,380,410,430,410,420,460,25200,22500,8300,23300,11300,1500,1400,27,5,19,7000,2020,1420,100,670
265,GM0342,28830,9280,20750,7270,5140,550,170,180,170,160,220,220,210,230,20400,28100,6800,29200,9300,1000,1000,23,3,12,4050,810,530,30,410
266,GM0847,12640,3450,8220,2940,1870,170,30,30,30,30,60,60,50,60,7900,24900,2900,27200,3500,400,300,12,2,16,1540,240,210,20,100
267,GM0848,10710,3610,7380,2830,2020,190,50,50,50,50,70,70,70,80,7000,29300,2600,29900,3500,300,300,8,1,12,1380,240,200,20,140
268,GM0037,19190,5540,14600,4510,3020,370,200,190,200,210,230,230,230,230,14900,21200,4600,22300,5900,1000,900,15,3,21,4280,1070,860,130,270
269,GM0180,10700,4660,6020,2850,2030,100,20,20,20,20,40,40,40,40,5600,24300,2700,24500,4700,300,400,9,2,26,1180,160,170,20,110
270,GM0532,13400,4290,9220,3440,2360,260,70,70,70,80,90,90,90,90,9100,24300,3400,25500,4500,500,400,11,3,24,1780,300,370,30,170
271,GM0851,15530,4080,11200,3480,2350,230,70,70,70,70,100,100,100,100,10700,24500,3400,26500,4200,400,400,12,2,18,2560,400,200,10,190
272,GM1708,27430,8420,19600,6520,4540,490,160,160,160,170,200,200,200,200,19000,23400,6300,24100,8800,1000,1000,23,5,19,4350,880,660,80,400
273,GM0971,14990,3740,11580,3600,2290,230,60,60,60,60,70,70,70,80,11400,24500,3700,26000,4000,400,400,14,2,16,2310,340,280,10,220
274,GM1904,40530,13180,28440,10500,7420,730,180,180,180,180,220,220,210,220,27700,28900,10300,30500,13200,1000,900,35,5,15,5380,910,450,30,610
275,GM1900,55150,17680,40190,13170,9450,1040,500,500,490,510,580,560,560,610,40000,23400,13300,24700,19100,2100,2000,49,8,17,9100,2610,1450,110,760
276,GM0715,33100,9250,25820,7590,5260,670,280,290,270,290,300,300,280,300,25500,24200,7600,25400,9300,1300,1100,27,5,19,6610,1210,650,60,480
277,GM0093,3140,700,2530,590,380,40,0,0,0,0,0,0,0,0,2500,22500,600,28000,800,100,100,2,0,9,320,20,20,0,20
278,GM0448,8320,2170,6500,1790,1210,130,20,20,20,30,40,40,30,30,6400,23800,1800,25200,2500,300,300,5,1,16,1170,170,210,10,70
279,GM1525,24280,7470,16130,6050,4240,440,50,60,50,40,90,90,80,80,15100,29100,5800,30900,7600,400,400,21,2,11,2730,380,320,40,350
280,GM0716,16320,5670,10680,3990,2860,250,80,80,70,90,90,90,80,100,10400,23800,3900,25200,5800,500,600,15,3,23,2340,370,270,30,300
281,GM0281,27730,7970,18660,6620,4510,570,250,240,250,260,300,280,290,320,18100,23800,6700,24300,8800,1400,1300,21,5,23,5030,1290,760,110,440
282,GM0855,152040,39090,109710,31380,22410,3320,1800,1810,1770,1820,1940,1910,1920,2000,106000,21400,29600,24400,38100,6400,5800,120,16,13,24850,8090,3100,420,2070
283,GM0183,13740,4290,8230,3510,2210,180,30,30,30,20,40,40,30,40,8000,25300,3500,27100,4900,300,300,12,3,24,1320,160,230,30,130
284,GM1700,21190,7390,13250,5540,3770,360,140,140,140,150,150,140,150,160,13200,22700,5500,23400,7800,700,800,18,4,24,3160,560,610,90,390
285,GM1730,19820,7020,14420,5180,3830,300,90,90,80,100,120,110,110,130,14600,26700,4900,28400,6700,500,400,16,2,11,2960,560,550,20,270
286,GM0737,19250,6330,13650,4770,3340,320,110,100,110,110,120,110,120,140,13700,23400,4700,24400,6500,600,600,16,2,15,3170,660,490,60,350
287,GM0856,26650,7960,18850,6480,4470,540,170,160,160,170,200,190,190,200,18100,25200,6300,26400,8200,900,800,23,5,20,3710,740,600,80,410
288,GM0450,8910,2740,5710,2320,1580,180,40,40,40,40,50,50,50,60,5500,27600,2200,28500,2900,200,200,7,1,14,970,190,110,0,130
289,GM0451,19670,6160,13130,5260,3650,500,90,100,90,90,130,130,120,120,12700,27100,4800,28300,6100,700,600,15,2,12,2380,410,330,30,290
290,GM0184,13240,6980,6460,3670,2820,120,30,30,30,30,50,50,50,60,6000,23700,3300,24100,6600,300,500,12,3,24,1770,140,260,30,140
291,GM0344,261220,70600,181780,48890,38780,4120,2170,2180,2140,2200,2710,2690,2680,2760,172000,22800,43600,27700,64200,9200,8900,205,13,7,37780,11960,3620,140,3670
292,GM1581,29760,9910,21620,7190,5180,470,100,110,100,100,150,150,150,160,22100,28800,6700,32200,9400,700,700,24,3,11,4770,790,900,50,470
293,GM0981,6160,1290,5490,1150,760,100,60,60,50,70,60,60,60,70,4800,21900,1200,22700,1000,200,200,4,1,27,2070,340,120,20,50
294,GM0994,9710,2250,7890,2150,1340,150,60,50,60,60,60,50,70,60,8100,24600,2300,27700,2400,300,300,7,1,13,1520,350,200,20,110
295,GM0858,19030,5120,14610,4470,2970,370,130,120,130,140,130,120,130,140,14100,25000,4300,26700,5200,600,500,16,3,20,2760,580,310,60,240
296,GM0047,16950,4990,12680,4140,2880,380,230,230,230,220,240,230,240,260,12700,22000,4200,22400,5200,900,800,14,3,22,3670,1040,640,60,290
297,GM0345,42390,14770,28190,10480,7710,790,310,300,310,330,370,350,360,390,26700,24400,9900,25100,14500,1700,1600,34,6,16,6240,1390,930,70,820
298,GM0717,12580,4020,9530,3010,2050,150,30,30,30,40,40,40,30,40,9600,26200,3000,26700,4200,300,300,10,2,17,1690,200,170,20,150
299,GM0861,28690,8420,20160,7080,4910,480,110,120,100,120,140,150,140,150,19700,26500,6700,28300,8300,800,700,24,4,15,4150,620,770,60,400
300,GM0453,44090,12680,31210,11090,7440,970,330,350,330,320,400,410,400,400,30900,25400,10600,27100,12900,1600,1400,36,6,17,6260,1620,860,30,660
301,GM0983,64920,17620,48370,14870,10150,1330,700,700,670,720,760,730,740,800,46700,22900,14600,23700,17700,3100,2700,53,11,20,11530,3360,1330,120,890
302,GM0984,27900,7710,19190,6520,4300,480,180,180,180,180,230,220,240,250,19000,24100,6500,25500,8500,1200,1100,24,5,21,4200,980,680,80,320
303,GM1961,36170,12020,23800,9340,6460,650,190,200,190,190,240,240,240,230,22400,25500,8500,26500,11500,1100,1000,29,6,20,4790,890,630,50,640
304,GM0622,46270,14180,34890,11490,8190,1390,700,710,670,730,770,750,730,820,34700,23200,10600,24100,12700,2600,2400,37,7,20,8700,2710,1010,70,650
305,GM0096,860,150,690,130,90,10,0,0,0,0,0,0,0,0,600,24100,100,25600,200,0,0,1,0,29,100,10,0,0,10
306,GM0718,27360,7600,22450,6090,4390,670,400,380,370,440,420,410,390,450,22200,22400,6000,23500,7500,1200,1000,21,4,19,5550,1900,530,40,390
307,GM0986,7320,2100,5610,1860,1200,130,30,30,20,30,40,50,40,40,5500,26600,1800,27300,2100,200,200,7,1,11,990,160,120,10,90
308,GM0626,15170,5440,11310,4070,2980,310,80,80,80,80,100,100,100,110,11100,30400,4000,31300,5400,500,400,13,1,9,2180,360,210,10,340
309,GM0285,14860,4820,10250,3630,2480,200,60,60,50,50,70,70,70,80,10400,25400,3500,27700,4500,300,300,14,2,17,2060,330,530,20,150
310,GM0865,19350,6520,13420,4900,3540,340,60,60,50,60,70,70,60,70,13700,28500,4600,31500,6100,400,400,14,2,11,2910,330,600,80,260
311,GM1949,28620,8910,20430,6770,4790,500,230,220,220,250,280,270,270,280,20400,22500,6900,23500,9600,1000,1000,24,4,18,4790,1230,630,30,490
312,GM0866,10410,3540,7610,2750,1960,180,40,50,40,40,60,60,60,60,7300,31000,2600,31800,3500,300,300,10,1,12,1390,260,100,20,160
313,GM0867,31020,8930,21990,7460,5170,600,180,190,180,180,210,210,190,210,20900,24600,7000,26000,8800,900,800,26,5,19,4400,860,500,100,450
314,GM0627,19070,6570,12700,4840,3550,290,90,80,90,90,100,100,100,110,10900,26300,3900,27000,5300,400,400,14,2,15,2400,390,400,10,290
315,GM0289,28270,5890,22520,4360,3270,350,150,150,140,160,170,160,160,190,19900,20100,4100,27300,5700,600,600,20,1,7,4800,760,550,30,310
316,GM0629,15830,5580,12130,4160,2990,390,110,110,110,110,110,110,110,120,11400,38700,3800,40500,5100,500,500,12,1,9,3690,410,170,10,200
317,GM0852,10250,3340,7540,2760,1870,220,40,40,30,40,50,60,50,50,7500,29200,2700,32100,3300,200,200,10,1,14,1240,220,100,20,150
318,GM0988,31310,8350,22870,7300,4790,560,190,200,190,190,240,240,230,250,22200,24500,7200,26300,8700,1100,1000,25,4,16,5120,1070,620,90,400
319,GM0457,12850,4210,9370,3150,2390,230,80,80,80,90,110,110,110,120,8800,26300,2700,28600,3500,400,400,12,2,15,1690,470,160,10,180
320,GM1960,32680,10750,20750,8260,5690,530,110,100,100,120,150,150,140,160,19800,27300,7900,28200,11100,800,800,26,5,21,4050,550,440,60,480
321,GM0668,12550,3460,8440,2960,1970,180,30,30,40,40,60,50,60,60,8000,25200,2800,27300,3600,300,300,9,2,16,1660,260,220,20,140
322,GM1969,39490,13330,26620,10010,7190,620,210,190,200,220,250,230,250,270,26100,23800,9900,24700,13800,1200,1100,33,5,15,5640,1120,1070,60,670
323,GM1701,11490,3120,8790,2570,1720,170,40,40,50,40,50,50,50,50,8600,25000,2500,26300,3400,300,300,8,1,17,1950,300,340,20,120
324,GM0293,9630,2740,6730,2400,1640,220,100,90,90,100,120,120,120,130,6600,23900,2500,24000,2800,500,400,9,2,19,1600,420,270,20,170
325,GM1950,15510,4600,11280,3350,2170,250,120,110,120,120,140,140,140,150,11300,21900,3300,22800,4200,600,600,11,2,20,3670,610,510,30,160
326,GM1783,71000,22500,46980,18000,12500,1200,320,310,320,330,410,390,410,440,44700,25900,16500,28500,21100,1900,1800,61,10,17,8180,1480,1160,100,1030
327,GM0098,15840,4790,11450,3810,2620,300,110,90,110,120,110,100,110,120,11400,22700,3700,24000,4900,600,600,14,3,22,2590,530,440,60,220
328,GM0614,8910,2400,6720,2170,1400,140,20,20,20,30,40,30,30,40,6400,31500,2000,33500,2300,200,200,6,1,14,1440,130,120,10,110
329,GM0189,15050,5170,9690,3960,2650,220,40,40,40,50,60,60,60,70,9300,26200,3700,27100,5200,400,400,15,2,14,1650,260,210,40,160
330,GM0296,26160,7760,17840,6530,4410,480,170,160,170,170,180,170,180,190,17500,25500,6500,26600,8500,800,700,22,3,12,3490,830,510,40,360
331,GM1696,14830,4660,10760,3860,2680,250,40,40,40,40,60,60,60,60,10300,29800,3500,31200,4500,400,300,11,1,13,1850,250,150,10,170
332,GM0352,15050,4690,10240,3770,2610,280,70,70,60,60,90,90,80,90,9800,27600,3700,27800,4900,400,300,14,2,12,1760,310,210,20,260
333,GM0294,17980,5250,12880,4280,2930,320,130,120,130,140,150,140,150,150,12900,23100,4200,24200,5600,600,600,16,3,22,2890,690,500,50,250
334,GM0873,13590,3710,9770,3260,2140,220,70,60,60,70,80,80,90,90,9500,25300,3200,26100,3600,400,300,14,3,20,2610,330,210,20,140
335,GM0632,33380,11230,22220,8450,6050,650,130,150,120,130,180,180,180,190,21400,27900,8100,29500,11400,800,800,28,4,14,3980,720,540,50,520
336,GM1690,14810,4470,10260,3540,2380,210,40,40,40,40,60,60,60,70,10000,25200,3500,26700,4700,400,300,15,3,17,1850,300,290,20,150
337,GM0880,10160,2920,7130,2650,1690,220,60,60,60,70,70,70,70,70,6900,26500,2500,27600,3000,300,300,9,1,14,1200,260,150,0,150
338,GM0351,8370,3250,5230,2180,1620,110,20,20,20,20,40,40,40,40,5000,26400,1900,26900,3000,200,200,7,1,17,1060,130,250,10,150
