ID,BedrijfstakkenBranchesSBI2008,Bedrijfsgrootte,AantalBedrijven_1,PersoneelDatWerktMetEenComputer_2,PersoneelDatWerktMetInternet_3,Telewerkers_4,TelewerkKomtVoor_5,PersoneelDatWerktMetMobielInternet_6,Internet_7,TotaalBreedband_8,BreedbandVastTotaal_9,ADSLVDSLEnSDSLEnDergelijke_10,AndereHoogwaardigeVasteVerbindingen_11,MobielBreedbandTotaal_12,ViaDraagbareComputer_13,ViaMobieleTelefoonSmartphone_14,MinderDan2MbitS_15,k_2Tot10MbitS_16,k_10Tot30MbitS_17,k_30Tot100MbitS_18,k_100MbitSOfMeer_19,TenMinsteEenAlgemeneToepassing_20,FinancieleTransacties_21,TrainingEnOpleiding_22,PresentatieEigenBedrijf_23,OnlineBestellenOfBoeken_24,TenMinsteEenSoortCommunicatie_25,VerkrijgenVanInformatie_26,VerkrijgenVanFormulieren_27,RetournerenIngevuldeFormulieren_28,SocialePremiesVanMedewerkers_29,Vennootschapsbelasting_30,BTW_31,InvoerrechtenAccijnzen_32,VolledigeElekAfhandelingAanvraag_33,BeperkingEContactMetDeOverheid_34,Geheimhouding_35,ProceduresTeIngewikkeld_36,ProceduresVereisenNogPapier_37,NietBekendMetBestaan_38,Anders_39,DocumentenRaadplegenOverAanbesteding_40,ElektronischInschrijvenOpAanbesteding_41,OverheidInNederland_42,OverheidInAnderEULand_43,OverheidBuitenEU_44,VerkoopViaExterneNetwerken_45,Verkoopwaarde1VanDeTotaleOmzet_46,Verkoopwaarde2VanDeTotaleOmzet_47,Verkoopwaarde5VanDeTotaleOmzet_48,Verkoopwaarde10VanDeTotaleOmzet_49,Verkoopwaarde25VanDeTotaleOmzet_50,Verkoopwaarde50VanDeTotaleOmzet_51,VerkoopViaEenWebsite_52,Verkoopwaarde1VanDeTotaleOmzet_53,Verkoopwaarde2VanDeTotaleOmzet_54,Verkoopwaarde5VanDeTotaleOmzet_55,Verkoopwaarde10VanDeTotaleOmzet_56,Verkoopwaarde25VanDeTotaleOmzet_57,Verkoopwaarde50VanDeTotaleOmzet_58,VerkoopViaNietInternetnetwerken_59,Verkoopwaarde1VanDeTotaleOmzet_60,Verkoopwaarde2VanDeTotaleOmzet_61,Verkoopwaarde5VanDeTotaleOmzet_62,Verkoopwaarde10VanDeTotaleOmzet_63,Verkoopwaarde25VanDeTotaleOmzet_64,Verkoopwaarde50VanDeTotaleOmzet_65,InkoopViaExterneNetwerken_66,Inkoopwaarde1VanDeTotaleInkoop_67,Inkoopwaarde2VanDeTotaleInkoop_68,Inkoopwaarde5VanDeTotaleInkoop_69,Inkoopwaarde10VanDeTotaleInkoop_70,Inkoopwaarde25VanDeTotaleInkoop_71,Inkoopwaarde50VanDeTotaleInkoop_72,TotaalOpenSourceSoftware_73,BesturingssystemenServerSoftware_74,Internetbrowsersoftware_75,OfficeSoftware_76,ERPOfCRMToepassingen_77,AndereOpenSourceSoftware_78,TotaalVerkooporderverwerkingssysteem_79,FactureringsEnBoekhoudsystemen_80,Voorraadbeheersystemen_81,Productiesystemen_82,LogistiekeSystemen_83,TotaalInkooporderverwerkingssysteem_84,BetalingsEnBoekhoudsysteem_85,Voorraadbeheersystemen_86,TenMinsteEenSoort_87,Productinformatie_88,Transportdocumenten_89,DataVanNaarOverheden_90,AndereBerichten_91,OrderverwerkingMetDerden_92,GeschiktVoorAutomatischeVerwerking_93,NietGeschiktVoorAutomBewerking_94,GeschiktVoorAutomatischeVerwerking_95,NietGeschiktVoorAutomVerwerking_96,WasZeerBelangrijk_97,WasBelangrijk_98,WasEnigszinsBelangrijk_99,WasOnbelangrijk_100,WasZeerBelangrijk_101,WasBelangrijk_102,WasEnigszinsBelangrijk_103,WasOnbelangrijk_104,WasZeerBelangrijk_105,WasBelangrijk_106,WasEnigszinsBelangrijk_107,WasOnbelangrijk_108,WasZeerBelangrijk_109,WasBelangrijk_110,WasEnigszinsBelangrijk_111,WasOnbelangrijk_112,VerminderenPapierPrintsKopieen_113,VerlagenEnergieverbruikApparaten_114,TelefoonWebVideoconferenceIpvReizen_115,ITToepassingenMinderEnergieverbruik_116
10,000012,12,119,67,64,17,83,6,100,92,92,69,61,58,41,55,8,32,33,20,7,92,92,37,92,41,99,70,95,97,56,37,65,17,49,6,43,71,49,22,57,47,25,100,0,0,20,20,10,9,7,4,3,26,20,10,9,7,4,3,1,0,0,0,0,0,0,34,32,17,14,10,4,3,58,28,37,9,13,14,57,51,21,20,25,71,60,24,57,28,12,50,34,23,12,30,15,65,20,48,22,10,39,36,25,0,7,37,53,3,11,29,60,0,60,47,50,25
11,000012,13,37,87,81,18,87,12,100,100,100,82,97,96,84,81,0,11,0,46,43,89,89,49,100,70,92,84,87,86,76,70,76,39,38,16,50,50,100,0,50,48,25,100,16,0,26,26,26,21,8,4,0,52,26,26,21,8,4,0,13,5,5,5,5,0,0,77,47,47,45,31,23,19,61,49,9,0,18,18,88,71,47,32,48,87,78,58,93,63,28,72,56,43,31,43,43,48,24,53,11,12,48,18,23,12,23,41,19,16,22,61,8,9,76,80,76,67
12,350000,14,6436,50,47,19,48,9,99,85,84,76,19,30,22,23,14,30,31,22,3,93,92,8,77,11,94,43,77,93,51,46,83,9,40,3,76,23,61,31,22,23,20,100,8,2,7,7,5,4,2,0,0,8,7,5,4,2,0,0,0,0,0,0,0,0,0,28,25,22,18,14,8,5,50,9,36,27,5,9,40,28,9,6,8,38,28,10,68,49,14,56,33,22,4,17,20,48,13,34,36,16,24,42,27,7,16,28,42,14,6,46,40,8,40,24,29,16
13,350000,11,5434,42,40,11,42,6,99,84,82,75,14,25,17,18,16,31,32,20,1,92,92,6,74,11,93,38,75,92,48,45,82,7,37,2,82,0,50,32,18,18,16,100,6,2,7,7,6,4,2,0,0,8,7,6,4,2,0,0,0,0,0,0,0,0,0,26,23,22,17,14,8,5,49,7,35,28,4,9,38,26,6,4,6,35,25,7,65,47,14,52,30,22,3,16,20,45,10,30,43,17,24,32,33,10,17,23,48,12,6,47,41,5,38,22,28,13
14,350000,12,880,42,40,13,78,8,100,95,95,80,40,53,46,40,5,30,27,28,10,94,94,15,94,12,99,66,89,99,69,51,90,16,57,5,67,71,82,35,29,47,37,100,11,0,6,6,3,1,1,0,0,7,6,3,1,1,0,0,0,0,0,0,0,0,0,35,29,25,22,16,9,5,56,13,44,24,11,11,48,38,20,13,12,51,39,21,83,58,14,78,47,24,7,18,19,69,18,45,19,18,24,60,16,0,14,39,27,20,3,38,43,16,44,34,34,26
15,350000,13,122,67,62,32,96,14,100,100,100,85,89,77,75,73,0,11,25,40,24,94,93,36,97,10,99,75,95,97,71,46,81,25,56,6,41,61,80,0,39,59,68,100,14,11,9,7,5,3,2,0,0,6,5,4,3,0,0,0,7,4,2,2,2,0,0,49,43,38,29,16,10,3,51,29,36,17,12,16,53,47,30,19,25,82,66,38,85,57,24,70,51,37,11,30,35,64,33,44,20,2,23,68,7,2,15,39,37,9,13,58,23,7,69,66,62,43
16,354200,14,14702,64,50,16,59,10,99,92,91,79,31,41,29,33,7,31,30,26,6,91,89,24,79,37,90,44,75,90,63,52,89,24,42,5,28,38,57,24,36,9,7,100,28,10,31,28,23,19,13,6,4,29,23,18,14,9,4,2,12,8,7,6,4,2,1,37,32,27,26,22,17,13,55,15,42,27,11,14,63,51,43,16,31,63,40,45,71,50,34,59,39,36,17,28,28,64,31,34,18,17,32,53,13,3,26,38,30,7,35,37,24,4,49,31,39,21
17,354200,11,12459,67,57,16,54,10,99,91,90,79,25,37,26,29,8,31,31,25,4,90,89,21,76,35,89,41,72,88,62,52,89,22,40,5,27,38,54,22,34,8,6,100,33,12,29,26,22,18,12,5,3,27,22,17,14,9,4,2,9,6,5,5,3,1,1,36,30,26,24,21,16,13,53,13,42,26,10,13,60,48,39,12,26,60,36,42,70,48,31,57,36,33,14,26,27,61,32,32,18,19,29,55,13,4,27,34,31,8,39,32,26,3,47,28,36,19
18,354200,12,1935,73,61,19,84,11,100,98,97,79,56,59,45,48,2,29,26,30,14,93,92,33,91,46,97,59,90,96,67,50,91,30,55,3,36,37,83,37,54,14,12,100,13,4,43,39,33,26,18,11,7,36,27,20,16,10,4,3,23,17,16,13,10,7,4,43,37,33,29,24,18,15,60,22,45,29,16,16,80,63,64,32,56,77,55,62,78,56,44,69,49,48,32,38,34,75,27,38,22,13,36,50,12,1,20,49,27,5,22,51,19,7,59,43,52,31
19,354200,13,308,57,36,14,88,9,100,99,98,82,73,74,63,68,1,30,22,29,18,94,93,52,98,59,98,66,92,97,74,53,78,41,52,3,85,35,50,16,15,17,13,100,21,0,51,44,37,34,27,17,12,49,32,24,20,13,7,3,33,25,24,22,18,10,7,61,55,54,52,45,37,32,68,48,45,21,23,23,85,77,76,42,72,90,77,81,89,65,54,76,63,68,45,52,59,78,32,42,15,11,45,42,11,1,21,46,27,6,29,49,21,2,70,56,67,40
20,383100,14,3643,54,47,16,55,6,100,93,92,78,32,35,21,28,7,30,34,23,6,91,91,11,74,23,95,51,82,93,61,50,87,26,50,5,49,57,62,52,73,15,11,100,5,3,24,22,21,19,14,8,6,17,15,14,11,7,3,2,14,12,11,11,8,5,3,30,26,21,18,10,5,2,55,17,42,23,9,11,48,35,14,7,25,38,24,8,74,39,43,59,42,27,12,33,23,63,39,41,15,5,48,40,11,1,20,50,24,6,27,57,16,0,47,35,40,26
21,383100,11,2767,39,33,9,48,5,100,91,90,76,27,28,14,23,9,30,36,20,5,92,92,8,68,20,93,48,79,92,56,47,86,24,48,5,54,52,62,61,84,13,10,100,1,0,19,18,18,15,9,5,3,15,13,12,10,5,2,2,9,8,8,7,4,2,2,27,25,20,15,7,4,2,52,13,41,22,6,9,44,31,11,5,20,36,21,7,70,39,38,56,38,24,9,30,21,59,30,48,15,6,41,44,13,2,19,54,20,8,23,73,4,0,44,32,36,23
22,383100,12,748,47,42,13,75,8,100,99,99,86,44,53,39,41,1,30,29,33,6,89,89,15,90,31,99,63,91,98,77,61,93,33,60,4,29,87,58,13,30,23,15,100,12,7,38,33,30,29,23,15,11,24,19,17,15,11,6,4,25,20,19,18,15,10,6,35,26,23,22,16,7,3,62,23,47,27,16,15,59,46,20,10,39,42,30,10,86,38,55,70,52,33,18,39,28,75,51,29,15,4,56,34,9,0,23,46,29,2,34,44,22,0,56,41,51,32
23,383100,13,128,64,54,20,95,6,100,100,100,71,80,76,64,60,0,30,23,25,22,92,92,57,95,33,99,54,83,95,64,47,75,49,45,3,0,0,100,0,0,14,8,100,37,20,56,51,51,50,44,34,23,28,25,25,21,16,8,4,45,40,40,40,34,27,21,58,51,44,41,29,13,7,66,56,35,13,14,26,73,63,38,19,53,76,56,32,94,56,66,73,72,45,39,47,30,71,52,34,10,4,57,38,5,0,22,37,33,7,23,28,49,0,68,57,80,63
24,389100,14,3608,41,36,10,38,7,100,95,90,84,21,32,19,26,5,29,37,25,4,84,84,8,79,46,84,27,62,82,64,48,76,12,24,4,44,44,57,31,72,8,5,100,27,2,25,25,23,22,19,14,5,27,25,23,22,19,14,5,1,1,1,1,1,0,0,27,24,24,22,20,12,8,49,4,38,27,4,10,35,18,12,3,6,22,10,4,63,50,11,43,30,16,4,29,16,52,16,53,13,18,52,36,12,1,14,50,20,16,25,31,34,10,38,19,23,12
25,389100,11,3316,40,36,9,36,8,100,95,90,83,19,31,18,25,5,30,37,24,3,84,84,6,79,45,83,25,60,81,64,48,75,12,23,5,43,43,57,30,74,8,5,100,29,0,24,24,23,21,18,13,5,26,24,22,21,18,13,5,1,1,1,0,0,0,0,26,24,23,22,19,12,8,49,4,38,27,3,10,34,17,12,2,6,20,9,2,64,50,11,41,30,15,3,29,15,51,12,55,12,22,64,30,6,0,16,48,18,18,26,28,36,10,36,17,22,11
26,389100,12,251,40,30,7,49,3,98,98,95,87,31,37,20,33,0,19,40,34,5,84,84,27,80,51,93,41,76,93,69,51,92,10,43,0,0,0,0,0,0,6,7,100,24,24,31,30,26,26,22,16,6,33,30,26,26,22,16,6,2,0,0,0,0,0,0,38,28,27,27,22,11,7,49,11,37,32,9,10,43,27,10,15,8,45,15,23,59,47,18,56,37,35,10,27,29,63,27,46,19,8,18,53,26,3,4,64,25,7,19,45,24,12,57,39,30,24
27,389100,13,41,44,40,13,91,8,100,100,100,93,62,77,70,66,0,16,40,21,23,92,92,56,96,69,97,49,93,97,56,60,65,17,47,11,64,71,64,36,0,25,22,100,0,0,58,58,48,48,45,32,17,49,49,39,39,36,25,17,18,18,18,14,14,6,0,71,45,45,38,38,38,27,66,18,43,30,28,33,63,50,26,23,22,61,46,19,68,59,30,64,58,39,16,50,39,76,35,52,13,0,29,42,29,0,16,38,30,16,20,45,35,0,79,58,55,35
28,391600,14,2516,85,84,50,88,30,100,98,97,75,55,67,53,62,2,20,27,32,19,95,93,49,92,27,97,56,86,94,63,53,89,19,47,5,38,82,25,18,46,28,25,92,40,8,17,16,15,12,8,4,2,18,16,14,12,8,3,2,3,3,3,2,1,1,0,50,45,41,39,31,21,15,74,41,70,30,34,35,48,31,14,11,12,35,22,10,73,44,18,59,36,22,10,46,19,76,75,16,8,1,59,36,5,0,30,37,18,15,52,35,11,2,50,40,73,25
29,391600,11,2004,96,95,54,87,32,100,97,97,77,48,64,48,58,3,22,29,33,13,95,92,46,91,25,96,55,85,93,58,53,88,20,44,6,40,87,22,17,45,25,22,89,45,7,15,14,13,11,8,4,2,15,14,13,11,7,3,2,2,2,2,2,1,0,0,50,46,41,39,31,22,15,74,36,70,29,32,32,43,26,11,8,10,30,19,7,72,44,16,58,32,20,8,46,17,75,76,14,9,1,63,32,4,0,29,36,18,17,54,35,10,1,47,36,71,22
30,391600,12,420,97,95,47,92,35,100,99,99,69,80,79,66,73,1,14,18,29,38,95,94,57,97,32,98,56,91,98,79,56,90,18,56,1,0,31,52,31,48,34,31,100,26,7,23,22,18,14,9,4,2,26,20,17,13,8,1,1,6,4,4,4,4,1,1,49,41,38,34,29,19,12,78,57,71,37,40,46,63,45,20,18,20,49,30,18,72,44,24,62,50,25,13,46,21,81,70,22,5,3,52,40,8,0,34,44,14,7,45,36,14,5,57,55,76,35
31,391600,13,92,76,75,49,96,27,100,100,97,64,86,81,74,80,0,10,11,26,53,100,98,71,100,49,100,71,91,100,84,59,87,20,56,5,26,26,48,26,52,50,50,100,29,16,34,34,32,28,17,8,5,37,32,29,24,12,3,0,15,15,8,8,7,5,3,58,50,48,47,32,25,18,70,64,69,27,45,48,71,59,33,30,35,74,52,27,82,41,36,74,54,41,23,55,39,83,69,29,2,0,50,48,2,0,26,40,21,13,55,31,13,2,87,73,91,54
32,396300,14,441,99,98,31,78,14,99,97,96,72,57,50,34,43,3,28,29,25,15,92,89,39,83,31,89,51,72,86,59,48,68,18,37,2,49,32,51,32,32,10,7,100,38,11,24,24,21,19,15,8,5,28,23,20,19,13,8,4,5,4,4,4,3,2,1,30,26,19,18,12,6,5,45,18,35,16,12,12,35,23,9,12,7,26,20,6,62,34,13,48,36,25,10,23,23,57,69,23,8,0,47,44,9,0,19,44,28,8,32,37,23,9,46,37,53,19
33,396300,11,294,95,92,34,71,16,99,95,95,74,49,40,23,35,4,27,32,25,11,91,89,32,80,19,86,46,68,84,52,42,67,16,34,1,0,50,100,50,0,10,7,100,34,0,18,18,18,18,13,7,4,18,18,17,17,12,7,4,3,3,3,3,2,1,0,21,20,14,11,8,4,4,38,9,30,16,10,9,24,17,4,5,3,20,15,1,60,29,9,43,25,21,4,16,19,52,70,18,12,0,41,50,9,0,10,43,34,13,33,21,30,15,37,25,47,16
34,396300,12,94,97,94,35,95,22,100,99,96,71,60,67,51,55,1,40,27,24,7,91,89,46,87,42,91,53,73,89,67,55,70,10,33,3,49,49,51,51,51,7,6,100,38,0,27,27,19,15,11,6,4,37,27,19,15,10,6,4,2,2,2,2,2,0,0,41,36,31,31,17,11,9,54,22,42,19,13,16,44,30,18,15,14,29,25,14,61,43,24,53,48,20,11,27,18,58,53,47,0,0,49,34,17,0,23,52,25,0,21,50,22,6,60,51,59,20
35,396300,13,53,99,98,30,87,13,100,100,100,69,93,69,64,62,0,12,13,29,45,98,89,66,89,74,97,74,89,94,81,65,70,39,61,7,100,0,0,0,52,18,13,100,49,49,48,45,38,34,30,14,10,62,45,38,32,25,12,5,22,16,16,13,10,8,8,55,36,29,29,27,12,6,71,57,48,13,19,25,71,44,18,46,16,52,36,14,78,46,15,65,70,57,39,47,51,77,79,14,7,0,55,42,3,0,35,42,18,5,37,54,10,0,70,72,80,33
36,402000,14,825,94,90,32,80,20,100,96,96,77,47,58,40,49,4,27,32,27,10,93,93,14,90,23,88,54,71,84,63,55,90,11,42,4,28,14,44,27,61,8,6,100,28,0,14,13,10,8,7,4,2,13,13,10,8,7,2,2,4,2,2,2,2,0,0,30,21,12,7,5,2,2,61,21,55,21,14,8,28,19,4,6,5,34,23,6,63,34,7,55,41,26,13,23,23,64,31,43,18,8,54,45,2,0,8,52,23,17,19,57,20,4,44,31,30,16
37,402000,11,624,89,86,27,75,15,100,95,95,76,41,54,36,45,5,29,34,26,6,92,92,10,88,25,85,50,66,80,59,50,93,11,39,3,50,0,50,0,50,6,7,100,33,0,17,14,10,8,8,4,2,14,14,10,8,8,2,2,5,2,2,2,2,0,0,25,17,9,4,4,0,0,62,14,58,25,12,7,30,20,5,7,6,26,17,5,60,33,7,52,44,26,14,28,25,66,29,57,14,0,63,37,0,0,11,52,11,26,25,50,25,0,37,25,28,14
38,402000,12,173,95,89,27,96,23,100,100,99,81,63,74,54,60,0,23,24,31,22,96,96,23,99,19,97,67,83,93,76,71,87,12,53,7,0,36,27,73,73,13,4,100,0,0,7,7,7,7,4,3,3,7,7,7,7,4,3,3,0,0,0,0,0,0,0,41,30,18,13,5,5,5,65,42,50,11,24,10,20,16,2,2,2,54,37,3,69,32,8,59,33,23,10,12,15,59,25,25,29,22,37,63,0,0,5,50,38,7,15,75,0,10,61,47,33,23
39,402000,13,28,96,96,45,100,21,100,100,100,57,81,52,37,52,0,8,34,23,36,88,88,44,88,23,100,70,92,100,52,48,41,8,43,8,0,0,100,0,100,12,0,0,0,0,15,15,15,15,0,0,0,15,15,15,15,0,0,0,0,0,0,0,0,0,0,52,52,52,38,23,15,15,23,23,15,0,0,0,29,14,14,0,0,70,58,51,85,77,8,77,29,30,0,8,30,53,74,0,0,26,79,0,21,0,0,66,34,0,0,35,65,0,85,77,56,38
40,403300,14,6213,93,90,42,84,26,100,96,95,77,43,57,42,47,4,24,31,30,12,95,94,25,90,20,97,61,86,95,68,62,87,15,54,5,34,24,55,32,44,29,25,96,22,7,14,13,11,9,5,2,1,14,12,9,8,4,1,1,3,2,2,2,1,0,0,34,30,26,22,16,9,5,58,22,47,24,17,20,39,28,10,9,10,34,22,9,71,43,15,61,41,23,6,31,20,69,45,40,12,4,50,39,10,1,24,46,23,8,31,39,25,5,58,39,55,20
