ID,Bedrijfsgrootte,BedrijfstakkenBranchesSBI2008,InternetVast_1,MinderDan30MbitS_2,k_30Tot100MbitS_3,k_100Tot500MbitS_4,k_500MbitSTot1GbitS_5,TenMinste1GbitS_6,BedrijvenMetWebsite_7,BeschrijvingenVanProductenPrijslijst_8,OnlineBestellenBoekenOfReserveren_9,ProductaanpassingDoorKlant_10,BestellingOnlineVolgen_11,KlantspecifiekeInfoVoorDeBezoeker_12,VerwijzingNaarSocialeMedia_13,SocialeNetwerkenBijvFacebook_14,BlogsOfMicroblogsBijvTwitter_15,MultimediaDelenBijvYouTube_16,WikiSOmKennisTeDelen_17,ClouddienstenGebruikt_18,EMail_19,OfficeSoftware_20,OpslagDatabases_21,BestandenOpslaan_22,BoekhoudingSoftware_23,ERPSoftware_24,KlantbeheerSoftware_25,Veiligheidssoftware_26,Rekenkracht_27,Rekenplatform_28,AntiVirussoftware_29,BeleidVoorSterkeWachtwoorden_30,UpdatenSoftwareBesturingssysteem_31,AuthenticatieViaSoftOfHardwaretoken_32,EncryptieVanData_33,GegevensOpAndereFysiekeLocatie_34,NetworkAccessControl_35,VPNInternetgebruikBuitenHetBedrijf_36,LogbestandenVoorAnalyseIncidenten_37,MethodesVoorBeoordelenICTVeiligheid_38,Risicoanalyses_39,IncidentDoorInterneOorzaak_40,IncidentDoorAanvalVanBuiten_41,UitvalICTDienstDoorVeiligheidsinc_42,VernietigingDataDoorVeiligheidsinc_43,OnthullingDoorInternIncident_44,UitvalICTDienstDoorAanvalBuitenaf_45,VernietigingDataAanvalVanBuitenaf_46,OnthullingGegevensDoorICTInbraak_47,KostenIncidentIntern_48,KostenIncidentAanvalBuitenaf_49,UitvalICTDienstDoorVeiligheidsinc_50,VernietigingDataDoorVeiligheidsinc_51,OnthullingDoorInternIncident_52,UitvalICTDienstDoorAanvalBuitenaf_53,VernietigingDataAanvalBuitenaf_54,OnthullingDoorICTInbraak_55,VerzekerdICTVeiligheidsincidenten_56,Kosten1VanDeTotaleOmzet_57,Kosten1Tot2VanDeTotaleOmzet_58,Kosten2Tot5VanDeTotaleOmzet_59,Kosten5Tot10VanDeTotaleOmzet_60,Kosten10Tot50VanDeTotaleOmzet_61,Kosten50VanDeTotaleOmzet_62,Kosten1VanDeTotaleOmzet_63,Kosten1Tot2VanDeTotaleOmzet_64,Kosten2Tot5VanDeTotaleOmzet_65,Kosten5Tot10VanDeTotaleOmzet_66,Kosten10Tot50VanDeTotaleOmzet_67,Kosten50VanDeTotaleOmzet_68,GezochtNaarMeldingenCyberdreigingen_69,BekendMetDTC_70,DTCWebsiteAlsBronGebruikt_71
10,WP19079,403300,82,7,27,31,14,3,49,36,9,1,2,6,25,46,9,19,3,40,27,25,25,32,17,1,5,17,3,2,87,70,90,41,32,70,22,25,19,12,14,12,7,10,3,1,3,2,4,4,1,3,2,0,0,1,1,7,53,21,26,0,0,0,63,14,12,12,0,0,8,7,1
11,WP19079,410200,77,6,33,23,12,4,54,44,10,2,1,9,27,43,8,15,2,27,18,16,18,22,16,2,4,14,1,2,82,65,77,35,28,50,20,17,16,12,14,4,4,3,1,0,2,2,1,1,1,0,0,0,1,1,0,7,19,73,0,8,0,0,55,20,12,12,0,0,6,7,2
12,WP19079,422400,79,9,26,25,13,5,47,41,8,1,2,15,24,44,5,16,4,22,13,9,12,17,9,0,4,10,0,0,85,68,80,42,44,56,29,29,21,18,18,10,3,8,2,0,1,1,1,1,1,1,1,0,1,0,0,8,0,0,0,0,100,0,100,0,0,0,0,0,8,8,1
13,WP19079,332915,91,4,26,45,13,3,56,40,9,2,4,7,26,45,18,15,10,59,45,34,38,48,31,3,7,21,12,23,84,88,98,65,62,77,40,51,49,23,32,11,4,11,2,1,3,1,1,2,0,2,0,0,0,0,0,18,33,30,3,33,0,0,44,48,0,7,0,0,27,19,5
14,WP19080,399907,91,15,29,29,14,4,75,60,28,4,9,19,36,53,9,27,2,39,30,24,30,32,27,6,14,22,6,6,85,62,80,41,34,62,29,26,30,23,23,11,6,10,2,1,4,2,1,3,2,3,1,0,1,1,0,12,68,18,5,8,1,1,81,12,5,3,0,0,7,8,2
15,WP19080,307500,93,18,33,29,9,3,78,62,24,4,7,14,35,52,6,23,1,36,28,20,24,27,24,7,10,17,4,4,87,58,78,31,26,65,28,26,26,21,22,9,5,9,1,0,4,2,1,3,2,3,0,0,2,1,0,12,85,10,5,0,0,0,84,8,7,0,0,0,5,6,1
16,WP19080,800036,79,9,35,18,15,2,43,33,9,2,2,15,20,24,2,11,0,36,30,27,31,32,27,6,14,21,9,7,72,52,69,35,36,49,29,27,22,20,21,6,5,6,1,1,5,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,10,5,1
17,WP19080,350000,91,18,29,27,14,3,66,43,10,1,2,13,23,41,3,14,0,30,23,17,22,22,19,3,6,19,3,1,88,57,75,35,24,61,18,17,20,16,13,8,3,7,1,0,2,1,1,3,2,3,1,0,1,1,1,5,100,0,0,0,0,0,100,0,0,0,0,0,5,5,2
18,WP19080,354200,92,17,31,27,12,4,76,62,41,4,17,20,39,59,9,33,1,35,25,21,26,27,24,7,12,19,4,5,83,61,80,38,29,59,28,24,28,22,21,8,6,7,1,1,4,2,1,2,2,2,0,0,2,1,0,9,65,23,3,9,0,0,90,6,0,4,0,0,6,7,1
19,WP19080,383100,79,20,23,23,10,3,42,34,14,4,4,10,13,30,2,11,0,23,15,13,17,17,15,4,5,12,4,4,79,54,70,33,21,57,26,19,25,21,21,10,6,10,2,0,4,3,1,4,3,4,2,0,2,2,0,7,60,8,0,32,0,0,81,0,0,19,0,0,4,8,2
20,WP19080,389100,89,19,31,28,10,2,82,72,49,9,13,22,41,59,5,32,0,17,13,7,9,13,11,3,4,5,1,2,71,44,66,22,16,32,18,11,13,7,10,12,6,11,3,2,3,2,1,3,2,2,1,0,1,1,1,7,93,7,0,0,0,0,90,0,10,0,0,0,1,5,1
21,WP19080,391600,94,7,24,35,21,7,86,69,26,8,8,17,51,68,24,39,15,71,58,52,57,64,50,15,29,39,24,35,83,81,93,61,60,78,41,45,57,31,39,15,9,15,2,1,8,1,1,4,3,4,0,0,3,0,0,23,95,5,0,0,0,0,52,12,19,17,0,0,23,17,4
22,WP19080,396300,93,8,23,35,15,11,79,65,22,5,6,12,31,51,12,14,2,60,55,48,49,49,39,11,37,37,14,13,93,80,97,61,59,85,56,43,58,54,51,19,8,19,4,1,8,0,0,7,0,7,1,0,0,0,0,35,100,0,0,0,0,0,61,33,6,0,0,0,6,13,5
23,WP19080,402000,86,12,23,31,18,3,56,45,9,2,0,16,28,38,11,24,2,42,33,28,35,35,23,4,14,27,3,3,78,57,70,44,34,63,31,30,26,28,24,6,6,5,2,0,5,2,1,4,1,3,1,0,0,1,0,12,0,57,43,0,0,0,83,17,0,0,0,0,5,11,3
24,WP19080,403300,94,9,25,34,18,7,74,57,15,2,3,14,40,53,13,26,4,59,47,39,45,49,42,10,22,36,10,9,89,69,87,48,40,76,34,34,39,30,29,15,6,14,3,1,5,2,2,5,2,5,1,0,1,1,1,18,39,29,12,8,6,5,74,20,6,0,0,0,11,10,1
25,WP19080,410200,90,16,24,30,15,4,71,55,21,5,5,18,36,52,10,27,1,38,33,25,29,31,26,7,16,23,5,5,87,63,76,36,32,61,29,23,26,20,23,6,6,5,1,0,3,1,2,1,1,1,0,0,0,0,0,12,71,0,29,0,0,0,80,20,0,0,0,0,5,9,2
26,WP19080,422400,96,11,33,31,15,6,89,74,26,4,1,42,39,48,8,26,2,48,37,29,39,41,30,4,23,29,4,3,97,79,95,67,69,81,46,42,48,33,37,21,4,19,2,3,4,1,1,6,1,6,1,1,0,1,0,22,0,50,0,50,0,0,77,18,5,0,0,0,8,7,3
27,WP19080,332915,93,7,25,34,19,8,84,69,27,8,9,18,49,61,20,31,16,71,60,54,57,64,54,19,30,41,25,37,87,82,94,63,61,77,42,50,61,34,42,16,10,15,3,0,8,2,1,3,3,3,0,0,3,0,0,23,94,6,0,0,0,0,51,11,16,23,0,0,26,20,5
28,WP19090,399907,97,7,26,36,17,11,92,79,37,6,10,26,61,76,18,42,5,62,52,44,49,50,44,20,31,40,15,16,95,77,93,60,47,82,50,55,57,45,45,25,10,23,3,2,8,3,2,7,3,7,1,0,3,1,1,27,77,12,9,1,1,0,83,13,4,1,0,0,12,14,4
29,WP19090,307500,98,8,30,35,17,9,93,78,27,9,6,17,56,70,11,37,2,57,45,35,40,41,34,18,21,34,10,10,97,73,94,52,37,84,50,62,57,47,42,25,10,24,3,1,7,2,3,8,3,7,1,0,3,1,1,21,67,9,20,3,0,0,80,8,10,1,0,0,9,13,2
30,WP19090,800036,91,9,25,31,12,14,90,75,24,6,11,28,47,64,13,33,5,40,36,35,34,29,30,16,15,24,10,9,92,69,92,50,49,83,55,54,63,44,39,28,15,28,1,3,13,3,2,14,5,12,0,2,5,0,0,29,100,0,0,0,0,0,71,29,0,0,0,0,18,17,8
31,WP19090,350000,98,7,28,36,18,9,90,67,9,1,2,13,48,67,8,21,1,52,39,30,36,38,27,12,11,31,6,6,96,68,92,47,32,81,41,52,49,36,32,25,10,25,2,0,8,4,3,9,5,8,1,0,4,1,2,15,93,0,0,0,7,0,79,11,6,4,0,0,4,13,3
32,WP19090,354200,98,6,26,37,16,12,93,82,56,11,22,33,68,79,19,50,4,64,52,46,52,51,41,26,34,40,18,20,96,79,95,62,47,84,56,63,65,50,50,25,13,24,4,2,11,3,3,8,5,7,1,1,4,2,1,28,73,17,7,2,0,0,83,13,5,0,0,0,11,13,4
33,WP19090,383100,97,10,30,32,16,9,85,68,21,3,10,12,36,58,5,16,3,53,43,33,40,43,34,17,20,32,15,15,96,82,91,53,38,80,43,44,49,42,40,26,12,25,2,2,9,3,3,9,4,9,1,0,3,1,1,20,78,12,11,0,0,0,79,14,7,0,0,0,11,12,3
34,WP19090,389100,95,10,34,39,8,4,91,88,76,5,11,29,67,82,13,56,3,38,32,25,28,32,29,4,10,20,2,2,88,58,81,40,26,56,26,18,22,19,19,12,4,12,3,0,3,2,0,4,1,3,2,0,0,1,0,9,100,0,0,0,0,0,79,21,0,0,0,0,4,8,2
35,WP19090,391600,98,2,8,37,29,22,95,86,31,8,8,27,80,90,47,63,28,88,78,74,77,82,72,40,64,67,45,54,94,95,97,81,83,92,69,77,85,67,73,30,16,29,2,2,13,2,2,9,4,9,1,0,3,0,1,50,73,10,12,0,5,0,82,10,8,0,0,0,36,32,12
36,WP19090,396300,96,6,19,37,18,16,89,70,30,13,17,32,57,73,21,27,7,75,58,54,55,53,41,17,47,47,21,25,96,94,96,83,79,90,69,79,87,74,74,35,15,31,4,6,14,0,1,9,6,9,0,0,5,0,1,45,79,21,0,0,0,0,100,0,0,0,0,0,35,31,12
37,WP19090,402000,100,7,17,38,24,14,97,78,37,0,5,38,67,79,29,60,2,82,81,76,72,77,68,28,60,63,35,28,98,83,96,62,59,89,61,63,76,63,53,32,9,32,0,7,9,0,2,11,4,11,0,4,4,0,0,38,50,0,50,0,0,0,82,18,0,0,0,0,20,16,9
38,WP19090,403300,97,4,20,37,22,14,95,81,19,4,4,22,71,86,33,43,10,83,70,65,68,70,68,31,51,59,24,26,97,86,98,73,62,93,59,70,73,55,55,28,11,26,4,5,8,3,3,8,3,8,1,0,3,1,1,42,63,21,16,0,0,0,88,12,0,0,0,0,20,18,7
39,WP19090,410200,95,9,29,32,17,7,84,71,23,5,7,23,54,68,16,35,3,63,54,46,51,51,48,18,31,42,10,10,95,78,92,60,44,78,44,41,49,39,37,21,7,20,4,1,6,2,1,5,2,5,1,0,2,1,0,23,87,13,0,0,0,0,88,12,0,0,0,0,9,14,4
40,WP19090,422400,97,6,28,34,21,8,95,83,34,3,2,43,54,71,15,34,2,66,54,47,53,53,50,15,37,46,10,10,97,83,96,75,68,89,53,52,59,48,56,29,9,28,2,5,6,2,2,7,2,6,1,1,1,1,1,32,94,6,0,0,0,0,85,15,0,0,0,0,11,11,4
41,WP19090,332915,97,2,10,35,28,23,95,87,31,8,9,28,78,88,42,58,26,85,77,74,75,78,68,43,63,67,44,53,94,92,96,82,80,92,68,78,83,68,72,27,13,27,3,2,11,2,2,9,4,9,1,0,3,0,1,50,76,9,9,0,5,0,80,14,6,0,0,0,36,31,12
42,WP19097,399907,98,2,18,38,22,17,95,81,35,9,13,30,73,85,29,54,10,75,60,57,56,59,43,29,38,48,24,26,98,90,97,75,66,92,66,79,82,68,67,37,15,35,5,6,11,4,4,11,5,10,2,1,4,2,1,34,78,13,6,2,1,0,91,6,1,1,0,0,30,23,9
43,WP19097,307500,99,2,23,39,19,16,95,81,23,7,7,19,70,81,21,49,7,72,53,49,45,49,26,18,26,39,15,16,99,91,98,74,63,92,65,91,86,72,68,41,13,39,8,3,7,5,4,12,5,12,2,1,3,2,2,29,74,22,5,0,0,0,90,6,4,0,0,0,33,23,10
44,WP19097,800036,99,0,20,46,18,15,93,79,43,18,12,38,84,86,34,55,12,88,75,68,66,73,36,27,31,58,34,41,99,91,99,77,73,97,73,95,93,83,75,46,20,43,11,3,16,1,5,13,3,13,3,0,2,1,0,22,100,0,0,0,0,0,100,0,0,0,0,0,51,23,8
45,WP19097,350000,97,3,13,43,23,15,98,73,11,4,2,22,82,93,21,51,2,76,57,52,48,59,25,22,24,40,18,16,98,92,99,68,57,96,60,80,83,70,68,38,15,37,4,3,9,4,6,14,7,14,0,1,5,1,3,29,84,2,14,0,0,0,98,2,0,0,0,0,26,24,7
46,WP19097,354200,98,2,18,40,21,16,95,83,59,13,25,39,73,86,30,62,9,71,55,52,54,55,37,26,31,44,24,28,98,89,96,74,64,92,68,81,83,69,68,35,15,33,5,3,10,5,4,10,5,9,2,0,4,2,1,34,70,13,11,6,0,0,86,10,0,3,0,0,28,21,8
47,WP19097,383100,97,2,25,36,21,13,95,83,37,9,26,26,62,78,17,30,8,73,55,50,50,52,42,27,27,43,22,24,98,91,98,71,57,94,66,77,79,66,69,31,15,29,4,3,12,4,3,11,5,10,2,0,4,2,0,35,81,19,0,0,0,0,92,8,0,0,0,0,27,25,10
48,WP19097,389100,98,4,17,34,29,14,88,81,75,19,28,40,72,80,25,66,3,59,52,45,49,52,49,20,28,43,14,13,90,77,92,67,52,76,59,60,60,58,50,31,18,30,2,3,16,4,4,11,8,11,0,0,8,2,1,39,96,0,4,0,0,0,84,13,3,0,0,0,9,15,2
49,WP19097,391600,98,1,6,29,27,34,98,81,32,10,12,33,88,93,59,74,37,92,83,83,84,87,65,54,72,72,61,70,100,98,100,88,90,98,82,90,94,83,86,35,17,31,5,9,13,2,5,7,4,6,1,1,2,1,1,58,78,17,0,5,0,0,92,6,2,0,0,0,52,41,18
50,WP19097,396300,100,1,18,45,12,25,95,84,42,30,15,49,71,81,37,55,16,85,61,66,60,63,40,17,41,50,37,41,98,100,100,92,94,98,88,90,94,97,91,38,20,26,6,18,19,3,4,5,8,5,2,1,8,2,2,47,78,22,0,0,0,0,79,21,0,0,0,0,65,44,24
51,WP19097,402000,100,5,15,38,14,28,99,86,36,22,24,59,81,97,64,62,17,99,67,67,83,83,66,43,58,59,39,36,100,100,100,97,81,96,72,84,94,91,78,45,12,33,6,27,11,4,6,5,6,3,0,3,5,0,2,38,100,0,0,0,0,0,100,0,0,0,0,0,44,27,17
52,WP19097,403300,97,2,10,39,24,24,95,78,19,8,7,23,85,91,46,63,20,86,72,70,66,72,59,43,53,61,35,38,99,94,99,87,82,94,75,85,87,71,75,45,17,40,7,10,12,3,7,11,8,11,3,2,7,2,2,50,75,14,0,7,4,0,93,3,0,4,0,0,45,33,13
53,WP19097,410200,95,5,20,34,22,13,90,76,21,6,7,28,67,80,22,42,6,69,60,56,59,60,51,30,44,50,20,22,95,84,94,65,57,86,56,59,69,55,55,31,14,29,3,4,11,3,3,9,5,9,1,1,4,2,1,27,81,11,6,0,2,0,90,8,1,1,0,0,18,15,6
54,WP19097,422400,96,1,16,44,25,10,99,89,39,5,3,45,68,90,26,50,7,84,72,68,65,67,71,41,57,60,24,22,98,88,97,84,79,91,56,67,80,57,62,44,11,38,3,15,10,2,2,14,1,14,1,0,1,0,1,29,88,0,12,0,0,0,98,1,1,0,0,0,25,19,8
55,WP19097,332915,98,1,7,34,24,32,98,83,32,11,15,33,87,92,56,72,37,92,83,83,80,85,65,52,70,71,61,68,100,98,100,89,88,99,79,88,94,84,86,33,16,29,4,8,12,2,5,6,4,6,1,2,2,1,1,55,77,15,4,5,0,0,89,9,3,0,0,0,53,39,17
56,WP19107,399907,99,1,11,34,25,28,97,83,37,12,18,44,84,91,49,74,22,90,71,72,70,73,51,39,49,59,40,43,99,96,99,89,85,96,73,86,91,82,79,47,22,41,7,17,14,4,9,14,8,13,3,3,5,2,3,41,87,6,6,1,1,0,90,7,3,0,0,0,58,43,22
57,WP19107,307500,99,0,10,37,23,28,97,79,29,13,16,26,80,89,45,69,17,91,69,68,60,68,32,25,41,49,33,31,99,97,98,89,85,97,72,91,89,85,77,40,20,36,9,9,10,6,10,10,6,10,2,3,3,2,3,39,80,10,10,0,0,0,87,6,7,0,0,0,64,41,20
58,WP19107,800036,100,0,5,38,11,46,100,81,42,27,27,49,86,88,47,81,21,91,58,74,63,84,24,26,18,31,53,45,100,85,100,79,80,95,70,97,85,79,80,33,11,25,3,30,6,5,3,5,3,5,3,3,3,0,3,67,100,0,0,0,0,0,100,0,0,0,0,0,79,45,26
59,WP19107,350000,100,0,7,35,29,28,98,76,13,5,7,28,89,94,50,76,20,85,72,77,65,78,36,27,46,65,37,44,100,99,99,90,82,96,77,89,91,86,86,42,31,39,5,11,12,13,11,20,18,18,2,1,6,9,7,42,100,0,0,0,0,0,94,6,0,0,0,0,62,49,29
60,WP19107,354200,99,1,15,40,21,22,98,83,75,18,41,52,82,91,45,75,21,90,69,70,73,73,39,32,44,54,37,47,100,97,100,87,78,98,74,94,91,79,81,46,24,39,7,12,16,4,7,17,10,16,4,2,7,2,4,34,96,4,0,0,0,0,98,2,0,0,0,0,56,39,19
61,WP19107,383100,100,2,10,37,24,26,94,82,49,15,38,43,80,86,36,64,23,79,65,64,64,63,40,23,34,42,32,37,100,98,100,89,80,92,80,88,93,85,85,42,14,38,7,13,10,2,8,20,8,19,6,5,7,2,2,39,75,25,0,0,0,0,88,4,8,0,0,0,58,40,17
62,WP19107,389100,100,0,17,35,26,23,95,93,71,13,29,39,81,85,48,82,11,89,75,70,75,83,54,37,42,61,31,27,100,92,100,84,89,100,61,89,86,82,74,44,16,44,9,13,4,3,10,5,2,5,0,0,2,0,0,50,100,0,0,0,0,0,100,0,0,0,0,0,58,20,8
63,WP19107,391600,100,1,6,24,23,46,100,87,40,14,17,36,97,99,82,88,47,98,85,87,87,94,70,55,75,74,68,77,100,99,100,97,99,99,86,84,98,91,94,37,31,36,2,6,27,2,10,9,13,9,0,2,9,1,5,56,100,0,0,0,0,0,88,12,0,0,0,0,72,56,34
64,WP19107,396300,95,2,3,14,15,61,96,87,65,57,54,79,82,92,70,77,58,93,70,76,81,78,49,44,69,63,69,73,100,97,100,100,97,100,88,97,97,100,97,60,22,49,18,23,20,0,6,35,20,32,12,6,17,0,3,41,87,0,0,0,13,0,70,17,12,0,0,0,90,84,53
65,WP19107,402000,100,0,7,26,37,30,100,93,59,13,35,80,87,100,85,78,48,93,93,93,80,93,39,22,35,80,65,65,100,100,100,100,93,100,93,100,100,100,93,72,28,57,15,28,13,7,15,7,7,7,0,0,7,7,0,43,100,0,0,0,0,0,100,0,0,0,0,0,65,57,37
66,WP19107,403300,100,0,5,26,29,40,97,88,29,19,22,46,91,94,61,74,39,91,74,76,76,82,52,44,48,68,52,58,99,97,99,94,97,98,82,92,94,92,89,51,28,43,5,24,17,10,14,11,9,9,1,3,8,5,2,56,93,7,0,0,0,0,93,7,0,0,0,0,74,55,31
67,WP19107,410200,98,3,19,33,25,18,95,81,23,6,6,38,79,88,35,63,13,80,70,67,68,69,59,42,53,60,37,37,98,93,98,79,67,92,68,72,84,71,67,35,16,31,4,8,12,3,6,9,4,9,1,1,3,1,1,34,67,13,13,7,0,0,88,6,6,0,0,0,30,24,10
68,WP19107,422400,99,1,7,33,29,29,99,85,26,3,3,55,89,94,54,83,18,96,72,74,72,73,71,57,56,66,41,44,99,97,99,95,96,96,70,81,94,81,78,65,24,55,9,35,17,3,11,18,8,17,3,5,6,1,3,41,82,3,15,0,0,0,91,8,1,0,0,0,61,52,27
69,WP19107,332915,100,1,7,25,22,44,100,91,41,21,25,37,94,98,69,81,42,93,81,82,83,87,57,52,72,72,63,68,100,99,100,97,100,99,90,93,97,94,94,28,21,27,3,4,17,4,8,5,8,5,1,1,6,2,4,58,100,0,0,0,0,0,80,20,0,0,0,0,69,56,35
