ID,RegioS,Perioden,CultuurgrondTotaal_1,k_001Tot1Ha_2,k_1Tot5Ha_3,k_5Tot10Ha_4,k_10Tot30Ha_5,k_30HaOfMeer_6,AkkerbouwTotaal_7,k_001Tot1Ha_8,k_1Tot5Ha_9,k_5Tot10Ha_10,k_10Tot30Ha_11,k_30HaOfMeer_12,TuinbouwOpenGrondTotaal_13,k_001Tot05Ha_14,k_05Tot1Ha_15,k_1Tot3Ha_16,k_3Tot10Ha_17,k_10HaOfMeer_18,TuinbouwOnderGlasTotaal_19,k_001Tot25Are_20,k_25Tot75Are_21,k_75Tot150Are_22,k_150Tot300Are_23,k_300AreOfMeer_24,BlijvendEnNatuurlijkGraslandTotaal_25,k_001Tot1Ha_26,k_1Tot5Ha_27,k_5Tot10Ha_28,k_10Tot30Ha_29,k_30HaOfMeer_30,BlijvendGraslandTotaal_31,k_001Tot1Ha_32,k_1Tot5Ha_33,k_5Tot10Ha_34,k_10Tot30Ha_35,k_30HaOfMeer_36,NatuurlijkGraslandTotaal_37,k_001Tot1Ha_38,k_1Tot5Ha_39,k_5Tot10Ha_40,k_10Tot30Ha_41,k_30HaOfMeer_42,NietCultuurgrondTotaal_43,k_001Tot1Ha_44,k_1Tot5Ha_45,k_5Tot10Ha_46,k_10Tot30Ha_47,k_30HaOfMeer_48,CultuurgrondTotaal_49,k_001Tot1Ha_50,k_1Tot5Ha_51,k_5Tot10Ha_52,k_10Tot30Ha_53,k_30HaOfMeer_54,AkkerbouwTotaal_55,k_001Tot1Ha_56,k_1Tot5Ha_57,k_5Tot10Ha_58,k_10Tot30Ha_59,k_30HaOfMeer_60,TuinbouwOpenGrondTotaal_61,k_001Tot05Ha_62,k_05Tot1Ha_63,k_1Tot3Ha_64,k_3Tot10Ha_65,k_10HaOfMeer_66,TuinbouwOnderGlasTotaal_67,k_001Tot25Are_68,k_25Tot75Are_69,k_75Tot150Are_70,k_150Tot300Are_71,k_300AreOfMeer_72,BlijvendEnNatuurlijkGraslandTotaal_73,k_001Tot1Ha_74,k_1Tot5Ha_75,k_5Tot10Ha_76,k_10Tot30Ha_77,k_30HaOfMeer_78,BlijvendGraslandTotaal_79,k_001Tot1Ha_80,k_1Tot5Ha_81,k_5Tot10Ha_82,k_10Tot30Ha_83,k_30HaOfMeer_84,NatuurlijkGraslandTotaal_85,k_001Tot1Ha_86,k_1Tot5Ha_87,k_5Tot10Ha_88,k_10Tot30Ha_89,k_30HaOfMeer_90,NietCultuurgrondTotaal_91,k_001Tot1Ha_92,k_1Tot5Ha_93,k_5Tot10Ha_94,k_10Tot30Ha_95,k_30HaOfMeer_96
10,LD01  ,2000JJ00,16097,291,2126,1862,3931,7887,8548,199,1605,1576,2198,2970,774,170,96,211,202,95,385,141,78,73,61,32,12086,463,2224,1664,3331,4404,11956,454,2202,1654,3309,4337,442,46,140,103,105,48,10630,3830,5817,629,279,75,556401,152,6429,13055,77112,459653,254140,91,4828,11189,38592,199440,3571,39,63,363,1114,1993,41070,1205,3336,7673,12346,16509,298279,238,6369,11612,66264,213796,290230,234,6312,11532,65852,206299,8050,21,400,691,1702,5235,35676,1811,12574,4165,4337,12789
11,LD01  ,2001JJ00,15478,285,2095,1732,3595,7771,8210,176,1420,1518,2156,2940,706,156,87,180,185,98,368,139,72,67,54,36,11618,413,2195,1573,3080,4357,11486,413,2189,1544,3060,4280,449,35,135,115,105,59,9999,3429,5658,552,291,69,552363,152,6312,12306,70344,463249,252989,81,4295,10907,37921,199786,3533,36,59,311,990,2136,40626,1255,3123,6918,11088,18243,295435,216,6279,11084,60821,217036,286718,216,6249,10868,60727,208658,8717,16,363,792,1661,5884,29944,1634,12446,3681,4631,7550
12,LD01  ,2002JJ00,14996,278,1936,1627,3374,7781,8082,120,1364,1488,2274,2836,705,121,84,192,213,95,349,135,66,56,53,39,11494,426,2107,1504,2987,4470,11349,419,2094,1480,2950,4406,359,25,116,76,89,53,10276,3332,5890,669,289,96,556116,150,5809,11592,65656,472909,251923,59,4235,10775,39867,196987,3941,28,58,316,1174,2366,41291,1126,2895,5905,11232,20134,299839,230,6061,10638,59212,223698,293141,227,6015,10452,58577,217870,6698,15,332,541,1564,4246,32143,1666,12995,4527,4486,8469
13,LD01  ,2003JJ00,14424,269,1840,1539,3177,7599,7875,101,1162,1288,2173,3151,638,106,80,165,188,99,344,137,63,50,55,39,10639,413,1994,1420,2740,4072,10456,409,1967,1397,2678,4005,422,35,126,81,114,66,10097,3137,5914,694,266,86,555117,142,5514,10981,62052,476429,270924,53,3668,9293,38492,219419,4016,26,54,289,1016,2630,42354,1196,2740,5179,11401,21839,279754,219,5710,10014,53961,209850,268212,217,5624,9835,52880,199656,11541,18,333,552,1994,8644,45230,1579,12928,4626,4103,21995
14,LD01  ,2004JJ00,14234,265,1852,1505,3056,7556,7853,109,1065,1276,2202,3201,619,114,74,177,162,92,329,126,60,49,49,45,10453,408,2019,1392,2643,3991,10250,403,2007,1359,2585,3896,468,35,130,94,126,83,9899,3086,5832,651,264,66,555362,145,5573,10711,59182,479751,277172,55,3335,9316,39409,225057,3710,27,48,314,896,2424,43978,1093,2653,5042,10431,24760,274041,214,5848,9830,51582,206567,262289,213,5790,9587,50697,196001,11751,18,358,651,2116,8609,34302,1532,12719,4386,4094,11571
15,LD01  ,2005JJ00,13928,269,1755,1469,2983,7452,7744,71,1017,1258,2300,3098,581,110,69,157,162,83,319,130,58,42,45,44,10368,400,1922,1366,2692,3988,10215,397,1913,1346,2640,3919,376,35,108,67,105,61,10109,3371,5796,618,236,88,554456,148,5385,10523,57799,480601,274865,32,3211,9193,41502,220926,3400,28,46,279,888,2159,42009,1071,2526,4266,9372,24774,275771,213,5613,9683,52155,208108,268779,213,5587,9550,51364,202065,6993,17,298,450,1749,4479,32530,1690,12640,4182,3803,10215
16,LD01  ,2006JJ00,13633,257,1702,1451,2919,7304,7708,83,1055,1357,2239,2974,592,101,86,150,170,85,296,120,50,46,36,44,10263,424,1938,1349,2554,3998,10198,426,1945,1342,2544,3941,363,29,105,89,86,54,11285,3684,6467,736,283,107,546856,145,5273,10362,55784,475292,264814,40,3280,10009,39794,211690,3758,23,58,272,978,2426,41009,936,2145,4738,7493,25697,277874,227,5713,9585,49385,212964,271216,228,5747,9530,49221,206490,6658,16,298,629,1435,4280,50492,1833,14303,4987,4463,24907
17,LD01  ,2007JJ00,13210,217,1689,1425,2718,7161,7560,84,1016,1362,2243,2855,566,97,82,139,160,88,276,110,45,40,39,42,10114,403,1944,1339,2434,3994,10042,409,1958,1336,2409,3930,416,34,123,92,114,53,10914,3516,6295,712,293,98,548530,123,5315,10231,51631,481230,265490,48,3169,9994,39911,212368,3725,25,56,241,898,2505,41856,812,2004,4072,8134,26834,278896,212,5809,9535,46557,216783,270750,216,5842,9508,46264,208920,8146,17,363,682,1983,5101,41428,1743,14085,4824,4626,16149
18,LD01  ,2008JJ00,13202,224,1851,1435,2552,7140,7670,92,988,1320,2413,2857,551,95,73,141,147,95,255,102,43,38,29,43,10250,443,2138,1359,2302,4008,10167,442,2152,1352,2289,3932,494,47,154,99,120,74,10086,3860,5587,400,166,73,556972,123,5861,10197,48358,492432,270073,48,3074,9784,42712,214455,3864,24,52,249,824,2716,41103,807,1933,3857,6164,28343,282624,243,6372,9567,44116,222326,271632,242,6395,9516,44007,211472,10992,27,449,715,2081,7720,28030,2008,10980,2637,2621,9784
19,LD01  ,2009JJ00,12835,211,1754,1369,2464,7037,7383,101,938,1292,2277,2775,538,99,75,127,145,92,225,84,43,32,25,41,10131,460,2088,1310,2242,4031,9986,455,2098,1301,2219,3913,725,53,213,167,182,110,11464,4550,6242,416,172,84,553645,119,5581,9640,46795,491510,264624,47,2902,9576,40348,211751,3702,24,53,226,808,2592,38628,575,1985,3163,5363,27542,284932,245,6205,9190,43050,226243,270950,243,6232,9125,42771,212578,13983,30,636,1203,3119,8994,33452,2291,12164,2738,2704,13554
20,LD02  ,2000JJ00,30184,1459,6691,5486,10484,6064,20069,1553,7208,4837,4505,1966,3336,683,474,880,816,483,1434,549,452,267,126,40,23369,1711,6679,4354,8526,2099,23188,1674,6616,4323,8505,2070,408,104,179,57,48,20,21860,14132,6868,501,257,102,564430,780,18884,39196,196747,308823,237610,778,19610,34056,74057,109109,16035,154,319,1514,4470,9578,95934,5689,20563,27250,25642,16790,309826,916,18270,31034,156665,102941,300366,894,18134,30832,156260,94245,9459,44,430,383,784,7818,70373,6015,12753,3337,3870,44397
21,LD02  ,2001JJ00,28774,1333,6369,5094,9727,6251,19008,1334,6461,4616,4590,2007,3025,598,410,834,717,466,1365,516,409,268,124,48,22205,1547,6271,4148,8021,2218,21973,1497,6187,4103,8010,2176,450,120,180,64,56,30,19800,12140,6720,534,313,93,548989,698,18039,36339,181579,312335,238646,662,17649,32803,75073,112459,15399,136,274,1443,3980,9566,97253,5432,18728,27350,25524,20219,293971,816,17263,29477,147849,98565,286124,790,17060,29154,147655,91465,7847,54,457,433,903,5999,47280,5345,12575,3602,4876,20883
22,LD02  ,2002JJ00,27774,1369,6085,4727,8972,6621,17949,980,5900,4444,4696,1929,3057,558,406,822,815,456,1326,507,373,267,124,55,21877,1646,6098,3927,7685,2521,21682,1600,6030,3896,7662,2494,362,93,147,59,35,28,20612,12249,7426,530,304,103,557264,707,17488,33837,169505,335727,236401,538,16648,32003,77505,109706,16165,133,272,1435,4517,9808,98748,5201,17017,27386,25100,24043,303711,897,16872,28053,144677,113213,296142,869,16693,27815,144254,106512,7568,48,382,417,612,6110,45307,5823,13863,3607,4725,17289
23,LD02  ,2003JJ00,26571,1297,5725,4468,8411,6670,17349,843,5128,3835,4991,2552,2859,517,360,761,769,452,1282,464,364,262,135,57,19781,1585,5768,3638,6615,2175,19528,1535,5676,3605,6577,2135,419,101,161,63,54,40,19922,11704,7336,539,261,82,552948,679,16534,32003,158400,345332,268743,468,14498,27666,86234,139877,15583,123,248,1333,4234,9647,102164,5009,16811,26522,27569,26252,267599,857,15984,25925,122769,102064,258131,823,15771,25685,122144,93708,9468,57,410,459,911,7631,46599,5631,13687,3691,3918,19673
24,LD02  ,2004JJ00,26228,1237,5655,4462,8118,6756,17212,767,4864,3774,5007,2800,2762,487,359,721,738,457,1220,425,350,241,136,68,19111,1549,5670,3585,6149,2158,18861,1510,5583,3538,6109,2121,441,102,166,73,65,35,19509,11278,7477,475,225,54,556392,644,16343,32033,152434,354938,282470,441,13810,27249,86939,154030,15424,121,243,1267,4031,9763,104753,4591,16035,24534,27829,31763,257450,821,15677,25654,113783,101515,247794,798,15470,25330,113139,93057,9656,54,418,510,1076,7597,39759,5457,13877,3234,3413,13777
25,LD02  ,2005JJ00,25488,1275,5334,4270,7835,6774,16546,653,4535,3801,5005,2552,2586,398,338,697,717,436,1171,413,324,227,136,71,19031,1516,5447,3480,6243,2345,18805,1480,5382,3427,6206,2310,422,87,174,76,59,26,19588,11252,7558,488,218,72,548723,674,15611,30782,146577,355079,271000,403,12955,27492,85698,144451,15326,113,231,1221,3999,9762,104991,4445,14955,22891,28293,34406,261348,808,15366,24908,115734,104531,254848,788,15217,24531,115128,99184,6500,45,468,532,990,4465,43407,5623,14093,3275,3169,17248
26,LD02  ,2006JJ00,24788,1283,5045,4139,7545,6776,16105,669,4590,3930,4563,2353,2611,437,330,658,721,465,1110,389,303,210,126,82,18834,1552,5213,3328,6072,2669,18742,1532,5209,3316,6052,2633,339,55,132,65,60,27,21244,11958,8414,527,244,75,544285,661,14811,29913,140791,358109,253116,411,13315,28443,77047,133900,16134,109,230,1158,3979,10657,106033,4221,13962,21319,25981,40551,273975,806,14777,23925,114052,120414,267842,796,14766,23831,113653,114795,6133,27,359,457,947,4344,66228,5994,15569,3627,3732,37306
27,LD02  ,2007JJ00,23954,1205,4779,3929,7235,6806,15534,632,4312,3730,4561,2299,2487,411,304,628,664,480,1047,338,284,200,131,94,18366,1494,5012,3204,5840,2816,18273,1482,5013,3194,5815,2769,387,56,141,78,83,29,20627,11302,8479,526,241,79,543424,628,14146,28523,134681,365445,248768,384,12398,27129,76663,132195,16606,101,212,1115,3708,11470,109130,3673,12884,20001,26627,45944,276958,777,14388,23082,109965,128747,269690,771,14395,23006,109478,122041,7268,28,402,564,1292,4981,54502,5698,15811,3593,3693,25708
28,LD02  ,2008JJ00,23473,1128,4716,3812,7002,6815,15475,609,4274,3655,4648,2289,2449,403,299,578,661,508,947,296,264,180,123,84,18226,1566,5041,3108,5675,2836,18118,1562,5037,3096,5652,2771,493,84,179,103,92,35,19634,11603,7528,294,148,61,543225,594,13997,27553,129976,371106,250005,363,12356,26701,77995,132591,17153,101,210,1019,3657,12166,101945,3034,12048,18018,25440,43405,275047,814,14393,22294,106953,130593,267221,816,14375,22208,106577,123245,7825,40,517,736,1520,5013,39325,5945,12858,1965,2270,16287
29,LD02  ,2009JJ00,22751,1018,4543,3680,6703,6807,15058,622,4104,3578,4507,2247,2377,389,278,560,647,503,887,268,249,165,121,84,17864,1551,4905,3002,5460,2946,17735,1550,4917,2969,5419,2880,609,64,224,151,124,46,21387,12614,8255,328,126,64,539771,564,13629,26681,124367,374530,246562,371,11884,26118,75883,132306,17153,97,193,981,3604,12277,101641,2890,11342,16425,25568,45416,275040,798,14077,21634,103143,135387,268405,797,14114,21366,102265,129863,6635,31,626,1082,2013,2882,42355,6387,13969,2186,1942,17872
30,LD03  ,2000JJ00,26251,3123,7224,3145,7047,5712,11620,1755,2965,1755,2580,2565,7062,1204,1082,1852,1742,1182,7408,2169,1716,1980,1152,391,13086,1196,3079,1895,4592,2324,12901,1130,3040,1875,4571,2285,366,116,113,58,56,23,17398,10262,6379,493,213,51,476905,1850,17409,22329,133342,301974,217358,679,8008,12352,46986,149334,37935,270,736,3095,9809,24024,723660,19047,82789,206788,231791,183245,214375,581,8210,13375,88496,103713,209617,551,8139,13235,88111,99582,4759,48,271,378,946,3116,37240,4221,12576,3251,3338,13854
31,LD03  ,2001JJ00,24715,2781,6709,2924,6553,5748,10806,1550,2618,1630,2475,2533,6522,1113,995,1696,1561,1157,6855,1992,1506,1806,1124,427,12482,1075,2897,1768,4346,2396,12270,1026,2836,1724,4342,2342,432,98,160,77,68,29,16256,9258,6259,487,202,50,474414,1638,16215,20701,123739,312121,216000,613,7095,11442,44788,152064,37215,251,682,2850,8908,24524,718047,17862,73251,190411,227397,209127,214019,518,7803,12439,83472,109787,207654,498,7664,12151,83395,103945,6365,42,361,514,1132,4317,31059,3931,12439,3260,3203,8226
32,LD03  ,2002JJ00,23871,2796,6220,2851,6135,5869,9516,645,2226,1631,2404,2610,6250,1040,896,1602,1538,1174,6549,1980,1344,1662,1110,453,12100,998,2811,1763,4064,2464,11886,951,2753,1732,4026,2424,378,82,133,69,63,31,16174,8655,6724,490,235,70,476899,1611,15106,20275,116413,323493,218230,287,6278,11516,43158,156992,38217,244,622,2730,8854,25767,706639,17212,65430,175316,225448,223234,213385,498,7567,12452,78568,114300,207105,474,7440,12246,77916,109029,6280,41,327,468,1063,4382,31873,3875,13420,3256,3601,7721
33,LD03  ,2003JJ00,22791,2573,5900,2689,5795,5834,9091,519,1941,1460,2411,2760,5947,988,814,1511,1463,1171,6219,1871,1295,1496,1085,472,11340,985,2640,1679,3744,2292,11084,944,2572,1634,3685,2249,418,79,139,79,82,39,15473,8084,6627,508,194,60,470140,1474,14254,19219,110215,324978,226730,242,5527,10409,44556,165996,38297,235,570,2559,8447,26485,702030,16835,63024,158344,221738,242089,198092,496,7097,11843,72029,106627,192149,478,6961,11538,71030,102142,5944,36,344,535,1365,3664,37613,3670,13299,3324,2948,14372
34,LD03  ,2004JJ00,22168,2401,5664,2667,5583,5853,8943,463,1823,1409,2444,2804,5714,939,786,1447,1417,1125,5911,1813,1231,1343,1038,486,11067,953,2611,1658,3550,2295,10794,912,2552,1618,3470,2242,454,85,141,67,111,50,14979,7761,6540,477,158,43,471045,1353,13778,19056,105866,330992,230550,209,5226,10109,45096,169911,36912,227,549,2466,8167,25503,689663,16698,59781,143789,212779,256617,196686,475,7014,11687,68117,109393,188288,454,6897,11422,66732,102784,8398,39,351,455,1870,5683,34990,3551,13164,3126,2467,12681
35,LD03  ,2005JJ00,21405,2379,5260,2579,5310,5877,8641,312,1622,1394,2503,2810,5356,811,760,1393,1288,1104,5635,1730,1137,1251,1004,513,10475,847,2366,1635,3321,2306,10225,820,2311,1597,3238,2259,428,72,138,65,112,41,14592,7406,6419,503,215,49,468967,1321,13008,18480,100794,335364,233107,140,4876,9967,45955,172170,36363,204,529,2398,7345,25888,689987,15606,55182,133134,206455,279609,192597,440,6557,11718,63972,109911,186104,425,6420,11441,62544,105273,6493,29,354,457,1887,3766,30653,3456,12758,3321,3259,7861
36,LD03  ,2006JJ00,20562,2187,4969,2438,5117,5851,8434,272,1604,1435,2454,2669,5151,752,718,1308,1274,1099,5203,1583,1050,1139,908,523,10348,853,2353,1536,3183,2423,10257,844,2338,1529,3166,2380,287,53,85,51,67,31,16161,7771,7375,612,251,61,466067,1209,12554,17527,96852,337924,227197,127,4819,10325,45069,166857,36738,189,501,2250,7283,26514,671757,14178,50590,122360,188050,296580,195414,453,6596,10995,61085,116286,190260,446,6587,10942,60737,111547,5154,24,225,362,1140,3404,46228,3667,15001,4179,3817,19564
37,LD03  ,2007JJ00,19693,1980,4706,2402,4830,5775,8191,299,1545,1402,2330,2615,4819,672,638,1228,1181,1100,4786,1484,920,1010,808,564,10178,821,2415,1504,2993,2445,10071,803,2400,1497,2976,2395,358,63,102,68,91,34,15292,7289,7090,607,250,56,463014,1088,12150,17296,91826,340654,225592,143,4621,10136,43101,167591,36889,174,447,2101,6698,27468,657577,12891,44122,108683,168106,323775,193956,436,6848,10840,57335,118497,188578,425,6814,10780,57008,113551,5378,29,289,464,1538,3058,37048,3462,14461,4090,3873,11162
38,LD03  ,2008JJ00,19165,1779,4548,2435,4621,5782,8145,320,1550,1382,2322,2571,4684,620,606,1183,1165,1110,4390,1311,886,888,747,558,10265,874,2519,1515,2891,2466,10154,863,2516,1494,2884,2397,389,61,105,67,105,51,13769,7453,5846,319,112,39,466390,973,11984,17564,87908,347960,225141,152,4648,9986,42997,167359,37592,157,423,2038,6757,28217,643298,11462,42311,94738,156559,338229,197223,453,7105,10791,55756,123119,189495,446,7097,10644,55544,115765,7728,29,289,466,1720,5224,34108,3560,10518,2112,1861,16057
39,LD03  ,2009JJ00,18449,1610,4308,2338,4447,5746,7939,373,1447,1302,2239,2578,4468,614,593,1100,1093,1068,4062,1215,790,751,716,590,10160,939,2450,1511,2804,2456,9991,939,2450,1474,2772,2356,580,74,153,129,155,69,16008,8793,6688,346,134,47,465694,895,11420,16921,84732,351726,225661,178,4404,9455,41184,170440,36632,159,424,1910,6354,27785,654720,10433,37824,80369,150435,375659,196853,486,7006,10761,54162,124437,185823,486,6982,10489,53443,114423,11030,36,440,935,2665,6954,40977,4050,12027,2266,2026,20607
