ID,Warmtepompen,Sector,Perioden,InGebruikGenomenWarmtepompen_1,UitGebruikGenomenWarmtepompen_2,OpgesteldeWarmtepompenEindeVanJaar_3,InGebruikGenomenThermischVermogen_4,UitGebruikGenomenThermischVermogen_5,OpgesteldThermischVermogenEindeJaar_6,BrutoWarmteproductieWarmtepompen_7,VerbruikVanElektriciteitEnAardgas_8,BrutoEindverbruik_9,VermedenVerbruikVanFossieleEnergie_10,VermedenEmissieKooldioxideCO2_11
23,T001364 ,E007041 ,2017JJ00,97300.0,3906.0,461237.0,707.0,24.0,4502.0,11395.0,3785.0,7610.0,3774.0,82.0
24,T001364 ,E007041 ,2018JJ00,112777.0,3973.0,570041.0,825.0,28.0,5299.0,13659.0,4608.0,9052.0,4503.0,119.0
25,T001364 ,E007041 ,2019JJ00,166010.0,3849.0,732202.0,1147.0,53.0,6393.0,16542.0,5659.0,10883.0,5611.0,232.0
26,T001364 ,E007041 ,2020JJ00,321647.0,3993.0,1049856.0,1864.0,67.0,8190.0,20396.0,7068.0,13328.0,6991.0,390.0
27,T001364 ,E007041 ,2021JJ00,367834.0,5494.0,1412196.0,2092.0,81.0,10202.0,24641.0,8615.0,16026.0,7136.0,276.0
28,T001364 ,E007041 ,2022JJ00,403035.0,5278.0,1809952.0,2504.0,109.0,12597.0,31247.0,11071.0,20175.0,8114.0,290.0
29,T001364 ,E007041 ,2023JJ00,455201.0,7355.0,2257798.0,2911.0,146.0,15362.0,39733.0,14209.0,25524.0,10220.0,519.0
30,T001364 ,E007041 ,2024JJ00,397064.0,16724.0,2638139.0,2542.0,326.0,17578.0,46232.0,16629.0,29603.0,11628.0,588.0
31,T001364 ,E007037 ,1994JJ00,,,1700.0,,,5.0,25.0,12.0,13.0,6.0,0.0
32,T001364 ,E007037 ,1995JJ00,43.0,0.0,1743.0,0.0,0.0,5.0,25.0,12.0,13.0,6.0,0.0
33,T001364 ,E007037 ,1996JJ00,109.0,0.0,1852.0,1.0,0.0,6.0,28.0,13.0,15.0,7.0,0.0
34,T001364 ,E007037 ,1997JJ00,1297.0,0.0,3149.0,4.0,0.0,10.0,47.0,18.0,29.0,14.0,0.0
35,T001364 ,E007037 ,1998JJ00,1547.0,0.0,4696.0,7.0,0.0,18.0,80.0,28.0,52.0,25.0,1.0
36,T001364 ,E007037 ,1999JJ00,753.0,0.0,5449.0,3.0,0.0,21.0,94.0,32.0,61.0,29.0,1.0
37,T001364 ,E007037 ,2000JJ00,727.0,0.0,6176.0,4.0,0.0,25.0,111.0,37.0,74.0,35.0,1.0
38,T001364 ,E007037 ,2001JJ00,1128.0,0.0,7304.0,3.0,0.0,28.0,126.0,42.0,84.0,37.0,1.0
39,T001364 ,E007037 ,2002JJ00,3518.0,0.0,10822.0,9.0,0.0,37.0,171.0,58.0,114.0,47.0,1.0
40,T001364 ,E007037 ,2003JJ00,3718.0,0.0,14540.0,12.0,0.0,49.0,227.0,75.0,152.0,62.0,1.0
41,T001364 ,E007037 ,2004JJ00,3119.0,0.0,17659.0,11.0,0.0,61.0,278.0,91.0,187.0,79.0,2.0
42,T001364 ,E007037 ,2005JJ00,3329.0,340.0,20648.0,12.0,1.0,72.0,326.0,104.0,222.0,95.0,3.0
43,T001364 ,E007037 ,2006JJ00,4613.0,340.0,24921.0,26.0,1.0,96.0,428.0,131.0,297.0,141.0,4.0
44,T001364 ,E007037 ,2007JJ00,4342.0,340.0,28923.0,25.0,1.0,120.0,527.0,157.0,371.0,183.0,6.0
45,T001364 ,E007037 ,2008JJ00,6394.0,340.0,34977.0,50.0,1.0,169.0,742.0,217.0,524.0,251.0,8.0
46,T001364 ,E007037 ,2009JJ00,8064.0,340.0,42701.0,68.0,1.0,237.0,1016.0,292.0,723.0,366.0,13.0
47,T001364 ,E007037 ,2010JJ00,8400.0,43.0,51058.0,65.0,0.0,302.0,1262.0,370.0,892.0,476.0,18.0
48,T001364 ,E007037 ,2011JJ00,18649.0,109.0,69598.0,111.0,1.0,412.0,1559.0,477.0,1082.0,602.0,23.0
49,T001364 ,E007037 ,2012JJ00,19163.0,1297.0,87464.0,100.0,4.0,507.0,1795.0,555.0,1241.0,645.0,19.0
50,T001364 ,E007037 ,2013JJ00,16739.0,1547.0,102656.0,87.0,7.0,587.0,1999.0,631.0,1368.0,706.0,17.0
51,T001364 ,E007037 ,2014JJ00,19323.0,753.0,121226.0,106.0,3.0,690.0,2238.0,717.0,1520.0,728.0,14.0
52,T001364 ,E007037 ,2015JJ00,22926.0,727.0,143425.0,121.0,4.0,806.0,2502.0,812.0,1690.0,774.0,5.0
53,T001364 ,E007037 ,2016JJ00,37590.0,1128.0,179887.0,204.0,3.0,1007.0,3037.0,1004.0,2033.0,951.0,14.0
54,T001364 ,E007037 ,2017JJ00,55713.0,3518.0,232082.0,299.0,9.0,1297.0,3909.0,1323.0,2586.0,1245.0,24.0
55,T001364 ,E007037 ,2018JJ00,66667.0,3718.0,295031.0,374.0,12.0,1659.0,5095.0,1757.0,3338.0,1588.0,38.0
56,T001364 ,E007037 ,2019JJ00,120201.0,3119.0,412113.0,681.0,11.0,2329.0,6957.0,2437.0,4520.0,2226.0,89.0
57,T001364 ,E007037 ,2020JJ00,279618.0,3329.0,688402.0,1361.0,12.0,3678.0,9697.0,3432.0,6265.0,3152.0,176.0
58,T001364 ,E007037 ,2021JJ00,322303.0,4613.0,1006092.0,1557.0,26.0,5210.0,12743.0,4541.0,8202.0,3466.0,129.0
59,T001364 ,E007037 ,2022JJ00,,4342.0,1379887.0,,25.0,7070.0,17646.0,6364.0,11281.0,4284.0,145.0
60,T001364 ,E007037 ,2023JJ00,,6394.0,1805977.0,,50.0,9249.0,24163.0,8797.0,15366.0,5821.0,292.0
61,T001364 ,E007037 ,2024JJ00,,8064.0,2172867.0,,68.0,11067.0,28782.0,10544.0,18238.0,6767.0,339.0
62,T001364 ,E007040 ,1994JJ00,,,43.0,,,11.0,44.0,22.0,22.0,17.0,1.0
63,T001364 ,E007040 ,1995JJ00,24.0,0.0,67.0,1.0,0.0,12.0,48.0,23.0,25.0,19.0,1.0
64,T001364 ,E007040 ,1996JJ00,37.0,0.0,104.0,1.0,0.0,13.0,53.0,25.0,28.0,21.0,1.0
65,T001364 ,E007040 ,1997JJ00,111.0,0.0,215.0,4.0,0.0,17.0,68.0,29.0,39.0,27.0,1.0
66,T001364 ,E007040 ,1998JJ00,122.0,0.0,337.0,6.0,0.0,23.0,93.0,36.0,57.0,36.0,1.0
67,T001364 ,E007040 ,1999JJ00,127.0,0.0,464.0,7.0,0.0,30.0,121.0,44.0,76.0,46.0,2.0
68,T001364 ,E007040 ,2000JJ00,211.0,0.0,675.0,10.0,0.0,40.0,159.0,55.0,104.0,59.0,2.0
69,T001364 ,E007040 ,2001JJ00,350.0,0.0,1025.0,9.0,0.0,49.0,196.0,65.0,131.0,71.0,2.0
70,T001364 ,E007040 ,2002JJ00,388.0,0.0,1413.0,15.0,0.0,64.0,254.0,80.0,174.0,93.0,3.0
71,T001364 ,E007040 ,2003JJ00,255.0,0.0,1668.0,16.0,0.0,80.0,317.0,98.0,219.0,115.0,4.0
72,T001364 ,E007040 ,2004JJ00,730.0,0.0,2397.0,42.0,0.0,122.0,482.0,145.0,338.0,179.0,6.0
73,T001364 ,E007040 ,2005JJ00,664.0,9.0,3053.0,54.0,2.0,174.0,689.0,203.0,486.0,255.0,9.0
74,T001364 ,E007040 ,2006JJ00,881.0,9.0,3926.0,55.0,2.0,227.0,898.0,266.0,632.0,336.0,11.0
75,T001364 ,E007040 ,2007JJ00,936.0,9.0,4853.0,84.0,2.0,308.0,1226.0,350.0,876.0,481.0,18.0
76,T001364 ,E007040 ,2008JJ00,961.0,9.0,5806.0,96.0,2.0,402.0,1628.0,469.0,1159.0,614.0,22.0
77,T001364 ,E007040 ,2009JJ00,8660.0,9.0,14457.0,258.0,2.0,657.0,2077.0,608.0,1469.0,771.0,28.0
78,T001364 ,E007040 ,2010JJ00,9553.0,24.0,23986.0,290.0,1.0,947.0,2607.0,780.0,1827.0,969.0,36.0
79,T001364 ,E007040 ,2011JJ00,25723.0,37.0,49673.0,315.0,1.0,1261.0,3144.0,952.0,2193.0,1194.0,45.0
80,T001364 ,E007040 ,2012JJ00,23582.0,111.0,73144.0,287.0,4.0,1544.0,3713.0,1141.0,2572.0,1287.0,36.0
81,T001364 ,E007040 ,2013JJ00,23799.0,122.0,96821.0,297.0,6.0,1835.0,4356.0,1347.0,3008.0,1518.0,35.0
82,T001364 ,E007040 ,2014JJ00,27215.0,127.0,123908.0,323.0,7.0,2151.0,5061.0,1585.0,3476.0,1634.0,31.0
83,T001364 ,E007040 ,2015JJ00,28336.0,211.0,152034.0,324.0,10.0,2466.0,5811.0,1848.0,3963.0,1803.0,12.0
84,T001364 ,E007040 ,2016JJ00,36272.0,350.0,187956.0,356.0,9.0,2813.0,6596.0,2138.0,4458.0,2120.0,35.0
85,T001364 ,E007040 ,2017JJ00,41587.0,388.0,229155.0,407.0,15.0,3205.0,7486.0,2462.0,5024.0,2529.0,57.0
86,T001364 ,E007040 ,2018JJ00,46110.0,255.0,275010.0,450.0,16.0,3640.0,8564.0,2851.0,5713.0,2915.0,81.0
87,T001364 ,E007040 ,2019JJ00,45809.0,730.0,320089.0,466.0,42.0,4064.0,9585.0,3222.0,6363.0,3385.0,143.0
88,T001364 ,E007040 ,2020JJ00,42029.0,664.0,361454.0,503.0,54.0,4512.0,10699.0,3636.0,7063.0,3839.0,214.0
89,T001364 ,E007040 ,2021JJ00,45531.0,881.0,406104.0,535.0,55.0,4992.0,11898.0,4073.0,7825.0,3670.0,148.0
90,T001364 ,E007040 ,2022JJ00,,936.0,430065.0,,84.0,5527.0,13601.0,4707.0,8894.0,3830.0,145.0
91,T001364 ,E007040 ,2023JJ00,,961.0,451822.0,,96.0,6113.0,15570.0,5412.0,10158.0,4399.0,226.0
92,T001364 ,E007040 ,2024JJ00,,8660.0,465272.0,,258.0,6511.0,17450.0,6086.0,11365.0,4862.0,249.0
93,A043945 ,E007041 ,1994JJ00,,,90.0,,,15.0,58.0,30.0,28.0,23.0,1.0
94,A043945 ,E007041 ,1995JJ00,41.0,0.0,131.0,1.0,0.0,15.0,61.0,31.0,31.0,24.0,1.0
95,A043945 ,E007041 ,1996JJ00,100.0,0.0,231.0,2.0,0.0,17.0,69.0,33.0,36.0,27.0,1.0
96,A043945 ,E007041 ,1997JJ00,581.0,0.0,812.0,7.0,0.0,24.0,96.0,40.0,56.0,39.0,2.0
97,A043945 ,E007041 ,1998JJ00,427.0,0.0,1239.0,12.0,0.0,36.0,142.0,52.0,90.0,58.0,2.0
98,A043945 ,E007041 ,1999JJ00,406.0,0.0,1645.0,10.0,0.0,45.0,180.0,63.0,117.0,72.0,3.0
99,A043945 ,E007041 ,2000JJ00,665.0,0.0,2310.0,13.0,0.0,59.0,233.0,78.0,156.0,91.0,3.0
100,A043945 ,E007041 ,2001JJ00,529.0,0.0,2839.0,11.0,0.0,70.0,277.0,89.0,187.0,105.0,4.0
101,A043945 ,E007041 ,2002JJ00,903.0,0.0,3742.0,20.0,0.0,89.0,354.0,110.0,244.0,135.0,5.0
102,A043945 ,E007041 ,2003JJ00,995.0,0.0,4737.0,23.0,0.0,113.0,447.0,136.0,311.0,170.0,6.0
103,A043945 ,E007041 ,2004JJ00,1427.0,0.0,6163.0,49.0,0.0,162.0,643.0,190.0,452.0,247.0,9.0
104,A043945 ,E007041 ,2005JJ00,2145.0,18.0,8290.0,64.0,3.0,223.0,884.0,257.0,628.0,339.0,13.0
105,A043945 ,E007041 ,2006JJ00,3446.0,18.0,11719.0,78.0,3.0,298.0,1180.0,340.0,840.0,460.0,16.0
106,A043945 ,E007041 ,2007JJ00,3583.0,18.0,15284.0,104.0,3.0,399.0,1581.0,440.0,1141.0,644.0,24.0
107,A043945 ,E007041 ,2008JJ00,4100.0,18.0,19366.0,119.0,3.0,515.0,2041.0,553.0,1488.0,830.0,31.0
108,A043945 ,E007041 ,2009JJ00,5309.0,18.0,24657.0,121.0,3.0,633.0,2508.0,666.0,1841.0,1064.0,42.0
109,A043945 ,E007041 ,2010JJ00,5677.0,41.0,30293.0,117.0,1.0,749.0,2967.0,784.0,2183.0,1312.0,55.0
110,A043945 ,E007041 ,2011JJ00,5859.0,100.0,36052.0,122.0,2.0,869.0,3441.0,903.0,2538.0,1582.0,67.0
111,A043945 ,E007041 ,2012JJ00,5786.0,581.0,41257.0,113.0,7.0,975.0,3860.0,1008.0,2852.0,1700.0,62.0
112,A043945 ,E007041 ,2013JJ00,3052.0,427.0,43882.0,111.0,12.0,1074.0,4253.0,1107.0,3147.0,1908.0,64.0
113,A043945 ,E007041 ,2014JJ00,2510.0,406.0,45986.0,96.0,10.0,1160.0,4595.0,1191.0,3404.0,2007.0,65.0
114,A043945 ,E007041 ,2015JJ00,2086.0,665.0,47407.0,91.0,13.0,1238.0,4902.0,1268.0,3634.0,2138.0,57.0
115,A043945 ,E007041 ,2016JJ00,4065.0,529.0,50943.0,86.0,11.0,1312.0,5197.0,1342.0,3855.0,2374.0,79.0
116,A043945 ,E007041 ,2017JJ00,4830.0,903.0,54870.0,95.0,20.0,1388.0,5496.0,1416.0,4081.0,2645.0,98.0
117,A043945 ,E007041 ,2018JJ00,6504.0,995.0,60379.0,125.0,23.0,1489.0,5897.0,1514.0,4383.0,2905.0,118.0
118,A043945 ,E007041 ,2019JJ00,11755.0,1427.0,70708.0,160.0,49.0,1600.0,6336.0,1620.0,4715.0,3241.0,158.0
119,A043945 ,E007041 ,2020JJ00,19356.0,2145.0,87918.0,191.0,64.0,1727.0,6839.0,1740.0,5098.0,3591.0,201.0
120,A043945 ,E007041 ,2021JJ00,21792.0,3446.0,106264.0,215.0,78.0,1865.0,7384.0,1864.0,5520.0,3658.0,178.0
121,A043945 ,E007041 ,2022JJ00,22693.0,3583.0,125374.0,260.0,104.0,2021.0,8002.0,2018.0,5984.0,3865.0,187.0
122,A043945 ,E007041 ,2023JJ00,27255.0,4100.0,148529.0,346.0,119.0,2247.0,8900.0,2242.0,6657.0,4346.0,236.0
123,A043945 ,E007041 ,2024JJ00,17875.0,5309.0,161095.0,269.0,121.0,2396.0,9487.0,2391.0,7096.0,4630.0,251.0
124,A043945 ,E007037 ,1994JJ00,,,48.0,,,3.0,13.0,7.0,6.0,6.0,0.0
125,A043945 ,E007037 ,1995JJ00,18.0,0.0,66.0,0.0,0.0,3.0,13.0,7.0,6.0,6.0,0.0
126,A043945 ,E007037 ,1996JJ00,66.0,0.0,132.0,0.0,0.0,4.0,15.0,8.0,7.0,6.0,0.0
127,A043945 ,E007037 ,1997JJ00,492.0,0.0,624.0,3.0,0.0,7.0,28.0,11.0,17.0,12.0,1.0
128,A043945 ,E007037 ,1998JJ00,378.0,0.0,1002.0,6.0,0.0,13.0,51.0,17.0,34.0,22.0,1.0
129,A043945 ,E007037 ,1999JJ00,279.0,0.0,1281.0,2.0,0.0,15.0,61.0,20.0,41.0,26.0,1.0
130,A043945 ,E007037 ,2000JJ00,454.0,0.0,1735.0,4.0,0.0,19.0,76.0,23.0,52.0,32.0,1.0
131,A043945 ,E007037 ,2001JJ00,179.0,0.0,1914.0,2.0,0.0,21.0,83.0,25.0,57.0,34.0,1.0
132,A043945 ,E007037 ,2002JJ00,517.0,0.0,2431.0,5.0,0.0,26.0,102.0,31.0,71.0,42.0,2.0
133,A043945 ,E007037 ,2003JJ00,753.0,0.0,3184.0,8.0,0.0,33.0,132.0,39.0,93.0,55.0,2.0
134,A043945 ,E007037 ,2004JJ00,707.0,0.0,3891.0,8.0,0.0,41.0,162.0,46.0,116.0,69.0,3.0
135,A043945 ,E007037 ,2005JJ00,1481.0,10.0,5362.0,9.0,1.0,50.0,197.0,54.0,143.0,84.0,3.0
136,A043945 ,E007037 ,2006JJ00,2565.0,10.0,7918.0,23.0,1.0,72.0,284.0,75.0,208.0,125.0,5.0
137,A043945 ,E007037 ,2007JJ00,2687.0,10.0,10595.0,23.0,1.0,94.0,370.0,96.0,274.0,164.0,7.0
138,A043945 ,E007037 ,2008JJ00,3323.0,10.0,13908.0,40.0,1.0,133.0,526.0,134.0,392.0,229.0,9.0
139,A043945 ,E007037 ,2009JJ00,4560.0,10.0,18459.0,56.0,1.0,188.0,745.0,188.0,556.0,333.0,14.0
140,A043945 ,E007037 ,2010JJ00,5040.0,18.0,23481.0,46.0,0.0,233.0,925.0,234.0,690.0,427.0,18.0
141,A043945 ,E007037 ,2011JJ00,4890.0,66.0,28305.0,44.0,0.0,277.0,1099.0,278.0,821.0,523.0,23.0
142,A043945 ,E007037 ,2012JJ00,4843.0,492.0,32656.0,39.0,3.0,313.0,1239.0,313.0,926.0,564.0,21.0
143,A043945 ,E007037 ,2013JJ00,2422.0,378.0,34700.0,19.0,6.0,326.0,1292.0,326.0,966.0,598.0,21.0
144,A043945 ,E007037 ,2014JJ00,2010.0,279.0,36431.0,18.0,2.0,342.0,1354.0,342.0,1013.0,609.0,20.0
145,A043945 ,E007037 ,2015JJ00,1648.0,454.0,37625.0,17.0,4.0,355.0,1406.0,354.0,1051.0,630.0,18.0
146,A043945 ,E007037 ,2016JJ00,3638.0,179.0,41084.0,31.0,2.0,384.0,1523.0,384.0,1139.0,712.0,24.0
147,A043945 ,E007037 ,2017JJ00,4468.0,517.0,45035.0,39.0,5.0,418.0,1656.0,416.0,1240.0,814.0,31.0
148,A043945 ,E007037 ,2018JJ00,6078.0,753.0,50360.0,50.0,8.0,461.0,1824.0,458.0,1366.0,915.0,38.0
149,A043945 ,E007037 ,2019JJ00,11232.0,707.0,60885.0,87.0,8.0,540.0,2140.0,539.0,1601.0,1107.0,54.0
150,A043945 ,E007037 ,2020JJ00,18853.0,1481.0,78257.0,124.0,9.0,655.0,2593.0,654.0,1939.0,1370.0,77.0
151,A043945 ,E007037 ,2021JJ00,21300.0,2565.0,96992.0,139.0,23.0,771.0,3053.0,769.0,2284.0,1514.0,74.0
152,A043945 ,E007037 ,2022JJ00,,2687.0,116289.0,,23.0,890.0,3524.0,887.0,2636.0,1704.0,83.0
153,A043945 ,E007037 ,2023JJ00,,3323.0,139366.0,,40.0,1031.0,4083.0,1027.0,3056.0,1997.0,108.0
154,A043945 ,E007037 ,2024JJ00,,4560.0,151932.0,,56.0,1087.0,4305.0,1083.0,3222.0,2107.0,114.0
155,A043945 ,E007040 ,1994JJ00,,,42.0,,,11.0,44.0,22.0,22.0,17.0,1.0
156,A043945 ,E007040 ,1995JJ00,23.0,0.0,65.0,1.0,0.0,12.0,48.0,23.0,25.0,19.0,1.0
157,A043945 ,E007040 ,1996JJ00,34.0,0.0,99.0,1.0,0.0,13.0,53.0,25.0,28.0,21.0,1.0
158,A043945 ,E007040 ,1997JJ00,89.0,0.0,188.0,4.0,0.0,17.0,68.0,29.0,39.0,27.0,1.0
159,A043945 ,E007040 ,1998JJ00,49.0,0.0,237.0,6.0,0.0,23.0,91.0,35.0,56.0,36.0,1.0
160,A043945 ,E007040 ,1999JJ00,127.0,0.0,364.0,7.0,0.0,30.0,119.0,44.0,76.0,46.0,2.0
161,A043945 ,E007040 ,2000JJ00,211.0,0.0,575.0,10.0,0.0,40.0,158.0,54.0,103.0,59.0,2.0
162,A043945 ,E007040 ,2001JJ00,350.0,0.0,925.0,9.0,0.0,49.0,194.0,64.0,130.0,71.0,2.0
163,A043945 ,E007040 ,2002JJ00,386.0,0.0,1311.0,15.0,0.0,64.0,253.0,79.0,173.0,93.0,3.0
164,A043945 ,E007040 ,2003JJ00,242.0,0.0,1553.0,16.0,0.0,80.0,315.0,97.0,218.0,115.0,4.0
165,A043945 ,E007040 ,2004JJ00,720.0,0.0,2273.0,42.0,0.0,121.0,481.0,144.0,337.0,178.0,6.0
166,A043945 ,E007040 ,2005JJ00,664.0,8.0,2928.0,54.0,2.0,174.0,687.0,202.0,485.0,255.0,9.0
167,A043945 ,E007040 ,2006JJ00,881.0,8.0,3801.0,55.0,2.0,226.0,896.0,265.0,631.0,336.0,11.0
168,A043945 ,E007040 ,2007JJ00,896.0,8.0,4689.0,82.0,2.0,306.0,1211.0,344.0,867.0,479.0,18.0
169,A043945 ,E007040 ,2008JJ00,777.0,8.0,5458.0,79.0,2.0,383.0,1515.0,419.0,1096.0,601.0,22.0
170,A043945 ,E007040 ,2009JJ00,749.0,8.0,6198.0,65.0,2.0,445.0,1763.0,478.0,1285.0,731.0,28.0
171,A043945 ,E007040 ,2010JJ00,637.0,23.0,6812.0,71.0,1.0,516.0,2042.0,549.0,1493.0,886.0,37.0
172,A043945 ,E007040 ,2011JJ00,969.0,34.0,7747.0,77.0,1.0,592.0,2343.0,625.0,1718.0,1059.0,45.0
173,A043945 ,E007040 ,2012JJ00,943.0,89.0,8601.0,74.0,4.0,662.0,2622.0,695.0,1926.0,1135.0,41.0
174,A043945 ,E007040 ,2013JJ00,630.0,49.0,9182.0,92.0,6.0,748.0,2961.0,780.0,2181.0,1310.0,44.0
175,A043945 ,E007040 ,2014JJ00,500.0,127.0,9555.0,78.0,7.0,818.0,3241.0,850.0,2391.0,1398.0,45.0
176,A043945 ,E007040 ,2015JJ00,438.0,211.0,9782.0,74.0,10.0,883.0,3496.0,913.0,2583.0,1508.0,39.0
177,A043945 ,E007040 ,2016JJ00,427.0,350.0,9860.0,54.0,9.0,928.0,3675.0,958.0,2717.0,1662.0,54.0
178,A043945 ,E007040 ,2017JJ00,362.0,386.0,9836.0,57.0,15.0,970.0,3840.0,999.0,2841.0,1831.0,68.0
179,A043945 ,E007040 ,2018JJ00,426.0,242.0,10019.0,75.0,16.0,1029.0,4074.0,1056.0,3017.0,1990.0,81.0
180,A043945 ,E007040 ,2019JJ00,523.0,720.0,9823.0,73.0,42.0,1060.0,4196.0,1082.0,3114.0,2134.0,104.0
181,A043945 ,E007040 ,2020JJ00,503.0,664.0,9662.0,67.0,54.0,1072.0,4246.0,1086.0,3159.0,2221.0,125.0
182,A043945 ,E007040 ,2021JJ00,492.0,881.0,9272.0,77.0,55.0,1094.0,4331.0,1095.0,3236.0,2144.0,105.0
183,A043945 ,E007040 ,2022JJ00,,896.0,9085.0,,82.0,1131.0,4479.0,1131.0,3348.0,2160.0,105.0
184,A043945 ,E007040 ,2023JJ00,,777.0,9163.0,,79.0,1216.0,4817.0,1215.0,3602.0,2349.0,127.0
185,A043945 ,E007040 ,2024JJ00,,749.0,9163.0,,65.0,1309.0,5182.0,1308.0,3874.0,2524.0,137.0
186,A052045 ,E007041 ,1994JJ00,,,,,,,,,,,
187,A052045 ,E007041 ,1995JJ00,,,,,,,,,,,
188,A052045 ,E007041 ,1996JJ00,,,,,,,,,,,
189,A052045 ,E007041 ,1997JJ00,,,,,,,,,,,
190,A052045 ,E007041 ,1998JJ00,,,,,,,,,,,
191,A052045 ,E007041 ,1999JJ00,,,,,,,,,,,
192,A052045 ,E007041 ,2000JJ00,,,,,,,,,,,
193,A052045 ,E007041 ,2001JJ00,,,,,,,,,,,
194,A052045 ,E007041 ,2002JJ00,,,,,,,,,,,
195,A052045 ,E007041 ,2003JJ00,,,,,,,,,,,
196,A052045 ,E007041 ,2004JJ00,,,,,,,,,,,
197,A052045 ,E007041 ,2005JJ00,,,,,,,,,,,
198,A052045 ,E007041 ,2006JJ00,,,,,,,,,,,
199,A052045 ,E007041 ,2007JJ00,,,,,,,,,,,
200,A052045 ,E007041 ,2008JJ00,,,,,,,,,,,
201,A052045 ,E007041 ,2009JJ00,,,,,,,,,,,
202,A052045 ,E007041 ,2010JJ00,,,,,,,,,,,
203,A052045 ,E007041 ,2011JJ00,,,,,,,,,,,
204,A052045 ,E007041 ,2012JJ00,,,,,,,,,,,
205,A052045 ,E007041 ,2013JJ00,,,,,,,,,,,
206,A052045 ,E007041 ,2014JJ00,,,,,,,,,,,
207,A052045 ,E007041 ,2015JJ00,,,,,,,,,,,
208,A052045 ,E007041 ,2016JJ00,,,,,,,,,,,
209,A052045 ,E007041 ,2017JJ00,,,,,,,,,,,
210,A052045 ,E007041 ,2018JJ00,,,,,,,,,,,
211,A052045 ,E007041 ,2019JJ00,,,,,,,,,,,
